"alg-geom/9601003","Moriwaki Atsushi","Atsushi Moriwaki","A sharp slope inequality for general stable fibrations of curves","18 pages (with 1 figure by epic.sty), AmSLaTeX version 1.2 (LaTeX2e)",,,,"alg-geom math.AG",,"  Let M_g be the moduli space of stable curves of genus g >= 2. Let D_i be the
irreducible component of the boundary of M_g such that general points of D_i
correspond to stable curves with one node of type i. Let M_g^0 be the set of
stable curves that have at most one node of type i>0. Let d_i be the class of
D_i in Pic(M_g)_Q and h the Hodge class on M_g. In this paper, we will prove a
sharp slope inequality for general stable fibrations. Namely, if $C$ is a
complete curve on M_g^0, then ( (8g+4)h - g d_0 - \sum_{i=1}^{[g/2]} 4i(g-i)
d_i . C ) >= 0. As an application, we can prove effective Bogomolov's
conjecture for general stable fibrations.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 15:38:29 GMT""}]","2015-06-30"
"astro-ph/9601012","Eli Waxman","Jordi Miralda-Escude and Eli Waxman (IAS, Princeton)","Signatures of the Origin of High-Energy Cosmic Rays in Cosmological
  Gamma-Ray Bursts","Submitted to the ApJ Letters; 10 pages (LaTeX file, 3 PostScript
  figures, aaspp4.sty style file, tar'ed, gzip'ed and uuencoded)","Astrophys.J. 462 (1996) L59-L62","10.1086/310042","IASSNS-AST 96/2","astro-ph",,"  We derive observational consequences of the hypothesis that cosmic rays
(CR's) of energy $>10^{19}eV$ originate in the same cosmological objects
producing gamma-ray bursts (GRB's). Inter-galactic magnetic fields $\gtrsim
10^{-12} G$ are required in this model to allow CR's to be observed
continuously in time by producing energy dependent delays in the CR arrival
times. This results in individual CR sources having very narrow observed
spectra, since at any given time only those CR's having a fixed time delay are
observed. Thus, the brightest CR sources should be different at different
energies. The average number of sources contributing to the total CR flux
decreases with energy much more rapidly than in a model of steady CR sources,
dropping to one at $E_{crit} \simeq2\times10^{20}$~eV with very weak
sensitivity to the inter-galactic magnetic field strength. Below $E_{crit}$, a
very large number of sources is expected, consistent with observations. Above
$E_{crit}$, a source may be observed with a flux considerably higher than the
time-averaged CR flux from all sources, if a nearby GRB occurred recently. If
such a source is present, its narrow spectrum may produce a ``gap'' in the
total spectrum. These signatures should be detectable by the planned ``Auger''
CR experiment.
","[{""version"":""v1"",""created"":""Thu, 4 Jan 1996 16:13:37 GMT""}]","2009-10-28"
"astro-ph/9601013","Nick Suntzeff","Nicholas B. Suntzeff (Dominion Astrophysical Observatory and Cerro
  Tololo Inter-American Observatory, NOAO) and Robert P. Kraft (Univ. Calif.
  Obs., Lick Observatory, UCSC)","The Abundance Spread Among Giants and Subgiants in the Globular Cluster
  Omega Centauri","Accepted for publication in the AJ. 40 pages, AASTeX V4.0 latex
  format (including figures), 13 ps figures, 8 separate AASTeX V4.0 latex
  tables","Astron.J.111:1913-1935,1996","10.1086/117930",,"astro-ph",,"  We present spectroscopic abundances and radial velocities for giant stars in
the Galactic globular cluster omega Centauri based on the CaII infrared
triplet. Two samples of stars were observed: 234 stars at M_V = 1.25 on the
lower giant branch at radial distances between 8 and 23arcmin, and 145 stars at
M_V = -1.3 at radial distances between 3 and 22arcmin. Previous metallicity
studies found a non-gaussian metallicity distribution containing a tail of
metal-rich stars. We confirm these results except our unbiased cluster
metallicity distributions are significantly narrower. They contain the
following key features: (1) No very metal-poor stars, (2) a sudden rise in the
metal-poor distribution to a modal [Fe/H] value of --1.70 consistent with an
homogeneous metallicity unresolved at the 0.07 dex level, (3) a tail to higher
metallicities with more stars than predicted by simple chemical evolution
models, and (4) a weak correlation between metallicity and radius such that the
most metal-rich stars are concentrated to the cluster core. The unresolved
metal-weak tail implies that the gas out of which omega Cen formed was
well-mixed up to the modal metallicity of the cluster. Therefore, omega Cen
like other Galactic globular clusters, seems to have formed in a pre-enriched
and homogenized (up to the modal metallicity) environment. The existence of a
weak metallicity gradient supports the idea that omega Cen self-enriched, with
the enriched gas sinking to the cluster center due to gas dissipation
processes. We also note, however, that the metal-rich stars are more massive
than the bulk of the stars in the cluster, and may have sunk to the center by
dynamical mass segregation over the lifetime of the cluster.
","[{""version"":""v1"",""created"":""Thu, 4 Jan 1996 20:06:37 GMT""}]","2009-10-05"
"astro-ph/9601014","Chuck Shepherd","C. W. Shepherd, R. G. Carlberg, H. K. C. Yee (University of Toronto),
  E. Ellingson (University of Colorado)","The Two-Point Correlation Function at Redshift 1/3","23 pages including 6 Postscript figures, uses aaspp4.sty, submitted
  to The Astrophysical Journal, also available at
  http://manaslu.astro.utoronto.ca:80/~carlberg/cnoc/general.html",,,,"astro-ph",,"  We present the results of a study of the two-point correlation function for a
sample of field galaxies taken from the CNOCI cluster survey. The sample
consists of 144 galaxies within a contiguous region of space subtending 225
square arcminutes. The objects have r-band magnitudes 17.0 < r < 21.7 and
redshifts 0.21 < z < 0.53. The median redshift of the sample is 0.36. The real
space correlation function is found to be consistent with a power law \xi(r) =
(r/r_0)^-1.7 with r_0 = 2.1 +0.6/-0.3 (\Omega_0=1), or r_0 = 2.5 +0.7/-0.4
(\Omega_0=0.2). Uncertainties are estimated using the bias-corrected bootstrap
resampling method, with 300 resamplings. This low correlation length implies
strong evolution since z~0.36 has occurred in either the correlation function
or the luminosity function; if the observed correlation function is modeled as
\xi(r,z) = \xi(r,0) * (1+z)^-(3+\epsilon) with \xi(r,0) = (r/5.1 h^-1Mpc)^-1.7,
then \epsilon = 0.8 +1.0/-1.3. Comparison of the redshift space and real space
correlation function indicates that the one-dimensional pairwise peculiar
velocity dispersion \sigma at z~0.36 is weakly inconsistent with 770 km s^-1,
the value predicted by the Cosmic Virial Theorem if \Omega_0=1. The observed
correlation function is, however, consistent with \sigma=400 km s^-1, the value
expected if \Omega_0=0.2.
","[{""version"":""v1"",""created"":""Thu, 4 Jan 1996 22:46:35 GMT""}]","2007-05-23"
"astro-ph/9601015","Marcio Catelan","M. Catelan","The distance modulus of the Large Magellanic Cloud: Constraints from RR
  Lyrae pulsation properties","LaTeX file, five pages, requires l-aa.sty (v.3.0). One postscript
  figure available upon request. To appear in Astronomy and Astrophysics
  (Letters section)","Astronomy and Astrophysics, 307, L13-L16 (1996)",,,"astro-ph",,"  It has recently been suggested that the discrepancy between the ""long"" and
""short"" distance moduli of the Large Magellanic Cloud (LMC), as inferred from
the properties of the Cepheid and RR Lyrae variables, respectively, might be
due to the action of ""third parameters"" between the Galaxy and the LMC, which
would make the RR Lyraes in the old LMC globular clusters brighter than their
Galactic counterparts by $\simeq 0.3 {mag}$. Through analysis of the RR Lyrae
pulsation properties, we show that this idea is not supported by the available
data. A satisfactory explanation of the problem has yet to be found.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 00:57:38 GMT""}]","2007-05-23"
"astro-ph/9601016","Simon Ellingsen","S.P. Ellingsen (Uni of Tas), M.L. von Bibra (Uni of Tas), P.M.
  McCulloch (Uni of Tas), R.P. Norris (ATNF), A.A. Deshpande (RRI), C.J.
  Phillips (Uni of Tas)","A Survey of the Galactic Plane for 6.7-GHz Methanol Masers I: l = 325.0
  - 335.0 ; b = -0.53 - 0.53","19 pages including 4 figures, using LaTeX formatted with mn.sty,
  accepted for publication in MNRAS",,"10.1093/mnras/280.2.378","ATP-275","astro-ph",,"  We report the results of the first complete survey of an area of the Galactic
Plane for maser emission from the 6.7-GHz transition of methanol. The survey
covers a 10.6-square-degree region of the Galactic Plane in the longitude range
325-335 degrees and latitude range -0.53-0.53 degrees. The survey is sensitive
to masers with a peak flux density greater than approximately 2.6 Jy. The
weakest maser detected has a peak flux density of 2.3 Jy and the strongest a
peak flux density of 425 Jy. We detected a total of 50 distinct masers, 26 of
which are new detections. We show that many 6.7-GHz methanol masers are not
associated with IRAS sources, and that some are associated with sources that
have colours differing from those of a typical ultra-compact HII region
(UCHII). We estimate that the number of UCHII regions in the Galaxy is
significantly more than suggested by IRAS-based estimates, possibly by more
than a factor of two.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 00:04:24 GMT""}]","2015-06-24"
"astro-ph/9601017","John C. Lattanzio","Cheryl Frost and John Lattanzio","AGB Stars: What Should Be Done ?","latex, 11 postscript figures, total of 19 postscript pages",,,,"astro-ph",,"  We present a review of AGB star evolution, with emphasis on the
nucleosynthesis occurring in these stars. In particular, we discuss hot and
cool bottom burning, observational constraints, and analysis of meteoritic
grains. This paper was presented at the 32nd Liege Colloquium ""Stellar
Evolution: What Should Be Done ?""
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 05:18:43 GMT""}]","2007-05-23"
"astro-ph/9601018","Salucci Paolo","Paolo Salucci and Massimo Persic (SISSA and Osservatorio Astronomico,
  Trieste)","Dark Baryons in the Universe: the Quest Goes On","submitted to MNRAS; 5 pages, Tex file (ask the first Author for the
  postscript files of two figures)",,,,"astro-ph",,"  We show that the high local baryonic fraction, M(bar) ~ 1/3 M(tot), found in
groups and clusters of galaxies does not reconcile the observed cosmological
baryon density with the standard Big-Bang prediction. Taking into account
recent measurements on the hot-gas content and temperature functions of
clusters and groups, we get Omega(gas) = 0.0023 h_{50}^{-1.5} ~ 4% Omega(BBN).
Including the contributions of galaxies and of (local) Ly-alpha clouds we
estimate Omega(bar) ~ 0.004-0.006 < 10% Omega(BBN) as the amount of detected
baryons. Most of the synthesised atoms are still to be discovered. We propose
to relate the impressive presence of the hot gas component in clusters with the
very low, mass-dependent efficiency of the process of galaxy formation in
making stars from the primordial gas.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 12:01:39 GMT""}]","2007-05-23"
"astro-ph/9601019","Vincenzo Ripepi","V. Ripepi, F. Barone, L. Milano and G. Russo","Cepheid Radii and the Cors Method Revisited","postscript file; figures and tables included. For any problem please
  write to ripepi@csfisi.fis.unical.it",,,,"astro-ph",,"  We have refined the CORS method, introduced in 1980 for the computation of
the cepheid radii, in order to extend its applicability to recent and extensive
sets of observations. The refinement is based on the computation, from
observational data only, of one of the terms of the solving equation,
previously based only on precise calibrations of photometric colours. A limited
number of assumptions, generally accepted in the literature, is used.\par New
radii are computed for about 70 cepheids, and the resulting P-R relation is
discussed.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 15:01:00 GMT""}]","2007-05-23"
"cond-mat/9601013","Supriya Krishnamurthy","Supriya Krishnamurthy and Mustansir Barma","Active-Site Motion and Pattern Formation in Self-Organised Interface
  Depinning","Revtex, 4 pages, 5 figures available upon request from author. To
  appear in Physical Review Letters",,,"TIFR/TH/95-37","cond-mat",,"  We study a dynamically generated pattern in height gradients, centered around
the active growth site, in the steady state of a self-organised interface
depinning model. The pattern has a power-law tail and depends on interface
slope. An approximate integral equation relates the profile to local interface
readjustments and long-ranged jumps of the active site. The pattern results in
a two-point correlation function saturating to a finite value which depends on
system size. Pattern formation is generic to systems in which the dynamics
leads to correlated motion of the active site.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 10:56:21 GMT""}]","2007-05-23"
"cond-mat/9601014","Cecile Monthus","Alain Comtet (DPT, IPN Orsay France) C\'ecile Monthus (SPhT, CE Saclay
  France) and Marc Yor (Labo. Proba., Paris France)","Exponential functionals of Brownian motion and disordered systems","18 pages","J. Appl. Proba. 35 (1998) 255",,,"cond-mat",,"  The paper deals with exponential functionals of the linear Brownian motion
which arise in different contexts such as continuous time finance models and
one-dimensional disordered models. We study some properties of these
exponential functionals in relation with the problem of a particle coupled to a
heat bath in a Wiener potential. Explicit expressions for the distribution of
the free energy are presented.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 08:21:33 GMT""}]","2007-05-23"
