"alg-geom/9601004","Tricia Pacelli","Patricia L. Pacelli","Uniform boundedness for rational points","Latex2e in latex 2.09 compatibility mode",,,,"alg-geom math.AG",,"  We extend an earlier result by Dan Abramovich, showing that a conjecture of
S. Lang's implies the existence of a uniform bound on the number of
$K$-rational points over all smooth curves of genus $g$ defined over $K$, where
$K$ is any number field of fixed degree $d$, and $g$ is an integer greater than
1. The bound depends only on the genus $g$ and the degree of the number field
$K$.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 16:34:03 GMT""}]","2008-02-03"
"astro-ph/9601020","Tammy Smecker-Hane","T.A. Smecker-Hane (UC Irvine), P.B. Stetson, J.E. Hesser
  (NRC/HIA/DAO), and D.A. VandenBerg (U Victoria)","Episodic Star Formation in the Carina dSph Galaxy","6 pages including 2 figures, gzip'ed and uuencoded postscript file,
  to appear in ""From Stars to Galaxies: The Impact of Stellar Physics on Galaxy
  Evolution"", eds. C. Leitherer, U. Fritze-van Alvensleben and J. Huchra, (ASP:
  San Francisco), ASP Conf. Series",,,,"astro-ph",,"  We present photometry for stars in the Carina dwarf spheroidal galaxy that is
unprecedented in depth, accuracy and spatial coverage. Our data demonstrate
that Carina has had a surprisingly complex evolution dominated by episodic
bursts of star formation. Comparing the color-magnitude diagram with new
theoretical isochrones, we determine that the ages of the ``bursts'' are
approximately 2, 3--6, and 11--13 Gyr. Note that the ``bursts'' and quiescent
phases lasted for <~1 Gyr, which are much longer than the ~0.1 Gyr dynamical
timescale in the galaxy. Each main-sequence turnoff in Carina connects to a
single red giant branch, which tells us that, regardless of age, Carina stars
are metal-poor with [Fe/H]~= -1.86 and a spread in metal abundance of only 0.2
dex. Thus the process of star formation, and the loss of metal-enriched gas
from supernovae-drive winds, in this low mass dwarf galaxy occurred
episodically over many Gyr rather than in a single, brief episode.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 21:17:26 GMT""}]","2007-05-23"
"astro-ph/9601021","Renyue Cen","Jeremiah P. Ostriker and Renyue Cen","Hydrodynamic Simulations of the Growth of Cosmological Structure:
  Summary and Comparisons Among Scenarios","Princeton University Obs., ApJ, in press, tarred, gzipped and
  uuencoded, including figures",,"10.1086/177297",,"astro-ph",,"  We compute, including a current state-of-the-art treatment of hydrodynamical
processes, heating and cooling, a variety of cosmological models into the
extreme nonlinear phase to enable comparisons with observations. First, we note
the common, model independent results. All have a mean ($z=0$) temperature of
$10^{4.5}-10^{5.5}$\Kel, set essentially by photoheating processes. Most gas is
in one of two components: either at the photoheating floor $10^{4.5}$\Kel and
primarily in low density regions or else shock heated to $10^5-10^6$\Kel and in
regions of moderate overdensity (in caustics and near groups and clusters). It
presents a major observational challenge to observationally detect this second,
abundant component as it is neither an efficient radiator nor absorber. About
2% to 10% of the baryons cool and collapse into galaxies forming on caustics
and migrating to clusters. About 1%-2% of baryons are in the very hot X-ray
emitting gas near cluster cores, in good agreement with observations. These
correspondances between the simulations and the real world imply that there is
some significant truth to the underlying standard scenarios for the growth of
structure. The differences among model predictions may help us find the path to
the correct model. For COBE normalized models the most relevant differences
concern epoch of structure formation. In the open variants having $\Omega=0.3$,
with or without a cosmological constant, structure formation on galactic scales
is well advanced at redshift z=5, and reionization occurs early. But if
observations require models for which most galaxy formation occurs more
recently than $z=2$, then the flat $\Omega=1$ models are to be preferred. The
velocity dispersion on the $1h^{-1}$Mpc scale also provides a strong
discriminant with, as expected, the $\Omega=1$ models giving a much higher
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 21:59:39 GMT""}]","2009-10-28"
"astro-ph/9601022","Amr El-Zant","A.A. El-Zant (Astronomy centre, University of Sussex)","Stability of motion of N-body systems","6 pages, 2 figures, uuencoded gzipped ps-file, to appear in Chaos in
  gravitational N-body systems J.C. Muzzio (ed.)",,,,"astro-ph",,"  Complications arising from the non-compact nature of the phase space of
N-body systems prevent any asymptotic characterization of chaotic behaviour
(since no equilibrium final states can exist). This leads us to revisit some of
the old results concerning geodesic stability on Lagrangian manifolds. These
cannot be applied directly but may be useful when properly reinterpreted. A
method for doing that is described along with some tests of its validity and
possible future applications.
","[{""version"":""v1"",""created"":""Sat, 6 Jan 1996 02:16:00 GMT""}]","2007-05-23"
"cond-mat/9601016","Yuyao Zha","Y. Zha, V. Barzykin and D. Pines","NMR and Neutron Scattering Experiments on the Cuprate Superconductors: A
  Critical Re-Examination","24 pages in RevTex, 9 figures included",,"10.1103/PhysRevB.54.7561",,"cond-mat",,"  We show that it is possible to reconcile NMR and neutron scattering
experiments on both LSCO and YBCO, by making use of the Millis-Monien-Pines
mean field phenomenological expression for the dynamic spin-spin response
function, and reexamining the standard Shastry-Mila-Rice hyperfine Hamiltonian
for NMR experiments. The recent neutron scattering results of Aeppli et al on
LSCO (x=14%) are shown to agree quantitatively with the NMR measurements of
$^{63}T_1$ and the magnetic scaling behavior proposed by Barzykin and Pines.
The reconciliation of the $^{17}T_1$ relaxation rates with the degree of
incommensuration in the spin fluctuation spectrum seen in neutron experiments
is achieved by introducing a new transferred hyperfine coupling $C'$ between
oxygen nuclei and their next nearest neighbor $Cu^{2+}$ spins; this leads to a
near-perfect cancellation of the influence of the incommensurate spin
fluctuation peaks on the oxygen relaxation rates of LSCO. The inclusion of the
new $C'$ term also leads to a natural explanation, within the one-component
model, the different temperature dependence of the anisotropic oxygen
relaxation rates for different field orientations, recently observed by
Martindale $et~al$. The measured significant decrease with doping of the
anisotropy ratio, $R= ^{63}T_{1ab}/^{63}T_{1c}$ in LSCO system, from $R =3.9$
for ${\rm La_2CuO_4}$ to $R ~ 3.0$ for LSCO (x=15%) is made compatible with the
doping dependence of the shift in the incommensurate spin fluctuation peaks
measured in neutron experiments, by suitable choices of the direct and
transferred hyperfine coupling constants $A_{\beta}$ and B.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 18:17:11 GMT""}]","2009-10-28"
"cond-mat/9601017","Dongzi Liu","D.Z. Liu, H.A. Fertig, and S. Das Sarma","Theory of Phonon Shakeup Effects on Photoluminescence from the Wigner
  Crystal in a Strong Magnetic Field","14 pages, uuencoded postscript file for entire paper, also available
  at (click phd14) http://rainbow.uchicago.edu/~ldz/paper/paper.html",,"10.1103/PhysRevB.54.13915","ldz-phd14","cond-mat",,"  We develop a method to compute shakeup effects on photoluminescence from a
strong magnetic field induced two-dimensional Wigner crystal. Only localized
holes are considered. Our method treats the lattice electrons and the tunneling
electron on an equal footing, and uses a quantum-mechanical calculation of the
collective modes that does not depend in any way on a harmonic approximation.
We find that shakeup produces a series of sidebands that may be identified with
maxima in the collective mode density of states, and definitively distinguishes
the crystal state from a liquid state in the absence of electron-hole
interaction. In the presence of electron-hole interaction, sidebands also
appear in the liquid state coming from short-range density fluctuations around
the hole. However, the sidebands in the liquid state and the crystal state have
different qualitative behaviors. We also find a shift in the main luminescence
peak, that is associated with lattice relaxation in the vicinity of a vacancy.
The relationship of the shakeup spectrum with previous mean-field calculations
is discussed.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 21:40:47 GMT""}]","2009-10-28"
"hep-ph/9601216",,"Thomas. D. Cohen","The High Temperature Phase of QCD and {\boldmath $U(1)_A$} Symmetry",,"Phys.Rev.D54:1867-1870,1996","10.1103/PhysRevD.54.R1867","DOE/ER/40762-075, U. of MD PP \#96-060","hep-ph",,"  Inequalities for QCD functional integrals are used to establish that up to
certain technical assumptions. the high temperature chirally restored phase of
QCD is effectively symmetric under $U(N_f) \times U(N_f)$ rather than $SU(N_f)
\times SU(N_f)$. If these assumptions are correct, there are no effects due to
anomalous breaking of $U(1)_A$ on correlation functions in this phase.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 19:23:01 GMT""},{""version"":""v2"",""created"":""Mon, 18 Mar 1996 14:47:45 GMT""}]","2010-01-06"
"hep-ph/9601217","Witold Skiba","Witold Skiba (MIT)","Signatures of Technicolor Models with the GIM Mechanism","31 pages, LaTeX, 9 embedded figures","Nucl.Phys.B470:84-112,1996","10.1016/0550-3213(96)00165-4","MIT-CTP-2505","hep-ph",,"  We investigate the production and the decays of pseudo-Goldstone bosons
(PGBs) predicted by technicolor theories with the GIM mechanism (TC-GIM). The
TC-GIM models contain exotic fermion families that do not interact under weak
$SU(2)$, but they do have color and hypercharge interactions. These fermions
form PGBs, which are the lightest exotic particles in the TC-GIM models. The
spectrum of PGBs consists of color octets, leptoquarks and neutral particles.
The masses of leptoquarks and color octets depend on a free parameter - the
scale of confining interactions. Characteristic for TC-GIM models is a very
light (approx 1 GeV) neutral particle with anomalous couplings to gauge boson
pairs. We show how current experiments constrain the free parameters of the
models. The best tests are provided by the pp --> TT and e^+e^- --> P^0 gamma
reactions. Experiments at LHC and NLC can find PGBs of TC-GIM models in a wide
range of parameter space. However, TC-GIM models can be distinguished from
other TC models only if several PGBs are discovered.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 21:59:35 GMT""}]","2008-12-18"
"hep-ph/9601218",,"Hitoshi Yamamoto (Harvard University)","Rare, Leptonic, and Hadronic Decays of Charmed Mesons - A Review -","6 pages, twocolumn format",,,"HUTP-96/A-001","hep-ph",,"  We review the physics of rare, leptonic, and hadronic decays of charmed
mesons based on the results submitted to this conference (EPS 95, Brussles).
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 23:32:51 GMT""}]","2007-05-23"
"hep-th/9601016","Matthias R. Gaberdiel","M.R. Gaberdiel","Abelian duality in WZW models","15 pages, latex","Nucl.Phys. B471 (1996) 217-232","10.1016/0550-3213(96)00181-2","DAMTP-95-72","hep-th",,"  We analyse abelian T-duality for WZW models of simply-connected groups. We
demonstrate that the dual theory is a certain orbifold of the original theory,
and check that it is conformally invariant. We determine the spectrum of the
dual theory, and show that it agrees with the spectrum of the original theory.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 17:52:23 GMT""}]","2009-10-30"
"hep-th/9601017","Andreas Bette","Andreas Bette","Directly Interacting Massless Particles - a Twistor Approach","LaTeX, approx. 16 pages; to appear in Journal of Mathematical
  Physics, March or April 1996 issue","J.Math.Phys. 37 (1996) 1724-1734","10.1063/1.531477",,"hep-th",,"  Twistor phase spaces are used to provide a general description of the
dynamics of a finite number of directly interacting massless spinning particles
forming a closed relativistic massive and spinning system with an internal
structure. A Poincare invariant canonical quantization of the so obtained
twistor phase space dynamics is performed.
","[{""version"":""v1"",""created"":""Fri, 5 Jan 1996 18:02:58 GMT""}]","2009-10-30"
"hep-th/9601018","Tae-Jin Lee","Taejin Lee","On Statistical Mechanics of Non-Abelian Chern-Simons Particles","3page, Revtex",,,"KWUTP-95/5","hep-th",,"  Lee replies to the comment on ""Statistical Mechanics of Non-Abelian
Chern-Simons Particles"" by C. R. Hagen
","[{""version"":""v1"",""created"":""Sat, 6 Jan 1996 05:24:28 GMT""}]","2007-05-23"
"hep-th/9601019","Hagen Kleinert","H. Kleinert, G. Lambiase (Dipartimento di Fisica Teorica e S. M. S.
  A., Universit\'a di Salerno), V.V. Nesterenko (Bogoliubov Laboratory of
  Theoretical Physics, Joint Institute for Nuclear Research, Dubna, Russia)","Real Interquark Potential Between a Heavy and a Light Quark at All
  Distances","Texfile + fig.tex +fig.eps,
  http://www.physik.fu-berlin.de/./kleinert.html","Phys.Lett. B384 (1996) 213-217","10.1016/0370-2693(96)00791-5",,"hep-th",,"  We point out that in infinite spacetime dimensions, the singularity in the
interquark potential at small distances disappears if the string is anchored at
one end to a heavy quark, at the other end to a light quark. This suggests that
if quarks are placed at the end of strings some unphysical features such as
tachyon states may be absent also in in finite dimensions.
","[{""version"":""v1"",""created"":""Sat, 6 Jan 1996 08:09:45 GMT""},{""version"":""v2"",""created"":""Thu, 22 Oct 1998 10:26:19 GMT""}]","2009-10-30"
"nucl-th/9601003","Taksu Cheon","Taksu Cheon","Green Function Monte Carlo Method for Excited States of Quantum System","RevTeX 5pg with 3 epsf figures","Prog.Theor.Phys.96:971-978,1996","10.1143/PTP.96.971",,"nucl-th hep-lat hep-th quant-ph",,"  A novel scheme to solve the quantum eigenvalue problem through the
imaginary-time Green function Monte Carlo method is presented. This method is
applicable to the excited states as well as to the ground state of a generic
system. We demonstrate the validity of the method with the numerical examples
on three simple systems including a discretized sine-Gordon model.
","[{""version"":""v1"",""created"":""Sat, 6 Jan 1996 09:14:45 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 1996 11:05:36 GMT""},{""version"":""v3"",""created"":""Fri, 1 Nov 1996 09:10:34 GMT""},{""version"":""v4"",""created"":""Fri, 13 Dec 1996 03:08:34 GMT""}]","2008-11-26"
