"acc-phys/9601001","George Parzen","G. Parzen (Brookhaven National Laboratory)","Particle Motion in the Stable Region Near an Edge of a Linear Sum
  Resonance Stopband","20 pages, gzipped texsis paper",,,"BNL-62546","acc-phys physics.acc-ph",,"  This paper studies the particle motion when the tune is in the stable region
close to the edge of linear sum resonance stopband. Results are found for the
tune and the beta functions. Results are also found for the two solutions of
the equations of motion. The results found are shown to be also valid for small
accelerators where the large accelerator approximation may not be used.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 1996 16:03:16 GMT""}]","2008-02-03"
"astro-ph/9601055","Arthur Kosowsky","Abraham Loeb and Arthur Kosowsky (Harvard University)","Faraday Rotation of Microwave Background Polarization by a Primordial
  Magnetic Field","14 pages AASTeX with 2 embedded postscript figures, 44 kB","Astrophys.J. 469 (1996) 1-6","10.1086/177751",,"astro-ph",,"  The existence of a primordial magnetic field at the last scattering surface
may induce a measurable Faraday rotation in the polarization of the cosmic
microwave background. We calculate the magnitude of this effect by evolving the
radiative transfer equations for the microwave background polarization through
the epoch of last scatter, in the presence of a magnetic field. For a
primordial field amplitude corresponding to a present value of $10^{-9}{\rm G}$
(which would account for the observed galactic field if it were frozen in the
pre-galactic plasma), we find a rotation angle of around $1^\circ$ at a
frequency of 30 GHz. The statistical detection of this signal is feasible with
future maps of the microwave background.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 1996 16:12:00 GMT""}]","2009-10-28"
"astro-ph/9601056","Nobuyuki Sakai","Nobuyuki Sakai","Fluctuations of the Gravitational Constant Induced by Primordial Bubbles","8 pages, revtex, postscript figures, some comments are corrected, to
  appear in Phys. Rev. D","Phys.Rev.D53:5970-5973,1996","10.1103/PhysRevD.53.5970","WU-AP/51/96","astro-ph gr-qc",,"  We consider the classical fluctuations of the gravitational constant
generated by bubbles in the inflationary universe. For extended inflation, we
demonstrate numerically how and how large fluctuations are produced during
bubble expansion. The amplitude of the fluctuations depends on the Brans-Dicke
parameter $\omega$: if $\omega$ is of the order of unity, the amplitude becomes
of the order of unity within one Hubble expansion time; if $\omega$ is large
(say, $\omega=1000$), the growth rate of the fluctuations is small, but it
keeps growing without freezing during inflation. We also discuss some
astrophysical implications of our results.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 1996 17:00:35 GMT""},{""version"":""v2"",""created"":""Sat, 20 Apr 1996 11:13:03 GMT""}]","2011-09-09"
"astro-ph/9601057","Karl Mannheim","Dieter H. Hartmann, Michael S. Briggs, Karl Mannheim","Search for Supergalactic Anisotropies in the 3B Catalog","5 pages, uuencoded postscript, to appear in the Proceedings of the
  Huntsville Conference on Gamma Ray Bursts",,"10.1063/1.51687",,"astro-ph",,"  The angular distribution of GRBs is isotropic, while the brightness
distribution of bursts shows a reduced number of faint events. These
observations favor a cosmological burst origin. If GRBs are indeed at
cosmological distances and if they trace luminous matter, we must eventually
find an anisotropic distribution of bright bursts. If a significant number of
bursts originate at redshifts less than z~1, the concentration of nearby
galaxies towards the supergalactic plane is pronounced enough that we could
discover the corresponding clustering of burst locations. We used the 3B
catalog to search for a pattern visible in supergalactic coordinates. No
compelling evidence for anisotropies was found. The absence of anisotropies in
SG coordinates implies a minimum sampling distance of 200h^-1 Mpc.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 1996 19:44:39 GMT""}]","2009-10-28"
"astro-ph/9601058","Alan Kogut","G. Hinshaw, A.J. Banday, C.L. Bennett, K.M. Gorski, A. Kogut, G.F.
  Smoot & E.L. Wright","Band Power Spectra in the COBE DMR 4-Year Anisotropy Maps","Submitted to ApJ Letters",,"10.1086/310074","COBE Preprint 96-04","astro-ph",,"  We employ a pixel-based likelihood technique to estimate the angular power
spectrum of the COBE Differential Microwave Radiometer (DMR) 4-year sky maps.
The spectrum is consistent with a scale-invariant power-law form with a
normalization, expressed in terms of the expected quadrupole anisotropy, of
Q_{rms-PS|n=1} = 18 +/- 1.4 uK, and a best-fit spectral index of 1.2 +/- 0.3.
The normalization is somewhat smaller than we concluded from the 2-year data,
mainly due to additional Galactic modeling. We extend the analysis to
investigate the extent to which the ``small"" quadrupole observed in our sky is
statistically consistent with a power-law spectrum. The most likely quadrupole
amplitude is somewhat dependent on the details of Galactic foreground
subtraction and data selection, ranging between 7 and 10 uK, but in no case is
there compelling evidence that the quadrupole is too small to be consistent
with a power-law spectrum. We conclude with a likelihood analysis of the band
power amplitude in each of four spectral bands between l = 2 and 40, and find
no evidence for deviations from a simple power-law spectrum.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:58:41 GMT""}]","2009-10-28"
"astro-ph/9601059","Alan Kogut","E.L. Wright, C.L. Bennett, K. Gorski, G. Hinshaw, and G.F. Smoot","Angular Power Spectrum of the Microwave Background Anisotropy seen by
  the COBE Differential Microwave Radiometer","17 pages including 3 PostScript figures. Submitted to The
  Astrophysical Journal (Letters)","Astrophys.J.464:L21-L24,1996","10.1086/310073","COBE preprint 96-05","astro-ph",,"  The angular power spectrum estimator developed by Peebles (1973) and Hauser &
Peebles (1973) has been modified and applied to the 4 year maps produced by the
COBE DMR. The power spectrum of the observed sky has been compared to the power
spectra of a large number of simulated random skies produced with noise equal
to the observed noise and primordial density fluctuation power spectra of power
law form, with $P(k) \propto k^n$. The best fitting value of the spectral index
in the range of spatial scales corresponding to spherical harmonic indices $3
\leq \ell \lesssim 30$ is an apparent spectral index $n_{app}$ = 1.13 (+0.3)
(-0.4) which is consistent with the Harrison-Zel'dovich primordial spectral
index $n_{pri} = 1$ The best fitting amplitude for $n_{app} = 1$ is $\langle
Q_{RMS}^2\rangle^{0.5}$ = 18 uK.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:58:53 GMT""}]","2008-11-26"
"astro-ph/9601060","Alan Kogut","A. Kogut, G. Hinshaw, A.J. Banday, C.L. Bennett, K. Gorski, G.F.
  Smoot, and E.L. Wright","Microwave Emission at High Galactic Latitudes","14 pages including 2 encapsulated color figures. Submitted to The
  Astrophysical Journal (Letters)","Astrophys.J.464:L5-L9,1996","10.1086/310072","COBE preprint 96-02","astro-ph",,"  We use the COBE Differential Microwave Radiometers (DMR) 4-year sky maps to
model Galactic microwave emission at high latitudes (|b| > 20 deg).
Cross-correlation of the DMR maps with Galactic template maps detects
fluctuations in the high-latitude microwave sky brightness with the angular
variation of the DIRBE far-infrared dust maps and a frequency dependence
consistent with a superposition of dust and free-free emission. We find no
significant correlations between the DMR maps and various synchrotron
templates. On the largest angular scales (e.g., quadrupole), Galactic emission
is comparable in amplitude to the anisotropy in the cosmic microwave background
(CMB). The CMB quadrupole amplitude, after correction for Galactic emission,
has amplitude $Q_{rms}$ = 10.7 uK with random uncertainty 3.6 uK and systematic
uncertainty 7.1 uK from uncertainty in our knowledge of Galactic microwave
emission.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:58:02 GMT""}]","2009-10-28"
"astro-ph/9601061","Alan Kogut","G. Hinshaw, A.J. Banday, C.L. Bennett, K.M. Gorski, A. Kogut, C.H.
  Lineweaver, G.F. Smoot & E.L. Wright","2-Point Correlations in the COBE DMR 4-Year Anisotropy Maps","Sumbitted to ApJ Letters","Astrophys.J.464:L25-L28,1996","10.1086/310076","COBE Preprint 96-06","astro-ph",,"  The 2-point temperature correlation function is evaluated from the 4-year
COBE DMR microwave anisotropy maps. We examine the 2-point function, which is
the Legendre transform of the angular power spectrum, and show that the data
are statistically consistent from channel to channel and frequency to
frequency. The most likely quadrupole normalization is computed for a
scale-invariant power-law spectrum of CMB anisotropy, using a variety of data
combinations. For a given data set, the normalization inferred from the 2-point
data is consistent with that inferred by other methods. The smallest and
largest normalization deduced from any data combination are 16.4 and 19.6 uK
respectively, with a value ~18 uK generally preferred.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:59:03 GMT""}]","2009-06-16"
"astro-ph/9601062","Alan Kogut","A. Kogut, A.J. Banday, C.L. Bennett, K. Gorski, G. Hinshaw, G.F.
  Smoot, and E.L. Wright","Tests for Non-Gaussian Statistics in the DMR Four-Year Sky Maps","15 pages including 4 encapsulated PostScript figures. Submitted to
  The Astrophysical Journal (Letters)",,"10.1086/310078","COBE preprint 96-07","astro-ph",,"  We search the high-latitude portion of the COBE Differential Microwave
Radiometers (DMR) 4-year sky maps for evidence of a non-Gaussian temperature
distribution in the cosmic microwave background. The genus, 3-point correlation
function, and 2-point correlation function of temperature maxima and minima are
all in excellent agreement with the hypothesis that the CMB anisotropy on
angular scales of 7 degrees or larger represents a random-phase Gaussian field.
A likelihood comparison of the DMR sky maps to a set of random-phase
non-Gaussian toy models selects the exact Gaussian model as most likely. Monte
Carlo simulations show that the 2-point correlation of the peaks and valleys in
the maps provides the greatest discrimination among the class of models tested.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:59:13 GMT""}]","2009-10-28"
"astro-ph/9601063","Alan Kogut","K.M. Gorski, A.J. Banday, C.L. Bennett, G. Hinshaw, A. Kogut, G.F.
  Smoot, and E.L. Wright","Power Spectrum of Primordial Inhomogeneity Determined from the 4-Year
  COBE DMR Sky Maps","9 pages of text in LaTeX, 1 postscript Table, 4 postscript figures (2
  color plates), submitted to The Astrophysical Journal (Letters)","Astrophys.J. 464 (1996) L11","10.1086/310077","COBE preprint 96-03","astro-ph",,"  Fourier analysis and power spectrum estimation of the cosmic microwave
background anisotropy on an incompletely sampled sky developed by Gorski (1994)
has been applied to the high-latitude portion of the 4-year COBE DMR 31.5, 53
and 90 GHz sky maps. Likelihood analysis using newly constructed Galaxy cuts
(extended beyond |b| = 20deg to excise the known foreground emission) and
simultaneously correcting for the faint high latitude galactic foreground
emission is conducted on the DMR sky maps pixelized in both ecliptic and
galactic coordinates. The Bayesian power spectrum estimation from the
foreground corrected 4-year COBE DMR data renders n ~ 1.2 +/- 0.3, and
Q_{rms-PS} ~ 15.3^{+3.7}_{-2.8} microK (projections of the two-parameter
likelihood). These results are consistent with the Harrison-Zel'dovich n=1
model of amplitude Q_{rms-PS} ~ 18 microK detected with significance exceeding
14sigma (dQ/Q < 0.07). (A small power spectrum amplitude drop below the
published 2-year results is predominantly due to the application of the new,
extended Galaxy cuts.)
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:58:24 GMT""}]","2009-10-28"
"astro-ph/9601064","Alan Kogut","A.J. Banday, K.M. Gorski, C.L. Bennett, G. Hinshaw, A. Kogut, and G.F.
  Smoot","Non-cosmological Signal Contributions to the COBE-DMR Four-Year Sky Maps","14 Pages LaTeX, submitted to The Astrophysical Journal (Letters)","Astrophys.J.468:L85-L89,1996","10.1086/310235","COBE preprint 96-08","astro-ph",,"  We limit the possible contributions from non-cosmological sources to the
COBE-DMR four-year sky maps. The DMR data are cross-correlated with maps of
rich clusters, extragalactic IRAS sources, HEAO-1 A-2 X-ray emission and 5 GHz
radio sources using a Fourier space technique. There is no evidence of
significant contamination by such sources at an rms level of ~8 uK (95%
confidence level at 7 degree resolution) in the most sensitive 53 GHz sky map.
This level is consistent with previous limits set by analysis of earlier DMR
data and by simple extrapolations from existing source models. We place a 95%
confidence level rms limit on the Comptonization parameter averaged over the
high-latitude sky of $\delta y\ <\ 1\ \times\ 10^{-6}$. Extragalactic sources
have an insignificant effect on CMB power spectrum parameterizations determined
from the DMR data.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 00:59:24 GMT""}]","2009-06-16"
