"alg-geom/9601009","Elizabeth Gasparim","Elizabeth Gasparim","Holomorphic Rank Two Vector Bundles on Blow-ups","Latex2e. University of New Mexico, Ph.D. Thesis",,,,"alg-geom math.AG",,"  In this paper we study holomorphic rank two vector bundles on the blow up of
$ {\bf C}^2$ at the origin. A classical theorem of Birchoff and Grothendieck
says that any holomorphic vector bundle on the projective plane ${\bf P}^1$
splits into a sum of line bundles. If $E$ is a holomorphic vector bundle over
the blow up of $ {\bf C}^2$ at the origin, then the restriction of $E$ to the
exceptional divisor is a vector bundle over ${\bf P}^1$ and therefore splits.
Moreover we assume that $E$ is a rank two bundle that has zero first Chern
class. Hence its restriction to the exceptional divisor is of the form $ {\cal
O}(j) \oplus {\cal O}(-j) $ for some integer $j.$ We denote by ${\cal M}_j$ the
moduli space of equivalence classes (under holomorphic isomorphisms) of rank
two holomorphic vector bundles on the blow up of $ {\bf C}^2$ at the origin
whose restriction to the exceptional divisor is $ {\cal O}(j) \oplus {\cal
O}(-j) .$
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 16:18:50 GMT""}]","2008-02-03"
"astro-ph/9601072","Stephen Holland","Harvey B. Richer (UBC), William E. Harris (McMaster), Gregory G.
  Fahlman (UBC), Roger A. Bell (Maryland), Howard E. Bond (STScI), James E.
  Hesser (DAO), Stephen Holland (UBC), Carlton Pryor (Rutgers), Peter B.
  Stetson (DAO), Don A. Vandenberg (Victoria), and Sidney van den Bergh (DAO)","Age Gradient and the Second Parameter Problem in the Galactic Halo","26 pages, AASTeX v3.0 with 3 Postscript figures",,"10.1086/177274",,"astro-ph",,"  We establish a framework for determing absolute ages of Galactic globular
clusters and then use these ages to investigate the age-metallicity and
age-Galactocentric distance relations for the 36 clusters with the most
reliable age data. The clusters span Galactocentric distances from 4 through
100 kpc and cover a metallicity range from $[Fe/H] = -0.6$ to $-2.3$. Adopting
currently plausible choices for the relation between cluster metallicity and
horizontal-branch luminosity, and alpha-enhancement ratios, we find that the
majority of the globular clusters form an age distribution with a dispersion
$\sigma(t)$ about $10^9$ years, and a total age spread smaller than 4 Gyr.
Clusters in the lowest metallicity group ($[Fe/H] < -1.8$) appear to be the
same age to well within 1 Gyr at all locations in the Milky Way halo,
suggesting that star formation began throughout the halo nearly simultaneously
in its earliest stages. We find no statistically significant correlation
between mean cluster age and Galactocentric distance (no age gradient) from 4
to 100 kpc. The correlation between cluster age and horizontal-branch type
suggests that causes in addition to metallicity and age are required to
understand the distribution of stars along the horizontal branches in globular
cluster color-magnitude diagrams.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 20:05:41 GMT""}]","2009-10-28"
"astro-ph/9601073","Rohan Mahadevan","Rohan Mahadevan, Ramesh Narayan (Harvard University), and Insu Yi
  (Institute for Advanced Study, Princeton)","Harmony in Electrons: Cyclotron and Synchrotron Emission by Thermal
  Electrons in a Magnetic Field","17 pages, 6 Postscript figures, tarred and gzipped. Accepted to The
  Astrophysical Journal. Also available at this
  http://cfa-www.harvard.edu/~rohan/",,"10.1086/177422",,"astro-ph",,"  We present a complete solution to the cyclotron-synchrotron radiation due to
an isotropic distribution of electrons moving in a magnetic field. We make no
approximations in the calculations other than artificially broadening the
harmonics by a small amount in order to facilitate the numerics. In contrast to
previous calculations, we sum over all relevant harmonics and integrate over
all particle and observer angles relative to the magnetic field. We present
emission spectra for electron temperatures $T=5\times10^8$ K, $10^9$ K,
$2\times10^9$ K to $3.2\times10^{10}$ K, and provide simple fitting formulae
which give a fairly accurate representation of the detailed results. For
$T\geq3.2\times10^{10}$ K, the spectrum is represented well by the asymptotic
synchrotron formula, which is obtained by assuming that the radiating electrons
have Lorentz factors large compared to unity. We give an improved fitting
formula also for this asymptotic case.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 22:06:41 GMT""}]","2009-10-28"
"astro-ph/9601074","Ann Esin","A. A. Esin, R. Narayan, E. Ostriker, I. Yi","Hot One-Temperature Accretion Flows Around Black Holes","24 pages tex file and 7 postscript figures all included in one
  compressed tar file. Accepted for publication in ApJ. In case of problems,
  write to aidle@cfa160.harvard.edu",,"10.1086/177421",,"astro-ph",,"  We describe hot, optically-thin solutions for one-temperature accretion disks
around black holes. We include cooling by synchrotron, bremsstrahlung, and
Comptonization. Our solutions are thermally and viscously stable, with gas
temperatures on the order of $T \sim 10^9-10^{10.7}$K. The thermal stability is
a direct result of the inclusion of synchrotron cooling.
  The new solution branch is related to the advection-dominated solution for a
two-temperature gas described by Narayan \& Yi (1995b). It is present only for
mass accretion rates less than some critical $\dot{M}_{crit}$ which depends on
the radius $R$ and viscosity parameter $\alpha$. The solutions are
advection-dominated for extremely low values of $\dot{M}$. However, for a range
of intermediate accretion rates, the new solutions are both hot ($T \sim
10^{10}$K) and cooling-dominated. Because of this new feature, one-temperature
solutions are significantly more luminous than the corresponding two
temperature solutions.
  The radial profile of the new solutions is unusual. The inner parts of the
flow are cooling-dominated and have a disk-like geometry, while the outer parts
are fully advection-dominated and nearly quasi-spherical.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 22:32:37 GMT""}]","2016-08-30"
"cond-mat/9601040","Hans Weber","Hans Weber, Mats Wallin and Henrik Jeldtoft Jensen","Monte Carlo calculation of the current-voltage characteristics of a two
  dimensional lattice Coulomb gas","latex",,"10.1103/PhysRevB.53.8566",,"cond-mat",,"  We have studied the nonlinear current-voltage characteristic of a two
dimensional lattice Coulomb gas by Monte Carlo simulation. We present three
different determinations of the power-law exponent $a(T)$ of the nonlinear
current-voltage characteristic, $V \sim I^{a(T)+1}$. The determinations rely on
both equilibrium and non-equilibrium simulations. We find good agreement
between the different determinations, and our results also agree closely with
experimental results for Hg-Xe thin film superconductors and for certain single
crystal thin-film high temperature superconductors.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 12:03:50 GMT""}]","2009-10-28"
"cond-mat/9601043","Maria de Sousa Vieira","M. de Sousa Vieira and H. J. Herrmann","A Growth model for DNA evolution","To be published in Europhysics Letters",,"10.1209/epl/i1996-00354-1",,"cond-mat q-bio.GN",,"  A simple growth model for DNA evolution is introduced which is analytically
solvable and reproduces the observed statistical behavior of real sequences.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 19:47:57 GMT""}]","2009-10-28"
"cond-mat/9601044","Benjamin E. C. Koltenbah","B.E.C. Koltenbah (1) and Robert Joynt (1 and 2) ((1) Dept. of Physics
  and Applied Superconductivity Center, University of Wisconsin-Madison (2)
  Materials Physics Laboratory, Helsinki University of Technology)","Material-specific gap function in the high-temperature superconductors","20 pages; requires revtex.sty v3.0, epsf.sty; includes 6 EPS figures;
  Postscript version also available at
  http://lifshitz.physics.wisc.edu/www/koltenbah/papers/gapfunc2.ps . This
  version contains an extensive amount of new work including theoretical
  background, an additional mean field treatment with new figures, and a more
  thorough experimental survey","B.E.C. Koltenbah and Robert Joynt, Rep on Prog in Phy 60, 23
  (1997).","10.1088/0034-4885/60/1/002",,"cond-mat",,"  We present theoretical arguments and experimental support for the idea that
high-Tc superconductivity can occur with s-wave, d-wave, or mixed-wave pairing
in the context of a magnetic mechanism. The size and shape of the gap is
different for different materials. The theoretical arguments are based on the
t-J model as derived from the Hubbard model so that it necessarily includes
three-site terms. We argue that this should be the basic minimal model for
high-Tc systems. We analyze this model starting with the dilute limit which can
be solved exactly, passing then to the Cooper problem which is numerically
tractable, then ending with a mean field approach. It is found that the
relative stability of s-wave and d-wave depends on the size and the shape of
the Fermi surface. We identify three striking trends. First, materials with
large next-nearest-neighbor hopping (such as YBa(2)Cu(3)O(7-x)) are nearly pure
d-wave, whereas nearest-neighbor materials (such as La(2-x)Sr(x)CuO(4)) tend to
be more s-wave-like. Second, low hole doping materials tend to be pure d-wave,
but high hole doping leads to s-wave. Finally, the optimum hole doping level
increases as the next-nearest-neighbor hopping increases. We examine the
experimental evidence and find support for this idea that gap function in the
high-temperature superconductors is material-specific.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 00:43:58 GMT""},{""version"":""v2"",""created"":""Tue, 28 May 1996 23:04:00 GMT""}]","2009-10-28"
"hep-ex/9601003","John Conway","F. Abe, et al. (CDF Collaboration)","Search for charged Higgs decays of the top quark using hadronic tau
  decays","uuencoded, gzipped tar file of LaTeX and 6 Postscript figures; 11 pp;
  submitted to Phys. Rev. D","Phys.Rev.D54:735-742,1996","10.1103/PhysRevD.54.735","FERMILAB-PUB-96/004-E","hep-ex",,"  We present the result of a search for charged Higgs decays of the top quark,
produced in $p\bar{p}$ collisions at $\surd s =$ 1.8 TeV. When the charged
Higgs is heavy and decays to a tau lepton, which subsequently decays
hadronically, the resulting events have a unique signature: large missing
transverse energy and the low-charged-multiplicity tau. Data collected in the
period 1992-1993 at the Collider Detector at Fermilab, corresponding to
18.7$\pm$0.7~pb$^{-1}$, exclude new regions of combined top quark and charged
Higgs mass, in extensions to the standard model with two Higgs doublets.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 1996 20:43:43 GMT""}]","2010-05-12"
"hep-ph/9601253",,"Chun-Gui Duan, Wei Lu","Positivity restrictions to the transverse polarization of the
  inclusively detected spin-half baryons in unpolarized electron-positron
  annihilation","final version to appear in Z. Phys. C, references updated",,,,"hep-ph",,"  The positivity constraints to the structure functions for the inclusive
spin-half baryon production by a time-like photon fragmentation are
investigated. One conclusion is that $\hat F$, which arises from the hadronic
final-state interactions, is subjected to an inequality between its absolute
value and the two spin-independent structure functions. On the basis of this
finding, we derive a formula through which the upper limits can be given for
the transverse polarization of the inclusively detected spin-half baryons in
unpolarized electron-positron annihilation. The derived upper bound supplies a
consistency check for the judgement of reliability of experimental data and
model calculations.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 02:31:46 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jul 1996 17:57:40 GMT""}]","2008-02-03"
"hep-ph/9601255",,"Wei Lu, Jian-Jun Yang","Symmetry aspects of the pion leptoproduction and the upper limit of the
  Levelt-Mulders asymmetry","8 pages, final version to appear in Z. Phys. C, completely rephrased","Z.Phys. C73 (1997) 689-696",,,"hep-ph",,"  We examined the symmetry aspect of the semi-inclusive one-pion production in
the deep inelastic scattering of a lepton beam off an unpolarized nucleon
target, with an emphasis on the positivity restrictions on the corresponding
structure functions. In combination with the Callan-Gross-type relation between
two twist-two structure functions $W_1$ and $W_2$, we derived an upper bound on
the Levelt-Mulders asymmetry, which occurs when the lepton beam is
longitudinally polarized.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 03:02:54 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 1996 18:33:28 GMT""},{""version"":""v3"",""created"":""Tue, 9 Jul 1996 18:02:49 GMT""}]","2008-02-03"
"hep-ph/9601256",,"Wei Lu, Xue-Qian Li, Hai-Ming Hu","Manifestation of $s\to \Lambda$ fragmentation matrix elements via
  transverse $\Lambda$ polarization in unpolarized $e^-e^+$ annihilation","RevTex, 12 pages, typos corrected","Phys.Lett. B368 (1996) 281-290","10.1016/0370-2693(95)01512-4","BIHEP-96-07","hep-ph",,"  Making use of the collinear expansion technique developed by Ellis, Furmanski
and Petrozio, and the special propagator concept invented by Qiu, we present a
factorization approach to the photon fragmentation tensor for the inclusive
Lambda hyperon production. As a result, the structure function $\tilde F$,
which is related to the transverse polarization of the inclusive Lambda hyperon
in unpolarized electron-positron annihilation, is expressed as a combination of
four parton fragmentation matrix elements. Since the inclusive $\Lambda$
production we considered is theoretically the simplest, our study can be taken
as a question to the operatability and practability of the first nonleading QCD
factorization theorem in the transverse $\Lambda$ polarization phenomena.
","[{""version"":""v1"",""created"":""Sat, 13 Jan 1996 04:01:07 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 1996 18:39:18 GMT""}]","2019-08-15"
