"adap-org/9601002","Alberto Saa","Alberto Saa","Self-organized criticality and the lattice topology","Revtex, 12 pages","Physica A 227 (1996) 262","10.1016/0378-4371(96)00010-6","US-FT/3-96","adap-org hep-lat nlin.AO",,"  We examine exhaustively the behavior of avalanches in critical height
sandpile models based in two- and three-dimensional lattices of various
topologies. We get that for two-dimensional lattices the spatial and temporal
distributions characterizing bulk avalanches do not depend on the lattice
topology. For the three-dimensional case, we detect a small dependence of the
topology for the temporal distribution, while the spatial ones are independent.
The two-dimensional lattices studied are: the plane ($R^2$), the cylinder
($S^1\times R$), and the M\""obius-strip ($M$); and the three-dimensional are:
$R^3$, $S^1\times R^2$, $S^1\times S^1\times R$, $M\times R$, $S^2\times R$,
$K\times R$, and $RP\times R$, where $K$ and $RP$ are respectively the Klein
bottle and the real projective plane.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 14:20:20 GMT""}]","2015-06-24"
"alg-geom/9601010","Kai Behrend","K. Behrend and B. Fantechi","The intrinsic normal cone","LaTeX, Postscript file available at
  http://www.math.ubc.ca/people/faculty/behrend/inc.ps",,"10.1007/s002220050136",,"alg-geom math.AG",,"  We suggest a construction of virtual fundamental classes of certain types of
moduli spaces.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 03:53:32 GMT""}]","2009-10-28"
"alg-geom/9601011","Kai Behrend","K. Behrend","Gromov-Witten invariants in algebraic geometry","LaTeX, Postscript file available at
  http://www.math.ubc.ca/people/faculty/behrend/gwag.ps",,"10.1007/s002220050132",,"alg-geom math.AG",,"  Gromov-Witten invariants for arbitrary projective varieties and arbitrary
genus are constructed using the techniques from K. Behrend, B. Fantechi: The
intrinsic normal cone.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 04:00:17 GMT""}]","2015-06-30"
"astro-ph/9601075","Pradip K. Sahu","L.P. Singh (Utkal Unv.) and P.K. Sahu (PRL, Ahmedabad)","Massive compact dwarf stars and C-field","10 pages (LaTex), one figure available upon request",,"10.1007/BF02714850",,"astro-ph",,"  The effect of C-field in high density matter has been studied. We find that
the negative energy and negative pressure of the C-field helps in formation of
massive compact stable neutron stars of mass $\sim$ 0.5 solar mass which is in
the range of 0.01 to 1.0 solar mass of recently observed dwarf stars.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 05:21:34 GMT""}]","2009-10-28"
"astro-ph/9601076","El-Zant Amr","Amr El-Zant","On the stability of motion of N-systems: a geometric approach",,"Astron.Astrophys. 326 (1997) 113-129",,,"astro-ph",,"  Much of standard galaxy dynamics rests on the implicit assumption that the
corresponding N-body problem is (near) integrable. This notion although leading
to great simplification is by no means a fact.
  It is therefore important to develop methods characterizing the stability of
motion of N-body systems. A method based on the geometry of a system's phase
space is examined and compared with more standard techniques.
  We also present the results of high precision N-body simulations of the
dynamics of systems of 231 point particles over a few dynamical times. The
scalar and Ricci (or mean) curvatures are calculated along the trajectories and
the relative instabilities of different systems are thus derived along with the
corresponding ``mixing'' timescales. The effect of softening is also examined.
We compare the predictions obtained from the calculations above with the
spatial evolution of the different systems and deduce that this is well
described.
","[{""version"":""v1"",""created"":""Sun, 14 Jan 1996 18:56:00 GMT""},{""version"":""v2"",""created"":""Thu, 11 Jun 1998 12:54:53 GMT""}]","2008-02-03"
"astro-ph/9601077","Max Tegmark","Max Tegmark","The angular power spectrum of the 4 year COBE data","Final accepted version, incl. plots with new Saskatoon data. 14
  pages, with 4 figures included. Postscript. Latest version at
  http://www.sns.ias.edu/~max/cobepow.html (faster from the US), from
  http://www.mpa-garching.mpg.de/~max/cobepow.html (faster from Europe) or from
  max@ias.edu","ApJ Letters, 464, L35 (1996)","10.1086/310079",,"astro-ph",,"  The angular power spectrum C_l is extracted from the 4 year COBE DMR data
with a 20 degree galactic cut, using the narrowest window functions possible.
The average power in eight multipole bands is also computed, and plotted
together with a compilation of power spectrum measurements from other
experiments. The COBE results are found to be consistent with an n=1 power
spectrum with the normalization Qrmsps=18 microkelvin reported by the COBE DMR
team. Certain non-standard cosmologies, such as ""small universe"" models with
nontrivial spatial topology, predict power spectra which are not smooth
functions. Rather, they contain bumps and wiggles that may not have been
detected by other data analysis techniques such as the Hauser-Peebles method
(Wright etal 1996), the band-power method (Hinshaw etal 1996) and
orthogonalized spherical harmonics (Gorski etal 1996), since these methods all
give broader window functions that can smear such features out beyond
recognition. On the large angular scales probed by COBE, the Universe thus
appears to be kind to us, presenting a power spectrum that is a simple smooth
function.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 01:36:50 GMT""},{""version"":""v2"",""created"":""Tue, 5 Mar 1996 14:57:37 GMT""},{""version"":""v3"",""created"":""Thu, 25 Jul 1996 13:30:36 GMT""}]","2009-10-28"
"astro-ph/9601078","Carolin Seitz","Carolin Seitz (MPA), Jean-Paul Kneib (IoA), Peter Schneider and Stella
  Seitz (MPA)","The Mass Distribution of CL0939+4713 obtained from a `Weak' Lensing
  Analysis of a WFPC2 image","23 pages, Plain-Tex, no macros needed, including 13 figures, three
  figures not included; a gzipped uuencoded postscript file can be obtained via
  anonymous ftp at ftp//ftp.mpa-garching.mpg.de/incoming/caro/cl0939.uu ,
  submitted to Astronomy and Astrophysics",,,"MPA 919","astro-ph",,"  The image distortions of high-redshift galaxies caused by gravitational light
deflection of foreground clusters of galaxies can be used to reconstruct the
two-dimensional surface mass density of these clusters. We apply an unbiased
parameter-free reconstruction technique to the cluster CL0939+4713 (Abell 851),
observed with the WFPC2 on board of the HST. We demonstrate that a single deep
WFPC2 observation can be used for cluster mass reconstruction despite its small
field of view and the irregular shape of the data field (especially for distant
clusters). For CL0939, we find a strong correlation between the reconstructed
mass distribution and the bright cluster galaxies indicating that mass follows
light on average. The detected anti-correlation between the faint galaxies and
the reconstructed mass is most likely an effect of the magnification (anti)
bias, which was detected previously in the cluster A1689. Because of the high
redshift of CL0939 (z_d=0.41), the redshift distribution of the lensed, faint
galaxies has to be accounted for in the reconstruction technique. We derive an
approximate global transformation for the surface mass density which leaves the
mean image ellipticities invariant, resulting in an uncertainty in the
normalization of the mass. From the non-negativity of the surface mass density,
we derive lower limits on the mass inside the observed field. We can break the
invariance transformation for the mass using the magnification effect on the
observed number density of the background galaxies. Assuming a mean redshift of
0.8 and a fraction of 15 % (20 %) of cluster galaxies in the observed galaxy
sample with 23<R<25.5 we obtain for the mass inside the field approximately 5
(7) x 10**{14}/ h_{50} solar masses which corresponds to M/L ~ 100 (140)
h_{50}.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 07:59:57 GMT""}]","2007-05-23"
"astro-ph/9601079","Carolin Seitz","Carolin Seitz and Peter Schneider (Max-Planck-Institut f. Astrophysik
  Garching)","Steps towards nonlinear cluster inversion through gravitational
  distortions: III. Including a redshift distribution of the sources","25 pages, Plain-Tex, no macros needed, including 9 figures, submitted
  to Astronomy and Astrophysics",,,"MPA 920","astro-ph",,"  In a series of previous papers we have considered the reconstruction of the
surface mass density of a cluster of galaxies from images of lensed faint
background galaxies. We showed that the reconstructed surface mass density is
not uniquely determined, but that there exists a global invariance
transformation that leaves the shape of the images of the lensed galaxies
unchanged. Because of this, only lower limits on the total mass of a cluster
can be derived if no further informations besides image ellipticities are used.
Throughout these papers we used the simplifying assumption that all sources are
at the same redshift. In this paper we account for a redshift distribution of
the faint galaxies, and in particular, some of these galaxies can lie in front
of the cluster or can be cluster members. We show how the mass distribution of
a cluster of galaxies can be obtained from images of these faint galaxies, if
the redshift distribution of these galaxies is known. We demonstrate that for
the reconstruction of non-critical clusters we need less information on the
redshift distribution of the galaxies, i.e., we only need to know two or three
moments of the distribution. We show that the mean mass density across the data
field is still a free variable, i.e., there remains a global invariance
transformation of the resulting mass density field. For non-critical clusters
we can derive the transformation explicitly and it is similar to that derived
previously for the case of a single redshift of the sources. We discuss several
theoretical ideas to break the mass degeneracy; of those considered, we find
that only the magnification effect on the number density of galaxy images can
be used successfully in practice.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 07:58:58 GMT""}]","2007-05-23"
"astro-ph/9601080",,"Mordehai Milgrom (Dept. of Condensed-Matter Physics, Weizmann
  Institute)","Low-surface-density galaxies and the modified dynamics","5 pages, Latex, Talk at the Rome workshope on "" The dark side of the
  Universe"", November 1995",,,,"astro-ph",,"  Very-low-surface-density galactic systems have very low mean accelerations.
They thus provide quintessential tests of the Modified Dynamics (MOND), which
predicts an increasing mass discrepancy with decreasing acceleration. We
describe succinctly the results pertinent to several classes of such objects:
Low-luminosity (dwarf) spirals, irregular dwarf spirals, normal-lumonosity-but
-low-surface-density spirals, and dwarf-spheroidal satellites of the Milky Way.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 09:21:03 GMT""}]","2007-05-23"
"astro-ph/9601081","Michiel van Haarlem","M. P. van Haarlem (University of Durham)","Projection Effects in the Abell Catalogue","6 pages, including 2 figures, to appear in proceedings ``Mapping,
  Measuring and Modelling the Universe'', Valencia 1995, eds. P. Coles & V.
  Martinez",,,,"astro-ph",,"  We investigate the influence that projection effects have on the completeness
of the the Abell cluster catalogue in the context of an $\Omega_0$=1 CDM
Universe. We construct a galaxy catalogue and identify clusters using an
algorithm that mimics Abell's method. Over 30% of Richness Class $\geq$1
clusters have been selected despite not meeting the required intrinsic (3D)
richness criterion. Velocity dispersions are shown to have been systematically
overestimated.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 11:59:54 GMT""}]","2007-05-23"
"astro-ph/9601082","Gian Luigi Granato","Gian Luigi Granato, Luigi Danese and Alberto Franceschini","Dust Enshrouded AGN Models for Hyperluminous High Redshift IR Galaxies","12 pages including 3 figures. To appear on APJL",,"10.1086/309977",,"astro-ph",,"  We investigate models for the power supply and broad-band spectral energy
distribution (SED) of hyperluminous IR galaxies, recently discovered at high
redshifts, in terms of the emission from an active nucleus embedded in a
torus-like dusty structure. We find consistent solutions in terms of a simple
torus model extended several hundreds of parsecs, with $A_V$ in the equatorial
plane of a few hundreds and a typical covering factor of over $50\%$. Objects
as different as the prototype high-z galaxy \fd, the z=0.93 IR object \fq, \fz\
found in a high-z cooling flow, and the optically selected BAL ""Cloverleaf""
quasar, are all fitted by the same solution, for decreasing values of the polar
angle to the line-of-sight and proper scaling of the luminosities. We suggest
that such luminous high-z IR objects are heavily buried quasars surrounded by
large amounts of dust with high covering factors and large optical depths.
Comparison with UVX QSOs suggests that they are observed during a transient
phase. Forthcoming observations in the far-IR will soon allow probing this
phase and its relationship with the -- possibly concomitant -- formation of the
nuclear black hole and of the host galaxy.
","[{""version"":""v1"",""created"":""Mon, 15 Jan 1996 15:59:45 GMT""}]","2009-10-28"
