"alg-geom/9601026","Janos Kollar","J\'anos Koll\'ar","Singularities of Pairs","author-supplied DVI file available at
  http://www.math.utah.edu/~kollar/ AMSTeX 2.1",,,,"alg-geom math.AG",,"  These are the revised notes of my lectures at the 1995 Santa Cruz summer
institute. Changes from the Jan.26,1996 version: Major: 7.1--2; Medium: 3.7,
3.11, 5.3.3, 7.9.2, 9.8.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 21:20:56 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 1996 23:30:13 GMT""}]","2008-02-03"
"astro-ph/9601153","David King","L. J. Smith, M. Pettini, D. L. King, R. W. Hunstead","The chemical evolution of galaxies at high redshift","6 pages, latex, postscript file, including figures",,,"Cambridge preprint reference CAP-9601006","astro-ph",,"  Observations of absorption lines in the spectra of distant QSOs offer a new
approach for tracking the evolution of normal galaxies from early epochs to the
present day. The damped Ly alpha systems are particularly suitable for
measuring the properties of what are likely to be the progenitors of
present-day luminous galaxies. We have recently concluded a long-term survey of
30 damped absorbers (including eight from the literature) aimed at measuring
the metallicity and dust content of the universe from redshift z = 3.39 to
0.69. The major conclusions are that the epoch of chemical enrichment in
galaxies may have begun at z = 2.5-3--corresponding to a look-back time of 14
Gyr--and that at z = 2 the typical metallicity was 1/15 of solar. There is
clear evidence for the presence of interstellar dust at z = 2, although several
high-redshift galaxies, particularly the most metal-poor, appear to be
essentially dust-free. We discuss the nature of the damped Ly alpha galaxies in
the light of these and other new results.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 16:02:32 GMT""}]","2007-05-23"
"astro-ph/9601154","Diego S\'aez","M.J. Fullana (1), J.V. Arnau (2), and D. S\'aez (1) ((1) Departament
  d'Astronomia i Astrof\'isica, Universitat de Val\`encia, Spain, (2)
  Departament de Matem\`atica Aplicada, Universitat de Val\`encia, Spain)","On the microwave background anisotropy produced by big voids in open
  universes","26 pages, 4 Postcript figures, latex, accepted in MNRAS",,"10.1093/mnras/280.4.1181",,"astro-ph",,"  The Tolman-Bondi solution of the Einstein equations is used in order to model
the time evolution of the void observed in Bo\""otes. The present density
contrast of the central region ($\sim -0.75$) and its radius ($\sim 30h^{-1} \
Mpc$) are fixed, while the density parameter of the Universe, the amplitude of
the density contrast inside the void wall, the width of this wall and the
distance from the void centre to the Local Group are appropriately varied. The
microwave background anisotropy produced by Bo\""otes-like voids is estimated
for a significant set of locations. All the voids are placed far from the last
scattering surface. It is shown that the anisotropy generated by these voids
strongly depends on the density parameter, the wall structure and the void
location. The Doppler dipole and quadrupole are subtracted and the residual
anisotropy is calculated. In the case of some isolated Bo\""otes-like voids
placed at redshifts between 1 and 10 in an open universe with density parameter
$\Omega_{0}=0.2$, the residual anisotropy appears to be a few times $10^{-6}$
on scales of a few degrees. This anisotropy is about one order of magnitude
greater than previous estimates corresponding to other cases. The anisotropy
produced by a distribution of voids is qualitatively studied in the light of
this result. Comparisons with previous estimates are discussed.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 18:30:31 GMT""},{""version"":""v2"",""created"":""Wed, 31 Jan 1996 18:02:31 GMT""}]","2016-08-15"
"astro-ph/9601155","Peter Hauschildt","Peter H. Hauschildt (Arizona State University), France Allard & David
  R. Alexander (Wichita State University), Andreas Schweitzer (ASU), E. Baron
  (University of Oklahoma)","NLTE Model Atmospheres for M Dwarfs and Giants","27 pages, latex, crckapb style, figures 1-3 not included, complete
  text with figures available via http://brian.la.asu.edu/ or at
  ftp://brian.la.asu.edu/NLTE-dwarfs+giants.tar.gz, to appear in Proc. of IAU
  Symp 176 'Stellar Surface Structure'",,,,"astro-ph",,"  The atmospheres of M stars are dominated by a small number of very strong
molecular compounds (H$_2$O, TiO, H$_2$, CO, VO). Most of the hydrogen is
locked in molecular H$_2$, most of the carbon in CO; and H$_2$O, TiO and VO
opacities define a pseudo-continuum covering the entire flux distribution of
these stars. The optical ``continuum'' is due to TiO vibrational bands which
are often used as temperature indicators for these stars. These may be the
depth of the bands relative to the troughs in between them; or the depth of the
VO bands; or of the atomic lines relative to the local ``continuum''; or even
the strength of the infrared water bands; all of these depend on the strength
of the TiO bands and the amount of flux-redistribution to longer wavelengths
exerted by them. Departures from LTE of the Ti I atom, and thus the
concentration of the important TiO molecule, could, therefore, have severe and
measurable consequences on the atmospheric structure and spectra of these
stars.
  In this paper we discuss NLTE effects of Ti I in fully self-consistent models
for a few representative M/Brown dwarf and M giant model atmospheres and
spectra.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 19:50:21 GMT""}]","2016-08-30"
"astro-ph/9601156","Maggie Best","Stephen L. Adler","Comment on ``Photon Splitting in Strongly Magnetized Objects Revisited''","3 pages, latex file. Submitted to The Astrophysical Journal Letters",,,"IASSNS-AST 96/4","astro-ph hep-ph",,"  I point out that the results stated in the recent articles on photon
splitting by Wunner, Sang, and Berg and by Wentzel, Berg, \& Wunner directly
contradict an earlier analytic and numerical calculation that I performed of
the same process using Schwinger's proper time method, for strong magnetic
fields and general energies below the pair production threshold. The results of
Wunner et al. and Wentzel et al. do not show the expected low frequency
behavior, nor have they been able to reproduce the expected small magnetic
field behavior, suggesting that their calculations may not be gauge invariant.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 21:04:10 GMT""}]","2007-05-23"
"astro-ph/9601157","Mark Higgins","M.G. Higgins & R.N. Henriksen (Queen's University, Kingston, Canada)","The Deutsch Field Gamma-Ray Pulsar - Paper I: The Model Basics","11 pages LaTex, 10 postscript figures included with psfig. The paper
  can also be found at ftp://astro.queensu.ca/pub/mark/preprints/paper1.ps.Z as
  a compressed postscript file. Submitted to MNRAS",,"10.1093/mnras/292.4.934",,"astro-ph",,"  A new model for the high-energy emission from pulsars is developed by
considering charged particle motion in the fields of a spinning, highly
magnetised and conducting sphere in vacuum. A generally applicable
approximation to the particle motion in strong fields is developed and applied
to the numerical modelling, and the radiation emitted by curvature emission is
summed to generate light curves. The model predicts many of the observed
features of pulsar light curves. This paper outlines the basic properties of
the model; a subsequent paper will discuss the statistical properties of a
population of model pulsars and apply the model to the known gamma-ray pulsars.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 21:34:15 GMT""}]","2015-06-24"
"cond-mat/9601132","Kato Yusuke","Yusuke Kato and Yoshio Kuramoto","Fractional Exclusion Statistics for the t-J Model","27 pages, using jpsj.sty, 9 figures on request",,,,"cond-mat",,"  We construct thermodynamics of the one-dimensional supersymmetric {\it t-J}
model with the $ 1/\sin^2$ interaction and hopping. The thermodynamics is
described exactly in terms of free spinons and holons obeying Haldane's
fractional exclusion statistics at all temperatures. Moreover, at low
temperatures the semionic spinons and holons decouple resulting in the
spin-charge separation in thermodynamic properties. We obtain explicit results
for the spin and charge susceptibilities and specific heat, and interpret them
in terms of the fractional exclusion statistics. Extension to the
multi-component {\it t-J} model shows that the excitations obey either
fractional statistics for g-ons with partial polarization of components, or the
parafermionic one without polarization.
","[{""version"":""v1"",""created"":""Sat, 27 Jan 1996 01:42:08 GMT""}]","2007-05-23"
"gr-qc/9601043","I. Kouletsis","Ioannis Kouletsis","Action functionals of single scalar fields and arbitrary--weight
  gravitational constraints that generate a genuine Lie algebra","26 pages, plain TEX","Class.Quant.Grav. 13 (1996) 3085-3098","10.1088/0264-9381/13/11/022","Imperial/TP/95-96/21","gr-qc",,"  We discuss the issue initiated by Kucha\v{r} {\it et al}, of replacing the
usual Hamiltonian constraint by alternative combinations of the gravitational
constraints (scalar densities of arbitrary weight), whose Poisson brackets
strongly vanish and cast the standard constraint-system for vacuum gravity into
a form that generates a true Lie algebra. It is shown that any such
combination---that satisfies certain reality conditions---may be derived from
an action principle involving a single scalar field and a single Lagrange
multiplier with a non--derivative coupling to gravity.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 17:52:19 GMT""}]","2009-10-28"
"hep-ph/9601344","Sergey Nedelko","Ja.V. Burdanov, G.V. Efimov, S.N. Nedelko, S.A. Solunin","Meson masses within the model of induced nonlocal quark currents","31 pages, LaTex","Phys.Rev.D54:4483-4498,1996","10.1103/PhysRevD.54.4483",,"hep-ph",,"  The model of induced quark currents formulated in our recent paper (Phys.
Rev. D51, 176) is developed. The model being a kind of nonlocal extension of
the bosonization procedure is based on the hypothesis that the QCD vacuum is
realized by the (anti-)self-dual homogeneous gluon field. This vacuum field
provides the analytical quark confinement. It is shown that a particular form
of nonlocality of the quark and gluon propagators determined by the vacuum
field, an interaction of quark spin with the vacuum gluon field and a
localization of meson field at the center of masses of two quarks can explain
the distinctive features of meson spectrum: Regge trajectories of radial and
orbital excitations, mass splitting between pseudoscalar and vector mesons, the
asymptotic mass formulas in the heavy quark limit: $M_{Q\bar Q}\to 2m_Q$ for
quarkonia and $M_{Q\bar q}\to m_Q$ for heavy-light mesons. With a minimal set
of parameters (quark masses, vacuum field strength and the quark-gluon coupling
constant) the model describes to within ten percent inaccuracy the masses and
weak decay constants of mesons from all qualitatively different regions of the
spectrum.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 16:39:46 GMT""}]","2011-07-19"
"hep-ph/9601346","Bill Scott","P.F. Harrison, D.H. Perkins, W.G. Scott","No Mikheyev-Smirnov-Wolfenstein Effect in Maximal Mixing","8 Pages, LaTex, 4 figures as postscript files","Phys.Lett. B374 (1996) 111-115","10.1016/0370-2693(96)00233-X","RAL-TR-95-078","hep-ph",,"  We investigate the possible influence of the MSW effect on the expectations
for the solar neutrino experiments in the maximal mixing scenario suggested by
the atmospheric neutrino data. A direct numerical calculation of matter induced
effects in the Sun shows that the naive vacuum predictions are left completely
undisturbed in the particular case of maximal mixing, so that the MSW effect
turns out to be unobservable. We give a qualitative explanation of this result.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 16:14:16 GMT""}]","2009-10-28"
"hep-ph/9601347",,"Wim Beenakker, Geert Jan van Oldenborgh (Univ. Leiden), Jiri Hoogland,
  Ronald Kleiss (NIKHEF, Amsterdam)","Definitions and upper bounds for unstable boson masses","12 pages, elsart, also available from
  http://rulgm4.LeidenUniv.nl/preprints.html, added acknowledgements","Phys.Lett. B376 (1996) 136-141","10.1016/0370-2693(96)00282-1","INLO-PUB-01/96, NIKHEF 96/04","hep-ph",,"  We consider the problem of a proper definition of the mass of a heavy
unstable boson. It is shown how various definitions are related by the
renormalization-scheme independence of the full resummed amplitude. This is
made explicit for the $W$ boson in the large $N_f$ limit, where we find an
upper bound on the peak position of the lineshape and on the mass, provided a
sensible definition of the mass is used. In more realistic models, we
conjecture that under certain conditions the mass is similarly bounded. Using
this approach an upper limit of about 1 TeV on the mass of the
Minimal-Standard-Model Higgs boson is found, independent of any breakdown of
perturbation theory.
","[{""version"":""v1"",""created"":""Fri, 26 Jan 1996 16:28:07 GMT""},{""version"":""v2"",""created"":""Thu, 1 Feb 1996 09:46:23 GMT""}]","2009-10-28"
