"adap-org/9602001","Yuhai Tu","G. Grinstein, M.A. Mu\~noz, and Yuhai Tu","Phase Structure of Systems with Multiplicative Noise","2 figures, submitted to PRL",,"10.1103/PhysRevLett.76.4376",,"adap-org cond-mat nlin.AO",,"  The phase diagrams and transitions of nonequilibrium systems with
multiplicative noise are studied theoretically. We show the existence of both
strong and weak-coupling critical behavior, of two distinct active phases, and
of a nonzero range of parameter values over which the susceptibility is
infinite in any dimension. A scaling theory of the strong-coupling transition
is constructed.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 21:25:09 GMT""}]","2016-08-16"
"alg-geom/9602005","Frank Sottile","Frank Sottile","Real enumerative geometry and effective algebraic equivalence","12 pages, LaTeX 2e","J. Pure and Appl. Alg., 117 & 118 (1997) 601--615",,,"alg-geom math.AG",,"  We describe an approach to the question of finding real solutions to problems
of enumerative geometry, in particular the question of whether a problem of
enumerative geometry can have all of its solutions be real. We give some
methods to infer one problem can have all of its solutions be real, given that
a related problem does. These are used to show many Schubert-type enumerative
problems on some flag manifolds can have all of their solutions be real.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 01:03:24 GMT""}]","2008-02-03"
"alg-geom/9602006","Miles Reid","Miles Reid","Chapters on algebraic surfaces","dvi file compressed by uufiles (instructions for decompressing
  included). To appear in 1993 volume of the IAS/AMS Park City lecture notes
  series. 147 pages. Will also be a Univ. of Warwick preprint, Feb 1996",,,,"alg-geom math.AG",,"  This is a first graduate course in algebraic geometry. It aims to give the
student a lift up into the subject at the research level, with lots of
interesting topics taken from the classification of surfaces, and a
human-oriented discussion of some of the technical foundations, but with no
pretence at an exhaustive treatment. The early chapters introduce topics that
are useful throughout projective and algebraic geometry, make little demands,
and lead to fun calculations. The intermediate chapters introduce elements of
the technical language gradually, whereas the later chapters get into the
substance of the classification of surfaces. Special features include the
theory of minimal models of surfaces via Mori theory, a complete selfcontained
proof of the theorems on classification of surfaces, and a clean treatment of
the foundational results on rational and elliptic Gorenstein surface
singularities.
  Contents:
  Chapter 1. The cubic surface p.4 Exercises to Chapter 1 p.12
  Chapter 2. Rational scrolls p.14 Exercises to Chapter 2 p.23
  Chapter A. Curves on surfaces and intersection numbers p.26 Exs to Ch A p.35
  Chapter B. Sheaves and coherent cohomology p.37 Exercises to Chapter B p.47
  Chapter C. Guide to the classification of surfaces 51
  Chapter 3. K3s p.63 Exercises to Chapter 3 p.76
  Chapter 4. Surfaces and singularities p.80 Exercises to Chapter 4 p.106
  Chapter D. Minimal models of surfaces via Mori theory p.110
  Chapter E. Proof of the classification of surfaces p.121
  References p.146
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 12:59:10 GMT""}]","2015-06-30"
"astro-ph/9602021","Simon White","Simon D.M. White","Violent Relaxation in Hierarchical Clustering","To appear in the proceedings of the 36th Herstmonceux Conference,
  ""Gravitational Dynamics"", editors O. Lahav, E. Terlevich, R. Terlevich 9
  pages including 2 figures",,,,"astro-ph",,"  The term ``violent relaxation'' was coined by Donald Lynden-Bell as a
memorable oxymoron describing how a stellar dynamical system relaxes from a
chaotic initial state to a quasi-equilibrium. His analysis showed that this
process is rapid, even for systems with many stars, and that it leads to
equilibria which may plausibly be related to bounded isothermal spheres. I
review how numerical simulations have improved our understanding of violent
relaxation over the last thirty years. It is clear that the process leads to
equilibria which depend strongly on the initial state, but which nevertheless
have certain common features. A particularly interesting case concerns objects
formed in an expanding universe through dissipationless hierarchical clustering
from gaussian initial conditions; these may correspond to galaxy clusters or to
the dark halos of galaxies. While such objects display a wide range of shapes
and spins, the distributions of these properties depend only weakly on the
cosmological context and on the initial spectrum of density fluctuations. Halo
density profiles appear to have a universal form with a singular central
structure and a characteristic density which depends only on formation epoch.
Low mass halos typically have earlier formation times and thus higher
characteristic densities than high mass halos.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 16:35:51 GMT""}]","2007-05-23"
"astro-ph/9602022","Hendrik C. Spruit","H.C. Spruit (MPI for Astrophysics)","Magnetohydrodynamic winds and jets from accretion disks","40 pages, 14 ps figures. Also available at
  ftp://ibm-3.mpa-garching.mpg.de/pub/suh/henk2.ps.gz or at
  ftp://ibm-3.mpa-garching.mpg.de/pub/suh/henk1.ps.gz (higher quality figures,
  bigger file)",,,,"astro-ph",,"  The theory of magnetically accelerated outflows and jets from accretion disks
is reviewed at an introductory level, with special attention to problem areas
like the launching conditions of the flow at the disk surface, stability of the
magnetic field, and collimation mechanisms. This text will appear in R.A.M.J.
Wijers, M.B. Davies and C.A. Tout, eds., Physical processes in Binary Stars,
Kluwer Dordrecht, 1996 (NATO ASI series).
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 17:36:39 GMT""}]","2007-05-23"
"astro-ph/9602023","Joao Magueijo","Joao Magueijo (DAMTP, MRAO, University of Cambridge), Mike Hobson
  (MRAO, University of Cambridge)","Cosmic Microwave Background experiments targeting the cosmic strings
  Doppler peak signal","5 pages, LaTeX, 3 figures",,,"DAMTP-96-11, MRAO-1900","astro-ph",,"  We investigate which experiments are better suited to test the robust
prediction that cosmic strings do not produce secondary Doppler peaks. We
propose a statistic for detecting oscillations in the $C^l$ spectrum, and study
its statistical relevance given the truth of an inflationary competitor to
cosmic strings. The analysis is performed for single-dish experiments and
interferometers, subject to a variety of noise levels and scanning features. A
high resolution of 0.2 degrees is found to be required for single-dish
experiments with realistic levels of noise. Interferometers appear to be more
suitable for detecting this signal.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 22:26:19 GMT""}]","2007-05-23"
"astro-ph/9602024","C. Steidel","C. Steidel, M. Giavalisco, M. Pettini, M. Dickinson, K. Adelberger","Spectroscopic Confirmation of a Population of Normal Star-Forming
  Galaxies at Redshifts z>3","To be published in ApJ Letters, 12 pages, AAS Latex, including 2
  figures. Also available at ftp://astro.caltech.edu/users/ccs/zg3spec.tar.gz","Astrophys.J.462:L17,1996","10.1086/310029",,"astro-ph",,"  We report the discovery of a substantial population of star--forming galaxies
at $3.0 \simlt z \simlt 3.5$. These galaxies have been selected using color
criteria sensitive to the presence of a Lyman continuum break superposed on an
otherwise very blue far-UV continuum, and then confirmed with deep spectroscopy
on the W. M. Keck telescope. The surface density of galaxies brighter than R=25
with 3 < z < 3.5 is $0.4\pm0.07$ galaxies arcmin$^{-2}$, approximately 1.3\% of
the deep counts at these magnitudes; this value applies both to ``random''
fields and to fields centered on known QSOs. The corresponding co-moving space
density is approximately half that of luminous ($L \simgt L^{\ast}$)
present--day galaxies. Our sample of $z > 3$ galaxies is large enough that we
can begin to detail the spectroscopic characteristics of the population as a
whole. The spectra of the $z>3$ galaxies are remarkably similar to those of
nearby star-forming galaxies, the dominant features being strong
low--ionization interstellar absorption lines and high--ionization stellar
lines, often with P-Cygni profiles characteristic of Wolf-Rayet and O--star
winds. Lyman $\alpha$ emission is generally weak ($< 20$ \AA\ rest equivalent
width) and is absent for >50% of the galaxies. The star formation rates,
measured directly from the far-UV continua, lie in the range 4-25 $h_{50}^{-2}$
M$\sun$ yr$^{-1}$ for $q_0=0.5$. Together with the morphological properties of
the $z>3$ galaxy population, which we discuss in a companion paper (Giavalisco
\et 1996), all of these findings strongly suggest that we have identified the
high-redshift counterparts of the spheroid component of present--day luminous
galaxies. In any case, it is clear that massive galaxy formation was already
well underway by $z \sim 3.5$. (shortened abstract). arch-ive/yymmnnn
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 19:19:16 GMT""}]","2009-10-28"
"astro-ph/9602025","Peter Hoeflich","P. Hoeflich, A. Khokkhlov","Explosion Models for Type Ia Supernovae: A Comparison with Observed
  Light Curves, distances, H_o and q_o","55 pages, 26 figures. For a postscript version with high resolution
  send E-Mail to pah@cfa141.harvard.edu; To appear in ""The Astrophysical
  Journal""",,"10.1086/176748",,"astro-ph",,"  Theoretical monochromatic light curves and photospheric expansion velocities
are compared with observations of 27 Type Ia supernovae (SNe Ia). A set of 37
models has been considered which encompasses all currently discussed explosion
scenarios for Type Ia supernovae including deflagrations, detonations, delayed
detonations, pulsating delayed detonations and tamped detonations of Chandra-
mass, and Helium detonations of low mass white dwarfs. The explosions are
calculated using one-dimensional Lagrangian hydro and radiation-hydro codes
with incorporated nuclear networks. Subsequently, light curves are constructed
using our LC scheme which includes an implicit radiation transport, expansion
opacities, a Monte-Carlo $\gamma $-ray transport, and molecular and dust
formation. For some supernovae, results of detailed non-LTE calculations have
been considered.
  Observational properties of our series of models are discussed, the relation
between the absolute brightness, post-maximum decline rates, the colors at
several moments of time, etc. All models with a Ni production larger than 0.4
solar masses produce light curves of similar brightness. The influence of the
cosmological red shift on the light curves and on the correction for
interstellar reddening is discussed.
  Based on data rectification of the standard deviation, a quantitative
procedure to fit the observations has been used to the determine the free
parameters, i.e. the correct model, the distance, the reddening, and the time
of the explosion. The results are discussed in detail and applied to determine
Ho and qo.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 14:43:51 GMT""}]","2016-08-30"
"astro-ph/9602026","Fontana Adriano","E. Giallongo (OARome), S. Cristiani(Padova Univ,,ESO), S.
  D'Odorico(ESO), A. Fontana(OARome), S. Savaglio(IAS,ESO)","The Proximity Effect, the UV Background and the Statistics of the
  Lyman-Alpha Lines at High Resolution","24 pages (2 macros included) + 9 figures. Accepted for publication on
  ApJ. Revised version: minor changes to text and fig 8 and 9",,"10.1086/177492",,"astro-ph",,"  We present results from high resolution (R\simeq 28000) spectra of six high-
redshift QSOs taken at the ESO NTT telescope that allow the detailed study of
the Ly-alpha population in the redshift interval z=2.8-4.1. The typical Doppler
parameters found for the Ly-alpha lines lie in the interval b=20\div30 km/s,
corresponding to temperatures T>24000K, with a fraction of the order 15% in the
range 10<b<20km/s. These values are still consistent with models of low
density, highly ionized clouds. The observed redshift and column density
distributions obtained from these spectra and from the observations of 4 a
dditional QSOs taken in the literature allow an accurate estimate of the
proximity effect from a relatively large Ly-alpha sample (more than 1100 lines
with logN_{HI}>=13.3) in the redshift interval z=1.7-4.1. A Maximum Likelihood
analysis has been applied to estimate SIMULTANEOUSLY the best fit parameters of
the Ly-alpha$ statistics AND of the UV background. After correcting for the
blanketing of weak lines, we confirm that the column density distribution is
best represented by a double power-law with a break at logN_{HI}\simeq14, with
a slope beta_s=1.8 for higher column densities and a flatter slope beta_f=1.4
below the break. A value J_{LL}= 5 \pm1 \times10^{-22} erg/cm^2/s/Hz/sr is
derived for the UV background in the redshift interval z=1.7-4.1, consistent
with the predicted QSO contribution. No evidence is found for redshift
evolution of the UVB in the same redshift interval. The comoving volume density
distributions of protogalactic Damped and Lyman Lymit systems and Ly-alpha
clouds with log N_{HI}>= 14 and radii R\simeq 200 kpc are found to be similar,
suggesting a possible common association with galaxies.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 15:04:06 GMT""},{""version"":""v2"",""created"":""Thu, 29 Feb 1996 13:46:23 GMT""}]","2009-10-28"
"astro-ph/9602027",,"E.M. de Gouveia Dal Pino, M. Birkinshaw, and W. Benz","A Possible Mechanism for Wiggling Protostellar Jets from 3D Simulations
  in a Stratified Ambient Medium","To appear in the Astrophys. J. (Lett.), Latex file, 14 pages, 2 Figs.
  available upon request",,"10.1086/309978",,"astro-ph",,"  Most collimated supersonic protostellar jets show a collimated wiggling, and
knotty structure (e.g., the Haro 6-5B jet) and frequently reveal a long gap
between this structure and the terminal bow shock. In a few cases, there is no
evidence of such a terminal feature. We present three-dimensional smoothed
particle hydrodynamical simulations which suggest that this morphology may be
due to the interaction of the propagating cooling jet with a non-homogeneous
ambient medium. In regions where the ambient gas has an increasing density (and
pressure) gradient, we find that it tends to compress the cold, low-pressure
cocoon of shocked material that surrounds the beam, destroy the bow shock-like
structure at the head, and enhance beam focusing, wiggling, and internal
traveling shocks. In ambient regions of decreasing density (and pressure), the
flow widens and relaxes, becoming very faint. This could explain ``invisible''
segments in systems like the Haro 6-5B jet. The bow shock in these cases could
be a relic of an earlier outflow episode, as previously suggested, or the place
where the jet reappears after striking a denser portion of the ambient medium.
","[{""version"":""v1"",""created"":""Tue, 6 Feb 1996 08:59:50 GMT""}]","2009-10-28"
"cond-mat/9602018","Carlo Canali","C.M. Canali, Chaitali Basu, W. Stephan and V.E. Kravtsov","Distribution of level curvatures for the Anderson model at the
  localization-delocalization transition","4 ReVTeX pages and 4(.epsi)figures included in one uuencoded package",,"10.1103/PhysRevB.54.1431","ICTP/95","cond-mat",,"  We compute the distribution function of single-level curvatures, $P(k)$, for
a tight binding model with site disorder, on a cubic lattice. In metals $P(k)$
is very close to the predictions of the random-matrix theory (RMT). In
insulators $P(k)$ has a logarithmically-normal form. At the Anderson
localization-delocalization transition $P(k)$ fits very well the proposed novel
distribution $P(k)\propto (1+k^{\mu})^{3/\mu}$ with $\mu \approx 1.58$, which
approaches the RMT result for large $k$ and is non-analytical at small $k$. We
ascribe such a non-analiticity to the spatial multifractality of the critical
wave functions.
","[{""version"":""v1"",""created"":""Mon, 5 Feb 1996 17:21:06 GMT""}]","2009-10-28"
