"astro-ph/9602115","Martin Pohl","M. Pohl","Leptonic origin of TeV gamma-rays from Supernova Remnants","3 pages, accepted as Letter in A&A","Astron.Astrophys.307:L57-L59,1996",,,"astro-ph",,"  The lineless power-law emission observed by ASCA from the northeastern rim of
the supernova remnant SN1006 has recently been interpreted as synchrotron
radiation of electrons with energies around 100 TeV. In this letter we
calculate the flux of inverse Compton emission at TeV photon energies that is a
natural consequence of the existence of such high energy electrons and the
cosmic microwave background. We find that the predicted flux is near the
present sensitivity limit of the southern \v Cerenkov telescope CANGAROO, and
should be detectable with the next performance improvements. The spectrum of
SN1006 at a few TeV will be very soft. The existence of such highest energy
electrons in SN1006 may not be a unique to this remnant. We can therefore
conclude that the detection of TeV $\gamma$-ray emission in any supernova
remnant does not necessarily provide evidence for a large number of cosmic ray
nucleons in these objects, and thus is no simple test of cosmic ray origin as
far as nucleons are concerned.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:23:55 GMT""}]","2011-05-23"
"astro-ph/9602116","R. R. Caldwell","Pedro Avelino and Robert Caldwell (University of Cambridge - DAMTP)","Entropy Perturbations due to Cosmic Strings","9 pages, REVTeX","Phys.Rev.D53:5339-5343,1996","10.1103/PhysRevD.53.R5339","DAMTP-R95/58","astro-ph",,"  We examine variations in the equation of state of the cosmic string portion
of the cosmological fluid which lead to perturbations of the background matter
density. These fluctuations in the equation of state are due to variations in
the local density of cosmic string loops and gravitational radiation.
Constructing a crude model of the distribution of entropy perturbations, we
obtain the resulting fluctuation spectrum using a gauge-invariant formalism. We
compute the resulting cosmic microwave background anisotropy, and estimate the
effect of these perturbations on the cosmic string structure formation
scenario.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 16:59:08 GMT""}]","2010-01-06"
"astro-ph/9602117","Carl Grillmair","Y.I. Byun (1), C.J. Grillmair (2), S.M. Faber (2), E.A. Ajhar (3), A.
  Dressler (4), J. Kormendy (1), T.R. Lauer (3), D. Richstone (5), S. Tremaine
  (6) ((1) University of Hawaii, (2) UCO/Lick Observatory, (3) Kitt Peak
  National Observatory, (4) The Observatories of the Carnegie Institution of
  Washington, (5) University of Michigan, (6) Canadian Institute for
  Theoretical Astrophysics)","The Centers of Early-Type Galaxies with HST II: Empirical Models and
  Structural Parameters","14 pages, 1 table, 8 postscript figures, aaspp4.sty included,
  accepted for publication in the Astronomical Journal",,"10.1086/117927",,"astro-ph",,"  We present a set of structural parameters for the central parts of 57
early-type galaxies observed with the Planetary Camera of the Hubble Space
Telescope. These parameters are based on a new empirical law that successfully
characterizes the centers of early type galaxies. This empirical law assumes
that the surface brightness profile is a combination of two power laws with
different slopes gamma and beta for the inner and outer regions. Conventional
structural parameters such as core radius and central surface brightness are
replaced by break radius r_b, where the transition between power-law slopes
takes place, and surface brightness mu_b at that radius. An additional
parameter alpha describes the sharpness of the break. The structural parameters
are derived using a chi-squared minimization process applied to the mean
surface brightness profiles. The resulting model profiles generally give very
good agreement to the observed profiles out to the radius of 10 arcseconds
imaged by the Planetary Camera. Exceptions include galaxies which depart from
pure power-laws at large radius, those with strong nuclear components, and
galaxies partly obscured by dust. The uncertainties in the derived parameters
are estimated using Monte-Carlo simulations which test the stability of
solutions in the face of photon noise and the effects of the deconvolution
process. The covariance of the structural parameters is examined by computing
contours of constant chi squared in multi-dimensional parameter space.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 19:36:27 GMT""}]","2009-10-28"
"astro-ph/9602118","Francisco ""J."" Carrera","M.J. Page, F.J. Carrera, G. Hasinger, K.O. Mason, R. McMahon, J.P.D.
  Mittaz, X. Barcons, R. Carballo, I. Gonzalez-Serrano, and I. Perez-Fournon","The Luminosity Function Evolution of Soft X--ray selected AGN in the
  RIXOS survey","10 pages, LaTeX file, PS figures and mn.sty. Accepted in MNRAS",,"10.1093/mnras/281.2.579",,"astro-ph",,"  A sample of 198 soft X--ray selected active galactic nuclei (AGN) from the
ROSAT International X--ray Optical Survey (RIXOS), is used to investigate the
X--ray luminosity function and its evolution. RIXOS, with a flux limit of 3E-14
erg s-1 cm-2 (0.5 to 2.0 keV), samples a broad range in redshift over 20 deg^2
of sky, and is almost completely identified; it is used in combination with the
Einstein Extended Medium Sensitivity Survey (EMSS), to give a total sample of
over 600 AGN. We find the evolution of AGN with redshift to be consistent with
pure luminosity evolution (PLE) models in which the rate of evolution slows
markedly or stops at high redshifts z>1.8. We find that this result is not
affected by the inclusion, or exclusion, of narrow emission line galaxies at
low redshift in the RIXOS and EMSS samples, and is insensitive to uncertainties
in the conversion between flux values measured with ROSAT and Einstein. We
confirm, using a model independent Ve/Va test, that our survey is consistent
with no evolution at high redshifts.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 19:26:44 GMT""}]","2015-06-24"
"astro-ph/9602119","Frank Summers","F J Summers (Princeton University)","Galaxy Formation in Hierarchical Models","Submitted to The Astrophysical Journal. Low resolution (100 dpi)
  figures included. Full resolution figures available from the author or at
  http://astro.princeton.edu/~summers/",,,"POPe-654","astro-ph",,"  High resolution gravity plus smoothed particle hydrodynamics simulations are
used to study the formation of galaxies within the context of hierarchical
structure formation. The simulations have sufficient dynamic range to resolve
from ten kpc scale galactic disks up to many Mpc scale filaments. Over this
range of scales, we find that hierarchical structure development proceeds
through a series of increasingly larger filamentary collapses. The well
resolved simulated galaxies contain hundreds to thousands of particles and have
varied morphologies covering the entire expected range from disks to tidally
distorted objects. The epoch of galaxy formation occurs early, about redshift
2.5 for 10^12 M_sun galaxies. Hierarchical formation naturally produces
correlations among the mass, age, morphology, and local density of galaxies
which match the trends in the observed morphology--density relation. We also
describe a method of spiral galaxy formation in which galactic disks form
through the discrete accretion of gas clouds which transport most of the
angular momentum to the inner regions. Such a process is characteristic of the
somewhat chaotic nature of hierarchical structure formation where simple
analytical ideas of spherical collapse appear incongruous.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 00:04:07 GMT""}]","2007-05-23"
"astro-ph/9602120","Judy Cohen","J.G.Cohen, D.W.Hogg, M.A.Pahre, and R.Blandford (Caltech)","Strong Redshift Clustering of Distant Galaxies","18 pages, including 2 figures, accepted for publication in ApJ
  Letters",,"10.1086/310020",,"astro-ph",,"  We present initial results from a redshift survey carried out with the Low
Resolution Imaging Spectrograph on the 10~m W. M. Keck Telescope of a field
14.6 arc-min$^2$ in solid angle. In the redshift distribution of the 106
extragalactic objects in this sample we find five strong peaks, with velocity
dispersions of ${\sim}500${\kms}. There is evidence for a non-uniform areal
density of objects in at least two peaks. These peaks have characteristics
(velocity dispersions, density enhancements, spacing, and spatial extent)
similar to those of nearby galaxy structures (e.g., walls and clusters), and
these are expected in a survey of this kind. We suggest that the prominence of
these structures in our survey relative to that in other surveys can be
attributed to our $K$-selection and dense sampling.
","[{""version"":""v1"",""created"":""Thu, 22 Feb 1996 22:35:37 GMT""}]","2016-08-30"
"astro-ph/9602121","Howard Yee","H.K.C. Yee (U.Toronto), E. Ellingson (U.Colorado), J. Bechtold
  (U.Arizona), R. Carlberg (U.Toronto) and J.C. Cuillandre (Obs Midi-Pyrenees)","A Proto-Galaxy Candidate at z=2.7 Discovered by Its Young Stellar
  Population","31 page, Latex file with 9 encapsulated figures, requiring aasppt.sty
  and epsf.sty (included). Full uuencoded ps file available from:
  http://manaslu.astro.utoronto.ca/~carlberg/cnoc/general.html Accepted by
  Astronomical Journal, in press, May 1996",,"10.1086/117916",,"astro-ph",,"  A protogalaxy candidate at z=2.72 has been discovered serendipitously by the
CNOC cluster redshift survey. The candidate is an extremely luminous (V=20.5
mag, absolute mag -26) and well resolved disk-like galaxy. The redshift is
identified from a dozen strong UV absorption lines. No emission lines are found
between 1000 and 2000A (rest), including Ly alpha. The photometric data fit the
spectral energy distributions of a stellar population from 400 million years to
an arbitrarily young age, dependent on the amount of dust extinction. However,
the presence of a strong P-Cygni profile in CIV~indicates that a very
substantial component of the stellar population must be younger than ~ 10 Myr.
We interpret this object as an early-type galaxy observed within about 100
million years of the initial burst of star formation which created most of its
stellar mass. Because of the resolved, regular, and smooth nature of the
object, it is unlikely that the high luminosity is due to gravitational
lensing.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 03:55:12 GMT""}]","2009-10-28"
"astro-ph/9602122","Saul Perlmutter","S. Perlmutter, S. Deustua, S. Gabi, G. Goldhaber, D. Groom, I. Hook,
  A. Kim, M. Kim, J. Lee, R. Pain, C. Pennypacker, I. Small, A. Goobar, R.
  Ellis, K. Glazebrook, R. McMahon, B. Boyle, P. Bunclark, D. Carter, M. Irwin,
  H. Newberg, A. V. Filippenko, T. Matheson, M. Dopita, J. Mould, and W. Couch
  (The Supernova Cosmology Project: I)","Scheduled Discoveries of 7+ High-Redshift Supernovae: First Cosmology
  Results and Bounds on q_0","15 pages, 6 Postscript figures, uuencoded uses crckapb.sty and
  psfig.sty. To appear in Thermonuclear Supernovae (NATO ASI), eds. R. Canal,
  P. Ruiz-LaPuente, and J. Isern. Postscript version is also available at
  http://www-supernova.lbl.gov/",,,,"astro-ph",,"  Our search for high-redshift Type Ia supernovae discovered, in its first
years, a sample of seven supernovae. Using a ""batch"" search strategy, almost
all were discovered before maximum light and were observed over the peak of
their light curves. The spectra and light curves indicate that almost all were
Type Ia supernovae at redshifts z = 0.35 -- 0.5. These high-redshift supernovae
can provide a distance indicator and ""standard clock"" to study the cosmological
parameters q_0, Lambda, Omega_0, and H_0. This presentation and the following
presentations of Kim et al. (1996), Goldhaber et al. (1996), and Pain et al.
(1996) will discuss observation strategies and rates, analysis and calibration
issues, the sources of measurement uncertainty, and the cosmological
implications, including bounds on q_0, of these first high-redshift supernovae
from our ongoing search.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 05:50:34 GMT""}]","2007-05-23"
"astro-ph/9602123","Saul Perlmutter","A. Kim, S. Deustua, S. Gabi, G. Goldhaber, D. Groom, I. Hook, M. Kim,
  J. Lee, R. Pain, C. Pennypacker, S. Perlmutter, I. Small, A. Goobar, R.
  Ellis, K. Glazebrook, R. McMahon, B. Boyle, P. Bunclark, D. Carter, M. Irwin,
  H. Newberg, A. V. Filippenko, T. Matheson, M. Dopita, J. Mould, and W. Couch
  (The Supernova Cosmology Project: II)","K Corrections For Type Ia Supernovae and a Test for Spatial Variation of
  the Hubble Constant","6 pages, 3 Postscript figures, uuencoded uses crckapb.sty and
  psfig.sty. To appear in Thermonuclear Supernovae (NATO ASI), eds. R. Canal,
  P. Ruiz-LaPuente, and J. Isern. Postscript version is also available at
  http://www-supernova.lbl.gov/",,,,"astro-ph",,"  Cross-filter K corrections for a sample of ""normal"" Type Ia supernovae (SNe)
have been calculated for a range of epochs. With appropriate filter choices,
the combined statistical and systematic K correction dispersion of the full
sample lies within 0.05 mag for redshifts z<0.7. This narrow dispersion of the
calculated K correction allows the Type Ia to be used as a cosmological probe.
We use the K corrections with observations of seven SNe at redshifts 0.3 < z
<0.5 to bound the possible difference between the locally measured Hubble
constant (H_L) and the true cosmological Hubble constant (H_0).
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 05:50:50 GMT""}]","2007-05-23"
"astro-ph/9602124","Saul Perlmutter","G. Goldhaber, S. Deustua, S. Gabi, D. Groom, I. Hook, A. Kim, M. Kim,
  J. Lee, R. Pain, C. Pennypacker, S. Perlmutter, I. Small, A. Goobar, R.
  Ellis, K. Glazebrook, R. McMahon, B. Boyle, P. Bunclark, D. Carter, M. Irwin,
  H. Newberg, A. V. Filippenko, T. Matheson, M. Dopita, J. Mould, and W. Couch
  (The Supernova Cosmology Project: III)","Observation of Cosmological Time Dilation using Type Ia Supernovae as
  Clocks","8 pages, 3 Postscript figures, uuencoded uses crckapb.sty and
  psfig.sty. To appear in Thermonuclear Supernovae (NATO ASI), eds. R. Canal,
  P. Ruiz-LaPuente, and J. Isern. Postscript version is also available at
  http://www-supernova.lbl.gov/",,,,"astro-ph",,"  This work is based on the first results from a systematic search for high
redshift Type Ia supernovae. Using filters in the R-band we discovered seven
such SNe, with redshift z = 0.3 - 0.5, before or at maximum light. Type Ia SNe
are known to be a homogeneous group of SNe, to first order, with very similar
light curves, spectra and peak luminosities. In this talk we report that the
light curves we observe are all broadened (time dilated) as expected from the
expanding universe hypothesis. Small variations from the expected 1+z
broadening of the light curve widths can be attributed to a width-brightness
correlation that has been observed for nearby SNe (z<0.1). We show in this talk
the first clear observation of the cosmological time dilation for macroscopic
objects.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 05:51:07 GMT""}]","2007-05-23"
"astro-ph/9602125","Saul Perlmutter","R. Pain, I. Hook, S. Perlmutter, S. Deustua, S. Gabi, G. Goldhaber, D.
  Groom, A. Kim, M. Kim, J. Lee, C. Pennypacker, I. Small, A. Goobar, R. Ellis,
  K. Glazebrook, R. McMahon, B. Boyle, P. Bunclark, D. Carter, M. Irwin, H.
  Newberg, A. V. Filippenko, T. Matheson, M. Dopita, J. Mould, and W. Couch
  (The Supernova Cosmology Project: IV)","The Type Ia Supernova Rate at z ~ 0.4","9 pages, 3 Postscript figures, uuencoded uses crckapb.sty and
  psfig.sty. To appear in Thermonuclear Supernovae (NATO ASI), eds. R. Canal,
  P. Ruiz-LaPuente, and J. Isern. Postscript version is also available at
  http://www-supernova.lbl.gov/",,,,"astro-ph",,"  We present the first measurement of the rate of Type Ia supernovae at high
redshift. The result is derived using a large subset of data from the Supernova
Cosmology Project as described in more detail at this meeting by Perlmutter et
al. (1996). We present our methods for estimating the numbers of galaxies and
the number of solar luminosities to which the survey is sensitive, the
supernova detection efficiency and hence the control time. We derive a
rest-frame Type Ia supernova rate at z~0.4 of 0.82^+0.54_-0.37 ^+0.42_-0.32 h^2
SNu where the first uncertainty is statistical and the second includes
systematic effects.
","[{""version"":""v1"",""created"":""Fri, 23 Feb 1996 05:51:26 GMT""}]","2007-05-23"
