"alg-geom/9603003","Teleman","Christian Okonek and Andrei Teleman","Seiberg-Witten invariants for manifolds with $b_+=1$, and the universal
  wall crossing formula","LaTeX, 27 pages. To appear in Int. J. Math",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  In this paper we describe the Seiberg-Witten invariants, which have been
introduced by Witten, for manifolds with $b_+=1$. In this case the invariants
depend on a chamber structure, and there exists a universal wall crossing
formula. For every K\""ahler surface with $p_g=0$ and $q$=0, these invariants
are non-trivial for all $Spin^c(4)$-structures of non-negative index.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 17:33:23 GMT""},{""version"":""v2"",""created"":""Sat, 9 Mar 1996 15:05:00 GMT""},{""version"":""v3"",""created"":""Fri, 15 Mar 1996 16:52:46 GMT""},{""version"":""v4"",""created"":""Fri, 19 Apr 1996 18:22:22 GMT""}]","2008-02-03"
"alg-geom/9603004","Gerard Laumon","Gerard Laumon","Transformation de Fourier generalisee","This is a revised version of an IHES preprint (Transformation de
  Fourier geometrique, IHES/85/M/52) 47 pages, no figure. PlainTeX",,,,"alg-geom math.AG",,"  In this paper I construct a geometric transformation for generalized
1-motives which extends the Fourier-Mukai transformation for O-Modules on
abelian varieties, the geometric Fourier transformation for D-Modules on vector
spaces and the geometric Mellin transformation for D-Modules on tori. In
particular, I construct an equivalence of triangulated categories between the
derived category of quasi-coherent D-Modules on an abelian variety and the
derived category of quasi-coherent O-Modules on the universal extension of the
dual abelian variety. This equivalence has also been obtained by Mitchell
Rothstein.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 12:45:12 GMT""}]","2008-02-03"
"astro-ph/9603008","Wei Zheng","Wei Zheng (Johns Hopkins University)","A Study of Time Variations of UV Continuum and Emission Lines in 3C390.3","To appear in The Astronomical Journal, April issue. 24 pages",,"10.1086/117891",,"astro-ph",,"  Based on the IUE SWP spectra obtained between 1978 and 1994, the variations
of the UV continuum and the Ly-alpha and C IV emission lines of the broad-line
radio galaxy 3C390.3 are studied. The UV continuum between 1220 and 1990 A has
varied considerably. In 1991 August, the flux at 1360 A reached a maximum level
~27 times as high as its minimum level. At 1850 A, the continuum varies by a
factor of ~12. Significant variations are frequently observed in periods as
short as one month. The total flux of Ly-alpha and C IV emission varies by a
factor of ~5. Their profiles are fitted with one narrow component, unresolved
at the instrumental resolution of FWHM ~2000 km/s, and three broad components
(FWHM ~6000 km/s). The narrow component varies by a factor of ~2.5. The broad
components on the blue and red wings of the Ly-alpha and C IV emission profile,
which correspond to the double humps in the H-alpha and H-beta emission
feature, display a close correlation to the varying continuum, with a time lag
of ~45 days. The blue Ly-alpha component has been stronger than the red
component except for several epochs in 1980 and 1991. The C IV/Ly-alpha flux
ratio is ~0.4 for the narrow component. For the broad components, this ratio
varies considerably around an average value of unity. In 1991 March, the blue
Ly-alpha component was stronger than the red, while for C IV the red component
was stronger. Such differential variations do not match the accretion disk
characteristics. The findings suggest that the narrow- and broad-line region in
3C 390.3 may be associated with a radio jet.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 16:25:08 GMT""}]","2009-10-28"
"astro-ph/9603009",,"Brian D. Fields, Kimmo Kainulainen, Keith A. Olive, and David Thomas","Model Independent Predictions of Big Bang Nucleosynthesis from \he4 and
  \li7: Consistency and Implications","28 pages, latex, 10 ps figures","New Astron.1:77-96,1996","10.1016/S1384-1076(96)00007-3","UMN-TH-1424/96; CERN-TH/95-59","astro-ph hep-ph",,"  We examine in detail how BBN theory is constrained, and what predictions it
can make, when using only the most model-independent observational constraints.
We avoid the uncertainties and model-dependencies that necessarily arise when
solar neighborhood D and \he3 abundances are used to infer primordial D and
\he3 via chemical and stellar evolution models. Instead, we use \he4 and \li7,
thoroughly examining the effects of possible systematic errors in each. Via a
likelihood analysis, we find near perfect agreement between BBN theory and the
most model-independent data. Given this agreement, we then {\it assume} the
correctness of BBN to set limits on the single parameter of standard BBN, the
baryon-to-photon ratio, and to predict the primordial D and \he3 abundances. We
also repeat our analysis including recent measurements of D/H from quasar
absorption systems and find that the near perfect agreement between theory and
observation of the three isotopes, D, \he4 and \li7 is maintained. These
results have strong implications for the chemical and stellar evolution of the
light elements, in particular for \he3. In addition, our results (especially if
the D/H measurements are confirmed) have implications for the stellar depletion
of \li7. Finally, we set limits on the number \nnu\ of neutrino flavors, using
an analysis which carefully and systematically includes all available
experimental constraints. The value \nnu = 3.0 fits best with BBN and a 95\% CL
upper limit of \nnu $\la 4$ is established.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 16:26:02 GMT""}]","2009-09-15"
"astro-ph/9603010","Jean M. Quashnock","Jean M. Quashnock (Department of Astronomy and Astrophysics,
  University of Chicago)","A Constraint on the Distance Scale to Cosmological Gamma--Ray Bursts","15 LaTeX pages with 2 encapsulated Postscript figures included, uses
  AASTeX (v. 4.0) available at ftp://ftp.aas.org/pubs/","Astrophys.J. 461 (1996) L69","10.1086/310016",,"astro-ph",,"  If \g--ray bursts are cosmological in origin, the sources are expected to
trace the large--scale structure of luminous matter in the universe. I use a
new likelihood method that compares the counts--in--cells distribution of
\g--ray bursts in the BATSE 3B catalog with that expected from the known
large--scale structure of the universe, in order to place a constraint on the
distance scale to cosmological bursts. I find, at the 95\% confidence level,
that the comoving distance to the ``edge'' of the burst distribution is greater
than $630~h^{-1}$~Mpc ($z > 0.25$), and that the nearest burst is farther than
$40~h^{-1}$~Mpc. The median distance to the nearest burst is $170~h^{-1}$~Mpc,
implying that the total energy released in \g--rays during a burst event is of
order $3\times 10^{51}~h^{-2}$ ergs. None of the bursts that have been observed
by BATSE are in nearby galaxies, nor is a signature from the Coma cluster or
the ``Great Wall'' likely to be seen in the data at present.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 18:45:50 GMT""}]","2009-10-28"
"astro-ph/9603011",,"R.G. Gratton (Osservatorio Astronomico di Padova), E. Carretta
  (Dipartimento di Astronomia, Universit\`a di Padova and Osservatorio
  Astronomico di Bologna), F. Castelli (Osservatorio Astronomico di Trieste)","Abundances of light elements in metal-poor stars. I. Atmospheric
  parameters and a new T_eff scale","15 pages, 13 encapsulated Postscript figures, uses l-aa.sty",,,,"astro-ph",,"  We present atmospheric parameters for about 300 stars of different chemical
composition, whose spectra will be used to study the galactic enrichment of Fe
and light elements. These parameters were derived using an homogenous iterative
procedure, which considers new calibrations of colour-\teff\ relations for F, G
and K-type stars based on Infrared Flux Method (IRFM) and interferometric
diameters for population~I stars, and the Kurucz (1992) model atmospheres. We
found that these calibrations yield a self-consistent set of atmospheric
parameters for \teff$>4400$~K, representing a clear improvement over results
obtained with older model atmospheres. Using this \teff-scale and Fe
equilibrium of ionization, we obtained very low gravities (implying
luminosities incompatible with that expected for RGB stars) for metal-poor
stars cooler than 4400~K; this might be due either to a moderate Fe
overionization (expected from statistical equilibrium calculations) or to
inadequacy of Kurucz models to describe the atmospheres of very cool giants.
Our \teff\ scale is compared with other scales recently used for metal-poor
stars; it agrees well with those obtained using Kurucz (1992) models, but it
gives much larger \teff's than those obtained using OSMARCS models (Edvardsson
et al. 1993). This difference is attributed to the different treatment of
convection in the two sets of models. For the Sun, the Kurucz (1992) model
appears to be preferable to the OSMARCS ones because it better predicts the
solar limb darkening; furthermore, we find that our photometric \teff's for
metal-poor stars agree well with both direct estimates based on the IRFM, and
with \teff's derived from H$\alpha$\ wings when using Kurucz models.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 10:34:54 GMT""}]","2007-05-23"
"astro-ph/9603012","Alfonso Aragon-Salamanca","A. Aragon-Salamanca, R.S. Ellis and K.S. O'Brien","Faint galaxies close to QSOs with damped Lyman-alpha absorption systems","7 pages, LaTeX, with 4 postscript figures. To appear in Mon. Not. R.
  Astron. Soc",,"10.1093/mnras/281.3.945","CAP-9511001","astro-ph",,"  We have obtained very deep near-infrared images in the fields of 10 QSOs
whose spectra contain damped Lyman-alpha absorption (DLA) systems with
1.7<z_abs <2.5. The main aim of our investigation is to provide new constraints
on the properties of distant galaxies responsible for the DLA absorption. After
subtracting the point spread function associated with the QSO light, we have
detected galaxies very close to the QSO line of sight (projected distance
1.2-1.3arcsec) in two fields. These sources therefore represent promising
candidate galaxies responsible for the DLA absorption. Placed at the absorber's
redshift, the impact parameter is 10h_50^-1kpc and the luminosity is close to
L_K^*. Such parameters are consistent with the hypothesis, verified for
metallic systems at lower redshift, that slowly-evolving massive galaxies
produce at least some of the absorption systems of high column density in QSO
spectra out to beyond z=2. In addition to detecting these candidate DLA
galaxies, the radio-loud QSOs in our sample show a significant excess of
sources on larger scales (theta=7arcsec); this excess is not present in the
radio-quiet QSO sightlines. We calculate that such an excess could be produced
by luminous galaxies in the cores of clusters associated with radio-loud QSOs.
Both results confirm that deep imaging of selected QSOs can be a powerful
method of finding samples of likely z~2 galaxies. Follow-up near-infrared
spectroscopy is required to secure galaxy redshifts and star formation rates,
while deep HST imaging can determine sizes and morphologies, providing valuable
information on galaxy properties at large look-back times.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 13:12:00 GMT""}]","2015-06-24"
"astro-ph/9603013","Francois Bouchet","F. R. Bouchet (Institut d'Astrophysique de Paris, CNRS)","Introductory Overview of Eulerian and Lagrangian Perturbation Theories","Lecture notes for the Course CXXXII of the Enrico Fermi School on
  ``Dark Matter in the Universe'', help in Varenna, 29 pages, uses iopllppt
  (included)",,,,"astro-ph",,"  These lectures notes give an introduction to the fast developing area of
research dealing with perturbative descriptions of the gravitational
instability in an expanding universe. I just sketch the outlines of some
proofs, and many important contributions (and references) were left out. Many
untouched aspects are reviewed in \cite{sah_col} which also contains a useful
reference list. In the notes dedicated to the Eulerian approach
(\S\ref{sec:fluid} - \S\ref{sec:further}), I derive the fluid equations
starting from a microscopic description, I give their linear solution and some
higher order corrections, and describe a number of applications concerning the
evolution of the one point probability density function for the density
contrast field and for the divergence of the corresponding velocity field. In
the notes dedicated to the Lagrangian point of view (\S\ref{sec:zeldo} -
\S\ref{sec:lag_app}), I recall Zeldovich Approximation and its higher orders
corrections, and present some applications, like their use in describing the
statistical effect of the real space-redshift mapping, or as approximate
description of the full non-linear dynamics.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 14:04:18 GMT""}]","2007-05-23"
"astro-ph/9603014","Martin A. Hendry","M.A. Hendry, S.M. Kanbur","Cepheids, supernovae and the value of $H_0$","5 pages, including 1 figure, gzip'ed and uuencoded postscript file.
  To appear in the proceedings ``Mapping, Measuring and Modelling the
  Universe'', Valencia September 1995, eds P. Coles \& V. Martinez, APS",,,"SUSSEX-AST 96/3-2","astro-ph",,"  The calibration of the Type Ia supernova distances using HST observations of
Cepheid variables is discussed. A new maximum likelihood method of calibration
is applied to derive the PL relation for a composite sample of Cepheids in the
LMC and in the SNIa host galaxies NGC5253 and IC4182. Our results show that the
calibration of the Cepheid PL relation is robust both to sampling error and to
luminosity and period selection effects. Hence, the outstanding uncertainty in
deriving estimates of $H_0$ from SNIa remains the dispersion of the SNIa
luminosity function, and not unresolved systematic errors in its Cepheid
calibration.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 15:21:06 GMT""}]","2007-05-23"
"astro-ph/9603016","Helen Tadros","H. Tadros, G. Efstathiou","Power Spectrum Analysis of the Stromlo-APM Redshift Survey","14 pages, gziped and uuencoded postscript file. Submitted to MNRAS",,"10.1093/mnras/282.4.1381",,"astro-ph",,"  We test estimators of the galaxy power spectrum $P(k)$ against simulated
galaxy catalogues constructed from N-body simulations and we derive formulae to
correct for biases. These estimators are then applied to compute the power
spectrum of galaxies in the Stromlo-APM redshift survey. We test whether the
amplitude of $P(k)$ depends on galaxy luminosity, but find no significant
luminosity dependence except at absolute magnitudes brighter than $M_{\bj} =
-20.3$, ($H_{0} = 100 \kms$) where there is some evidence for a rise in the
amplitude of $P(k)$. By comparing the redshift space power spectrum of the
Stromlo-APM survey with the real space power spectrum determined from the
parent APM Galaxy Survey, we attempt to measure the distortion in the shape of
$P(k)$ caused by galaxy peculiar motions. We find some evidence for an effect,
but the errors are large and do not exclude a value of $\beta = \Omega^{0.6}/b
= 1$, where $\Omega$ is the cosmological density parameter and $b$ is the
linear biasing parameter relating galaxy fluctuations to those in the mass,
$\left(\delta \rho/\rho\right)_{gal} = b \left(\delta \rho/\rho\right)_{m}$.
The shape of the Stromlo-APM power spectrum is consistent with that determined
from the CfA-2 survey, but has a slightly higher amplitude by a factor of about
1.4 than the power spectrum of IRAS galaxies.
","[{""version"":""v1"",""created"":""Tue, 5 Mar 1996 15:37:09 GMT""}]","2015-06-24"
"chao-dyn/9603003","Giovanni Gallavotti","Giovanni Gallavotti (Fisica, Universita' di Roma)","Chaotic hypothesis: Extension of Onsager reciprocity to large fields and
  the chaotic hypothesis","Revises previous paper with the same title and extends the results","Physical Review Letters, 77, 4334--4337, 1996","10.1103/PhysRevLett.77.4334","FM96-2","chao-dyn nlin.CD",,"  The fluctuation theorem (FT), the first derived consequence of the {\it
Chaotic Hypothesis} (CH) of ref. [GC1], can be considered as an extension to
arbitrary forcing fields of the fluctuation dissipation theorem (FD) and the
corresponding Onsager reciprocity (OR), in a class of reversible nonequilibrium
statistical mechanical systems.
","[{""version"":""v1"",""created"":""Mon, 4 Mar 1996 17:43:55 GMT""},{""version"":""v2"",""created"":""Wed, 3 Apr 1996 09:48:59 GMT""}]","2009-10-28"
