"alg-geom/9603007","Harald Skarke","Harald Skarke","Weight systems for toric Calabi-Yau varieties and reflexivity of Newton
  polyhedra","Latex, 14 pages","Mod.Phys.Lett. A11 (1996) 1637-1652","10.1142/S0217732396001636","TU Wien report TUW-96/04","alg-geom hep-th math.AG",,"  According to a recently proposed scheme for the classification of reflexive
polyhedra, weight systems of a certain type play a prominent role. These weight
systems are classified for the cases $n=3$ and $n=4$, corresponding to toric
varieties with K3 and Calabi--Yau hypersurfaces, respectively. For $n=3$ we
find the well known 95 weight systems corresponding to weighted $\IP^3$'s that
allow transverse polynomials, whereas for $n=4$ there are 184026 weight
systems, including the 7555 weight systems for weighted $\IP^4$'s. It is proven
(without computer) that the Newton polyhedra corresponding to all of these
weight systems are reflexive.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 11:45:23 GMT""}]","2009-10-28"
"astro-ph/9603024","Francisco ""J."" Carrera","E.M. Puchnarewicz, K.O. Mason, E. Romero-Colmenero, F.J. Carrera, G.
  Hasinger, R. McMahon, J.P.D. Mittaz, M.J. Page and R. Carballo","Optical and X-ray properties of the RIXOS AGN: I - The continua","24 pages, TeX file, PS figures and mn.tex. Accepted in MNRAS",,"10.1093/mnras/281.4.1243",,"astro-ph",,"  We present measurements of the optical and X-ray continua of 108 AGN (Seyfert
1s and quasars) from the Rosat International X-ray/Optical Survey (RIXOS). The
sample covers a wide range in redshift (0<z<3.3), in X-ray spectral slope (-1.5
<ax<2.6) and in optical-to-X-ray ratio (0.4$<aox<1.5). A correlation is found
between ax and aox; similar correlations have recently been reported in other
X-ray and optical samples. We also identify previously unreported relationships
between the optical slope (aopt) and ax (particularly at high redshifts) and
between aopt and aox. These trends show that the overall optical-to-X-ray conti
nuum changes from convex to concave as ax hardens, demonstrating a strong beha
vioural link between the optical/UV big blue bump (BBB) and the soft X-ray ex
cess, which is consistent with them being part of the same spectral component.
By constructing models of the optical-to-X-ray continuum, we demonstrate that
the observed correlations are consistent with an intrinsic spectrum which is ab
sorbed through different amounts of cold gas and dust. The intrinsic spectrum
is the sum of an optical-to-soft X-ray `big bump' component and an ax=1 power
law; the column density of the cold gas ranges from 0 to ~4E21 cm-2 and the
dust-to-gas ratio is assumed to be Galactic. The `big bump' may be represented
by a T~1E6 K thermal bremsstrahlung or an accretion disk with a surrounding hot
corona. The scatter in the data can accommodate a wide range in big bump tempe
rature (or black hole mass) and strength. A source for the absorbing gas may be
the dusty, molecular torus which lies beyond the broad line-emitting regions,
although with a much lower column density than observed in Seyfert 2 galaxies.
Alternatively, it may be the bulge of a spiral host galaxy or an elliptical
host galaxy.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 16:22:13 GMT""}]","2015-06-24"
"astro-ph/9603025",,"M. Sean O'Brien, J. Christopher Clemens (Hubble Fellow), Steven D.
  Kawaler, and Benjamin T. Dehner (Iowa State University)","The Pulsating Pre-White Dwarf Star PG 0122+200","18 pages (latex, AASTEX) plus 6 PostScript figures, accepted 7
  February 1996 by The Astrophysical Journal",,"10.1086/177614",,"astro-ph",,"  We present an analysis of single-site time-series photometry of the pulsating
pre-white dwarf PG 0122+200. We show the pulsations are consistent with a
pattern of modes equally spaced in period; both the observed period range and
spacing confirm that PG 0122 is a g-mode pulsator. PG 0122 shows a pattern
similar to that seen in multi-site observations of PG 2131+066 and PG 1159-035.
The measured period spacing, combined with the spectroscopic temperature,
constrain the stellar mass much more precisely than the published measurement
of its surface gravity. Based on stellar models, the mass of PG 0122 falls in
the range 0.66-0.72 Msun. Fine structure in the power spectrum indicates that
PG 0122 rotates once every 1.6 days. Future multi--site observation (e.g.,
using the Whole Earth Telescope) should increase the precision of these results
and reveal detailed information on the internal structure of this variable
pre-white dwarf star.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 18:30:53 GMT""}]","2009-10-28"
"astro-ph/9603026",,"David N. Spergel (Dept. of Astrophysical Sciences, Princeton
  University)","Particle Dark Matter","19 pages, Latex, To appear in ""Some Outstanding Questions in
  Astrophysics"", edited by J.N. Bahcall \& J.P. Ostriker",,,,"astro-ph",,"  Several lines of evidence suggest that some of the dark matter may be
non-baryonic: the non-detection of various plausible baryonic candidates for
dark matter inferred, e.g., from galaxy rotation curves and from cluster of
galaxy velocity dispersions, the need for non-baryonic dark matter for
theoretical models of galaxy formation, and the large discrepancy between
dynamical measurements implying $\Omega_0 > 0.2$ and the baryon abundance
inferred from big bang nucleosynthesis, $\Omega_b h^2 = 0.015$. There are a
number of well-motivated dark matter candidates: massive neutrinos,
supersymmetric dark matter and ``invisible'' axions. Many of these dark matter
candidates are potentially detectable by the current generation of dark matter
experiments.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 19:21:44 GMT""}]","2007-05-23"
"astro-ph/9603027","Houjun Mo","H. J. Mo (MPA, IAS) and J. Miralda-Escude (IAS)","Gaseous Galactic Halos and QSO Absorption Line Systems","44 pages, Latex(aaspp4.sty), 16 encap. ps figs. ApJ submitted",,"10.1086/177808",,"astro-ph",,"  A model of Lyman limit QSO absorption systems is investigated where they are
produced in gaseous galactic halos with a two-phase structure: a hot phase at
the halo virial temperature in approximate pressure equilibrium, and a cold,
photoionized phase in the form of clouds confined by the pressure of the hot
medium, and falling through it to the halo center. We show that the masses of
these clouds must be over a relatively narrow range so that they are stable
against gravitational collapse and evaporation. These masses, near $10^6
\msun$, also lead to a covering factor near unity. The hot phase is required to
have a core radius such that its cooling time in the core is equal to the age
of the halo, and the mass in the cold phase is determined by the rate at which
the hot gas cools. We calculate the number of Lyman limit systems arising in
halos of different masses in a CDM model and their impact parameters implied by
these assumptions, and find them to be in reasonable agreement with
observations. The observed low ionization systems such as MgII are well
reproduced as arising from the photoionized phase, and are mostly in halos
around massive galaxies, while CIV selected systems are predicted to be more
commonly associated with lower mass galaxies and larger impact parameters. The
hot phase may give rise to detectable absorption lines in OVI, while the column
densities predicted for other highly ionized species are low and difficult to
observe.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 22:34:15 GMT""}]","2009-10-28"
"astro-ph/9603028","Phillip Helbig","Rainer Kayser, Phillip Helbig and Thomas Schramm (Hamburg Observatory)","A general and practical method for calculating cosmological distances","12 pages + 12 FORTRAN source files + PostScript User's Guide.
  Identical versions of everything available from
  http://www.hs.uni-hamburg.de/english/persons/helbig/Research/Publications/Inf
  o/angsiz.html or ftp://ftp.uni-hamburg.de/pub/unihh/astro/angsiz.tar-gz .
  Paper version available on request. Accepted by A&A. Changes: typos
  corrected, primarily in Appendix B. No changes to FORTRAN code or User's
  Guide. All versions mentioned here are complete; the published version will
  have the appendices published electronically at CDS","Astron.Astrophys. 318 (1997) 680-686",,"hs-helbig-008","astro-ph",,"  The calculation of distances is of fundamental importance in extragalactic
astronomy and cosmology. However, no practical implementation for the general
case has previously been available. We derive a second-order differential
equation for the angular size distance valid not only in all em homogeneous
Friedmann-Lemaitre cosmological models, parametrised by $\lambda_{0}$ and
$\Omega_{0}$, but also in inhomogeneous `on-average' Friedmann-Lemaitre models,
where the inhomogeneity is given by the (in the general case
redshift-dependent) parameter $\eta$. Since most other cosmological distances
can be obtained trivially from the angular size distance, and since the
differential equation can be efficiently solved numerically, this offers for
the first time a practical method for calculating distances in a large class of
cosmological models. We also briefly discuss our numerical implementation,
which is publicly available.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 09:45:29 GMT""},{""version"":""v2"",""created"":""Wed, 15 May 1996 09:42:15 GMT""},{""version"":""v3"",""created"":""Mon, 27 Jan 1997 13:22:03 GMT""}]","2016-08-30"
"astro-ph/9603029","Marijn Franx","Marijn Franx and Pieter van Dokkum","Measuring the evolution of the M/L ratio from the Fundamental Plane in
  CL 0024+16 at z=0.39","8 pages, uuencoded compressed postscript file. To be published in
  Proceedings of IAU symposium 171, ""New light on Galaxy Evolution"", Eds.:
  R.Bender and R. Davies, Kluwer, Dordrecht. Postscript version also available
  at ftp://kapteyn.astro.rug.nl/preprints/197.ps.gz",,,,"astro-ph",,"  The existence of the Fundamental Plane of early-type galaxies implies that
the M/L ratios of early-types are well behaved. It provides therefore an
important tool to measure the evolution of the M/L ratio with redshift. These
measurements, in combination with measurements of the evolution of the
luminosity function, can be used to constrain the mass evolution of galaxies.
  We present the Fundamental Plane relation measured for galaxies in the rich
cluster CL 0024+16 at z=0.391. The galaxies satisfy a tight Fundamental Plane,
with relatively low scatter (15 %). The M/L is 31 +- 12 % lower than the M/L
measured in Coma, which is consistent with simple evolutionary models. Hence,
galaxies with very similar dynamical properties existed at a z=0.4.
  More, and deeper data are needed to measure the evolution of the slope and
the scatter of the Fundamental Plane to higher accuracy. Furthermore, data on
the richest nearby clusters would be valuable to test the hypothesis that the
Fundamental Plane is independent of cluster environment.
","[{""version"":""v1"",""created"":""Thu, 7 Mar 1996 14:54:26 GMT""}]","2007-05-23"
"cond-mat/9603041","Michael Basler","Michael Basler, Wolfram Krech, and Konstantin Yu. Platov (Friedrich
  Schiller Universit\""at Jena)","Anti-phase locking in a two-dimensional Josephson junction array","11 pages, REVTeX, 1 Postscript figure, Subm. to Appl. Phys. Lett",,"10.1063/1.363234",,"cond-mat supr-con",,"  We consider theoretically phase locking in a simple two-dimensional Josephson
junction array consisting of two loops coupled via a joint line transverse to
the bias current. Ring inductances are supposed to be small, and special
emphasis is taken on the influence of external flux. Is is shown, that in the
stable oscillation regime both cells oscillate with a phase shift equal to
$\pi$ (i.e. anti-phase). This result may explain the low radiation output
obtained so far in two-dimensional Josephson junction arrays experimentally.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 16:31:10 GMT""}]","2009-10-28"
"cond-mat/9603042","Karlo Penc","Karlo Penc, Hiroyuki Shiba, Fr\'ed\'eric Mila and Takuya Tsukagoshi","Ferromagnetism in multi--band Hubbard models: From weak to strong
  Coulomb repulsion","12 pages, revtex, 12 figures,needs epsf and multicol style files","Phys. Rev. B 54, 4056 (1996)","10.1103/PhysRevB.54.4056",,"cond-mat",,"  We propose a new mechanism which can lead to ferromagnetism in Hubbard models
containing triangles with different on-site energies. It is based on an
effective Hamiltonian that we derive in the strong coupling limit. Considering
a one-dimensional realization of the model, we show that in the quarter-filled,
insulating case the ground-state is actually ferromagnetic in a very large
parameter range going from Tasaki's flat-band limit to the strong coupling
limit of the effective Hamiltonian. This result has been obtained using a
variety of analytical and numerical techniques. Finally, the same results are
shown to apply away from quarter-filling, in the metallic case.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 17:50:01 GMT""}]","2009-02-28"
"cond-mat/9603043","Frederic Lesage","F. Lesage, H. Saleur, S. Skorik","Form factors approach to current correlations in one dimensional systems
  with impurities","2 References corrected, three added. Discussion of the Screening
  cloud modified. 42 pages, harvmac, epsf and 6 figures","Nucl.Phys. B474 (1996) 602-640","10.1016/0550-3213(96)00234-9","USC-96-06","cond-mat hep-th",,"  We show how to compute analytically time and space dependent correlations in
one dimensional quantum integrable systems with an impurity. Our approach is
based on a description of these systems in terms of massless scattering of
quasiparticles. Correlators follow then from matrix elements of local operators
between multiparticle states, the ``massless form factors''. Although an
infinite sum of these form factors has to be considered in principle, we find
that for current, spin, and energy operators, only a few (typically two or
three) are necessary to obtain an accuracy of more than $1\%$, for {\bf
arbitrary coupling strength}, that is all the way from short to large
distances. As examples we compute, at zero temperature, the frequency dependent
conductance in a Luttinger liquid with impurity, the spectral function in the
double well problem of dissipative quantum mechanics and part of the space
dependent succeptibility in the Kondo model .
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 22:29:26 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 00:43:48 GMT""}]","2009-10-28"
"cond-mat/9603044","Mike Norman","H. Ding, M. R. Norman, J. C. Campuzano, M. Randeria, A. F. Bellman, T.
  Yokoya, T. Takahashi, T. Mochiku, and K. Kadowaki","ARPES Study of the Superconducting Gap Anisotropy in Bi_2Sr_2CaCu_2O_8+x","3 pages, revtex, 4 postscript figures","Phys Rev B 54, R9678 (1996)","10.1103/PhysRevB.54.R9678",,"cond-mat supr-con",,"  We report measurements of the momentum dependence of the superconducting gap
in Bi_2Sr_2CaCu_2O_{8+x} (Bi2212) with angle-resolved photoemission
spectroscopy using a dense sampling of the Brillouin zone in the vicinity of
the Fermi surface. In the Y quadrant of the zone, where there are no
complications from ghost bands caused by the superlattice, we find a gap
function consistent within error bars to the form cos(k_x)-cos(k_y) expected
for a d-wave order parameter. Similar results are found in the X quadrant with
the photon polarization chosen to enhance main band emission over that due to
ghost bands.
","[{""version"":""v1"",""created"":""Wed, 6 Mar 1996 19:47:26 GMT""}]","2009-10-28"
