"alg-geom/9603009","Richard Earl","Richard Earl","A Note on the Cohomology of Moduli of Rank Two Stable Bundles","6 pages, no figures. (A few typos have been corrected.) LaTeX 2.09",,,,"alg-geom math.AG",,"  The rational cohomology of the moduli space of rank two, odd degree stable
bundles over a curve (of genus g > 1) has been studied intensely in recent
years and in particular the invariant subring generated by Newstead's
generators alpha, beta, gamma. Several authors have independently found a
minimal complete set of relations for this subring. Their methods are very
different from the methods originally employed by Kirwan to prove Mumford's
conjecture -- that relations derived from the vanishing Chern classes of a
particular rank 2g-1 bundle are a complete set of relations for the entire
cohomology ring. This note contains two theorems which readily follow from
Kirwan's original calculations. We rederive the above result showing that the
first three invariant Mumford relations generate the relation ideal of the
invariant subring. Secondly we prove a stronger version of Mumford's conjecture
and show that the relations coming from the first vanishing Chern class
generate the relation ideal of the entire cohomology ring as a
Q[alpha,beta]-module. (Only a few typos have been amended in this revised
version).
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:49:47 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 1996 13:34:40 GMT""},{""version"":""v3"",""created"":""Tue, 13 Aug 1996 09:07:11 GMT""}]","2008-02-03"
"astro-ph/9603047","James Schombert","Karl Rakos, Thomas Maindl and James Schombert","Photometric Signatures of Starbursts in Interacting Galaxies and the
  Butcher-Oemler Effect","24 pages, LaTeX/AAS macros, contact author for tables, accepted for
  ApJ",,"10.1086/177497",,"astro-ph",,"  This paper presents new and synthetic narrow band photometry of ellipticals,
spirals, Seyferts and interacting galaxies in an attempt to identify the cause
of the unusually high fraction of blue cluster galaxies in distant clusters
(Butcher-Oemler effect). The properties and distribution of the low redshift
sample specifically points to starbursts as the origin of the blue narrow band
colors in interacting Arp galaxies. Comparison between theoretical models and
multicolor diagrams, particularly 4000A break colors, indicates a photometric
signature which differs from both normal disk galaxy star formation and
nonthermal components. This photometric signature is absent for the
Butcher-Oemler galaxies whose general color distribution, compared to
present-day clusters, is consistent with a majority of the blue population
involved in normal star formation rates (spiral-like) with the addition of a
small fraction of bright, blue interacting/merger systems. This photometric
picture of the Butcher- Oemler galaxies is in agreement with the morophological
evidence from HST imaging.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 00:20:53 GMT""}]","2009-10-28"
"astro-ph/9603048","Vicent Martinez","Vicent J. Martinez (Departament d'Astronomia. Universitat de Valencia)
  and Maria Jesus Pons-Borderia (Dep. de Fisica Teorica. UAM)","Multiscaling","6 pages, uuencoded gzipped ps-file, LaTeX using paspconf.sty
  (enclosed), 2 figures. 127 kByte Proc. ``Mapping, Measuring and Modelling the
  Universe'', Valencia 1995, eds.: P. Coles, V.J. Martinez, M.J. Pons-Borderia,
  to be published by ASP",,,,"astro-ph",,"  We introduce the unbiased way statisticians look at the 2--point correlation
function and study its relation to multifractal analysis. We apply this method
to a simulation of the distribution of galaxy clusters in order to check the
dependence of the correlation dimension on the cluster richness.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:26:04 GMT""}]","2007-05-23"
"astro-ph/9603049",,"R. N. Mohapatra and Vigdor L. Teplitz","Structures in the Mirror Universe","21 pages, Latex file and one postscript file of figure appended","Astrophys.J. 478 (1997) 29-38","10.1086/303762",,"astro-ph hep-ph",,"  The idea of the universe with a mirror sector having all particles and forces
identical to those in the familiar sector has been proposed in the context of
neutrino physics as well as superstring theories. Assuming that all the quark
and charged lepton masses in the mirror universe are scaled by a common factor,
$\zeta$, as is required in one interpretation of the neutrino data, we
investigate domains of the parameter $\zeta$ where physical conditions are
favorable for cooling in the age of the universe that can lead to the formation
of compact structures given the initial condition $\Omega_B
=\Omega_{\tilde{B}}$ ($\tilde{B}$ denoting the mirror baryon). In particular we
ask whether there is a region in $\zeta$-space for which primordial Jeans mass
mirror clouds cannot cool in the present age of the universe. We find that for
most of the area of interest in the parameter space, atomic hyperfine structure
cooling is effective in a time period short compared to the age of the universe
but long compared to the free fall time for globular-sized objects expected on
the basis of simple Jeans length analysis.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 17:38:29 GMT""}]","2009-10-28"
"astro-ph/9603050","Gordon Squires","G. Squires, D. M. Neumann, N. Kaiser, M. Arnaud, A. Babul, H.
  B\""ohringer, G. Fahlman, and D. Woods","A Weak Gravitational Lensing and X-ray Analysis of Abell 2163","30 pages, latex file. Postscript file also available at
  ftp://magicbean.berkeley.edu/pub/squires/a2163/a2163_paper.ps.gz",,"10.1086/304160","CfPA 96-th-09","astro-ph",,"  We report on the detection of dark matter in the cluster of galaxies
Abell~2163 using the weak gravitational distortion of background galaxies, and
an analysis of the cluster X-ray emission. We find that while the qualitative
distributions of the cluster light and the dark matter are similar -- shallow
and extended, with significant substructure -- the X-ray morphology shows a
more regular overall appearance. We interpret the joint lensing and X-ray
observations as a signature of a merger event in the cluster. We present new
ROSAT/HRI data and reanalyze ROSAT/PSPC data, accounting for the effect of a
varying background to determine the best fit parameters in the $\beta$-model
formalism. We combine the surface brightness fits with two determinations of
the radial temperature profile to determine the total mass. Although there are
slight variations in the total mass determinations introduced by the
uncertainties in the $\beta$-fit, the main contributor to the error arises from
the uncertainties in the temperature determinations. Even though the
morphologies of the dark matter/light and X-ray gas are quite different, we
find that the total mass determined from the X-ray and weak lensing estimates
are consistent with each other within the $2\sigma$ error bars, with the X-ray
inferred mass a factor of $\simeq 2$ larger. However, as the lensing mass
estimates are differential (the surface density at any point is determined
relative to the mean in a control annulus), the shallow, extended nature of the
mass profile biases the lensing inferred mass downwards. We estimate the
correction for this effect and find very good agreement between the corrected
lensing and X-ray results. We determine the gas mass fraction and find $f_g
\simeq 0.07h^{-3/2}$ at all radii and a constant mass-to-light ratio of $M/L_V
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 18:14:35 GMT""}]","2009-10-28"
"astro-ph/9603051","Edward Kolb","Dario Grasso and Edward W. Kolb","Cosmological Bounds to the Magnetic Moment of Heavy Tau Neutrinos","uuencoded submission which unpacks into a 14-page LaTeX file and four
  postscript figures, figi.ps (i=1 to 4), included using psfig","Phys.Rev. D54 (1996) 1374-1378","10.1103/PhysRevD.54.1374","FERMILAB--Pub--96/061-A and UUITP-5/96 (Uppsala)","astro-ph",,"  The magnetic moment of tau neutrinos in the MeV mass range may be large
enough to modify the cosmological freeze-out calculation and determine the
tau-neutrino relic density. In this paper we revisit such a possibility. We
calculate the evolution and freeze-out of the tau neutrino number density as a
function of its mass and magnetic moment. We then determine its relic density,
then calculate its effect upon primordial nucleosynthesis including previously
neglected effects.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 20:29:24 GMT""}]","2009-10-28"
"astro-ph/9603052","Boud Roukema","B.F.Roukema (Institut d'Astrophysique de Paris, CNRS, France;
  University of Sussex Astronomy Centre, Brighton, United Kingdom)","On Determining the Topology of the Observable Universe via 3-D Quasar
  Positions","6 pages, including Figures 2,3; self-extracting uuencoded \LaTeX plus
  postscript; Figure 1 available at
  ftp://www.iap.fr/pub/from_users/roukema/LSSd.ps.gz ; full article available
  at ftp://www.iap.fr/pub/from_users/roukema/qsotop.ps.gz as gzipped
  concatenation of postscript files (340kb)","M.N.R.A.S. 283 (1996) 1147","10.1093/mnras/283.4.1147",,"astro-ph gr-qc",,"  Hot big bang cosmology says nothing about the topology of the Universe. A
topology-independent algorithm is presented which is complementary to that of
Lehoucq et al. 1996 and which searches for evidence of multi-connectedness
using catalogues of astrophysically observed objects. The basis of this
algorithm is simply to search for a quintuplet of quasars (over a region of a
few hundred comoving Mpc) which can be seen in two different parts of our past
time cone, allowing for a translation, an arbitrary rotation and possibly a
reflection. This algorithm is demonstrated by application to the distribution
of quasars between redshifts of $z=1$ and $z\approx4,$ i.e., at a comoving
distance from the observer $1700 h^{-1}\mbox{\rm Mpc} \ltapprox d \ltapprox
3300 h^{-1}\mbox{\rm Mpc}.$ Two pairs of isometric quintuplets separated by
more than {$300$\hMpc} are found. This is consistent with the number expected
from Monte Carlo simulations in a simply connected Universe if the detailed
anisotropy of sky coverage by the individual quasar surveys is taken into
account. The linear transformation in (flat) comoving space from one quintuplet
to another requires translations of {$353$\hMpc} and {4922\hMpc} respectively,
plus a reflection in the former case, and plus both a rotation and a reflection
in the latter. Since reflections are required, if these two matches were due to
multi-connectedness, then the Universe would be non-orientable.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 21:51:39 GMT""}]","2015-06-24"
"chao-dyn/9603006","Henning Schomerus","Fritz Haake, Marek Ku\'s, Hans--J\""urgen Sommers, Henning Schomerus,
  Karol \.Zyczkowski","Secular determinants of random unitary matrices","18 pages, LaTeX with iop style files (included) or revtex, 13 figures
  included using epsf and rotate, submitted to J. Phys. A","J. Phys. A: Math. Gen. 29 (1996) 3641-3658","10.1088/0305-4470/29/13/029",,"chao-dyn cond-mat nlin.CD",,"  We consider the characteristic polynomials of random unitary matrices $U$
drawn from various circular ensembles. In particular, the statistics of the
coefficients of these polynomials are studied. The variances of these ``secular
coefficients'' are given explicitly for arbitrary dimension and continued
analytically to arbitrary values of the level repulsion exponent $\beta$. The
latter secular coefficients are related to the traces of powers of $U$ by
Newton's well-known formulae. While the traces tend to have Gaussian
distributions and to be statistically independent among one another in the
limit as the matrix dimension grows large, the secular coefficients exhibit
strong mutual correlations due to Newton's mixing of traces to coefficients.
These results might become relevant for current efforts at combining
semiclassics and random-matrix theory in quantum treatments of classically
chaotic dynamics.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:35:54 GMT""}]","2016-08-15"
"cmp-lg/9603003","Schwitter","Norbert E. Fuchs, Rolf Schwitter (Department of Computer Science,
  University of Zurich)","Attempto Controlled English (ACE)","13 pages, compressed, uuencoded Postscript, to be presented at CLAW
  96, The First International Workshop on Controlled Language Applications,
  Katholieke Universiteit Leuven, 26-27 March 1996",,,,"cmp-lg cs.CL",,"  Attempto Controlled English (ACE) allows domain specialists to interactively
formulate requirements specifications in domain concepts. ACE can be accurately
and efficiently processed by a computer, but is expressive enough to allow
natural usage. The Attempto system translates specification texts in ACE into
discourse representation structures and optionally into Prolog. Translated
specification texts are incrementally added to a knowledge base. This knowledge
base can be queried in ACE for verification, and it can be executed for
simulation, prototyping and validation of the specification.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 11:24:58 GMT""}]","2008-02-03"
"cond-mat/9603084","Jean Marc Robin","J. Ranninger, J. M. Robin","Manifestations of the pseudogap in the BOSON-FERMION model for
  Bose-Einstein condensation driven Superconductivity","REVTeX, 9 pages. Accepted for publication as a Rapid Communication in
  Physical Review B","Phys. Rev. B 53 (1996) R11 961","10.1103/PhysRevB.53.R11961",,"cond-mat",,"  The normal state behaviour of the density of states of the electrons
described by the BOSON - FERMION model for Bose-Einstein condensation driven
superconductivity is characterized by the appearence of a pseudogap which
developes into a true gap upon lowering the temperature and the superconducting
critical temperature is approached. The consequences of this on the temperature
dependence of the specific heat, the NMR relaxation rate and the optical
conductivity is examined.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 16:20:37 GMT""}]","2009-10-28"
"cond-mat/9603085","Stefan Boettcher","Maya Paczuski and Stefan Boettcher (Brookhaven National Laboratory,
  University of Oklahoma)","Continuum Theory with Memory for Avalanches in Self-Organized
  Criticality","12 pages, Revtex, uuencoded, (2 ps-figures included)",,,,"cond-mat adap-org nlin.AO",,"  The propagator for the activity in a broad class of self-organized critical
models obeys an imaginary-time Schr\""odinger equation with a nonlocal,
history-dependent potential representing memory. Consequently, the probability
for an avalanche to spread beyond a distance $r$ in time $t$ has an anomalous
tail $\exp{[-C\,x^{1/(D-1)}]}$ for $x=r^D/t \gg 1$ and $D>2$, indicative of
glassy dynamics. The theory is verified for an exactly solvable model, where
$D=4$ and $C=3/4$, and for the Bak-Sneppen model where it is tested
numerically.
","[{""version"":""v1"",""created"":""Tue, 12 Mar 1996 23:31:50 GMT""}]","2008-02-03"
