"alg-geom/9603010","Gritsenko","Valeri A. Gritsenko and Viacheslav V. Nikulin","The Igusa modular forms and ``the simplest'' Lorentzian Kac--Moody
  algebras","40 pages, no figures. AMS-TeX",,"10.1070/SM1996v187n11ABEH000171",,"alg-geom hep-th math.AG math.QA q-alg",,"  We find automorphic corrections for the Lorentzian Kac--Moody algebras with
the simplest generalized Cartan matrices of rank 3:
  A_{1,0} =
  2 0 -1
  0 2 -2
  -1 -2 2
  and
  A_{1,I} =
  2 -2 -1
  -2 2 -1
  -1 -1 2
  For A_{1,0} this correction is given by the Igusa Sp_4(Z)-modular form
\chi_{35} of weight 35, and for A_{1,I} by a Siege modular form of weight 30
with respect to a 2-congruence subgroup. We find infinite product or sum
expansions for these forms. Our method of construction of \chi_{35} leads to
the direct construction of Siegel modular forms by infinite product expansions,
whose divisors are the Humbert surfaces with fixed discriminants. Existence of
these forms was proved by van der Geer in 1982 using some geometrical
consideration. We announce a list of all hyperbolic symmetric generalized
Cartan matrices A of rank 3 such that A has elliptic or parabolic type, A has a
lattice Weyl vector, and A contains the affine submatrix \tilde{A}_1.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 21:34:45 GMT""}]","2015-06-24"
"alg-geom/9603011","Scott R. Nollet","Scott Nollet","The Hilbert Schemes of Degree Three Curves are Connected","20 pages, Latex",,,,"alg-geom math.AG",,"  In this paper we show that the Hilbert scheme $H(3,g)$ of locally
Cohen-Macaulay curves in $\Pthree$ of degree three and genus $g$ is connected.
In contrast to $H(2,g)$, which is irreducible, $H(3,g)$ generally has many
irreducible components (roughly $-g/3$ of them). To show connectedness, we
classify the curves (giving particular attention to the triple lines),
determine the irreducible components, and give flat families over $\Aone$ to
show that the components meet. As a byproduct, we find that there are curves
which lie in the closure of each irreducible component.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 00:42:06 GMT""}]","2008-02-03"
"alg-geom/9603012","Laurent Manivel","Laurent Manivel","Vanishing theorems for ample vector bundles","12 pages, LaTeX2e",,"10.1007/s002220050126",,"alg-geom math.AG",,"  We prove a general vanishing theorem for the cohomology of products of
symmetric and skew-symmetric powers of an ample vector bundle on a smooth
complex projective variety. Special cases include an extension of classical
theorems of Griffiths and Le Potier to the whole Dolbeault cohomology, and an
answer to a problem raised by Demailly. An application to degeneracy loci is
given.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 08:10:42 GMT""}]","2009-10-28"
"astro-ph/9603053","Bruce Draine","B.T. Draine (Princeton University Observatory)","Optical and Magnetic Properties of Dust Grains","13 pages, 3 eps figures, uses paspconf.sty, epsf.sty . To appear in
  ""Polarimetry of the Interstellar Medium"", ed. W.G. Roberge and D.C.B. Whittet
  (ASP Conference Proceedings)",,,"POPe-650","astro-ph",,"  The optical and magnetic properties of dust grains are reviewed, as they
relate to the problem of interstellar grain alignment. Grain geometry plays an
important role in determining the optical properties, and scattering and
absorption of starlight will produce radiative torques which may drive grains
to suprathermal rates of rotation in interstellar clouds; these radiative
torques appear likely to play an active role in the alignment process. The
likely magnetic properties of grains are discussed, with particular attention
to the imaginary part of the magnetic susceptibility.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:24:39 GMT""}]","2007-05-23"
"astro-ph/9603054","Vicent Martinez","Vicent J. Martinez (Departament d'Astronomia. Universitat de Valencia)","Measures of the galaxy clustering","10 pages, uuencoded, gzipped LaTeX file using ioplppt.sty (enclosed)
  29 kByte, 5 figures (not enclosed, hard copies of figures available upon
  request from: martinez@hubble.matapl.uv.es). Proc. ``International School of
  Physics Enrico Fermi'', Course CXXXII: Dark Matter in the Universe, Varenna
  1995, eds.: S. Bonometto, J. Primack, A. Provenzale, IOP, to appear",,,,"astro-ph",,"  A brief introduction is given to some aspects of the statistical description
of the luminous matter distribution. I review the features of the redshift
surveys that arise in the statistical analysis of the galaxy clustering.
Special topics include intensity functions, correlation functions, correlation
integrals, multifractals and multiscaling.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 17:57:57 GMT""}]","2007-05-23"
"astro-ph/9603055","Jerry Kriss","G. A. Kriss, B. R. Espey, J. H. Krolik, Z. Tsvetanov, W. Zheng, and A.
  F. Davidsen (Johns Hopkins University)","Far-Ultraviolet Observations of NGC 3516 using the Hopkins Ultraviolet
  Telescope","18 pages, 4 PostScript figures, uses aaspp4.sty To appear in the
  August 20, 1996, issue of The Astrophysical Journal",,"10.1086/177637","246","astro-ph",,"  We observed the Seyfert 1 galaxy NGC 3516 twice during the flight of Astro-2
using the Hopkins Ultraviolet Telescope in March 1995. Simultaneous X-ray
observations were performed with ASCA. Our far-ultraviolet spectra cover the
spectral range 820-1840 A with a resolution of 2-4 A. No significant variations
were found between the two observations. The total spectrum shows a red
continuum, $f_\nu \sim \nu^{-1.89}$, with an observed flux of $\rm 2.2 \times
10^{-14}~erg~cm^{-2}~s^{-1}~\AA^{-1}$ at 1450 A, slightly above the historical
mean. Intrinsic absorption in Lyman $\beta$ is visible as well as absorption
from O~vi 1032,1038, N~v 1239,1243, Si~iv 1394,1403, and C~iv 1548,1551. The UV
absorption lines are far weaker than is usual for NGC~3516, and also lie closer
to the emission line redshift rather than showing the blueshift typical of
these lines when they are strong. The neutral hydrogen absorption, however, is
blueshifted by $400~\rm km~s^{-1}$ relative to the systemic velocity, and it is
opaque at the Lyman limit. The sharpness of the cutoff indicates a low
effective Doppler parameter, $b < \rm 20~km~s^{-1}$. For $b = \rm 10~km~s^{-1}$
the derived intrinsic column is $\rm 3.5 \times 10^{17}~cm^{-2}$. As in
NGC~4151, a single warm absorber cannot produce the strong absorption visible
over the wide range of observed ionization states. Matching both the UV and
X-ray absorption simultaneously requires absorbers spanning a range of $10^3$
in both ionization parameter and column density.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 19:40:36 GMT""}]","2009-10-28"
"astro-ph/9603056",,"Edward J. Shaya, Daniel M. Dowling, Douglas G. Currie, S.M. Faber,
  Edward A. Ajhar, Tod R. Lauer, Edward J. Groth, Carl J. Grillmair, C. Roger
  Lynds, & Earl J. O'Neil, Jr","Hubble Space Telescope Planetary Camera Images of NGC 1316","21 pages, latex, postscript figures available at
  ftp://delphi.umd.edu/pub/outgoing/eshaya/fornaxa",,"10.1086/117955",,"astro-ph",,"  We present HST Planetary Camera V and I~band images of the central region of
the peculiar giant elliptical galaxy NGC 1316. The inner profile is well fit by
a nonisothermal core model with a core radius of 0.41"" +/- 0.02"" (34 pc). At an
assumed distance of 16.9 Mpc, the deprojected luminosity density reaches $\sim
2.0 \times 10^3 L_{\sun}$ pc$^{-3}$.
  Outside the inner two or three arcseconds, a constant mass-to-light ratio of
$\sim 2.2 \pm 0.2$ is found to fit the observed line width measurements. The
line width measurements of the center indicate the existence of either a
central dark object of mass $2 \times 10^9 M_{\sun}$, an increase in the
stellar mass-to-light ratio by at least a factor of two for the inner few
arcseconds, or perhaps increasing radial orbit anisotropy towards the center.
The mass-to-light ratio run in the center of NGC 1316 resembles that of many
other giant ellipticals, some of which are known from other evidence to harbor
central massive dark objects (MDO's).
  We also examine twenty globular clusters associated with NGC 1316 and report
their brightnesses, colors, and limits on tidal radii. The brightest cluster
has a luminosity of $9.9 \times 10^6 L_{\sun}$ ($M_V = -12.7$), and the
faintest detectable cluster has a luminosity of $2.4 \times 10^5 L_{\sun}$
($M_V = -8.6$). The globular clusters are just barely resolved, but their core
radii are too small to be measured. The tidal radii in this region appear to be
$\le$ 35 pc. Although this galaxy seems to have undergone a substantial merger
in the recent past, young globular clusters are not detected.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:00:39 GMT""}]","2012-08-27"
"astro-ph/9603057","Jerry Kriss","G. A. Kriss (1), J. H. Krolik (1), C. Otani (2), B. R. Espey (1), T.
  J. Turner (3,4), T. Kii (5), Z. Tsvetanov (1), T. Takahashi (2), A. F.
  Davidsen (1), M. Tashiro (6), W. Zheng (1), S. Murakami (7), R. Petre (3),
  and T. Mihara (2) ((1) Johns Hopkins University, (2) RIKEN, (3) NASA/GSFC,
  (4) Universities Space Research Association, (5) ISAS, (6) University of
  Tokyo, (7) Osaka City University)","ASCA Observations of the Composite Warm Absorber in NGC 3516","14 pages, 4 Postscript figures, uses aaspp4.sty To appear in the
  August 20, 1996, issue of The Astrophysical Journal",,"10.1086/177638","247","astro-ph",,"  We obtained X-ray spectra of the Seyfert 1 galaxy NGC~3516 in March 1995
using ASCA. Simultaneous far-UV observations were obtained with HUT on the
Astro-2 shuttle mission. The ASCA spectrum shows a lightly absorbed power law
of energy index 0.78. The low energy absorbing column is significantly less
than previously seen. Prominent O~vii and O~viii absorption edges are visible,
but, consistent with the much lower total absorbing column, no Fe K absorption
edge is detectable. A weak, narrow Fe~K$\alpha$ emission line from cold
material is present as well as a broad Fe~K$\alpha$ line. These features are
similar to those reported in other Seyfert 1 galaxies. A single warm absorber
model provides only an imperfect description of the low energy absorption. In
addition to a highly ionized absorber with ionization parameter $U = 1.66$ and
a total column density of $1.4 \times 10^{22}~\rm cm^{-2}$, adding a lower
ionization absorber with $U = 0.32$ and a total column of $6.9 \times
10^{21}~\rm cm^{-2}$ significantly improves the fit. The contribution of
resonant line scattering to our warm absorber models limits the Doppler
parameter to $< 160~\rm km~s^{-1}$ at 90\% confidence. Turbulence at the sound
speed of the photoionized gas provides the best fit. None of the warm absorber
models fit to the X-ray spectrum can match the observed equivalent widths of
all the UV absorption lines. Accounting for the X-ray and UV absorption
simultaneously requires an absorbing region with a broad range of ionization
parameters and column densities.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 20:25:46 GMT""}]","2009-10-28"
"astro-ph/9603058","James Schombert","Karl Rakos and James Schombert","Color Evolution from z=0 to z=1","25 pages, AAS LaTex, paper was published in ApJ last year, but is
  being posted here to satisify numerous requests for the figures",,,,"astro-ph",,"  Rest frame Stromgren photometry (3500A, 4100A, 4750A and 5500A) is presented
for 509 galaxies in 17 rich clusters between z=0 and z=1 as a test of color
evolution. Our observations confirm a strong, rest frame, Butcher-Oemler effect
where the fraction of blue galaxies increases from 20% at z=0.4 to 80% at
z=0.9. We also find that a majority of these blue cluster galaxies are composed
of normal disk or post-starbursts systems based on color criteria. When
comparing our colors to the morphological results from HST imaging, we propose
that the blue cluster galaxies are a population of late-type, LSB objects who
fade and are then destroyed by the cluster tidal field. After isolating the red
objects from Butcher-Oemler objects, we have compared the mean color of these
old, non-star forming objects with SED models in the literature as a test for
passive galaxy evolution in ellipticals. We find good agreement with single
burst models which predict a mean epoch of galaxy formation at z=5. Tracing the
red envelope for ellipticals places the earliest epoch of galaxy formation at
z=10.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 22:05:08 GMT""}]","2007-05-23"
"astro-ph/9603059","Vijay Krishna Narayanan","Vijay K. Narayanan, Andrew Gould, D.L.DePoy (The Ohio State
  University)","Luminosity Function of the Perigalactocentric Region","25 pages. Tarred, gzipped and uuencoded. Includes LaTex source file,
  Figures 3 to 9 and 5 Tables. Figures 1 and 2 are available at
  ftp://bessel.mps.ohio-state.edu/pub/vijay . Submitted to ApJ",,"10.1086/178053","OSU-TA-4/96","astro-ph",,"  We present H and K photometry of 42,000 stars in an area of 250 arcmin$^{2}$
centered on the Galactic center. We use the photometry to construct a
dereddened K band luminosity function (LF) for this region, excluding the
excessively crowded inner 2' of the Galaxy. This LF is intermediate between the
LF of Baade's window and the LF of inner 2' of the Galactic center. We
speculate that the bright stars in this region have an age which is
intermediate between the starburst population in the Galactic center and the
old bulge population. We present the coordinates and mags for 16 stars with
K_{0} < 5 for spectroscopic follow up.
","[{""version"":""v1"",""created"":""Wed, 13 Mar 1996 23:00:21 GMT""}]","2009-10-28"
"astro-ph/9603060","Raul Jimenez","Paolo Padoan & Raul Jimenez","Ages of globular clusters: breaking the age-distance degeneracy with the
  luminosity function",,,"10.1086/303582",,"astro-ph",,"  We extend our previous method to determine globular cluster ages using the
luminosity function (Jimenez \& Padoan 1996). We show that the luminosity
function depends on both age and distance modulus and that it is possible to
distinguish between the two. This method provides at the same time independent
determinations of distance and age of a GC by simply counting the number of
stars found inside specified luminosity bins. The main uncertainties in other
traditional methods for determining GCs ages are absent (e.g. mixing length,
color-$T_{\rm eff}$ calibration, morphology of the color-magnitude diagram ).
  The distance modulus is the biggest uncertainty in determining the age of
GCs. Here we show that the age can be determined with small uncertainty for any
value of distance modulus using the LF and that the LF allows a determination
of the distance modulus itself. This is explained by the fact that the
luminosity function is affected by a change in distance-modulus in a way that
is different from its time evolution.
  If GC stellar counts with statistical errors not larger than $3\%$ are
available, the age can be determined with an uncertainty of about 0.4 Gyr
(independent of distance modulus, mixing length and color calibration) and the
distance modulus with an uncertainty of about 0.04 mag.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 01:44:25 GMT""}]","2016-08-30"
