"alg-geom/9603013","Fernando Torres","Rainer Fuhrmann, and Fernando Torres","On curves over finite fields with many rational points","LaTex2e, 10 pages",,,,"alg-geom math.AG",,"  We study arithmetical and geometrical properties of {\it maximal curves},
that is, curves defined over the finite field $\mathbb F_{q^2}$ whose number of
$\mathbb F_{q^2}$-rational points reachs the Hasse-Weil upper bound. Under a
hypothesis on non-gaps at rational points we prove that maximal curves are
$\mathbb F_{q^2}$-isomorphic to $y^q+y=x^m$ for some $m\in \mathbb Z^+$.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 19:11:58 GMT""}]","2008-02-03"
"astro-ph/9603065","Anne Mathieu","A. Mathieu and H. Dejonghe (Gent, Belgium)","On the deprojection of triaxial galaxies with St\""ackel potentials","8 pages, to appear in A&A, postscript file with figures available at
  ftp://naos.rug.ac.be/pub/deprojection.ps.Z",,,,"astro-ph",,"  A family of triaxial St\""ackel potential-density pairs is introduced. With
the help of a Quadratic Programming method, a linear combination of
potential-density pairs of this family which fits a given projected density
distribution can be built. This deprojection strategy can be used to model the
potentials of triaxial elliptical galaxies with or without dark halos. Besides,
we show that the expressions for the St\""ackel triaxial density and potential
are considerably simplified when expressed in terms of divided differences,
which are convenient numerically. We present an example of triaxial
deprojection for the galaxy NGC~5128 whose photometry follows the de
Vaucouleurs law.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 18:48:58 GMT""}]","2007-05-23"
"astro-ph/9603066","Jonathan Keohane","Jonathan W. Keohane (http://lheawww.gsfc.nasa.gov/users/jonathan/),
  Lawrence Rudnick (http://ast1.spa.umn.edu/larry/larry.html), and Martha C.
  Anderson","A Comparison of X-ray and Radio Emission from the Supernova Remnant
  Cassiopeia A","To appear in Vol. 446 of The Astrophysical Journal on Aug. 1, 1996;
  10 pages with 5 embedded figures; replaced because of updated references",,"10.1086/177511",,"astro-ph",,"  We compare the radio and soft X-ray brightness as a function of position
within the young supernova remnant Cassiopeia A. A moderately strong
correlation (r = 0.7) was found between the X-ray emission (corrected for
interstellar absorption) and radio emission, showing that the thermal and
relativistic plasmas occupy the same volumes and are regulated by common
underlying parameters. The logarithmic slope of the relationship, ln(Sx-ray) =
1.2 x Sradio + ln(k) implies that the variations in brightness are primarily
due to path length differences. The X-ray and radio emissivities are both high
in the same general locations, but their more detailed relationship is poorly
constrained and probably shows significant scatter. The strongest radio and
X-ray absorption is found at the western boundary of Cas A. Based on the
properties of Cas A and the absorbing molecular cloud, we argue that they are
physically interacting. We also compare ASCA derived column densities with 21
cm H I and 18 cm OH optical depths in the direction of Cas A, in order to
provide an independent estimate of ISM properties. We derive an average value
for the H I spin temperature of about 40 K and measure the ratio of OH to
molecular hydrogen to be nominally larger than previous estimates.
  Keywords: Cas A, Cassiopeia A, interstellar medium, molecular clouds, radio
astronomy, supernova remnants, X-ray astronomy
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 20:16:17 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 22:59:04 GMT""}]","2009-10-28"
"astro-ph/9603068","Saleem Zaroubi","S. Zaroubi (UCB), A. Dekel (HU), Y. Hoffman (HU), T. Kolatt (CfA)","Large Scale Power Spectrum from Peculiar Velocities Via Likelihood
  Analysis","15 pages. Tarred, Compressed and uuencoded PostScript file",,,"CfPA-96-th-05","astro-ph",,"  The power spectrum (PS) of {\it mass} density fluctuations, independent of
``biasing"", is estimated from the Mark3 Catalog of Peculiar Velocities of
galaxies using Bayesian statistics. A parametric model is assumed for the PS,
and the free parameters are determined by maximizing the posterior probability
of the model given the data. The method has been tested using detailed mock
catalogs. We use generalized CDM models with and without COBE normalization.
  The robust result for all the models tested is $P(k) \Omega^{1.2} = (4.1 \pm
0.7)x10^3 (Mpc h^{-1})^3$ at $k=0.1 h Mpc^{-1}$, with the peak constrained to
the range $0.03 < k < 0.06 h Mpc^{-1}$. It is consistent with a direct
computation of the PS (Kolatt \& Dekel 1996). When compared to galaxy-density
surveys, the implied values for $\beta$ ($\equiv \Omega^{0.6}/b$) are of order
unity to within 25\%.
  A $\Gamma$-shape model, free of COBE normalization, is constrained by the
velocity data to $\Gamma=0.5\pm 0.15$ and $\sigma_8 \Omega^{0.6}=0.85\pm 0.1$.
Within the family of COBE-normalized CDM models, the best tilted model
($\Omega=1$, $n \approx 0.84 h_{50}^{-0.65}$) and the best open model ($n=1$,
$\Omega \approx 0.75 h_{50}^{-1.0}$) are more likely than the best $\Lambda$
model ($n=1$, $\Lambda=1-\Omega$, $\Omega\approx 0.70 h_{50}^{-1.2}$). The most
likely CDM model with $\Omega\leq 1$ is found to be of $\Omega=1$, $h\approx
0.75$, and a {\it tilted} spectrum of $n= 0.8\pm 0.02$ with tensor
fluctuations.The tightest constraint for the tilted-$\Lambda$ models is of the
sort $\Omega h_{50}^{1.2} n^\nu = 0.7 \pm 0.08$, with $\nu=3.8$ and $1.85$ with
and without tensor fluctuations respectively.
","[{""version"":""v1"",""created"":""Thu, 14 Mar 1996 23:23:06 GMT""}]","2016-08-30"
"astro-ph/9603069","Scott Burles","David Tytler, Xiao-ming Fan, Scott Burles","The Cosmological Baryon Density from the Deuterium Abundance at a
  redshift z = 3.57","10 pages, 2 Figures, also available at http://nately.ucsd.edu/ ;
  submitted to Nature","Nature 381 (1996) 207-209","10.1038/381207a0",,"astro-ph",,"  We present a measurement of the deuterium to hydrogen ratio in a quasar
absorption system at redshift z = 3.57 towards QSO 1937-1009. We use a two
component fit, with redshifts determined from unsaturated metal lines, to fit
the hydrogen and deuterium features simultaneously. We find a low value of D/H
= 2.3 \pm 0.6 \times 10^{-5}, which does not agree with other measurements of
high D/H (Songaila et al. 1994, Carswell et al. 1994). The absorption system is
very metal poor, with metallicities less than 1/100 solar. Standard models of
chemical evolution show the astration of deuterium is limited to a few percent
from primordial for systems this metal-poor, so we believe our value represents
the primordial one. Using predictions of standard big-bang nucleosynthesis and
measurements of the cosmic microwave background, our measurement gives the
density of baryons in units of the critical density, $\Omega_b h^2 = 0.024 \pm
0.006$, where $H_0 = 100 h km s^{-1] Mpc^{-1}$.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 01:35:28 GMT""}]","2009-10-28"
"astro-ph/9603070","Scott Burles","Scott Burles and David Tytler","Cosmological Deuterium Abundance and the Baryon Density of the Universe","21 pages, 6 Figures, also available at http://nately.ucsd.edu/ ;
  submitted to Science. Figures have been slightly revised. Grammatical errors
  in the text have been corrected",,,,"astro-ph",,"  Standard big bang nucleosynthesis (BBNS) promises accurate predictions of the
primordial abundances of deuterium, helium-3, helium-4 and lithium-7 as a
function of a single parameter. Previous measurements have nearly always been
interpreted as confirmation of the model (Copi, Schramm & Turner 1995). Here we
present a measurement of the deuterium to hydrogen ratio (D/H) in a newly
discovered high redshift metal-poor gas cloud at redshift $z=2.504$. This
confirms our earlier measurement of D/H (Tytler, Fan & Burles 1996), and
together they give the first accurate measurement of the primordial D
abundance, and a ten fold improvement in the accuracy of the cosmological
density of ordinary matter.This is a high density, with most ordinary matter
unaccounted or dark, which is too high to agree with measurements of the
primordial abundances of helium-4 and lithium-7. Since the D/H measurement is
apparently simple, direct, accurate and highly sensitive, we propose that
helium requires a systematic correction, and that population II stars have less
than the primordial abundance of $^7$Li. Alternatively, there is no concordance
between the light element abundances, and the simple model of the big bang must
be incomplete and lacking physics, or wrong.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 02:16:21 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 01:20:27 GMT""}]","2008-02-03"
"astro-ph/9603071","Christian Cardall","Christian Y. Cardall, George M. Fuller","Big-Bang Nucleosynthesis in Light of Discordant Deuterium Measurements","Latex 14 pages, uses aastex macros, submitted to Apj","Astrophys.J.472:435,1996","10.1086/178076",,"astro-ph hep-ph",,"  Two dimensional concordance plots involving the baryon-to-photon ratio,
$\eta$, and an effective number of light neutrinos, $N_{\nu}$, are used to
discuss the overall consistency of standard big-bang nucleosynthesis in light
of recent determinations of the primordial deuterium ($^2$H) abundance.
Observations of high-redshift Ly-$\alpha$ clouds have provided discordant
$^2$H/H determinations: one cloud with $^2$H/H high compared with the
previously accepted upper limit on ($^2$H + $^3$He)/H; and one system with a
significantly lower upper bound on $^2$H/H than those previously obtained. The
high value of $^2$H/H agrees well with the current observationally-inferred
primordial abundances of $^4$He and $^7$Li for $N_{\nu}=3$. The low value of
$^2$H/H does not fit well with the current observationally-inferred primordial
abundance of $^4$He for $N_{\nu}=3$. In addition, if the low value of $^2$H/H
is indicative of the primordial deuterium abundance, then significant depletion
of $^7$Li in old, hot Pop II halo stars is probably required to obtain a
concordant range of $\eta$, for {\em any} effective number of neutrino flavors.
The use of conservative ranges for the primordial abundances of $^2$H, $^4$He,
and $^7$Li allow success of the standard picture for $N_{\nu}=3$.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 04:12:22 GMT""},{""version"":""v2"",""created"":""Fri, 15 Mar 1996 08:24:11 GMT""}]","2008-11-26"
"astro-ph/9603072","Paul Steinhardt","Paul J. Steinhardt (University of Pennsylvania)","Regarding the Deceleration of the Universe","3 pages, 3 Postscript figures, uses revtex",,,,"astro-ph",,"  A proposed strategy for determining the deceleration parameter entails
measuring the deviation from a linear (Hubble) distance-red shift relation.
However, even at moderate red shifts, z > 0.2, the deviation does not depend on
q_0 alone, but also on the equation-of-state of the universe.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 05:25:38 GMT""},{""version"":""v2"",""created"":""Sat, 16 Mar 1996 04:54:00 GMT""}]","2008-02-03"
"astro-ph/9603073","Sandra Savaglio","Vincenzo Carbone (UNICAL) and Sandra Savaglio (ESO)","Multifractal structure of Ly$\alpha$ clouds: An example with the
  spectrum of QSO 0055--26","5 pages using mn.sty, 3 postscript figures. Accepted for publication
  in Monthly Notices",,"10.1093/mnras/282.3.868",,"astro-ph",,"  Ly$\alpha$ forests are usually associated with intergalactic gas clouds
intercepting the quasar sight--line. Using as an example the Ly$\alpha$ forest
of QSO 0055--26 ($z_{em} = 3.66$), we show that the probability of observing a
line at the velocity difference $\Delta v$ has an intermittent structure in the
redshift space. On small scales (70 km~s$^{-1} \leq \Delta v \leq 1580$
km~s$^{-1}$) the signature of intermittency appears as a self--similar
structure of spikes systematically visible at the same redshift on all scales.
This behaviour can be interpreted as due to the presence of clustering of the
Ly$\alpha$ lines, which appear as singularities of the density of the
probability measure. From a direct measurement of the generalized dimensions,
we show that the intermittency can be described by a multifractal structure
which is due to a Fourier phase correlation of the signal. The multifractal
structure disappears at scales larger than $\Delta v \simeq 1580$ km~s$^{-1}$.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 12:51:08 GMT""}]","2015-06-24"
"astro-ph/9603074","Alexei Starobinsky","A.A. Starobinsky","Modern Cosmological Models with Dark Matter and Their Confrontation with
  Observational Data","6 pages, latex, no figures","In: Cosmoparticle Physics. I. Proc. of the 1st Int. Conf. on
  Cosmoparticle Physics ""Cosmion-94"" (Moscow, 5-14 Dec. 1994), eds. M.Yu.
  Khlopov, M.E. Prokhorov, A.A. Starobinsky, J. Tran Thanh Van, Edition
  Frontiers, 1996, pp. 141-146.",,"LANDAU-95-GR-1","astro-ph",,"  New systematic classification of cosmological models of the present Universe
is introduced. After making the comparison of these models with all existing
observational data three viable models remain: the cold dark matter model with
the cosmological constant (which becomes the most reasonable one if the Hubble
constant $H_0>60$ km/s/Mpc); the mixed cold-hot dark matter model (models with
two and especially three types of neutrinos with equal masses are in a slightly
better agreement with observational data than the model with one massive
neutrino); the pure cold dark matter model with a step-like initial spectrum of
perturbations. The two latter models require $H_0\leq 60$ km/s/Mpc.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 14:14:13 GMT""}]","2007-05-23"
"astro-ph/9603075","Alexei Starobinsky","A.A. Starobinsky","Spectrum of Initial Perturbations in Open and Closed Inflationary Models","8 pages, latex, no figures","In: Cosmoparticle Physics. I. Proc. of the 1st Int. Conf. on
  Cosmoparticle Physics ""Cosmion-94"" (Moscow, 5-14 Dec. 1994), eds. M.Yu.
  Khlopov, M.E. Prokhorov, A.A. Starobinsky, J. Tran Thanh Van, Edition
  Frontiers, 1996, pp. 43-52.",,"LANDAU-95-GR-2","astro-ph",,"  Spectrum of initial scalar and tensor perturbations created during an
inflationary stage producing a closed or open FRW universe now is discussed. In
the closed case, the CMB temperature anisotropy ${\Delta T/T}$ generated by
scalar perturbations is enhanced for low multipoles. It is argued that in the
open case there is no suppression of low multipoles. A possibility of the
existence of a preferred space direction in the open case is noted.
","[{""version"":""v1"",""created"":""Fri, 15 Mar 1996 14:32:53 GMT""}]","2007-05-23"
