"alg-geom/9604001",,"R. Kaufmann, Yu. Manin, D. Zagier","Higher Weil-Petersson Volumes of Moduli Spaces of Stable $n$-pointed
  Curves","AMSTeX",,"10.1007/BF02101297",,"alg-geom math.AG",,"  Moduli spaces of compact stable $n$-pointed curves carry a hierarchy of
cohomology classes of top dimension which generalize the Weil-Petersson volume
forms and constitute a version of Mumford classes. We give various new formulas
for the integrals of these forms and their generating functions. We also
discuss their relation to the Kuenneth formula in quantum cohomology.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 12:19:14 GMT""}]","2009-10-28"
"astro-ph/9604001","Andrew Liddle","Anne M Green and Andrew R Liddle","Conditions for Successful Extended Inflation","8 pages RevTeX file with one figure incorporated (uses RevTeX and
  epsf). Also available by e-mailing ARL, or by WWW at
  http://star-www.maps.susx.ac.uk/papers/infcos_papers.html; Revised to include
  extra references, results unchanged, to appear Phys Rev D","Phys.Rev. D54 (1996) 2557-2563","10.1103/PhysRevD.54.2557","SUSSEX-AST 96/4-1","astro-ph",,"  We investigate, in a model-independent way, the conditions required to obtain
a satisfactory model of extended inflation in which inflation is brought to an
end by a first-order phase transition. The constraints are that the correct
present strength of the gravitational coupling is obtained, that the present
theory of gravity is satisfactorily close to general relativity, that the
perturbation spectra from inflation are compatible with large scale structure
observations and that the bubble spectrum produced at the phase transition
doesn't conflict with the observed level of microwave background anisotropies.
We demonstrate that these constraints can be summarized in terms of the
behaviour in the conformally related Einstein frame, and can be compactly
illustrated graphically. We confirm the failure of existing models including
the original extended inflation model, and construct models, albeit rather
contrived ones, which satisfy all existing constraints.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 11:11:54 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jun 1996 10:42:03 GMT""}]","2009-10-28"
"astro-ph/9604002","Shude Mao","Shude Mao (MPA) and Bohdan Paczy\'nski (Princeton)","Mass Determination With Gravitational Microlensing","19 pages in postscript (four figures included), submitted to ApJ",,"10.1086/178126","MPA-1996","astro-ph",,"  We present a simple toy model of the distribution of objects responsible for
gravitational microlensing. We use Monte Carlo simulations to demonstrate how
difficult it is to determine the parameters of the lens mass distribution on
the basis of the observed distribution of event time scales. A robust
determination requires $ \sim 100 $ events, or more, even if the geometry of
lens distribution, and the lens kinematics are known.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 12:36:17 GMT""}]","2009-10-28"
"astro-ph/9604003","Markus Boettcher","M. Boettcher, H. Mause, R. Schlickeiser (MPIfR Bonn)","Gamma-ray emission and spectral evolution of pair plasmas in AGN jets","Accepted for publication in A&A; 16 pages, LaTeX, uses epsf.sty,
  rotate.sty",,,,"astro-ph",,"  The evolution of the particle distribution functions inside a relativistic
jet containing an e^-e^+ pair plasma and of the resulting $\gamma$-ray and
X-ray spectra is investigated. The first phase of this evolution is governed by
heavy radiative energy losses. For this phase, approximative expressions for
the energy-loss rates due to inverse-Compton scattering, using the full
Klein-Nishina cross section, are given as one-dimensional integrals for both
cooling by inverse-Compton scattering of synchrotron photons (SSC) and of
accretion disk photons (EIC). We calculate instantaneous and time-integrated
$\gamma$-ray spectra emitted by such a jet for various sets of parameters,
deducing some general implications on the observable broadband radiation.
Finally, we present model fits to the broadband spectrum of Mrk 421. We find
that the most plausible way to explain both the quiescent and the flaring state
of Mrk 421 consists of a model where EIC and SSC dominate the observed spectrum
in different frequency bands. In our model the flaring state is primarily
related to an increase of the maximum Lorentz factor of the injected pairs.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 14:12:44 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1997 14:55:43 GMT""}]","2008-02-03"
"chem-ph/9603007","Michael C. Martin","Michael C. Martin and Laszlo Mihaly (Dept. of Physics, SUNY at Stony
  Brook)","Motional diminishing of optical activity: a novel method for studying
  molecular dynamics in liquids and plastic crystals","RevTeX in LaTeX file, 12 preprint pages, 4 ps figures included. Also
  available from http://insti.physics.sunysb.edu/~mmartin/pubs.html Accepted
  for publication in Chem. Phys. Lett","Chem. Phys. Lett. 255, 309 1996","10.1016/0009-2614(96)00388-0","Diminish","chem-ph cond-mat mtrl-th physics.chem-ph",,"  Molecular dynamics calculations and optical spectroscopy measurements of
weakly active infrared modes are reported. The results are qualitatively
understood in terms of the ""motional diminishing"" of IR lines, a process
analogous to the motional narrowing of a nuclear magnetic resonance (NMR)
signal. In molecular solids or liquids where the appropriate intramolecular
resonances are observable, motional diminishing can be used to study the
fluctuations of the intermolecular interactions having time scales of 1psec to
100psec.
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 18:45:00 GMT""}]","2009-10-28"
"cond-mat/9603201","Yuri Galperin","Harald Totland (1) and Yuri Galperin (1 and 2) ((1) Department of
  Physics, University of Oslo, Oslo, Norway, (2) A. F. Ioffe Physico-Technical
  Institute RAS, St. Petersburg, Russia)","Giant Oscillations of Acoustoelectric Current in a Quantum Channel","7 pages, 2 Postscript figures, RevTeX 3.0",,"10.1103/PhysRevB.54.8814",,"cond-mat",,"  A theory of d.c. electric current induced in a quantum channel by a
propagating surface acoustic wave (acoustoelectric current) is worked out. The
first observation of the acoustoelectric current in such a situation was
reported by J. M. Shilton et al., Journ. Phys. C (to be published). The authors
observed a very specific behavior of the acoustoelectric current in a
quasi-one-dimensional channel defined in a GaAs-AlGaAs heterostructure by a
split-gate depletion -- giant oscillations as a function of the gate voltage.
Such a behavior was qualitatively explained by an interplay between the
energy-momentum conservation law for the electrons in the upper transverse mode
with a finite temperature splitting of the Fermi level. In the present paper, a
more detailed theory is developed, and important limiting cases are considered.
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 19:30:17 GMT""}]","2009-10-28"
"cond-mat/9603202","Taco Portengen","T. Portengen (1), Th. Ostreich (1), L.J. Sham (1) ((1) University of
  California, San Diego)","Linear and nonlinear optical characteristics of the Falicov-Kimball
  model","4 pages, 2 PostScript figures, to appear in Physical Review Letters","Phys. Rev. Lett. 76 (1996) 3384","10.1103/PhysRevLett.76.3384",,"cond-mat",,"  We calculate the linear and nonlinear optical properties of the
Falicov-Kimball model for a mixed-valent system within the self-consistent
mean-field approximation. Second-harmonic generation can only occur if the
mixed-valent state has a built-in coherence between the itinerant d-electrons
and the localized f-holes. By contrast, second-harmonic generation cannot occur
for solutions of the model with f-site occupation as a good quantum number. As
an experimental test of coherence in mixed-valent compounds we propose a
measurement of the dynamic second-order susceptibility.
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 17:40:56 GMT""}]","2009-10-28"
"cond-mat/9603203","Alexei Tsvelik","A. M. Tsvelik","Mapping of the Calogero-Sutherland model to the Gaussian model","5 pages, latex, no figures",,,,"cond-mat",,"  The density-density correlation function of the Calogero-Sutherland model is
represented as a Fourier transformation of the correlation function of bosonic
exponents in the Gaussian model on a curved manifold.
","[{""version"":""v1"",""created"":""Sun, 31 Mar 1996 19:29:39 GMT""}]","2007-05-23"
"cond-mat/9604002","Frank Wilhelm","A.D. Zaikin, F.K. Wilhelm, and A.A. Golubov","Coherent transport in a normal diffusive wire between two reservoirs","2 pages RevTeX, 6 postscript figures, submitted to the proceedings of
  ""Rencontres de Moriond 1996""",,,,"cond-mat supr-con",,"  We develop a detailed analysis of electron transport in normal diffusive con-
ductors in the presence of proximity induced superconductivity. A rich
structure of temperature and energy dependencies for the system condcutcance,
density of states and related quantities was found and explained. If the nor-
mal conductor forms a loop its conductance changes h/2e-periodically with the
magnetic flux inside the loop. The amplitude of these conductance oscillations
shows a reentrant behavior and decays as 1/T at high T
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 08:43:07 GMT""}]","2007-05-23"
"cond-mat/9604004","M. W. Wu","M.W. Wu, H.L. Cui, and N.J.M. Horing","Coulomb drag in double quantum wells with a perpendicular magnetic field","8 pages, Revtex, 4 Postscript figures are available upon request,
  Accepted by Mod. Phys. Lett. B","Mod. Phys. Lett. B 10, 279 (1996)","10.1142/S0217984996000316",,"cond-mat",,"  Momentum transfer due to electron-electron interaction (Coulomb drag) between
two quantum wells, separated by a distance $d$, in the presence of a
perpendicular magnetic field, is studied at low temperatures. We find besides
the well known Shubnikov-de Haas oscillations, which also appear in the drag
effect, the momentum transfer is markedly enhanced by the magnetic field.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 15:49:54 GMT""}]","2015-06-25"
"cs/9604101",,"T. Walsh","A Divergence Critic for Inductive Proof","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 4, (1996),
  209-235",,,"cs.AI",,"  Inductive theorem provers often diverge. This paper describes a simple
critic, a computer program which monitors the construction of inductive proofs
attempting to identify diverging proof attempts. Divergence is recognized by
means of a ``difference matching'' procedure. The critic then proposes lemmas
and generalizations which ``ripple'' these differences away so that the proof
can go through without divergence. The critic enables the theorem prover Spike
to prove many theorems completely automatically from the definitions alone.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 00:00:00 GMT""}]","2014-11-17"
"cs/9604102",,"E. Marchiori","Practical Methods for Proving Termination of General Logic Programs","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 4, (1996),
  179-208",,,"cs.AI",,"  Termination of logic programs with negated body atoms (here called general
logic programs) is an important topic. One reason is that many computational
mechanisms used to process negated atoms, like Clark's negation as failure and
Chan's constructive negation, are based on termination conditions. This paper
introduces a methodology for proving termination of general logic programs
w.r.t. the Prolog selection rule. The idea is to distinguish parts of the
program depending on whether or not their termination depends on the selection
rule. To this end, the notions of low-, weakly up-, and up-acceptable program
are introduced. We use these notions to develop a methodology for proving
termination of general logic programs, and show how interesting problems in
non-monotonic reasoning can be formalized and implemented by means of
terminating general logic programs.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 00:00:00 GMT""}]","2014-11-17"
"cs/9604103",,"D. Fisher","Iterative Optimization and Simplification of Hierarchical Clusterings","See http://www.jair.org/ for any accompanying files","Journal of Artificial Intelligence Research, Vol 4, (1996),
  147-178",,,"cs.AI",,"  Clustering is often used for discovering structure in data. Clustering
systems differ in the objective function used to evaluate clustering quality
and the control strategy used to search the space of clusterings. Ideally, the
search strategy should consistently construct clusterings of high quality, but
be computationally inexpensive as well. In general, we cannot have it both
ways, but we can partition the search so that a system inexpensively constructs
a `tentative' clustering for initial examination, followed by iterative
optimization, which continues to search in background for improved clusterings.
Given this motivation, we evaluate an inexpensive strategy for creating initial
clusterings, coupled with several control strategies for iterative
optimization, each of which repeatedly modifies an initial clustering in search
of a better one. One of these methods appears novel as an iterative
optimization strategy in clustering contexts. Once a clustering has been
constructed it is judged by analysts -- often according to task-specific
criteria. Several authors have abstracted these criteria and posited a generic
performance task akin to pattern completion, where the error rate over
completed patterns is used to `externally' judge clustering utility. Given this
performance task, we adapt resampling-based pruning strategies used by
supervised learning systems to the task of simplifying hierarchical
clusterings, thus promising to ease post-clustering analysis. Finally, we
propose a number of objective functions, based on attribute-selection measures
for decision-tree induction, that might perform well on the error rate and
simplicity dimensions.
","[{""version"":""v1"",""created"":""Mon, 1 Apr 1996 00:00:00 GMT""}]","2014-11-17"
