"alg-geom/9604005","Carlos Simpson","Carlos Simpson","The Hodge filtration on nonabelian cohomology","LaTeX",,,,"alg-geom math.AG",,"  This is partly a survey article on nonabelian Hodge theory, but we also give
proofs of results that have only been announced elsewhere. In the introduction
we discuss a wide range of recent work on this subject and give some
references. In the body of the paper, we discuss Corlette's nonabelian Hodge
theorem, Hitchin's quaternionic structure on the moduli space of
representations of $\pi _1(X)$ (for a compact K\""ahler manifold $X$), and
Deligne's construction of the resulting twistor space. We then mention the
interpretation of Deligne's space of $\lambda$-connections as the Hodge
filtration of the nonabelian de Rham cohomology $M_{DR}(X,G)= H^1(X,G)$. We go
on to prove several properties of this Hodge filtration, such as Griffiths
transversality and regularity of the Gauss-Manin connection; a local triviality
property coming from Goldman and Millson's analysis of the singularities; and a
weight property coming from Langton's theory. We construct a compactification
of $M_{DR}$ using the Hodge filtration with its weight property. At the end, we
define a nonabelian version of the Noether-Lefschetz locus, and prove that it
is algebraic if the base of the fibration is compact. We pose the open problem
of studying degenerations of nonabelian Hodge structure sufficiently well to be
able to prove algebraicity of the Noether-Lefshetz locus even when the base is
quasiprojective.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 10:22:17 GMT""}]","2008-02-03"
"astro-ph/9604021","Lisa Storrie-Lombardi","L.J. Storrie-Lombardi, R.G. McMahon, M.J. Irwin, C. Hazard","APM z>4 QSO Survey: Spectra and Intervening Absorption Systems","To appear in 1 September 1996, ApJS, 10 pages text, 22 pages of
  figures, 11 pages of tables",,"10.1086/177676",,"astro-ph",,"  The APM multicolor survey for bright z > 4 objects, covering 2500 deg^2 of
sky to m(R)~19, resulted in the discovery of thirty-one quasars with z > 4.
High signal-to-noise optical spectrophotometry at 5A resolution has been
obtained for the twenty-eight quasars easily accessible from the northern
hemisphere. These spectra have been surveyed to create new samples of high
redshift Lyman-limit systems, damped Lyman-alpha absorbers, and metal
absorption systems (e.g. CIV and MgII). In this paper we present the spectra,
together with line lists of the detected absorption systems. The QSOs display a
wide variety of emission and absorption line characteristics, with 5 exhibiting
broad absorption lines and one with extremely strong emission lines
(BR2248-1242). Eleven candidate damped Ly-alpha absorption systems have been
identified covering the redshift range 2.8<z<4.4 (8 with z>3.5). An analysis of
the measured redshifts of the high ionization emission lines with the low
ionization lines shows them to be blueshifted by 430+/-60 km/s. In a previous
paper (Storrie-Lombardi et. al. 1994) we discussed the redshift evolution of
the Lyman limit systems catalogued here. In subsequent papers we will discuss
the properties of the Ly-alpha forest absorbers and the redshift and column
density evolution of the damped Ly-alpha absorbers.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 19:36:54 GMT""}]","2009-10-28"
"astro-ph/9604022","Edward Colbert","E.J.M. Colbert, S.A. Baum, J.F. Gallimore, C.P. O'Dea and J.A.
  Christensen (STScI)","Large-Scale Outflows in Edge-On Seyfert Galaxies. II. Kiloparsec-scale
  Radio Continuum Emission","46 pages AASTeX (text and tables), 21 hardcopy figures or whole
  preprint available from Ed Colbert (colbert@stsci.edu), in press for ApJ, Aug
  20 (1996)",,"10.1086/177633","STScI preprint No. 1033","astro-ph",,"  We present deep images of the kpc-scale radio continuum emission in 14
edge-on galaxies (ten Seyfert and four starburst galaxies). Observations were
taken with the VLA at 4.9~GHz (6~cm). The Seyfert galaxies were selected from a
distance-limited sample of 22 objects (defined in paper~I). The starburst
galaxies were selected to be well-matched to the Seyferts in radio power,
recessional velocity and inclination angle. All four starburst galaxies have a
very bright disk component and one (NGC~3044) has a radio halo that extends
several kpc out of the galaxy plane. Six of the ten Seyferts observed have
large-scale (radial extent $\gapprox$1 kpc) radio structures extending outward
from the nuclear region, indicating that large-scale outflows are quite common
in Seyferts. Large-scale radio sources in Seyferts are similar in radio power
and radial extent to radio halos in edge-on starburst galaxies, but their
morphologies do not resemble spherical halos observed in starburst galaxies.
The sources have diffuse morphologies, but, in general, they are oriented at
skewed angles with respect to the galaxy minor axes. This result is most easily
understood if the outflows are AGN-driven jets that are somehow diverted away
from the galaxy disk on scales $\gapprox$1 kpc. Starburst-driven winds,
however, cannot be ruled out. More observational work is needed to determine
whether massive star formation is present at high enough rates to drive
galactic winds out to kpc scales in Seyfert galaxies.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 22:04:55 GMT""}]","2009-10-28"
"astro-ph/9604023","Robert M. Cavallo","Robert M. Cavallo (1), Allen V. Sweigart (2), Roger A. Bell (1) ((1)
  University of Maryland at College Park, (2) NASA/GSFC)","The Production of Sodium and Aluminum in Globular Cluster Red Giant
  Stars","4 pages with 4 EPS figures embedded, accepted by ApJL March 28, 1996",,"10.1086/310089",,"astro-ph",,"  We study the production of Na and Al around the hydrogen shell of two
red-giant sequences of different metallicity in order to explain the abundance
variations seen in globular cluster stars in a mixing scenario. Using detailed
stellar models together with an extensive nuclear reaction network, we have
calculated the distribution of the various isotopic abundances around the
hydrogen shell at numerous points along the red-giant branch. These
calculations allow for the variation in both temperature and density in the
shell region as well as the timescale of the nuclear processing, as governed by
the outward movement of the hydrogen shell. The reaction network uses updated
rates over those of Caughlin \& Fowler (1988). We find evidence for the
production of Na and Al occurring in the NeNa and MgAl cycles. In particular,
Na is significantly enhanced throughout the region above the hydrogen shell.
The use of the newer reaction rates causes a substantial increase in the
production of $^{27}$Al above the hydrogen shell through heavy leakage from the
NeNa cycle and should have an important effect on the predicted surface
abundances. We also find that the nuclear processing is considerably more
extensive at lower metallicities.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 02:50:42 GMT""}]","2009-10-28"
"astro-ph/9604024","Simon Peter Ellingsen","S.P. Ellingsen, R.P. Norris, P.J. Diamond, P.M. McCulloch, S.W. Amy,
  A.J. Beasley, R.H. Ferris, R.G. Gough, E.A. King, J.E.J. Lovell, J.E.
  Reynolds, A.K. Tzioumis, E.R. Troup, R.M. Wark, M.H. Wieringa","VLBI observations of the 6.7 and 12.2 GHz methanol masers associated
  with NGC 6334F","LaTeX, 10 Pages, including 3 figures, astron.sty included, To appear
  in the proceedings of the Third Asia-Pacific Telescope Workshop (Sydney, Dec
  4-7 1995)",,,"ATP 326","astro-ph",,"  We present milliarcsecond resolution images of the 6.7 and 12.2 GHz methanol
maser emission associated with the well-known star formation region NGC 6334F.
The images agree well with previous lower resolution observations, but detect
approximately double the number of spots seen in the earlier work. Comparison
of the relative positions of the 6.7 and 12.2 GHz maser spots shows that five
of them are coincident to within the positional accuracy of these observations
(approximately 4 milli-arcsec). Menten et al. (1992) observed similar
positional coincidence for W3(OH) and in each case the flux density of the 6.7
GHz maser spot was greater than that of the 12.2 GHz methanol maser spot.
However, for NGC 6334F several of the coincident maser spots have a larger flux
density at 12.2 GHz than at 6.7 GHz. We also detected several 12.2 GHz methanol
maser spots with no coincident 6.7 GHz emission. This implies that, although
the 6.7 GHz methanol masers usually have a greater flux density than their 12.2
GHz counterparts, regions within the gas cloud exist where the conditions are
more favourable for 12.2 than for 6.7 GHz methanol maser emission. If the
conditions which give rise to the various observed ratios can be determined,
then VLBI images of class II methanol masers will allow the physical conditions
of the star formation region to be probed with unprecedented resolution.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 07:13:03 GMT""}]","2007-05-23"
"astro-ph/9604025","Funato Youko","Y. Funato (1), P. Hut (2),S. McMillan (3), and J. Makino (1) ((1)
  University of Tokyo,(2) Institute of Advanced Study, (3) Drexel University)","Time-Symmetrized Kustaanheimo-Stiefel Regularization","figures are available at http://grape.c.u-tokyo.ac.jp/~funato/; To
  appear in Astronomical Journal (July, 1996)",,"10.1086/118136",,"astro-ph",,"  In this paper we describe a new algorithm for the long-term numerical
integration of the two-body problem, in which two particles interact under a
Newtonian gravitational potential. Although analytical solutions exist in the
unperturbed and weakly perturbed cases, numerical integration is necessary in
situations where the perturbation is relatively strong. Kustaanheimo--Stiefel
(KS) regularization is widely used to remove the singularity in the equations
of motion, making it possible to integrate orbits having very high
eccentricity. However, even with KS regularization, long-term integration is
difficult, simply because the required accuracy is usually very high. We
present a new time-integration algorithm which has no secular error in either
the binding energy or the eccentricity, while allowing variable stepsize. The
basic approach is to take a time-symmetric algorithm, then apply an implicit
criterion for the stepsize to ensure strict time reversibility. We describe the
algorithm in detail and present the results of numerical tests involving
long-term integration of binaries and hierarchical triples. In all cases
studied, we found no systematic error in either the energy or the angular
momentum. We also found that its calculation cost does not become higher than
those of existing algorithms. By contrast, the stabilization technique, which
has been widely used in the field of collisional stellar dynamics, conserves
energy very well but does not conserve angular momentum.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 12:14:50 GMT""}]","2019-08-15"
"astro-ph/9604027","Janusz Kaluzny","J. Kaluzny, M. Kubiak, M. Szymanski, A.Udalski, W. Krzeminski, M.
  Mateo, K. Stanek","The Optical Gravitational Lensing Experiment. Variable Stars in Globular
  Clusters - II. Fields 5139D-F in Omega Centauri","Latex file, 24 pages including 8 figures, aaspp.sty and epsf.sty
  included, submitted to A&A",,"10.1051/aas:1997338",,"astro-ph",,"  Three fields located close to the center of the globular cluster Omega Cen
were surveyed in a search for variable stars. We present V-band light curves
for 32 periodic variables. This sample includes 10 SX Phe stars, 19 eclipsing
binaries, and three likely spotted variables (FK Com or RS CVn type stars).
Only 4 of these variables were previously known (including two objects reported
in Paper I). All SX Phe stars and 8 eclipsing binaries from our sample belong
to blue stragglers. Five binaries occupy positions on the upper main-sequence
of the cluster and another four are located at the base of the subgiant branch.
Of particular interest is detection of a detached binary system with a period
P=4.64 day. Further study of this star can provide direct information about
properties of turnoff stars in Omega Cen. A detached or semi-detached system
located slightly above the horizontal branch of Omega Cen was also discovered.
All SX Phe stars and most of eclipsing binaries discovered in our survey are
likely cluster members. We present V vs. V-I color-magnitude diagrams for the
monitored fields. A populous group of likely hot subdwarfs as well as numerous
candidates for blue stragglers can be noted in these diagrams. Our data
indicate that Omega Cen possesses the largest number of blue stragglers among
all galactic globulars.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 12:16:22 GMT""}]","2009-10-28"
"atom-ph/9604001","Glenn Michael Moy","G.M. Moy, J.J. Hope and C.M. Savage","An Atom Laser Based on Raman Transitions","8 pages, 4 postscript figures, uses RevTex, home page at
  http://online.anu.edu.au/Physics/Welcome.html (Some aspects of the exact
  physical model have changed from original version. Other general improvements
  included)",,"10.1103/PhysRevA.55.3631",,"atom-ph physics.atom-ph",,"  In this paper we present an atom laser scheme using a Raman transition for
the output coupling of atoms. A beam of thermal atoms (bosons) in a metastable
atomic state $|1 >$ are pumped into a multimode atomic cavity. This cavity is
coupled through spontaneous emission to a single mode of another cavity for the
ground atomic state, $|2 >$. Above a certain threshold pumping rate a large
number of atoms, $N_2$, builds up in this single quantum state and transitions
to the ground state of the cavity become enhanced by a factor $(N_2 + 1)$.
Atoms in this state are then coupled to the outside of the cavity with a Raman
transition. This changes the internal state of the atom and imparts a momentum
kick, allowing the atoms to leave the system.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 06:07:45 GMT""},{""version"":""v2"",""created"":""Mon, 24 Mar 1997 23:57:56 GMT""}]","2016-08-31"
"chao-dyn/9603019","Jean-Luc Thiffeault","Jean-Luc Thiffeault and Wendell Horton (Institute for Fusion Studies
  and University of Texas at Austin)","Energy-Conserving Truncations for Convection with Shear Flow","18 pages, 5 Postscript figures, uses RevTeX and epsf. Accepted for
  publication in Physics of Fluids","Physics of Fluids 8 (7), 1715-19, July 1996.","10.1063/1.868956","IFSR #726","chao-dyn nlin.CD physics.flu-dyn",,"  A method is presented for making finite Fourier mode truncations of the
Rayleigh--Benard convection system that preserve invariants of the full partial
differential equations in the dissipationless limit. These truncations are
shown to have no unbounded solutions and provide a description of the thermal
flux that has the correct limiting behavior in a steady-state. A particular
low-order truncation (containing 7 modes) is selected and compared with the 6
mode truncation of Howard and Krishnamurti (1986), which does not conserve the
total energy in the dissipationless limit. A numerical example is presented to
compare the two truncations and study the effect of shear flow on thermal
transport.
","[{""version"":""v1"",""created"":""Wed, 3 Apr 1996 19:45:53 GMT""}]","2009-10-28"
"chao-dyn/9603020","Hermann Riecke","Glen D. Granzow, Hermann Riecke (Northwestern University)","Phase Diffusion in Localized Spatio-Temporal Amplitude Chaos","4 pages incl. 5 figures uucompressed",,"10.1103/PhysRevLett.77.2451",,"chao-dyn nlin.CD nlin.PS patt-sol",,"  We present numerical simulations of coupled Ginzburg-Landau equations
describing parametrically excited waves which reveal persistent dynamics due to
the occurrence of phase slips in sequential pairs, with the second phase slip
quickly following and negating the first. Of particular interest are solutions
where these double phase slips occur irregularly in space and time within a
spatially localized region. An effective phase diffusion equation utilizing the
long term phase conservation of the solution explains the localization of this
new form of amplitude chaos.
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 02:44:22 GMT""}]","2009-10-28"
"chem-ph/9604002",,"Zhong-Qi Ma, Xi-Wen Hou, and Mi Xie","Boson-realization model for the vibrational spectra of tetrahedral
  molecules","12 pages, 1 figure, Latex, Phys. Rev. A. to appear",,"10.1103/PhysRevA.53.2173",,"chem-ph physics.chem-ph",,"  An algebraic model of Boson-realization is proposed to study the vibrational
spectra of a tetrahedral molecule, where ten sets of boson creation and
annihilation operators are used to construct the Hamiltonian with $T_{d}$
symmetry. There are two schemes in our model. The first scheme provides an
eight-parameter fit to the published experimental vibrational eigenvalues of
methane with a root-mean-square deviation 11.61 $cm^{-1}$. The second scheme,
where the bending oscillators are assumed to be harmonic and the interactions
between the bending vibrations are neglected, provided a five-parameter fit
with a root-mean-square deviation 12.42 $cm^{-1}$
","[{""version"":""v1"",""created"":""Thu, 4 Apr 1996 15:36:12 GMT""}]","2009-10-28"
