"adap-org/9604002",,"Mats Dahlbom and Anders Irb\""ack","Comment on `Avalanche Dynamics in Evolution, Growth and Depinning
  Models'","Withdrawn",,,,"adap-org nlin.AO",,"  This paper is withdrawn.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 06:12:52 GMT""},{""version"":""v2"",""created"":""Sun, 13 Oct 1996 17:05:45 GMT""}]","2015-06-30"
"alg-geom/9604010","Marat Rovinsky","M.Rovinsky","A connectivity lemma for the Albanese map","LaTeX, 3 pages",,,,"alg-geom math.AG",,"  I prove that for any complex projective variety $X$ and a sufficiently large
integer $N$ all the fibers of Albanese map of the $N$-th configuration space of
$X$ are dominated by smooth connected projective varieties with vanishing ${\rm
H}^1$.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 16:25:44 GMT""}]","2008-02-03"
"alg-geom/9604011","Maxim Leyenson","Alexei L. Gorodentsev, Maxim I. Leyenson","On top Chern classes of universal bundles on moduli spaces of rank two
  coherent sheaves on the projective plane, or How to calculate the correlation
  function in SYM N=2 Nf=4 quantum field theory on complex projective plane","renaming the article (adding algebro-geometric title)",,,,"alg-geom hep-th math.AG math.QA q-alg","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We explain how to calculate the correlation function for SYM N=2 SO(3)-gauge
QFT with 4 flavors in terms of top Chern classes of the universal bundles over
the moduli spaces of rank 2 stable torsion free coherent sheaves with det=-1 on
the complex projective plane. We give a direct geometrical description of these
moduli spaces, study a 2-dimensional torus action on them, and calculate
several initial coefficients of the correlation function via Bott residue
formula.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 13:56:23 GMT""},{""version"":""v2"",""created"":""Fri, 19 Apr 1996 11:53:23 GMT""},{""version"":""v3"",""created"":""Mon, 11 Aug 2008 12:33:29 GMT""},{""version"":""v4"",""created"":""Tue, 27 Aug 2013 13:20:26 GMT""}]","2013-08-28"
"astro-ph/9604096","Nicole P. Vogt","Nicole P. Vogt, Duncan A. Forbes, Andrew C. Phillips, Caryl Gronwall,
  S. M. Faber, Garth D. Illingworth, and David C. Koo (UCO/Lick Observatory,
  Santa Cruz)","Optical Rotation Curves of Distant Field Galaxies I : Keck Results at
  Redshifts to z ~ 1","Text is 16 pages (21 with table and figures, in GIF format here for
  brevity). Full text and postscript figures are available at
  http://www.ucolick.org/~nicole/pubs/pubs.html#vfp and
  http://tarkus.pha.jhu.edu/deep/publications.html . Accepted for publication
  by The Astrophysical Journal Letters","Astrophys.J. 465 (1996) L15","10.1086/310136","UCO/LO-77","astro-ph",,"  Spatially resolved velocity profiles are presented for nine faint field
galaxies in the redshift range 0.1 < z < 1, based on moderate-resolution
spectroscopy obtained with the Keck 10 m telescope. These data were augmented
with high-resolution HST images from WFPC2, which provided V and I photometry,
galaxy type, orientation, and inclination. The effects of seeing, slit width,
and slit misalignment with respect to galaxy major axis were modeled along with
inclination for each source, in order to derive a maximum circular velocity
from the observed rotation curve. The lowest redshift galaxy, though highly
elongated, shows a distorted low-amplitude rotation curve that suggests a
merger in progress seen perpendicular to the collision path. The remaining
rotation curves appear similar to those of local galaxies in both form and
amplitude, implying that some massive disks were in place at z ~ 1. The key
result is that the kinematics of these distant galaxies show evidence for only
a modest increase in luminosity of delta M_B < 0.6 compared to
velocity-luminosity (Tully-Fisher) relations for local galaxies.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 04:48:24 GMT""}]","2009-10-28"
"astro-ph/9604098","Sangjin Lee","Sangjin Lee (The University of Chicago)","On the Propagation of Extragalactic High Energy Cosmic and Gamma-Rays","33 page LaTeX text and 29 figures (submitted to Physical Review D),
  full resolution figures available at ftp://astro.uchicago.edu/pub/astro/sjlee","Phys.Rev. D58 (1998) 043004","10.1103/PhysRevD.58.043004","FERMILAB-Pub-96/066-A","astro-ph",,"  The origin and nature of ultrahigh energy cosmic rays with energies above
$10^{20}\,$eV is a puzzle for the physics and astrophysics of cosmic rays which
is still unresolved. In this paper, I report on an extensive study on the
propagation of extragalactic nucleons, $\gamma$-rays, and electrons in the
energy range between $10^8\,$eV and $10^{23}\,$eV. I have devised an efficient
numerical method to solve the transport equations for cosmic ray spectral
evolution. The universal radiation background spectrum in the energy range
between $\simeq 10^{9}\,$eV and $\simeq 1\,$eV is considered in the numerical
code, including the diffuse radio background, the cosmic microwave background,
and the infrared/optical background, as well as a possible extragalactic
magnetic field. I apply the code to compute the particle spectra predicted by
various models of ultrahigh energy cosmic ray origin. A comparison with the
observed fluxes, especially the diffuse $\gamma$-ray background in several
energy ranges, allows one to constrain certain classes of models. I conclude
that scenarios which attribute the highest energy cosmic rays to Grand
Unification Scale physics or to cosmological Gamma Ray Bursts are viable at the
present time.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 03:36:54 GMT""}]","2009-10-28"
"astro-ph/9604099","Josh Bloom","Joshua S. Bloom, Edward E. Fenimore, Jean in 't Zand","The Corrected Log N-Log Fluence Distribution of Cosmological Gamma-Ray
  Bursts","A five page LateX file that uses the Revtex conference proceedings
  macro aipbook.sty, and includes three postscript figures using psfig. To Be
  published in the Proceedings of the Third Hunstville Symposium on Gamma-Ray
  Bursts, eds. C. Kouveliotou, M.S. Briggs and G.J. Fishman (New York:AIP).
  Postscript version availible at http://nis-www.lanl.gov/~jsbloom/LOG_S.ps",,"10.1063/1.51552",,"astro-ph",,"  Recent analysis of relativistically expanding shells of cosmological
gamma-ray bursts has shown that if the bursts are cosmological, then most
likely total energy (E_0) is standard and not peak luminosity (L_0). Assuming a
flat Friedmann cosmology (q_o = 1/2, Lambda = 0) and constant rate density
(rho_0) of bursting sources, we fit a standard candle energy to a uniformly
selected log N-log S in the BATSE 3B catalog correcting for fluence efficiency
and averaging over 48 observed spectral shapes. We find the data consistent
with E_0 = 7.3^{+0.7}_{-1.0} X 10^{51} ergs and discuss implications of this
energy for cosmological models of gamma-ray bursts.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 18:42:18 GMT""}]","2009-10-28"
"astro-ph/9604100","M. H. van Kerkwijk","M.H. van Kerkwijk (U. Amsterdam, Caltech), T.R. Geballe (Joint
  Astronomy Centre), D.L. King (RGO), M. van der Klis (U. Amsterdam), J. van
  Paradijs (U. Amsterdam, U. Alabama)","The Wolf-Rayet counterpart of Cygnus X-3","22 pages, 13 figures. Accepted by A&A. Uses l-aa.sty. A complete
  20-page postscript file using the correct postscript fonts is available at
  http://astro.caltech.edu/~mhvk/bigcyg.ps.Z","Astron. Astroph., 314, 521-540 (1996)",,,"astro-ph",,"  We present orbital-phase resolved I and K-band spectroscopy of Cygnus X-3.
All spectra show emission lines characteristic of Wolf-Rayet stars of the WN
subclass. On time scales longer than about one day, the line strengths show
large changes, both in flux and in equivalent width. In addition, the line
ratios change, corresponding to a variation in spectral subtype of WN6/7 to
WN4/5. We confirm the finding that at times when the emission lines are weak,
they shift in wavelength as a function of orbital phase, with maximum blueshift
coinciding with infrared and X-ray minimum, and maximum redshift half an orbit
later. Furthermore, we confirm the prediction -- made on the basis of previous
observations -- that at times when the emission lines are strong, no clear
wavelength shifts are observed. We describe a simplified, but detailed model
for the system, in which the companion of the X-ray source is a Wolf-Rayet star
whose wind is at times ionised by the X-ray source, except for the part in the
star's shadow. With this model, the observed spectral variations can be
reproduced with only a small number of free parameters. We discuss and verify
the ramifications of this model, and find that, in general, the observed
properties can be understood. We conclude that Cyg X-3 is a Wolf-Rayet/X-ray
binary.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 21:57:47 GMT""}]","2007-05-23"
"astro-ph/9604101","Marc Davis","Marc Davis, Adi Nusser, and Jeff Willick","Comparison of Velocity and Gravity Fields: The Mark III Tully-Fisher
  Catalog Versus the IRAS 1.2 Jy Survey","51 pages plain tex with 6 postscript figures. Revised version as
  accepted for the Astrophysical Journal. The text with the remaining 11 color
  figures is available at
  ftp://magicbean.berkeley.edu/pub/marc/m3itf/vitf.ps.gz",,"10.1086/178124",,"astro-ph",,"  We consider a measure of the peculiar velocity field derived from the Mark
III compilation of 2900 spiral galaxies (Willick \etal 1996b), using an
analysis that is substantially free of bias (Nusser and Davis 1995). We expand
the velocity field in a set of orthogonal, smooth modes, reducing the data to a
set of 56 coefficients fitted to a maximum redshift of 6000 km/s, and maximum
spherical harmonic of l=3. Equivalent mode coefficients can be computed for the
gravity field derived from any whole-sky redshift catalog of galaxies, such as
the \iras 1.2 Jy survey (Fisher \etal 1995). Detailed intercomparison shows the
two independent fields to be remarkably aligned in general. There are, however,
systematic discrepancies in the fields that lead to coherence in the residuals
between them. These residuals take the form of a dipole field in the LG frame
that grows with distance; it is not consistent with a bulk flow residual.
  A chi-squared analysis of the mode-mode comparison designed to determine
which value of $\beta\equiv \Omega^{0.6}/b$ for the \iras gravity field best
fits the Mark III velocity field shows instead that no value of $\beta$ is
acceptable. This is in contrast to the simulated catalogs, and suggests that
there must be some systematic discrepancy between the two fields.
","[{""version"":""v1"",""created"":""Wed, 17 Apr 1996 22:48:52 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jun 1996 17:33:19 GMT""}]","2009-10-28"
"astro-ph/9604102","Margarida Hernanz Carbo","M. Hernanz (1), J. Jose (2), A. Coc (3), J. Isern (1) ((1) Centre
  d'Estudis Avancats de Blanes, CSIC, Blanes, SPAIN, (2) Dept. Fisica i
  Enginyeria Nuclear, UPC, Vil. i la Geltru, SPAIN, (3) Centre de Spectrometrie
  Nucl. et de Spectr. de Masse, IN2P3-CNRS, Orsay, FRANCE)","On the ^7 Li and ^7 Be synthesis in novae","Accepted for publication on Ap. J. Letters, 14 pages, AAS Latex v4.0,
  2 Postscript figures",,,,"astro-ph",,"  The production of ^7 Li and ^7 Be during the explosive hydrogen-burning that
occurs in nova explosions is computed by means of a hydrodynamic code able to
treat both the accretion and the explosion stages. Large overproduction factors
with respect to solar abundances are obtained, the exact value depending mainly
on the chemical composition of the envelope. Although the final ejected masses
are small, these results indicate that novae can contribute to the ^7 Li
enrichment of the interstellar medium. Furthermore, since ^7 Be decays emiting
a gamma-ray (478 KeV), with a half-life of 53.3 days, the synthesis of ^7 Li
could be tested during the INTEGRAL mission.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 04:11:05 GMT""}]","2007-05-23"
"astro-ph/9604103","Nakamura Takahiro","Takahiro T. Nakamura and Ewan D. Stewart","The spectrum of cosmological perturbations produced by a multi-component
  inflaton to second order in the slow-roll approximation","12 pages, elsart, no figures","Phys.Lett. B381 (1996) 413-419","10.1016/0370-2693(96)00594-1","UTAP-228/96, RESCEU-9/96","astro-ph gr-qc hep-ph",,"  We derive general analytic formulae for the power spectrum and spectral index
of the curvature perturbation produced during inflation driven by a
multi-component inflaton field, up to the second order in the slow-roll
approximation. We do not assume any specific properties of the potential or the
metric on the scalar field space, except for the slow-roll condition, Einstein
gravity, and the absence of any permanent isocurvature modes.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 07:44:10 GMT""}]","2009-10-28"
"astro-ph/9604104","Stefan Jordan","D. Reimers (Hamburger Sternwarte, Germany), S. Jordan (Institut fuer
  Astronomie und Astrophysik, Kiel, Germany), D. Koester (Kiel), N. Bade
  (Hamburg), Th. Koehler (Hamburg), L. Wisotzki (Hamburg)","Discovery of four white dwarfs with strong magnetic fields by the
  Hamburg/ESO Survey","7 pages, LaTeX with l-aa style, 11 Postscript figures; tarred,
  gzipped and uuencoded, Astronomy and Astrophysics, in press","Astron.Astrophys.311:572-578,1996",,"Jordan-18-4-96","astro-ph",,"  Four magnetic white dwarfs have been found in the course of the Hamburg/ESO
Survey for bright QSOs. The objects have been selected as QSO candidate on the
basis of its blue continuum and the apparent absence of strong hydrogen or
helium lines. One star, HE1211-1707, shows a rather fast spectral variability:
both the strength and the position of the shallow absorption features change on
a time scale of 20 minutes. We interpret this variability as being due to a
magnetic field on the surface of a rotating white dwarf, having a relatively
uniform magnetic field on one hemisphere and a much larger spread of field
strengths visible during other phases of the rotational period. All attempts to
determine the magnetic field structure in detail with the help of synthetic
spectra have failed so far because the star must have a rather complicated
field geometry. However, both the optical and the UV spectra indicate that a
significant part of the surface is dominated by a magnetic field strength of
about 80 MG. The spectrum of HE 0127-3110 is also rotationally modulated. This
star (approximate range of magnetic fields: 85-345 MG) as well as HE 2201-2250
(a spectroscopic twin of HE 0127-3110) and HE 0000-3430 (43-118 MG) could be
reasonably well reproduced with the help of theoretical spectra calculated
assuming magnetic dipoles which are offset by 0.1 and 0.2 stellar radii along
the magnetic axis. This result is in agreement with the assumption that Ap
stars, also showing significant deviations from a centered dipole, are the
progenitors of magnetic white dwarfs.
","[{""version"":""v1"",""created"":""Thu, 18 Apr 1996 08:56:06 GMT""}]","2011-05-23"
