"alg-geom/9605007","Nobuyoshi Takahashi","Nobuyoshi Takahashi","Curves in the complement of a smooth plane cubic whose normalizations
  are $\Bbb A^1$","AMS-TeX, 25 pages",,,,"alg-geom math.AG",,"  For a smooth plane cubic $B$, we count curves $C$ of degree $d$ such that the
normalizations of $C\backslash B$ are isomorphic to $\Bbb A^1$, for $d\leq7$
(for $d=7$ under some assumption). We also count plane rational quartic curves
intersecting $B$ at only one point.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 19:43:21 GMT""}]","2008-02-03"
"astro-ph/9605062","Liliya L. R. Williams","L.L.R. Williams, G.F. Lewis (IoA, Cambridge, UK)","The Giant Proto-Galaxy cB58; an Artifact of Gravitational Lensing?","4 pages, Submitted to MNRAS Letters",,"10.1093/mnras/281.3.L35",,"astro-ph",,"  The proto-galaxy, cB58, was discovered in the CNOC survey of cluster
redshifts. Absorption features reveal that this system is at a redshift of
$z=2.72$, implying an absolute magnitude of ${\rm M_v \sim -26}$, and a
star-formation rate of $4700 {\rm M_{\odot} yr^{-1}}$, making it the most
``active'' star-forming galaxy. This proto-galaxy is observed to lie close
$\left(\sim 6\scnp\right)$ to a central cluster galaxy at $z=0.373$. The X-ray
properties of the cluster suggest that its mass, and therefore its lensing
potential, could be greater than that found using a virial analysis. In this
Letter we argue that the phenomenal properties of this proto-galaxy are due to
the gravitational lensing effect of the foreground cluster, and the unlensed
properties of the source are typical of high-redshift star-forming systems.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 18:04:38 GMT""}]","2016-06-08"
"astro-ph/9605063","Vassilis Charmandaris","P. N. Appleton, V. Charmandaris and C. Struck (Iowa State University)","The Head-on Collision between Two Gas-Rich Galaxies: Neutral Hydrogen
  Debris from the Centrally-smooth Ring Galaxy VIIZw466","AAS LaTeX macros v.4., 14 Pages, 9 fig. available upon request, to
  appear in ApJ on Sep. 10 1996",,"10.1086/177712",,"astro-ph",,"  We present VLA observations of the distribution and kinematics of the HI gas
in the classical ring galaxy VIIZw466 and its immediate surroundings. The HI
gas corresponding to the bright optical star forming ring exhibits the typical
profile of a rotating-expanding ring. The systemic velocity of the galaxy is
found to be 14,468km/s. A formal fit to the HI kinematics in the ring is
consistent with both ring rotation and expansion (expansion velocity 32 km/s).
However, H\,I in the northeast quadrant of the ring is severely disturbed,
showing evidence of tidal interaction. We also detect a hydrogen plume from the
southern edge-on companion galaxy (G2) pointing towards the ring galaxy. This,
and other peculiarities associated with G2 suggest that it is the intruder
galaxy which recently collided with VIIZw466 and formed the ring. Numerical
hydrodynamic models are presented which show that most of the observed features
can be accounted for as a result of the impact splash between two gas disks.
The resultant debris is stretched by ring wave motion in the bridge and later
forms accretion streams onto the two galaxies.Finally, we detect HI emission
from two previously unknown dwarf galaxies located northeast and southeast of
VIIZw466 respectively. This brings the total number of members of the VIIZw466
group to five. Using the projected mass method, the upper limit of the
dynamical mass of the group was estimated to be Mo =3.5x10^{12} M_sun, which
implies that the mass to light ratio of the group is (M/L)_{group} \approx$ 70.
This rather low value of M/L, as compared with other loose groups, suggests the
group may be in a state of collapse at the present time. Plunging orbits would
naturally lead to an enhanced probability of head-on collisions and ring galaxy
formation.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 20:06:40 GMT""}]","2009-10-28"
"astro-ph/9605064","Peter B. Stetson","Peter B. Stetson, Don A. VandenBerg and Michael Bolte","The Relative Ages of Galactic Globular Clusters","Eight postscript figures Also available at Also available at
  http://www.dao.nrc.ca/DAO/SCIENCE/science.html","Publ.Astron.Soc.Pac.108:560-574,1996","10.1086/133766","DAO-9614","astro-ph",,"  We discuss the present state of knowledge and thought concerning the spread
in age found among Galactic globular clusters, with some discussion of the
implications for what happened during the earliest stages of the formation of
the Milky Way Galaxy. Differential observational techniques to derive the
relative age differences among clusters of similar metallicity are discussed in
detail. We conclude that as of the current date (mid-April 1996) the state of
the field is still somewhat muddled. However, we believe that there is now a
substantial body of evidence --- including a particularly revealing
intercomparison of the color-magnitude diagrams of \ngc{1851}, \ngc{288}, and
\ngc{362} presented here --- indicating that age is {\it not\/} the dominant
second parameter determining the shape of globular clusters' horizontal
branches. If our assertion is correct, then apart from a handful of anomalous
clusters that may well have been captured from a satellite dwarf galaxy, there
is no strong evidence either for a significant spread in age among clusters of
a given metal abundance or for a systematic variation of mean age with
Galactocentric distance. On the question of whether there is a significant age
difference between metal-poor and metal-rich clusters, we feel compelled to
fall back on the Scottish verdict: ``Unproven.'' Data now being collected by
numerous groups in various subdisciplines may resolve the remaining controversy
within a few years.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 22:09:44 GMT""}]","2009-07-28"
"astro-ph/9605065","Mark Voit","G. Mark Voit (STScI)","Cosmological Blastwaves and the Intergalactic Medium","37 pages, 11 Postscript figures, LaTeX aaspp.sty file; to appear in
  Astrophysical Journal, in press (1996 July 10)",,"10.1086/177441",,"astro-ph",,"  Winds from protogalactic starbursts and quasars can drive shocks that heat,
ionize, and enrich the intergalactic medium. The Sedov-Taylor solution for
point-like explosions adequately describes these blastwaves early in their
development, but as the time since the explosion ($t - t_1$) approaches the age
of the universe ($t$), cosmological effects begin to alter the blastwave's
structure and growth rate. This paper presents an analytical solution for
adiabatic blastwaves in an expanding universe, valid when the IGM is
homogeneous and contains only a small fraction of the total mass density
($\Omega_{\rm IGM} << \Omega_0$). Using this analytical solution, we examine
the role protogalactic explosions might play in determining the state of
intergalactic gas at $z \sim 2 - 4$.
","[{""version"":""v1"",""created"":""Mon, 13 May 1996 22:26:57 GMT""}]","2009-10-28"
"astro-ph/9605066","Francine Marleau","Francine Marleau and Glenn Starkman","The Universe as a Diffusive Medium -- Constraining or Detecting the
  Gravitational Wave Background","7 pages LaTeX (uses REVTeX), 1 figure as separate PostScript file,
  submitted to Phys. Rev. D -- Brief Reports",,,,"astro-ph",,"  We calculate the ``seeing'' effect on distant sources due to a gravitational
wave background. We derive the limit in strain and energy density of the
gravitational wave based on the limit of detectability of this effect with the
present day telescope resolution. We also compare our detection limit to those
obtained from existing methods.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 00:35:42 GMT""}]","2007-05-23"
"astro-ph/9605067","Sathya","Sergei F. Shandarin (University of Kansas) and B.S. Sathyaprakash
  (University of Wales College of Cardiff, U.K.)","Modeling Gravitational Clustering without Computing Gravitational Force","Latex file (needs, epsf.sty, aaspp4.sty); postscript figures; 10
  pages (including figures); To appear in ApJ Letters","Astrophys.J.Lett. 467 (1996) L25-L28","10.1086/310186",,"astro-ph",,"  The large-scale structure in the Universe is believed to arise out of small
random density perturbations generated in the very early Universe, that are
amplified by gravity. Large and usually intricate N-body simulations are
typically employed to model the complex nonlinear dynamics in a self
gravitating medium. We suggest a very simple model which predicts, on large
scales, the correct density and velocity distributions. The model does not
involve an explicit computation of the gravitational force. It is based on a
simple transformation of the variables and local conservation laws of mass and
{\it generalized} linear momentum. The model demonstrates that the overall
appearance of large-scale structure in the Universe is explicitly determined by
the initial velocity field and it reveals the most significant large-scale
effects of gravity on the formation of structure.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 04:34:28 GMT""}]","2009-10-28"
"astro-ph/9605068",,"Keith A. Olive","Why Do We Need Non-Baryonic Dark Matter?","22 pages, latex, 7 ps figures, Combined Introductory and Summary
  talks delivered at the Dark Matter seesion at the XXXIst Recontres de
  Moriond, January 20-27, 1996",,,"UMN-TH-1427/96","astro-ph hep-ph",,"  Observational evidence along with theoretical arguments which call for
non-baryonic dark matter are reviewed. A brief summary of the dark matter
session is included.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 03:39:37 GMT""}]","2007-05-23"
"astro-ph/9605069","Erwin de Blok","W.J.G. de Blok (1), S.S. McGaugh (2) and J.M. van der Hulst (1) ((1)
  Kapteyn Institute Groningen Netherlands (2) DTM, Washington DC, USA)","HI observations of low surface brightness galaxies: Probing low-density
  galaxies","Accepted for MNRAS. Needs mn.sty. 20 pages, including figures. Figure
  2 not included: available upon request from blok@astro.rug.nl or at
  http://www.astro.rug.nl/~blok/lsb.html","Mon.Not.Roy.Astron.Soc. 283 (1996) 18-54","10.1093/mnras/283.1.18",,"astro-ph",,"  We present Very Large Array ({\sc vla}) and Westerbork Synthesis Radio
Telescope ({\sc wsrt}) 21-cm H{\sc i} observations of 19 late-type low surface
brightness (LSB) galaxies. Our main findings are that these galaxies, as well
as having low surface brightnesses, have low H{\sc i} surface densities, about
a factor of $\sim 3$ lower than in normal late-type galaxies. We show that LSB
galaxies in some respects resemble the outer parts of late-type normal
galaxies, but may be less evolved. LSB galaxies are more gas-rich than their
high surface brightness counterparts. The rotation curves of LSB galaxies rise
more slowly than those of HSB galaxies of the same luminosity, with amplitudes
between 50 and 120~km~s$^{-1}$, and are often still increasing at the outermost
measured point. The shape of the rotation curves suggests that LSB galaxies
have low matter surface densities. We use the average total mass surface
density of a galaxy as a measure for the evolutionary state, and show that LSB
galaxies are among the least compact, least evolved galaxies. We show that both
$M_{\rm HI}/L_B$ and $M_{\rm dyn}/L_B$ depend strongly on central surface
brightness, consistent with the surface brightness--mass-to-light ratio
relation required by the Tully-Fisher relation. LSB galaxies are therefore
slowly evolving galaxies, and may well be low surface density systems in all
respects.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 11:36:18 GMT""}]","2015-06-24"
"astro-ph/9605070",,"Salvatore Capozziello, Ruggiero de Ritis","A time--dependent Cosmological Constant","13 pages, Latex, submitted to Phys. Lett. A",,,,"astro-ph",,"  We extend the Wald cosmic no-hair theorem to a general class of scalar-tensor
nonminimally coupled theories of gravity where ordinary matter is also present
in the form of a perfect fluid. We give a set of conditions for obtaining a de
Sitter expansion independently of any initial conditions, generalizing the
treatment of such a problem as given by Wald. Finally we apply the results to
some specific models.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 12:21:08 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jun 1996 18:13:38 GMT""}]","2008-02-03"
"astro-ph/9605071",,"Silvia Zane, Roberto Turolla and Aldo Treves","Old Isolated Accreting Neutron Stars: The Diffuse X--ray Emission From
  The Galactic Center","10 pages, AASTEX, 3 figures, to be published in ApJ",,"10.1086/177966",,"astro-ph",,"  The contribution of weakly--magnetized ($B\sim 10^9$ G) neutron stars
accreting the interstellar medium to the diffuse X--ray emission observed in
the Galactic Center is investigated. It is shown that, under rather
conservative assumptions about the neutron stars and gas distributions, the
accretion luminosity can account for a sizable fraction, possibly most, of the
detected X--ray flux in the 2.5--7 keV band. In particular, model results are
compared with {\it Granat\/} data and show a general agreement in both the flux
energy and radial distributions.
","[{""version"":""v1"",""created"":""Tue, 14 May 1996 13:19:59 GMT""}]","2009-10-28"
