"acc-phys/9605001","Georg Hoffstaetter","K. Heinemann and G. H. Hoffstatter (DESY/Hamburg/German)","A tracking algorithm for the stable spin polarization field in storage
  rings using stroboscopic averaging","39 pages","Phys.Rev.E54:4240-4255,1996","10.1103/PhysRevE.54.4240","DESY-96-078","acc-phys physics.acc-ph",,"  Polarized protons have never been accelerated to more than about $25$GeV. To
achieve polarized proton beams in RHIC (250GeV), HERA (820GeV), and the
TEVATRON (900GeV), ideas and techniques new to accelerator physics are needed.
In this publication we will stress an important aspect of very high energy
polarized proton beams, namely the fact that the equilibrium polarization
direction can vary substantially across the beam in the interaction region of a
high energy experiment when no countermeasure is taken. Such a divergence of
the polarization direction would not only diminish the average polarization
available to the particle physics experiment, but it would also make the
polarization involved in each collision analyzed in a detector strongly
dependent on the phase space position of the interacting particle. In order to
analyze and compensate this effect, methods for computing the equilibrium
polarization direction are needed. In this paper we introduce the method of
stroboscopic averaging, which computes this direction in a very efficient way.
Since only tracking data is needed, our method can be implemented easily in
existing spin tracking programs. Several examples demonstrate the importance of
the spin divergence and the applicability of stroboscopic averaging.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 09:45:26 GMT""}]","2008-12-18"
"astro-ph/9605099","Brian Chaboyer","Brian Chaboyer (CITA)","The Age of the Universe","invited review presented at the 2nd UCLA conference on Sources and
  Detection of Dark Matter in the Universe, to appear in Nuclear Physics B
  Proceedings Supplement, 10 pages, uses espcrc2.sty","Nucl.Phys.Proc.Suppl. 51B (1996) 10-19","10.1016/S0920-5632(96)00477-X","CITA-96-9","astro-ph",,"  Globular clusters are the oldest objects in the Galaxy whose age may be
accurately determined. As such globular cluster ages provide the best estimate
for the age of the universe. The age of a globular cluster is determined by a
comparison between theoretical stellar evolution models and observational data.
Current uncertainties in the stellar models and age dating process are
discussed in detail. The best estimate for the absolute age of the globular
clusters is $14.6\pm 1.7\,$Gyr. The one-sided, 95\% confidence limit on the
lower age of the universe is $12.2\,$Gyr.
","[{""version"":""v1"",""created"":""Thu, 16 May 1996 16:01:00 GMT""}]","2009-10-28"
"astro-ph/9605101","Pffffft","Eric L. Sandquist, Michael Bolte (UCO/Lick Observatory), Peter B.
  Stetson (DAO/HIA/NRC)","CCD Photometry of the Globular Cluster M5. I. The Color-Magnitude
  Diagram and Luminosity Functions","AASTeX, 44 pages, uses amssym.sty, figures and tables only available
  from http://ucowww.ucsc.edu/~erics/paper.html, ApJ, in press",,"10.1086/177920",,"astro-ph",,"  We present new BVI photometry for the halo globular cluster M5, and examine
the B- and I-band luminosity functions (LFs), based on over 20,000 stars. We do
not see evidence in the LF of a ``subgiant excess'' or of a discrepancy in the
relative numbers of stars on the red-giant branch and main sequence, both of
which have been claimed in more metal-poor clusters. Inclusion of alpha-element
enhancements improves the agreement between the observed and predicted
positions of the ``red-giant bump''. Using the \Delta V_{TO}^{HB} method, we
conclude that the clusters M5, Palomar 5, M4, NGC 288, NGC 362, NGC 1261, NGC
1851 and NGC 2808 are the same age at the level of about 1.5 Gyr, with the
possible exception of NGC 288 (older by 3.5\pm 1.5 if the reddest NGC 288 HB
stars are on the zero-age horizontal branch). Even with NGC 288 set aside, the
large range in HB morphology in the remaining clusters appears to eliminate age
as the sole second parameter determining HB morphology in the case of constant
mass loss between RGB and HB. We are unable to chose between the two competing
values for M5's (absolute) metallicity: [Fe/H] = -1.40 (Zinn & West 1984) and
-1.17 (Sneden et al. 1992). This level of discrepancy has a signifcant effect
on the derivation of the distance modulus and absolute age of M5. From
theoretical isochrones and luminosity functions, we find an absolute age for M5
of 13.5 \pm 1 Gyr (internal error, assuming perfect models and no [M/H] error)
for the Zinn & West abundance scale and 11 \pm 1 Gyr for the higher abundance
value.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 05:40:09 GMT""}]","2009-10-28"
"astro-ph/9605102","Antoinette Cowie","Antoinette Songaila and Lennox L. Cowie (University of Hawaii,
  Institute for Astronomy)","Metal Enrichment and Ionization Balance in the Lyman $\alpha$ Forest at
  $z = 3$","31 pages plus 5 tables, 21 Postscript figures, Figures 1 and 2
  available at http://www.ifa.hawaii.edu/faculty/acowie/igm_aj.html . To be
  published in Astronomical Journal","Astron.J. 112 (1996) 335-351","10.1086/118018","IfA-96-29","astro-ph",,"  The recent discovery of carbon in close to half of the low neutral hydrogen
column density [$N({\rm H~I}) > 3\ten{14}\cm2$] Lyman forest clouds toward $z
\sim 3$ quasars has challenged the widely held view of this forest as a
chemically pristine population uniformly distributed in the intergalactic
medium, but has not eliminated the possibility that a primordial population
might be present as well. Using extremely high signal-to-noise observations of
a sample of quasars we now show that \ion{C}{4} can be found in 75% of clouds
with $N({\rm H~I}) > 3\ten{14}\cm2$ and more than 90% of those with $N({\rm
H~I}) > 1.6\ten{15}\cm2$. Clouds with $N({\rm H~I}) > 10^{15}\cm2$ show a
narrow range of ionization ratios, spanning less than an order of magnitude in
\ion{C}{4}/\ion{H}{1}, \ion{C}{2}/\ion{C}{4}, \ion{Si}{4}/\ion{C}{4} and
\ion{N}{5}/\ion{C}{4}, and their line widths require that they be photoionized
rather than collisionally ionized. This in turn implies that the systems have a
spread of less than an order of magnitude in both volume density and
metallicity. Carbon is seen to have a typical abundance of very approximately
$10^{-2}$ of solar and Si/C about three times solar, so that the chemical
abundances of these clouds are very similar to those of Galactic halo stars.
\ion{Si}{4}/\ion{C}{4} decreases rapidly with redshift from high values ($>
0.1$) at $z > 3.1$, a circumstance which we interpret as a change in the
ionizing spectrum as the intergalactic medium becomes optically thin to He$^+$\
ionizing photons. Weak clustering is seen in the \ion{C}{4} systems for $\Delta
v < 250\kms$, which we argue provides an upper limit to the clustering of
\ion{H}{1} clouds. If the clouds are associated with galaxies, this requires a
rapid evolution in galaxy clustering between $z = 3$ and $z = 0$.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 03:41:30 GMT""}]","2009-10-28"
"astro-ph/9605103","Takahiro Tanaka","Kazuhiro Yamammoto, Misao Sasaki and Takahiro Tanaka","Quantum fluctuations and CMB anisotropies in one-bubble open inflation
  models","22 pages revtex file, 12 postscript figures, tarred, gzipped","Phys.Rev.D54:5031-5048,1996","10.1103/PhysRevD.54.5031","HUPD 9604, OU-TAP-34","astro-ph gr-qc",,"  We first develop a method to calculate a complete set of mode functions which
describe the quantum fluctuations generated in one-bubble open inflation
models. We consider two classes of models. One is a single scalar field model
proposed by Bucher, Goldhaber and Turok and by us as an example of the open
inflation scinario, and the other is a two-field model such as the
``supernatural'' inflation proposed by Linde and Mezhlumian. In both cases we
assume the difference in the vacuum energy density between inside and outside
the bubble is negligible. There are two kinds of mode functions. One kind has
usual continuous spectrum and the other has discrete spectrum with
characteristic wavelengths exceeding the spatial curvature scale. The latter
can be further devided into two classes in terms of its origin. One is called
the de Sitter super-curvature mode, which arises due to the global spacetime
structure of de Sitter space, and the other is due to fluctuations of the
bubble wall. We calculate the spectrum of quantum fluctuations in these models
and evaluate the resulting large angular scale CMB anisotropies. We find there
are ranges of model parameters that are consistent with observed CMB
anisotropies.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 04:13:23 GMT""}]","2009-10-09"
"astro-ph/9605104","Takahiro Tanaka","Misao Sasaki and Takahiro Tanaka","Can the Simplest Two-Field Model of Open Inflation Survive?","6 pages revtex file, 1 postscript figures, tarred, gzipped","Phys.Rev.D54:4705-4708,1996","10.1103/PhysRevD.54.R4705","OU-TAP-35","astro-ph gr-qc",,"  We investigate the quantum fluctuations of an inflaton field in a two-field
model of one-bubble open inflation. One of the inflatons is assumed to be
responsible for the first false vacuum stage of inflation and the other is
assumed to be responsible for the second slow-roll stage of inflation. The mass
of the second inflaton is assumed to be negligible throughout the whole era of
inflation. We find the super-curvature fluctuations are enhanced by the factor
given by the ratio of the Hubble constants at false vacuum and true vacuum.
This gives a strong constraint on a class of open inflation models. In
particular, this implies the simplest two-field model proposed by Linde and
Mezhlumian is in trouble.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 04:20:16 GMT""}]","2009-10-09"
"astro-ph/9605105","Andrew P. Gould","Andrew Gould","Les Microlentilles Gravitationnelles","Four lectures given at College de France, Paris. 48 pages. Figures
  available separately",,,"LPC-96-23","astro-ph",,"  Je presente une revue des microlentilles gravitationnelles en quatre lecons.
Dans un premier temps, je discute la theorie des microlentilles dans le
contexte general des lentilles, en incluant les effets de la taille finie des
sources, de la parallaxe, et du retard temporel entre les images. Dans la
deuxieme lecon, j'analyse les experiences courantes. Je montre qu'il n'est pas
possible d'expliquer les evenements observes avec les etoiles connues, que ce
soit en direction du bulbe ou du Grand Nuage de Magellan. Je decris quelques
nouvelles experiences qui pourraient nous reveler les caracteristiques des
objets detectes. Le troisieme sujet porte sur la methode des pixels, inventee
pour observer des evenements de microlentilles sur des sources non resolues. Je
presente une analyse generale de la methode, en incluant des problemes
d'alignement geometrique, photometrique, et de PSF, du rapport signal sur
bruit, et de la nature des informations tirees des observations. Je presente un
rapport sur le progres des experiences actuelles et je discute de deux idees
pour rechercher des objets sombres dans l'amas de Virgo et des `microlentilles
extremes' dans le bulbe. Pour finir, je parle de l'avenir des microlentilles.
J'explique comment on peut les utiliser pour rechercher des planetes, pour
mesurer les vitesses transverses de galaxies et les vitesses de rotation
d'etoiles geantes, et pour rechercher les objets de la masse d'une comete se
trouvant de l'autre cote de l'univers. Ce texte est publie sous forme de
rapport interne du Laboratoire de Physique Corpusculaire du College de France
(LPC 96-23). Il inclue une copie des transparents de ces quatres lecons, copie
disponible aupres de Daniele Levaillant: levaillant@cdf.in2p3.fr
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 10:46:36 GMT""}]","2007-05-23"
"astro-ph/9605107","Karl Mannheim","K. Mannheim, S. Westerhoff, H. Meyer, & H.-H. Fink","Beacons at the Gamma Ray Horizon","9 pages latex, postscript figures included; A&A","Astron.Astrophys.315:77-85,1996",,,"astro-ph",,"  Blazars with redshifts z<0.1 are likely candidates for detection at energies
in the range 300 GeV - 50 TeV with Cerenkov telescopes and scintillator arrays.
We present gamma-ray flux predictions for a sample of 15 nearby flat-spectrum
radio sources fitting the proton blazar model of Mannheim (1993a) to their
observed broad-band spectral energy distributions. At high energies, we use
fluxes or flux limits measured by ROSAT, CGRO and the Whipple Observatory to
constrain their spectra. We take into account absorption of the gamma-rays by
pair production with low energy photons of the diffuse infrared-to-optical
photon background produced by galaxies (cosmic absorption) and with low energy
synchrotron photons of the blazar radiation field (internal absorption).
Typically, the theoretical spectra decrease much faster above TeV (photon index
s~3) than between GeV and TeV (s~2) owing to internal absorption. The predicted
fluxes are confronted with flux limits in the 20-50 TeV energy range obtained
by the High Energy Gamma Ray Astronomy (HEGRA) experiment. Without cosmic
absorption, the fluxes are about equal to the current sensitivity of HEGRA.
Improved gamma/hadron separation techniques could render a detection by HEGRA
possible, if cosmic absorption by the far-infrared background at wavelengths
~100 mu is not exceedingly strong.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 12:58:29 GMT""}]","2011-05-23"
"astro-ph/9605108","Karl Mannheim","Karl Mannheim, Dieter Hartmann, and Burkhardt Funk","The Gamma Ray Burst Rate at High Photon Energies","9 pages latex, postscript figures included; To appear in The
  Astrophysical Journal, Vol. 467, Aug 20 issue (1996)","Astrophys.J. 467 (1996) 532-536","10.1086/177629",,"astro-ph",,"  Some gamma-ray burst (GRB) spectra exhibit high energy tails with the highest
photon energy detected at 18 GeV. The spectral slope of the high-energy tails
is sufficiently flat in nu F_nu to consider the possibility of their detection
at still higher energies. We calculate how many bursts can reasonably be
expected above a given energy threshold for a cosmological distribution of
bursts satisfying the observed apparent brightness distribution. The crucial
point is that the gamma-ray absorption by pair production in the intergalactic
diffuse radiation field eliminates bursts from beyond the gamma-ray horizon tau
~ 1, thus drastically reducing the number of bursts at high energies. Our
results are consistent with the non-detection of bursts by current experiments
in the 100 GeV to 100 TeV energy range. For the earth-bound detector array
MILAGRO, we predict a maximal GRB rate of ~ 10 events per year. The Whipple
Observatory can detect, under favorable conditions, ~1 event per year. The
event rate for the HEGRA array is ~ 0.01 per year. Detection of significantly
higher rates of bursts would severely challenge cosmological burst scenarios.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 13:36:17 GMT""}]","2009-10-28"
"astro-ph/9605109","Myungshin Im","R. E. Griffiths, S. Casertano, M. Im, & K. U. Ratnatunga (Johns
  Hopkins University)","Weak Gravitational Lensing around Field Galaxies in HST Survey Images","To be published in MNRAS letters, 5 pages, 4 figures",,"10.1093/mnras/282.4.1159",,"astro-ph",,"  Using data from the HST Medium Deep Survey, a long-term Key Project, together
with generically similar archived data, we have discovered evidence for weak
gravitational `shear' of background field galaxies (I = 22 -- 26) in the
vicinity of isolated, foreground galaxies ( I = 15 -- 22), especially those of
early type. The statistical lensing is demonstrated by the slight preferential
orientation of the major axes of the background galaxies in directions at right
angles to the lines joining them to the foreground ones. The detected shear is
at the level of $\delta\phi = 2.5^{o}\pm 1.2^{o}$ averaged over the background
galaxies at about ~10 half-light radii from 400 foreground ellipticals,
corresponding to a polarization of about 0.04. A positive but less significant
result is also reported for foreground spirals. This result excludes the de
Vaucouleurs model for the mass distribution of ellipticals, but is consistent
with elliptical galaxies having total M/L ~ 100 and extensive dark halos.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 14:24:19 GMT""}]","2015-06-24"
"chem-ph/9605004","Dennis Clougherty","Dennis P. Clougherty (Department of Physics, University of Vermont)","On the Stability of Endohedral Rare Gas Fullerenes","13 pages, 3 figures in Postscript, uses REVTEX, to be published in
  Can. J. Chem. on the occasion of the 65th birthday of R.F.W. Bader","Can. J. Chem. 74 (1996) 965",,,"chem-ph atom-ph cond-mat mtrl-th physics.chem-ph",,"  The stability of Ne@C$_{60}$ and He@C$_{60}$ is discussed in the context of a
spherical model where the carbon atoms are smeared out into a uniform shell.
The electronic properties of the sixty $\pi$ electrons together with those of
the central atom are treated in the Thomas-Fermi approximation. Simple
electrostatic reasoning elucidates the nature of the radial stability of the
complex. A method to include non-spherical corrections is outlined. Possible
bonding topologies of the central atom and the C$_{60}$ cage are discussed, as
well as the relevance of these topologies to incipient central atom
distortions.
","[{""version"":""v1"",""created"":""Fri, 17 May 1996 15:49:17 GMT""}]","2008-02-03"
