"acc-phys/9605002","George Parzen","G. Parzen (Brookhaven National Laboratory)","Orbit Dynamics for Unstable Linear Motion","17 pages",,,"BNL-63074","acc-phys physics.acc-ph",,"  A treatment is given of the orbit dynamics for linear unstable motion that
allows for the zeros in the beta function and makes no assumptions about the
realness of the betatron and phase functions. The phase shift per turn is shown
to be related to the beta function and the number of zeros the beta function
goes through per turn. The solutions of the equations of motion are found in
terms of the beta function.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 13:52:35 GMT""}]","2008-02-03"
"astro-ph/9605182","Anatoly Klypin","G. Yepes (Madrid), R. Kates (Potsdam), A. Khokhlov (Austin), and A.
  Klypin (NMSU)","Hydrodynamical simulations of galaxy formation: effects of supernova
  feedback","17 pages LATEX (uses mn.sty). 12 PostScript figures and the text are
  available at ftp://charon.nmsu.edu/pub/aklypin/HYDRO Corrected ftp adderess",,"10.1093/mnras/284.1.235",,"astro-ph",,"  We numerically simulate some of the most critical physical processes in
galaxy formation: The supernova feedback, in conjunction with gasdynamics and
gravity, plays a crucial role in determining how galaxies arise within the
context of a model for large-scale structure. Our treatment incorporates a
multi-phase model of the interstellar medium and includes the effects of
cooling, heating and metal enrichment by supernovae, and evaporation of cold
clouds. The star formation happens inside the clouds of cold gas, which are
produced via thermal instability. We simulate the galaxy formation in standard
biased CDM model for a variety of parameters and for several resolutions in the
range 2--20$h^{-1}$kpc. In our picture, supernova feedback regulates the
evolution of the gas components and star formation. The efficiency of cloud
evaporation by supernova strongly influences star formation rates. This
feedback results in a steady rate of star formation in large galaxies (mass
larger than $2-3x10^{11}\Msun$) at a level of $(1-10)\Msun\yr$ for $z<3$.
Supernova feedback has an even stronger effect on the evolution of dwarf
galaxies, most of which have a small fraction of stars and extremely low
luminosities: $M_R>-15$. In the case of both large and small galaxies, the
distribution of luminous matter (stars) is strongly BIASED with respect to the
dark matter. We find an approximate biasing measure of the form $\rho_{lum}=
(\rho_{dm}/133)^{1.7}$ for z=0 and overdensities exceeding 1000. Deviations
from this relation (a factor 2-3) depend on the environment. For halo masses
exceeding $2x10^{10}\Msun$, the dependence of the absolute magnitude on the
total mass can be approximated as $M_V=-18.5-4\log(M_{tot}/10^{11}\Msun)$, with
a scatter of less than 0.5mag.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 16:16:32 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 21:17:45 GMT""}]","2015-06-24"
"astro-ph/9605183","Anatoly Klypin","A. Klypin (NMSU)","Numerical Simulations in Cosmology I","16 pages TEX. 9 PostScript figures and the text are available at
  ftp://charon.nmsu.edu/pub/aklypin/LECTURE1 To appear in International School
  of Physics ``Enrico Fermi'': Dark Matter in the Universe,Varenna 1995, eds.
  S. Bonometto, J.R. Primack, A. Provenzale. Corrected ftp address",,,,"astro-ph",,"  The purpose of these lectures is to give a short introduction into a very
vast field of numerical simulations for cosmological applications. I focus on
major features of the simulations: the equations, main numerical techniques,
effects of resolution, and methods of halo identification.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 18:05:22 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 1996 21:23:12 GMT""}]","2008-02-03"
"astro-ph/9605184","Sergei B. Popov","S.N.Nazin (1), V.M.Lipunov (1,2), I.E.Panchenko (2), K.A.Postnov (2),
  M.E.Prokhorov (1) and S.B.Popov (2) ((1) Sternberg Astronomical Institute (2)
  Department of Physics, Moscow State University)","Binary Evolution in World Wide Web","7 pages in Latex, figures are available at
  http://xray.sai.msu.su/sciwork/scenario.html; to be published in the
  proceedings of the COSMION-96 conference","Grav. & Cosmol. V.4 p. 150 (1998)",,,"astro-ph",,"  We present a WWW-version of the {\it Scenario Machine} - a computer code
designed to calculate the evolution of close binary stellar systems. The
Internet users can directly access to the code and calculate binary
evolutionary tracks with parameters at the user's will. The program is running
on the {\it Pentium} server of the Division of the Relativistic Astrophysics of
the Sternberg Astronimical Institute (http://xray.sai.msu.su/ ). The results
are presented both in the form of tables and graphic diagrams. The work is
always in progress. More possibilities for Internet users are intended to
become available in the near future.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 18:55:05 GMT""}]","2016-08-30"
"astro-ph/9605185","Martin Gaskell","C. M. Gaskell (Univ. Nebraska)","Evidence for Binary Orbital Motion of a Quasar Broad-Line Region","12 pages, AAS LaTex v4, one PostScript figure. Further details in
  astro-ph/9605175","Astrophys.J.464:L107-L110,1996","10.1086/310119",,"astro-ph",,"  Analysis of spectra of the quasar 3C 390.3 covering a period of over 20 yr
shows that the blueshifted peak of H beta has been changing its radial velocity
at an almost constant rate during this time. The radial velocity has increased
by over 1500 km/s. The lower limit to the period of radial velocity changes is
210 yr. Although very long periods cannot be excluded by the radial velocity
curve alone, other considerations suggest that the period is about 300 yr. If
the radial velocity changes are due to orbital motion, the radius of the orbit
is about 0.3 pc and the total mass of the system is about 7 * 10**9 solar
masses. In the binary black-hole model the masses of the two holes are about
2.2 * 10**9 solar masses. and about 4.4 * 10**9 solar masses. A possible third
peak claimed to be present in some 1974-75 spectra is shown to be an
instrumental artifact. The narrowness of the displaced peaks in 3C 390.3
objects requires that the broad line region cloud motions are not governed
solely by gravity. The black hole masses derived by Koratkar & Gaskell (1991)
need to be increased significantly. This probably lowers accretion efficiences
to less than 1\% of the Eddington limit.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 22:29:54 GMT""}]","2011-02-07"
"astro-ph/9605186","Vassiliki Kalogera","Vassiliki Kalogera (Astronomy Department, University of Illinois at
  Urbana-Champaign)","Orbital Characteristics of Binary Systems after Asymmetric Supernova
  Explosions","27 pages, 14 figures, aaspp4.sty, all tarred, gzipped and uuencoded
  in one file. Accepted for publication in the Astrophysical Journal. If you
  have any problems please contact vicky@astro.uiuc.edu. One reference/comment
  in the text has been removed",,"10.1086/177974",,"astro-ph",,"  We present an analytical method for studying the changes of the orbital
characteristics of binary systems with circular orbits due to a kick velocity
imparted to the newborn neutron star during a supernova explosion (SN).
Assuming a Maxwellian distribution of kick velocities we derive analytical
expressions for the distribution functions of orbital separations and
eccentricities immediately after the explosion, of orbital separations after
circularization of the post-SN orbits, and of systemic velocities of binaries
that remain bound after the explosion. These distributions of binary
characteristics can be used to perform analytical population synthesis
calculations of various types of binaries, the formation of which involves a
supernova explosion. We study in detail the dependence of the derived
distributions on the kick velocity and the pre-SN characteristics, we identify
all the limits imposed on the post-SN orbital characteristics, and we discuss
their implications for the population of X-ray binaries and double neutron star
systems. We show that large kick velocities do not necessarily result in large
systemic velocities; for typical X-ray binary progenitors the maximum post-SN
systemic velocity is comparable to the relative orbital velocity prior to the
explosion. We also find that, unless accretion-induced collapse is a viable
formation channel, X-ray binaries in globular clusters have most probably been
formed by stellar dynamical interactions only, and not directly from primordial
binaries.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 00:38:37 GMT""},{""version"":""v2"",""created"":""Sat, 1 Jun 1996 00:02:14 GMT""}]","2009-10-28"
"astro-ph/9605188","Christoph Schaab","Ch. Schaab (University of Munich), D. Voskresensky (GSI, Darmstadt),
  A. D. Sedrakian (Rostock Univeristy), F. Weber (University of Munich), M. K.
  Weigel (University of Munich)","Impact of medium effects on the cooling of non-superfluid and superfluid
  neutron stars","31 pages (LaTex) including 15 ps-figures, revised version, to be
  published in Astronomy and Astrophysics","Astron.Astrophys.321:591,1997",,,"astro-ph nucl-th",,"  Neutrino emission from the dense hadronic component in neutron stars is
subject to strong modifications due to collective effects in the nuclear
medium. We implement new estimates of the neutrino emissivities of two
processes operating in the nuclear medium into numerical cooling simulations of
neutron stars. The first process is the modified Urca process, for which the
softening of the pion exchange mode and other polarization effects as well as
the neutrino emission arising from the intermediate reaction states are taken
into account. The second process concerns neutrino emission through superfluid
pair breaking and formation processes. It is found that the medium effects on
the emissivity of the modified Urca process result in a strong density
dependence, which gives a smooth crossover from the standard to the nonstandard
cooling scenario for increasing star masses. For superfluid stars, the
superfluid pair breaking and formation processes accelerate mildly both the
standard and the nonstandard cooling scenario. This leads to a good agreement
between the theoretical cooling tracks and the rather low temperatures observed
for objects like PSRs 0833-45 (Vela), 0656+14, and 0630+18 (Geminga). The
robustness of our findings against variations in both the underlying equation
of state of baryonic matter and the used fast cooling processes is
demonstrated. Hence we conclude that the two recalculated neutrino emissivities
studied here enable one to reproduce theoretically most of the observed pulsar
temperatures by varying the masses of neutron star models.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 10:28:46 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 1996 14:58:05 GMT""}]","2011-05-23"
"astro-ph/9605189","Luis Ho","Luis C. Ho and Alexei V. Filippenko","Dynamical Evidence for a Luminous, Young Globular Cluster in NGC 1569","Accepted for publication in the Astrophysical Journal (Letters).
  LaTex, 11 pages including 1 postscript figure. AAStex macros included",,"10.1086/310181",,"astro-ph",,"  Recent high-resolution observations with the Hubble Space Telescope (HST)
reveal that star clusters of extraordinary luminosity and compactness are
commonly found in a variety of starburst systems. There has been much
speculation that these clusters represent present-day analogs of young globular
clusters. Using the HIRES echelle spectrograph on the Keck 10 m telescope, we
obtained high-dispersion optical spectra of one of the ``super star clusters''
(cluster ``A'') in the nearby dwarf galaxy NGC 1569. The size of the cluster is
known from published HST images. The line-of-sight velocity dispersion
(15.7+-1.5 km/s) has been measured from a cross-correlation analysis of its
integrated spectrum at visual wavelengths. If the cluster is gravitationally
bound and the velocities are isotropic, application of the virial theorem
implies that the cluster has a total stellar mass of (3.3+-0.5) X 10$^5$ solar
masses. This object's mass, mass density, and probable mass-to-light ratio
after aging 10--15 Gyr are fully consistent with the typical values of Galactic
globular clusters. Our result strongly suggests that at least some of the
luminous, compact, young star clusters being discovered with {\it HST} will
indeed evolve into normal globular clusters of the type seen in the Milky Way.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 14:32:18 GMT""}]","2009-10-28"
"astro-ph/9605190","Luis Ho","Luis C. Ho (Center for Astrophysics)","Optical Spectroscopy of LINERs and Low-Luminosity Seyfert Nuclei","Invited review paper to appear in The Physics of LINERs in View of
  Recent Observations, ed. M. Eracleous, A. P. Koratkar, L. C. Ho, and C.
  Leitherer (San Francisco: ASP), in press. LaTex, 29 pages. ASP Conference
  Series macros included",,,,"astro-ph",,"  An unprecedentedly large number of LINERs has been discovered in a recently
completed optical spectroscopic survey of nearby galaxies, allowing several
statistical properties of the host galaxies and of the line-emitting regions to
be examined reliably for the first time. As a consequence of the many
detections and some revised classifications, the detailed demographics of
emission-line nuclei have been updated from those given in older surveys.
Consistent with previous studies, it is found that LINERs are extremely common
in the present epoch, comprising approximately 1/3 of all galaxies with B <=
12.5 mag. If all LINERs are nonstellar in origin, then they are the dominant
constituents of the active galactic nucleus population. Many fundamental
characteristics of LINERs closely resemble those of low-luminosity Seyfert
nuclei, although several aspects of their narrow-line regions appear to differ
in a systematic manner. These differences could hold important clues to the key
parameters controlling the ionization level in active nuclei. Lastly, a
substantial fraction of LINERs has been found to contain a broad-line region,
yielding direct evidence, at least in these objects, of a physical link between
LINERs and classical Seyfert 1 nuclei and QSOs.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 15:08:50 GMT""}]","2007-05-23"
"chao-dyn/9605014","Arjendu K. Pattanayak","Arjendu K. Pattanayak and Paul Brumer (Chemical Physics Theory Group,
  University of Toronto)","Exponential Divergence and Long Time Relaxation in Chaotic Quantum
  Dynamics","10 pages, ReVTeX, to appear in Phys. Rev. Lett. 13 figures NOT
  included. Available either as LARGE (uuencoded gzipped) postscript files or
  hard-copies from apattana@tikva.chem.utoronto.ca",,"10.1103/PhysRevLett.77.59",,"chao-dyn nlin.CD",,"  Phase space representations of the dynamics of the quantal and classical cat
map are used to explore quantum--classical correspondence in a K-system: as
$\hbar \to 0$, the classical chaotic behavior is shown to emerge smoothly and
exactly. The quantum dynamics near the classical limit displays both
exponential separation of adjacent distributions and long time relaxation, two
characteristic features of classical chaotic motion.
","[{""version"":""v1"",""created"":""Thu, 30 May 1996 15:04:12 GMT""}]","2009-10-28"
"cond-mat/9605182","T. Xiang","T. Xiang and J. M. Wheatley (Research Center in Superconductivity,
  University of Cambridge, Cambridge, United Kingdom)","Quasiparticle energy dispersion in doped two dimensional quantum
  antiferromagnets","4 pages RevTex, 3 PostScript figures, uuencoded",,"10.1103/PhysRevB.54.R12653",,"cond-mat",,"  The quasiparticle dispersion in the one-hole t-t'-t""-J model is studied. Both
the finite-size diagonalization and the self-consistent Born approximation
calculations have been performed and compared. The quasiparticle band
structures in the hole and electron doped high-Tc cuprates are qualitatively
different. In the hole doped compounds, the band maxima locate at (pi/2 ,
pi/2), while in the electron doped compounds the band maxima locate at (pi, 0)
and its equivalent points. The angle-resolved photoemission data for the
quasiparticle dispersion of Sr_2CuO_2Cl_2 can be quantitatively reproduced
using the one band t-t'-t""-J model with the three-site hopping term.
","[{""version"":""v1"",""created"":""Wed, 29 May 1996 17:35:08 GMT""}]","2009-10-28"
