"alg-geom/9606001","Peter Schenzel","Peter Schenzel","Descent from the form ring and Buchsbaum rings","To appear in Comm. Algebra Latex2e",,,,"alg-geom math.AC math.AG",,"  There is a spectral sequence technique in order to estimate the local
cohomology of a ring by the local cohomology of a certain form ring. As
applications there are information on the descent of homological properties
(Cohen-Macaulay, Buchsbaum etc.) from the form ring to the ring itself. In the
case of Buchsbaum ring there is a discussion of the descent of the surjectivity
of a natural map into the local cohomology.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 10:00:59 GMT""}]","2008-02-03"
"astro-ph/9605203","Arjun Dey","James R. Graham (UC Berkeley) and Arjun Dey (NOAO/KPNO)","The Spectroscopic Redshift of an Extremely Red Object and the Nature of
  the Very Red Galaxy Population","Uu-encoded compressed gzip tarfile containing postscript files of
  15-page paper and 5 figures. Accepted for publication in ApJ",,"10.1086/178000",,"astro-ph",,"  Infrared surveys have discovered a significant population of bright (K<19)
extremely red (R-K>6) objects. Little is known about the properties of these
objects on account of their optical faintness (R>24). Here, we report deep
infrared imaging and spectroscopy of one of the extremely red objects (EROs)
discovered by Hu \& Ridgway (1994) in the field of the z=3.79 quasar
PC1643+4631A. The infrared images were obtained in 0.5"" seeing, and show that
the object (denoted HR10) is not a dynamically relaxed elliptical galaxy
dominated by an old stellar population as was previously suspected, but instead
has an asymmetric morphology suggestive of either a disk or an interacting
system. The infrared spectrum of HR10 shows a single, possibly broad emission
feature at 1.60um which we identify as Halpha+[NII] at z=1.44. The luminosity
and width of this emission line indicates either intense star formation (about
20h^{-2} solar masses/yr) or the presence of an active nucleus. Based on the
rest frame UV-optical spectral energy distribution, the luminosity of HR10 is
estimated to be 3 to 8 L*. The colors of HR10 are unusually red for a galaxy
(at z=1.44 the age of HR10 is at most 2 to 8 Gyr depending on cosmology), and
indicate that HR10 is dusty. HR10 is detected weakly at radio wavelengths; this
is consistent with either the starburst or AGN hypothesis. If HR10 is a typical
representative of its class, EROs are numerous and represent a significant
component of the luminous objects in the Universe at z approx 1.5.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 20:06:51 GMT""}]","2009-10-28"
"astro-ph/9605204","Hans-Walter Rix","H.-W. Rix (Steward Observatory), P. Guhathakurta (UC Santa Cruz), M.
  Colless (MSSSO) and K. Ing (UC Santa Cruz)","Internal Kinematics of Distant Field Galaxies: I. Emission Line Widths
  for a Complete Sample of Faint Blue Galaxies at <z>=0.25","TeX Text and Tables, no Figures. Compressed and uuencoded PS file of
  the complete paper (43 pages including 9 figures) available at
  http://zwicky.as.arizona.edu/~rix/; submitted to MNRAS",,"10.1093/mnras/285.4.779",,"astro-ph",,"  We present measurements of the OII(3727) emission line width for a complete
sample of 24 blue field galaxies (21.25<B<22, B-R<1.2) at <z>=0.25, obtained
with the AUTOFIB fibre spectrograph on the Anglo-Australian Telescope. Most
emission lines are spectrally resolved, yet all have dispersions sigma<100km/s.
Five of the 24 sample members have OII doublet line flux ratios which imply gas
densities in excess of 100 cm^-3. The line emission in these galaxies may be
dominated by an active nucleus and the galaxies have been eliminated from the
subsequent analysis. The remaining 19 linewidths are too large by a factor of
two (7sigma significance) to be attributed to turbulent motions within an
individual star forming region, and therefore most likely reflect the orbital
motion of ionized gas in the galaxy. We use Fabry--Perot observations of nearby
galaxies to construct simulated datasets that mimic our observational setup at
z=0.25; these allow us to compute the expected distribution of (observable)
linewidths sigma_v for a galaxy of a given ``true'' (optical) rotation speed
v_c. These simulations include the effects of random viewing angles, clumpy
line emission, finite fibre aperture, and internal dust extinction on the
emission line profile. We assume a linewidth--luminosity--colour relation: ln[
v_c(M_B,B-R) ] = ln[v_c(-19,1)] - eta*(M_B+10) + zeta*[(B-R)-1] and determine
the range of parameters consistent with our data. We find a mean rotation speed
of v_c(-19,1)=66+-8km/s (68% confidence limits) for the distant galaxies with
M_B=-19 and B-R=1, with a magnitude dependence for v_c of eta=0.07+-0.08, and a
colour dependence of zeta =0.28+-0.25. Through comparison with several local
samples we show that this value of v_c(-19,1) is significantly lower than the
optical rotation speed of present-day galaxies with the same absolute magnitude
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 01:16:58 GMT""}]","2015-06-24"
"astro-ph/9606001","Matthias Bartelmann","Ramesh Narayan (1) and Matthias Bartelmann (2) ((1) CfA, (2) MPA)","Lectures on Gravitational Lensing","revised version: references updated, some new results included; 53
  pages without any figures; complete versions can be found at
  http://www.mpa-garching.mpg.de/Lenses/Preprints/JeruLect.html",,,,"astro-ph",,"  These lectures give an introduction to Gravitational Lensing. We discuss
lensing by point masses, lensing by galaxies, and lensing by clusters and
larger-scale structures in the Universe. The relevant theory is developed and
applications to astrophysical problems are discussed.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 06:45:37 GMT""},{""version"":""v2"",""created"":""Thu, 2 Oct 1997 07:49:42 GMT""}]","2009-09-25"
"astro-ph/9606002","Paola Andreani","P. Andreani and A. Franceschini (Dipartimento di Astronomia di Padova)","MM Observations of IRAS Galaxies: Dust Properties, Luminosity Functions
  and Contributions to the Sub-MM Background","4 pg Latex file (using included crckapb.sty) gzip'd tar'd file
  including 3 ps figures. Proceedings of 'Cold dust Morphology Conference',
  Johannesburg, South Africa, January 21-26 1996 A wrong figure is replaced",,"10.1007/978-94-009-0335-7_41","PD-960603","astro-ph",,"  We have studied the FIR/{\it mm} spectrum of IR galaxies by combining IRAS
photometry with new {\it mm} data on a complete southern IRAS galaxy sample.
The observed spectra and a dust model emphasize a dicothomy in the galaxy
population: half of the objects with a lot of warm dust are characterized by
higher values of the bolometric (UV-FIR) luminosity, of the dust-to-gas mass
ratio, of the dust optical depths and extinction, while those dominated by cold
({\it cirrus}) dust show opposite trends. From these data we derive the {\it
mm} luminosity function of galaxies and estimate their contribution to the
sub-{\it mm} background (BKG).
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 13:37:14 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jun 1996 08:50:15 GMT""}]","2016-01-27"
"astro-ph/9606003","Andrew P. Gould","Andrew Gould and B. Scott Gaudi","Femtolens Imaging of a Quasar Central Engine Using a Dwarf Star
  Telescope","12 pages including 3 embedded figures",,"10.1086/304569","OSU-TA-13/96","astro-ph",,"  We show that it is possible to image the structure of a distant quasar on
scales of $\sim 1\,$AU by constructing a telescope which uses a nearby dwarf
star as its ``primary lens'' together with a satellite-borne ``secondary''. The
image produced by the primary is magnified by $\sim 10^5$ in one direction but
is contracted by 0.5 in the other, and therefore contains highly degenerate
one-dimensional information about the two-dimensional source. We discuss
various methods for extracting information about the second dimension including
``femtolens interferometry'' where one measures the interference between
different parts of the one-dimensional image with each other. Assuming that the
satellite could be dispatched to a position along a star-quasar line of sight
at a distance $r$ from the Sun, the nearest available dwarf-star primary is
likely to be at $\sim 15\,\pc\,(r/40\,\rm AU)^{-2}$. The secondary should
consist of a one-dimensional array of mirrors extending $\sim 700\,$m to
achieve 1 AU resolution, or $\sim 100\,$m to achieve 4 AU resolution.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:59:44 GMT""}]","2016-08-30"
"atom-ph/9606001","Gora Shlyapnikov","Yu. Kagan, E.L. Surkov, and G.V. Shlyapnikov","Evolution of a Bose-condensed gas under variations of the confining
  potential","4 pages, no postscript figures",,"10.1103/PhysRevA.54.R1753",,"atom-ph cond-mat physics.atom-ph",,"  We discuss the dynamic properties of a trapped Bose-condensed gas under
variations of the confining field and find analytical scaling solutions for the
evolving coherent state (condensate). We further discuss the characteristic
features and the depletion of this coherent state.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 10:25:28 GMT""}]","2009-10-28"
"atom-ph/9606002","Gora Shlyapnikov","T.W. Hijmans, G.V. Shlyapnikov, and A.L. Burin","Influence of radiative interatomic collisions on an atom laser","19 pages, 2 Postscript figures",,"10.1103/PhysRevA.54.4332",,"atom-ph physics.atom-ph",,"  We discuss the role of light absorption by pairs of atoms (radiative
collisions) in the context of a model for an atom laser. The model is applied
to the case of VSCPT cooling of metastable triplet helium. We show that,
because of radiative collisions, for positive detuning of the driving light
fields from an atomic resonance the operating conditions for the atom laser can
only be marginally met. It is shown that the system only behaves as an atom
laser if a very efficient sub-Doppler precooling mechanism is operative. In the
case of negative frequency detuning the requirements on this sub-Doppler
mechanism are less restricting, provided one avoids molecular resonances.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:27:39 GMT""}]","2009-10-28"
"cmp-lg/9606001","Andy Golding","Andrew R. Golding (Mitsubishi Electric Research Laboratories)","A Bayesian hybrid method for context-sensitive spelling correction","15 pages",,,"TR95-13","cmp-lg cs.CL",,"  Two classes of methods have been shown to be useful for resolving lexical
ambiguity. The first relies on the presence of particular words within some
distance of the ambiguous target word; the second uses the pattern of words and
part-of-speech tags around the target word. These methods have complementary
coverage: the former captures the lexical ``atmosphere'' (discourse topic,
tense, etc.), while the latter captures local syntax. Yarowsky has exploited
this complementarity by combining the two methods using decision lists. The
idea is to pool the evidence provided by the component methods, and to then
solve a target problem by applying the single strongest piece of evidence,
whatever type it happens to be. This paper takes Yarowsky's work as a starting
point, applying decision lists to the problem of context-sensitive spelling
correction. Decision lists are found, by and large, to outperform either
component method. However, it is found that further improvements can be
obtained by taking into account not just the single strongest piece of
evidence, but ALL the available evidence. A new hybrid method, based on
Bayesian classifiers, is presented for doing this, and its performance
improvements are demonstrated.
","[{""version"":""v1"",""created"":""Mon, 3 Jun 1996 14:24:51 GMT""}]","2008-02-03"
"cond-mat/9605204","Anton Andreev","A. V. Andreev, B. D. Simons, O. Agam, and B. L. Altshuler","Semiclassical Field Theory Approach to Quantum Chaos","uuencoded file, 21 pages, latex, one eps figure","Nucl.Phys. B482 (1996) 536-566","10.1016/S0550-3213(96)00473-7",,"cond-mat",,"  We construct a field theory to describe energy averaged quantum statistical
properties of systems which are chaotic in their classical limit. An expression
for the generating function of general statistical correlators is presented in
the form of a functional supermatrix nonlinear $\sigma$-model where the
effective action involves the evolution operator of the classical dynamics.
Low-lying degrees of freedom of the field theory are shown to reflect the
irreversible classical dynamics describing relaxation of phase space
distributions. The validity of this approach is investigated over a wide range
of energy scales. As well as recovering the universal long-time behavior
characteristic of random matrix ensembles, this approach accounts correctly for
the short-time limit yielding results which agree with the diagonal
approximation of periodic orbit theory.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 16:07:41 GMT""}]","2009-10-28"
"cond-mat/9605205","Hamburger Dani","Daniel A. Hamburger-Lidar (Hebrew University of Jerusalem, Israel)","Elastic Scattering by Deterministic and Random Fractals: Self-Affinity
  of the Diffraction Spectrum","20 pages, 11 figures. Phys. Rev. E, in press. More info available at
  http://www.fh.huji.ac.il/~dani/","Phys. Rev. E. 54 (1996) 354-370","10.1103/PhysRevE.54.354",,"cond-mat chem-ph nlin.SI solv-int",,"  The diffraction spectrum of coherent waves scattered from fractal supports is
calculated exactly. The fractals considered are of the class generated
iteratively by successive dilations and translations, and include
generalizations of the Cantor set and Sierpinski carpet as special cases. Also
randomized versions of these fractals are treated. The general result is that
the diffraction intensities obey a strict recursion relation, and become
self-affine in the limit of large iteration number, with a self-affinity
exponent related directly to the fractal dimension of the scattering object.
Applications include neutron scattering, x-rays, optical diffraction, magnetic
resonance imaging, electron diffraction, and He scattering, which all display
the same universal scaling.
","[{""version"":""v1"",""created"":""Sun, 2 Jun 1996 22:03:49 GMT""}]","2009-10-28"
