"alg-geom/9606008","Michal Kwiecinski","Michal Kwiecinski and Piotr Tworzewski","Finite sets in fibres of holomorphic maps","LaTeX v. 2.09, 16 pages",,,"IMUJ preprint 1996/08, Jagiellonian Univ., Krakow","alg-geom math.AG",,"  We consider the maximal number of arbitrary points in a special fibre that
can be simultaneously approached by points in one sequence of general fibres.
Several results about this topological invariant and their applications
describe the structure of holomorphic maps. In particular, we get a lower bound
on the number of points in the general fibre of a generically finite map.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 12:03:01 GMT""}]","2008-02-03"
"astro-ph/9606053","Wolfgang Brandner","Markus Sch\""oller (MPIfR Bonn), Wolfgang Brandner (AI W\""urzburg),
  Thomas Lehmann (Universit\""atssternwarte Jena), Gerd Weigelt (MPIfR Bonn),
  and Hans Zinnecker (AI Potsdam)","Simultaneous optical speckle masking and NIR adaptive optics imaging of
  the 126 mas Herbig Ae/Be binary star NX Puppis","9 pages, 6 Postscript figures, fig2.ps, fig3a.ps and fig3b.ps
  available upon request, uses l-aa-ps.sty and psfig.sty Postscript File also
  available at http://www.astro.uni-wuerzburg.de/supplements.html; A&A 1996 in
  press","A&A 315 (1996) 445",,,"astro-ph",,"  We present simultaneous optical and near-infrared high angular resolution
observations of the close Herbig Ae/Be binary star NX Pup which is associated
with cometary globule~1. The reconstructed images have a diffraction--limited
resolution of 62 mas in V, 75 mas in R (speckle masking reconstruction), and
115 mas in H, 156 mas in K (adaptive optics + post--processing). Compared to
previous results we were able to derive better estimates on spectral type and
luminosity and hence put better constraints on the evolutionary status (mass &
age) of NX Pup A and B: with NX Pup A of spectral type F0-F2 we estimate the
spectral type of NX Pup B in the range F7-G4, masses of 2 M$_\odot$ and
1.6--1.9 M$_\odot$, respectively, and an age of 3--5~Myr for both stars. We
discuss the implication of the new age determination on the physical relation
between NX Pup and the cometary globule. The dynamical lifetime of $\approx$
10$^6$ yr for cometary globule 1 suggests that cometary globule 1 and the
nearby cometary globule 2 represent transient phenomena and are left overs of a
larger molecular cloud which in turn was the parental cloud of NX~Pup A and B
and finally got dispersed by photoevaporation. The IR excess of NX Pup A can be
modeled by a viscous accretion disk, which is cut off at $\approx$ 20 AU from
the star. NX Pup B has a smaller IR excess which indicates that there is less
circumstellar material present than around the primary.
","[{""version"":""v1"",""created"":""Sun, 9 Jun 1996 19:00:56 GMT""}]","2007-05-23"
"astro-ph/9606054",,"Luis Gonzalez-Mestres (LPC College de France, Paris)","Superluminal Matter and High-Energy Cosmic Rays","3 pages",,,,"astro-ph hep-ph",,"  High-energy cosmic ray events present important challenges to particle
astrophysics. Their nature and origin are often not well understood and, as
they occur in an energy domain not accessible to particle accelerators, there
is no clear guide to their interpretation. We recently proposed a new,
non-tachyonic, possible class of superluminal particles which may play an
important cosmological role. In this note, we would like to point out that such
particles, if they exist, are able to produce very high energy cosmic rays
compatible with discoveries reported in the literature.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 00:27:12 GMT""}]","2007-05-23"
"astro-ph/9606055","Huan Lin","Huan Lin, Robert P. Kirshner, Stephen A. Shectman, Stephen D. Landy,
  Augustus Oemler, Douglas L. Tucker, and Paul L. Schechter","The Power Spectrum of Galaxy Clustering in the Las Campanas Redshift
  Survey","48 pages, including 15 of 16 postscript figures, uses AASTEX v4.0
  style files, to appear in ApJ. The full paper is available at
  http://manaslu.astro.utoronto.ca/~lin/lcrs.html (North America) and
  http://www.aip.de:8080/~tucker/lcrs-mirror.html (Europe)",,"10.1086/177993",,"astro-ph",,"  The Las Campanas Redshift Survey (LCRS) contains 23697 galaxies, with an
average redshift $z = 0.1$, distributed over six $1.5\arcdeg$ by $80\arcdeg$
slices in the North and South galactic caps. We have computed the power
spectrum $P(k)$ for LCRS galaxies over wavelengths $\lambda = 2\pi / k = 5 -
400\ h^{-1}$~Mpc. The LCRS $P(k)$ may be approximated as $\propto k^{-1.8 \pm
0.1}$ for small scales $\lambda = 5 - 30\ h^{-1}$~Mpc, changing to $\propto
k^{1 \pm 1}$ for large scales $\lambda \approx 200 - 400\ h^{-1}$~Mpc. The
overall amplitude corresponds to $\sigma_8 = 1.0 \pm 0.1$ in redshift space.
Comparisons to the power spectra of other redshift surveys will be presented;
the LCRS results agree best with those from the combined Center for
Astrophysics and Southern Sky redshift surveys. We find evidence for type-
dependent clustering differences in the LCRS, such that galaxies brighter than
about $M^* - 1$ appear about 50\% more strongly clustered than those fainter,
and that a sample of emission galaxies shows 30\% weaker clustering than the
full LCRS sample. On large scales $\lambda \gtrsim 40\ h^{-1}$~Mpc, we have
also fit the LCRS results to various linear CDM models, and find that a number
of them could meet the constraints set by the LCRS power spectrum, the Hubble
constant range $0.5 \lesssim h \lesssim 0.8$, the abundance of galaxy clusters,
and the reasonable assumption that LCRS galaxies are roughly unbiased tracers
of the mass, relative to the normalization provided by the 4-year COBE DMR
data. The possibilites include open CDM or flat non-zero cosmological-constant
CDM models with $\Omega_0 \approx 0.4-0.6$ and shape parameter $\Gamma \approx
0.2-0.3$, as well as flat $\Omega_0 = 1$ models with massive neutrino density
$\Omega_\nu \approx 0.2-0.3$ or a spectral tilt $n \approx 0.7-0.8$. (abridged)
","[{""version"":""v1"",""created"":""Sun, 9 Jun 1996 23:40:26 GMT""}]","2009-10-28"
"astro-ph/9606056","Tom Geballe","T.R. Geballe, S.R. Kulkarni, C.E. Woodward, G.C. Sloan","The Near-infrared Spectrum of the Brown Dwarf Gliese 229B","LateX, 12 pages. Five postscript figures, available via
  ftp://ftp.jach.hawaii.edu/pub/ukirt/ftp/trg/gl229b, get fig1.ps, etc",,"10.1086/310203",,"astro-ph",,"  A medium resolution 1.0-2.5um spectrum of the brown dwarf, Gliese 229B has
been obtained using CGS4 on UKIRT. In addition to the broad spectral structure
seen in earlier low resolution observations, the new spectrum reveals a large
number of absorption lines, many of which can be identified with water vapor.
Water and methane are both shown to be strong absorbers in the near-infrared
spectrum of the object. Several spectral features in Gl 229B that are
attributable to methane match ones seen in reflection in the giant outer
planets and, in particular, Titan.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 06:44:21 GMT""}]","2009-10-28"
"astro-ph/9606057","Kull A.","A. Kull, R. A. Treumann, and H. B\""ohringer (MPE Garching)","Violent Relaxation of Indistinguishable Objects and Neutrino Hot Dark
  Matter in Clusters of Galaxies","AASTeX, 16 pages, 2 EPS figures, uses aas2pp4.sty. Accepted by ApJ
  Letters","Astrophys.J. 466 (1996) L1-L4","10.1086/310159",,"astro-ph",,"  The statistical mechanical investigation of violent relaxation (Lynden-Bell
1967) is extended to indistinguishable objects. It is found that,
coincidentally, the equilibrium distribution is the same as that obtained for
classical objects. For massive neutrinos, the Tremaine \& Gunn (1979) phase
space bound is revisited and reinterpretated as the limit indicating the onset
of degeneracy related to the coarse-grained phase space distribution. In the
context of one of the currently most popular cosmological models, the Cold and
Hot Dark Matter (CHDM) model (Primack et al. 1995), the onset of degeneracy may
be of importance in the core region of clusters of galaxies. Degeneracy allows
the neutrino HDM density to exceed the limit imposed by the Tremaine \& Gunn
(1979) bound while accounting for the phase space bound.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 07:55:00 GMT""}]","2009-10-28"
"astro-ph/9606058","Karen Southwell","K.A. Southwell and P.A. Charles","The optical counterpart of the supersoft Small Magellanic Cloud
  transient pulsar RX~J0059.2-7138","4 pages, 3 figures, to appear in MNRAS. Uses mn.sty","MNRAS 281 (1996) L63","10.1093/mnras/281.3.L63",,"astro-ph",,"  We identify the probable optical counterpart of the SMC supersoft source,
RX~J0059.2-7138, with a $\sim$~14th magnitude star lying within the X-ray error
circle. We present high resolution optical spectroscopy, which reveals strong
HI emission and HeI absorption, indicative of a Be star. This classification is
consistent with the colours we derive from optical photometry. We thus find
evidence to support the existing tentative identification of this object as a
Be/X-ray binary, the first of its kind to exhibit luminous supersoft X-ray
emission.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 09:14:41 GMT""}]","2016-06-08"
"astro-ph/9606059","Craig J. Copi","Craig J Copi, David N. Schramm, and Michael S. Turner","The Big-Bang Nucleosynthesis Limit to the Number of Neutrino Species","10 pages, 2 figures (LaTeX 2.09 using epsf.sty and rotate.sty)","Phys.Rev.D55:3389-3393,1997","10.1103/PhysRevD.55.3389","FERMILAB--Pub--96/122-A","astro-ph",,"  Concern about systematic uncertainty in the $^4$He abundance as well as the
chemical evolution of $^3$He leads us to re-examine this important limit. It is
shown that with conservative assumptions no more than the equivalent of 4
massless neutrino species are allowed. Even with the most extreme estimates of
the astrophysical uncertainties a meaningful limit still exists, less than 5
massless neutrino species, and illustrates the robustness of this argument. A
definitive measurement of the deuterium abundance in high-redshift hydrogen
clouds should soon sharpen the limit.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:28:39 GMT""}]","2008-11-26"
"astro-ph/9606060","Bohdan Paczynski","Bohdan Paczynski (Princeton University Observatory)","The Masses of Nearby Dwarfs and Brown Dwarfs with the HST","submitted to Acta Astronomica, 7 pages, 2 figures uuencoded, gzipped,
  tarred Latex and postscript files",,,,"astro-ph",,"  The known nearby stars, moving in front of the background of distant stars
and galaxies, create 'weak gravitational lensing' variations in their
positions. These variations may be measurable with the HST, and they may allow
a direct mass determination for the nearby stars. The cross section for the HST
measurable astrometric effect is much larger than the cross section for the
photometric effect which is measurable from the ground. The mass determination
will be easier for the fainter nearby lenses which will be discovered in future
searches of faint high proper motion stars.
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:55:18 GMT""}]","2007-05-23"
"astro-ph/9606061","Helene Di Nella","J. Rousseau, H. Di Nella, G. Paturel, C. Petit","Reduction of the COSMOS Southern Sky galaxy survey data to the RC3
  standard system","5 pages, postcript including figures, to appear in MNRAS, reprint
  requests: dinella@mpia-hd.mpg.de",,"10.1093/mnras/282.1.144",,"astro-ph",,"  After having cross-identified a subsample of LEDA galaxies in the COSMOS
database, we defined the best relations to convert COSMOS parameters
(coordinates, position angle, diameter, axis ratio and apparent magnitude) into
RC3 system used in the LEDA database. Tiny secondary effects can be tested:
distance to plate cenetrs effect and air-mass effect. The converted COSMOS
parameters are used to add missing parameters on LEDA galaxies.
  Key words: galaxies - catalogue - photometry
","[{""version"":""v1"",""created"":""Mon, 10 Jun 1996 15:59:30 GMT""}]","2015-06-24"
"cond-mat/9606052","Alison Chaiken","Richard P. Michel, A. Chaiken, Young K. Kim, and Lantz E. Johnson","NiO Exchange Bias Layers Grown by Direct Ion Beam Sputtering of a Nickel
  Oxide Target","9 pages, Latex 2.09, 3 postscript figures. You can also this
  manuscript at http://www.wsrcc.com/alison/fixed-nio/manuscript.html To be
  published in _IEEE Trans. Magn._, Nov. 1996",,"10.1109/20.539107",,"cond-mat",,"  A new process for fabricating NiO exchange bias layers has been developed.
The process involves the direct ion beam sputtering (IBS) of a NiO target. The
process is simpler than other deposition techniques for producing NiO buffer
layers, and facilitates the deposition of an entire spin-valve layered
structure using IBS without breaking vacuum. The layer thickness and
temperature dependence of the exchange field for NiO/NiFe films produced using
IBS are presented and are similar to those reported for similar films deposited
using reactive magnetron sputtering. The magnetic properties of highly textured
exchange couples deposited on single crystal substrates are compared to those
of simultaneously deposited polycrystalline films, and both show comparable
exchange fields. These results are compared to current theories describing the
exchange coupling at the NiO/NiFe interface.
","[{""version"":""v1"",""created"":""Sun, 9 Jun 1996 21:08:46 GMT""}]","2009-10-28"
