"alg-geom/9606012","Robert Lazarsfeld","Robert Lazarsfeld","Lengths of Periods and Seshadri Constants of Abelian Varieties","8 pages, AMS-TeX v 2.1",,,,"alg-geom math.AG",,"  The purpose of this note is to point out an elementary but somewhat
surprising connection between the work of Buser and Sarnak on lengths of
periods of abelian varieties and the Seshadri constants measuring the local
positivity of theta divisors. The link is established via symplectic blowing
up, in the spirit of McDuff and Polterovich. As an application of the main
inequality, we get a simple new proof of a statement of Buser-Sarnak type to
the effect that the Jacobian of a curve has a period of unusually small length.
We also deduce a lower bound on the Seshadri constant of a very general
p.p.a.v. which differs from the maximum possible by a factor of less than four.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:23:45 GMT""}]","2008-02-03"
"astro-ph/9606084","Jens Villumsen","Jens V. Villumsen (Max-Planck-Institut f\""ur Astrophysik), Wolfram
  Freudling (Space Telescope-European Coordinating Facility and European
  Southern Observatory), Luiz N. da Costa (European Southern Observatory and
  Observatorio Nacional, Rio de Janeiro, Brazil)","Clustering of Galaxies in the Hubble Deep Field","9 pages, Latex, [aas2pp4], 5 Postscript figures. Figures obtainable
  via anonymous FTP from ftp://ecf.hq.eso.org/pub/preprints/hdf Accepted for
  publication in Astrophysical Journal",,"10.1086/304072",,"astro-ph",,"  We compute the two-point angular correlation function $w(\theta)$ for a
sample of $\sim$ 1700 galaxies to a magnitude-limit equivalent to $R \sim 29.5$
using a catalog derived from the Hubble Deep Field images. A non zero value of
$w(\theta)$ is measured down to $R=29.0$. The amplitude of $w(\theta)$ at the
bright magnitude limit ($R \sim 26$) is consistent with previous ground-based
observations. At fainter magnitudes the clustering amplitude continues to
decrease but at a slower rate than that predicted by the power law
$w(1'')\propto 10^{-0.27R}$ observed for shallower samples. The observed
$w(\theta)$ over the magnitude range $20 <R< 29$ is consistent with linear
evolution of the clustering of a galaxy population which at present has a
correlation length $r_0$ of about 4 h^(-1) Mpc, close to that of local IRAS
galaxies. We also investigate the impact that magnification bias induced by
weak gravitational lensing may have on our results. Although the observed
amplitude of $w(\theta)$ can differ from the true amplitude by up to 30%, this
effect is not large enough to affect our conclusions. Finally, by using a
color-selected sample, we examine whether the expected effects of magnification
bias can be used for an independent determination of cosmological parameters in
deep images. We conclude that the amplitude of the effect can be large and in
some cases even produce an upturn of the amplitude of the correlation with
limiting magnitude. However, we find that it is not possible to detect the
effects of magnification bias on $w(\theta)$ from images alone. If redshift
information becomes available, it is possible to measure the effects of
magnification bias directly and thus constrain the density parameter $\Omega_0$
and the bias factor b.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 16:07:41 GMT""},{""version"":""v2"",""created"":""Tue, 3 Dec 1996 17:25:18 GMT""}]","2009-10-28"
"astro-ph/9606085","Eugene A. Magnier","Eugene A. Magnier, You-Hua Chu, Sean D. Points (U.Illinois), Una Hwang
  (GSFC), R. Chris Smith (U. Michigan)","X-rays from Superbubbles in the Large Magellanic Cloud IV: The Blowout
  Structure of N44","15 pages, LaTeX + psfig, 1 tex file, 2 sty files, 7 PS files, also
  available at: http://www.astro.washington.edu/gene/papers/papers.html","ApJ 464, 829","10.1086/177368",,"astro-ph",,"  We have used optical echelle spectra along with ROSAT and ASCA X-ray spectra
to test the hypothesis that the southern portion of the N44 X-ray bright region
is the result of a blowout structure. Three pieces of evidence now support this
conclusion. First, the filamentary optical morphology corresponding with the
location of the X-ray bright South Bar suggests the blowout description (Chu et
al 1993). Second, optical echelle spectra show evidence of high velocity (~90
km/sec) gas in the region of the blowout. Third, X-ray spectral fits show a
lower temperature for the South Bar than the main superbubble region of Shell
1. Such a blowout can affect the evolution of the superbubble and explain some
of the discrepancy discussed by Oey & Massey (1995) between the observed shell
diameter and the diameter predicted on the basis of the stellar content and
Weaver et al.'s (1977) pressure-driven bubble model.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 21:55:40 GMT""}]","2009-10-28"
"astro-ph/9606086","Panayotis Boumis","J. Meaburn, P. Boumis, J.R. Walsh, W. Steffen, A.J. Holloway, R.J.R
  Williams and M. Bryce (University of Manchester except JRW ESO-STCF)","Highly supersonic motions within the outer features of the Eta Carinae
  nebulosity","MNRAS style file, 6 pages. 7 eps figures are not included but are
  available individually at http://axp2.ast.man.ac.uk:8000/Preprints.html",,"10.1093/mnras/282.4.1313",,"astro-ph",,"  Spatially resolved H$\alpha$ and [N{\sc ii}] line profiles have been obtained
over striking features in the outer regions of the Eta Carinae nebula. The
highly irregular outer `shell' of low ionization, [N{\sc ii}] bright, knots has
been shown to exhibit radial velocities between -1200 and +300 km/s with
respect to the systemic radial velocity, over its perimeter. Furthermore,
several knots have been found which appear to emit only in the H$\alpha$ line
with radial velocities up to -1450 km/s.
  However, the most intriguing features are a narrow `spike' that projects
through this outer shell and a faint `arc' of emission that extends well beyond
it. The `spike', which exhibits a change of radial velocity along its length,
could be a narrow collimated jet with an outflow velocity of > 1000 km/s. In
one interpretation the `arc' is modelled by a conical outflow and mechanisms
for generating [N{\sc ii}] emission from highly supersonic gas are also
discussed.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 11:57:44 GMT""}]","2015-06-24"
"astro-ph/9606088",,"Michal J. Chodorowski and Ewa L. Lokas","Weakly Nonlinear Density-Velocity Relation","34 pages, figures included, minor changes, a few references added,
  accepted for publication in MNRAS",,"10.1093/mnras/287.3.591",,"astro-ph",,"  We rigorously derive weakly nonlinear relation between cosmic density and
velocity fields up to third order in perturbation theory. The density field is
described by the mass density contrast, $\de$. The velocity field is described
by the variable $\te$ proportional to the velocity divergence, $\te = -
f(\Omega)^{-1} H_0^{-1} \nabla\cdot\bfv$, where $f(\Omega) \simeq
\Omega^{0.6}$, $\Omega$ is the cosmological density parameter and $H_0$ is the
Hubble constant. Our calculations show that mean $\de$ given $\te$ is a third
order polynomial in $\te$, $\lan \de \ran|_{\te} = a_1 \te + a_2 (\te^2 -
\s_\te^2) + a_3 \te^3$. This result constitutes an extension of the formula
$\lan \de \ran|_{\te} = \te + a_2 (\te^2 - \s_\te^2)$, found by
Bernardeau~(1992) which involved second order perturbative solutions. Third
order perturbative corrections introduce the cubic term. They also, however,
cause the coefficient $a_1$ to depart from unity, in contrast with the linear
theory prediction. We compute the values of the coefficients $a_p$ for
scale-free power spectra, as well as for standard CDM, for Gaussian smoothing.
The coefficients obey a hierarchy $a_3 \ll a_2 \ll a_1$, meaning that the
perturbative series converges very fast. Their dependence on $\Omega$ is
expected to be very weak. The values of the coefficients for CDM spectrum are
in qualitative agreement with the results of N-body simulations by Ganon et al.
(1996). The results provide a method for breaking the $\Omega$-bias degeneracy
in comparisons of cosmic density and velocity fields such as IRAS-POTENT.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 12:40:59 GMT""},{""version"":""v2"",""created"":""Fri, 7 Mar 1997 10:25:22 GMT""}]","2015-06-24"
"astro-ph/9606089","R. H. Sanders","R.H. Sanders (Kapteyn Institute, Groningen, The Netherlands)","The published extended rotation curves of spiral galaxies: Confrontation
  with Modified Dynamics","25 pages + 8 figures (11 postscript files); uses aaspp4.sty; accepted
  for publication in Astrophysical Journal",,"10.1086/178131",,"astro-ph",,"  A sample of 22 spiral galaxy rotation curves, measured in the 21 cm line of
neutral hydrogen, is considered in the context of Milgrom's modified dynamics
(MOND). Combined with the previous highly selected sample of Begeman et al.
(1990), this comprises the current total sample of galaxies with published (or
available) extended rotation curves and photometric observations of the light
distribution. This is the observational basis of present quantitative
understanding of the discrepancy between the visible mass and classical
dynamical mass in galaxies. It is found that the gravitational force calculated
from the observed distribution of luminous material and gas using the simple
MOND formula can account for the overall shape and amplitude of these 22
rotation curves, and in some cases, the predicted curve agrees with the
observed rotation curve in detail. The fitted rotation curves have, in 13
cases, only one free parameter which is the mass-to-light ratio of the luminous
disk; in nine cases, there is an additional free parameter which is M/L of a
central bulge or light concentration. The values of the global M/L (bulge plus
disk) are reasonable and, when the gas mass is also included, show a scatter
which is consistent with that in the Tully-Fisher relation. The success of the
MOND prescription in predicting the rotation curves in this larger, less
stringently selected sample, lends further support to the idea that dynamics or
gravity is non-Newtonian in the limit of low accelerations and that it is
unnecessary to invoke the presence of large quantities of unseen matter.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 12:46:40 GMT""}]","2009-10-28"
"astro-ph/9606091","Gonzalo Parente Bermudez","Gonzalo Parente and Enrique Zas","Neutrino Induced Events in the Pierre Auger Detector","Latex file (9 pages), 3 Postscript figures, uses procsla.sty and
  epsfig.sty. To appear in Proceedings of the High Energy Neutrino Workshop
  (Venice, 1996)",,,"US-FT/28-96","astro-ph hep-ph",,"  We study the potential of the Pierre Auger detector for horizontal air
showers initiated by ultra high energy neutrino. Assuming some simple trigger
requirements we obtain measurable event rates for neutrino fluxes from AGN,
from topological defects and from the interactions of cosmic rays with the
microwave background.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 11:20:26 GMT""}]","2007-05-23"
"chao-dyn/9606005","Arul","Arul Lakshminarayan (PRL, India)","Accuracy of Trace Formulas","20 pages, uuencoded and gzipped, 1 LaTex text file and 9 PS files for
  figures",,"10.1007/BF02845660",,"chao-dyn nlin.CD quant-ph",,"  Using quantum maps we study the accuracy of semiclassical trace formulas. The
role of chaos in improving the semiclassical accuracy, in some systems, is
demonstrated quantitatively. However, our study of the standard map cautions
that this may not be most general. While studying a sawtooth map we demonstrate
the rather remarkable fact that at the level of the time one trace even in the
presence of fixed points on singularities the trace formula may be exact, and
in any case has no logarithmic divergences observed for the quantum bakers map.
As a byproduct we introduce fantastic periodic curves akin to curlicues.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 05:40:11 GMT""}]","2009-10-28"
"cmp-lg/9606017","Gabriele Scheler","Gabriele Scheler (Institut fur Informatik, TU Munchen)","With raised eyebrows or the eyebrows raised ? A Neural Network Approach
  to Grammar Checking for Definiteness","14 pages",,,"FKI-215-96","cmp-lg cs.CL",,"  In this paper, we use a feature model of the semantics of plural determiners
to present an approach to grammar checking for definiteness. Using neural
network techniques, a semantics -- morphological category mapping was learned.
We then applied a textual encoding technique to the 125 occurences of the
relevant category in a 10 000 word narrative text and learned a surface --
semantics mapping. By applying the learned generation function to the newly
generated representations, we achieved a correct category assignment in many
cases (87 %). These results are considerably better than a direct surface
categorization approach (54 %), with a baseline (always guessing the dominant
category) of 60 %. It is discussed, how these results could be used in
multilingual NLP applications.
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 08:41:21 GMT""}]","2008-02-03"
"cmp-lg/9606018","Richard Sproat","Richard Sproat (Bell Laboratories), Michael Riley (AT&T Research)","Compilation of Weighted Finite-State Transducers from Decision Trees",,"34th Annual Meeting of the ACL",,,"cmp-lg cs.CL",,"  We report on a method for compiling decision trees into weighted finite-state
transducers. The key assumptions are that the tree predictions specify how to
rewrite symbols from an input string, and the decision at each tree node is
stateable in terms of regular expressions on the input string. Each leaf node
can then be treated as a separate rule where the left and right contexts are
constructable from the decisions made traversing the tree from the root to the
leaf. These rules are compiled into transducers using the weighted rewrite-rule
rule-compilation algorithm described in (Mohri and Sproat, 1996).
","[{""version"":""v1"",""created"":""Fri, 14 Jun 1996 13:46:40 GMT""}]","2008-02-03"
"cond-mat/9606092","Alberto Rojo","Ji Li, A. G. Rojo and Leonard M. Sander","Anomalous Dimension and Spatial Correlations in a Point-Island Model",,,"10.1103/PhysRevLett.78.1747",,"cond-mat",,"  We examine the island size distribution function and spatial correlation
function of a model for island growth in the submonolayer regime in both 1 and
2 dimensions. In our model the islands do not grow in shape, and a fixed number
of adatoms are added, nucleate, and are trapped at islands as they diffuse.
  We study the cases of various critical island sizes $i$ for nucleation as a
function of initial coverage. We found anomalous scaling of the island size
distribution for large $i$ . Using scaling, random walk theory, a version of
mean-field theory we obtain a closed form for the spatial correlation function.
Our analytic results are verified by Monte Carlo simulations.
","[{""version"":""v1"",""created"":""Thu, 13 Jun 1996 19:04:56 GMT""}]","2009-10-28"
