"adap-org/9606003","Tsuyoshi Hondou","Tsuyoshi Hondou","Self-Annealing Dynamics in a Multistable System","6 pages, Figures available upon request","Prog.Theor.Phys. Vol.95, (1996) 817-822","10.1143/PTP.95.817",,"adap-org nlin.AO",,"  A new type of dynamical behavior of a multistable system is reported. We
found that a simple non-equilibrium system can reduce its effective temperature
autonomously at a global minimum if the residual frustration at a global
minimum is small enough, which highlights an unexpected feature of
non-equilibrium multistable systems.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 02:54:54 GMT""}]","2009-10-28"
"astro-ph/9606149","Guenther Hasinger","G. Hasinger (1), B. Aschenbach (2), J. Tr\""umper(2) ((1)
  Astrophysikalisches Institut Potsdam, (2) Max Planck Institut fuer
  extraterrestrische Physik)","The X-ray lightcurve of SN 1987A","Accepted for A&A (Letters), 4 pages, LaTex text, 4 postscript
  figures, l-aa.sty and psfig.sty files are tar'd, gzip'ed and uuencoded","Astron.Astrophys.312:L9-L12,1996",,,"astro-ph",,"  X-ray observations of SN 1987A in the Magellanic Clouds have been performed
throughout the ROSAT mission, using the PSPC and the HRI detectors. We present
the X-ray light curve based on all observations in the years 1991-1995. For the
first time a significant increase of the X-ray flux from SN 1987A can be seen,
corresponding to X-ray luminosities (0.5-2 keV) of 0.8 - 2.2 X 10**34 erg/s
about 4 - 8 years after the explosion. SN 1987A is surrounded by a ringlike
nebula, which is thought to form the interface between the blue-supergiant wind
and the denser red-supergiant wind of the progenitor. The X-ray data can
constrain the density of the matter inside the ring to about 30 amu/cm**3 and
the date at which the blast wave will reach the ring to about AD 2003, when a
dramatic brightening is expected to occur. Nevertheless, other interpretations
of the X-ray emission are possible.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 16:25:22 GMT""}]","2011-05-23"
"astro-ph/9606150","Peter Hauschildt","Andreas Schweitzer, Peter H. Hauschildt (Arizona State University),
  France Allard (Wichita State University), G. Basri (University of California,
  Berkeley)","Analysis of Keck High Resolution Spectra of VB10","8 pages, latex, MNRAS style, figures not included, full text plus
  figures available at http://brian.la.asu.edu/ or at
  ftp://brian.la.asu.edu/pub/preprints/VB10.ps.gz, submitted to MNRAS",,"10.1093/mnras/283.3.821",,"astro-ph",,"  We use a preliminary version of our ``NextGen'' grid of cool star model
atmospheres to compute synthetic line profiles which fit high resolution Keck
spectra of the cool M~dwarf VB10 satisfactorily well. We show that the
parameters derived from the Keck data are consistent with the parameters
derived from lower resolution spectra with larger wavelength coverage. We
discuss the treatment of van der Waals broadening in cool, molecular (mostly
${\rm H_2}$) dominated stellar atmospheres. The line profiles are dominated by
van der Waals pressure broadening and are a sensitive indicator for the gravity
and metallicity. Therefore, the high-resolution Keck spectra are useful for
determining the parameters of M dwarfs. There is some ambiguity between the
metallicity and gravity. For VB10, we find from the high-resolution spectra
that $ 5.0 < \log(g) < 5.5$ and $0 < \left[\case{{\rm M}}{{\rm H}}\right] <
+0.5$ for an adopted fixed effective temperature of 2700~K (Schweitzer, 1995),
which is consistent with recent interior calculations (Baraffe etal, 1995).
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:34:43 GMT""}]","2015-06-24"
"astro-ph/9606151","Pierre Sikivie","Pierre Sikivie (U. of Florida)","What is the spectrum of cold dark matter particles on Earth?","7 pages, Latex, 4 figures, uuencoded, talk at the DM96 Workshop on
  Sources and Detection of Dark Matter in the Universe, Santa Monica, CA, Feb.
  14-16, 1996","Nucl.Phys.Proc.Suppl. 51B (1996) 183-187","10.1016/S0920-5632(96)00505-1","UFIFT-HEP-96-14","astro-ph",,"  It is argued that the spectrum of cold dark matter particles on Earth has
peaks in velocity space associated with particles falling onto the Galaxy for
the first time and with particles which have fallen in and out of the Galaxy
only a small number of times in the past. Estimates are given for the sizes and
velocity magnitudes of the first few peaks. The estimates are based upon the
secondary infall model of halo formation which has been generalized to include
the effect of angular momentum.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 18:52:55 GMT""}]","2009-10-28"
"astro-ph/9606152","Adam Frank","J. A. Cliffe (U of Minnesota), Adam Frank (Hubble Fellow, U of
  Minnesota),T.W. Jones (U of Minnesota)","Precessing Jets and Molecular Outflows: A 3-D Numerical Study","Accepted by ApJ, 31 pages, using aasms.sty, Also available in
  postscript with figures via a gzipped tar file at
  ftp://s1.msi.umn.edu/pub/afrank/3DJet/3DJet.tar.gz . For information contact
  afrank@msi.umn.edu",,"10.1093/mnras/282.4.1114",,"astro-ph",,"  We present 3-D numerical hydrodynamical simulations of precessing supersonic
heavy jets to explore how well they serve as a model for generating molecular
outflows from Young Stellar Objects. The dynamics are studied with a number of
high resolution simulations on a Cartesian grid (128x128x128 zones) using a
high order finite difference method. A range of cone angles and precession
rates were included in the study. Two higher resolution runs (256x256x256
zones) were made for comparison in order to confirm numerical convergence of
global flow characteristics. Morphological, kinematical and dynamical
characteristics of precessing jets are described and compared to important
properties of straight jets and also to observations of YSOs. In order to
examine the robustness of precessing jets as a mean to produce molecular
outflows around Young Stellar Objects, ``synthetic observations'' of the
momentum distributions of the simulated precessing jets are compared to
observations of molecular outflows. It is found that precessing jets match
better the morphology, highly forward driven momentum and momentum
distributions along the long axis of molecular outflows than do wind-driven or
straight jet-driven flow models.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 19:16:36 GMT""}]","2019-08-15"
"astro-ph/9606153","Steve Zepf","Stephen E. Zepf, Leonidas A. Moustakas, and Marc Davis (UC Berkeley)","Keck Spectroscopy of Objects with Lens-like Morphologies in the Hubble
  Deep Field","To be published in the Astrophysical Journal Letters. 10 pages, 3
  Figures, 2 Plates. AAS LaTex v4.0. Paper+Figures+Plates also available at
  http://astro.berkeley.edu/davisgrp/HDF/ and via anonymous ftp at
  ftp://magicbean.berkeley.edu/pub/HDFLens",,"10.1086/310416",,"astro-ph",,"  We present spectroscopy from the Keck telescope of three sets of objects in
the Hubble Deep Field which have lens-like morphologies. In the case of
J123641+621204, which is composed of four objects with similar colors and a
mean separation of <= 0.8"", we find at least two distinct components at
redshifts of z=3.209 and z=3.220 which are separated by 0.5"" spatially. Each of
these components has narrow Ly-alpha emission, and possibly NV emission and
SiIV and CIV in absorption or with a P-Cygni profile. The second case is
J123652+621227, which has an arc-like feature offset by 1.8"" to the southwest
of a red elliptical-like galaxy, and a ``counterimage'' offset 1.4"" on the
opposite side. We tentatively find a single line at 5301 AA at the spatial
position of the counterimage, and no corresponding emission line at the
position of the arc. The colors of the counterimage are consistent with the
identification of this line as Ly-alpha at z=3.36. The colors of the arc are
different than those of the counterimage, and thus both the colors and spectra
indicate that this object is unlikely to be a gravitational lens. For a third
lensing candidate (J123656+621221), which is a blue arc offset by 0.9"" from a
red, elliptical-like galaxy, our spectroscopy does not clearly resolve the
system spatially, complicating the interpretation of the spectrum. We discuss
possible identifications of features in the spectrum, and find that
gravitational lensing remains a possibility in this case. We conclude that the
frequency of strong gravitational lensing by galaxies in the HDF appears to be
very low. This result is difficult to reconcile with the introduction of a
cosmological constant to account for the large number of faint blue galaxies
via a large volume element at high redshift.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 23:04:35 GMT""},{""version"":""v2"",""created"":""Thu, 24 Oct 1996 06:07:12 GMT""}]","2009-10-28"
"astro-ph/9606154",,"Paul M. Harvey, Beverly J. Smith, James DiFrancesco, Cecilia Colome
  (University of Texas at Austin), and Frank Low (University of Arizona)","Far-Infrared Constraints on Dust Shells Around Vega-like Stars","20 pages, 4 figures",,"10.1086/178024",,"astro-ph",,"  We present results of observations at 47 and 95 microns from the Kuiper
Airborne Observatory of several ``Vega-like'' stars. Spatial cuts and aperture
photometry are presented for Beta Pictoris, Fomalhaut, and HD 135344, 139614,
142527, and 169142, four stars that had been suggested to possibly represent
more distant examples of the Vega phenomenon by Walker and Wolstencroft. We
have modelled the dust around beta Pic and Fomalhaut with a spatially and
optically thin disk to determine the constraints our new observations place on
the properites of the dust disks that are required to explain the infrared and
optical properties of these two stars. For beta Pic we find that models similar
to those proposed by Backman, Gillett, and Witteborn can fit our data quite
well. For Fomalhaut we find that very different models are required which have
much ``blacker'' dust with a much shallower density distribution, surface
density proportional to r^{-0.5}$, than for beta Pic. Our observations of the
four HD stars are consistent with their being spatially unresolved. Because of
their distance, this does not allow us to put any new constraints on their
circumstellar shells.
","[{""version"":""v1"",""created"":""Mon, 24 Jun 1996 23:16:02 GMT""}]","2009-10-28"
"astro-ph/9606155","Suvendra Nath Dutta","Wyn Evans (Theoretical Physics, Oxford)","Comment on Cowsik et al.'s ""The Dispersion Velocity of Galactic Dark
  Matter Particles""","Additional paragraphs rebuff Cowsik et al.'s reply (astro-ph/9608035)
  to the Comment. The physical origin of Cowsik et al.'s high dark matter
  velocity dispersion is elucidated",,,,"astro-ph",,"  In a recent Letter (astro-ph/9605001), Cowsik et al. claim that the best fit
value of the velocity dispersion of the Galactic dark matter is 600 kms. This
result is obtained by a numerical method of solving the coupled
self-gravitation equations, assuming Maxwellian velocity distributions. The
rotation curve presented in their original paper is not the whole story, as it
does not match onto the spherical self-gravitating halo with a Maxwellian
velocity distribution -- as it must. This was pointed out in the original
version of this Comment. In their Reply (astro-ph/9608035), Cowsik et al.
provide a rotation curve that does behave with the correct asymptotics.
Unfortunately, it violates mass estimates of the Local Group by over an order
of magnitude. It is the pressure required to balance the weight of the
overlying layers of this phenomenal mass at large radii that is the physical
origin of Cowsik et al's anomalously high dark matter velocity dispersion.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 01:14:16 GMT""},{""version"":""v2"",""created"":""Fri, 6 Sep 1996 13:04:50 GMT""}]","2008-02-03"
"astro-ph/9606156","Craig J. Copi","Craig J Copi, Keith A. Olive, and David N. Schramm","Implications of a Primordial Origin for the Dispersion in D/H in Quasar
  Absorption Systems","14 pages, 1 figure (LaTeX 2.09 using epsf.sty and rotate.sty)",,,"UMN-TH-1432/96","astro-ph",,"  We consider possible implications if the recent and disconcordant
measurements of D/H in quasar absorption systems are real and indicate a
dispersion in D/H in these primitive systems. In particular we examine the
option that the D/H abundances in these systems, which are separated on
cosmological scales, are primordial, implying a large scale inhomogeneity in
the baryon content of the Universe. We show that such large scale isocurvature
perturbations are excluded by current cosmic microwave background observations.
We also discuss the implications of a smaller (in amplitude) inhomogeneity on
the problem of the baryon density in clusters.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 14:43:14 GMT""}]","2007-05-23"
"astro-ph/9606162","Paul Stein","P. Stein (Universitat de Barcelona)","Structure and kinematics of galaxy clusters II. Substructures and
  luminosity segregation","Accepted for publication in A&A. 7 pages in LaTeX, including 2
  Postscript figures",,,,"astro-ph",,"  A homogeneous sample of galaxy redshifts in the core regions (R < 0.5
h$^{-1}$ Mpc) of 12 clusters is used to measure the frequency of substructure
with different tests. In 50 % of the cases substructure is detected, a
frequency which agrees well with previous studies of cluster cores. Magnitude
information and rough morphological classes are also available for 80 % of the
sample, allowing us to confirm that bright galaxies (M < -22 mag) have a
significantly lower velocity dispersion than the rest. Elliptical galaxies are
the main responsibles for this luminosity segregation in velocity space,
whereas no segregation can be seen for spiral galaxies. Given the coincidence
of substructure and luminosity segregation, a cluster model with an old
population of ellipticals which are under the effect of dynamical friction in
each subcluster is thus favoured by these observations. Spiral galaxies seem to
be late arrivals, or are passing in front or behind the core of the cluster.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 10:47:20 GMT""}]","2007-05-23"
"cmp-lg/9606031","Joerg Spilker","G\""unther G\""orz, Marcus Kesseler, J\""org Spilker, Hans Weber","Research on Architectures for Integrated Speech/Language Systems in
  Verbmobil","6 pages, 2 Postscript figures","accepted for COLING 96",,,"cmp-lg cs.CL",,"  The German joint research project Verbmobil (VM) aims at the development of a
speech to speech translation system. This paper reports on research done in our
group which belongs to Verbmobil's subproject on system architectures (TP15).
Our specific research areas are the construction of parsers for spontaneous
speech, investigations in the parallelization of parsing and to contribute to
the development of a flexible communication architecture with distributed
control.
","[{""version"":""v1"",""created"":""Tue, 25 Jun 1996 15:20:14 GMT""}]","2008-02-03"
