"adap-org/9606004","Kunihiko Kaneko","Kunihiko Kaneko (Univ. of Tokyo,Komaba)","Coupled Maps with Growth and Death: An Approach to Cell Differentiation","LatexText,figures are not included. submitted to PhysicaD
  (1995,revised 1996 May)",,"10.1016/S0167-2789(96)00282-5",,"adap-org nlin.AO q-bio",,"  An extension of coupled maps is given which allows for the growth of the
number of elements, and is inspired by the cell differentiation problem. The
growth of elements is made possible first by clustering the phases, and then by
differentiating roles. The former leads to the time sharing of resources, while
the latter leads to the separation of roles for the growth. The mechanism of
the differentiation of elements is studied. An extension to a model with
several internal phase variables is given, which shows differentiation of
internal states. The relevance of interacting dynamics with internal states
(``intra-inter"" dynamics) to biological problems is discussed with an emphasis
on heterogeneity by clustering, macroscopic robustness by partial
synchronization and recursivity with the selection of initial conditions and
digitalization.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 06:47:12 GMT""}]","2009-10-28"
"adap-org/9606005","Tsuyoshi Hondou","Tsuyoshi Hondou, Mitsuaki Yamamoto, Yasuji Sawada and Yoshihiro
  Hayakawa","Effect of time-correlation of input patterns on the convergence of
  on-line learning","8 pages(Revtex), 5 figures","Phys.Rev.E53 (1996) 4217","10.1103/PhysRevE.53.4217",,"adap-org nlin.AO",,"  We studied the effects of time correlation of subsequent patterns on the
convergence of on-line learning by a feedforward neural network with
backpropagation algorithm. By using chaotic time series as sequences of
correlated patterns, we found that the unexpected scaling of converging time
with learning parameter emerges when time-correlated patterns accelerate
learning process.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 12:33:00 GMT""}]","2009-10-28"
"alg-geom/9606018","Popescu Sorin","David Eisenbud and Sorin Popescu","Gale Duality and Free Resolutions of Ideals of Points","25 pages, plain TeX, author-supplied DVI file available at
  http://www.math.columbia.edu/~psorin/eprints/gale.dvi . This version fixes a
  mathematical error in the end of section 4",,,,"alg-geom math.AC math.AG",,"  What is the shape of the free resolution of the ideal of a general set of
points in P^r? This question is central to the programme of connecting the
geometry of point sets in projective space with the structure of the free
resolutions of their ideals. There is a lower bound for the resolution
computable from the (known) Hilbert function, and it seemed natural to
conjecture that this lower bound would be achieved. This is the ``Minimal
Resolution Conjecture'' (Lorenzini [1987], [1993]). Hirschowitz and Simpson
[1994] showed that the conjecture holds when the number of points is large
compared with r, but three examples (with r = 6,7,8) discovered computationally
by Schreyer in 1993 show that the conjecture fails in general. We describe a
novel structure inside the free resolution of a set of points which accounts
for the observed failures and provides a counterexample in P^r for every r\geq
6, r\neq 9. The geometry behind our construction occurs not in P^r but in a
different projective space, in which there is a related set of points, the
``Gale transform'' (or ``associated set'', in the sense of Coble.)
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 02:58:30 GMT""},{""version"":""v2"",""created"":""Thu, 2 Jan 1997 21:54:51 GMT""}]","2009-09-25"
"astro-ph/9606167","Oxide Owner","F. X. Timmes and Donald D. Clayton","Galactic Evolution of Silicon Isotopes: Application to Presolar SiC
  Grains From Meteorites","Accepted ApJ. 41 pages including 13 figures and 2 tables. uuencoded
  gzipped postscript",,"10.1086/178102",,"astro-ph",,"  We calculate and discuss the chemical evolution of the isotopic silicon
abundances in the interstellar medium at distances and times appropriate to the
birth of the solar system. This has several objectives, some of which are
related to anomalous silicon isotope ratios within presolar grains extracted
from meteorites; namely: (1) What is the relative importance for silicon
isotopic compositions in the bulk ISM of Type II supernovae, Type Ia
supernovae, and AGB stars? (2) Are $^{29}$Si and $^{30}$Si primary or secondary
nucleosynthesis products? (3) In what isotopic direction in a three-isotope
plot do core-collapse supernovae of different mass move the silicon isotopic
composition? (4) Why do present calculations not reproduce the solar ratios for
silicon isotopes, and what does that impose upon studies of anomalous Si
isotopes in meteoritic silicon carbide grains? (5) Are chemical-evolution
features recorded in the anomalous SiC grains? Our answers are formulated on
the basis of the Woosley \& Weaver (1995) supernova yield survey.
Renormalization with the calculated interstellar medium silicon isotopic
composition and solar composition is as an important and recurring concept of
this paper. Possible interpretations of the silicon isotope anomalies measured
in single SiC grains extracted from carbonaceous meteorites are then presented.
The calculations suggest that the temporal evolution of the isotopic silicon
abundances in the interstellar medium may be recorded in these grains.
","[{""version"":""v1"",""created"":""Thu, 27 Jun 1996 16:23:18 GMT""}]","2009-10-28"
"astro-ph/9606168","Michael R. Greason","J. K. Hill (1 and 5), W. H. Waller (1 and 5), R. H. Cornett (1 and 5),
  R. C. Bohlin (2), K.-P. Cheng (7), S. G. Neff (5), R. W. O'Connell (3), M. S.
  Roberts (4), A. M. Smith (5), P. M. N. Hintzen (5 and 6), E. P. Smith (5),
  and T. P. Stecher (5) ((1) Hughes STX; (2) Space Telescope Science Institute;
  (3) University of Virginia; (4) National Radio Astronomy Observatory; (5)
  Laboratory for Astronomy and Solar Physics, NASA Goddard Space Flight Center;
  (6) California State University, Long Beach, CA; (7) California State
  University, Fullerton, CA)","UV Colors and Extinctions of HII Regions in the Whirlpool Galaxy (M51)","21 pages, 6 figures, latex, uses AASMS4 and EPSF",,"10.1086/303753",,"astro-ph",,"  Far-UV (1520 ang.), U, H-alpha, and R images of the interacting Sbc spiral
galaxy M51 were obtained by the Ultraviolet Imaging Telescope (UIT) and at Mt.
Laguna Observatory. The mu(152)-mu(U) radial gradient of >1 mag, becoming bluer
with increasing radius, is attributed primarily to a corresponding radial
extinction gradient. Magnitudes in both UV bands and H-alpha fluxes are
reported for 28 HII regions. Optical extinctions for the 28 corresponding UV
sources are computed from the measured m(152)-U colors by fitting to the
optical extinctions of Nakai and Kuno (1995). The normalized far-UV extinction
A(152)/E(B-V) increases with radius or decreasing metallicity, from 5.99 to
6.54, compared with the Galactic value 8.33. The best-fit m(152)-U color for no
extinction, -3.07, is the color of a model solar metallicity starburst of age
~2.5 Myr with IMF slope -1.0. HII regions show decreasing observed H-alpha
fluxes with decreasing radius, relative to the H-alpha fluxes predicted from
the observed f(152) for age 2.5 Myr, after correction for extinction. We
attribute the increasing fraction of ``missing'' H-alpha flux with decreasing
radius to increasing extinction in the Lyman continuum. Increasing
extinction-corrected far-UV flux of the HII regions with decreasing radius is
probably a result of the corresponding increasing column density of the
interstellar gas resulting in larger mass OB associations. The estimated
dust-absorbed Lyman continuum flux is ~0.6 times the far-infrared energy flux
of M51 observed by IRAS.
","[{""version"":""v1"",""created"":""Thu, 27 Jun 1996 18:46:46 GMT""}]","2009-10-28"
"astro-ph/9606169","Paul Nandra","K. Nandra, I.M. George, R.F. Mushotzky, T.J. Turner, T. Yaqoob (LHEA,
  NASA/GSFC)","ASCA observations of Seyfert 1 galaxies: II. Relativistic Iron K-alpha
  emission","49 pages, 10 figures. LaTeX with encapsulated postscript. To appear
  in the Astrophysical Journal. Also available via
  http://lheawww.gsfc.nasa.gov/~nandra/pubs/paper2/abstract.html","Astrophys.J. 477 (1997) 602","10.1086/303721",,"astro-ph",,"  We present evidence for widespread relativistic effects in the central
regions of active galactic nuclei. In a sample of 18 Seyfert 1 galaxies
observed by \asca, 14 show an iron K$\alpha$ line which is is resolved, with
mean width $\sigma_{\rm K\alpha}=0.43\pm 0.12$~keV for a gaussian profile (Full
Width at Half Maximum, FWHM$\sim 50,000$~km s$^{-1}$). However, many of the
line profiles are asymmetric. A strong red wing is indicative of gravitational
redshifts close to a central black hole and accretion disk models provide an
excellent description of the data. The peak energy of the line is 6.4~keV,
indicating that it arises by fluorescence in near-neutral material. Our fits
imply a low inclination for the disk in these Seyfert 1 galaxies, with a mean
of 30\deg, consistent with orientation-dependent unification schemes.
Differences in the line profiles from source-to-source imply slight variations
in geometry, which cannot be accounted for solely by inclination. In most
cases, we require that the line emission arises from a range of radii. Although
a small contribution to the emission from a region other than the disk is not
ruled out, it is not generally required and has little effect on our
conclusions regarding the disk line. Our data are fit equally well with
rotating (Kerr) and non-rotating (Schwarzschild) black hole models. We find a
mean spectral index in the 3-10 keV range of $<\Gamma_{3-10}>=1.91\pm 0.07$
after accounting for the effects of reflection. Such observations probe the
innermost regions of AGN, and arguably provide the best evidence yet obtained
for the existence of super-massive black holes in the centers of active
galaxies.
","[{""version"":""v1"",""created"":""Thu, 27 Jun 1996 19:32:49 GMT""},{""version"":""v2"",""created"":""Mon, 26 Aug 1996 18:47:23 GMT""}]","2009-10-28"
"astro-ph/9606171","Amos Yahil","Kenneth M. Lanzetta (Stony Brook), Amos Yahil (Stony Brook), and
  Alberto Fernandez-Soto (Cantabria)","Star-forming galaxies at very high redshifts","10 pages, LaTeX type, aaspp4.sty macro provided. Supplementary
  information, including the full catalog, plots of spectra and redshift
  likelihood functions for all the objects, and composite spectra, are
  available at ftp://ftp.ess.sunysb.edu/pub/hdf","Nature381:759-763,1996","10.1038/381759a0",,"astro-ph",,"  Analysis of the deepest available images of the sky, obtained by the Hubble
Space Telescope, reveals a large number of candidate high-redshift galaxies. A
catalogue of 1,683 objects is presented, with estimated redshifts ranging from
$z=0$ to $z>6$. The high-redshift objects are interpreted as regions of star
formation associated with the progenitors of present-day normal galaxies at
epochs reaching to 95\% of the time to the Big Bang.
","[{""version"":""v1"",""created"":""Thu, 27 Jun 1996 20:18:07 GMT""}]","2008-11-26"
"astro-ph/9606172","Yannick Mellier","J. Lequeux(1), B. Fort (1), M. Dantel-Fort Fort (1), J.-C. Cuillandre
  (2), Y. Mellier (1,3) M. Dantel-Fort Fort (1) ((1) Observatoire de Paris
  DEMIRM, (2) UMR 5572 Observatoire Midi-Pyrenees, (3) Institut d'Astrophysique
  de Paris.)","V- and I-band observations of the halo of NGC 5907","Latex, 4 pages, l-aa.sty and psfig.sty, 3 figures. 207K gzipped tar
  file. Accepted in Astronomy & Astrophysics Letters",,,,"astro-ph",,"  Using long exposures taken in the V and I bands with a 4096$\times$4096 pixel
CCD array at the prime focus of the Canada-France-Hawaii telescope, we have
confirmed the discovery by Sackett et al. (1994) of a flat, faint luminous halo
around the edge-on Sc galaxy NGC$\thinspace$5907. This halo is redder than the
disk. Its nature is still an observational challenge. We suggest however that
its color can only be accounted for by stars less massive than 0.8 $M_{\odot}$.
Their total mass in NGC$\thinspace$5907 is very uncertain, but it might
possibly account for the excess dynamical mass in this galaxy. Alternatively
their distribution might trace the dark potential without contributing signifi-
cantly to the mass. We give upper limits to the extinction by an hypothetical
dust in the halo.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 03:55:55 GMT""}]","2019-08-15"
"astro-ph/9606173",,"P. Blasi","High energy gamma rays from old accreting neutron stars","AAS LATEX file; Accepted for publication in The Astrophysical Journal","Astrophys.J. 473 (1996) 985-989","10.1086/178208",,"astro-ph",,"  We consider a magnetized neutron star with accretion from a companion star or
a gas cloud around it, as a possible source of gamma rays with energy between
$100$ $MeV$ and $10^{14}-10^{16}~eV$. The flow of the accreting plasma is
terminated by a shock at the Alfv\'en surface. Such a shock is the site for the
acceleration of particles up to energies of $\sim 10^{15}-10^{17}~eV$; gamma
photons are produced in the inelastic $pp$ collisions between shock-accelerated
particles and accreting matter. The model is applied to old neutron stars both
isolated or in binary systems. The gamma ray flux above $100~MeV$ is not easily
detectable, but we propose that gamma rays with very high energy could be used
by Cherenkov experiments as a possible signature of isolated old neutron stars
in dense clouds in our galaxy.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 08:58:00 GMT""}]","2009-10-28"
"astro-ph/9606174","Giulio Mignola","P. Chardonnet, G. Mignola, P. Salati and R. Taillet","Galactic diffusion and the antiprotron signal of supersymmetric dark
  matter","14 pages, LaTeX, 4 postscript figures appended as uuencoded g-zipped
  tar file","Phys.Lett. B384 (1996) 161-168","10.1016/0370-2693(96)00815-5","CERN-TH/96-114, ENSLAPP-A-550/96","astro-ph",,"  The leaky box model is now ruled out by measurements of a cosmic ray gradient
throughout the galactic disk. It needs to be replaced by a more refined
treatment which takes into account the diffusion of cosmic rays in the magnetic
fields of the Galaxy. We have estimated the flux of antiprotons on the Earth in
the framework of a two-zone diffusion model. Those species are created by the
spallation reactions of high-energy nuclei with the interstellar gas. Another
potential source of antiprotons is the annihilation of supersymmetric particles
in the dark halo that surrounds our Galaxy. In this letter, we investigate both
processes. Special emphasis is given to the antiproton signature of
supersymmetric dark matter. The corresponding signal exceeds the conventional
spallation flux below 300 MeV, a domain that will be thoroughly explored by the
Antimatter Spectrometer experiment. The propagation of the antiprotons produced
in the remote regions of the halo back to the Earth plays a crucial role.
Depending on the energy, the leaky box estimates are wrong by a factor varying
from 0.5 up to 3.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 08:04:21 GMT""}]","2009-10-28"
"astro-ph/9606175","Stephen R. Platt","S. R. Platt (1,2), J. Kovac (3), M. Dragovan (2,3), J. B. Peterson
  (4), and J. E. Ruhl (5) ((1) Yerkes Observatory, University of Chicago, (2)
  Dept. of Astronomy and Astrophysics, University of Chicago, (3) Enrico Fermi
  Institute, University of Chicago, (4) Dept. of Physics and Astronomy,
  Carnegie-Mellon University, (5) Dept. of Physics, University of California,
  Santa Barbara)","Anisotropy in the Microwave Sky at 90 GHz: Results From Python III","16 pages, postscript, 2 figures",,"10.1086/310453",,"astro-ph",,"  The third year of observations with the Python microwave background
experiment densely sample a $5.5^o\times 22^o$ region of sky that includes the
fields measured during the first two years of observations with this
instrument. The sky is sampled in two multipole bands centered at $l \approx
92$ and $l \approx 177$. These two data sets are analyzed to place limits on
fluctuations in the microwave sky at 90 GHz. Interpreting the observed
fluctuations as anisotropy in the cosmic microwave background we find flat band
power estimates of $\delta T_l\equiv \sqrt{l(l+1)C_l/2\pi }% =54_{-12}^{+14}\mu
K$ at $l=92_{-24}^{+37}$ and $\delta T_l=58_{-13}^{+15}\mu K$ at
$l=177_{-58}^{+66}$. Combining the entire three year set of Python
observations, we find that the angular power spectrum of fluctuations has a
spectral index $m=.02_{-.16}^{+.18}$ and an amplitude $% \delta
T_{l_e}=53_{-11}^{+13}\mu K$ at $l_e=145_{-74}^{+59}$ for the functional form
$\delta T_l=\delta T_{l_e}(l/l_e)^m$. The stated uncertainties in the
amplitudes and spectral index represent 1$\sigma $ confidence intervals in the
likelihood added in quadrature with a 20\% calibration uncertainty and an
estimate of the effects introduced due to imperfect overlap of the beams on the
sky. The limits of $l$ are determined from the full width at half maximum of
the window functions.
","[{""version"":""v1"",""created"":""Fri, 28 Jun 1996 15:42:39 GMT""}]","2009-10-28"
