"alg-geom/9606019","Misha Verbitsky","Dmitry Kaledin, Misha Verbitsky","Non-Hermitian Yang-Mills connections","48 pages, LaTeX 2e","Selecta Math. 4 (1998) 279-320",,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We study Yang-Mills connections on holomorphic bundles over complex K\""ahler
manifolds of arbitrary dimension, in the spirit of Hitchin's and Simpson's
study of flat connections. The space of non-Hermitian Yang-Mills (NHYM)
connections has dimension twice the space of Hermitian Yang-Mills connections,
and is locally isomorphic to the complexification of the space of Hermitian
Yang-Mills connections (which is, by Uhlenbeck and Yau, the same as the space
of stable bundles). Further, we study the NHYM connections over hyperk\""ahler
manifolds. We construct direct and inverse twistor transform from NHYM bundles
on a hyperk\""ahler manifold to holomorphic bundles over its twistor space. We
study the stability and the modular properties of holomorphic bundles over
twistor spaces, and prove that work of Li and Yau, giving the notion of
stability for bundles over non-K\""ahler manifolds, can be applied to the
twistors. We identify locally the following two spaces: the space of stable
holomorphic bundles on a twistor space of a hyperk\""ahler manifold and the
space of rational curves in the twistor space of the ``Mukai dual''
hyperk\""ahler manifold.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 00:01:13 GMT""}]","2008-02-03"
"astro-ph/9606182","Gerald Quinlan","Gerald D. Quinlan","The time-scale for core collapse in spherical star clusters","includes 10 postscript figs, uses psfig.sty (not included); submitted
  to New Astronomy",,"10.1016/S1384-1076(96)00018-8","Rutgers Astrophysics Preprint Series No. 192","astro-ph",,"  The collapse time for a cluster of equal-mass stars is usually stated to be
either 330 central relaxation times ($\trc$) or 12--19 half-mass relaxation
times ($\trh$). But the first of these times applies only to the late stages of
core collapse, and the second only to low-concentration clusters. To clarify
how the time depends on the mass distribution, the Fokker-Planck equation is
solved for the evolution of a variety of isotropic cluster models, including
King models, models with power-law density cusps of $\rho\sim r^{-\gamma}$, and
models with nuclei. High-concentration King models collapse faster than
low-concentration models if the time is measured in units of $\trh$, but slower
if it is measured in units of $\trc$. Models with cusps evolve faster than King
models, but not all of them collapse: those with $0<\gamma<2$ expand because
they start with a temperature inversion. Models with nuclei collapse or expand
as the nuclei would in isolation if their central relaxation times are short;
otherwise their evolution is more complicated. Suggestions are made for how the
results can be applied to globular clusters, galaxies, and hypothetical
clusters of dark stars in the centers of galaxies.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 18:43:34 GMT""}]","2009-10-28"
"astro-ph/9607001","Tomasz Plewa","R. Cid-Fernandes (UFSC), T. Plewa (MPA), M. Rozyczka (Warsaw
  University Observatory and N. Copernicus Astronomical Centre), J. Franco
  (UNAM), R. Terlevich (RGO), G. Tenorio-Tagle (IAC), W. Miller (UNAM)","On the evolution of ejecta fragments in compact supernova remnants","13 pages, latex (mn.sty, epsf.sty), 3 Postscript and 2 xwd figures
  (not included); accepted for publication in MNRAS. A complete version with
  figures (self-unpacking uuencoded archive) is available at
  http://www.mpa-garching.mpg.de/Hydro/AMR/papers/frag.uu",,"10.1093/mnras/283.2.419","MPA Preprint 897","astro-ph",,"  We examine the evolution of inhomogeneities (fragments) of supernova ejecta
in compact supernova remnants by means of hydrodynamical modeling and
simplified analytical calculations. Under the influence of intense post-shock
cooling the fragments become strongly compressed as they traverse the hot
shocked region between the reverse and outer shocks of the remnant. We find
that the most likely outcome of the interaction of fragments with the reverse
shock and the hot shocked region is their disruption resulting in generation of
secondary fragments. Secondary fragments arriving at the thin and dense outer
shell of the remnant give rise to brief X-ray flashes. Under suitable
conditions the primary fragments may traverse the hot shocked region without
being completely destroyed, to eventually reach the outer shell as dense,
elongated structures. Collisions of such fragments with the shell are likely to
give rise to powerful X-ray flares.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:26:32 GMT""}]","2015-06-24"
"chao-dyn/9606015","prof. Victor Lvov","Victor L'vov and Itamar Procaccia (Department of Chemical Physics, The
  Weizmann Institute of Science, Rehovot, Israel)","Hydrodynamic Turbulence: a 19th Century Problem with a challenge for the
  21st Century","8 pages, REVTeX, Physics World, 1996. In press. Online (html) version
  of this paper available at http://lvov.weizmann.ac.il/physword/physword.html",,"10.1007/BFb0105026",,"chao-dyn nlin.CD",,"  This is a paper written for the wider physics community, not necessarily
experts in turbulence.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 08:36:35 GMT""}]","2009-10-28"
"chao-dyn/9606016","Freddy Christiansen","Freddy Christiansen, Predrag Cvitanovic' and Vakhtang Putkaradze
  (CATS, Niels Bohr Institute, Copenhagen, Denmark)","Hopf's last hope: spatiotemporal chaos in terms of unstable recurrent
  patterns","Latex, ioplppt.sty and iopl10.sty, 18 pages, 11 PS-figures,
  compressed and encoded with uufiles, 170 kB",,"10.1088/0951-7715/10/1/004",,"chao-dyn nlin.CD",,"  Spatiotemporally chaotic dynamics of a Kuramoto-Sivashinsky system is
described by means of an infinite hierarchy of its unstable spatiotemporally
periodic solutions. An intrinsic parametrization of the corresponding invariant
set serves as accurate guide to the high-dimensional dynamics, and the periodic
orbit theory yields several global averages characterizing the chaotic
dynamics.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 13:56:20 GMT""}]","2009-10-28"
"cmp-lg/9607001","Fernando Sanchez Leon","Flora Ram\'irez Bustamante (Universidad Carlos III de Madrid),
  Fernando S\'anchez Le\'on (Universidad Aut\'onoma de Madrid)","GramCheck: A Grammar and Style Checker","7 pages, LaTeX format, uses colap.sty Published: To appear in
  Proceedings of COLING-96",,,,"cmp-lg cs.CL",,"  This paper presents a grammar and style checker demonstrator for Spanish and
Greek native writers developed within the project GramCheck. Besides a brief
grammar error typology for Spanish, a linguistically motivated approach to
detection and diagnosis is presented, based on the generalized use of PROLOG
extensions to highly typed unification-based grammars. The demonstrator,
currently including full coverage for agreement errors and certain
head-argument relation issues, also provides correction by means of an
analysis-transfer-synthesis cycle. Finally, future extensions to the current
system are discussed.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 14:43:32 GMT""}]","2016-08-15"
"cmp-lg/9607002","Christer Samuelsson","Christer Samuelsson, Pasi Tapanainen and Atro Voutilainen","Inducing Constraint Grammars","10 pages, uuencoded, gzipped PostScript","ICGI-3",,,"cmp-lg cs.CL",,"  Constraint Grammar rules are induced from corpora. A simple scheme based on
local information, i.e., on lexical biases and next-neighbour contexts,
extended through the use of barriers, reached 87.3 percent precision (1.12
tags/word) at 98.2 percent recall. The results compare favourably with other
methods that are used for similar tasks although they are by no means as good
as the results achieved using the original hand-written rules developed over
several years time.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 15:37:48 GMT""}]","2008-02-03"
"cond-mat/9606222","Cabo Montes Da Oca Alejandro Genaro","Aurora Perez Martinez, Alejandro Cabo and Valia Guerra","On the Collective Mode Spectrum for Composite Fermions at 1/3 Filling
  Factor","17 pages, one figure. Submitted to Int. Jour. Mod. Phys. B",,"10.1142/S0217979297000915","ICTP Preprint IC/95/285","cond-mat",,"  The collective mode spectrum of the composite fermion state 1/3 filling
factor is evaluated. At zero momentum, the result coincides with the cyclotron
energy at the external magnetic field value, and not at the effective magnetic
field, in spite of the fact that only the former enters in the equations, thus,
the Kohn theorem is satisfied. Unexpectedly, in place of a magneto roton
minimum, the collective mode gets a treshold indicating the instability of the
mean field composite fermion state under the formation of crystalline
structures. However, the question about if if this outcome only appears within
the mean field approximation should be further considered.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 19:47:47 GMT""}]","2015-06-25"
"cond-mat/9606223","S. N. Coppersmith","S. N. Coppersmith, T. C. Jones, L. P. Kadanoff, A. Levine, J. P.
  McCarten, S. R. Nagel, S. C. Venkataramani, Xinlei Wu","Self-Organized Short-Term Memories","Significantly revised version with additional authors, accepted by
  PRL. 13 pages, 4 figures. Postscript version with higher resolution figures
  available at ftp://haber.uchicago.edu/pub/memories.ps",,"10.1103/PhysRevLett.78.3983",,"cond-mat adap-org nlin.AO nlin.PS patt-sol",,"  We report short-term memory formation in a nonlinear dynamical system with
many degrees of freedom. The system ``remembers'' a sequence of impulses for a
transient period, but it coarsens and eventually ``forgets'' nearly all of
them. The memory duration increases as the number of degrees of freedom in the
system increases. We demonstrate the existence of these transient memories in a
laboratory experiment.
","[{""version"":""v1"",""created"":""Sun, 30 Jun 1996 19:56:29 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jul 1996 12:08:44 GMT""},{""version"":""v3"",""created"":""Fri, 25 Apr 1997 13:38:47 GMT""}]","2009-10-28"
"cond-mat/9606224","Antonio M. Cadilhe","Antonio M.R. Cadilhe, M. Lawrence Glasser and Vladimir Privman","Exact Solutions of Low-Dimensional Reaction-Diffusion Systems","6 pages LaTeX file, to appear in the IJMPB","Int. J. Modern Phys. B 11, 109-114 (1997)","10.1142/S0217979297000137",,"cond-mat",,"  We briefly review some common diffusion-limited reactions with emphasis on
results for two-species reactions with anisotropic hopping. Our review also
covers single-species reactions. The scope is that of providing reference and
general discussion rather than details of methods and results. Recent exact
results for a two-species model with anisotropic hopping and with `sticky'
interaction of like particles, obtained by a novel method which allows exact
solution of certain single-species and two-species reactions, are discussed.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 02:43:55 GMT""}]","2010-10-12"
"cond-mat/9607001","Nigel Cooper","N.R. Cooper, B.I. Halperin and I.M. Ruzin","Thermoelectric Response of an Interacting Two-Dimensional Electron Gas
  in Quantizing Magnetic Field","18 pages, 2 postscript figures included. Revtex with epsf.tex and
  multicol.sty. In the revised version, the comparison with experimental
  observations at $\nu=1/2, 3/2$ is extended to include the possibility of
  corrections due to weak impurity scattering. The conclusions that we reach
  regarding the applicability of the composite fermion model at these filling
  fractions are not affected","Phys. Rev. B 55, 2344 (1997)","10.1103/PhysRevB.55.2344",,"cond-mat",,"  We present a discussion of the linear thermoelectric response of an
interacting electron gas in a quantizing magnetic field. Boundary currents can
carry a significant fraction of the net current passing through the system. We
derive general expressions for the bulk and boundary components of the number
and energy currents. We show that the local current density may be described in
terms of ``transport'' and ``internal magnetization'' contributions. The latter
carry no net current and are not observable in standard transport experiments.
We show that although Onsager relations cannot be applied to the local current,
they are valid for the transport currents and hence for the currents observed
in standard transport experiments. We relate three of the four thermoelectric
response coefficients of a disorder-free interacting two-dimensional electron
gas to equilibrium thermodynamic quantities. In particular, we show that the
diffusion thermopower is proportional to the entropy per particle, and we
compare this result with recent experimental observations.
","[{""version"":""v1"",""created"":""Mon, 1 Jul 1996 06:15:09 GMT""},{""version"":""v2"",""created"":""Sat, 17 Aug 1996 18:34:09 GMT""}]","2009-10-28"
