"astro-ph/9607055","Sun Hong Rhie","S.H.Rhie, D.P.Bennett","Search for Earth-Mass Planets and Dark Matter, Too","5 pages, submitted to the Proceedings of the Second International
  Symposium on Sources and Detection of Dark Matter in the Universe","Nucl.Phys.Proc.Suppl. 51B (1996) 86-90","10.1016/S0920-5632(96)00487-2",,"astro-ph",,"  Gravitational microlensing is known for baryoninc dark matter searches. Here
we show that microlensing also provides a unique tool for the detection of low
mass planets (such as earths and neptunes) from the ground. A planetary system
forms a binary lens (or, a multi-point lens), and we can determine the mass
ratio of the planet with respect to the star and relative distance ($=$
separation/Einstein ring radius) between the star and planet. Such a
microlenisng planet search project requires a $\approx 2$ m survey telescope,
and a network of $1.5-2$ m follow-up telescopes capable of monitoring stars in
the Bulge on a 24-hour basis. During the off-season of the Galactic bulge, this
network can be used for dark matter search by monitoring the stars in the LMC
and SMC.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 00:07:44 GMT""}]","2009-10-28"
"astro-ph/9607058","Sally Laurent-Muehleisen","S. A. Laurent-Muehleisen (Penn State), R. I. Kollgaard (Penn State),
  P. J. Ryan (Penn State), E. D. Feigelson (Penn State), W. Brinkmann (MPIfEP)
  and J. Siebert (MPIfEP)","Radio-loud active galaxies in the northern ROSAT All-Sky Survey. I.
  Radio identifications","13 pages, 8 figures, 3 postscript tables, uses l-aa and psfig style
  files, Accepted for publication Astronomy & Astrophysics Supplement Series,
  full tables available from ftp://ftp.astro.psu.edu/pub/edf/ rgb_tab2.html and
  rgb_tab3.html",,"10.1051/aas:1997331",,"astro-ph",,"  We present 5 GHz high resolution VLA observations of 2,127 radio- and
X-ray-emitting sources found in both the Green Bank (GB) 5 GHz radio catalog
and the ROSAT All-Sky Survey (RASS). We report core flux densities and
positions accurate to +/-0.5"". Combined with the GB measuremens of the total
radio emission, we derive the core-to-lobe ratio of objects in our sample and
discuss their core-dominance relative to samples of radio galaxies and BL
Lacertae objects. Our results show the ROSAT/GreenBank (RGB) sample is
approximately an order of magnitude more core-dominated than the radio galaxy
sample, but is more than an order of magnitude less core-dominated than highly
beamed BL Lacertae object samples. Using simple beaming models, this indicates
the typical object in the RGB catalog exhibits beamed radio emission and is
oriented at a modest angle to the line-of-sight (theta ~ 25-30 degrees). The
case of the origin of the X-ray emission is not as clear; the data are
consistent with either an anisotropic unbeamed or moderately beamed X-ray
component.
","[{""version"":""v1"",""created"":""Thu, 11 Jul 1996 16:35:19 GMT""}]","2009-10-28"
"astro-ph/9607059","Eli Waxman","Eli Waxman and Jordi Miralda-Escude (IAS, Princeton)","Images of Bursting Sources of High-Energy Cosmic Rays. I: Effects of
  Magnetic Fields","Submitted to the ApJL; 10 pages AASTeX, including 2 PostScript
  figures","Astrophys.J.472:L89-L92,1996","10.1086/310367",,"astro-ph",,"  It has recently been shown that the highest energy cosmic rays (CRs) may
originate in the same cosmological objects producing $\gamma$-ray bursts. This
model requires the presence of intergalactic magnetic fields (IGMF) to delay
the arrival times of $\sim 10^{20}$ eV CRs by 50 years or longer relative to
the $\gamma$-rays, of an amplitude that is consistent with other observational
constraints. Sources of CRs coming from individual bursts should be resolved
with the planned ``Auger'' experiment, with as many as hundreds of CRs for the
brightest sources. We analyze here the apparent angular and energy distribution
of CRs from bright sources below the pion production threshold (in the energy
range $10^{19}{\rm eV} < E < 4\times10^{19}{\rm eV}$) expected in this model.
This observable distribution depends on the structure of the IGMF: the apparent
spectral width $\Delta E$ is small, $\Delta E/E\lesssim1\%$, if the
intergalactic field correlation length $\lambda$ is much larger than $1{\rm
Mpc}$, and large, $\Delta E/E=0.3$, in the opposite limit $\lambda\ll 1{\rm
Mpc}$. The apparent angular size is also larger for smaller $\lambda$. If the
sources of CRs we predict are found, they will corroborate the bursting model
and they will provide us with a technique to investigate the structure of the
IGMF.
","[{""version"":""v1"",""created"":""Thu, 11 Jul 1996 18:19:03 GMT""}]","2009-10-28"
"astro-ph/9607060","Emory Bunn","Emory F. Bunn (U.C. Berkeley), Martin White (Fermilab)","The Four-Year COBE Normalization and Large-Scale Structure","LaTeX, 22 pages. Uses aaspp4.sty. 18 PostScript figures included.
  Final version, accepted to the Astrophysical Journal. Numerous small changse
  have been made, but all the main results are unchanged","Astrophys.J.480:6-21,1997","10.1086/303955",,"astro-ph",,"  We present an analysis of the four-year data from the COBE DMR experiment. We
use a Karhunen-Loeve expansion of the pixel data to calculate the normalization
and goodness-of-fit of a range of models of structure formation. This technique
produces unbiased normalization estimates and is capable of determining the
normalization of any particular model with a statistical uncertainty of 7%. We
present a parameterization of the normalization and likelihood function which
summarizes our results for a wide range of models. We use the COBE
normalization to compute small-scale fluctuation amplitudes for a variety of
models and discuss the implications of these results for theories of
large-scale structure.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 03:57:47 GMT""},{""version"":""v2"",""created"":""Sun, 10 Nov 1996 03:42:59 GMT""}]","2008-11-26"
"astro-ph/9607061","Joel Primack","Joel Primack (University of California Santa Cruz) and Anatoly Klypin
  (New Mexico State University)","Dark Matter and Cosmology: CDM with a Cosmological Constant
  ($\Lambda$CDM) vs. CDM with Hot Dark Matter (CHDM)","9 pages, postscript only, includes 3 figures, to be published in
  Proceedings of the International Conference on Sources and Detection of Dark
  Matter in the Universe, UCLA, February 1996, D. Cline and D. Sanders,
  editors, Nucl. Phys. B Proc. Suppl., in press","Nucl.Phys.Proc.Suppl. 51B (1996) 30-38","10.1016/S0920-5632(96)00479-3",,"astro-ph",,"  Here we discuss what are perhaps the two most popular variants of CDM that
might agree with the data: \lcdm\ and CHDM. While the predictions of
COBE-normalized \lcdm\ and CHDM both agree well with the available data on
scales of $\sim 10$ to $100 \hMpc$, each has potential virtues and defects.
\lcdm\ with $\Omega_0 \sim 0.3$ has the possible virtue of allowing a higher
expansion rate $H_0$ for a given cosmic age $t_0$, but the defect of predicting
too much fluctuation power on small scales. CHDM has less power on small
scales, so its predictions appear to be in good agreement with data on the
galaxy distribution, but it remains to be seen whether it predicts early enough
galaxy formation to be compatible with the latest high-redshift data. Also, two
very recent observational results favor high cosmic density, and thus favor
$\Omega=1$ models such as CHDM over \lcdm\ --- (1) the positive deceleration
parameter $q_0>0$ measured using high-redshift Type Ia supernovae, and (2) the
low primordial deuterium/hydrogen ratio measured in two different quasar
absorption spectra. We try to identify ``best'' variants of both \lcdm\ and
CHDM, and discuss critical observational tests for both models.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 01:43:26 GMT""}]","2009-10-28"
"astro-ph/9607062","Robert Brandenberger","V. Zanchin, J.A.S. Lima and R. Brandenberger (Brown Univ.)","Accretion of Cold and Hot Dark Matter onto Cosmic String Filaments","24 pages, 5 Postscript figures, uses LATEX and psfig","Phys.Rev.D54:7129-7137,1996","10.1103/PhysRevD.54.7129","BROWN-HET-1049","astro-ph hep-ph",,"  The Zeldovich approximation is applied to study the accretion of hot and cold
dark matter onto moving long strings. It is assumed that such defects carry a
substantial amount of small-scale structure, thereby acting gravitationally as
a Newtonian line source whose effects dominate the velocity perturbations.
Analytical expressions for the turn-around surfaces are derived and the mass
inside of these surfaces is calculated. Estimates are given for the redshift
dependence of $\Omega_{nl}$, the fraction of mass in nonlinear objects.
Depending on parameters, it is possible to obtain $\Omega_{nl} = 1$ at the
present time. Even with hot dark matter, the first nonlinear filamentary
structures form at a redshift close to 100, and there is sufficient nonlinear
mass to explain the observed abundance of high redshift quasars and damped
Lyman alpha systems. These results imply that moving strings with small-scale
structure are the most efficient seeds to produce massive nonlinear objects in
the cosmic string model.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 06:42:58 GMT""}]","2009-12-30"
"astro-ph/9607063","Doris Neumann","Doris M. Neumann, Hans Boehringer (MPE)","X-ray properties of the distant cluster Cl0016+16","11 pages, submitted to MNRAS",,"10.1093/mnras/289.1.123","MPE Preprint 369","astro-ph",,"  We present X-ray data on the distant cluster Cl0016+16 (z=0.5545) from ROSAT
PSPC and HRI observations and use them to study the physics of the intracluster
medium (ICM) and the dynamical state of the cluster. The surface brightness
distribution is not only described by a spherically symmetric model but also by
a two-dimensional $\beta $-model fit. Subtracting an elliptical model cluster
as defined by the best fit parameters of the two-dimensional model we find
significant residuals, indicating an additional, extended X-ray source within
the cluster. This source, likely to be a merging subcomponent of the cluster,
coincides with a peak in the weak lensing mass map of Smail et. al. (1995). In
the course of this analysis we present a new approach to quantify the
significance of substructure in cluster X-ray images dominated by Poisson noise
and smoothed with a Gauss filter. We determine the radial mass profile
integrated out to a radius of 3Mpc and find for the total mass of the cluster a
value of $\sim 1.4-3.3 \times 10^{15}$ \msun and $\sim 4.5 \times 10^{14}$
\msun for the gas mass, yielding a gas-to-total mass ratio of 14-32\%. There is
no significant radial dependence of the gas-to-total mass ratio in the cluster.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 09:43:03 GMT""}]","2015-06-24"
"astro-ph/9607064","Sabine Schindler","Sabine Schindler, Joachim Wambsganss","ROSAT/HRI study of the optically rich, lensing cluster CL0500-24","7 pages, including 5 figures, submitted to A&A",,,"MPE Preprint 370","astro-ph",,"  An analysis of a ROSAT/HRI observation of the optically rich, gravitationally
lensing galaxy cluster CL0500-24 (or Abell S0506) is presented. We show that
the X-ray luminosity of this supposedly rich cluster is relatively low at
$1.1^{+0.2}_{-0.1}\times10^{44}$ erg/s in the ROSAT band, the bolometric X-ray
luminosity is $2.0^{+1.5}_{-0.7}\times 10^{44}$ erg/s. The X-ray emission is
strongly correlated with the northern subconcentration of the cluster galaxies
at redshift $z = 0.327$. The derived total mass of the (sub-)cluster within 1
Mpc is $(1.5\pm 0.8) \times 10^{14}$M$_\odot$, with an upper limit to the gas
mass of about $0.5\times 10^{14}$M$_\odot$, corresponding to a gas mass
fraction of $\le 30^{+30}_{-10}$\%. The X-ray luminosity and the morphology of
the extended X-ray emission supports the view that CL0500-24 consists of two
clusters at a velocity difference of $\Delta v \approx 3200$ km/s that happen
to lie along the line of sight.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 11:40:28 GMT""}]","2007-05-23"
"cmp-lg/9607014","Barbara DiEugenio","Keith Vander Linden (University of Brighton), Barbara Di Eugenio
  (Carnegie Mellon University)","A Corpus Study of Negative Imperatives in Natural Language Instructions","6 pages, uses colap.sty and acl.bst","Proceedings of COLING 96 (Copenhagen)",,,"cmp-lg cs.CL",,"  In this paper, we define the notion of a preventative expression and discuss
a corpus study of such expressions in instructional text. We discuss our coding
schema, which takes into account both form and function features, and present
measures of inter-coder reliability for those features. We then discuss the
correlations that exist between the function and the form features.
","[{""version"":""v1"",""created"":""Fri, 12 Jul 1996 11:09:21 GMT""}]","2008-02-03"
"cond-mat/9607079","Alvaro Martin Rodero","A. Martin-Rodero, A. Levy Yeyati, F.J. Garcia-Vidal and J.C. Cuevas","Noise in a Superconducting Quantum Point Contact","Revtex, 1 page, no figures ; Submitted to Phys. Rev. Lett",,,,"cond-mat",,"  This manuscript contains a Comment on ""Supercurrent Noise in Quantum Point
Contacts"" by D. Averin and H.T. Iman, Phys. Rev. Lett. 76, 3814 (1996)
[cond-mat/9511128].
","[{""version"":""v1"",""created"":""Thu, 11 Jul 1996 16:11:41 GMT""}]","2007-05-23"
