"adap-org/9607001","Moshe Levi","M. Levy and S. Solomon (http://shum.huji.ac.il/~sorin/)","Power Laws are Logarithmic Boltzmann Laws","latex, 9 pages with 3 figures",,"10.1142/S0129183196000491",,"adap-org cond-mat hep-lat nlin.AO",,"  Multiplicative random processes in (not necessaryly equilibrium or steady
state) stochastic systems with many degrees of freedom lead to Boltzmann
distributions when the dynamics is expressed in terms of the logarithm of the
normalized elementary variables. In terms of the original variables this gives
a power-law distribution. This mechanism implies certain relations between the
constraints of the system, the power of the distribution and the dispersion law
of the fluctuations. These predictions are validated by Monte Carlo simulations
and experimental data. We speculate that stochastic multiplicative dynamics
might be the natural origin for the emergence of criticality and scale
hierarchies without fine-tuning.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 11:17:12 GMT""}]","2009-10-28"
"alg-geom/9607013","Fukuma Yoshiaki","Yoshiaki Fukuma","A lower bound for $K_{X}L$ of quasi-polarized surfaces $(X,L)$ with
  non-negative Kodaira dimension","AMS-TeX v2.1, 29pages",,,,"alg-geom math.AG",,"  Let $X$ be a smooth projective surface over the complex number field and let
$L$ be a nef-big divisor on $X$. Here we consider the following conjecture; If
the Kodaira dimension $\kappa(X)\geq 0$, then $K_{X}L\geq 2q(X)-4$, where
$q(X)$ is the irregularity of $X$. In this paper, we prove that this conjecture
is true if (1) the case in which $\kappa(X)=0$ or 1, (2) the case in which
$\kappa(X)=2$ and $h^{0}(L)\geq 2$, or (3) the case in which $\kappa(X)=2$, $X$
is minimal, $h^{0}(L)=1$, and $L$ satisfies some conditions.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 02:36:59 GMT""}]","2008-02-03"
"astro-ph/9607072","Tsvi Piran","Tsvi Piran and Anupam Singh","Spherical Harmonic Expansion of Gamma Ray Burst Distributions: Probing
  Large Scale Structure?","22 pages, File is also available at ftp://shemesh.fiz.huji.ac.il or
  at http://shemesh.fiz.huji.ac.il/papers/ps.uu",,"10.1086/304259",,"astro-ph",,"  We have laid down the formalism and techniques necessary for computing the
multipole components in a spherical harmonic expansion for bursting sources
given any specific power spectrum of density perturbations. Using this
formalism we have explicitly computed and tabulated the expected first few
multipole components for the GRB distribution using a Cold Dark Matter power
spectrum. Unfortunately, our analysis leads us to expect that an anisotropy
signal for this model of structure formation will be below the shot noise level
for the foreseeable future. Earlier studies by others had claimed that it may
be possible within a decade or so to probe structure formation using the
angular distribution of GRBs. We find that while it may be possible to probe
the dipole due to our motion with respect to the cosmic rest-frame, it does not
seem feasible to probe the multipole components due to intrinsic fluctuations
if the actual power spectrum is fixed to within an order of magnitude by the
Cold Dark Matter model of structure formation.
","[{""version"":""v1"",""created"":""Sun, 14 Jul 1996 19:34:51 GMT""}]","2009-10-28"
"astro-ph/9607073","Vladan Celebonovic","V.Celebonovic (Institute of Physics,Zemun-Beograd,Yugoslavia)","The composition of Io - a late confirmation","Plain TeX.The author can be contacted at celebonovic@exp.phy.bg.ac.yu",,,,"astro-ph",,"  Nine years ago,working within the framework of theoretical dense matter
physics,the present author has determined the chemical composition of the
Galileian satellites of Jupiter.A few months ago,in the flyby of the GA- LILEO
spaceprobe,some of the theoretical predictions were confirmed.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 10:18:06 GMT""}]","2007-05-23"
"astro-ph/9607074",,"R. A. V\'azquez (INFN, sez. di Roma and U. della Bassilicata, Italy)","An Analytical Approach to Fluctuations in Showers","18 pages Latex file and 3 PS figures. Uses Revtex and epsfig.sty
  Accepted for publication in Astroparticle Physics",,"10.1016/S0927-6505(97)00009-1",,"astro-ph",,"  We review the problem of fluctuations in particle shower theory. By using a
generalization of Furry equation, we find relations between the $n$--particle
correlation function and the number of particles average or 1--particle
correlation function. Such relations show that the average is the only
independent dynamical variable. We also develop a numerical code to solve the
equation for the correlation functions and compare the results with those from
a Montecarlo simulation which show a perfect agreement between both methods.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 10:15:26 GMT""}]","2009-10-28"
"astro-ph/9607075","Paolo Goldoni","P.Goldoni (IFCTR-MI), C.Musso(IFCTR-MI)","Isolated neutron stars, their $\gamma$-ray efficiencies and EGRET
  observations","4 pages, uuencoded tarred gzipped TeX and postscript files, A&AS in
  press",,,,"astro-ph",,"  We examine a sample of detected and undetected Isolated Neutron Stars (INSs),
selected on the basis of their energy loss and distance, in order to maximize
their detection probability. Since the sample we consider encompasses more
upper limits than detections, we make use, for the first time in this field of
astronomy, of survival analysis procedures through the ASURV software package
(Feigelson \& Nelson 1985, Isobe et al. 1986). We show that these techniques
lead to a better understanding of the physical processes at work in high-energy
emission from INSs. In particular, the recent detection of PSR 1951+32 and
upper limits from pulsars pointed but not detected by EGRET show that the
$\gamma $-ray efficiency of ISN is not correlated to any simple pulsar
parameter.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 15:27:23 GMT""}]","2007-05-23"
"chao-dyn/9607008","Christoph Uhlig","C. Uhlig, J. Eggers (Fachbereich Physik, Universitaet Essen)","Classical Kolmogorov scaling is inconsistent with local coupling","41 pages(REVTeX), 15 included encapsulated Postscript figures,
  Stylefile here.sty, submitted to Phys. Fluids",,,,"chao-dyn nlin.CD",,"  We consider cascade models of turbulence which are obtained by restricting
the Navier-Stokes equation to local interactions. By combining the results of
the method of extended self-similarity and a novel subgrid model, we
investigate the inertial range fluctuations of the cascade. Significant
corrections to the classical scaling exponents are found. The dynamics of our
local Navier-Stokes models is described accurately by a simple set of Langevin
equations proposed earlier as a model of turbulence [Phys. Rev. E {\bf 50}, 285
(1994)]. This allows for a prediction of the intermittency exponents without
adjustable parameters. Excellent agreement with numerical simulations is found.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 14:23:25 GMT""}]","2008-02-03"
"cmp-lg/9607018","Sabine Lehmann","Sabine Lehmann (ISSCO, University of Geneva), Stephan Oepen (DFKI,
  Saarbruecken), Sylvie Regnier-Prost (Aerospatiale, Suresnes), Klaus Netter
  (DFKI), Veronika Lux (Aerospatiale), Judith Klein (DFKI), Kirsten Falkedal
  (GMS, Berlin), Frederik Fouvry (University of Essex), Dominique Estival
  (University of Melbourne), Eva Dauphin (Aerospatiale), Herve Compagnion
  (ISSCO), Judith Baur (DFKI), Judith Baur (DFKI), Lorna Balkan (University of
  Essex), Doug Arnold (University of Essex)","TSNLP - Test Suites for Natural Language Processing","7 pages, uses colap.sty and oe.sty. tar gzip uuencode. To appear in
  Proceedings of COLING-96",,,,"cmp-lg cs.CL",,"  The TSNLP project has investigated various aspects of the construction,
maintenance and application of systematic test suites as diagnostic and
evaluation tools for NLP applications. The paper summarizes the motivation and
main results of the project: besides the solid methodological foundation, TSNLP
has produced substantial multi-purpose and multi-user test suites for three
European languages together with a set of specialized tools that facilitate the
construction, extension, maintenance, retrieval, and customization of the test
data. As TSNLP results, including the data and technology, are made publicly
available, the project presents a valuable linguistic resourc e that has the
potential of providing a wide-spread pre-standard diagnostic and evaluation
tool for both developers and users of NLP applications.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 10:28:12 GMT""}]","2008-02-03"
"cmp-lg/9607019","Pierrette Bouillon","Pierrette Bouillon (ISSCO, University of Geneva)","Mental State Adjectives: the Perspective of Generative Lexicon","6 pages, uses colap.sty. tar gzip uuencode. To appear in Proceedings
  of COLING-96",,,,"cmp-lg cs.CL",,"  This paper focusses on mental state adjectives and offers a unified analysis
in the theory of Generative Lexicon (Pustejovsky, 1991, 1995). We show that,
instead of enumerating the various syntactic constructions they enter into,
with the different senses which arise, it is possible to give them a rich typed
semantic representation which will explain both their semantic and syntactic
polymorphism.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 14:19:41 GMT""}]","2008-02-03"
"cond-mat/9607095","Chagarn B. Whan","C. B. Whan and T. P. Orlando (MIT)","Transport properties of a quantum dot with superconducting leads","11 pages, 3 PostScript figures. To appear in Phys. Rev. B (Rapid
  Comm.)","Phys. Rev. B 54, 5255 (1996).","10.1103/PhysRevB.54.R5255",,"cond-mat supr-con",,"  We report a numerical study of transport properties of a quantum dot with
superconducting leads. We introduce a general phenomenological model of quantum
dot transport, in which electron tunnel rates are computed within the Fermi's
Golden Rule approach. The low temperature current-voltage (I-V) characteristics
are in qualitative agreement with experimental observations of Ralph et al.
[Phys. Rev. Lett., 74, 3241 (1995)]. At higher temperatures, our results reveal
new effects due to the thermal excitation of quasiparticles in the leads as
well as the thermal population of excited quantum levels in the dot. We also
study the photon-assisted tunneling phenomena in our system and point out its
potential for millimeter wave applications.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 02:02:22 GMT""}]","2009-10-28"
"cond-mat/9607100","Chagarn B. Whan","C. B. Whan, J. White, and T. P. Orlando (MIT)","Full capacitance matrix of coupled quantum dot arrays: static and
  dynamical effects","8 pages preprint format, 3 PostScript figures","Appl. Phys. Lett. 68, 2996 (1996)","10.1063/1.116675",,"cond-mat",,"  We numerically calculated the full capacitance matrices for both
one-dimensional (1D) and two-dimensional (2D) quantum-dot arrays. We found it
is necessary to use the full capacitance matrix in modeling coupled quantum dot
arrays due to weaker screening in these systems in comparison with arrays of
normal metal tunnel junctions. The static soliton potential distributions in
both 1D and 2D arrays are well approximated by the unscreened (1/r) coulomb
potential, instead of the exponential fall-off expected from the often used
nearest neighbor approximation. The Coulomb potential approximation also
provides a simple expression for the full inverse capacitance matrix of uniform
quantum dot arrays. In terms of dynamics, we compare the current-voltage (I-V)
characteristics of voltage biased 1D arrays using either the full capacitance
matrix or its nearest neighbor approximation. The I-V curves show clear
differences and the differences become more pronounced when larger arrays are
considered.
","[{""version"":""v1"",""created"":""Mon, 15 Jul 1996 00:58:11 GMT""}]","2009-10-28"
