"alg-geom/9607014",,"Eriko Hironaka","Torsion Points on an Algebraic Subset of an Affine Torus","LaTeX, 25 pages, 4 figures. email: eko@math.toronto.edu",,,,"alg-geom math.AG",,"  Work of Laurent and Sarnak, following a conjecture of Lang, shows that the
number of torsion points of order n on an algebraic subset of an affine complex
torus is polynomial periodic. In this paper, we find bounds on the degree and
period of this number as a function of n. Some examples, including the number
of n torsion points on Fermat curves, are computed to illustrate the methods.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 23:33:34 GMT""}]","2008-02-03"
"alg-geom/9607015","Teleman","Christian Okonek, Alexander Schmitt and Andrei Teleman","Master Spaces for stable pairs","26 pages. New introduction and applications LaTeX2e",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We construct master spaces for oriented torsion free sheaves coupled with
morphisms into a fixed reference sheaf. These spaces are projective varieties
endowed with a natural $\C^*$-action. The fixed point set of this action
contains the moduli space of semistable oriented torsion free sheaves and the
quot scheme associated with the given data.
  In the case of curves with trivial reference sheaf, our master spaces
compactify the moduli spaces constructed by Bertram, Daskalopoulos and
Wentworth. In the 2-dimensional case with trivial rank 1 reference sheaf,
master spaces provide algebraic analoga of compactified moduli spaces of
twisted quaternionic monopoles.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:10:39 GMT""},{""version"":""v2"",""created"":""Fri, 17 Jan 1997 11:20:20 GMT""}]","2008-02-03"
"astro-ph/9607079","Patrick L. Nolan","P. L. Nolan (Stanford University) and the EGRET team","EGRET Observations of Pulsars","5 pages, 4 eps figures, A&A style macro, based on Joe Fierro's PhD
  dissertation, to be published in the proceedings of the Third Compton
  Symposium (Munich)","Astron.Astrophys.Suppl.Ser.120:61-64,1996",,,"astro-ph",,"  EGRET can now study six pulsars since the recent detection of PSR B1951+32.
Careful analysis of the three brightest pulsars shows that gamma rays are
emitted through essentially the entire rotation. This calls into question the
previous interpretation of the Crab's low-level emission as due entirely to its
nebula. The pulse light curves have either well-separated double peaks or very
broad peaks which might be resolved into multiple components. The spectra are
consistent with power laws over a large portion of the EGRET energy range, and
many show a dropoff at a few GeV.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 18:51:19 GMT""}]","2011-04-15"
"astro-ph/9607080","Deborah Becker Haarsma","Deborah B. Haarsma (MIT), Jacqueline N. Hewitt (MIT), Joseph Leh\'ar
  (CfA), and Bernard F. Burke (MIT)","The 6 cm Light Curves of B0957+561, 1979-1994: New Features and
  Implications for the Time Delay","To appear in The Astrophysical Journal, April 10, 1997. Changes in
  discussion section and Table 1. 37 pages, including 15 postscript figures.
  Also available at http://space.mit.edu/RADIO/papers.html",,"10.1086/303860",,"astro-ph",,"  We report on 15 years of VLA monitoring of the gravitational lens B0957+561
at 6 cm. Since our last report in 1992, there have been 32 additional
observations, in which both images have returned to their quiescent flux
density levels and the A image has brightened again. We estimate the time delay
from the light curves using three different techniques: the chi-squared
analysis of Press, Rybicki, & Hewitt (1992a,b), the dispersion analysis of Pelt
et al. (1994, 1996), and the locally normalized discrete correlation function
of Leh\'ar et al. (1992). Confidence intervals for these time delay estimates
are found using Monte Carlo techniques. With the addition of the new
observations, it has become obvious that five observations from Spring 1990 are
not consistent with the statistical properties of the rest of the light curves,
so we analyze the light curves with those points removed, as well as the
complete light curves. The three statistical techniques applied to the two
versions of the data set result in time delay values in the range 398 to 461
days (or 1.09 to 1.26 years, A leading B), each with ~5% formal uncertainty.
The corresponding flux ratios (B/A) are in the range 0.698 to 0.704. Thus, the
new features in the light curve show that the time delay is less than 500 days,
in contrast with analysis of earlier versions of the radio light curves. The
large range in the time delay estimates is primarily due to unfortunate
coincidences of observing gaps with flux variations.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 23:13:41 GMT""},{""version"":""v2"",""created"":""Tue, 26 Nov 1996 16:55:25 GMT""}]","2009-10-28"
"astro-ph/9607082","Frank P. Pijpers","Frank P. Pijpers (TAC, Aarhus, Denmark)","The determination of time lags using SOLA","13 pages, including figures, uses epsf.tex and mn.tex submitted to
  MNRAS",,,"TAC 1996-015","astro-ph",,"  A common problem in astronomy is the determination of the time shift between
two otherwise identical time series of measured flux from a variable source, in
short the determination of a time lag. Two examples of where this problem
occurs are in the determination of the Hubble constant from multiple images of
gravitationally lensed variable quasars and also in the determination of
distances to OH/IR stars. It is shown here that this problem can be seen as a
restricted inversion problem. It therefore can be solved using the subtractive
optimally localized averages (SOLA) method for inversion which has been
described elsewhere (Pijpers & Thompson 1992, 1994 ; Pijpers & Wanders 1994).
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 13:10:34 GMT""}]","2007-05-23"
"chao-dyn/9607009","Dmitry Yu. Wolchenkov","Wolchenkov Dmitriy (Department of Theoretical Physics, State
  University of St. Petersburg)","Turbulent behaviour in magnetic hydrodynamics is not universal","12 pages, LaTeX",,,"SPbU-IP-96-17","chao-dyn nlin.CD",,"  A short distance expansion method (SDE) that is well known in the quantum
field theory for analysis of turbulent behaviour of stochastic magnetic
hydrodynamics of incompressible conductive fluid is applied. As a result is
shown that in an inertial range the turbulent spectra of magnetic hydrodynamics
depend on a scale of arising of curls.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 19:42:13 GMT""}]","2016-08-31"
"comp-gas/9607002","Keir E. Novik","Peter V. Coveney and Keir E. Novik","Computer simulations of domain growth and phase separation in
  two-dimensional binary immiscible fluids using dissipative particle dynamics","RevTeX; 22 pages, 5 low-resolution figures. For full-resolution
  figures, connect to http://www.tcm.phy.cam.ac.uk/~ken21/tension/tension.html",,"10.1103/PhysRevE.54.5134",,"comp-gas nlin.CG",,"  We investigate the dynamical behavior of binary fluid systems in two
dimensions using dissipative particle dynamics. We find that following a
symmetric quench the domain size R(t) grows with time t according to two
distinct algebraic laws R(t) = t^n: at early times n = 1/2, while for later
times n = 2/3. Following an asymmetric quench we observe only n = 1/2, and if
momentum conservation is violated we see n = 1/3 at early times. Bubble
simulations confirm the existence of a finite surface tension and the validity
of Laplace's law. Our results are compared with similar simulations which have
been performed previously using molecular dynamics, lattice-gas and
lattice-Boltzmann automata, and Langevin dynamics. We conclude that dissipative
particle dynamics is a promising method for simulating fluid properties in such
systems.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 17:11:43 GMT""}]","2009-10-28"
"cond-mat/9607116","Vladimir Kostur","Vladimir N. Kostur and Philip B. Allen","Polaron and bipolaron formation in a cubic perovskite lattice","REVTeX, 8 pages, 7 figures",,"10.1103/PhysRevB.56.3105","S.U.N.Y. -- Stony Brook preprint","cond-mat",,"  The Rice-Sneddon model for BaBiO$_3$ is a nice model Hamiltonian for
considering the properties of polarons and bipolarons in a three-dimensional
oxide crystal. We use exact diagonalization methods on finite samples to study
the stability and properties of polarons and bipolarons. Because polarons, when
they form, turn out to be very well-localized, we are able to converge
accurately our calculations for two-electron bipolaron wavefunctions,
accounting for the Coulomb interaction without approximation. Some of our
results are compared with and interpreted by reference to the variational
method of Landau and Pekar. We calculate both electronic and vibrational
excitations of the small polaron solutions, finding a single vibrational state
localized with the full symmetry of the polaron, which has its energy
significantly increased. Both on-site (Hubbard) and long-range Coulomb
repulsion are included in the bipolaron calculation, but due to the high degree
of localization, the long-range part has only a small influence. For a
reasonable on-site repulsion $U$ equal to 2 times the band width $W$, bipolaron
formation is significantly suppressed; there is a large window of
electron-phonon coupling where the polaron is stable but the bipolaron decays
into two polarons.
","[{""version"":""v1"",""created"":""Tue, 16 Jul 1996 16:59:09 GMT""}]","2009-10-28"
"cond-mat/9607118","Timur Misirpashaev","T. Sh. Misirpashaev, J. C. J. Paasschens, C. W. J. Beenakker","Localization in a Disordered Multi-Mode Waveguide with Absorption or
  Amplification","13 pages, RevTeX, 1 postscript figure","Physica A 236, 189-201 (1997)","10.1016/S0378-4371(96)00387-1",,"cond-mat",,"  An analytical and numerical study is presented of transmission of radiation
through a multi-mode waveguide containing a random medium with a complex
dielectric constant $\epsilon= \epsilon'+i\epsilon''$. Depending on the sign of
$\epsilon''$, the medium is absorbing or amplifying. The transmitted intensity
decays exponentially $\propto\exp(-L/\xi)$ as the waveguide length
$L\to\infty$, regardless of the sign of $\epsilon''$. The localization length
$\xi$ is computed as a function of the mean free path $l$, the absorption or
amplification length $|\sigma|^{-1}$, and the number of modes in the waveguide
$N$. The method used is an extension of the Fokker-Planck approach of Dorokhov,
Mello, Pereyra, and Kumar to non-unitary scattering matrices. Asymptotically
exact results are obtained for $N\gg1$ and $|\sigma|\gg1/N^2l$. An approximate
interpolation formula for all $\sigma$ agrees reasonably well with numerical
simulations.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 06:59:29 GMT""}]","2007-05-23"
"cond-mat/9607119","Timur Misirpashaev","T. Sh. Misirpashaev, C. W. J. Beenakker","Reflectance Fluctuations in an Absorbing Random Waveguide","7 pages, RevTeX, 2 postscript figures","Pis'ma ZhETF 64, 289-293 (1996) [JETP Lett. 64, 319-324 (1996)]","10.1134/1.567190",,"cond-mat",,"  We study the statistics of the reflectance (the ratio of reflected and
incident intensities) of an $N$-mode disordered waveguide with weak absorption
$\gamma$ per mean free path. Two distinct regimes are identified. The regime
$\gamma N^2\gg1$ shows universal fluctuations.
  With increasing length $L$ of the waveguide, the variance of the reflectance
changes from the value $2/15 N^2$, characteristic for universal conductance
fluctuations in disordered wires, to another value $1/8 N^2$, characteristic
for chaotic cavities. The weak-localization correction to the average
reflectance performs a similar crossover from the value $1/3 N$ to $1/4 N$. In
the regime $\gamma N^2\ll1$, the large-$L$ distribution of the reflectance $R$
becomes very wide and asymmetric, $P(R)\propto (1-R)^{-2}$ for $R\ll 1-\gamma
N$.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 07:14:50 GMT""}]","2007-05-23"
"cond-mat/9607120","Marc Potters","Alain Arneodo (1), Jean-Philippe Bouchaud (2,3), Rama Cont (3,5),
  Jean-Francois Muzy (1), Marc Potters (3) and Didier Sornette (3,4,5). ((1)
  Centre de Recherche Paul Pascal (2) CEA Saclay (3) Science & Finance (4) UCLA
  (5) Universite de Nice)","Comment on ``Turbulent cascades in foreign exchange markets''","LaTeX, 4 pages + 2 postscript figures, submitted to Nature",,,,"cond-mat",,"  Recently, Ghashghaie et al. have shown that some statistical aspects of fully
developed turbulence and exchange rate fluctuations exhibit striking
similarities (Nature 381, 767 (1996)). The authors then suggested that the two
problems might be deeply connected, and speculated on the existence of an
`information cascade' which would play the role in finance of the well known
Kolmogorov energy cascade in turbulence. Here we want to convince the reader
that the two problems differ on a fundamental aspect, namely, correlations.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 09:36:57 GMT""}]","2007-05-23"
"cond-mat/9607121","IV Lerner","Edward McCann and Igor V. Lerner","Mesoscopic conductance fluctuations in dirty quantum dots with single
  channel leads","14 pages in the ReVTeX preprint format, including 5 postscript
  figures; to be published in J.Phys.:Cond.Mat., 1996","J. Phys. Cond. Matt. 8 (1996) 6719","10.1088/0953-8984/8/36/022",,"cond-mat",,"  We consider a distribution of conductance fluctuations in quantum dots with
single channel leads and continuous level spectra and we demonstrate that it
has a distinctly non-Gaussian shape and strong dependence on time-reversal
symmetry, in contrast to an almost Gaussian distribution of conductances in a
disordered metallic sample connected to a reservoir by broad multi-channel
leads. In the absence of time-reversal symmetry, our results obtained within
the diagrammatic approach coincide with those derived within non-perturbative
techniques. In addition, we show that the distribution has lognormal tails for
weak disorder, similar to the case of broad leads, and that it becomes almost
lognormal as the amount of disorder is increased towards the Anderson
transition.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 12:22:32 GMT""}]","2009-10-28"
"cond-mat/9607122","Ming-Wei Wu","M.W. Wu, H.L. Cui, W. Sun, and S.Y. Wu","Onsager Relations and Hydrodynamic Balance Equations in 2D Quantum Wells","11 pages, RevTex, 4 postscript figures are avaliable upon request","Phys. Lett. A 223, 204 (1996)","10.1016/S0375-9601(96)00726-8",,"cond-mat",,"  In this letter we clarify the role of heat flux in the hydrodynamic balance
equations in 2D quantum wells, facilitating the formulation of an Onsager
relation within the framework of this theory. We find that the Onsager relation
is satisfied within the framework of the 2D hydrodynamic balance equation
transport theory at sufficiently high density. The condition of high density is
consonant with the requirement of strong electron-electron interactions for the
validity of our balance equation formulation.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 13:40:43 GMT""}]","2009-10-28"
"cond-mat/9607123","Samuel Moukouri","S. Moukouri and L.G. Caron (Universit\'e de Sherbrooke, QC, Canada )","Fermi Surface of The One-dimensional Kondo Lattice Model","11 pages, 6 figures",,"10.1103/PhysRevB.54.12212","CRPS-96","cond-mat",,"  We show a strong indication of the existence of a large Fermi surface in the
one-dimensional Kondo lattice model. The characteristic wave vector of the
model is found to be $k_F=(1+\rho )\pi /2$, $\rho $ being the density of the
conduction electrons. This result is at first obtained for a variant of the
model that includes an antiferromagnetic Heisenberg interaction $J_H$ between
the local moments. It is then directly observed in the conventional Kondo
lattice $(J_H=0)$, in the narrow range of Kondo couplings where the long
distance properties of the model are numerically accessible.
","[{""version"":""v1"",""created"":""Wed, 17 Jul 1996 15:03:54 GMT""}]","2009-10-28"
