"alg-geom/9607023","Stefan Mueller-Stach","Pedro Luis del Angel and Stefan M\""uller-Stach","Motives of uniruled 3-folds","Latex with amsfonts, 12 pages",,,,"alg-geom math.AG",,"  We construct projectors in the ring of correspondences of a complex uniruled
3-fold $X$ which lift the Kuenneth components of the diagonal in singular
cohomology and have other properties which were conjectured by J. Murre. Such
Murre decompositions have been already obtained for curves, surfaces, abelian
varieties and varieties with cell decompositions by the work of Manin,
Shermenev, Beauville, Murre et.al.. In particular they define a natural
filtration on the Chow groups of $X$ which was conjectured by Bloch and
Beilinson. To do this we use Mori theory and construct projectors in the
situation of a fiber space over a surface. These projectors may also be used in
more general situations.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 12:39:46 GMT""}]","2014-10-24"
"astro-ph/9607103","Lawrence M. Krauss","Lawrence M. Krauss (Case Western Reserve University)","Old Galaxies at High Redshift and the Cosmological Constant","latex, 10 pages, including two embedded postscript figures","Astrophys.J.480:466-469,1997","10.1086/304009","CWRU-P13-96","astro-ph",,"  In a recent striking discovery, Dunlop {\bf \it et al} observed a galaxy at
redshift z=1.55 with an estimated age of 3.5 Gyr. This is incompatible with age
estimates for a flat matter dominated universe unless the Hubble constant is
less than $ 45 kms^{-1}Mpc^{-1}$. While both an open universe, and a universe
with a cosmological constant alleviate this problem, I argue here that this
result favors a non-zero cosmological constant, especially when considered in
light of other cosmological constraints. In the first place, for the favored
range of matter densities, this constraint is more stringent than the globular
cluster age constraint, which already favors a non-zero cosmological constant.
Moreover, the age-redshift relation for redshifts of order unity implies that
the ratio between the age associated with redshift 1.55 and the present age is
also generally larger for a cosmological constant dominated universe than for
an open universe. In addition, structure formation is generally suppressed in
low density cosmologies, arguing against early galaxy formation. The additional
constraints imposed by the new observation on the parameter space of $h$ vs
$\Omega_{matter}$ (where $H= 100 h kms^{-1}Mpc^{-1}$) are derived for both
cosmologies. For a cosmological constant dominated universe this constraint is
consistent with the range allowed by other cosmological constraints, which also
favor a non-zero value.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 04:36:28 GMT""}]","2011-02-11"
"astro-ph/9607104","Heinz Andernach","H. Andernach, S.A. Trushkin, A.G. Gubanov, O.V. Verkhodanov, V.B.
  Titov and A. Micol","Preparing a public database of radio sources","3 pages, TeX, paper presented on IAU Colloq. on ""International
  Cooperation in Dissemination of Astronomical Data"" July 3-5, 1996,
  St.-Petersburg, Russia; to appear in Baltic Astronomy",,,,"astro-ph",,"  We have collected the largest existing set of radio source lists in
machine-readable form: 320 tables with 1.75 million records. Only a minor
fraction of these is accessible via public databases. We describe our plans to
make this huge amount of heterogeneous data accessible in a homogeneous way via
the World Wide Web, with reliable cross-identifications, and searchable by
various observables.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 16:06:41 GMT""}]","2007-05-23"
"astro-ph/9607105","Heinz Andernach","A.G. Gubanov and H. Andernach","WWW Access to radio measurements of clusters of galaxies","3 pages, TeX, paper presented on IAU Colloq. on ""International
  Cooperation in Dissemination of Astronomical Data"" July 3-5, 1996,
  St.-Petersburg, Russia; to appear in Baltic Astronomy",,,,"astro-ph",,"  Radio measurements of rich Abell clusters of galaxies have been collected
both from radio source catalogues and dedicated publications. By gathering
these data for every cluster, complemented by optical data, an overall picture
of each cluster may be obtained and samples may be drawn suitable for
statistical studies.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 16:07:20 GMT""}]","2007-05-23"
"astro-ph/9607106",,"Sean Scully, Michel Cass\'e, Keith A. Olive, and Elisabeth
  Vangioni-Flam","The Effects of an Early Galactic Wind on the Evolution of D, \he3 and Z","31 pages, latex, 15 ps figures, revised version, as acceped for
  publication by ApJ, all figures have been revised, qualitatively conclusions
  are unchanged",,"10.1086/303665","UMN-TH-1502/96","astro-ph",,"  The predictions of the abundances of D and \he3 from Big Bang Nucleosynthesis
(BBN) and recent observations of these two isotopes suggest the need to develop
new chemical evolution models. In particular, we examine the role of an early
episode of massive star formation that would induce a strong destruction of D
and a galactic wind. We discuss the ability of these models to match the
observed local properties of the solar neighborhood such as the gas mass
fraction, oxygen abundance, the age-metallicity relation, and the present-day
mass function (PDMF). We also examine in detail the ability of the chemical
evolution models discussed to reproduce the apparent lack of low mass, low
metallicity stars in the solar neighborhood, namely the G-dwarf distribution.
Indeed, we find models which satisfy the above constraints while at the same
time allowing for a large primordial D/H ratio as is reportedly measured in
some quasar absorption systems at high $z$, without the overproduction of heavy
elements. The latter constraint is achieved by employing a simple dynamical
model for a galactic wind.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 18:53:54 GMT""},{""version"":""v2"",""created"":""Wed, 28 Aug 1996 19:45:06 GMT""}]","2016-08-15"
"astro-ph/9607107","Stephen S. Eikenberry","S.S. Eikenberry, G.G. Fazio, S.M. Ransom","An SSPM-Based High-Speed Near-Infrared Photometer for Astronomy","20 pages, 8 figures",,"10.1086/133816",,"astro-ph",,"  We describe the design, operation, and performance of a new high-speed
infrared photometer using the Solid-State Photomultiplier (SSPM) detector. The
SSPM was developed by Rockwell International Science Center and has
single-photon counting capability over the 0.4-28 micron wavelength range,
intrinsic time response of order 1 ns, and low detector noise (Petroff, 1987).
We have operated a 200x200-micron back-illuminated SSPM in a liquid-helium
cooled dewar with a room-temperature transimpedance amplifier output. Single
photon pulses can be easily distinguished above the amplifier noise. The
individual photon pulses are binned at a selectable time resolution ranging
from $5 \mu$s to 64 ms, and then written to Exabyte tape. In the first
astronomical application of such a device, we have made observations of the
Crab Nebula pulsar and Her X-1 at near-infrared wavelengths (J-, H-, and
K-bands), and we present the instrument sensitivities established by these
observations. We discuss other astronomical observations which are either
planned or currently underway. Finally, we present design specifications and
predicted performances for a second-generation SSPM high-speed infrared
photometer.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 18:59:45 GMT""}]","2009-10-28"
"astro-ph/9607108","Stephen S. Eikenberry","S.S. Eikenberry, G.G. Fazio, S.M. Ransom, J. Middleditch, J. Kristian,
  C.R. Pennypacker","Infrared to Ultraviolet Wavelength-Dependent Variations Within the Pulse
  Profile Peaks of the Crab Nebula Pulsar","12 pages, 4 figures",,"10.1086/310206",,"astro-ph",,"  We present evidence of wavelength-dependent variations within the infrared,
optical, and ultraviolet pulse profile peaks of the Crab Nebula pulsar. The
leading and trailing edge half-width half-maxima of the peaks display clear
differences in their wavelength dependences. In addition, phase-resolved
infrared-to-ultraviolet color spectra show significant variations from the
leading to trailing edges of the peaks. The color variations between the
leading and trailing edges remain significant over phase differences smaller
than 0.0054, corresponding to timescales of $<180 \mu$s. These results are not
predicted by any current models of the pulsar emission mechanism and offer new
challenges for the development of such models.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 19:15:50 GMT""}]","2009-10-28"
"astro-ph/9607109","Neil G. Turok","Neil Turok","A Causal Source which Mimics Inflation","4 pages, RevTex, 3 figures","Phys.Rev.Lett. 77 (1996) 4138-4141","10.1103/PhysRevLett.77.4138","DAMTP preprint 96-69","astro-ph",,"  How unique are the inflationary predictions for the cosmic microwave
anisotropy pattern? In this paper, it is asked whether an arbitrary causal
source for perturbations in the standard hot big bang could effectively mimic
the predictions of the simplest inflationary models. A surprisingly simple
example of a `scaling' causal source is found to closely reproduce the
inflationary predictions. This letter extends the work of a previous paper
(ref. 6) to a full computation of the anisotropy pattern, including the Sachs
Wolfe integral. I speculate on the possible physics behind such a source.
","[{""version"":""v1"",""created"":""Mon, 22 Jul 1996 21:44:40 GMT""}]","2009-10-28"
"astro-ph/9607110","Michiel Berger","M. Berger, M. van der Klis, J. van Paradijs, W.H.G. Lewin, F. Lamb, B.
  Vaughan, E. Kuulkers, T. Augusteijn, W. Zhang, F.E. Marshall, J.H. Swank, I.
  Lapidus, J.C. Lochner, T.E. Strohmayer","Discovery of 800 Hz QPO in 4U1608-52",,,,,"astro-ph",,"  We present results of RXTE observations of the low-mass X-ray binary and
atoll source 4U 1608$-$52 made over 9 days during the decline of an X-ray
intensity outburst in March 1996. A fast-timing analysis shows a strong and
narrow quasi periodic oscillation (QPO) peak at frequencies between 850 and 890
Hz on March 3 and 6, and a broad peak around 690 Hz on March 9. Observations on
March 12 show no significant signal. On March 3, the X-ray spectrum of the QPO
is quite hard; its strength increases steadily from 5 \% at $\sim$2 to $\sim$20
\% at $\sim$12~keV. The QPO frequency varies between 850 and 890 Hz on that
day, and the peak widens and its rms decreases with centroid frequency in a way
very similar to the well-known horizontal branch oscillations (HBO) in
Z-sources. We apply the HBO beat frequency model to atoll sources, and suggest
that, whereas the model could produce QPOs at the observed frequencies, the
lack of correlation we observe between QPO properties and X-ray count rate is
hard to reconcile with this model.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 08:25:06 GMT""}]","2007-05-23"
"astro-ph/9607111","Alain Smette","Patrick Petitjean, Bertrand Theodore, Alain Smette, Yannick Lespine","A damped Ly-alpha candidate at z~0.1 toward Q 0439-433","LaTeX format, l-aa style file, use psfig.sty, 4 pages, 10 PostScript
  figures included; accepted for publication in Astronomy and Astrophysics,
  Letter to the Editor (Corrected mistake in the title as it appears in the
  database; no change to the paper)",,,,"astro-ph",,"  We report on the detection of a z_gal=0.101 galaxy projected on the sky at
4.2 arcsec (or 5.2 h^{-1} kpc for q_o=0.5) from the quasar Q 0439-433
(z_em=0.594). The HST spectrum of the quasar shows strong MgII, FeII, SiII,
AlII and CIV absorption lines at the same redshift as the galaxy. The
equivalent width ratios of the low ionization lines indicate that this system
is probably damped with a neutral hydrogen column density of
N_HI~10^{20}cm^{-2}. The CIV doublet presents a complex structure, and in
particular a satellite with a velocity v=1100km/s relative to the galaxy.
Additional HST and redshifted 21cm observations of this QSO-galaxy pair would
offer an ideal opportunity to study the morphology of a damped absorber and the
kinematics of the halo of a low-redshift galaxy.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 09:54:20 GMT""},{""version"":""v2"",""created"":""Wed, 24 Jul 1996 17:53:07 GMT""}]","2008-02-03"
"astro-ph/9607112","Rene Mendez","R. A. Mendez (1), D. Minniti (2), G. de Marchi (1), A. Baker (1,3) and
  W. J. Couch (1,4) ((1) European Southern Observatory (2) Lawrence Livermore
  National Laboratory (3) Institute of Astronomy, Cambridge (4) University of
  New South Wales, Sydney)","Starcounts in the Hubble Deep Field: Constraining Galactic Structure
  Models","Tex type, 7 pages, 3 postscript figures. Accepted for publication in
  Monthly Notices of the Royal Astronomical Society. A few typos corrected.
  Updated references. Note Added in Proof (including one table), containing a
  detailed photometric comparison (for point-like sources) between our results
  and those from other investigations of the HDF.",,"10.1093/mnras/283.2.666",,"astro-ph",,"  Stellar sources are identified in the Hubble Deep Field, and accurate colours
and magnitudes are presented. The predictions of a Galactic starcounts model
are compared with the faint stellar counts in this field. The model reproduces
the observations very well in the magnitude range 21.0 < V < 26.4, while it
overpredicts the counts by a factor of four in the range 26.4 < V < 30.0. The
luminosity function for halo objects must be a factor of two smaller than that
predicted by an extrapolation of the solar-neighborhood luminosity function for
disc stars (with 95% confidence level). This result, seen before in deep Hubble
Space Telescope images of globular clusters, is therefore confirmed for the
halo field population. The possible nature of a group of faint-blue objects is
also investigated, concluding that they are most likely non-stellar. The
possibility that they are QSOs is ruled out. If we insist upon their stellar
nature, they would be halo white dwarfs, with either a very steep halo white
dwarf luminosity function for Mv > +11.0, or a stellar density 0.4 times that
of the disc white dwarfs in the solar-neighborhood.
","[{""version"":""v1"",""created"":""Tue, 23 Jul 1996 11:11:34 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 1996 13:04:15 GMT""}]","2015-06-24"
