"adap-org/9608001","Oleg Kupervasser","Zeev Olami, Barak Galanti, Oleg Kupervasser, Itamar Procaccia","Flame front propagation II: Random Noise and Pole-Dynamics in Unstable
  Front Propagation","20 pages, 10 figures","Phys. Rev. E 55, 2649-2663 (1997)","10.1103/PhysRevE.55.2649",,"adap-org nlin.AO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The problem of flame propagation is studied as an example of unstable fronts
that wrinkle on many scales is studied. The analytic tool of pole expansion in
the complex plane is emloyed to address the interaction of the unstable growth
process with random initial conditions and perturbations.
  We argue that the effect of random noise is immense and that it can never be
neglected in sufficiently large systems. We present simulations that lead to
scaling laws for the velocity and acceleration of the front as a function of
the system size and the level of noise, and analytic arguments that explain
these results in terms of the noisy pole dynamics.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 11:03:11 GMT""},{""version"":""v2"",""created"":""Wed, 17 Aug 2011 20:06:16 GMT""}]","2011-08-19"
"astro-ph/9608023","Dayton Jones","D.L. Jones (1), R.A. Preston (1), D.W. Murphy (1), D.L. Jauncey (2),
  J.E. Reynolds (2), A.K. Tzioumis (2), E.A. King (2), P.M. McCulloch (3),
  J.E.J. Lovell (3), M.E. Costa (3), and T.D. van Ommen (4) ((1) JPL, Caltech,
  Pasadena, CA, USA, (2) ATNF, CSIRO, Epping, NSW, Australia, (3) Physics
  Dept., University of Tasmania, Hobart, Tasmania, Australia, (4) Antarctic
  CRC, University of Tasmania, Hobart, Tasmania, Australia)","Interstellar Broadening of Images in the Gravitational Lens PKS 1830-211","Accepted by Ap.J. (Letters). Paper includes three postscript figures","Astrophys.J.470:L23,1996","10.1086/310292","JPL 96-008","astro-ph",,"  The remarkably strong radio gravitational lens PKS 1830-211 consists of a one
arcsecond diameter Einstein ring with two bright compact (milliarcsecond)
components located on opposite sides of the ring. We have obtained 22 GHz VLBA
data on this source to determine the intrinsic angular sizes of the compact
components. Previous VLBI observations at lower frequencies indicate that the
brightness temperatures of these components are significantly lower than 10E10
K, less than is typical for compact synchrotron radio sources and less than is
implied by the short timescales of flux density variations. A possible
explanation is that interstellar scattering is broadening the apparent angular
size of the source and thereby reducing the observed brightness temperature.
Our VLBA data support this hypothesis. At 22 GHz the measured brightness
temperature is at least 10E11 K, and the deconvolved size of the core in the
southwest compact component is proportional to the wavelength squared between
1.3 cm (22 GHz) and 18 cm (1.7 GHz). VLBI observations at still higher
frequencies should be unaffected by interstellar scattering.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 18:33:31 GMT""}]","2009-10-28"
"astro-ph/9608024","Belinda Wilkes","B. J. Wilkes, P. J. Green, S. Mathur and J. C. McDowell
  (Harvard-Smithsonian Center for Astrophysics)","Emission Lines and the Spectral Energy Distributions of Quasars","latex file and sty file. To appear in Emission Lines in Active
  Galaxies: New Methods and Techniques, ed. B.M.Peterson, F.-Z. CHeng and
  A.S.Wilson (San Pranciscio: Astronomical Society of the Pacific) in press
  (1997)",,,,"astro-ph",,"  Many years of study have failed to conclusively establish relations between a
quasar's spectral energy distribution (SED) and the emission lines it is
thought to produce. This is at least partially due to the lack of well-observed
SEDs. We present initial results from a line--SED study for a sample of 43
quasars and active galaxies for which we have optical and ultra-violet spectra
and far-infrared--X-ray SEDs. We present the results of tests for correlations
between line equivalent widths and SED luminosity and slope parameters and
compare these results to those from earlier studies. We find that the Baldwin
effect is weaker when the luminosity is defined close to the ionising continuum
of that line and conclude that the detailed SED is likely to be important in
making further progress.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 19:24:33 GMT""}]","2007-05-23"
"astro-ph/9608025",,"David I. Kaiser","Supercurvature Modes from Preheating in an Open Universe","6pp. Uses Revtex; no figures",,,"HUTP-96/A032","astro-ph gr-qc hep-ph",,"  Preheating following the inflationary phase in models of open inflation is
considered. The most significant difference from a preheating scenario in flat
space is that supercurvature modes can be populated and amplified in the open
universe. In certain models, such modes can dominate the usual resonant
particle production, thus altering the ensuing thermal history within an open
universe. The accuracy to which the masses and couplings need to be tuned to
produce such supercurvature modes, however, makes any large deviation from the
flat space cases unlikely.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 20:41:20 GMT""}]","2007-05-23"
"astro-ph/9608026","Christopher W. Mauche","Christopher W. Mauche (Lawrence Livermore National Laboratory)","The EUV Spectrum of the Quasi-Coherent Oscillations of the Dwarf Nova SS
  Cygni","LaTeX format, uses aasms4.sty, 10 pages, 4 Postscript figures,
  Accepted on August 5, 1996 for publication in the Astrophysical Journal",,"10.1086/310500",,"astro-ph",,"  Data obtained by the Extreme Ultraviolet Explorer satellite are used to
determine the EUV spectrum of the quasi-coherent oscillations of the dwarf nova
SS Cygni. It is found that the spectrum of the oscillations is neither blue nor
red nor grey relative to the net (oscillation-phase integrated) spectrum, and
hence that the oscillations cannot be explained by variations in the effective
temperature, absorbing column density, or effective area, respectively.
Instead, it is found that the amplitude of the oscillations is high at the
relative maxima of the net spectrum, and low to zero at the relative minima of
the net spectrum. This behavior can be explained by either variations in the
emission line flux atop a constant underlying continuum, or variations in the
optical depth of a haze of overlapping absorption lines, in which case the
optical depths must be $\tau<1$ at the relative maxima of the net spectrum, and
$\tau\gg 1$ at the relative minima.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 21:35:17 GMT""}]","2009-10-28"
"astro-ph/9608027","Huub Rottgering","H.J.A. R\""ottgering, Y. Tang, M. A. R. Bremer, A. G. de Bruyn, G. K.
  Miley, R. B. Rengelink, M. N. Bremer","WN1626+5153: A Giant Radio Galaxy from the WENSS survey","5 pages, 4 figures",,"10.1093/mnras/282.3.1033",,"astro-ph",,"  An FRII radio source with an angular extension of 18.4 arcminutes has been
discovered in the Westerbork Northern Sky Survey that is being carried out at
325 MHz. This source is identified with Mrk 1498 at $z=0.056$ indicating that
its projected extension is 1.6 \h50\ Mpc. The optical spectrum of Mrk 1498 has
the typical emission lines of a narrow line radio galaxy; H$\alpha$ is the only
permitted line that has a faint broad component. The discovery shows that the
good sensitivity of WENSS at low frequencies to low surface brightness features
at scales of a few minutes, is uniquely suited to provide well defined and
relatively large samples of giant radio galaxies. The future definition of such
samples will be important for our understanding of giant radio galaxies.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 15:28:05 GMT""}]","2015-06-24"
"chao-dyn/9608004","Detlef Lohse","Siegfried Grossmann, Detlef Lohse, and Achim Reeh (Fachbereich Physik
  der Universit\""at Marburg, Germany)","Developed turbulence: From full simulations to full mode reductions","4 pages, 5 eps-figures, replaces version from August 5th, 1996","Physical Review Letters 77, 5369 (1996)","10.1103/PhysRevLett.77.5369","Preprint 1996-3, Marburg","chao-dyn nlin.CD",,"  Developed Navier-Stokes turbulence is simulated with varying wavevector mode
reductions. The flatness and the skewness of the velocity derivative depend on
the degree of mode reduction. They show a crossover towards the value of the
full numerical simulation when the viscous subrange starts to be resolved. The
intermittency corrections of the scaling exponents of the pth order velocity
structure functions seem to depend mainly on the proper resolution of the
inertial subrange. Universal scaling properties (i.e., independent of the
degree of mode reduction) are found for the relative scaling exponents rho
which were recently defined by Benzi et al.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 18:08:35 GMT""},{""version"":""v2"",""created"":""Mon, 21 Oct 1996 13:54:00 GMT""}]","2009-10-28"
"chao-dyn/9608005","Detlef Lohse","Sascha Hilgenfeldt (1), Detlef Lohse (1), and Michael Brenner (2) ((1)
  Fachbereich Physik der Universit\""at Marburg, Germany (2) Dept. of Math, MIT)","Phase Diagrams for Sonoluminescing Bubbles","Phys. Fluids, in press; latex; 46 pages, 16 eps-figures, small
  figures tarred and gzipped and uuencoded; large ones replaced by dummies;
  full version can by obtained from: http://staff-www.uni-marburg.de/~lohse/","Phys. Fluids 8, 2808 (1996)","10.1063/1.869131","Preprint 1996-4, Marburg and Cambridge","chao-dyn nlin.CD",,"  Sound driven gas bubbles in water can emit light pulses. This phenomenon is
called sonoluminescence (SL). Two different phases of single bubble SL have
been proposed: diffusively stable and diffusively unstable SL. We present phase
diagrams in the gas concentration vs forcing pressure state space and also in
the ambient radius vs gas concentration and vs forcing pressure state spaces.
These phase diagrams are based on the thresholds for energy focusing in the
bubble and two kinds of instabilities, namely (i) shape instabilities and (ii)
diffusive instabilities. Stable SL only occurs in a tiny parameter window of
large forcing pressure amplitude $P_a \sim 1.2 - 1.5$atm and low gas
concentration of less than $0.4\%$ of the saturation. The upper concentration
threshold becomes smaller with increasing forcing. Our results quantitatively
agree with experimental results of Putterman's UCLA group on argon, but not on
air. However, air bubbles and other gas mixtures can also successfully be
treated in this approach if in addition (iii) chemical instabilities are
considered. -- All statements are based on the Rayleigh-Plesset ODE
approximation of the bubble dynamics, extended in an adiabatic approximation to
include mass diffusion effects. This approximation is the only way to explore
considerable portions of parameter space, as solving the full PDEs is
numerically too expensive. Therefore, we checked the adiabatic approximation by
comparison with the full numerical solution of the advection diffusion PDE and
find good agreement.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 13:14:35 GMT""}]","2009-10-28"
"chao-dyn/9608006","Alessandro Torcini","Alessandro Torcini","Order Parameter for the Transition from Phase to Amplitude Turbulence","11 pages letter (PS file) and 3 figures (PS files)","Physical Review Letters, 77 (1996) 1047","10.1103/PhysRevLett.77.1047",,"chao-dyn nlin.CD",,"  The maximal conserved phase gradient is introduced as an order parameter to
characterize the transition from phase- to defect-turbulence in the complex
Ginzburg-Landau equation. It has a finite value in the phase-turbulent regime
and decreases to zero when the transition to defect-turbulence is approached.
Solutions with a non-zero phase gradient are studied via a Lyapunov analysis.
The degree of ""chaoticity"" decreases for increasing values of the phase
gradient and finally leads to stable travelling wave solutions. A modified
Kuramoto-Sivashinsky equation for the phase-dynamics is able to reproduce the
main features of the stable waves and to explain their origin.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 14:37:57 GMT""}]","2009-10-28"
"chem-ph/9608001","Peter Nightingale","M. P. Nightingale (Department of Physics, University of Rhode Island,
  USA) C.J. Umrigar (Cornell Theory Center and Laboratory of Atomic and Solid
  State Physics, Cornell University, USA)","Monte Carlo Optimization of Trial Wave Functions in Quantum Mechanics
  and Statistical Mechanics","27 pages to appear in "" Recent Advances in Quantum Monte Carlo
  Methods"" edited by W.A. Lester",,"10.1142/9789812819710_0012",,"chem-ph atom-ph cond-mat physics.chem-ph quant-ph",,"  This review covers applications of quantum Monte Carlo methods to quantum
mechanical problems in the study of electronic and atomic structure, as well as
applications to statistical mechanical problems both of static and dynamic
nature. The common thread in all these applications is optimization of
many-parameter trial states, which is done by minimization of the variance of
the local or, more generally for arbitrary eigenvalue problems, minimization of
the variance of the configurational eigenvalue.
","[{""version"":""v1"",""created"":""Mon, 5 Aug 1996 20:19:12 GMT""}]","2016-10-26"
"cmp-lg/9608002",,"Rolf Backofen (Theoretische Informatik, LMU Muenchen, Germany)","Controlling Functional Uncertainty","5 pages (to appear in Proceedings of ECAI '96)",,,,"cmp-lg cs.CL",,"  There have been two different methods for checking the satisfiability of
feature descriptions that use the functional uncertainty device,
namely~\cite{Kaplan:88CO} and \cite{Backofen:94JSC}. Although only the one in
\cite{Backofen:94JSC} solves the satisfiability problem completely, both
methods have their merits. But it may happen that in one single description,
there are parts where the first method is more appropriate, and other parts
where the second should be applied. In this paper, we present a common
framework that allows one to combine both methods. This is done by presenting a
set of rules for simplifying feature descriptions. The different methods are
described as different controls on this rule set, where a control specifies in
which order the different rules must be applied.
","[{""version"":""v1"",""created"":""Tue, 6 Aug 1996 08:34:13 GMT""}]","2008-02-03"
