"alg-geom/9608009","Andrzej Weber","Andrzej Weber (University of Warsaw)","Residues in intersection homology and L_p-cohomology","12 pages, AMS-tex. I have made some minor corrections and added few
  remarks",,,,"alg-geom math.AG",,"  Suppose $M^{n+1}$ is a complex manifold and K is a hypersurface with isolated
singularities. Let $\omega$ be a holomorphic form on $M\setminus K$ with the
first order pole on K. The Leray residue of such form gives an element in the
n-th homology of K which is the Alexander dual to $[\omega ]\in
H^{n+1}(M\setminus K)$. It always lifts to the intersection homology if 0 does
not belong to the spectra of a singular points. We assume that singularities
are described by the quasihomogeneous equations in certain coordinate systems.
Suppose that oscillation indicators of the singular points are greater then -1.
Then we find a metric on $K\setminus\Sigma$ in which the residue form is square
integrable (and even L_p-integrable for p>2). Applying the isomorphism of
L_p-cohomology and intersection homology we obtain a particular lift of the
residue class in homology to intersection homology.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 13:20:25 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 1996 12:15:57 GMT""}]","2008-02-03"
"astro-ph/9608040","Tom Abel","T. Abel, P. Anninos, Y. Zhang and M. L. Norman (Laboratory for
  Computational Astrophysics at the National Center for Supercomputing
  Applications)","Modelling Primordial Gas in Numerical Cosmology","26 pages of text, 4 tables, and 6 eps figures. The paper is also
  available at http://zeus.ncsa.uiuc.edu:8080/~abel/PGas/bib.html Submitted to
  New Astronomy. Note that some of the hyperlinks given in the paper are still
  under construction","NewAstron.2:181-207,1997","10.1016/S1384-1076(97)00010-9",,"astro-ph",,"  We have reviewed the chemistry and cooling behaviour of low-density (n<10^4
cm^-3) primordial gas and devised a cooling model wich involves 19 collisional
and 9 radiative processes and is applicable for temperatures in the range (1 K
< T < 10^8 K). We derived new fits of rate coefficients for the
photo-attachment of neutral hydrogen, the formation of molecular hydrogen via
H-, charge exchange between H2 and H+, electron detachment of H- by neutral
hydrogen, dissociative recombination of H2 with slow electrons,
photodissociation of H2+, and photodissociation of H2. Further it was found
that the molecular hydrogen produced through the gas-phase processes, H2+ + H
-> H2 + H+, and H- + H -> H2 + e-, is likely to be converted into its para
configuration on a faster time scale than the formation time scale. We have
tested the model extensively and shown it to agree well with former studies. We
further studied the chemical kinetics in great detail and devised a minimal
model which is substantially simpler than the full reaction network but
predicts correct abundances. This minimal model shows convincingly that 12
collisional processes are sufficient to model the H, He, H+, H-, He+, He++, and
H2 abundances in low density primordial gas for applications with no radiation
fields.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 20:19:50 GMT""}]","2008-11-26"
"astro-ph/9608044","Simon White","Simon D.M. White (MPA, Garching)","Large-scale structure at high redshift","12 pages. Invited review for the ESO Workshop on ""The Early Universe
  with the VLT"" 1-4 April 1996. The three colour figures are available at high
  resolution from http://www.mpa-garching.mpg.de/~swhite",,,,"astro-ph",,"  I discuss and illustrate the development of large-scale structure in the
Universe, emphasising in particular the physical processes and cosmological
parameters that most influence the observationally accessible aspects of
structure at large redshift. Statistical properties of this structure can be
measured from the apparent positions of faint galaxies and quasars; the
structure can be mapped in three dimensions by obtaining redshifts for large
samples of such objects; it can be studied using foreground absorption in the
spectra of quasars; finally the mass distribution can be constrained by
measuring the gravitationally induced distortion of background galaxy images.
The first and last of these techniques require deep imaging of large areas of
the sky with the best possible image quality. The second and third will require
8m-class telescopes with efficient multiobject spectrographs. For QSO
absorption line spectroscopy high spectral resolution is also important.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 17:07:16 GMT""}]","2007-05-23"
"astro-ph/9608045","Andrew P. Gould","Andrew Gould","The Hollywood Strategy for Microlensing Detection of Planets","6 pages, no figures, Talk given at the 12th IAP Colloquium: Variable
  Stars and the Astrophysical Returns of Microlensing Surveys",,,"OSU-TA-19/96","astro-ph",,"  Follow the big stars! I review the theory of detection and parameter
measurement of planetary systems by follow-up observations of ongoing
microlensing events. Two parameters can generically be measured from the event
itself: the planet/star mass ratio, $q$, and the planet/star separation in
units of the Einstein ring. I emphasize the advantages of monitoring events
with giant-star sources which are brighter (thus easier to monitor) and bigger
(thus offering the prospect of measuring an additional parameter from
finite-source effects: the proper motion $\mu$). There is potentially a strong
degeneracy between $q$ and $\mu$. I present a simple analytic representation of
this degeneracy. I then describe how it can be broken using accurate
single-band photometry from observatories around the world, or optical/infrared
photometry from a single site, or preferably both. Both types of observations
are underway or will be soon. Monitoring of giant-star events seen toward the
bulge is also the best way to determine the content and structure of the inner
Galaxy.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 18:44:34 GMT""}]","2007-05-23"
"astro-ph/9608046","Eric Deutsch","Andrew D. Silber, Scott F. Anderson, Bruce Margon (University of
  Washington) and Ronald A. Downes (STScI)","Time Resolved Ultraviolet Spectroscopy of DQ Herculis: Eclipses and
  Pulsations","16 pages including 4 tables and 7 figures; Uses AASTeX 4.0; to appear
  in The Astronomical Journal, volume 112, September 1996","AJ, 112, 1174, 1996","10.1086/118087",,"astro-ph",,"  The magnetic cataclysmic variable DQ Herculis was observed with the Faint
Object Spectrograph onboard the Hubble Space Telescope (HST) over four
consecutive satellite orbits, including the first observation in the UV of DQ
Her through eclipse minimum. Strong emission in N V, C IV, Si IV, and He II and
weak emission in O I, S III, Ni II, N IV, Si III, and C III was seen. Time
resolved spectroscopy was obtained over 3 orbits with the G160L grating. At the
eclipse minimum, the UV continuum was completely eclipsed for < 5% of the
orbital period. This implies that the UV continuum emission region is very
compact. By contrast, none of the emission lines were completely eclipsed, most
notably C IV which dropped by only ~75%. DQ Her is known to have intermittent
pulsations in the optical and UV at a period of 71 s, due to the rotation of
the accreting white dwarf. As in our previous observations, the UV continuum
and the C IV emission show sporadic 71 s pulsations. The mechanism(s) which
determine the pulsation amplitudes are clearly complex. The strong emission
lines and continuum were auto-correlated during the first and third HST orbits
and all show a variability timescale of ~160 s. The intensities of these lines
were also cross-correlated with the continuum and show a strong correlation
with the continuum with a timelag of < 4 s. The data during the fourth HST
orbit were collected with the G190H grating (1600-2350 Angstroms with 1.5
Angstrom spectral resolution) in standard spectroscopy mode (240 s time
resolution). These observations resolve He II 1640 into a broad (1,400 km/s),
asymmetric line.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 18:44:54 GMT""}]","2009-10-28"
"astro-ph/9608047","Nick Gnedin","Jeremiah P. Ostriker and Nickolay Y. Gnedin","Reheating of the Universe and Population III","six postscript figures included, submitted to ApJL",,"10.1086/310375",,"astro-ph",,"  We note that current observational evidence strongly favors a conventional
recombination of ionized matter subsequent to redshift z=1200, followed by
reionization prior to redshift z=5 and compute how this would have occurred in
a standard scenario for the growth of structure. Extending prior semi-analytic
work, we show by direct, high-resolution numerical simulations (of a COBE
normalized CDM+Lambda model) that reheating, will occur in the interval 15>z>7,
followed by reionization and accompanied by a significant increase in the Jeans
mass. However, the evolution of the Jeans mass does not significantly affect
star formation in dense, self-shielded clumps of gas, which are detached from
the thermal evolution of the rest of the universe. On average, the growth of
the Jeans mass tracks the growth of the nonlinear mass scale, a result we
suspect is due to nonlinear feedback effects. Cooling on molecular hydrogen
leads to a burst of star formation prior to reheating which produces Population
III stars with Omega_* reaching 10^{-5.5} and Z/Z_sun reaching 10^{-3.7} by
z=14. Star formation subsequently slows down as molecular hydrogen is depleted
by photo-destruction and the rise of the temperature. At later times, z<10,
when the characteristic virial temperature of gas clumps reach 10,000 degrees,
star formation increases again as hydrogen line cooling become efficient.
Objects containing Pop III stars accrete mass with time and, as soon as they
reach 10,000 K virial temperature, they engage in renewed star formation and
turn into normal Pop II objects having an old Pop III metal poor component.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 19:11:04 GMT""}]","2009-10-28"
"astro-ph/9608049","Julian Krolik","Julian H. Krolik (Johns Hopkins University)","A Unified View of How the Study of Emission Lines Furthers our Knowledge
  of AGN","15 pages, LaTeX with aspconf.sty, epsf.sty, to appear in Proceedings
  of IAU Colloquium 159, Emission Lines in Active Galaxies: New Methods and
  Techniques",,,,"astro-ph",,"  A global view is given of how emission lines have been, and may in the
future, be used to enhance our understanding of AGN. Lines from the microwave
to the X-ray bands all contribute. Although we have a deep understanding of the
physical processes by which line photons are generated, when the circumstances
of line emission are complicated, models become too unreliable to provide
strong inferences about the rest of the AGN system. At present, the lines which
appear the most promising for helping answer the most important questions about
AGN are the 22~GHz H_2 O rotational transition and the 6.4 keV Fe Kalpha
fluorescence.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 19:07:53 GMT""}]","2007-05-23"
"astro-ph/9608050","Matias Zaldarriaga","Matias Zaldarriaga","Polarization of the Microwave Background in Reionized Models","19 pages, 12 figures, Revised to match PRD accepeted version.
  Improved COBE normaliztion so some numerical results change slightly","Phys.Rev. D55 (1997) 1822-1829","10.1103/PhysRevD.55.1822",,"astro-ph",,"  I discuss the physics of polarization in models with early reionization. For
sufficiently high optical depth to recombination the polarization is boosted on
large scales while it is suppressed on smaller scales. New peaks appear in the
polarization power spectrum, their position is proportional to the square root
of the redshift at which the reionization occurs while their amplitude is
proportional to the optical depth. For standard scenarios the rms degree of
linear polarization as measured with a 7 degree FWHM antenna (like the one of
the Brown University experiment) is $1.6\mu K$, $1.2 \mu K$, $4.8\times 10^{-2}
\mu K$ for an optical depth of 1, 0.5 or 0 respectively. For a 1 degree FWHM
antenna this same models give $2.7 \mu K$ , $1.8 \mu K$ and $0.77 \mu K$.
Detailed measurement of polarization on large angular scales could provide an
accurate determination of the epoch of reionization, which cannot be obtained
from temperature measurements alone.
","[{""version"":""v1"",""created"":""Fri, 9 Aug 1996 22:26:26 GMT""},{""version"":""v2"",""created"":""Wed, 20 Nov 1996 19:25:49 GMT""}]","2016-08-30"
"astro-ph/9608051","Charu Ratnam","R. Cowsik, Charu Ratnam, and P. Bhattacharjee","Reply to Comment on ``Dispersion Velocity of Galactic Dark Matter
  Particles'' by Gates et al (astro-ph/9606132)","3 pages, RevTex, submitted to Phys. Rev. Lett",,,,"astro-ph",,"  Gates et al (astro-ph/9606132) have raised several issues in their Comment on
our Letter (Phys. Rev. Lett. Vol. 76, p.3886 (1996); astro-ph/9605001). We
clarify these issues and show that our results are robust, and there is no
inconsistency of our results with any established observational facts.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 05:51:16 GMT""}]","2007-05-23"
"astro-ph/9608052","Ray Protheroe","R.J. Protheroe and P.L. Biermann","Photon-photon absorption above a molecular cloud torus in blazars","18 pages, 6 figures, accepted for publication in Astroparticle
  Physics. Revised version contains 2 additional figures and more detailed
  discussion",,"10.1016/S0927-6505(96)00063-1","ADP-AT-96-8 (Revised)","astro-ph",,"  Gamma rays have been observed from two blazars at TeV energies. One of these,
Markarian 421, has been observed also at GeV energies and has roughly equal
luminosity per decade at GeV and TeV energies. Photon-photon pair production on
the infrared background radiation is expected to prevent observation above
about 1 TeV. However, the infrared background is not well known and it may be
possible to observe the nearest blazars up to energies somewhat below about 100
TeV where absorption on the cosmic microwave background will give a sharp
cut-off.
  Blazars are commonly believed to correspond to low power radio galaxies, seen
down along a relativistic jet; as such they are all expected to have the
nuclear activity encircled by a dusty molecular torus, which subtends an angle
of 90 degrees or more in width as seen from the central source. Photon-photon
pair production can also take place on the infrared radiation produced at the
AGN by this molecular torus and surrounding outer disk. We calculate the
optical depth for escaping gamma-rays produced near the central black hole and
at various points along the jet axis for the case of blazars where the
radiation is observed in a direction closely aligned with the jet.
  We find that the TeV emission site must be well above the top of the torus.
For example, if the torus has an inner radius of 0.1 pc and an outer radius of
0.2 pc, then the emission site in Mrk 421 would have be at least 0.25 pc above
the upper surface of the torus, and if Mrk 421 is observed above 50 TeV in the
future, the emission site would have to be at least 0.5 pc above the upper
surface. This has important implications for models of gamma-ray emission in
active galactic nuclei.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 08:15:02 GMT""},{""version"":""v2"",""created"":""Sat, 19 Oct 1996 08:43:17 GMT""}]","2009-10-28"
"astro-ph/9608053","Ryszard Manka","Ilona Bednarek, Marek Biesiada, Ryszard Manka","QCD deconfinement -- phase transitions and collapsing quark stars","Latex, 13 pages, 4 Latex figures",,,"ACUSl96-1","astro-ph",,"  In this paper we discuss the QCD phase-transitions in the nontopological
soliton model of quark confinement and explore possible astrophysical
consequences. Our key idea is to look at quark stars (which are believed to
exist since the quark matter is energetically preferred over the ordinary
matter) from the point of view of soliton model. We propose that the phase
transition taking place during the core collapse of massive evolved star may
provide a new physical effect not taken into account in modeling the supernova
explosions. We also point out the possibility that merging quark stars may
produce gamma-ray bursts energetic enough to be at cosmological distances. Our
idea based on the finite-temperature nontopologiocal soliton model overcomes
major difficulties present in neutron star merger scenario --- the baryon
loading problem and nonthermal spectra of the bursts.
","[{""version"":""v1"",""created"":""Sat, 10 Aug 1996 13:17:50 GMT""}]","2007-05-23"
