"adap-org/9608002","Yuhai Tu","Yuhai Tu, G. Grinstein, and M.A. Mu\~noz (IBM, Yorktown Heights)","Systems with Multiplicative Noise: Critical Behavior from KPZ Equation
  and Numerics","Four pages (In Revtex format) with 4 figures (in Postcript)",,"10.1103/PhysRevLett.78.274",,"adap-org cond-mat nlin.AO",,"  We show that certain critical exponents of systems with multiplicative noise
can be obtained from exponents of the KPZ equation. Numerical simulations in 1d
confirm this prediction, and yield other exponents of the multiplicative noise
problem. The numerics also verify an earlier prediction of the divergence of
the susceptibility over an entire range of control parameter values, and show
that the exponent governing the divergence in this range varies continuously
with control parameter.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:46:05 GMT""}]","2016-08-16"
"alg-geom/9608010","Guillermo Matera","M. Giusti, J. Heintz, K. H\""agele, J. E. Morais, L. M. Pardo and J. L.
  Monta\~na","Lower Bounds for diophantine Approximation",,,,,"alg-geom math.AG",,"  We introduce a subexponential algorithm for geometric solving of multivariate
polynomial equation systems whose bit complexity depends mainly on intrinsic
geometric invariants of the solution set. From this algorithm, we derive a new
procedure for the decision of consistency of polynomial equation systems whose
bit complexity is subexponential, too. As a byproduct, we analyze the division
of a polynomial modulo a reduced complete intersection ideal and from this, we
obtain an intrinsic lower bound for the logarithmic height of diophantine
approximations to a given solution of a zero--dimensional polynomial equation
system. This result represents a multivariate version of Liouville's classical
theorem on approximation of algebraic numbers by rationals. A special feature
of our procedures is their {\em polynomial} character with respect to the
mentioned geometric invariants when instead of bit operations only arithmetic
operations are counted at unit cost. Technically our paper relies on the use of
straight--line programs as a data structure for the encoding of polynomials, on
a new symbolic application of Newton's algorithm to the Implicit Function
Theorem and on a special, basis independent trace formula for affine Gorenstein
algebras.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:38:29 GMT""}]","2008-02-03"
"astro-ph/9608067","Dongsu Ryu","Dongsu Ryu (1) and Hyesung Kang (2) ((1) Department of Astronomy &
  Space Science, Chungnam National University, Korea, (2) Department of Earth
  Sciences, Pusan National University, Korea)","Accreting Matter around Clusters of Galaxies: One-Dimensional
  Considerations","MN to be published, 9 pages with 6 figures, using mn.sty, also
  available upon request to ryu@sirius.chungnam.ac.kr",,"10.1093/mnras/284.2.416","CNU-AST-96","astro-ph",,"  During the formation of the large scale structure of the Universe, matter
accretes onto high density peaks. Accreting collisionless dark matter (DM)
forms caustics around them, while accreting collisional baryonic matter (BM)
forms accretion shocks. The properties of the accreting matter depend upon the
power spectrum of the initial perturbations on a given scale as well as the
background expansion in a given cosmological model. In this paper, we have
calculated the accretion of DM particles in one-dimensional spherical geometry
under various cosmological models including the Einstein-de Sitter universe,
the open universe with $\Omega_o<1$, and the flat universe with
$\Omega_{\Lambda}=1-\Omega_o$. A density parameter in the range $0.1\le
\Omega_o \le 1$ has been considered. The initial perturbation characterized by
a point mass at the origin has been considered. Since the accretion shock of BM
is expected to form close to the first caustic of DM, the properties of the
accreting BM are common with those of the DM. Hence, the accretion calculations
with DM particles have been used to find the position and velocity of the
accretion shock and the cluster mass inside it. The average temperature of BM
has been estimated by adopting simplifying assumptions. The velocity of the
accreting BM around clusters of a given temperature is smaller in a universe
with smaller $\Omega_o$, but only by up to $\sim24\%$ in the models with
$0.1\le \Omega_o \le 1$. Thus, it would be difficult to use that quantity to
discriminate among the cosmological models. However, the accretion velocity
around clusters of a given mass or a given radius depends more sensitively on
the cosmological models. It is smaller in a universe with smaller $\Omega_o$ by
up to $\sim41\%$ and $\sim65\%$, respectively. So, it can provide a better
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:55:08 GMT""}]","2015-06-24"
"astro-ph/9608071","Hyesung Kang","Hyesung Kang (Pusan National University, Korea), J\""org P. Rachen and
  Peter L. Biermann (MPIfRA, Bonn, Germany)","Contributions to the Cosmic Ray Flux above the Ankle: Clusters of
  Galaxies","MNRAS to be published, 11 pages with 6 figures using mn.sty","Mon.Not.Roy.Astron.Soc. 286 (1997) 257","10.1093/mnras/286.2.257",,"astro-ph",,"  Motivated by the suggestion of Kang, Ryu \& Jones (1996) that particles can
be accelerated to high energies via diffusive shock acceleration process at the
accretion shocks formed by the infalling flow toward the clusters of galaxies,
we have calculated the expected particle flux from a cosmological ensemble of
clusters. We use the observed temperature distribution of local clusters and
assume a simple power-law evolutionary model for the comoving density of the
clusters. The shock parameters such as the shock radius and velocity are
deduced from the ICM temperature using the self-similar solutions for secondary
infall onto the clusters. The magnetic field strength is assume to be in
equipartition with the postshock thermal energy behind the accretion shock. We
also assume that the injected energy spectrum is a power-law with the
exponential cutoff at the maximum energy which is calculated from the condition
that the energy gain rate for diffusive shock acceleration is balanced by the
loss rate due to the interactions with the cosmic background radiation. In
contrast to the earlier paper we have adopted here the description of the
cosmic ray diffusion by Jokipii (1987) which leads to considerably higher
particle energies. Finally the injected particle spectrum at the clusters is
integrated over the cosmological distance to earth by considering the energy
loss due to the interactions with the cosmic background radiation. Our
calculations show that the expected spectrum of high-energy protons from the
cosmological ensemble of the cluster accretion shocks could match well the
observed cosmic ray spectrum near $10^{19}$eV with reasonable parameters and
models if about $10^{-4}$ of the infalling kinetic energy can be injected into
the intergalactic space as the high energy particles.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:20:48 GMT""}]","2015-06-24"
"astro-ph/9608073","Simon Folkes","S.R. Folkes, O. Lahav, S.J. Maddox","An Artificial Neural Network Approach to Classification of Galaxy
  Spectra","15 pages, LaTeX, 15 figures","Mon.Not.Roy.Astron.Soc.283:651-665,1996","10.1093/mnras/283.2.651",,"astro-ph",,"  We present a method for automated classification of galaxies with low
signal-to-noise (S/N) spectra typical of redshift surveys. We develop spectral
simulations based on the parameters for the 2dF Galaxy Redshift Survey, and
with these simulations we investigate the technique of Principal Component
Analysis when applied specifically to spectra of low S/N. We relate the
objective principal components to features in the spectra and use a small
number of components to successfully reconstruct the underlying signal from the
low quality spectra. Using the principal components as input, we train an
Artificial Neural Network to classify the noisy simulated spectra into
morphological classes, revealing the success of the classification against the
observed $b_{\rm J}$ magnitude of the source, which we compare with alternative
methods of classification. We find that more than 90\% of our sample of normal
galaxies are correctly classified into one of five broad morphological classes
for simulations at $b_{\rm J}$=19.7. By dividing the data into separate sets we
show that a classification onto the Hubble sequence is only relevant for normal
galaxies and that spectra with unusual features should be incorporated into a
classification scheme based predominantly on their spectral signatures. We
discuss how an Artificial Neural Network can be used to distinguish normal and
unusual galaxy spectra, and discuss the possible application of these results
to spectra from galaxy redshift surveys.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 22:17:51 GMT""}]","2015-06-24"
"astro-ph/9608078","Janusz Bednarz","J. Bednarz, M. Ostrowski","Acceleration time scale for the first-order Fermi acceleration in
  relativistic shock waves","10 pages, TeX type, 11 Encapsulated PostScript figures, psbox.tex
  included, uses mn.sty (MN.sty - 11 pages, [hbt] above figures, footer on each
  page), accepted for publication in MNRAS (July 1996)","MNRAS, 283 (1996) 447","10.1093/mnras/283.2.447",,"astro-ph",,"  The acceleration time scale for the process of first-order Fermi acceleration
in relativistic shock waves with oblique magnetic field configurations is
investigated by the method of Monte Carlo particle simulations. We demonstrate
the presence of correlation between the particle energy gain at interaction
with the shock and the respective time elapsed since the previous interaction.
Because of that any derivation of the acceleration time scale can not use the
distribution of energy gains and the distribution of times separately. The time
scale discussed in the present paper, $T_{acc}^{(c)}$, is the one describing
the rate of change of the particle spectrum cut-off energy in the time
dependent evolution. It is derived using a simplified method involving small
amplitude particle momentum scattering and intended to model the situations
with anisotropic cosmic ray distributions. We consider shocks with parallel, as
well as oblique, sub- and super-luminal magnetic field configurations with
finite amplitude perturbations, $\delta B$. We got some interesting results
like non-monotonic changes of $T_{acc}^{(c)}$ with $\delta B$, which arises due
to the particle cross-field diffusion.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:56:46 GMT""}]","2015-06-24"
"astro-ph/9608081","Bodo Ziegler","R. Bender, R.P. Saglia and B. Ziegler (Universit\""atssternwarte
  M\""unchen)","Evolution of Elliptical Galaxies up to z=1","Latex, 8 pages, 2 Postscript figures and lamuphys.sty included, to
  appear in proceedings of ESO workshop ""The Early Universe with the VLT"", eds.
  J. Bergeron et al., Springer",,,,"astro-ph",,"  We review the observational evidence showing that luminous cluster elliptical
galaxies are old stellar systems, undergoing mostly passive stellar evolution
up to redshift $z\approx 1$, with approximate coeval epoch of formation. This
scenario is supported by observations of local early--types, collected by 2m --
4m class telescopes, and fits the recently gained high resolution imaging
(given by the refurbished HST) and deep spectroscopic data coming from 4m
telescopes of $z\approx 0.4$ cluster ellipticals. Up to $z\approx 1$,
luminosity functions, colors and surface brightnesses provide further evidence
for mild evolution of massive cluster ellipticals.
  The new 8m class telescopes and in particular the VLT with its imaging and
multiplex spectroscopic instruments will give further essential information on
early--type galaxy evolution over the full galaxy mass--spectrum and as a
function of environment, disk--to--bulge ratio and other parameters. The VLT
will also allow to explore the possibility to use evolution--calibrated massive
ellipticals as cosmological standard candles/rods.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:38:17 GMT""}]","2007-05-23"
"astro-ph/9608082","Markus Kissler","M. Kissler-Patig (1,2), S. Kohle (2), M. Hilker (2), T. Richtler (2),
  L. Infante (3), and H. Quintana (3) ((1) ESO, Garching, (2) Sternwarte der
  Universitaet Bonn, Germany, (3) Universidad Catolica, Chile)","Globular cluster systems of early--type galaxies in Fornax","12 pages (including 11 .ps figures), A&A style, accepted for
  publication in A&A, also available at
  http://aibn55.astro.uni-bonn.de:8000/~mkissler",,,"AIUB preprints 96-21","astro-ph",,"  We studied the properties of the globular cluster systems of five early--type
galaxies in the Fornax galaxy cluster: NGC 1374, NGC 1379, NGC 1387, NGC 1427,
and the central giant elliptical NGC 1399. From the investigation of their
number of globular clusters, specific frequency, color distribution, surface
density profile, and spatial distribution, we conclude that our faint
ellipticals have no more globular clusters than spirals of the same mass, and
neither differ in their other properties. For these galaxies there is no need
to imply a different formation scenario of the globular cluster system. The
central giant elliptical has far more globular clusters and show signatures of
a different history in the building up of its globular cluster system.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 16:54:38 GMT""}]","2007-05-23"
"astro-ph/9608083","Hildegard Domgoergen","H. Domgorgen (1), M. Dahlem (2), R.-J. Dettmar (3) ((1) Sternwarte der
  Universitaet Bonn, (2) ESTEC, (3) Ruhr-Universitaet Bochum)","What perturbs NGC 2188?","to be published in A&A, 6 pages, latex",,,"AIUB preprint 96-4","astro-ph",,"  VLA HI observations of the dwarf irregular galaxy NGC 2188 show that the gas
and stars have spatial distributions which are substantially different. One end
of the optical disk is strongly gas deficient, while neutral gas extends into
the halo over distances of more than 2 kpc from the midplane. This and the
peculiar velocity field suggest that NGC 2188 is a perturbed system, although
it is not obviously an interacting galaxy. In addition, NGC 2188 is remarkable
for its interstellar disk-halo connection. An Halpha image of NGC 2188 shows
the presence of spectacular features of ionized gas extending from a large
star-forming complex up to 500 pc into the halo. Also, peculiar HI filaments
and at least one superbubble are present in NGC 2188.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 17:41:14 GMT""}]","2007-05-23"
"astro-ph/9608084","Gary Steigman","Gary Steigman","The Crisis Confronting Standard Big Bang Nucleosynthesis","To appear in PU250, the Proceedings of the Princeton University
  Conference, ""Critical Dialogues In Cosmology"". 12 pages Latex, 4 PostScript
  Figures",,,"OSU-TA-15/96","astro-ph",,"  Primordial nucleosynthesis is inevitable during the early evolution of an
expanding universe filled with radiation and matter (baryons). However, the
precise abundance yields depend sensitively on the baryon density, the
radiation content and the early expansion rate. For ``standard"" big bang
nucleosynthesis (SBBN) only D, $^3$He, $^4$He and $^7$Li are produced in
astrophysically interesting abundances which depend on only one ``free""
parameter, $\eta = n_{\rm B}/n_{\gamma}$, the ratio of baryons (nucleons) to
photons. With four primordial abundances and one adjustable parameter, SBBN is
an eminently testable theory. In the confrontation of theory with data current
observations suggest a crisis traceable to the tension between deuterium
(favoring a ``high"" value of $\eta$) and helium-4 (preferring a ``low"" $\eta$
value). In this contribution, the written version of the material I discussed
at the Princeton University ``Critical Dialogues in Cosmology"" (June 1996), I
will present the case for a conflict and show how recent observations of
deuterium in nearly primordial QSO absorbers exacerbate the problem. I conclude
with a brief description of an alternate, ``dynamical"" approach to bounding the
nucleon density which may be of some value given the current deuterium
dichotomy.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 18:39:10 GMT""}]","2007-05-23"
"astro-ph/9608085","Moshe Elitzur","Moshe Elitzur and Zeljko Ivezic,(University of Kentucky)","IR Emission from dusty winds --- Scaling and self-similarity properties","8 pages, 3 Postscript figures (were left out of original submission
  and are now included), uses crckapb.sty. Talk presented at IAU symposium 177,
  ""The Carbon Star Phenomenon"". The full ps file with the figures imbedded can
  also be retrieved from http://www.pa.uky.edu/ or
  ftp://gradj.pa.uky.edu/moshe/",,,,"astro-ph",,"  Infrared emission from radiatively heated dust possesses general scaling
properties. The spectral shape is independent of overall luminosity when the
inner boundary of the dusty region is controlled by dust sublimation; the only
relevant property of the heating radiation is its frequency profile. For a
given type of dust grains, the emission from red giants and supergiants is
essentially controlled by a single parameter --- the overall dust optical
depth. This leads to tight correlations among different spectral properties
that explain many available observations and enable systematic studies of large
data bases.
","[{""version"":""v1"",""created"":""Tue, 13 Aug 1996 21:02:41 GMT""},{""version"":""v2"",""created"":""Wed, 14 Aug 1996 14:34:38 GMT""}]","2008-02-03"
