"adap-org/9608003","Chen Kan","Kan Chen (Department of Computational Science, National University of
  Singapore)","A Simple Learning Algorithm for the Traveling Salesman Problem","10 pages, Latex, 3 postscript figures",,"10.1103/PhysRevE.55.7809",,"adap-org nlin.AO",,"  We propose a learning algorithm for solving the traveling salesman problem
based on a simple strategy of trial and adaptation: i) A tour is selected by
choosing cities probabilistically according to the ``synaptic'' strengths
between cities. ii) The ``synaptic'' strengths of the links that form the tour
are then enhanced (reduced) if the tour length is shorter (longer) than the
average result of the previous trials. We perform extensive simulations of the
random distance traveling-salesman problem. For sufficiently slow learning
rates, near optimal tours can be obtained with the average optimal tour lengths
close to the lower bounds for the shortest tour lengths.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 09:25:43 GMT""}]","2009-10-28"
"astro-ph/9608093","Steinn Sigurdsson","S. Sigurdsson and M.J. Rees (Institute of Astronomy, Cambridge)","Capture of stellar--mass compact objects by massive black holes in
  galactic cusps","9 pages postscript + 4 postscript figures, MNRAS accepted",,"10.1093/mnras/284.2.318",,"astro-ph",,"  A significant fraction of the stellar population in the cusp around central
black holes of galaxies consists of compact remnants of evolved stars, such as
white dwarfs, neutron stars and stellar mass black holes. We estimate the rate
of capture of compact objects by massive central black holes, assuming most
spiral galaxies have a central black hole of modest mass ($\sim 10^6 \msun$),
and a cuspy spheroid. It is likely that the total capture rate is dominated by
nucleated spirals. We estimate the flux of gravitational wave radiation from
such coalescences, and the estimated detectable source count for proposed
space--based gravitational wave observatories such as LISA. About one event per
year should be detectable within $1 \, {\rm Gpc}$, given very conservative
estimates of the black hole masses and central galactic densities. We expect
$10^2$--$10^3$ detectable sources at lower frequencies ($10^{-4}$ Hz) ``en
route'' to capture. If stellar mass black holes are ubiquitous, the signal may
be dominated by stellar mass black holes coalescing with massive black holes.
The rate of white dwarf--white dwarf mergers in the cores of nucleated spirals
is estimated at $\sim10^{-6}$ per year per galaxy.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:31:39 GMT""}]","2015-06-24"
"astro-ph/9608094","Bohdan Paczynski","Bohdan Paczynski (Princeton University Observatory)","Detached eclipsing binaries as primary distance and age indicators","8 pages, latex, uses cupconf.sty, invited talk at the Extragalactic
  Distance Scale STScI Symposium, May 7-10, 1996, Baltimore, Maryland, USA",,,,"astro-ph",,"  Detached eclipsing double line spectroscopic binaries offer an opportunity to
measure directly stellar parameters: mass, luminosity, radius, as well as the
distance. The only non-trivial step is the need to determine surface brightness
of each component on the basis of something measurable, like the color or the
line ratios. Modern model atmospheres provide a fairly good calibration of that
relation, but empirical verification is possible, and it is needed to achieve
the highest accuracy. When this approach is fully developed the detached
eclipsing binaries should provide direct (single step) distances with about 1%
accuracy to all galaxies in the Local Group. Recent discovery of numerous
detached eclipsing binaries near the main sequence turn-off points in several
globular clusters (Kaluzny et al. 1996a,b) will be followed by accurate
determinations of distances, masses and luminosities. The empirical the mass -
luminosity relation near the main sequence turn-off point will allow accurate
age and helium determinations, and a check on the stellar evolution theory.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 17:59:47 GMT""}]","2007-05-23"
"astro-ph/9608095","Peter A. Becker","Peter A. Becker and Menas Kafatos","Implications of Gamma-Ray Transparency Constraints in Blazars: Minimum
  Distances and Gamma-Ray Collimation","23 pages, tex, figures available on request to pbecker@hubble.gmu.edu","Astrophysical Journal, 1995, vol. 453, pp.83-94","10.1086/176372",,"astro-ph",,"  We develop a general expression for the gamma-gamma absorption coefficient
for gamma-rays propagating in an arbitrary direction at an arbitrary point in
space above an X-ray emitting accretion disk. The X-ray intensity is assumed to
vary as a power law in energy and radius between the outer disk radius and the
inner radius, which is the radius of marginal stability for a Schwarzschild
black hole. We use our result for the absorption coefficient to calculate the
gamma-gamma optical depth for gamma-rays created at an arbitrary height and
propagating at an arbitrary angle relative to the disk axis. As an application,
we use our formalism to compute the minimum distance between the central black
hole and the site of production of the gamma-rays detected by EGRET during the
June 1991 flare of 3C 279. Our results indicate that the ``focusing'' of the
gamma-rays along the disk axis due to pair production is strong enough to
explain the observed degree of alignment in blazar sources. If the gamma-rays
are produced isotropically in gamma-ray blazars, then these objects should
appear as bright MeV sources when viewed along off-axis lines of sight.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 20:32:12 GMT""}]","2009-10-28"
"astro-ph/9608096","Eric Peng","Eric Peng (Princeton University Observatory)","A Study into the Feasibility of Obtaining Finite Source Sizes From
  MACHO-type Microlensing Light Curves","10 pages with 3 figures, LaTex, uses aaspp.sty, will appear in 20
  January 1997 ApJ Letters",,"10.1086/303502",,"astro-ph",,"  Recent discussion of the effects of finite source size on high magnification
microlensing events due to MACHOs motivates a study into the feasibility of
observing such effects and extracting the source radius. Simulated observations
are generated by adding Gaussian error to points sampled on theoretical
microlensing light curves for a limb darkened, extended source. These simulated
data sets are fitted in an attempt to see how well the fits extract the radius
of the source. The source size can be fitted with reasonable accuracy only if
the impact parameter of the event, $p$, is less than the stellar radius,
$R_{\star}$. It is possible to distinguish ``crossing'' events, ones where
$p<R_{\star}$, from ``non--crossing'' events if the light curve is well sampled
around the peak and photometric error is small --- i.e.~$\geq 3$ observations
while the lens transits the disk of the source, and $\sigma_{phot}<0.08\;{\rm
mag}$. These requirements are just within the reach of current observational
programs; the use of an early-warning system and multiple observing sites
should increase the likelihood that $R_{\star}$ can be fitted. The programs
used to simulate and fit data can be obtained via anonymous {\tt ftp}.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 22:23:05 GMT""}]","2009-10-28"
"astro-ph/9608097","Hiro","Takeshi Fukuyama, Mikiko Hatakeyama, Masae Miyoshi, Masahiro Morikawa,
  Akika Nakamichi","Late-Time Mild Inflation --- a possible solution of dilemma: cosmic age
  and the Hubble parameter ---","18 pages","Int.J.Mod.Phys. D6 (1997) 69-90","10.1142/S0218271897000066","RITSUMEI-PP-11, OCHA-PP-83, WU-AP/62/96","astro-ph",,"  We explore the cosmological model in which a late-time mild inflation is
realized after the star formation epoch. Non-vanishing curvature coupling of a
classical boson field yields this mild inflation without a cosmological
constant. Accordingly the lifetime of the present Universe is remarkably
increased in our model. Thus we show that the present observed high value of
the Hubble parameter $H_0 \approx 70-80{\rm km/sec/Mpc}$ is compatible with the
age of the oldest stars $14{\rm Gyr}$ without introducing the cosmological
constant or the open Universe model. Moreover in our model, the local Hubble
parameter becomes larger than the global one. Thus we show that the present
observed local Hubble parameter measured by using the Cepheid variables is
compatible with the global Hubble parameter measured by using the
Sunyaev-Zeldovich effect. We also examine the energy conditions, evolution of
the effective gravitational constant and the nucleosynthesis process.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 01:59:47 GMT""}]","2012-07-30"
"astro-ph/9608098","Diego Harari","Diego Harari, Justin Hayward and Matias Zaldarriaga","Depolarization of the cosmic microwave background by a primordial
  magnetic field and its effect upon temperature anisotropy","Latex, 23 pages, 4 figures. Submitted to Phys. Rev. D","Phys.Rev.D55:1841-1850,1997","10.1103/PhysRevD.55.1841",,"astro-ph",,"  We estimate the depolarizing effect of a primordial magnetic field upon the
cosmic microwave background radiation due to differential Faraday rotation
across the last scattering surface. The degree of linear polarization of the
CMB is significantly reduced at frequencies around and below 30 GHz $(B_*
/10^{-2}{\rm Gauss})^{1/2}$, where $B_*$ is the value of the primordial field
at recombination. The depolarizing mechanism reduces the damping of
anisotropies due to photon diffusion on small angular scales. The $l\approx
1000$ multipoles of the CMB temperature anisotropy correlation function in a
standard cold dark matter cosmology increase by up to 7.5\% at frequencies
where depolarization is significant.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 11:22:04 GMT""}]","2014-10-13"
"astro-ph/9608099","Huub Rottgering","R. van Ojik, H.J.A. R\""ottgering, C.L. Carilli, G.K. Miley, M.N.
  Bremer, Macchetto","A radio galaxy at z=3.6 in a giant rotating Lyman $\alpha$ halo","accepted for publication in Astronomy and Astrophysics",,,,"astro-ph",,"  We present the discovery and detailed observations of the radio galaxy
1243+036 (=4C 03.24) at a redshift of $z=3.57$.
  The most spectacular feature of 1243+036 is the presence of a Ly$\alpha$ halo
of luminosity $\sim10^{44.5}$ ergs s$^{-1}$ which extends over$\sim20''$ (135
kpc). The narrow band imaging and the high resolution spectroscopy show that
the Ly$\alpha$ gas has three distinct components: (i) gas with a high velocity
dispersion (1550 km s$^{-1}$ FWHM) located inside the radio structure, (ii)
enhanced Ly$\alpha$ emission blue shifted by 1100 km s$^{-1}$ at the location
of the strong bend in the radio jet and (iii) Ly$\alpha$ emission extending out
well beyond the radio lobes. This emission has a low velocity dispersion (250
km s$^{-1}$ FWHM) and a velocity gradient of 450 km s$^{-1}$ over the extent of
the emission, indicative of large scale rotation.
  On the basis of these obserserations various mechanisms for the origin and
kinematics of the Ly$\alpha$ halo are discussed.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 13:01:11 GMT""},{""version"":""v2"",""created"":""Fri, 16 Aug 1996 07:43:21 GMT""}]","2008-02-03"
"astro-ph/9608100","Username","V.P.Reshetnikov, V.A.Hagen-Thorn, V.A.Yakovleva (Astronomical
  Institute of St.Petersburg State University, Russia)","Photometric study of polar-ring galaxies. III. Forming rings","8 pages, latex, text only. Full preprint with Figures available on
  request to resh@aispbu.spb.su. Accepted for publication in the Astronomy and
  Astrophysics",,,,"astro-ph",,"  We present the results of detailed surface photometry of NGC 3808B and NGC
6286 - two spiral galaxies with possibly forming ring-like structures rotating
around major axes of the galaxies. The formation of rings in NGC 3808B and NGC
6286 being accompanied by accretion of matter on galactic disk results in some
interesting gasdynamical and stellardynamical effects in these galaxies. One
can note, for instance, peculiar rotation curve of NGC 3808B gaseous disk;
strong infrared and H-alpha emission from the galaxies; bending and flaring
stellar disks in both galaxies. Our observations clearly illustrate the
possibility that polar-ring galaxies may be formed as a result of matter
accretion from one galaxy to another.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 13:17:42 GMT""}]","2007-05-23"
"astro-ph/9608101",,"A. J. Stirling and J. A. Peacock (Institute for Astronomy and Royal
  Observatory, Edinburgh)","Power correlations in cosmology: limits on primordial non-Gaussian
  density fields","MNRAS in press. 6 pages TeX including Postscript figures. Uses mn.sty
  and epsf.sty",,"10.1093/mnras/283.4.L99",,"astro-ph",,"  We probe the statistical nature of the primordial density field by measuring
correlations between the power in adjacent Fourier modes. For certain types of
non-Gaussian field, these k-space correlations would be expected to be more
extended than for a Gaussian field, providing a useful discriminatory test for
Gaussian fields. We apply this test to the combined QDOT and 1.2-Jy IRAS galaxy
survey and find the observed density field to be in good agreement with having
Gaussian density fluctuations for modes with k < 0.1 h/Mpc. From this result we
are able to set quantitative limits on a class of possible non-Gaussian
distributions -- the product of a Gaussian field with an independent stochastic
field. The maximum sensitivity is to modulations of a Gaussian field with
coherence scales of 30 Mpc/h and the rms modulation on this scale cannot
greatly exceed unity. We discuss the improvements to this limit likely to be
set by future surveys.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 14:37:14 GMT""}]","2016-06-08"
"chao-dyn/9608011","Maria Jose Sanchez","M. J. S\'anchez (1,2), E. Vergini (3) and D.A. Wisniacki (2) ((1)
  Institut de Physique Nucl\'eaire, Orsay Cedex, France. (2) Departamento de
  F\'isica, F.C.E.N, U.B.A, Argentina. (3) Departamento de F\'isica, C.N.E.A,
  Argentina)","Characterization of Landau-Zener Transitions in Systems with Complex
  Spectra","24 pages (including 7 postcript figures), Revtex. Submitted to PRE",,"10.1103/PhysRevE.54.4812",,"chao-dyn nlin.CD",,"  This paper is concerned with the study of one-body dissipation effects in
idealized models resembling a nucleus. In particular, we study the quantum
mechanics of a free particle that collides elastically with the slowly moving
walls of a Bunimovich stadium billiard. Our results are twofold. First, we
develop a method to solve in a simple way the quantum mechanical evolution of
planar billiards with moving walls. The formalism is based on the {\it scaling
method} \cite{ver} which enables the resolution of the problem in terms of
quantities defined over the boundary of the billiard. The second result is
related to the quantum aspects of dissipation in systems with complex spectra.
We conclude that in a slowly varying evolution the energy is transferred from
the boundary to the particle through Landau$-$Zener transitions.
","[{""version"":""v1"",""created"":""Wed, 14 Aug 1996 16:32:01 GMT""}]","2016-08-15"
