"alg-geom/9608011","Pandharipande Rahul","W. Fulton and R. Pandharipande","Notes on stable maps and quantum cohomology","Latex2e 52 pages. Final version",,,,"alg-geom math.AG",,"  These are notes from a jointly taught class at the University of Chicago and
lectures by the first author in Santa Cruz. Topics covered include:
construction of moduli spaces of stable maps, Gromov-Witten invariants, quantum
cohomology, and examples. These notes will appear in the proceedings of the
1995 Santa Cruz conference.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:37:32 GMT""},{""version"":""v2"",""created"":""Sat, 17 May 1997 22:10:10 GMT""}]","2008-02-03"
"astro-ph/9608102","Kurt Roettiger","Kurt Roettiger (1), Jack O. Burns (2), Chris Loken (2) ((1) UMd, (2)
  NMSU)","The Observational Consequences of Merging Clusters of Galaxies","42 pages, Latex, 23 postscript figures, Accepted for publication in
  ApJ",,"10.1086/178179",,"astro-ph",,"  We present an observational analysis of numerical simulations of galaxy
cluster mergers. We identify several observational signatures of recent merger
activity, and quantitatively assess the uncertainty introduced into cluster
mass estimates when invoking the commonly held assumptions of hydrostatic
equilibrium, virial equilibrium, spherical symmetry and isothermality. We find
that mergers result in multiple X-ray peaks, long-lived elongation of the X-ray
emission as well as isophotal twisting and centroid shifting to a degree
consistent with recent observations. We also find an enlargement of the X-ray
core relative to the dark matter core. Mergers result in non-isothermal
clusters exhibiting observable inhomogeneities in the emission-weighted X-ray
temperature of several keV on linear scales of less than 0.5 Mpc. The resulting
gas dynamics are extremely complex, and we present an example of what might be
observed by a high resolution X-ray spectrograph. We further speculate that the
gas dynamics, via shocks, bulk flows and turbulence, play an important role in
the evolution of cluster galaxies and associated radio sources, particularly
wide-angle tailed (WAT) sources and radio halos. We find that X-ray based by
cluster mass estimates made under equilibrium assumptions can be uncertain 50\%
or more in the first 2 Gyrs after a merger and by up to 25\% after 2 Gyrs
depending on the details of the analysis and projection effects. Uncertainties
can be considerably larger if the temperature is not well constrained.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 21:22:45 GMT""}]","2009-10-28"
"astro-ph/9608103","Sasha","Alexander Kusenko and Gino Segre (University of Pennsylvania)","The origin of pulsar velocities","7 pages, latex, epsf, 1 figure included, postscript also available at
  ftp://dept.physics.upenn.edu/pub/Kusenko/UPR710T.ps",,,"UPR-710-T","astro-ph gr-qc hep-ph",,"  We have recently proposed an explanation for the birth velocities of pulsars
as resulting from asymmetries due to neutrino oscillations in the cooling
protoneutron star. A specific prediction of this mechanism is that the
correlation of velocities and magnetic fields should be stronger for slowly
rotating neutron stars and weaker for those whose periods are less than 1 s. A
remarkable agreement of this prediction with the data favors the oscillation
mechanism over the alternative explanations for the proper motion of pulsars.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:10:07 GMT""}]","2007-05-23"
"astro-ph/9608104","Zdenka Kuncic","Z. Kuncic, E. G. Blackman, M. J. Rees (Institute of Astronomy,
  Cambridge)","Physical constraints on the sizes of dense clouds in the central
  magnetospheres of Active Galactic Nuclei","9 pages, LaTeX type, 2 postscript figures, uses rotate.sty and
  epsf.sty, accepted for publication in MNRAS",,"10.1093/mnras/283.4.1322",,"astro-ph",,"  The range of microphysical and global dynamical timescales in the central
regions of Active Galactic Nuclei (AGN) is sufficiently wide to permit the
existence of multiphase structure. In particular, very dense, cool clouds can
coexist with a hot, magnetically-dominated medium and can thereby efficiently
reprocess the continuum radiation generated in this primary source region. The
strong dynamical forces in this central magnetosphere can give rise to
extremely small clouds. Microphysical processes then determine whether such
clouds can indeed survive, in spite of their extremely contrasting properties
relative to the surrounding environment, for long enough to produce potentially
observable thermal reprocessing signatures. We examine specific physical
constraints on the thicknesses of such reprocessing clouds. Our results are
plotted to show the range of conditions that is representative of the central
regions of AGN. We find a parameter subspace in the extreme high density regime
for which the effects of microphysical diffusion processes can be overcome and
for which cool gas can maintain pressure equilibrium with the ambient
magnetosphere.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 01:21:19 GMT""}]","2015-06-24"
"astro-ph/9608105","Yannick Mellier","Y. Mellier (1,2), B. Fort (2) ((1) Institut d'Astrophysique de Paris,
  (2) Observatoire de Paris DEMIRM)","Weak lensing at the limit of the sky background noise","12 pages, Contributed talks for the ESO Workshop on ""The Early
  Universe with the VLT"" 1-4 April 1996. Latex with lamuphys.sty and psfig.sty,
  Latex, 12 pages, 6 figures, also available on
  ftp.iap.fr/pub/incoming/mellier.",,,,"astro-ph",,"  Recent weak lensing observations have pushed the use of 4 meter-class
telescopes to the limits of their capabilities with exposure times exceeding
several hours. The leading idea is that the surface density of faint galaxies
up to very faint magnitude ($B > 28-30$) raises continuously thus potentially
offering a dense template of distant sources whose intensity contrast is at the
sky noise level. In complement to the Peter Schneider's presentation on dark
matter search from weak lensing (this conference), we review some of these
recent advances in weak lensing analysis based on this extreme faint population
of galaxies in order to explore: the dark matter distribution on large scales,
the redshift ditribution of lensed sources at very large distance, and
eventually the values of cosmological parameters. For each observational topic
we will briefly discuss these new methods as compare to more classical lensing
studies as well as the possible VLT scientific impact in the domain.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 06:15:31 GMT""}]","2016-08-30"
"astro-ph/9608106","Andrew Liddle","Juan Garcia-Bellido, Andrew R Liddle, David H Lyth and David Wands","Normalization of modes in an open universe","8 pages LaTeX file (using RevTeX). Some restructuring of the
  arguments and additional material added; no changes to existing formulae or
  to the principal results","Phys. Rev. D 55, 4596 (1997)","10.1103/PhysRevD.55.4596","SUSSEX-AST 96/8-2","astro-ph",,"  We discuss the appropriate normalization of modes required to generate a
homogeneous random field in an open Friedmann-Robertson-Walker universe. We
consider scalar random fields and certain tensor random fields that can be
obtained by covariantly differentiating a scalar. Modes of interest fall into
three categories: the familiar sub-curvature modes, the more recently discussed
super-curvature modes, and a set of discrete modes with positive eigenvalues
which can be used to generate homogeneous tensor random fields even though the
underlying scalar field is not homogeneous. A particular example of the last
case which has been discussed in the literature is the bubble wall fluctuation
in open inflationary universes.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 07:44:55 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 1996 13:56:25 GMT""}]","2016-08-24"
"astro-ph/9608107","Robert Blum","R. D. Blum (JILA, University of Colorado), K. Sellgren, and D. L.
  DePoy (The Ohio State University)","Really Cool Stars at the Galactic Center","Accepted by AJ. 37 pages (latex, aastex v4.0, 2 planotables, 5
  figures, embedded, eps). Postscript also available at
  ftp://degobah.colorado.edu/pub/rblum/RCS2, Some minor changes made to text
  and figures regarding Stars IRS 28, OSUC1-3. No significant changes to
  conclusions",,"10.1086/118157","JILA_RB_02","astro-ph",,"  New and existing K-band spectra for 19 Galactic center late-type stars have
been analyzed along with representative spectra of disk and bulge M giants and
supergiants. Absorption strengths for strong atomic and molecular features have
been measured. The Galactic center stars generally exhibit stronger absorption
features centered near Na I (2.206 mic) and Ca I (2.264 mic) than
representative disk M stars at the same CO absorption strength. Based on the
absolute K-band magnitudes and CO and H2O absorption strengths for the Galactic
center stars and known M supergiants and asymptotic giant branch (AGB) stars,
we conclude that only IRS 7 must be a supergiant. Two other bright stars in our
Galactic center sample are likely supergiants as well. The remaining bright,
cool stars in the Galactic center that we have observed are most consistent
with being intermediate mass/age AGB stars. We identify four of the Galactic
center stars as long period variables based on their K-band spectral properties
and associated photometric variability. Estimates of initial masses and ages
for the GC stars suggest multiple epochs of star formation have occurred in the
Galactic center over the last 7-100 Myr.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 14:05:52 GMT""},{""version"":""v2"",""created"":""Tue, 20 Aug 1996 19:20:26 GMT""}]","2009-10-28"
"cond-mat/9608066","Mikhail Raikh","T.V. Shahbazyan and M.E. Raikh","Exact shape of the lowest Landau level in a double--layer system and a
  superlattice with uncorrelated disorder","12 pages + 3 figures","Phys. Rev. Lett. 77, 5106 (1996)","10.1103/PhysRevLett.77.5106",,"cond-mat",,"  We extend Wegner's exact solution for the 2D density of states at the lowest
Landau level with a short--range disorder to the cases of a double--layer
system and a superlattice. For the double--layer system, an analytical
expression for the density of states, illustrating the interplay between the
tunnel splitting of Landau levels and the disorder--induced broadening, is
obtained. For the superlattice, we derive an integral equation, the eigenvalue
of which determines the exact density of states. By solving this equation
numerically, we trace the disappearance of the miniband with increasing
disorder.
","[{""version"":""v1"",""created"":""Thu, 15 Aug 1996 20:47:23 GMT""}]","2009-10-28"
"cond-mat/9608067","Murray. Batchelor","M. T. Batchelor","Reflection equations and surface critical phenomena","8 pages, PostScript file, talk given in Tianjin, August 1995. To
  appear in ""Statistical Models, Yang-Baxter Equation and Related Topics"", M.L.
  Ge and F.Y. Wu eds, World Scientific, Singapore (1996) pp 41-48",,,"ANU-MRR 091-95","cond-mat hep-th nlin.SI solv-int",,"  A brief review is given of recent developments in the study of surface
critical phenomena from the viewpoint of exactly solved lattice models. These
developments include exact results for the polymer adsorption transition and
the surface critical exponents of the eight-vertex model.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 07:39:48 GMT""}]","2008-02-03"
"cond-mat/9608068","Miyazaki Mitake 94m023","Mitake Miyazaki, Yasumasa Hasegawa (Himeji Institute of Technology)","Anisotropic Superconductivity of Quasi-One-Dimensional Electrons in
  Magnetic Field","Latex,figures upon request,to be published in J.Phys.Soc.Jpn",,"10.1143/JPSJ.65.3283",,"cond-mat",,"  We study theoretically the transition temperature of a quasi-one-dimensional
anisotropic superconductor in a magnetic field, which is thought to be realized
in organic conductors,(TMTSF)2X. In the weak field limit,-dH_c2/dT for the
anisotropic singlet is shown to be \sqrt{3} times larger than that for the
anisotropic triplet in the case of attractive interaction of electrons at
nearest-sites along c axis and magnetic field along the b axis. In the strong
field region the transition temperature for spin-triplet is restored to zero
field critical temperature while the anisotropic spin-singlet is suppressed by
the Zeeman effect.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 07:56:26 GMT""}]","2009-10-28"
"cond-mat/9608069",,"J.C.J. Paasschens (Philips Research Laboratories, Netherlands), P.W.
  Brouwer, and C.W.J. Beenakker (Leiden University, Netherlands)","Brightness of a phase-conjugating mirror behind a random medium","4 pages LaTeX. 2 Postscript figures included","Europhys. Lett. 38, 651 (1997)","10.1209/epl/i1997-00299-3","NL-M.S.19.020","cond-mat",,"  A random-matrix theory is presented for the reflection of light by a
disordered medium backed by a phase-conjugating mirror. Two regimes are
distinguished, depending on the relative magnitude of the inverse dwell time of
a photon in the disordered medium and the frequency shift acquired at the
mirror. The qualitatively different dependence of the reflectance on the degree
of disorder in the two regimes suggests a distinctive experimental test for
cancellation of phase shifts in a random medium.
","[{""version"":""v1"",""created"":""Fri, 16 Aug 1996 13:57:22 GMT""}]","2007-05-23"
