"alg-geom/9608018","Trygve Johnsen","Trygve Johnsen","Rank Two Bundles on Algebraic Curves and Decoding of Goppa Codes","An error in (what is now called) Theorem 3.4 has been corrected",,,,"alg-geom cs.IT math.AG math.IT",,"  We study a connection between two topics: Decoding of Goppa codes arising
from an algebraic curve, and rank two extensions of certain line bundles on the
curve.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 12:49:45 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2001 12:50:08 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 2003 08:26:57 GMT""}]","2008-02-03"
"alg-geom/9608019","Mark De Cataldo","Mark Andrea A. de Cataldo (Washington U. in St. Louis)","The genus of curves on the three dimensional quadric","Amsppt,15 pages, to appear in Nagoya Math. J",,,,"alg-geom math.AG",,"  By means of an {\it ad hoc} modification of the so-called
``Castelnuovo-Harris analysis"" we derive an upper bound for the genus of
integral curves on the three dimensional nonsingular quadric which lie on an
integral surface of degree $2k$, as a function of $k$ and the degree $d$ of the
curve. In order to obtain this we revisit the Uniform Position Principle to
make its use computation-free. The curves which achieve this bound can be
conveniently characterized.
  Keywords: Castelnuovo-Harris Bound, Uniform Position Principle, Low
Codimension, Linkage
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:41:11 GMT""}]","2008-02-03"
"alg-geom/9608020","Mark De Cataldo","Mark Andrea A. de Cataldo (Washington U. in St. Louis)","A finiteness theorem for low-codimensional nonsingular subvarieties of
  quadrics","Ams-LAtex;13 pages; to appear in Trans. A.M.S",,,,"alg-geom math.AG",,"  We prove that there are only finitely many families of codimension two
nonsingular subvarieties of quadrics $\Q{n}$ which are not of general type, for
$n=5$ and $n\geq 7$. We prove a similar statement also for the case of higher
codimension. The case $n=6$ has been recently settled by Fania-Ottaviani.
  Keywords: Codimension two, Grassmannians, Lifting, Low codimension, Not of
General Type, Polynomial Bound, Quadrics
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 15:35:29 GMT""}]","2016-08-30"
"astro-ph/9608127","Dr N. Evans","J.L. Collett (Oxford), S.N. Dutta (Ohio), N.W. Evans (Oxford)","The Capture and Escape of Stars","22 pages, Tex file, 19 Postscript figures, uses psfig 2 further
  figures are not Postscript, but are available on emailing the authors, MNRAS",,"10.1093/mnras/285.1.49",,"astro-ph",,"  The shape of galaxies depends on their orbital populations. These populations
change through capture into and escape from resonance. Capture problems fall
into distinct cases depending upon the shape of the potential well. To
visualise the effective potential well for orbital capture, a diagrammatic
approach to the resonant perturbation theory of Born is presented. These
diagrams we call equiaction sections. To illustrate their use, we present
examples drawn from both galactic and Solar System dynamics. The probability of
capture for generic shapes of the potential well is calculated. A number of
predictions are made. First, there are barred galaxies that possess two outer
rings of gas and stars (type R1R2). We show how to relate changes in the
pattern speed and amplitude of the bar to the strength of the two rings.
Secondly, under certain conditions, small disturbances can lead to dramatic
changes in orbital shape. This can be exploited as a mechanism to pump
counter-rotating stars and gas into the nuclei of disk galaxies. Tidal resonant
forcing of highly inclined orbits around a central mass causes a substantial
increase in the likelihood of collision. Thirdly, the angular momentum of a
potential well is changed by the passage of stars across or capture into the
well. This can lead to the creation of holes, notches and high velocity tails
in the stellar distribution function, whose form we explicitly calculate.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 16:28:39 GMT""}]","2015-06-24"
"astro-ph/9608128","John Feldmeier","George Jacoby (National Optical Observatories)","Verifying the Planetary Nebula Luminosity Function Method","15 pages, latex, uses cupconf.sty, invited talk at the Extragalactic
  Distance Scale STScI Symposium, May 7-10, Baltimore, Maryland, USA",,,,"astro-ph",,"  The planetary nebula luminosity function (PNLF) technique for determining
distances to galaxies now has been applied to 34 galaxies, including 6 in the
Virgo cluster and 3 in the Fornax cluster. Of these, 16 galaxies are late-type
or spirals and presumably contain Cepheid variables useful for verifying the
PNLF method. For 7 of these galaxies, Cepheid distances exist; the PNLF
distances agree with the Cepheid distances within the dispersion of 8% and
within a zero-point offset of 1%. In addition, 3 small groups were studied (NGC
1023, Leo I, and Coma I) where both spiral and elliptical distances were
obtained to investigate the magnitude of any systematic dependence on spiral
versus elliptical Hubble type. None was found. Since the PNLF method agrees
well with the Cepheid system, and there is no measurable dependence on Hubble
type, it follows that PNLF distances to the ellipticals in Virgo and Fornax
also are on the Cepheid scale. This conclusion is strengthened by the Cepheid
distances to several Virgo galaxies and the recent determination of a Cepheid
distance to Fornax.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 17:37:42 GMT""}]","2007-05-23"
"astro-ph/9608129","Isobel M. Hook","I. M. Hook, R. G. McMahon, M. J. Irwin and C. Hazard","A survey for high-redshift radio-loud quasars: optical spectroscopy of S
  > 0.2 Jy, flat-spectrum radio sources","14 pages including tables and figures, except Figs. 3 and 4 (spectra)
  which are available from http://panisse.lbl.gov/public/isobelpage/ . To
  appear in MNRAS",,"10.1093/mnras/282.4.1274",,"astro-ph",,"  We present optical spectroscopic data for a complete sample of 161 S_5GHz >=
0.2 Jy, flat-spectrum radio sources. The sources were observed as part of a
survey for high redshift, radio-loud quasars, and were selected for
spectroscopic follow-up based on criteria of red optical colour and unresolved
optical counterpart, as measured from APM scans of POSS-I plates. 13 objects
from the spectroscopic sample were found to be radio-loud quasars with z > 3,
of which two were previously known. We give positions, E (red) magnitudes, O-E
colours, 5GHz radio fluxes, radio spectral indices, optical spectra and
redshifts where possible for the spectroscopic sample. We also give finding
charts for the z > 3 QSOs. The highest redshift object found is a QSO with z =
4.30 (GB1508+5714, the subject of an earlier Letter). The sample also contains
a z = 3.05 QSO, GB1759+7539, which is optically very luminous (E=16.1). In
addition, spectra are given for 18 S_5GHz >= 0.2 Jy, flat-spectrum radio
sources that do not form part of the complete sample.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 19:23:10 GMT""}]","2015-06-24"
"astro-ph/9608130","Zoltan Haiman","Zoltan Haiman, Martin Rees, and Abraham Loeb","Destruction of Molecular Hydrogen During Cosmological Reionization","14 pages, uuencoded compressed Postscript, 4 figures included. To
  appear in ApJ","Astrophys.J. 476 (1997) 458","10.1086/303647",,"astro-ph",,"  We investigate the ability of primordial gas clouds to retain molecular
hydrogen (H_2) during the initial phase of the reionization epoch. We find that
before the Stromgren spheres of the individual ionizing sources overlap, the UV
background below the ionization threshold is able to penetrate large clouds and
suppress their H_2 abundance. The consequent lack of H_2 cooling could prevent
the collapse and fragmentation of clouds with virial temperatures T_vir < 10^4
K (or masses 10^8 Msun [(1+z_vir)/10]^{-3/2}). This negative feedback on
structure-formation arises from the very first ionizing sources, and precedes
the feedback due to the photoionization heating.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 19:38:26 GMT""}]","2009-10-28"
"astro-ph/9608131","Uros Seljak","Uros Seljak (Harvard Smithsonian Center For Astrophysics)","Measuring Polarization In Cosmic Microwave Background","23 pages, 2 figures, AAS latex; matches the accepted version",,"10.1086/304123",,"astro-ph",,"  Polarization induced by cosmological scalar perturbations leads to a typical
anisotropy pattern, which can best be analyzed in Fourier domain. This allows
one to unambiguously distinguish cosmological signal of polarization from other
foregrounds and systematics, as well as from polarization induced by non-scalar
perturbations. The precision with which polarization and cross-correlation
power spectra can be determined is limited by cosmic variance, noise and
foreground residuals. Choice of estimator can significantly improve our
capability of extracting cosmological signal and in the noise dominated limit
the optimal power spectrum estimator reduces the variance by a factor of two
compared to the simplest estimator. If foreground residuals are important then
a different estimator can be used, which eliminates systematic effects from
foregrounds so that no further foreground subtraction is needed. A particular
combination of Stokes $Q$ and $U$ parameters vanishes for scalar induced
polarization, thereby allowing an unambiguous determination of tensor modes.
Theoretical predictions of polarization in standard models show that one
typically expects a signal at the level of 5-10$\mu$K on small angular scales
and around 1$\mu$K on large scales ($l<200$). Satellite missions should be able
to reach sensitivities needed for an unambiguous detection of polarization,
which would help to break the degeneracies in the determination of some of the
cosmological parameters.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 21:34:58 GMT""},{""version"":""v2"",""created"":""Fri, 23 Aug 1996 01:07:03 GMT""},{""version"":""v3"",""created"":""Thu, 12 Sep 1996 22:52:36 GMT""},{""version"":""v4"",""created"":""Wed, 25 Sep 1996 02:54:46 GMT""},{""version"":""v5"",""created"":""Sun, 2 Mar 1997 17:55:30 GMT""}]","2009-10-28"
"astro-ph/9608132","Jesus Gallego","J. Gallego (Lick Observatory UCSC, Universidad Complutense de Madrid),
  J. Zamorano, M. Rego and A.G. Vitores (Universidad Complutense de Madrid)","Spectroscopic properties, spatial and luminosity distributions of the
  UCm survey galaxies","13 pages, latex, 11 figures. Accepted for publication in ApJ (Feb
  97). Uses aas2pp4.sty. Also available at
  http://www.ucolick.org/~jgm/home.html",,,,"astro-ph",,"  A spectroscopic analysis of the whole sample of H$\alpha$ Emission-Line
Galaxies (ELGs) contained in the lists 1 & 2 of the Universidad Complutense de
Madrid (UCM) objective-prism survey is presented. A significant fraction (59\%)
of star-forming galaxies with low ionization or high extinction properties has
been found. This kind of ELG is only incompletely detected in the blue or in
other ELG surveys. We have found evidence for evolution among some of the
different ELG classes. A comparison between the populations detected by Case,
Kiso, UM and UCM surveys is presented. We conclude that a deep H$\alpha$ survey
is better able to sample all the ages, evolutionary stages and luminosities of
current star-forming galaxies than other surveys using blue-emission lines or
colors. Finally, the luminosity and spatial distributions of the UCM galaxies
are determined. The contribution of the newly found current star-forming ELGs
adds new clues to galaxy evolution and has to be taken into account when trying
to consider the density of ELGs and total Star Formation Rate in the Universe.
","[{""version"":""v1"",""created"":""Tue, 20 Aug 1996 21:41:49 GMT""}]","2007-05-23"
"astro-ph/9608133","Martin Haehnelt","Martin G. Haehnelt (MPA-Garching), Michael Rauch (Caltech) and
  Matthias Steinmetz (Berkeley)","Non-equilibrium effects on line-of-sight size estimates of QSO
  absorption systems","11 pages, LaTeX , 5 postscript figures included; accepted by MNRAS",,"10.1093/mnras/283.3.1055","MPA-980","astro-ph",,"  Estimates of the linear extent of heavy-element absorption systems along the
line-of-sight to a QSO often assume that the cloud is photoionized and that the
temperature takes the equilibrium value where photo-heating balances line
cooling. We show that rather small deviations from this photoionization
equilibrium temperature caused by additional heating processes will lead to an
overestimate of the neutral hydrogen fraction and thus to an underestimate of
the thickness of the absorber by about two orders of magnitude. Such
temperature deviations are indicated both by observations and numerical
simulations. This interpretation reconciles the discrepancy between the rather
small extent of heavy-element-absorption systems parallel to the line-of-sight
obtained from a standard photoionization analysis and the much larger
transverse sizes estimates inferred from the observation of common absorption
in the spectra of close quasar pairs.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 09:28:50 GMT""}]","2015-06-24"
"astro-ph/9608134","Anthony Holloway","P.E. Christopoulou (1), A.J. Holloway (2), W. Steffen (2), C.G.
  Mundell (3), A.H.C. Thean (3), C.D. Goudis (1), J. Meaburn (2) and A. Pedlar
  (3). (1-Dept. Physics, Univ. Patras, Greece. 2-Dept. Physics & Astronomy,
  Univ. Manchester, England. 3-NRAL, Univ. Manchester, England.)","Evidence for an outflow from the Seyfert galaxy NGC 4051","latex, epsf.sty, 8 pages, 8 figures. Also available at
  http://axp2.ast.man.ac.uk:8000/Preprints.html",,"10.1093/mnras/284.2.385",,"astro-ph",,"  New observations using narrow band imaging, long-slit spectroscopy and MERLIN
observations of the nuclear region of the Seyfert galaxy NGC~4051 have been
made. An edge brightened, triangular region of ionized gas extending 420 pc
from the centre of the galaxy has been detected. Long-slit spectra of this
ionised gas, taken at 1.5\arcsec\ from the core, show the \oiii\ emission line
to consist of two velocity components, both blue-shifted from the systemic
radial velocity, with velocity widths of 140\kms\ and separated by 120\kms.
This region is co-spatial with weak extended radio emission and is suggestive
of a centrally driven outflow. The \oiii\ line spectrum and image of this
region have been modelled as an outflowing conical structure at 50\degr\ to the
line of sight with a half opening angle of 23\degr .
  In addition to the extended structure, high resolution MERLIN observations of
the 18-cm nuclear radio emission reveal a compact (1\arcsec) radio triple
source in PA 73$^{\circ}$. This source is coincident with the HST-imaged
emission line structure. These high resolution observations are consistent with
a more compact origin of activity (i.e. a Seyfert nucleus) than a starburst
region.
","[{""version"":""v1"",""created"":""Wed, 21 Aug 1996 14:33:52 GMT""}]","2015-06-24"
