"alg-geom/9608028","Dan Edidin","Dan Edidin and William Graham","Algebraic Cuts","Latex2e with amssymb package, 12 pages",,,,"alg-geom math.AG",,"  Let $X$ be a projective variety with a torus action, which for simplicity we
assume to have dimension 1. If $X$ is a smooth complex variety, then the
geometric invariant theory quotient $X//G$ can be identifed with the symplectic
reduction $X_r$. Lerman introduced a construction (valid for symplectic
manifolds) called symplectic cutting, which constructs a manifold $X_c$, such
that $X_c$ is the union of $X_r$ and an open subset $X_{>0} \subset X$.
Moreover, there is a natural torus action on $X_c$ such that $X_r$ is a
component of the fixed locus. Using localization for equivariant cohomology,
this construction can be used to study of $X_r$.
  In this note, we give an algebraic version of this construction valid for
projective but possibly singular varieties defined over arbitrary fields. This
construction is useful for studying $X_r$ from the point of view of algebraic
geometry, using the equivariant intersection theory developed by the authors.
At the end of the paper we briefly give an adaptation of Lerman's proof of the
Kalkman residue formula and use it to give some formulas for characteristic
numbers of quotients by a torus.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 20:59:44 GMT""}]","2008-02-03"
"alg-geom/9608029","Lisa Jeffrey","Lisa C. Jeffrey (McGill University), Frances C. Kirwan (Oxford
  University)","Intersection theory on moduli spaces of holomorphic bundles of arbitrary
  rank on a Riemann surface","77 pages, LaTeX version 2.09. This is the text of the revised version
  which will appear in Annals of Mathematics. An error in Section 2 of the
  previous version has been corrected",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We prove formulas (found by Witten in 1992 using physical methods) for
intersection pairings in the cohomology of the moduli space M(n,d) of stable
holomorphic vector bundles of rank n and degree d (assumed coprime) on a
Riemann surface of genus g greater than or equal to 2. We also use these
formulas for intersection numbers to obtain a proof of the Verlinde formula for
the dimension of the space of holomorphic sections of a line bundle over
M(n,d).
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 21:11:00 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 15:28:13 GMT""}]","2008-02-03"
"astro-ph/9608153","Charbonnel","Manuel Forestini (Observatoire de Grenoble), Corinne Charbonnel
  (Laboratoire d'Astrophysique de Toulouse, STScI)","Nucleosynthesis of light elements inside thermally pulsing AGB stars I:
  the case of intermediate-mass stars","Accepted for publications in Astronomy & Astrophysics Supplt Series,
  31pages, including 8 figures",,"10.1051/aas:1997348",,"astro-ph",,"  The structural and nucleosynthetic evolution of 3, 4, 5, 6 and \mass{7} stars
with two metallicities ($Z = 0.005$ and 0.02) has been computed in detail, from
the early pre-main sequence phase up to the thermally pulsing (TP) AGB phase or
the onset of off-center carbon burning. Typically 10 to 20 thermal pulses have
been followed for each TP-AGB object. This homogeneous and quite large set of
models allows us to present an overview of the thermal pulse properties as well
as of the nucleosynthesis accompanying the TP-AGB phase of intermediate-mass
stars.
  More specifically, after a brief description of the previous evolutionary
stages, predictions are given for the isotopic ratios involving C, N, O, Ne,
Mg, Al and Si. Also the surface abundances of 7Li, 19F and 23Na are reported.
As the asymptotic phase of the thermal pulses has been reached for each star,
we also indicate how these abundances will probably evolve until the stars
completely loose their envelope, by including the evolution of the
nucleosynthesis itself.
  This article, in its paper form, has been shortened at a level of roughly 60
\% as required by directives coming from the A\&A editors. The complete article
(50 pages containing 37 figures) is only available in electronic form at
http://gag.observ-gr.fr/liens/starevol/evol.html
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 19:54:59 GMT""}]","2018-06-27"
"astro-ph/9608154","Ermanno Borra","Ermanno F. Borra, Marc Ferrari, Luc Girard, Gilberto Moretto, Gregoire
  Tremblay and Gerard Lemaitre","Liquid Mirror Telescopes: A progress report","To appear in the SPIE conference proceedings 'Optical Telescopes of
  Today and Tomorrow', May 29 - June1, Landskrona/Hven, Sweden, Additional info
  on LMs at: http://astrosun.phy.ulaval.ca/lmt/lmt-home.html",,"10.1117/12.269054",,"astro-ph",,"  We review the present status of liquid mirror telescopes. Interferometric
tests of liquid mirrors (the largest one having a diameter of 2.5 meters ) show
excellent optical qualities. The basic technology is now sufficiently reliable
that it can be put to work. Indeed, a handful of liquid mirrors have now been
built that are used for scientific work. A 3.7-m diameter LMT is presently
being built in the new Laval upgraded testing facilities. Construction of the
mirror can be followed on the Web site: http://astrosun.phy.ulaval.ca/lmt/lmt-
home.html. Finally we address the issue of the field accessible to LMTs
equipped with novel optical correctors. Optical design work, and some
exploratory laboratory work, indicate that a single LMT should be able to
access, with excellent images, small regions anywhere inside fields as large as
45 degrees.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 23:16:44 GMT""}]","2015-06-24"
"astro-ph/9608155","Sergey N. Nazin","Vladimir M. Lipunov (1 and 2), Ivan E. Panchenko (2) ((1) Physics
  Department of Moscow State University, (2) Sternberg Astronomical Institute )","Pulsars revived by gravitational waves","4 pages, LaTeX file, 2 Postscript figures","Astron.Astrophys.312:937,1996",,,"astro-ph",,"  Binary neutron stars mergers that are expected to be the most powerful source
of energy in the Universe definitely exist in nature, as is proven by the
observed behavior of the Hulse-Taylor binary radio pulsar. Though most of
energy in such events is radiated in gravitational waves, there probably exist
several mechanisms giving also electromagnetic radiation. We propose a new one,
involving a revival of the radio pulsar several orbital cycles before the
merger.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 01:00:12 GMT""}]","2011-05-23"
"astro-ph/9608156","Lam Hui","Nickolay Y. Gnedin and Lam Hui","The Low Column Density Lyman-alpha Forest","three postscript figures included, submitted to ApJL",,"10.1086/310366",,"astro-ph",,"  We develop an analytical method based on the lognormal approximation to
compute the column density distribution of the Lyman-alpha forest in the low
column density limit. We compute the column density distributions for six
different cosmological models and found that the standard, COBE-normalized CDM
model cannot fit the observations of the Lyman-alpha forest at z=3. The
amplitude of the fluctuations in that model has to be lowered by a factor of
almost 3 to match observations. However, the currently viable cosmological
models like the lightly tilted COBE-normalized CDM+Lambda model, the CHDM model
with 20% neutrinos, and the low-amplitude Standard CDM model are all in
agreement with observations, to within the accuracy of our approximation, for
the value of the cosmological baryon density at or higher than the old Standard
Bing Bang Nucleosynthesis value of 0.0125 for the currently favored value of
the ionizing radiation intensity. With the low value for the baryon density
inferred by Hogan & Rugers (1996), the models can only marginally match
observations.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 09:03:30 GMT""}]","2009-10-28"
"astro-ph/9608157","Lam Hui","Lam Hui, Nickolay Y. Gnedin and Yu Zhang","The Statistics of Density Peaks and the Column Density Distribution of
  the Lyman-Alpha Forest","match accepted version; discussion added: the effect of the shape of
  the power spectrum on the slope of the column density distribution","Astrophys.J. 486 (1997) 599","10.1086/304539",,"astro-ph",,"  We develop a method to calculate the column density distribution of the
Lyman-alpha forest for column densities in the range $10^{12.5} - 10^{14.5}
cm^{-2}$. The Zel'dovich approximation, with appropriate smoothing, is used to
compute the density and peculiar velocity fields. The effect of the latter on
absorption profiles is discussed and it is shown to have little effect on the
column density distribution. An approximation is introduced in which the column
density distribution is related to a statistic of density peaks (involving its
height and first and second derivatives along the line of sight) in real space.
We show that the slope of the column density distribution is determined by the
temperature-density relation as well as the power spectrum on scales $2 h
Mpc^{-1} < k < 20 h Mpc^{-1}$. An expression relating the three is given. We
find very good agreement between the column density distribution obtained by
applying the Voigt-profile-fitting technique to the output of a full
hydrodynamic simulation and that obtained using our approximate method for a
test model. This formalism then is applied to study a group of CDM as well as
CHDM models. We show that the amplitude of the column density distribution
depends on the combination of parameters $(\Omega_b h^2)^2 T_0^{-0.7}
J_{HI}^{-1}$, which is not well-constrained by independent observations. The
slope of the distribution, on the other hand, can be used to distinguish
between different models: those with a smaller amplitude and a steeper slope of
the power spectrum on small scales give rise to steeper distributions, for the
range of column densities we study. Comparison with high resolution Keck data
is made.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 09:12:16 GMT""},{""version"":""v2"",""created"":""Sat, 21 Dec 1996 12:11:09 GMT""},{""version"":""v3"",""created"":""Mon, 23 Jun 1997 23:17:49 GMT""}]","2009-10-28"
"chao-dyn/9608015","Ami Leviatan","A. Leviatan and N. D. Whelan","Partial Dynamical Symmetry and Mixed Dynamics","10 pages, Revtex, 3 figures, Phys. Rev. Lett. in press","Phys. Rev. Lett. 77 (1996) 5202","10.1103/PhysRevLett.77.5202",,"chao-dyn nlin.CD nucl-th",,"  Partial dynamical symmetry describes a situation in which some eigenstates
have a symmetry which the quantum Hamiltonian does not share. This property is
shown to have a classical analogue in which some tori in phase space are
associated with a symmetry which the classical Hamiltonian does not share. A
local analysis in the vicinity of these special tori reveals a neighbourhood of
phase space foliated by tori. This clarifies the suppression of classical chaos
associated with partial dynamical symmetry. The results are used to divide the
states of a mixed system into ``chaotic'' and ``regular'' classes.
","[{""version"":""v1"",""created"":""Sat, 24 Aug 1996 09:39:00 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 18:44:00 GMT""}]","2009-10-28"
"cond-mat/9608102","Kwan-tai Leung","Kwan-tai Leung and Joergen Vitting Andersen","Phase transition in a spring-block model of surface fracture","RevTeX, 4 pages, 4 Postscript figures included using epsfig","Euro. Phys. Lett. 38, 589 (1997)","10.1209/epl/i1997-00288-6",,"cond-mat",,"  A simple and robust spring-block model obeying threshold dynamics is
introduced to study surface fracture of an overlayer subject to stress induced
by adhesion to a substrate. We find a novel phase transition in the crack
morphology and fragment-size statistics when the strain and the substrate
coupling are varied. Across the transition, the cracks display in succession
short-range, power-law and long-range correlations. The study of stress release
prior to cracking yields useful information on the cracking process.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 17:05:45 GMT""}]","2009-10-28"
"cond-mat/9608109","Chandra M. Varma","C. M. Varma","NMR in copper-Oxide Metals","13 pages, latex, two figures available by ordinary mail on request,
  to be published in Physical review Letters",,"10.1103/PhysRevLett.77.3431",,"cond-mat",,"  The anomalous part of the NMR relaxation rate of coppernuclei in the normal
state of copper-oxide metals is calculated using the orbital magnetic parts of
the fluctuations derived in a recent theory to explain the long wavelength
transport anomalies. Oxygen and Yttrium reside on lattice sites at which the
anomalous contribution is absent at all hole densities. The frequency, momentum
dependence, and the form-factor of the fluctuations is predicted,which is
verifiable by inelastic neutron scattering experiments.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 16:18:39 GMT""}]","2009-10-28"
"cond-mat/9608110","Fedor G. Pikus","T. Hassenkam, S. Pedersen, K. Baklanov, A. Kristensen, C. B. Sorensen,
  P. E. Lindelof, F. G. Pikus, and G. E. Pikus","Spin Splitting and Weak Localization in (110) GaAs/AlGaAs Quantum Wells","4 pages (RevTex), 1 PostScript figure, uses epsf.sty",,"10.1103/PhysRevB.55.9298",,"cond-mat",,"  We investigate experimentally and theoretically the spin-orbit effects on the
weak localization in a (110) GaAs 2-dimensional electron gas (2DEG). We analyze
the role of two different terms in the spin splitting of the conduction band:
the Dresselhaus terms, which arise due to the lack of inversion center in the
bulk GaAs, and the Rashba terms, which are caused by the asymmetry of the
quantum well. It is shown that in A3B5 quantum wells the magnetoresistance due
to the weak localization depends qualitatively on the orientation of the well.
In particular, it is demonstrated that the (110) geometry has a distinctive
feature that in the absence of the Rashba terms the ``antilocalization''
effect, i.e. the positive magnetoresistance, does not exist. Calculation of the
weak anti-localization magnetoresistance is found to be in excellent agreement
with experiments.
","[{""version"":""v1"",""created"":""Fri, 23 Aug 1996 17:45:42 GMT""}]","2009-10-28"
