"ao-sci/9609001","Jonathan Katz","J. I. Katz","Sub-Suns and Low Reynolds Number Flow","12pp. Tex",,,"WU-JIK-96-3","ao-sci physics.ao-ph physics.flu-dyn",,"  The phenomenon called the ``sub-Sun'' is the specular reflection of sunlight
by horizontally oriented plates of ice. Although well-known in meteorological
optics, the hydrodynamics of the orientation is not quantitatively understood.
I review the theory of torques on objects at low Reynolds numbers, define
coefficients $C_o$, $C_p$, and $C_\psi$ which describe the orienting torques on
discs, rods, and hexagonal prisms, and report here the results of experiments
to measure $C_o$ and $C_p$.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 09:59:28 GMT""}]","2008-02-03"
"astro-ph/9609008","Priya","Priyamvada Natarajan (IoA, Cambridge) and Jean-Paul Kneib
  (Observatoire Midi-Pyrenees, Toulouse)","Lensing by galaxy halos in clusters of galaxies","17 pages, LaTeX file, MNRAS in press",,"10.1093/mnras/287.4.833",,"astro-ph",,"  Weak shear maps of the outer regions of clusters have been successfully used
to map the distribution of mass at large radii from the cluster center. The
typical smoothing lengths employed thus far preclude the systematic study of
the effects of galactic-scale substructure on the measured weak lensing signal.
In this paper, we present two methods to infer the possible existence and
extent of dark halos around bright cluster galaxies by quantifying the `local'
weak lensing induced by them. The proposed methods are: direct radial averaging
of the shear field in the vicinity of bright cluster members and a
maximum-likelihood method to extract fiducial parameters characterizing galaxy
halos. We demonstrate using simulations that these observed local weak-shear
effects on galaxy scales within the cluster can be used to statistically
constrain the mean mass-to-light ratio, and fiducial parameters like the halo
size, velocity dispersion and hence mass of cluster galaxies. We compare the
two methods and investigate their relative drawbacks and merits in the context
of feasibility of application to HST cluster data, whereby we find that the
prospects are promising for detection on stacking a minimum of 20 WFPC2 deep
cluster fields.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 10:11:27 GMT""},{""version"":""v2"",""created"":""Thu, 24 Apr 1997 12:58:14 GMT""}]","2015-06-24"
"astro-ph/9609009","Keisuke Taniguchi","Keisuke Taniguchi and Takashi Nakamura","Innermost Stable Circular Orbit of Coalescing Neutron Star-Black Hole
  Binary --- Generalized Pseudo-Newtonian Potential Approach ---","31 pages, revtex, 8 figures(eps). To appear in Progress of
  Theoretical Physics, Vol.96 No.4","Prog.Theor.Phys. 96 (1996) 693-712","10.1143/PTP.96.693","KUNS 1398, YITP-96-20","astro-ph gr-qc",,"  The innermost stable circular orbits (ISCO) of coalescing neutron star-black
hole binary are studied taking into account both the tidal and relativistic
effects. We adopt the generalized pseudo-Newtonian potential to mimic the
general relativistic effects of gravitation. It is found that the separation of
the neutron star and the black hole at the ISCO is greater than that obtained
by using either the Newtonian potential or the second post-Newtonian equation
of motion of point mass. In equal mass cases, it is found that for $\bar{a}/m_1
> 3.5$ with $\bar{a}$ and $m_1$ being the mean radius and the mass of the
neutron star, the tidal effect dominates the stability of the binary system
while for $\bar{a}/m_1 < 3.5$, the relativistic effect, i.e. the fact that the
interaction potential has unstable orbit, does.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 12:04:24 GMT""}]","2009-10-28"
"astro-ph/9609010","Suzanne Talon du Dasgal","S.Talon, J.-P. Zahn (DASGAL, Observatoire de Meudon)","Anisotropic diffusion and shear instabilities","4 pages, LaTeX, using l-aa.sty, 1 eps figure included, accepted by
  A&A June 7th, 1996",,,,"astro-ph",,"  We examine the role of anisotropic turbulence on the shear instabilities in a
stratified flow. Such turbulence is expected to occur in the radiative
interiors of stars, due to their differential rotation and their strong
stratification, and the turbulent transport associated with it will be much
stronger in the horizontal than in the vertical direction. It will thus weaken
the restoring force which is caused by the gradient of mean molecular weight
($\mu$). We find that the critical shear which is able to overcome the
$\mu$-gradient is substantially reduced by this anisotropic turbulence, and we
derive an estimate for the resulting turbulent diffusivity in the vertical
direction.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 12:47:14 GMT""}]","2007-05-23"
"astro-ph/9609011","Esteban Roulet","Silvia Mollerach and Esteban Roulet","Kicked neutron stars and microlensing","latex, 10 p. + 2 figs","Astrophys.J. 479 (1997) 147","10.1086/303885","SISSA-129/96/EP/A","astro-ph hep-ph",,"  Due to the large kick velocities with which neutron stars are born in
supernovae explosions, their spatial distribution is more extended than that of
their progenitor stars. The large scale height of the neutron stars above the
disk plane makes them potential candidates for microlensing of stars in the
Large Magellanic Cloud. Adopting for the distribution of kicks the measured
velocities of young pulsars, we obtain a microlensing optical depth of $\tau
\sim 2 N_{10} \times 10^{-8}$ (where $N_{10}$ is the total number of neutron
stars born in the disk in units of $10^{10}$). The event duration distribution
has the interesting property of being peaked at $T \sim 60$--80 d, but for the
rates to be relevant for the present microlensing searches would require
$N_{10} \gtap 1$, a value larger than the usually adopted ones ($N_{10} \sim
0.1$--0.2).
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 14:11:50 GMT""}]","2009-10-28"
"astro-ph/9609012","Thomas Rauscher","T. Rauscher (1), F.-K. Thielemann (1), K.-L. Kratz (2) ((1) Univ.
  Basel, Switzerland, (2) Inst. f. Kernchemie, Mainz, Germany)","Applicability Of The Hauser-Feshbach Approach For The Determination of
  Astrophysical Reaction Rates","4 pages, uses espcrc1.sty, Proc. Intl. Conf. ""Nuclei in the Cosmos
  IV"", Univ. Notre Dame 1996, Nucl. Phys. A, in press. Postscript is also
  available at http://quasar.physik.unibas.ch/research.html",,"10.1016/S0375-9474(97)00266-2",,"astro-ph nucl-th",,"  Nuclear Astrophysics requires the knowledge of reaction rates over a wide
range of nuclei and temperatures. In recent calculations the nuclear level
density - as an important ingredient to the statistical model (Hauser-Feshbach)
- has shown the highest uncertainties. In a back-shifted Fermi-gas formalism
utilizing an energy-dependent level density parameter and employing microscopic
corrections from a recent FRDM mass formula, we obtain a highly improved fit to
experimental level densities. The resulting level density is used for
determining criteria for the applicability of the statistical model on
neutron-induced reactions.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 14:30:10 GMT""}]","2009-10-28"
"bayes-an/9609001",,"Darren J Wilkinson","Local computation of influence propagation through Bayes linear belief
  networks","LaTeX2e, 11 pages. In submission. See http://www.ncl.ac.uk/~ndjw1/
  Also available from http://www.ncl.ac.uk/~ndjw1/pub/djwlc.html For more
  information about Bayes linear methods, see the Bayes linear home page:
  http://fourier.dur.ac.uk:8000/stats/bayeslin/",,,,"bayes-an physics.data-an",,"  In recent years there has been interest in the theory of local computation
over probabilistic Bayesian graphical models. In this paper, local computation
over Bayes linear belief networks is shown to be amenable to a similar
approach. However, the linear structure offers many simplifications and
advantages relative to more complex models, and these are examined with
reference to some illustrative examples.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 09:24:06 GMT""}]","2008-02-03"
"cmp-lg/9609001","Claire Gardent","Claire Gardent, Michael Kohlhase and Noor van Neusen","Corrections and Higher-Order Unification","12 pages, LateX file, In Proccedings of the 3. Konferenz zur
  Verarbeitung natuerlicher Sprache (KONVENS), Bielefeld, 1996",,,"CLAUS Report Nr. 77","cmp-lg cs.CL",,"  We propose an analysis of corrections which models some of the requirements
corrections place on context. We then show that this analysis naturally extends
to the interaction of corrections with pronominal anaphora on the one hand, and
(in)definiteness on the other. The analysis builds on previous
unification--based approaches to NL semantics and relies on Higher--Order
Unification with Equivalences, a form of unification which takes into account
not only syntactic beta-eta-identity but also denotational equivalence.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 15:36:54 GMT""}]","2008-02-03"
"cond-mat/9609009","A. J. Schofield","P. Coleman, A. J. Schofield and A. M. Tsvelik","How should we interpret the two transport relaxation times in the
  cuprates ?","19 pages, RevTeX with 8 postscript figures included. To appear in
  ``Non Fermi Liquid Physics'', J. Phys:Cond. Matt. (1997)",,"10.1088/0953-8984/8/48/020",,"cond-mat",,"  We observe that the appearance of two transport relaxation times in the
various transport coefficients of cuprate metals may be understood in terms of
scattering processes that discriminate between currents that are even, or odd
under the charge conjugation operator. We develop a transport equation that
illustrates these ideas and discuss its experimental and theoretical
consequences.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 06:10:03 GMT""}]","2009-10-28"
"cond-mat/9609010","Piers Coleman","H. D. Drew and P. Coleman","Sum rule for the optical Hall angle","Four pages. Latex file with two postscript figures","Phys. Rev. Letters, Vol. 78, 1572 (1997).","10.1103/PhysRevLett.78.1572",,"cond-mat",,"  We consider the optical Hall conductivity of a general electronic medium and
prove that the optical Hall angle obeys a new sum rule. This sum rule governs
the response of an electronic fluid to a Lorentz electric field and can thought
of as the transverse counterpart to the f-sum rule in optical conductivity. The
physical meaning of this sum rule is discussed, giving a number of examples of
its application to a variety of of electronic media.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 09:28:39 GMT""}]","2009-10-28"
"cond-mat/9609011","Fujimoto Satoshi","Satoshi Fujimoto (Department of Physics, Kyoto University), Norio
  Kawakami (Department of Applied Physics, Osaka University)","Competition between the Mott transition and the Anderson localization in
  1D disordered interacting electron systems","4 pages, Revtex, figures included, to appear in Phys. Rev. B (Rapid
  Communication)",,"10.1103/PhysRevB.54.R11018",,"cond-mat",,"  The competition between the Mott transition and the Anderson localization in
one dimensional electron systems is studied based upon the bosonization and the
renormalization group method. The beta function is calculated up to the second
order in the strength of diagonal disorder by using a replica trick. It is
found that the sufficiently strong forward scattering by random impurities
destroys the Mott-Hubbard gap, and the backward scattering gives rise to the
Anderson localization for the resulting gapless state. On the other hand, if
the Umklapp interaction is strong enough, the Mott insulating state still
overwhelms the Anderson localization.
","[{""version"":""v1"",""created"":""Mon, 2 Sep 1996 08:06:02 GMT""},{""version"":""v2"",""created"":""Tue, 3 Sep 1996 05:31:12 GMT""}]","2009-10-28"
