"acc-phys/9609003","Gayane A. Amatuni","A. Amatuni","Selfacceleration of Electrons in One-dimensional Bunches, Moving in Cold
  Plasma","14 pages,latex",,,,"acc-phys physics.acc-ph",,"  Nonlinear dynamics of the one-dimensional ultrarelativistic bunch of
electrons,moving in cold plasma,is considered in multiple scales perturbative
approach. A square root of the inverse Lorentz factor of the bunch electrons is
taken as a small parameter. Bunch electrons momenta is changed in the first
approximation.In the underdense plasma and for the model example of the
combined bunch the selfacceleration of the bunch electrons can be remarkable.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 11:31:14 GMT""}]","2008-02-03"
"astro-ph/9609070","Peter Hoeflich","P. H\""oflich, A. Khokhlov, J.C. Wheeler, M. Hamuy, M.M. Phillips, N.B.
  Suntzeff","Maximum Brightness and Post-Maximum Decline of Light Curves of SN~Ia: A
  Comparison of Theory and Observations","7 pages, 3 figures, macros ''aaspp.sty'. LaTeX Style. Astrophysical
  Journal Letters, submitted Jul. 1995, revised Aug. 1995, resubmitted Sep.
  1996",,"10.1086/310363",,"astro-ph",,"  We compare the observed correlations between the maximum brightness,
postmaximum decline rate and color at maximum light of Type Ia supernovae (SN
Ia) with model predictions.
  The observations are based on a total of 40 SN Ia with 29 SN of the Calan
Tololo Supernova Search and 11 local SN which cover a range of 2 mag in the
absolute visual brightness.
  The observed correlations are not tight, one dimensional relations.
Supernovae with the same postmaximum decline or the same color have a spread in
visual magnitude of about 0.7 mag. The dispersion in the color-magnitude
relation may result from uncertainties in the distance determinations or the
interstellar reddening within the host galaxy. The dispersion in the decline
rate-magnitude relation suggests that an intrinsic spread in the supernova
properties exists that cannot be accounted for by any single relation between
visual brightness and postmaximum decline.
  Theoretical correlations are derived from a grid of models which encompasses
delayed detonations, pulsating delayed detonations, the merging scenario and
helium detonations.
  We find that the observed correlations can be understood in terms of
explosions of Chandrasekhar mass white dwarfs.
  Our models show an intrinsic spread in the relations of about 0.5 mag in the
maximum brightness and about 0.1 mag in the B-V color.
  Our study provides strong evidence against the mechanism of helium detonation
for subluminous, red SN Ia.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:23:57 GMT""}]","2016-08-30"
"astro-ph/9609071",,"Keith A. Olive","Primordial Nucleosynthesis","19 pages, latex, 8 ps figures, Summary of talks presented at the
  VIIIth Recontres de Blois, Neutrinos, Dark Matter, and the Universe, Blois,
  France, June 8-12, 1996 and the XVII International Conference on Neutrino
  Physics and Astrophysics, $\nu$'96, Helsinki, Findland, June 13-19, 1996",,,"UMN-TH-1510-11/96","astro-ph",,"  The current of status of big bang nucleosynthesis is reviewed and the
concordance between theory and observation is examined in detail. It is argued
that when using the observational data on he4 and li7, the two isotopes whose
abundances are least affected by chemical and stellar evolution, both are
completely consistent with BBN theory. In addition, these isotopes determine
the value of the baryon-to-photon ratio, $\eta$ to be relatively low, $\eta
\approx 1.8 \times 10^{-10}$, which happens to agree with some recent
measurements of D/H in quasar absorption systems. These results have far
reaching consequences for galactic chemical evolution, the amount of baryonic
dark matter in the Universe and on the allowed number of degrees of freedom in
the early Universe.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:42:12 GMT""},{""version"":""v2"",""created"":""Tue, 10 Sep 1996 03:18:13 GMT""}]","2008-02-03"
"astro-ph/9609072","David H. Weinberg","Jeffrey P. Gardner, Neal Katz, Lars Hernquist, and David H. Weinberg","The Population of Damped Lyman-alpha and Lyman Limit Systems in the Cold
  Dark Matter Model","AASlatex, 17 pages w/ 3 embedded ps figures. Submitted to ApJ","Astrophys.J. 484 (1997) 31","10.1086/304310",,"astro-ph",,"  Lyman limit and damped Lyman-alpha absorption systems probe the distribution
of collapsed, cold gas at high redshift. Numerical simulations that incorporate
gravity and gas dynamics can predict the abundance of such absorbers in
cosmological models. We develop a semi-analytical method to correct the
numerical predictions for the contribution of unresolved low mass halos, and we
apply this method to the Katz et al. (1996) simulation of the standard cold
dark matter model ($\Omega=1$, $h=0.5$, $\Omega_b=0.05$, $\sigma_8=0.7$). Using
this simulation and higher resolution simulations of individual low mass
systems, we determine the relation between a halo's circular velocity $v_c$ and
its cross section for producing Lyman limit or damped absorption. We combine
this relation with the Press-Schechter formula for the abundance of halos to
compute the number of absorbers per unit redshift. The resolution correction
increases the predicted abundances by about a factor of two at z=2, 3, and 4,
bringing the predicted number of damped absorbers into quite good agreement
with observations. Roughly half of the systems reside in halos with circular
velocities $v_c>100\kms$ and half in halos with $35\kms<v_c<100\kms$. Halos
with $v_c>150\kms$ typically harbor two or more systems capable of producing
damped absorption. Even with the resolution correction, the predicted abundance
of Lyman limit systems is a factor of three below observational estimates,
signifying either a failure of standard CDM or a failure of these simulations
to resolve the systems responsible for most Lyman limit absorption. By
comparing simulations with and without star formation, we find that depletion
of the gas supply by star formation affects absorption line statistics at
$z>=2$ only for column densities exceeding $N_{HI}=10^{22} cm^{-2}$.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 19:10:54 GMT""}]","2009-10-28"
"astro-ph/9609073","Bohdan Paczynski","Bohdan Paczynski (Princeton University Observatory)","The future of massive variability searches","14 pages, 3 figures, latex, uses conf_iap.sty, invited talk at the
  12th IAP Colloquium: Variable stars and the astrophysical returns of
  microlensing surveys, Paris, IAP, July 7-12, 1996",,,,"astro-ph",,"  This is a personal review of various issues related to massive photometric
and astrometric searches. A complete inventory of variable stars down to almost
any magnitude limit will improve our understanding of the stellar evolution and
the galactic structure. A search for detached eclipsing binaries will improve
the distance scale, the value of the Hubble constant, and the age of the oldest
stars. A search for supernovae will help the determination of cosmological
parameters Omega and Lambda. A search for microlensing events will provide
insight into the stellar mass function, dark matter, and may lead to a
discovery of earth-mass planets.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 19:51:28 GMT""}]","2007-05-23"
"astro-ph/9609074","Fridolin Weber","Fridolin Weber (Univ. of Munich & LBNL, Berkeley), Norman K.
  Glendenning (LBNL, Berkeley)","Dense Stellar Matter and Structure of Neutron Stars","32 pages, LaTeX, Presented by F. Weber at the 3rd Mario Schoenberg
  School on Physics, Joao Pessoa, Brazil, July 22 -- August 2, 1996. To be
  published in the Brazilian Journal of Teaching Physics",,,"LBNL-39268","astro-ph nucl-th",,"  After giving an overview of the history and idea of neutron stars, I shall
introduce, in part one of my lectures, a representative collection of models
for the equation of state of superdense neutron star matter, which account for
various physical possibilities concerning the unknown behavior of such matter.
Part two of my lectures deal with the construction of models of static as well
as rapidly rotating neutron stars, and an investigation of the cooling behavior
of such objects. Both is performed in the framework of Einstein's theory of
general relativity. For this purpose the broad collection of models for the
equation of state, derived in part one, will be used as an input. Various
computed neutron star properties (e.g., masses, radii, moments of inertia, red
and blueshifts, limiting rotational periods, cooling behavior) will be compared
with the body of observed pulsar data. Finally, part three deals with an
investigation of the properties of stars made up of absolutely stable strange
quark matter. Their properties are compared with those of their nonstrange
counterparts, i.e., neutron stars.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 23:32:15 GMT""}]","2007-05-23"
"astro-ph/9609075","Avi Naim","A. Naim, K.U. Ratnatunga and R.E. Griffiths (The Johns Hopkins
  University)","Quantitative Morphology of Moderate Redshift Galaxies : How Many
  Peculiars are There ?","32 pages, latex and 9 figures, Ap. J., accepted",,"10.1086/303661","JHU-MDS-010896","astro-ph",,"  The advent of the Hubble Space Telescope (HST) has provided images of
galaxies at moderate and high redshifts and changed the scope of galaxy
morphologies considerably. It is evident that the Hubble Sequence requires
modifications in order to incorporate all the various morphologies one
encounters at such redshifts. We investigate and compare different approaches
to quantifying peculiar galaxy morphologies on images obtained from the Medium
Deep Survey (MDS) and other surveys using the Wide Field Planetary Camera 2
(WFPC2) on board the HST, in the I band (filter F814W). We define criteria for
peculiarity and put them to use on a sample of 978 galaxies, classifying them
by eye as either normal or peculiar. Based on our criteria and on concepts
borrowed from digital image processing we design a set of four purely
morphological parameters, which comprise the overall texture (or
``blobbiness'') of the image; the distortion of isophotes; the filling-factor
of isophotes; and the skeleta of detected structures. We also examine the
parameters suggested by Abraham et al. (1995). An artificial neural network
(ANN) is trained to distinguish between normal and peculiar galaxies. While the
majority of peculiar galaxies are disk-dominated, we also find evidence for a
significant population of bulge-dominated peculiars. Consequently, peculiar
galaxies do not all form a ``natural'' continuation of the Hubble sequence
beyond the late spirals and the irregulars. The trained neural network is
applied to a second, larger sample of 1999 WFPC2 images and its probabilistic
capabilities are used to estimate the frequency of peculiar galaxies at
moderate redshifts as $35 \pm 15 %$.
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 14:03:04 GMT""}]","2016-08-30"
"astro-ph/9609076","Tom Theuns","Tom Theuns (Oxford University) and S. J. Warren (Imperial College
  London)","Intergalactic stars in the Fornax Cluster","5 pages, latex (mn.sty), 3 figures (figure 1 is a jpeg image), to be
  published by MNRAS","MNRAS 284, L11 (1997)","10.1093/mnras/284.3.L11",,"astro-ph",,"  We have identified ten candidate intergalactic planetary nebulae in the
Fornax galaxy cluster. These objects were found during observations in 1992 and
1993 in three fields chosen well away from any Fornax galaxy at 15 arcmin, 30
arcmin, and 45 arcmin from the centre of Fornax. We used the usual method of
blinking images taken in a narrow OIII filter, with images taken in an adjacent
broad filter. The measured fluxes in the narrow, broad, and I bands are
consistent with these unresolved objects being planetary nebulae immersed in an
intergalactic population of stars. Such a population is expected to arise as a
consequence of tidal encounters between galaxies, and our findings strengthen
the case for the existence of such tidal debris. The confirmation of some or
all of these ten candidates as planetary nebulae would imply that intergalactic
stars constitute a substantial fraction of all the stars in Fornax, up to an
estimated 40 per cent. Intergalactic planetary nebulae could prove useful in
probing the underlying cluster potential, since they would be far more abundant
than galaxies. We discuss possible contamination of the sample by emission-line
galaxies, but conclude that planetary nebulae is the most likely identification
for the detected objects. keywords: intergalactic medium-- galaxies:
interactions -- planetary nebulae: general -- clusters: individual: Fornax
","[{""version"":""v1"",""created"":""Tue, 10 Sep 1996 09:50:32 GMT""}]","2016-01-13"
"cmp-lg/9609003","Diane Litman","Diane J. Litman (AT&T Labs - Research)","Cue Phrase Classification Using Machine Learning","42 pages, uses jair.sty, theapa.bst, theapa.sty","Journal of Artificial Intelligence Research 5 (1996) 53-94",,,"cmp-lg cs.CL",,"  Cue phrases may be used in a discourse sense to explicitly signal discourse
structure, but also in a sentential sense to convey semantic rather than
structural information. Correctly classifying cue phrases as discourse or
sentential is critical in natural language processing systems that exploit
discourse structure, e.g., for performing tasks such as anaphora resolution and
plan recognition. This paper explores the use of machine learning for
classifying cue phrases as discourse or sentential. Two machine learning
programs (Cgrendel and C4.5) are used to induce classification models from sets
of pre-classified cue phrases and their features in text and speech. Machine
learning is shown to be an effective technique for not only automating the
generation of classification models, but also for improving upon previous
results. When compared to manually derived classification models already in the
literature, the learned models often perform with higher accuracy and contain
new linguistic insights into the data. In addition, the ability to
automatically construct classification models makes it easier to comparatively
analyze the utility of alternative feature representations of the data.
Finally, the ease of retraining makes the learning approach more scalable and
flexible than manual methods.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:20:41 GMT""}]","2008-02-03"
"comp-gas/9609001","Jon Machta","K. Moriarty, J. Machta (U. Massachusetts) and R. Greenlaw (U. New
  Hampshire)","Parallel Algorithm and Dynamic Exponent for Diffusion-limited
  Aggregation","24 pages Revtex and 2 figures. A major improvement to the algorithm
  and smaller dynamic exponent in this version","Phys. Rev. E55, 6211 (1997)","10.1103/PhysRevE.55.6211",,"comp-gas cond-mat.stat-mech nlin.CG",,"  A parallel algorithm for ``diffusion-limited aggregation'' (DLA) is described
and analyzed from the perspective of computational complexity. The dynamic
exponent z of the algorithm is defined with respect to the probabilistic
parallel random-access machine (PRAM) model of parallel computation according
to $T \sim L^{z}$, where L is the cluster size, T is the running time, and the
algorithm uses a number of processors polynomial in L\@. It is argued that
z=D-D_2/2, where D is the fractal dimension and D_2 is the second generalized
dimension. Simulations of DLA are carried out to measure D_2 and to test
scaling assumptions employed in the complexity analysis of the parallel
algorithm. It is plausible that the parallel algorithm attains the minimum
possible value of the dynamic exponent in which case z characterizes the
intrinsic history dependence of DLA.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 18:46:51 GMT""},{""version"":""v2"",""created"":""Tue, 17 Dec 1996 19:23:15 GMT""}]","2016-08-31"
"cond-mat/9609083","Jiri Maly","Jiri Maly, K. Levin and D. Z. Liu (University of Chicago)","Coulomb Correlations and Pseudo-gap Effects in a Pre-formed Pair Model
  for the Cuprates","4 pages RevTeX, 3 ps figures included (Submitted to Physical Review B
  August 27, 1996)",,"10.1103/PhysRevB.54.R15657",,"cond-mat",,"  We extend previous work on pre-formed pair models of superconductivity to
incorporate Coulomb correlation effects. For neutral systems, these models have
provided a useful scheme which interpolates between BCS and Bose Einstein
condensation with increasing coupling and thereby describes some aspects of
pseudo-gap phenomena. However, charge fluctuations (via the plasmon,
$\omega_p$) significantly modify the collective modes and therefore the
interpolation behavior. We discuss the resulting behavior of the pseudo-gap and
thermodynamic quantities such as $T_c$, $\chi$ and $C_v$ as a function of
$\omega_p$.
","[{""version"":""v1"",""created"":""Mon, 9 Sep 1996 16:39:54 GMT""}]","2009-10-28"
