"alg-geom/9609015","Kieran O'Grady","Kieran O'Grady","Moduli of vector-bundles on surfaces","AMS-TeX",,,,"alg-geom math.AG",,"  This is a survey paper: we discuss certain recent results, with some
improvements. It will appear in the S. Cruz proceedings.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 10:02:22 GMT""}]","2008-02-03"
"astro-ph/9609133","Richard","O. Richard and S. Vauclair","Local Mixing near the Solar Core, Neutrino Fluxes and Helioseismology","4 pages, 2 postscript figures (included), for LaTeX, uses epsf.sty,
  to be published in A&A",,,,"astro-ph",,"  We have computed solar models similar to those published in Richard,
Vauclair, Charbonnel, Dziembowski (1996), in which we have added local mixing
near the solar core in order to decrease the neutrino production. The results
show that the neutrino fluxes are reduced as expected (although not enough to
account for the observed values), but the obtained models are incompatible with
the inversion of the helioseismic modes. We have specially tested the
parametrized mixing proposed by Morel and Schatzman (1996). The resulting solar
models are far from the seismic model and thus unrealistic.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 16:56:45 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 1997 17:18:55 GMT""}]","2008-02-03"
"astro-ph/9609134","Ng Yuen Keong","Y.K. Ng (IAP, Paris, France) and M. Schultheis (Vienna, Austria)","Field #3 of the Palomar-Groningen Survey I. Variable stars at the edge
  of the Sagittarius dwarf galaxy","3 pages TeX with 3 postscript figures. Table 1 and the finding charts
  are available on request. Accepted for publication in A&A Supplement Series",,,,"astro-ph",,"  A catalogue is presented with variable (RR Lyrae, semiregular and Mira) stars
located inside field #3 of the Palomar-Groningen Survey, at the outer edge of
the Sagittarius dwarf galaxy. One of the semiregular variables is a carbon
star, comparable with those found by Azzopardi et al. (1991). Serendipity
provides the suggestion, that their carbon stars might not be located inside,
but behind the bulge in the Sagittarius dwarf galaxy.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 19:40:41 GMT""}]","2007-05-23"
"astro-ph/9609135","Joel Parker","J. Wm. Parker (HSTX and SwRI), J. K. Hill (HSTX), R. C. Bohlin
  (STScI), R. W. O'Connell (U. Virginia), S. G. Neff (GSFC/NASA), M. S. Roberts
  (NRAO), A. M. Smith (GSFC/NASA), and T. P. Stecher (GSFC/NASA)","Ultraviolet Imaging Telescope Observations of OB Stars in the N 11
  Region of the LMC","AAS LaTeX style, 6 pages, 5 figures (Fig 1 as a GIF file, Figs 2-5 as
  encapsulated PostScript for embedding in the LaTeX file). Complete gzipped
  PostScript paper (including Figure 1) can be obtained from:
  http://k2.space.swri.edu/papers/papers.html In press in The Astrophysical
  Journal Letters",,"10.1086/310350",,"astro-ph",,"  We present an analysis of far-ultraviolet (FUV: 130-180 nm) and optical (U,
B, and V) data of the stellar and nebular content of the OB associations LH 9,
10, and 13 in the Large Magellanic Cloud region N 11. The FUV images from The
Ultraviolet Imaging Telescope strongly select the hot O and B stars; over 1900
stars were detected in the FUV to a limiting magnitude of m(FUV) = 17 mag. The
resulting FUV photometry combined with optical ground-based data indicate there
are approximately 88 confirmed or candidate O stars in the LH 9, 10, and 13
fields alone (in an area of ~ 41 arcmin$^2$), and possibly as many as 170 to
240 O-type stars within the entire 40~arcmin-diameter field of view.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 18:34:36 GMT""}]","2009-10-28"
"astro-ph/9609136","Craig Hogan","Craig J. Hogan, Scott F. Anderson and Martin H. Rugers (University of
  Washington)","Resolving the Helium Lyman-$\alpha$ Forest: Mapping Intergalactic Gas
  and Ionizing Radiation at $z\approx 3$","AAS Latex, 3 figures, accepted for publication in the Astronomical
  Journal","Astron.J.113:1495-1504,1997","10.1086/118366",,"astro-ph",,"  We present a new, high resolution HST/GHRS spectrum of quasar Q0302-003, and
use the HeII Lyman-$\alpha$ absorption, together with a high resolution Keck
spectrum of the HI Lyman-$\alpha$ forest, to probe the distribution and
ionization state of foreground gas just below the quasar redshift $z\approx
3.3$. The main new conclusions from the current data are: 1. The HeII
Lyman-$\alpha$ forest is detected; 2. The ``diffuse'' (redshift-space-filling)
medium is also detected, and must have a low density ($\Omega\le 0.01
(h/0.7)^{-3/2}$) consistent with standard primordial nucleosynthesis and models
of early gas collapse into protogalaxies; 3. The intergalactic ionizing
spectrum is soft ($\eta\ge 100$), although the intergalactic helium is probably
mostly doubly ionized by $z=3.3$; 4. The helium abundance is within a factor of
a few of standard Big Bang predictions, over a large volume of space at high
redshift.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 22:05:12 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1997 21:22:32 GMT""},{""version"":""v3"",""created"":""Fri, 31 Jan 1997 22:30:22 GMT""},{""version"":""v4"",""created"":""Mon, 3 Feb 1997 22:22:11 GMT""},{""version"":""v5"",""created"":""Mon, 10 Feb 1997 16:58:50 GMT""}]","2009-09-28"
"astro-ph/9609137","Chris Aikman","Sidney van den Bergh","Formation of the Galaxy","To appear in the PASP, November 1996; 46 pages plus 5 figures. Also
  available at http://www.dao.nrc.ca/DAO/SCIENCE/science.html",,"10.1086/133824","DAO-9625","astro-ph",,"  Current ideas on the formation of the Galaxy are reviewed. Many of the
observed characteristics of our Milky Way System are consistent with a scenario
in which the Galaxy formed inside out, with the inner part of it evolving by
rapid collapse of a single protogalaxy, while the outer halo was accreted over
an extended period. A number of possible problems with this ""Standard Model""
are discussed and summarized in section 5.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 22:44:34 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 1996 05:06:05 GMT""}]","2009-10-28"
"astro-ph/9609138","Craig J. Hogan","Craig J. Hogan","Big Bang Nucleosynthesis and the Observed Abundances of Light Elements","13 pages, Latex. Contribution to the Princeton meeting, ``Critical
  Dialogues in Cosmology''",,,,"astro-ph",,"  The predictions of Standard Big Bang Nucleosynthesis are summarized and
compared with observations of abundances of helium in HII regions, deuterium in
quasar absorbers, deuterium and helium-3 in the Galaxy, and lithium in
metal-poor stars. It is concluded that the prospects are good for a precise
test of the theory.
","[{""version"":""v1"",""created"":""Thu, 19 Sep 1996 23:08:54 GMT""}]","2007-05-23"
"astro-ph/9609139","Eric Deutsch","Eric W. Deutsch, Scott F. Anderson, Bruce Margon (University of
  Washington) and Ronald A. Downes (STScI)","An Ultraviolet-Excess Optical Candidate for the Luminous Globular
  Cluster X-ray Source in NGC1851","13 pages including 1 table and 3 figures in AASTeX 4.0; To appear in
  The Astrophysical Journal Letters, volume 472 (1996 December 1). Preprint
  with full-resolution figures available at
  http://www.astro.washington.edu/deutsch/pubs/pubs.html","Astrophys.J. 472 (1996) L97","10.1086/310373",,"astro-ph",,"  The intense, bursting X-ray source in the globular cluster NGC 1851 was one
of the first cluster sources discovered, but has remained optically
unidentified for 25 years. We report here on results from Hubble Space
Telescope WFPC2 multicolor images in NGC 1851. Our high spatial resolution
images resolve ~200 objects in the 3'' radius Einstein X-ray error circle, 40
times as many as in previous ground-based work. A color-magnitude diagram of
the cluster clearly reveals a markedly UV-excess object with B~21, (U-B) ~ -0.9
only 2'' from the X-ray position. The UV-excess candidate is 0.12'' distant
from a second, unremarkable star that is 0.5 mag brighter in B; thus
ground-based studies of this field are probably impractical. Three other
UV-excess objects are also present among the ~16,000 objects in the surveyed
region of the cluster, leaving a ~5% probability that a UV-excess object has
fallen in the X-ray error circle by chance. No variability of the candidate is
seen in these data, although a more complete study is required. If this object
is in fact the counterpart of the X-ray source, previous inferences that some
globular cluster X-ray sources are optically subluminous with respect to
low-mass X-ray binaries in the field are now strengthened.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 00:58:43 GMT""},{""version"":""v2"",""created"":""Fri, 4 Oct 1996 01:04:24 GMT""}]","2009-10-28"
"astro-ph/9609140","Tomasz Plewa","J. Franco (UNAM), G. Garcia-Segura (UNAM) and T. Plewa (MPA)","Interactions of Massive Stars with Their Parental Clouds","13 pages, latex, uses rmaaconf.sty, 4 figures (included); also
  available at http://www.mpa-garching.mpg.de/Hydro/AMR/papers/schydb.uu . To
  appear in V. Toth, ed, The Interaction of Stars with their Environment.
  Proceedings of the the Advanced School and Workshop organized by the Lorand
  Eotvos University and the Konkoly Observatory, Budapest, Hungary",,,,"astro-ph",,"  Here we discuss the interaction of massive stars with their parental
molecular clouds. A summary of the dynamical evolution of HII regions and
wind-driven bubbles in high-pressure cloud cores is given. Both ultracompact
HII regions and ultracompact wind-driven bubbles can reach pressure equilibrium
with their surrounding medium. The structures stall their expansion and become
static and, as long as the ionization sources and the ambient densities remain
about constant, the resulting regions are stable and long lived. For cases with
negative density gradients, and depending on the density distribution, some
regions never reach the static equilibrium condition. For power-law density
stratifications, $\rho \propto r^{-w}$, the properties of the evolution depend
on a critical exponent, $w_{crit}$, above which the ionization front cannot be
slowed down by recombinations or new ionizations, and the cloud becomes fully
ionized. This critical exponent is $w_{crit}=3/2$ during the expansion phase.
For $w>3/2 $ the gas expands supersonically into the surrounding ionized
medium, and there are two regimes separated by $w=3$. For $3/2<w\leq 3$, the
slow regime, the inner region drives a weak shock moving with almost constant
velocity through the cloud. For $w>3$, the fast regime, the shock becomes
strong and accelerates with time. Finally, the evolution of slow winds in
highly pressurized region is described briefly.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 01:27:33 GMT""}]","2007-05-23"
"astro-ph/9609141","Mikael Sahrling","Mikael Sahrling","The effect of Hall drift on the evolution of magnetic fields in the
  crusts of neutron stars","15 pages, 4 figures, all in PostScript format",,,,"astro-ph",,"  We consider the effect of Hall-drift on the evolution of magnetic fields in
neutorn star crusts using a finite difference code. Previously, most studies
have focused on the situation where the ohmic term dominates the evolution.
Here, we investigate the case where the ohmic term is small compared to the
Hall term. We show that the effect on the magnetic field energy decay rate is
up to 30 % different compared to pure ohmic decay, depending on the initial
conditions. In some cases the torroidal field act as an energy ""reservoir"" and
cause a slower decay rate than the ohmic case. We also investigate the
importance of high order vacuum multipoles and find that for situations where
the Hall term is a couple of orders of magnitude stronger than the ohmic term,
hexapoles and up are a significant part of the magnetic field at the surface of
the neutron star.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 07:14:16 GMT""}]","2007-05-23"
"astro-ph/9609142","Il Greco","M. Plionis, E. Branchini, I. Zehavi and A. Dekel","`Comparing the Predicted Abell/ACO Cluster & the MarkIII Galaxy Density
  and Velocity Fields', Contribution to the Wide Field Spectroscopy Meeting
  held in Athens, 20-24 May 1996","4 pages",,,,"astro-ph",,"  We compare the predicted Abell/ACO cluster density and velocity fields, using
linear theory, with that based on the MarkIII catalog and the POTENT machinery
within 7000 km/sec. Both density & velocity fields are in good qualitative
agreement indicating that apart from a linear biasing factor the optical
Abell/ACO clusters do trace the underlying mass distribution quite well.
","[{""version"":""v1"",""created"":""Fri, 20 Sep 1996 11:38:45 GMT""}]","2007-05-23"
