"alg-geom/9609020","Teleman","Andrei Teleman","Non-abelian Seiberg-Witten theory and projectively stable pairs","TeX-Type: LaTeX, 31 pages, revised version",,,,"alg-geom dg-ga hep-th math.AG math.DG",,"  We introduce the concept of Spin^G-structure in a SO-bundle, where $G\subset
U(V)$ is a compact Lie group containing $-id_V$. We study and classify
$Spin^G(4)$-structures on 4-manifolds, we introduce the G-Monopole equations
associated with a $Spin^G$-structure. On Kaehler surfaces a Kobayashi-Hitchin
correspondence can be proved for the corresponding moduli spaces. Using this
complex geometric interpretation, we determine explicitely a moduli space of
""PU(2)-Monopoles"" on $\P^2$, we describe its Uhlenbeck compactification, as
well as the Donaldson- and the abelian locus.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:03:40 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 08:55:59 GMT""},{""version"":""v3"",""created"":""Mon, 2 Jun 1997 17:36:31 GMT""}]","2008-02-03"
"alg-geom/9609021","David R. Morrison","David R. Morrison","Mathematical Aspects of Mirror Symmetry","74 pages, LaTeX2e with amsmath; minor changes, added table of
  contents","Complex Algebraic Geometry (J. Koll\'ar, ed.), IAS/Park City Math.
  Series, vol. 3, 1997, pp. 265-340",,,"alg-geom math.AG",,"  Lecture notes from 1993 Park City lectures and 1994 Trento lectures. The
focus of these lectures is on giving a mathematical description of the A-model
and B-model correlation functions on a Calabi--Yau manifold, and a precise
mathematical conjecture relating these for a pair of mirror manifolds.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 21:55:05 GMT""},{""version"":""v2"",""created"":""Sat, 26 Oct 1996 19:18:54 GMT""}]","2009-09-25"
"astro-ph/9609181","Stephen S. Eikenberry","Stephen S. Eikenberry and Giovanni G. Fazio","Time Evolution and the Nature of the Near-Infrared Jets in GRS1915+105","10 pages, 3 figures; submitted to ApJ Letters",,"10.1086/310450",,"astro-ph",,"  We observed the galactic microquasar GRS1915+105 in the K ($2.2 \mu$m) band
on October 16 and 17, 1995 UTC using the COB infrared (IR) imager on the Kitt
Peak National Observatory 2.1-m telescope with a 0.2-arcsec/pixel plate scale
and under good ($\sim 0.7$-arcsec) seeing conditions. Using a neighboring star
in the image frames to determine the point spread function (PSF), we
PSF-subtract the images of GRS1915+105. We find no evidence of extended
emission such as the apparent near-IR jets seen by Sams et al. (1996) in July,
1995. Simple modelling of the star + jet structure allows us to place an upper
limit on any similar emission at that position of $K>16.4$ at the 95%
confidence level, as compared to $K=13.9$ as seen by Sams et al. (1996). This
lack of extended IR flux during continued hard X-ray flaring activity confirms
the hypothesis that the extended IR emission arises from the superluminal
radio-emitting jets rather than reprocessing of the X-ray emission on other
structures around the compact central object. Given the large apparent velocity
of the radio-emitting jets, by the time of our observations the Sams et al.
feature would have moved $>1$ arcsec from GRS1915+105, and we can place a limit
of $K>17.7$ (95% confidence level) on any infrared emission in this region. We
can thus place an upper limit on the radiative timescale of the feature of
$\tau < 25$ days, which is consistent with synchrotron jet emission.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 18:40:50 GMT""}]","2016-08-30"
"astro-ph/9609184","Daniele Galli","D. Galli, L. Stanghellini, M. Tosi, F. Palla","3He in Planetary Nebulae: A Challenge to Stellar Evolution Models","13 pages, LaTeX, 4 Figures. To be published in The Astrophysical
  Journal",,"10.1086/303708","Arcetri Preprints 28/96","astro-ph",,"  The discrepancy between the observed abundances of 3He in the ISM and those
predicted by stellar and galactic chemical evolution remains largely
unexplained. In this paper, we attempt to shed some light on this unsolved
problem by presenting a quantitative comparison of the 3He abundances recently
measured in six planetary nebulae (PNe) with the corresponding predictions of
stellar evolution theory. The determination of the mass of the PNe progenitors
allows us to dismiss, to a good degree of confidence, the hypothesis that the
abundance of 3He in the envelope of all low-mass stars is strongly reduced with
respect to the standard theoretical values by some mixing mechanism acting in
the latest phases of stellar evolution. The abundance versus mass correlation,
allowance made for the limitation of the sample, is in fact found to be fully
consistent with the classical prediction of stellar evolution. We examine the
implications of this result on the galactic evolution of 3He with the help of a
series of models with standard and non-standard nucleosynthesis prescriptions.
The results are found to be consistent with the observed galactic abundances
only if the vast majority of low-mass stars follows non-standard prescriptions.
This implies that either the sample of PNe nebulae under exam is highly biased,
or the solution to the 3He problem lies elsewhere.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 16:28:07 GMT""}]","2009-10-28"
"astro-ph/9609186","Big Bad Bob","L. Piccirillo, B. Femenia, N. Kachwala, R. Rebolo, M. Limon, C. M.
  Guttierrez, J. Nicholas, R. K. Schaefer, and R. A. Watson (Bartol Research
  Institute, Instituto de Astrofisica, & Jodrell Bank)","Millimetric Ground-based Observations of Cosmic Microwave Background
  Anisotropy","uuencoded, g-zipped tar file containing a 14 page (AASTEX) LaTEX file
  with 3 PostScript figures. Revision: Minor revisions made; this is the verion
  which will appear in Astroph. J. Lett",,"10.1086/310471",,"astro-ph",,"  First results of a Cosmic Microwave Background (CMB) anisotropy experiment
conducted at the Observatorio del Teide (Tenerife, Spain) are presented. The
instrument is a four channel (3.1, 2.1, 1.3 and 1.1 mm) $^3$He bolometer system
coupled to a 45 cm diameter telescope. The resultant configuration is sensitive
to structures on angular scales ~ 1-2 degrees. We use the channels at the two
highest frequencies for monitoring the atmosphere, and apply a simple method to
subtract this contribution in channels 1 (3.1 mm) and 2 (2.1 mm). The most
intense structure at these two frequencies is the Galactic crossing with peak
amplitudes of ~ 350 micro-K. These crossings have been clearly detected with
the amplitude and shape predicted. This demonstrates that our multifrequency
observations allow an effective assessment and subtraction of the atmospheric
contribution. In the section of data at high Galactic latitude we obtain
sensitivities ~ 40 micro-K per beam. The statistical analyses show the presence
of common signals between channels 1 and 2. Assuming a simple Gaussian
auto-correlation model with a scale of coherence $\theta_c=1.32$ degrees for
the signal, a likelihood analysis of this section of data reveals the presence
of fluctuations with intrinsic amplitude $C_{0}^{1/2} = 76^{+43}_{-32}$ micro
-K (68 % CL including a ~ 20% calibration uncertainty). Since residual
atmospheric noise might still contaminate our results, we also give our result
as an upper limit of 118 micro-K at 95% c.l.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 17:58:02 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 1996 21:01:57 GMT""},{""version"":""v3"",""created"":""Wed, 2 Oct 1996 18:05:28 GMT""},{""version"":""v4"",""created"":""Wed, 4 Dec 1996 21:20:38 GMT""}]","2009-10-28"
"astro-ph/9609187","Draza","D. Markovic and J. Sommer-Larsen (Theoretical Astrophysics Center,
  Copenhagen)","Microlensing, structure of the galactic halo and determination of dark
  objects' mass function","MNRAS LaTeX style, 14 pages, 11 figures embedded; some changes in the
  estimates of the last section; a few references added. Also available from
  http://www.tac.dk/~draza/papers/macho1.ps.Z",,"10.1093/mnras/288.3.733","1996-024","astro-ph",,"  We study the accuracy of inference of the massive halo objects' (MHO or
`Macho') mass function from microlensing events observed toward LMC. Assuming
the spatial distribution and kinematics of the objects are known, the slope and
the range of the MHO mass function (modeled here by a simple power law) will be
possible to determine from 100-1000 detected events if the slope \alpha is in
the range [-2.5, -0.5], with the statistical errors reaching their minima at
\alpha =-1.5. Outside this range the errors grow rapidly making the inference
difficult even at very large numbers of events (N\approx 10000). On the other
hand, the average mass of the MHOs will be determined to better than about 30%
accuracy from N\approx 100 events for any slope. We find that the accuracy of
inference at fixed N will not be strongly affected by the presently available
detection efficiencies if the typical MHO masses are in the range indicated by
the events detected so far.
  We also estimate the effects of uncertainty of the MHOs' spatial distribution
and kinematics on the determination of their mass function. The halo models
considered are all spherical but we allow for various density profiles and a
radius-dependent, anisotropic velocity dispersion. We find that, while the mass
function slope and range are weakly affected for -2 < \alpha < 0, the error in
the average mass due to the halo uncertainties could be reduced to less than
50% only through the detection of about 1000 or more events. Reliable estimates
of the halo structure itself [density profile and velocity dispersion profile]
can start only at very large numbers of detections (N ~ 10000).
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 21:27:27 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 1996 01:57:22 GMT""},{""version"":""v3"",""created"":""Fri, 13 Dec 1996 03:00:55 GMT""}]","2015-06-24"
"astro-ph/9609188","Esther Hu","Esther M. Hu (Univ. of Hawaii, IfA), Richard G. McMahon (IoA,
  Cambridge), and Eiichi Egami (MPE, Garching, Germany)","Galaxies at z>4.5","LaTeX file, 4 pages, 1 gif file substituted for encapsulated
  gray-scale image (Fig 1); hx37_latex.sty and overcite.sty files included. To
  appear in the proceedings of the 37th Herstmonceux conference, ""HST and the
  High Redshift Universe""","HST and the High Redshift Universe, N.R. Tanvir, A.
  Arag\'un-Salamanca and J.V. Wall (eds.) World Scientific (1997) 91-94",,"IfA-96-55","astro-ph",,"  We present the results of ground-based and HST imaging studies targeted on
z>4.5 quasar fields. High-redshift galaxies identified in deep narrow-band
Lyman alpha images of the fields surrounding the quasars BR1202-0725 (z=4.694)
and BR2237-0607 (z=4.558) have been confirmed with follow-up spectroscopy using
the LRIS spectrograph on the Keck 10m telescope. These high-redshift galaxies
are typically only moderately luminous objects and their sub-L* magnitudes
imply star formation rates of only a few solar masses per year. For BR1202-0725
tip-tilt imaging in Lyman alpha at the UH 2.2m telescope and deep narrow-band
IR imaging in [OII] at CFHT reveals a complex and structured system which may
be merging to produce the host galaxy of the quasar. For BR2237-0607 the
Lyman-alpha-emitting galaxies show the strong Lyman alpha emission and weak
continuum expected for objects before substantial chemical enrichment and
consequent dust formation and extinction has occurred. These objects appear to
be galaxies in their first outburst of star formation.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 04:54:20 GMT""}]","2007-05-23"
"astro-ph/9609189","Bruno M. Deiss","B. M. Deiss (1), W. Reich (2), H. Lesch (3), R. Wielebinski (2) ((1)
  University of Frankfurt, (2) MPIfR, Bonn, (3) University of Munich)","The large-scale structure of the diffuse radio halo of the Coma cluster
  at 1.4 GHz","10 pages, 4 figures (Figs 1-2 as GIF files, Figs 3-4 as encapsulated
  PostScript for embedding in LaTeX file), A&A LaTeX, accepted by A&A on August
  9, 1996",,,,"astro-ph",,"  We present new measurements of the diffuse radio emission from the Coma
cluster of galaxies at 1.4 GHz using the Effelsberg 100-m-telescope. The halo
source Coma C has an extent down to noise of about 80 arcmin corresponding to 3
Mpc (H_0 = 50 km/s/Mpc) in Coma. The radio map reveals clear similarities with
images of the extended X-ray halo of the Coma cluster. After subtracting the
contributions from point sources we obtained an integrated diffuse flux density
of S = 640 +- 35 mJy from Coma C. We derive relations between the various
observationally determined spectral indices and the spectral index of the
synchrotron emissivity, which allow one to achieve a rough estimate concerning
the consistency of the presently available data at different frequencies and to
place constraints on the emissivity index distribution. In the halo's core
region, the inferred emissivity index between 0.3 GHz and 1.4 GHz appears to be
in the range 0.4 - 0.75 implying that there must be some very effective
mechanism for particle acceleration operating in the intracluster medium.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 08:37:55 GMT""}]","2007-05-23"
"astro-ph/9609190","Torsten Ensslin","T.A. Ensslin (1), P.L. Biermann (1), P.P. Kronberg (2), X.-P. Wu (3)
  ((1) MPIfR Bonn, (2) Dep. of Astr., Univ. Toronto, (3) BAO CAS Beijing)","Cosmic Ray Protons and Magnetic Fields in Clusters of Galaxies and their
  Cosmological Consequences","Accepted by ApJ, 16 pages, LaTeX, 2 figures, epsfig.sty, aaspp4.sty","Astrophys.J. 477 (1997) 560","10.1086/303722",,"astro-ph",,"  The masses of clusters of galaxies estimated by gravitational lensing exceed
in many cases the mass estimates based on hydrostatic equilibrium. This may
suggest the existence of nonthermal pressure. We ask if radio galaxies can heat
and support the cluster gas with injected cosmic ray protons and magnetic field
densities, which are permitted by Faraday rotation and gamma ray observations
of clusters of galaxies. We conclude that they are powerful enough to do this
within a cluster radius of roughly 1 Mpc. If present, nonthermal pressures
could lead to a revised estimate of the ratio of baryonic mass to total mass,
and the apparent baryonic overdensity in clusters would disappear. In
consequence, $\Omega_{\rm cold}$, the clumping part of the cosmological density
$\Omega_{o}$, would be larger than $0.4\,h_{50}^{-1/2}$.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 13:56:04 GMT""}]","2009-10-28"
"chao-dyn/9610001","Greg Eyink","Gregory L. Eyink (University of Arizona)","Fluctuations in the Irreversible Decay of Turbulent Energy","26 pages, Latex Version 2.09, plus seceq.sty, a stylefile for
  sequential numbering of equations by section. This version includes new
  discussion of the physical interpretation of the formal Rayleigh-Ritz
  approximation. The title is also changed","Phys. Rev. E 56 (1997) 5413-5422","10.1103/PhysRevE.56.5413",,"chao-dyn nlin.CD",,"  A fluctuation law of the energy in freely-decaying, homogeneous and isotropic
turbulence is derived within standard closure hypotheses for 3D incompressible
flow. In particular, a fluctuation-dissipation relation is derived which
relates the strength of a stochastic backscatter term in the energy decay
equation to the mean of the energy dissipation rate. The theory is based on the
so-called ``effective action'' of the energy history and illustrates a
Rayleigh-Ritz method recently developed to evaluate the effective action
approximately within probability density-function (PDF) closures. These
effective actions generalize the Onsager-Machlup action of nonequilibrium
statistical mechanics to turbulent flow. They yield detailed, concrete
predictions for fluctuations, such as multi-time correlation functions of
arbitrary order, which cannot be obtained by direct PDF methods. They also
characterize the mean histories by a variational principle.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 10:01:49 GMT""},{""version"":""v2"",""created"":""Sun, 25 Jan 1998 06:12:58 GMT""}]","2009-10-28"
"cond-mat/9609256","George Kastrinakis","George Kastrinakis (University of Illinois - Urbana)","On the Normal State of the High Temperature Superconductors","4 pages, latex",,,,"cond-mat",,"  Based on a Fermi liquid model, we present several results on the normal state
of the optimally doped and overdoped cuprate superconductors. Our main result
is an analytic demonstration, backed by self-consistent numerical calculations,
of the linear in temperature resistivity and linear in 1/(energy) optical
conductivity, provided the interacting Fermi liquid has strong peaks in its
density of states (van-Hove singularities in 2 dimensions) near the chemical
potential. Moreover, we find that the interactions tend to pin these strong
peaks close to the chemical potential. This fact compares favorably with
experiment on a variety of cuprates. Finally, we show that the above scenario
yields naturally the low energy dependence of the experimentally determined
susceptibility, without reference to spin waves.
","[{""version"":""v1"",""created"":""Thu, 26 Sep 1996 19:09:10 GMT""}]","2007-05-23"
