"astro-ph/9609191","Kazushi Iwasawa","K. Iwasawa, A.C. Fabian, S. Ueno, H. Awaki, Y. Fukazawa, K.
  Matsushita, K. Makishima","ASCA PV observations of the Seyfert 2 galaxy NGC 4388: the obscured
  nucleus and its X-ray emission","9 pages, 5 Postscript figures, to be published in MNRAS",,"10.1093/mnras/285.4.683",,"astro-ph",,"  We present results on the Seyfert 2 galaxy NGC4388 in the Virgo cluster
observed with ASCA during its PV phase. The 0.5-10 keV X-ray spectrum consists
of multiple components; (1) a continuum component heavily absorbed by a column
density NH = 4E23 cm-2 above 3 keV; (2) a strong 6.4 keV line (EW = 500 eV);
(3) a weak flat continuum between 1 and 3 keV; and (4) excess soft X-ray
emission below 1 keV. The detection of strong absorption for the hard X-ray
component is firm evidence for an obscured active nucleus in this Seyfert 2
galaxy. The absorption corrected X-ray luminosity is about 2E42 erg/s. This is
the first time that the fluorescent iron-K line has been detected in this
object. The flat spectrum in the intermediate energy range may be a scattered
continuum from the central source. The soft X-ray emission below 1 keV can be
thermal emission from a temperature kT = 0.5 keV, consistent with the spatially
extended emission observed by ROSAT HRI. However, the low abundance (0.05 Zs)
and high mass flow rate required for the thermal model and an iron-K line
stronger than expected from the obscuring torus model are puzzling. An
alternative consistent solution can be obtained if the central source was a
hundred times more luminous over than a thousand years ago. All the X-ray
emission below 3 keV is then scattered radiation.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 17:03:36 GMT""}]","2015-06-24"
"atom-ph/9609001","Konrad Banaszek","Konrad Banaszek (Imperial College, London), Krzysztof Wodkiewicz
  (University of New Mexico, Albuquerque)","Operational Theory of Homodyne Detection","7 pages, REVTeX","Phys. Rev. A 55, 3117 (1997)","10.1103/PhysRevA.55.3117",,"atom-ph physics.atom-ph quant-ph",,"  We discuss a balanced homodyne detection scheme with imperfect detectors in
the framework of the operational approach to quantum measurement. We show that
a realistic homodyne measurement is described by a family of operational
observables that depends on the experimental setup, rather than a single field
quadrature operator. We find an explicit form of this family, which fully
characterizes the experimental device and is independent of a specific state of
the measured system. We also derive operational homodyne observables for the
setup with a random phase, which has been recently applied in an ultrafast
measurement of the photon statistics of a pulsed diode laser. The operational
formulation directly gives the relation between the detected noise and the
intrinsic quantum fluctuations of the measured field. We demonstrate this on
two examples: the operational uncertainty relation for the field quadratures,
and the homodyne detection of suppressed fluctuations in photon statistics.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 16:46:53 GMT""}]","2009-10-28"
"chao-dyn/9610002","Henryk Fuks","N. Boccara, H. Fuks, S. Geurten","A New Class of Automata Networks","Uses elsart.cls document class. Five figures (two in EPS format)","Physica D 103 (1997) 145-154","10.1016/S0167-2789(97)00257-1",,"chao-dyn nlin.CD",,"  A new class of automata networks is defined. Their evolution rules are
determined by a probability measure p on the set of all integers Z and an
indicator function I_A on the interval [0,1]. It is shown that any cellular
automaton rule can be represented by a (nonunique) rule formulated in terms of
a pair (p,I_A). This new class of automata networks contains discrete systems
which are not cellular automata. Some of their properties are discussed.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 20:25:06 GMT""}]","2009-10-28"
"chem-ph/9609002","Don Frantz","Don D. Frantz (Department of Chemistry, University of Waterloo,
  Waterloo, Canada)","A Computational Study of Thirteen-atom Ar-Kr Cluster Heat Capacities","46 pages, 13 Figures combined in 2 .gif files, Journal of Chemical
  Physics, AIP ID number 508646JCP",,"10.1063/1.472834",,"chem-ph physics.chem-ph",,"  Heat capacity curves as functions of temperature were calculated using Monte
Carlo methods for the series of Ar_{13-n}Kr_n clusters (0 <= n <= 13). The
clusters were modeled classically using pairwise additive Lennard-Jones
potentials. J-walking (or jump-walking) was used to overcome convergence
difficulties due to quasiergodicity present in the solid-liquid transition
regions, as well as in the very low temperature regions where heat capacity
anomalies arising from permutational isomers were observed. Substantial
discrepancies between the J-walking results and the results obtained using
standard Metropolis Monte Carlo methods were found. Results obtained using the
atom-exchange method, another Monte Carlo variant designed for multi-component
systems, were mostly similar to the J-walker results. Quench studies were also
done to investigate the clusters' potential energy surfaces; in each case, the
lowest energy isomer had an icosahedral-like symmetry typical of homogeneous
thirteen-atom rare gas clusters, with an Ar atom being the central atom.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 22:33:47 GMT""}]","2009-10-28"
"cond-mat/9609269","Marc Gabay","M. Benakli, H. Zheng, M. Gabay","Thermal excitations of frustated XY spins in two dimensions","32 pages, RevTex, 11 eps figures available upon request, article to
  appear in Phys. Rev. B","Phys.Rev. B55 (1997) 278-290","10.1103/PhysRevB.55.278",,"cond-mat",,"  We present a new variational approach to the study of phase transitions in
frustrated 2D XY models. In the spirit of Villain's approach for the
ferromagnetic case we divide thermal excitations into a low temperature long
wavelength part (LW) and a high temperature short wavelength part (SW). In the
present work we mainly deal with LW excitations and we explicitly consider the
cases of the fully frustrated triangular (FFTXY) and square ( FFSQXY) XY
models. The novel aspect of our method is that it preserves the coupling
between phase (spin angles) and chiral degrees of freedom. LW fluctuations
consist of coupled phase and chiral excitations. As a result, we find that for
frustrated systems the effective interactions between phase variables is long
range and oscillatory in contrast to the unfrustrated problem. Using Monte
Carlo (MC) simulations we show that our analytical calculations produce
accurate results at all temperature $T$; this is seen at low $T$ in the spin
wave stiffness constant and in the staggered chirality; this is also the case
near $T_c$: transitions are driven by the SW part associated with domain walls
and vortices, but the coupling between phase and chiral variables is still
relevant in the critical region. In that regime our analytical results yield
the correct $T$ dependence for bare couplings (given by the LW fluctuations)
such as the Coulomb gas temperature $T_{CG}$ of the frustrated XY models . In
particular we find that $T_{CG}$ tracks chiral rather than phase fluctuations.
Our results provides support for a single phase transition scenario in the
FFTXY and FFSQXY models.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 16:36:17 GMT""}]","2009-10-28"
"cond-mat/9609271","Felix Ritort","Silvio Franz and Felix Ritort","Relaxation processes and entropic traps in the Backgammon model","4 Pages including 3 Figures, Revtex",,"10.1088/0305-4470/30/11/003","ITFA-96-39 (Institute of Theoretical Physics, University of
  Amsterdam, The Netherlands)","cond-mat",,"  We examine the density-density correlation function in a model recently
proposed to study the effect of entropy barriers in glassy dynamics. We find
that the relaxation proceeds in two steps with a fast beta process followed by
alpha relaxation. The results are physically interpreted in the context of an
adiabatic approximation which allows to separate the two processes, and to
define an effective temperature in the off-equilibrium dynamics of the model.
We investigate the behavior of the response function associated to the density,
and find violations of the fluctuation dissipation theorem.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 16:52:11 GMT""}]","2009-10-28"
"cond-mat/9609272","Boris Shraiman","Alain Pumir (Institut Non Lineaire de Nice), Boris I. Shraiman (Bell
  Laboratories), Eric D. Siggia (Cornell University)","On the Kraichnan Model of Passive Scalar Advection Near the Batchelor
  limit",,,,,"cond-mat",,"  The third order correlation function of the scalar field advected by a
Gaussian random velocity, with a spatial scaling exponent $2 - \epsilon$, and
in the presence of a mean gradient, is calculated perturbatively in $\epsilon
<< 1$. This expansion corresponds to the regime close to Batchelor's advection
by linear diffeomorphisms. The scaling exponent is found to be equal to 1 in
dimensions 2 and 3, up to corrections smaller than $ { \cal O } ( \epsilon ) $,
implying an anomalous scaling of the third order correlation function and the
persistence of small scale anisotropy.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 18:24:38 GMT""}]","2007-05-23"
"cond-mat/9609273","Kenji Andrew Matsuoka","K.A. Matsuoka, K.K. Likharev, P. Dresselhaus, L. Ji, S. Han, and J.
  Lukens (State University of New York, Stony Brook)","Single-Electron Traps: A Quantitative Comparison of Theory and
  Experiment","17 pages, 21 figures, RevTex, epsf",,"10.1063/1.364278",,"cond-mat",,"  We have carried out a coordinated experimental and theoretical study of
single-electron traps based on submicron aluminum islands and aluminum oxide
tunnel junctions. The results of geometrical modeling using a modified version
of MIT's FastCap were used as input data for the general-purpose
single-electron circuit simulator MOSES. The analysis indicates reasonable
quantitative agreement between theory and experiment for those trap
characteristics which are not affected by random offset charges. The observed
differences between theory and experiment (ranging from a few to fifty percent)
can be readily explained by the uncertainty in the exact geometry of the
experimental nanostructures.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 19:33:50 GMT""}]","2009-10-28"
"cond-mat/9609274","Laszlo Mihaly","Vladimir Golovanov, Laszlo Mihaly and A. R. Moodenbaugh","Magnetoresistance in La(1-x)SrxCoO3 for 0.05 - x - 0.25","4 pages, 3 figures. Also available at
  http://buckminster.physics.sunysb.edu/papers/pubrece.htm","Phys. Rev. B, Vol 53, p. 8207 (1996)","10.1103/PhysRevB.53.8207",,"cond-mat",,"  The dc resistivity, magnetoresistance and magnetic susceptibility of
La(1-x)SrxCoO3 compounds have been investigated in the temperature range of 4K
to 300K for magnetic fields up to 7 T. In the doping range studied (0.05 - x -
0.25) the electronic properties of the material exhibit a crossover from
semiconducting to metallic behavior. The magnetoresistance is highest in the
semiconducting state. A correlation was found between the energy gap determined
from the dc conductivity and the energy scale identified from neutron
scattering data. The results are interpreted in terms of a double exchange
model.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 21:17:48 GMT""}]","2009-10-28"
"cond-mat/9609275",,"F. Marsiglio (Chalk River/McMaster)","Evaluation of the BCS Approximation for the Attractive Hubbard Model in
  One Dimension","25 pages, 5 Postscript figures",,"10.1103/PhysRevB.55.575",,"cond-mat",,"  The ground state energy and energy gap to the first excited state are
calculated for the attractive Hubbard model in one dimension using both the
Bethe Ansatz equations and the variational BCS wavefunction. Comparisons are
provided as a function of coupling strength and electron density. While the
ground state energies are always in very good agreement, the BCS energy gap is
sometimes incorrect by an order of magnitude, particularly at half-filling.
Finite size effects are also briefly discussed for cases where an exact
solution in the thermodynamic limit is not possible. In general, the BCS result
for the energy gap is poor compared to the exact result.
","[{""version"":""v1"",""created"":""Fri, 27 Sep 1996 21:44:48 GMT""}]","2009-10-28"
"cond-mat/9609276","Frank Milde","Frank Milde, Rudolf A. R\""omer, and Michael Schreiber (TU-Chemnitz)","Multifractal analysis of the metal-insulator transition in anisotropic
  systems","25 RevTeX pages with 10 PS-figures included","Phys. Rev. B 55, 9463-9469 (1997)","10.1103/PhysRevB.55.9463","SFB393/96-13","cond-mat",,"  We study the Anderson model of localization with anisotropic hopping in three
dimensions for weakly coupled chains and weakly coupled planes. The eigenstates
of the Hamiltonian, as computed by Lanczos diagonalization for systems of sizes
up to $48^3$, show multifractal behavior at the metal-insulator transition even
for strong anisotropy. The critical disorder strength $W_c$ determined from the
system size dependence of the singularity spectra is in a reasonable agreement
with a recent study using transfer matrix methods. But the respective spectrum
at $W_c$ deviates from the ``characteristic spectrum'' determined for the
isotropic system. This indicates a quantitative difference of the multifractal
properties of states of the anisotropic as compared to the isotropic system.
Further, we calculate the Kubo conductivity for given anisotropies by exact
diagonalization. Already for small system sizes of only $12^3$ sites we observe
a rapidly decreasing conductivity in the directions with reduced hopping if the
coupling becomes weaker.
","[{""version"":""v1"",""created"":""Sat, 28 Sep 1996 12:18:18 GMT""}]","2016-08-15"
