"adap-org/9610001","Henri Waelbroeck","S. Vera and H. Waelbroeck","Symmetry Breaking and Adaptation: The Genetic Code of Retroviral Env
  Proteins","Some typos and presentation problems have been corrected",,,,"adap-org nlin.AO q-bio",,"  Although several synonymous codons can encode the same aminoacid, this
symmetry is generally broken in natural genetic systems. In this article, we
show that the symmetry breaking can result from selective pressures due to the
violation of the synonym symmetry by mutation and recombination. We conjecture
that this enhances the probability to produce mutants that are well-adapted to
the current environment. Evidence is found in the codon frequencies of the HIV
{\it env} protein: the codons most likely to mutate and lead to new viruses
resistant to the current immunological attack, are found with a greater
frequency than their less mutable synonyms.
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 22:57:09 GMT""},{""version"":""v2"",""created"":""Wed, 9 Oct 1996 00:16:53 GMT""}]","2008-02-03"
"alg-geom/9610001","Sacha Sardo Infirri","Alexander V. Sardo Infirri","Crepant Terminalisations and Orbifold Euler Numbers for SL(4)
  Singularities","LaTex2e, 22 pages with 1 table",,,,"alg-geom math.AG",,"  Let $X$ and $Y$ be two analytic canonical Gorenstein orbifolds. A resolution
of singularities $Y\to X$ is called an Euler resolution if $Y$ and $X$ have the
same orbifold Euler number. If $Y$ is only terminal rather than smooth, it is
called an Euler terminalisation. It is proved that Euler terminalisations exist
for toric varieties in any dimension, for 4-dimensional toroidal varieties, and
for singularities $\C^4/G$ where $G$ belongs to certain classes of $\SL(4)$
subgroups. The method of proof is expected to be applicable to a sizeable
number of finite $\SL(4)$ subgroups and to lead to a generalisation of the
Dixon-Harvey-Vafa-Witten orbifold Euler number conjecture to dimension~4.
","[{""version"":""v1"",""created"":""Tue, 1 Oct 1996 02:48:18 GMT""}]","2008-02-03"
"astro-ph/9609199","Cristina Chiappini","C. Chiappini, F. Matteucci, R. Gratton","The Chemical Evolution of the Galaxy: the two-infall model","48 pages, 20 Postscript figures, AASTex v.4.0, to be published in
  Astrophysical Journal","Astrophys.J. 477 (1997) 765","10.1086/303726","SISSA preprint 137/96/A","astro-ph",,"  In this paper we present a new chemical evolution model for the Galaxy which
assumes two main infall episodes for the formation of halo-thick disk and thin
disk, respectively. We do not try to take into account explicitly the evolution
of the halo but we implicitly assume that the timescale for the formation of
the halo was of the same order as the timescale for the formation of the thick
disk. The formation of the thin-disk is much longer than that of the thick
disk, implying that the infalling gas forming the thin-disk comes not only from
the thick disk but mainly from the intergalactic medium. The timescale for the
formation of the thin-disk is assumed to be a function of the galactocentric
distance, leading to an inside-out picture for the Galaxy building. The model
takes into account the most up to date nucleosynthesis prescriptions and adopts
a threshold in the star formation process which naturally produces a hiatus in
the star formation rate at the end of the thick disk phase, as suggested by
recent observations. The model results are compared with an extended set of
observational constraints. Among these constraints, the tightest one is the
metallicity distribution of the G-dwarf stars for which new data are now
available. Our model fits very well these new data. We show that in order to
reproduce most of these constraints a timescale $\le 1$ Gyr for the
(halo)-thick-disk and of 8 Gyr for the thin-disk formation in the solar
vicinity are required. We predict that the radial abundance gradients in the
inner regions of the disk ($R< R_{\odot}$) are steeper than in the outer
regions, a result confirmed by recent abundance determinations, and that the
inner ones steepen in time during the Galactic lifetime.
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 17:11:38 GMT""}]","2009-10-28"
"astro-ph/9609201","Steve Allen","S.W. Allen, A.C. Fabian, A.C. Edge, M.W. Bautz, A. Furuzawa, Y.Tawara","ASCA and ROSAT observations of distant massive cooling flows","MNRAS in press. 21 pages, 14 figures in MNRAS LaTex style. Full
  verison with encapsulated postscript images available at
  http://www.ast.cam.ac.uk/astro/preprint/July96.html",,"10.1093/mnras/283.1.263",,"astro-ph",,"  We present the results from a detailed ASCA/ROSAT X-ray study of three
distant, massive cooling flows; Zwicky 3146 (z=0.291), Abell 1835 (z=0.252) and
E1455+223 (Zwicky 7160; z=0.258). Using multiphase models fitted to the ASCA
spectra, we determine values for the temperature, metallicity, luminosity and
cooling rates in the clusters. These results are combined with deprojection
analyses of the ROSAT images to provide detailed constraints on the mass
distributions in the systems, and on the properties of their cooling flows. The
spectral and imaging data identify these clusters as the three most-massive
cooling flows known, with mass deposition rates of ~ 1400, 2300, and 1500 solar
masses per year, respectively. We highlight the need for multiphase models to
consistently model the spectral and imaging X-ray data, and discuss the
importance of using these models in X-ray determinations of the cluster masses.
We also present results from an extensive optical study of the clusters and
report the discovery of a gravitational arc in Abell 1835. The lensing data
provide an indepenent constraint on the distribution of mass in the cluster, in
good agreement with the results from the mutliphase (although not single-phase)
X-ray analysis. We present measurements of the galaxy distributions in Abell
1835 and E1455+223 and relate these to the distributions of the total mass. The
ASCA spectra place firm constraints on the column density of intrinsic X-ray
absorbing material in the clusters. Abell 1835 and E1455+223 exhibit large
intrinsic column densities associated with their cooling flows. These clusters
also exhibit significant amounts of reddening in the optical spectra of their
central galaxies. The data for Zwicky 3146 indicate lower lower levels of X-ray
absorption and reddening. All three clusters exhibit excellent alignment
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 18:00:36 GMT""}]","2015-06-24"
"astro-ph/9609202","Aaron J. Romanowsky","Aaron J. Romanowsky and Christopher S. Kochanek (Harvard-Smithsonian
  Center for Astrophysics)","Structural and dynamical uncertainties in modeling axisymmetric
  elliptical galaxies","20 pages, 8 Postscript figures, LaTeX, aaspp4.sty, submitted to
  MNRAS; paper w/figs (600 kb) also available at
  http://cfa-www.harvard.edu/~romanow/ell.mn.ps.gz GIF-format figures replaced
  by PostScript",,"10.1093/mnras/287.1.35",,"astro-ph",,"  Quantitative dynamical models of galaxies require deprojecting the observed
surface brightness to determine the luminosity density of the galaxy. Existing
deprojection methods for axisymmetric galaxies assume that a unique
deprojection exists for any given inclination, even though the projected
density is known to be degenerate to the addition of ""konus densities"" that are
invisible in projection. We develop a deprojection method based on linear
regularization that can explore the range of luminosity densities statistically
consistent with an observed surface brightness distribution. The luminosity
density is poorly constrained at modest inclinations (i > ~30 deg), even in the
limit of vanishing observational errors. In constant mass-to-light ratio,
axisymmetric, two-integral dynamical models, the uncertainties in the
luminosity density result in large uncertainties in the meridional plane
velocities. However, the projected line-of-sight velocities show variations
comparable to current typical observational uncertainties.
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 19:30:24 GMT""},{""version"":""v2"",""created"":""Tue, 1 Oct 1996 21:35:53 GMT""}]","2015-06-24"
"astro-ph/9609203",,"D. Montes (1), E.L. Martin (2), M.J. Fernandez-Figueroa (1), M.
  Cornide (1), E. De Castro (2) ((1) Dept. Astrofisica UCM, (2) Instituto de
  Astrofisica de Canarias)","Library of high and mid-resolution spectra in the CaII H & K, H{alpha},
  H{beta}, NaI D{1}, D{2}, and HeI D{3} line regions of F, G, K and M field
  stars","14 pages, latex file using psfig.sty and A&AS laa-s.sty, 7 PostScript
  figures. Full postscript (text and figures) and the spectra in both FITS and
  ASCII formats available at http://www.ucm.es/OTROS/Astrof/fgkmsl/fgkmsl.html
  Accepted for publication in 'Astronomy and Astrophysics Suppl. Ser.'",,"10.1051/aas:1997170",,"astro-ph",,"  In this work we present spectroscopic observations centered in the spectral
lines most widely used as optical indicators of chromospheric activity
(H{alpha}, H{beta}, Ca II H & K, and He I D{3}) in a sample of F, G, K and M
chromospherically inactive stars. The spectra have been obtained with the aim
of providing a library of high and mid-resolution spectra to be used in the
application of the spectral subtraction technique to obtain the
active-chromosphere contribution to these lines in chromospherically active
single and binary stars. This library can also be used for spectral
classification purposes. A digital version with all the spectra is available
via ftp and the World Wide Web (WWW) in both ASCII and FITS formats
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 19:34:08 GMT""}]","2009-10-28"
"astro-ph/9609204",,"Myeong-Gu Park (Kyungpook National University, KOREA)","Gravitational Lensing Statistics in a Flat Universe","14 pages, 3 Postscript figures, uses REVTEX. To appear in the Journal
  of Korean Physical Society","J.KoreanPhys.Soc.29:664-670,1996",,,"astro-ph",,"  The probability distribution of lens image separations is calculated for the
``standard'' gravitational lensing statistics model in an arbitrary, flat
Robertson-Walker universe, where lensing galaxies are singular isothermal
spheres that follow the Schechter luminosity function. In a flat universe, the
probability distribution is independent of the source distribution in space and
in brightness. The distribution is compared with observed multiple-image lens
cases through Monte-Carlo simulations and the Kolmogorov-Smirnov test. The
predicted distribution depends on the shape of the angular selection bias used,
which varies for different observations. The test result also depends on which
lens systems are included in the samples. We mainly include the lens systems
where a single galaxy is responsible for lensing. We find that the ``standard''
model predicts a distribution which is different from the observed one.
However, the statistical significance of the discrepancy is not large enough to
invalidate the ``standard'' model with high confidence. Only the radio data
reject the model at the 95% confidence level, which is based on four/three lens
cases. Therefore, we cannot say that the observational data reject the
``standard'' model with enough statistical confidence. However, if we take the
velocity dispersion of dark matter without the conversion factor (3/2)^(1/2)
from that of luminous matter, the discrepancy is quite severe, and even the
ground-based optical survey data reject the ``standard'' model with > ~90%
confidence.
","[{""version"":""v1"",""created"":""Mon, 30 Sep 1996 22:04:12 GMT""}]","2008-11-26"
"astro-ph/9610001","Kohji Tomisaka","Kohji Tomisaka (Niigata Univ.)","Accretion in Gravitationally Contracting Clouds","10 pages, latex using PASJ style file (available from
  http://www.tenmon.or.jp/pasj/index-e.html), postscripted text and figures are
  available from http://quasar.ed.niigata-u.ac.jp/docs/Papers/mag3ps.tgz",,"10.1093/pasj/48.5.L97","NIGEDAS-96-02","astro-ph",,"  Accretion flow in a contracting magnetized isothermal cloud was studied using
magnetohydrodynamical simulations and a nested grid technique. First, the
interstellar magnetized cloud experiences a ``runaway collapse'' phase, in
which the central density increases drastically within a finite time scale.
Finally, it enters an accretion phase, in which inflowing matter accretes onto
a central high-density disk or a new-born star. We found that the accretion
rate reaches (4 -- 40) $\times c_s^3/G$, where $c_s$ and $G$ represent the
isothermal sound speed and the gravitational constant, respectively. This is
much larger than the standard accretion rate of $0.975c_s^3/G$ for a
hydrostatic isothermal spherical cloud (Shu 1977, AAA19.065.044). Due to the
effect of an extra infall velocity achieved in the runaway phase ($\sim 2
c_s$), the accretion rate is boosted. This rate declines with time in contrast
to Shu's solution, but keeps $\gtsim 2.5 c_s^3/G$. The observed gas infall rate
around proto-stars such as L1551 IRS 5 and HL Tau is also discussed.
","[{""version"":""v1"",""created"":""Tue, 1 Oct 1996 04:50:12 GMT""}]","2015-06-24"
"astro-ph/9610002",,"B. Czerny (Copernicus Astronomical Center, Warsaw), H.J. Lehto (Turku
  University Observatory, Tuorla)","Testing the X-ray variability of active galactic nuclei with the
  nonlinear prediction method","TeX file, uses epsf.sty and mn.tex, 8 pages, 8 Postscript figures,
  accepted for publication in MNRAS (Sept. 96)",,"10.1093/mnras/285.2.365",,"astro-ph",,"  The analysis of eight EXOSAT X-ray lightcurves of six active galactic nuclei
by nonlinear prediction methods indicates that the observed short time-scale
variability is truly stochastic and is not caused by deterministic chaos. This
result favors X-ray emission models with mutliple centers of production of hot,
possibly relativistic electrons.
","[{""version"":""v1"",""created"":""Tue, 1 Oct 1996 08:09:41 GMT""},{""version"":""v2"",""created"":""Wed, 2 Oct 1996 10:41:48 GMT""}]","2015-06-24"
"astro-ph/9610003","David H. Weinberg","David H. Weinberg","Galaxy Structure, Dark Matter, and Galaxy Formation","To appear in ""Dark and Visible Matter in Galaxies and Cosmological
  Implications,"" eds. M. Persic and P. Salucci, A.S.P. Conference Series. 20
  pages, no figures, LaTex, requires paspconf.sty",,,,"astro-ph",,"  The structure of galaxies, the nature of dark matter, and the physics of
galaxy formation were the interlocking themes of DM 1996: Dark and Visible
Matter in Galaxies and Cosmological Implications. In this conference summary
report, I review recent observational and theoretical advances in these areas,
then describe highlights of the meeting and discuss their implications. I
include as an appendix the lyrics of The Dark Matter Rap: A Cosmological
History for the MTV Generation.
","[{""version"":""v1"",""created"":""Tue, 1 Oct 1996 08:29:13 GMT""}]","2007-05-23"
"astro-ph/9610004","Sergio Campana","S. Campana (Oss. Brera, Milan), S. Mereghetti (IFCTR/CNR, Milan), L.
  Sidoli (IFCTR/CNR, Milan)","Is RXJ1856.5-3754 an old neutron star?","5 pages and 2 figures, tex file, laa+psfig macros. Accepted for
  publication in A&A Main Journal",,,,"astro-ph",,"  An unusual X-ray source, RXJ1856.5-3754, has recently been discovered with
ROSAT: its spectrum resembles that of supersoft sources, but the very high
X-ray to optical flux ratio excludes the presence of a companion star, pointing
to an isolated compact object. It has been proposed that RXJ1856.5-3754 is an
old, isolated neutron star accreting from the interstellar medium. Here we
present a reanalysis of the ROSAT data. The HRI observation reveals an attitude
reconstruction problem, resulting in a larger error box than previously
reported. Deeper optical observations allow us to reveal a few optical
counterparts inside the new error box, but the X-ray to optical flux ratio is
still very high (greater than 20) and none of the candidates has peculiar
colors.
","[{""version"":""v1"",""created"":""Tue, 1 Oct 1996 15:48:56 GMT""}]","2007-05-23"
