"adap-org/9610002","Marek Grabowski","Marek Grabowski and R. E. Camley","Emergent spatial correlations in stochastically evolving populations","11 pages, 4 figures, Adobe PDF format",,"10.1103/PhysRevE.56.3421",,"adap-org cond-mat nlin.AO nlin.PS patt-sol",,"  We study the spatial pattern formation and emerging long range correlations
in a model of three species coevolving in space and time according to
stochastic contact rules. Analytical results for the pair correlation
functions, based on a truncation approximation and supported by computer
simulations, reveal emergent strategies of survival for minority agents based
on selection of patterns. Minority agents exhibit defensive clustering and
cooperative behavior close to phase transitions.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 21:18:02 GMT""}]","2009-10-28"
"adap-org/9610003","George Chapline","George Chapline","Spontaneous Origin of Topological Complexity in Self-Organizing Neural
  Networks","PostScript, 15 pages",,,,"adap-org nlin.AO q-bio",,"  Attention is drawn to the possibility that self-organizing biological neural
networks could spontaneously acquire the capability to carry out sophisticated
computations. In particular it is shown that the effective action governing the
formation of synaptic connections in models of networks of feature detectors
that encorporate Kohonen-like self-organization can spontaneously lead to
structures that are topologically nontrivial in both a 2-dimensional and
4-dimensional sense. It is suggested that the appearance of biological neural
structures with a nontrivial 4-dimensional topology is the fundamental
organizational principle underlying the emergence of advanced cognitive
capabilities.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 23:36:04 GMT""}]","2008-02-03"
"alg-geom/9610004","Sacha Sardo Infirri","Alexander V Sardo Infirri","Partial Resolutions of Orbifold Singularities via Moduli Spaces of
  HYM-type Bundles","LaTex2e, 30 pages with 1 table",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $\Gamma$ be a finite group acting linearly on $\C^n$, freely outside the
origin, and let $N$ be the number of conjugacy classes of $\Gamma$ minus one. A
construction of Kronheimer of moduli spaces $X_\zeta$ of translation-invariant
$\Gamma$-equivariant instantons on $\C^2$ is generalised to $\C^n$. The moduli
spaces $X_\zeta$ depend on a parameter $\zeta\in\Q^N$. The following results
are proved: for $\zeta=0$, $X_0$ is isomorphic to $\C^n/\Gamma$; if $\zeta\neq
0$, the natural maps $X_\zeta\to X_0$ are partial resolutions. The moduli
$X_\zeta$ are furthermore shown to admit K\""ahler metrics which are
Asymptotically Locally Euclidean (ALE). A description of the singularities of
$X_\zeta$ using deformation complexes is given, and is applied in particular to
the case $\Gamma\subset\SU(3)$. It is conjectured that for general $\Gamma$ and
generic $\zeta$ that the singularities of $X_\zeta$ are at most quadratic. When
$\Gamma\subset\SU(3)$ a natural holomorphic 3-form is constructed on the smooth
locus of $X_\zeta$, which is conjectured to be non-vanishing. The morphims
$X_\zeta\to X_0$ are expected to be crepant resolutions and $X_\zeta$ to be
smooth for generic choices of the parameter $\zeta$. Related open problems in
higher-dimensional complex geometry are also mentioned. The paper has a
companion paper which identifies the moduli $X_\zeta$ with representation
moduli of McKay quivers, and describes them completely in the case of abelian
groups.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 06:49:50 GMT""}]","2008-02-03"
"alg-geom/9610005","Sacha Sardo Infirri","Alexander V Sardo-Infirri","Resolutions of Orbifold Singularities and Flows on the McKay Quiver","LaTex2e, 57 pages with 1 table and 19 figures",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $\Gamma$ be a finite group acting linearly on $\C^n$, freely outside the
origin. In previous work a generalisation of Kronheimer's construction of
moduli of Hermitian-Yang-Mills bundles with certain invariance properties was
given. This produced varieties $X_\zeta$ (parameterised by $\zeta\in\Q^N$)
which are partial resolutions of $\C^n/\Gamma$. In this article, it is shown
the same $X_\zeta$ can be described as moduli spaces of representations of the
McKay quiver associated to the action of $\Gamma$. It it shown that, for
abelian groups, $X_\zeta$ are toric varieties defined by convex polyhedra which
are the solution sets for a generalisation of the transportation problem on the
McKay quiver. The generalised transportation problem is solved for an arbitrary
quiver to give a description of the extreme points, faces, and tangent cones to
the solution polyhedra in terms of certain distinguished trees in the quiver.
Applied the McKay quiver, this gives an explicit procedure for calculating
$X_\zeta $, its Euler number, and its singularities for any $\zeta$. The
$\zeta$-parameter-space is thus partitioned into a finite disjoint union of
cones inside which the biregular type of $X_\zeta$ remains constant. Finally,
the example $\C^3/\Z_5$ (weights $1,2,3$) is worked out in detail, and figures
of smooth and singular $X_\zeta$ and their corresponding flows are drawn. A
further example of smooth crepant resolution $X_\zeta$ is drawn for the
singularity ${1/11}(1,4,6)$.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 06:59:13 GMT""}]","2008-02-03"
"astro-ph/9610024","Doug Welch","The MACHO Collaboration: D.L. Welch, C. Alcock, R.A. Allsman, D.R.
  Alves, T.S. Axelrod, A. Becker, D.P. Bennett, K.H. Cook, K.C. Freeman, K.
  Griest, J.A. Guern, M.J. Lehner, S.L. Marshall, D. Minniti, B.A. Peterson,
  M.R. Pratt, P.J. Quinn, A.W. Rodgers, A. Rorabeck, C.W. Stubbs, and W.
  Sutherland","Cepheids in the LMC: Results from the MACHO Project","8 pages, 6 Encapsulated PostScript figures, uses conf_iap.sty. To
  appear in the Proceeding of the 12th IAP Colloquium ""Variable Stars and the
  Astrophysical Returns of Microlensing Surveys"". Author list corrected",,,,"astro-ph",,"  The approximately 1500 Cepheid variables in 22 LMC fields of the MACHO
Project survey have been calibrated and analysed. In this paper, we report
improved period ratios for a total of 73 beat Cepheids and provide a first look
at the Fourier decomposition parameters for both singly- and doubly-periodic
Cepheids. We also note an unusual amplitude-changing pulsator.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 19:04:36 GMT""},{""version"":""v2"",""created"":""Tue, 22 Oct 1996 18:52:08 GMT""},{""version"":""v3"",""created"":""Wed, 23 Oct 1996 12:09:11 GMT""}]","2008-02-03"
"astro-ph/9610025","Doug Welch","The MACHO Collaboration: D. Minniti, C. Alcock, D.R. Alves, R.A.
  Allsman, T.S. Axelrod, A. Becker, D.P. Bennett, K.H. Cook, K.C. Freeman, K.
  Griest, J.A. Guern, M.J. Lehner, S.L. Marshall, B.A. Peterson, M.R. Pratt,
  P.J. Quinn, A.W. Rodgers, C.W. Stubbs, W. Sutherland, and D.L. Welch","RR Lyrae Stars in the MACHO Database","10 pages, 8 Encapsulated PostScript figures, uses conf_iap.sty. To
  appear in the Proceeding of the 12th IAP Colloquium ""Variable Stars and the
  Astrophysical Returns of Microlensing Surveys""",,,,"astro-ph",,"  The MACHO Project has catalogued $\sim 8000$ RR Lyrae stars in the Large
Magellanic Cloud, $\sim 1800$ in the Galactic bulge, and $\sim$ 50 in the Sgr
dwarf galaxy. These variables are excellent distance indicators, and are used
as tools to study the structure of the Large Magellanic Cloud and the bulge.
The large datasets also probe uncommon pulsation modes. A number of double-mode
RR Lyrae stars (RRd) are found in the Large Magellanic Cloud sample. These
stars provide important clues for understanding the formation and evolution of
the inner Galaxy, the Large Magellanic Cloud and the Sgr dwarf galaxy. A large
number of second overtone pulsators (RRe) are found in the LMC and bulge.
Finally, the RR Lyrae belonging to the Sgr dwarf yield an accurate distance to
this galaxy. Their presence also alerts us of the very interesting possibility
of distant sources for bulge microlensing events.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 19:20:47 GMT""}]","2007-05-23"
"astro-ph/9610027","Marcin Sawicki","M. J. Sawicki, H. Lin, H. K. C. Yee","Photometric Redshifts in the Hubble Deep Field","2 pages. To appear in the proceedings of the 37th Herstmonceux
  conference, ""HST and the High Redshift Universe""",,,,"astro-ph",,"  Photometric redshifts for galaxies in the Hubble Deep Field are measured.
Luminosity functions show steepening of the faint-end slope and mild
brightening of M* out to z~3, followed by a decline at higher z; an excess of
faint, star-forming galaxies is seen at low z. Our results are consistent with
the formation of large galaxies at z=2-3, followed by that of dwarfs at z<1.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 22:56:05 GMT""}]","2007-05-23"
"astro-ph/9610028","Mbritton","M. C. Britton, C. R. Gwinn, and M. J. Ojeda","Angular Broadening of Nearby Pulsars","11 pages, 2 figures, and 1 table. AASTeX format. Submitted to
  Astrophysical Journal Letters",,"10.1086/311427",,"astro-ph",,"  We conducted a very long baseline interferometric observation of 5 nearby
pulsars and did not resolve the scattering disks of any of these sources. Using
our upper limits on the angular diameters of these scattering disks and
published values of the broadening times and proper motion velocities, we
constrain the possible distributions of scattering material. The material
responsible for scattering these sources is neither uniformly distributed nor
concentrated at the surface of the Local Bubble. We argue that these pulsars
themselves influence their environments to produce this scattering material.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 02:36:46 GMT""}]","2018-07-18"
"astro-ph/9610030","Bob van den Hoek","Bob van den Hoek (Astronomical Institute 'Anton Pannekoek', Amsterdam)
  and Martin Groenewegen (Max-Planck-Institut fuer Astrophysik, Garching)","New theoretical yields of intermediate mass stars","25 pages, 4 PS files, 38 tables, accepted by Astronomy and
  Astrophysics (Supplement Series), Sept. 1996, tables 2-38 are available upon
  request (E-mail: bobby@astro.uva.nl)",,,"AIAP-059","astro-ph",,"  We present theoretical yields of H, $^{4}$He, $^{12}$C, $^{13}$C, $^{14}$N,
and $^{16}$O for stars with initial masses between 0.8 and 8 M$_{\odot}$ and
initial metallicities Z = 0.001, 0.004, 0.008, 0.02, and 0.04. We use the
evolutionary tracks of the Geneva group up to the early asymptotic giant branch
(AGB) in combination with a synthetic thermal-pulsing AGB evolution model to
follow in detail the chemical evolution and mass loss up to the end of the AGB
including the first, second, and third dredge-up phases. Most of the relations
used are metallicity dependent to make a realistic comparison with stars of
different initial abundances. The effect of Hot Bottom Burning (HBB) is
included in an approximate way. The free parameters in our calculations are the
mass loss scaling parameter $\eta_{AGB}$ for stars on the AGB (using a Reimers
law), the minimum core mass for dredge-up M$_{c}^{min}$, and the third
dredge-up efficiency $\lambda$. As derived from previous extensive modeling,
$\eta_{AGB}$ = 4, M$_{c}^{min}$ = 0.58 \mss, and $\lambda = 0.75$ including HBB
are in best agreement with observations of AGB stars both in the Galactic disk
and the Magellanic Clouds. We compare the abundances predicted during the final
stages of the AGB with those observed in planetary nebulae in the Galactic disk
and show that the model with the aforementioned parameters is in good agreement
with the observations. The metallicity dependent yields of intermediate mass
stars presented in this paper are well suited for use in galactic chemical
evolution models.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 13:03:00 GMT""}]","2016-08-30"
"astro-ph/9610031","Philippe Jetzer","F. De Paolis, G. Ingrosso, Ph. Jetzer and M. Roncadelli","Baryonic dark matter","To appear in ""Dark and visible matter in galaxies and cosmological
  implications"" eds. M. Persic and P.Salucci A.S.P. conference series",,,,"astro-ph",,"  Reasons supporting the idea that most of the dark matter in galaxies and
clusters of galaxies is baryonic is discussed. Moreover it is argued that most
of the dark matter in galactic halo should be in the form of MACHOs and cold
molecular clouds.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 12:08:14 GMT""}]","2007-05-23"
"astro-ph/9610032",,"Michael A. Strauss (Princeton)","The Large-Scale Velocity Field","12 pages standard Latex (w/figures). Uses psfig.tex, included. To be
  published in ``Critical Dialogues in Cosmology'' ed. Turok. Uses AAS macros,
  postscript also available at
  http://www.astro.princeton.edu/~library/preprints/pop684.ps.gz",,,"POPe-684","astro-ph",,"  I summarize both observational and theoretical developments in the last few
years in measuring and understanding the large-scale velocity field of
galaxies, with special attention to the bulk flow, or average peculiar
velocity, within spheres centered on the Local Group.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 13:50:45 GMT""}]","2007-05-23"
"astro-ph/9610033",,"Michael A. Strauss (Princeton)","Recent Advances in Redshift Surveys of the Local Universe","33 pages Latex (w/figures), uses psfig.tex and CUP style files
  (included). To be published in ``Structure Formation in the Universe'', ed.
  Dekel and Ostriker. postscript also available at
  http://www.astro.princeton.edu/~library/preprints/pop683.ps.gz",,,"POPe-683","astro-ph",,"  I review progress in the past few years in studying the large-scale structure
of the universe through redshift surveys of galaxies. Of the many statistical
methods used to describe the galaxy distribution, I concentrate here on the
power spectrum, and go into some detail about the factors which complicate (and
make interesting!) its interpretation, such as redshift space distortions,
non-linear effects, and the relative bias of galaxies and dark matter. I also
discuss two large redshift surveys which are just starting, the Sloan Digital
Sky Survey, and the Two Degree Field Redshift Survey, which promise to increase
the number of redshifts measured of galaxies in uniform surveys by more than an
order of magnitude.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 14:37:09 GMT""}]","2007-05-23"
"astro-ph/9610034",,"Daniel Koranyi (CfA), Michael A. Strauss (Princeton)","Testing the Hubble Law with the IRAS 1.2 Jy Redshift Survey","27 pages Latex (w/figures), ApJ, in press. Uses AAS macros,
  postscript also available at
  http://www.astro.princeton.edu/~library/preprints/pop682.ps.gz",,"10.1086/303669","POPe-682","astro-ph",,"  We test and reject the claim of Segal et al. (1993) that the correlation of
redshifts and flux densities in a complete sample of IRAS galaxies favors a
quadratic redshift-distance relation over the linear Hubble law. This is done,
in effect, by treating the entire galaxy luminosity function as derived from
the 60 micron 1.2 Jy IRAS redshift survey of Fisher et al. (1995) as a distance
indicator; equivalently, we compare the flux density distribution of galaxies
as a function of redshift with predictions under different redshift-distance
cosmologies, under the assumption of a universal luminosity function. This
method does not assume a uniform distribution of galaxies in space. We find
that this test has rather weak discriminatory power, as argued by Petrosian
(1993), and the differences between models are not as stark as one might expect
a priori. Even so, we find that the Hubble law is indeed more strongly
supported by the analysis than is the quadratic redshift-distance relation. We
identify a bias in the the Segal et al. determination of the luminosity
function, which could lead one to mistakenly favor the quadratic
redshift-distance law. We also present several complementary analyses of the
density field of the sample; the galaxy density field is found to be close to
homogeneous on large scales if the Hubble law is assumed, while this is not the
case with the quadratic redshift-distance relation.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 13:52:37 GMT""}]","2009-10-28"
"chao-dyn/9610008","Ken Umeno","Ken Umeno","Parallel Computation Using Generalized Models of Exactly Solvable Chaos","8 pages, LaTeX, to be published in RIKEN Review No.14 (1996)","RIKEN Review No.14 (1996)57.",,,"chao-dyn nlin.CD",,"  How chaos is useful in the brain information processing is greatly unknown.
Here, we show that the statistical property of chaos such as invariant measures
naturally organized under a great number of iterations of chaotic mappings can
be used for some complex computations, while the precise information of initial
conditions which vanishes in the course of iterations deos not matter for this
kind of computations. The key observation of the present study is that
computation using ergordicity of dynamical systems can be thought of as
massively parallel Monte Carlo simulations. Here, to avoid difficulty in
elucidating the ergordicity of dynamical systems, we propose computational
schemes using the generalized class of one-dimensional chaos with explicit
invariant measures. The validity of our results which connect chaos with
parallel computation is checked by the precision computations of some
transcendental numbers like \pi.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 18:19:01 GMT""}]","2008-02-03"
"chao-dyn/9610009","Ken Umeno","Ken Umeno","Method of constructing exactly solvable chaos","12 pages, 2 figures, REVTEX. Title was changed. Generalized Chebyshev
  maps including the precise form of two-parameter generalized cubic maps were
  added. Accepted for publication in Phys. Rev. E(1997)","Phys. Rev. E 55(1997):5280-5284.","10.1103/PhysRevE.55.5280","BIP-96-0008","chao-dyn nlin.CD",,"  We present a new systematic method of constructing rational mappings as
ergordic transformations with nonuniform invariant measures on the unit
interval [0,1]. As a result, we obtain a two-parameter family of rational
mappings that have a special property in that their invariant measures can be
explicitly written in terms of algebraic functions of parameters and a
dynamical variable. Furthermore, it is shown here that this family is the most
generalized class of rational mappings possessing the property of exactly
solvable chaos on the unit interval, including the Ulam=Neumann map y=4x(1-x).
Based on the present method, we can produce a series of rational mappings
resembling the asymmetric shape of the experimentally obtained first return
maps of the Beloussof-Zhabotinski chemical reaction, and we can match some
rational functions with other experimentally obtained first return maps in a
systematic manner.
","[{""version"":""v1"",""created"":""Thu, 3 Oct 1996 19:25:10 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 18:54:16 GMT""}]","2009-10-28"
