"alg-geom/9610006","Martin A. Sombra","Martin Sombra","Bounds for the Hilbert function of polynomial ideals and for the degrees
  in the Nullstellensatz","37 pages, Latex 2e",,,,"alg-geom math.AC math.AG",,"  We present a new effective Nullstellensatz with bounds for the degrees which
depend not only on the number of variables and on the degrees of the input
polynomials but also on an additional parameter called the {\it geometric
degree of the system of equations}. The obtained bound is polynomial in these
parameters. It is essentially optimal in the general case, and it substantially
improves the existent bounds in some special cases. The proof of this result is
combinatorial, and it relies on global estimations for the Hilbert function of
homogeneous polynomial ideals. In this direction, we obtain a lower bound for
the Hilbert function of an arbitrary homogeneous polynomial ideal, and an upper
bound for the Hilbert function of a generic hypersurface section of an unmixed
radical polynomial ideal.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 22:04:57 GMT""}]","2008-02-03"
"astro-ph/9610029",,"Alessandro Melchiorri, Nicola Vittorio","Polarization of the Microwave Background: theoretical framework","22 Pages, 7 Figures. To appear in the proceedings of NATO Advanced
  Study Institute 1996 on the ""Cosmic Background Radiation""",,,,"astro-ph",,"  We present a brief review of the polarization properties of the cosmic
microwave background in dark matter models for structure formation. Quite
independently of the model parameters, the polarization level is expected to be
$\sim 10%$ of the anisotropy signal at angular scales $\le 1^o$. Detections of
polarization at larger angular scales would provide a strong evidence in favour
of an early reionization of the intergalactic medium.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:58:17 GMT""}]","2016-08-30"
"astro-ph/9610035","Sandra Savaglio","S. Savaglio (ESO) and V. Carbone (UNICAL)","Scaling properties of the Lyman--$\alpha$ forest","8 pages, 5 figures, proceedings of the Sesto Workshop on ``Dark and
  Visible Matter in Galaxies'', PASP Conference Series",,,,"astro-ph",,"  We present some statistical features of the large number of \lya absorption
lines detected in high redshift quasar spectra, obtained by using the
multifractal approach. In the analysed sample of 12 QSO sight--lines, 11 show
scaling behaviour with a crossover between two distinct regimes: a
non-homogeneous regime at small scales and a homogeneous regime at large
scales. The correlation length shows a redshift dependence, suggesting that the
\lya forest can be an intermediate phenomenon between a strongly inhomogeneous
galaxy distribution in the local Universe and a homogeneous initial mass
distribution.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:00:05 GMT""}]","2007-05-23"
"astro-ph/9610036","Jeremy S. Heyl","Jeremy Heyl, Matthew Colless, Richard S. Ellis, and Tom Broadhurst","Autofib Redshift Survey: II -- The Evolution of the Galaxy Luminosity
  Function by Spectral Type","LaTeX, 22 pages, 22 figures","MNRAS 285 (1997) 613","10.1093/mnras/285.3.613",,"astro-ph",,"  We determine the evolution of the galaxy luminosity function (LF) as a
function of spectral type using the Autofib redshift survey, a compendium of
over 1700 galaxy redshifts in various magnitude-limited samples spanning
b_J=11.5-24.0. To carry out this analysis we have developed a cross-correlation
technique which classifies faint galaxy spectra into one of six types based on
local galaxy templates. Tests and simulations show that this technique yields
classifications correct to within one type for more than 90% of the galaxies in
our sample. We have also developed extensions of the step-wise maximum
likelihood method and the STY parametric method for estimating LFs which are
applicable to recovering an evolving LF from multiple samples. We find that:
(i) The spectra and LF of E/S0 galaxies show no appreciable evolution out to at
least z ~ 0.5. (ii) Early-type spirals show modest evolution, characterised by
a gradual steepening of the faint end of their LF with redshift. (iii) Out to z
~ 0.5, the overall evolution of the galaxy population is dominated by changes
seen in late-type spirals. The characteristic luminosity (L^*) of these
galaxies appears to brighten with redshift and there are signs of strong
density evolution (a rapid increase in \phi^*). These effects appear to be
luminosity dependent so that the LF steepens at higher redshift. These trends
are accompanied by a steep increase in the median [OII] equivalent width,
implying a rapid increase in the star-formation rate with redshift at fixed
luminosity---a given star-formation rate is found at higher redshift in
galaxies of higher luminosity. We find that these conclusions are robust with
respect to spectral classification errors and the luminosity function
estimator.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:56:34 GMT""}]","2015-06-24"
"astro-ph/9610037","Ofer Lahav","Ofer Lahav, Tsvi Piran and Marie A. Treyer","The X-Ray Background as a Probe of Density Fluctuations at High Redshift","14 pages, 3 postscript figures, available from
  ftp://cass41.ast.cam.ac.uk/pub/lahav/xrb accepted for publication in MNRAS",,"10.1093/mnras/284.2.499","IOA-96-LPT","astro-ph",,"  The X-Ray Background (XRB) probes structure on scales intermediate between
those explored by local galaxy redshift surveys and by the COBE Microwave
Background measurements. We predict the large scale angular fluctuations in the
XRB, expressed in terms of spherical harmonics for a range of assumed
power-spectra and evolution scenarios. The dipole is due to large scale
structure as well as to the observer's motion (the Compton-Getting effect). For
a typical observer the two effects turn out to be comparable in amplitude. The
coupling of the two effects makes it difficult to use the XRB for independent
confirmation of the CMB dipole being due to the observer's motion. The large
scale structure dipole (rms per component) relative to the monopole is in the
range $a_{1m}/a_{00} \sim (0.5-9.0) \times 10^{-3} $. The spread is mainly due
to the assumed redshift evolution scenarios of the X-ray volume emissivity
$\rho_x(z)$. The dipole's prediction is consistent with a measured dipole in
the HEAO1 XRB map. Typically, the harmonic spectrum drops with $l$ like $a_{lm}
\sim l^{-0.4}$. This behaviour allows us to discriminate a true clustering
signal against the flux shot noise, which is constant with $l$, and may
dominate the signal unless bright resolved sources are removed from the XRB
map. We also show that Sachs-Wolfe and Doppler (due to the motion of the
sources) effects in the XRB are negligible. Although our analysis focuses on
the XRB, the formalism is general and can be easily applied to other
cosmological backgrounds.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 17:30:23 GMT""}]","2015-06-24"
"astro-ph/9610038","Luca Amendola","Luca Amendola, Carlo Baccigalupi, Rostislav Konoplich, Franco
  Occhionero, Sergei Rubin","Reconstruction of the bubble nucleating potential","Accepted for publication in Phys. Rev. D, 19 pages, 2 ps figs
  included","Phys.Rev. D54 (1996) 7199-7206","10.1103/PhysRevD.54.7199",,"astro-ph",,"  We calculate analytically the bubble nucleation rate in a model of first
order inflation which is able to produce large scale structure. The computation
includes the first-order departure from the thin-wall limit, the explicit
derivation of the pre-exponential factor, and the gravitational correction. The
resulting bubble spectrum is then compared with constraints from the large
scale structure and the microwave background. We show that there are models
which pass all the constraints and produce bubble-like perturbations of
interesting size. Furthermore, we show that it is in principle possible to
reconstruct completely the inflationary two-field potential from observations.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 19:16:22 GMT""}]","2009-10-28"
"astro-ph/9610039",,"Keith A. Olive, D.N. Schramm, Sean Scully, and J.W. Truran","Low Mass Stars and the He3 Problem","20 pages, latex, 9 ps figures","Astrophys.J.479:752,1997","10.1086/303932","UMN-TH-1516/96","astro-ph",,"  The prediction of standard chemical evolution models of higher abundances of
He3 at the solar and present-day epochs than are observed indicates a possible
problem with the yield of He3 for stars in the range of 1-3 solar masses.
Because He3 is one of the nuclei produced in Big Bang Nucleosynthesis (BBN), it
is noted that galactic and stellar evolution uncertainties necessarily relax
constraints based on He3. We incorporate into chemical evolution models which
include outflow, the new yields for He3 of Boothroyd & Malaney (1995) which
predict that low mass stars are net destroyers of He3. Since these yields do
not account for the high \he3/H ratio observed in some planetary nebulae, we
also consider the possibility that some fraction of stars in the 1 - 3 solar
mass range do not destroy their He3 in theirpost main-sequence phase. We also
consider the possibility that the gas expelled by stars in these mass ranges
does not mix with the ISM instantaneously thus delaying the He3 produced in
these stars, according to standard yields, from reaching the ISM. In general,
we find that the Galactic D and He3 abundances can be fit regardless of whether
the primordial D/H value is high (2 x 10^{-4}) or low (2.5 x 10^{-5}).
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 20:55:12 GMT""}]","2009-09-15"
"astro-ph/9610040","Bob Nichol","M.P. Ulmer, G.M. Bernstein, D.R. Martin, R.C. Nichol, J.L. Pendleton,
  J.A. Tyson","Low Surface Brightness Galaxies in the Core of the Coma Cluster","41 pages, Latex, 6 Postscript figures. AJ in press",,"10.1086/118198",,"astro-ph",,"  We present the results of a search for low surface brightness galaxies
(hereafter LSBs) in the Coma cluster. Bernstein et al. report on deep CCD
observations in R of a 7.5 by 7.5 arcminute region in the core of the Coma
cluster, and we extend this work by finding and measuring 36 LSBs within this
field. We report both R and Bj results. The average magnitude based on the best
fit exponential to the images is 22.5 (R) and the typical exponential scale is
1.3 arcseconds. The range of exponential scales is 0.4 to 1.2 kpc (distance
modulus 34.89), and the range of central surface brightnesses is 24 to 27.4 R
magnitudes per square arcsecond. Many of these objects are similar in terms of
scale length and central surface brightness to those found by others in nearby
clusters such as Fornax (Bothun, Impey and Malin), as well as in the low
luminosity end of the dwarfs cataloged in the review by Ferguson and Binggeli.
We find no evidence for a dependence of color on central surface brightness or
on distance from the D galaxies or the X-ray center of Coma. We also find that
these LSBs make a small contribution to the overall mass of the cluster. We
discuss these results in terms of possible scenarios of LSB formation and
evolution.
","[{""version"":""v1"",""created"":""Sat, 5 Oct 1996 00:02:43 GMT""}]","2009-10-28"
"chao-dyn/9610010","Nianzheng Cao","Nianzheng Cao, Shiyi Chen and Katepalli R. Sreenivasan","Scaling of Low-Order Structure Functions in Homogeneous Turbulence","4 pages, 6 figures",,"10.1103/PhysRevLett.77.3799",,"chao-dyn nlin.CD",,"  High-resolution direct numerical simulation data for three-dimensional
Navier-Stokes turbulence in a periodic box are used to study the scaling
behavior of low-order velocity structure functions with positive and negative
powers. Similar to high-order statistics, the low-order relative scaling
exponents exhibit unambiguous departures from the Kolmogorov 1941 theory and
agree well with existing multiscaling models. No transition from normal scaling
to anomalous scaling is observed.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 19:31:31 GMT""}]","2009-10-28"
"cond-mat/9610029",,"Klaus Krebs and Sven Sandow","Matrix Product Eigenstates for One-Dimensional Stochastic Models and
  Quantum Spin Chains","11 pages, Latex",,"10.1088/0305-4470/30/9/024",,"cond-mat.stat-mech",,"  We show that all zero energy eigenstates of an arbitrary $m$--state quantum
spin chain Hamiltonian with nearest neighbor interaction in the bulk and single
site boundary terms, which can also describe the dynamics of stochastic models,
can be written as matrix product states. This means that the weights in these
states can be expressed as expectation values in a Fock representation of an
algebra generated by $2m$ operators fulfilling $m^2$ quadratic relations which
are defined by the Hamiltonian.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 16:16:35 GMT""},{""version"":""v2"",""created"":""Fri, 14 Mar 1997 16:47:58 GMT""}]","2009-10-28"
"cond-mat/9610030","Edwin Langmann","Edwin Langmann and Mats Wallin (KTH, Stockholm, Sweden)","Mean field approach to antiferromagnetic domains in the doped Hubbard
  model","14 pages RevTex, 6 postscript figures included using epsf","Phys. Rev. B 55, 9439-9451 (1997)","10.1103/PhysRevB.55.9439",,"cond-mat.str-el",,"  We present a restricted path integral approach to the 2D and 3D repulsive
Hubbard model. In this approach the partition function is approximated by
restricting the summation over all states to a (small) subclass which is chosen
such as to well represent the important states. This procedure generalizes mean
field theory and can be systematically improved by including more states or
fluctuations. We analyze in detail the simplest of these approximations which
corresponds to summing over states with local antiferromagnetic (AF) order. If
in the states considered the AF order changes sufficiently little in space and
time, the path integral becomes a finite dimensional integral for which the
saddle point evaluation is exact. This leads to generalized mean field
equations allowing for the possibility of more than one relevant saddle points.
In a big parameter regime (both in temperature and filling), we find that this
integral has {\em two} relevant saddle points, one corresponding to finite AF
order and the other without. These degenerate saddle points describe a phase of
AF ordered fermions coexisting with free, metallic fermions. We argue that this
mixed phase is a simple mean field description of a variety of possible
inhomogeneous states, appropriate on length scales where these states appear
homogeneous. We sketch systematic refinements of this approximation which can
give more detailed descriptions of the system.
","[{""version"":""v1"",""created"":""Fri, 4 Oct 1996 18:54:00 GMT""}]","2010-11-09"
