"alg-geom/9610011","Bas Edixhoven","Bas Edixhoven","Special points on the product of two modular curves","hardcopy available at request to edix@univ-rennes1.fr LaTeX",,,,"alg-geom math.AG",,"  We prove, assuming the Generalized Riemann Hypothesis for imaginary quadratic
fields, that irreducible curves in the product of two modular curves that
contain infinitely many complex multiplication points are either a Hecke
correspondence or a fibre for one of the two projections. This gives evidence
for a conjecture of Oort that says that irreducible components of the Zariski
closure of a set of CM points in a Shimura variety are sub Shimura varieties.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 12:23:09 GMT""}]","2008-02-03"
"astro-ph/9610074",,"Salvatore Capozziello, Ruggiero de Ritis, Vladimir Mank'o, Alma Angela
  Marino, Giuseppe Marmo","Luminosity variation in (de)focusing microlensing","9 pages, latex, submitted to Phys. Lett. A",,"10.1016/S0375-9601(96)00864-X",,"astro-ph",,"  The luminosity variation of a stellar source due to the gravitational
microlensing effect can be considered also if the light rays are defocused
(instead of focused) toward the observer. In this case, we should detect a gap
instead of a peak in the light curve of the source. Actually, we describe how
the phenomenon depends on the relative position of source and lens with respect
to the observer: if the lens is between, we have focusing, if the lens is
behind, we have defocusing. It is shown that the number of events with
predicted gaps is equal to the number of events with peaks in the light curves.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:18:48 GMT""}]","2009-10-28"
"astro-ph/9610075","T. Contini","Thierry Contini (Tel Aviv University, Israel)","Wolf-Rayet Stars in Very Young Starburst Galaxies","7 pages + 4 Postscript figures. In the proceedings of the 33rd Liege
  Int. Astroph. Coll. ""Wolf-Rayet Stars in the Framework of Stellar Evolution""",,,,"astro-ph",,"  Preliminary results from spectrophotometric observations of galaxies with
very young starbursts are presented. Starburst galaxies with an age of the
burst in the range between 3 and 6 Myr have been observed and new detections of
Wolf-Rayet galaxies are reported. We discuss the origin of high excitation
nebular lines observed in these galaxies and their possible link with the
population of Wolf-Rayet stars.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 17:05:55 GMT""}]","2007-05-23"
"astro-ph/9610076","Georges Meylan","G. Meylan (ESO) and D.C. Heggie (Edinburgh Univ.)","Internal Dynamics of Globular Clusters","A review of 171 pages (TeX, no special macros) in press in The
  Astronomy and Astrophysics Review. Only 7 figures available in postscript
  form","Astron.Astrophys.Rev.8:1-143,1997","10.1007/s001590050008",,"astro-ph",,"  Galactic globular clusters, which are ancient building blocks of our Galaxy,
represent a very interesting family of stellar systems in which some
fundamental dynamical processes have taken place on time scales shorter than
the age of the universe. In contrast with galaxies, these clusters represent
unique laboratories for learning about two-body relaxation, mass segregation
from equipartition of energy, stellar collisions, stellar mergers, and core
collapse. In the present review, we summarize the tremendous developments, as
much theoretical as observational, that have taken place during the last two
decades, and which have led to a quantum jump in our understanding of these
beautiful dynamical systems.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 18:39:27 GMT""}]","2014-10-13"
"astro-ph/9610077","Andrei Linde","Andrei Linde","Prospects of Inflationary Cosmology","9 pages, no figures, Round Table Discussion at the conference
  ""Critical Dialogues in Cosmology,"" Princeton",,,"SU-ITP-96-43","astro-ph gr-qc hep-ph hep-th",,"  In this review I briefly describe the evolution of the inflationary theory
from the scenario based on the idea of supercooling and expansion in the false
vacuum toward the theory of eternally expanding self-reproducing inflationary
universe. I describe recent development of inflationary cosmology with Omega <
1, and then discuss some issues related to the possibility to verify inflation
by comparing its predictions with observational data. I argue that it is
possible to verify and disprove many particular models of inflationary
cosmology, but it is very difficult to kill the basic idea of inflation. It
seems that the best (and may be even the only) way to do so is to suggest a
better cosmological theory.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 20:30:53 GMT""}]","2007-05-23"
"astro-ph/9610078","Joel Primack","Joel Primack (University of California Santa Cruz)","The Best Theory of Cosmic Structure Formation is Cold + Hot Dark Matter
  (CHDM)","20 pages, includes 2 figures, to be published in proceedings of the
  Princeton 250th Anniversary conference, June 1996, Critical Dialogues in
  Cosmology, ed. N. Turok (World Scientific). Revised version fixes typos on
  p.9: 1.25-->0.23, warm+cold-->warm+hot",,,,"astro-ph",,"  I have been asked to make the case here that CHDM is the best theory of
cosmic structure formation, and indeed I believe that it is the best of all
those I have considered if the cosmological matter density is near critical and
if the expansion rate is not too large (i.e. $h \equiv H_0/(100 \kmsMpc) \lsim
0.6$). I discuss CHDM together with its chief competitor among CDM variants,
low-$\Omega_0$ CDM with a cosmological constant ($\Lambda$CDM). $\Lambda$CDM
with $\Omega_0 \sim 0.3$ has the possible virtue of allowing a higher expansion
rate H_0 for a given cosmic age t_0, but the defect of predicting too much
fluctuation power on small scales. Also, except for the $H_0-t_0$ problem,
there is not a shred of evidence in favor of a nonzero cosmological constant,
only increasingly stringent observational upper bounds on it. CHDM has less
power on small scales, in good agreement with data, although it remains to be
seen whether it predicts early enough galaxy formation to be compatible with
the latest high-redshift data. I also briefly compare CHDM to other CDM
variants such as Warm Dark Matter (WDM) and tilted CDM. CHDM has the advantage
among $\Omega=1$ CDM-type models of requiring little or no tilt, which appears
to be an advantage in fitting recent small-angle CMB anisotropy data. The
presence of a hot component that clusters less than cold dark matter lowers the
effective $\Omega_0$ that would be measured on small scales, which appears to
be in accord with observations, and it may also avoid the discrepancy between
the high central density of dark matter halos from CDM simulations compared to
evidence from rotation curves of dwarf spiral galaxies.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 22:22:40 GMT""},{""version"":""v2"",""created"":""Thu, 24 Oct 1996 22:28:22 GMT""}]","2016-08-30"
"astro-ph/9610079","Dave Cole","D. M. Cole, D. E. Vanden Berk, S. A. Severson, M. C. Miller, J. M.
  Quashnock, R. C. Nichol, D. Q. Lamb, K. Hurley, P. Blanco, C. Lidman, K.
  Glazebrook","Optical/Near-Infrared Observations of GRO J1744-28","21 pages, 5 JPEG plates, 2 postscript figures. This paper will appear
  in the May 1, 1997 edition of the Astrophysical Journal","Astrophys.J.480:377-382, 1997","10.1086/303973",,"astro-ph",,"  We present results from a series of optical (g and r-band) and near-infrared
(K'-band) observations of the region of the sky including the entire XTE and
ROSAT error circles for the ``Bursting Pulsar'' GRO J1744-28. These data were
taken with the Astrophysical Research Consortium's 3.5-m telescope at Apache
Point Observatory and with the 2.2-m telescope at the European Southern
Observatory. We see no new object, nor any significant brightening of any known
object, in these error circles, with the exception of an object detected in our
8 February 1996 image. This object has already been proposed as a near-infrared
counterpart to GRO J1744-28. While it is seen in only two of our ten 8 February
frames, there is no evidence that this is an instrumental artifact, suggesting
the possibility of near-infrared flares from GRO J1744-28, similar to those
that have been reported from the Rapid Burster. The distance to the ``Bursting
Pulsar'' must be more than 2 kpc, and we suggest that it is more than 7 kpc.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 00:00:19 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 22:56:06 GMT""},{""version"":""v3"",""created"":""Thu, 21 Nov 1996 05:09:29 GMT""}]","2011-03-10"
"astro-ph/9610080","Yasushi Suto","Shiho Kobayashi, Shin Sasaki and Yasushi Suto","Re-examination of the Hubble Constant from the Sunyaev-Zel'dovich
  Effect: Implication for Cosmological Parameters","11 pages. 3 postscript figures included. Publications of the
  Astronomical Society of Japan (Letters), 1996, vol.48, No.6, in press","Publ.Astron.Soc.Jap.48:L107-L111,1996","10.1093/pasj/48.6.L107","RESCEU-25/96, UTAP-242/96","astro-ph",,"  We performed a systematic and comprehensive estimate of the Hubble constant
$H_0$ via the Sunyaev-Zel'dovich temperature decrement and the X-ray
measurements for clusters up to the redshift $z=0.541$, with particular
attention to its dependence on the density parameter $\Omega_0$, and the
cosmological constant $\lambda_0$. The resulting values of $H_0$ are largely
consistent with that derived from the Cepheid distance for nearby galaxies. We
discuss how the angular diameter distance $d_A$ vs. $z$ diagram from the
accurate SZ measurements of high-$z$ clusters can distinguish the values of
$\Omega_0$ and $\lambda_0$.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 09:45:24 GMT""}]","2015-06-24"
"astro-ph/9610081",,"Jeff Skibo (Naval Research Laboratory)","Spallation of Iron in Black Hole Accretion Flows","11 pages, Latex, requires AASTEX macros, 5 postscript figures,
  Astrophysical Journal in press",,"10.1086/303829",,"astro-ph",,"  In the local Galactic interstellar medium there is approximate energy
equipartition between cosmic rays, magnetic fields and radiation. If this holds
in the central regions of AGN, in particular Seyfert galaxies, then consideral
nuclear spallation of Fe occurs, resulting in enhanced abundances of the sub-Fe
elements Ti, V, Cr and Mn. These elements produce a cluster of X-ray
flourescence lines at energies just below the 6.4 keV Fe-K$\alpha$ line. It is
suggested that the red wings on the Fe lines observed with ASCA from various
Seyfert AGN are due to the unresolved line emission from these elements. Future
observations with more sensitive X-ray instruments should resolve these lines.
The estimated gamma ray emission from nuclear deexcitation and neutral pion
production is calculated and found to be below the sensitivities of any current
instruments. However, very luminous nearby Seyferts displaying Fe lines with
red wings would have $>100$ MeV continuum emission detectable by future
instruments such as GLAST.
","[{""version"":""v1"",""created"":""Fri, 11 Oct 1996 14:04:18 GMT""}]","2009-10-28"
"cond-mat/9610088","Paul Bastiaansen","Paul J. M. Bastiaansen and Hubert J. F. Knops","Correlated percolation and the correlated resistor network","16 pages, REVTeX, 6 figures included","J. Phys. A: Math. Gen. 30 (1997) 1791","10.1088/0305-4470/30/6/007",,"cond-mat.stat-mech",,"  We present some exact results on percolation properties of the Ising model,
when the range of the percolating bonds is larger than nearest-neighbors. We
show that for a percolation range to next-nearest neighbors the percolation
threshold Tp is still equal to the Ising critical temperature Tc, and present
the phase diagram for this type of percolation. In addition, we present Monte
Carlo calculations of the finite size behavior of the correlated resistor
network defined on the Ising model. The thermal exponent t of the conductivity
that follows from it is found to be t = 0.2000 +- 0.0007. We observe no
corrections to scaling in its finite size behavior.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 16:31:13 GMT""}]","2009-10-28"
"cond-mat/9610093","Robert Dodd","R. J. Dodd, K. Burnett, Mark Edwards, C. W. Clark","Excitation spectroscopy of vortex states in dilute Bose-condensed gases","11 pages, RevTeX",,"10.1103/PhysRevA.56.587",,"cond-mat",,"  We apply linear-response analysis to the Gross-Pitaevskii equation to obtain
the excitation frequencies of a Bose-Einstein condensate in a vortex state, and
apply it to a system of Rubidium atoms confined in a time-averaged orbiting
potential trap. The excitation frequencies of a vortex differ significantly
from those of the ground state, and may therefore be used to obtain a
spectroscopic signature of the presence of a vortex state.
","[{""version"":""v1"",""created"":""Thu, 10 Oct 1996 19:22:10 GMT""}]","2009-10-28"
