"alg-geom/9610015","N. Raghavendra","L. Brambila-Paz and N. Raghavendra","Universal Einstein-Hermitian Metrics","Withdrawn because of error",,,,"alg-geom math.AG",,"  Lemma 3.4 is wrong.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:14:59 GMT""},{""version"":""v2"",""created"":""Sat, 20 Sep 1997 05:47:41 GMT""}]","2008-02-03"
"alg-geom/9610016","Mireille Deschamps","Mireille Martin-Deschamps and Ragni Piene","Arithmetically Cohen--Macaulay curves in P^4 of degree 4 and genus 0","17 pages, AMSTeX",,,,"alg-geom math.AG",,"  We show that the arithmetically Cohen--Macaulay (ACM) curves of degree 4 and
genus 0 in ${\bold P}^4$ form an irreducible subset of the Hilbert scheme.
Using this, we show that the singular locus of the corresponding component of
the Hilbert scheme has dimension greater than 6. Moreover, we describe the
structures of all ACM curves of Hilb$^{4m+1}({\bold P}^4)$.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 13:35:11 GMT""}]","2008-02-03"
"astro-ph/9610097","Chris Reynolds","C.S. Reynolds (1,2), T. Di Matteo (1), A.C. Fabian (1), U. Hwang (3),
  C.R. Canizares (3) ((1) Institute of Astronomy, Cambridge, UK (2) JILA,
  University of Colorado, USA (3) Center for Space Research, MIT, USA)","The `quiescent' black hole in M87","6 pages, 2 postscript figues included. Accepted for publication in
  MNRAS (pink pages)",,"10.1093/mnras/283.4.L111",,"astro-ph",,"  It is believed that most giant elliptical galaxies possess nuclear black
holes with masses in excess of $10^8\Msun$. Bondi accretion from the
interstellar medium might then be expected to produce quasar-like luminosities
from the nuclei of even quiescent elliptical galaxies. It is a puzzle that such
luminosities are not observed. Motivated by this problem, Fabian & Rees have
recently suggested that the final stages of accretion in these objects occurs
in an advection-dominated mode with a correspondingly small radiative
efficiency. Despite possessing a long-known active nucleus and dynamical
evidence for a black hole, the low radiative and kinetic luminosities of the
core of M87 provide the best illustration of this problem. We examine an
advection-dominated model for the nucleus of M87 and show that accretion at the
Bondi rate is compatible with the best known estimates for the core flux from
radio through to X-ray wavelengths. The success of this model prompts us to
propose that FR-I radio galaxies and quiescent elliptical galaxies accrete in
an advection dominated mode whereas FR-II type radio-loud nuclei possess
radiatively efficient thin accretion disks.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:48:30 GMT""}]","2016-06-08"
"astro-ph/9610098",,"Heino Falcke (Univ. Maryland)","Compact Radio Cores in the Galactic Center and Elsewhere","Review, to appear in: IAU Coll. 163, ""Accretion Phenomena and Related
  Outflows"", Wickramasinghe D., Ferrario L., & Bicknell G. (eds.), PASP Conf.
  Proc., (Latex, 12 pages, paspconf.sty, Sorry - no figures), also available at
  http://www.astro.umd.edu/~hfalcke/publications.html#iauc163",,,"hfa/eprint/No.18","astro-ph",,"  Compact radio cores are not only common in radio galaxies and quasars but
also in many nearby galaxies with low-active, supermassive black holes. One
famous example is the Galactic Center source Sgr A*. Recent studies of proper
motions and radial velocities of stars in the inner parsec of the Galaxy
convincingly demonstrate the presence of a compact dark mass of 2.5 10^6 Mo in
the nucleus of the Milky Way. Millimeter VLBI and submm observations of Sgr A*
thus probe a region of only a few Schwarzschild radii in diameter. In this
paper I will review our current theoretical and observational knowledge of this
source and compare it to some famous LINER galaxies like NGC 4258, NGC 3079,
and NGC 6500. In all cases these radio cores can be well explained by a
standard AGN jet model, and, with the exception of Sgr A*, large scale outflows
are observed that have powers comparable to those inferred from the radio
cores. Recent VLBI observations of radio-weak quasars and HST observations of
Seyfert galaxies indicate that these AGN also produce powerful jets which,
however, have relatively less luminous radio cores than radio-loud quasars and
the LINERs discussed here. Therefore, jets and compact radio cores appear to be
natural constituents of an AGN, but the reason why apparently some jets are
radio-loud and others not remains a mystery.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 18:12:36 GMT""}]","2007-05-23"
"astro-ph/9610099","Dallas Kennedy","Dallas C. Kennedy (1), Sidney A. Bludman (2) ((1) University of
  Florida, (2) University of Pennsylvania)","Variational Principles for Stellar Structure","28 pages, LaTeX, requires AASTeX, 1 PostScript figure, revisions:
  erratum; accepted by Astrophysical Journal","Astrophys.J. 484 (1997) 329-340","10.1086/304333","UF-IFT-HEP-95-4, UPR-718-T, NSF-ITP-95-71","astro-ph cond-mat.stat-mech",,"  The four equations of stellar structure are reformulated as two alternate
pairs of variational principles. Different thermodynamic representations lead
to the same hydromechanical equations, but the thermal equations require, not
the entropy, but the temperature as the thermal field variable. Our treatment
emphasizes the hydrostatic energy and the entropy production rate of luminosity
produced and transported. The conceptual and calculational advantages of
integral over differential formulations of stellar structure are discussed
along with the difficulties in describing stellar chemical evolution by
variational principles.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 19:02:51 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 1996 22:07:09 GMT""},{""version"":""v3"",""created"":""Mon, 2 Dec 1996 22:29:18 GMT""},{""version"":""v4"",""created"":""Wed, 4 Dec 1996 23:13:51 GMT""},{""version"":""v5"",""created"":""Tue, 11 Feb 1997 02:11:42 GMT""},{""version"":""v6"",""created"":""Wed, 19 Mar 1997 18:28:26 GMT""},{""version"":""v7"",""created"":""Thu, 28 Aug 1997 23:40:57 GMT""},{""version"":""v8"",""created"":""Fri, 5 Mar 1999 18:55:49 GMT""},{""version"":""v9"",""created"":""Fri, 8 Dec 2000 04:29:02 GMT""}]","2009-10-28"
"astro-ph/9610100","Huan Lin","M. J. Sawicki, H. Lin, and H. K. C. Yee (Univ. of Toronto)","Evolution of the Galaxy Population Based on Photometric Redshifts in the
  Hubble Deep Field","31 pages, including 10 postscript figures, uses AASTEX v4.0 style
  files, to appear in the Astronomical Journal","Astron.J.113:1-12,1997","10.1086/118231",,"astro-ph",,"  This paper presents the results of a photometric redshift study of galaxies
in the Hubble Deep Field (HDF). The method of determining redshifts from
broadband colors is described, and the dangers inherent in using it to estimate
redshifts, particularly at very high z, are discussed. In particular, the need
for accurate high-z spectral energy distributions is illustrated. The validity
of our photometric redshift technique is demonstrated both by direct
verification with available HDF spectroscopic data and by comparisons of
luminosity functions and luminosity densities with those obtained from z < 1
spectroscopic redshift surveys. Evolution of the galaxy population is studied
over 0 \lesssim z < 4. Brightening is seen in both the luminosity function and
the luminosity density out to z \approx 3; this is followed by a decline in
both at z > 3. A population of z < 0.5 star-forming dwarfs is observed to
M_{F450W_{AB}} = -11. Our results are discussed in the context of recent
developments in the understanding of galaxy evolution.
","[{""version"":""v1"",""created"":""Mon, 14 Oct 1996 20:18:04 GMT""}]","2008-11-26"
"astro-ph/9610101","Uehara","Hideya Uehara, Hajime Susa, Ryoichi Nishi, Masako Yamada, and Takashi
  Nakamura","Fragmentation of the Primordial Gas Clouds and the Lower Limit on the
  Mass of the First Stars","Astrophysical Journal Letters, in press (accepted 4 Oct 1996), 10
  pages, Latex, 1 fig",,"10.1086/310409","KUNS-1414, YITP-96-42","astro-ph",,"  We discuss the fragmentation of primordial gas clouds in the universe after
decoupling. Comparing the time scale of collapse with that of fragmentation, we
obtain the typical mass of a fragment both numerically and analytically. It is
shown that the estimated mass gives the minimum mass of a fragment which is
formed from the primordial gas cloud and is essentially determined by the
Chandrasekhar mass.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 00:22:56 GMT""}]","2016-08-30"
"astro-ph/9610102","Tamara Helfer","Tamara T. Helfer (UMD/UCB) and Leo Blitz (UMD/UCB)","Dense Gas in the Milky Way","34 pages LaTeX, AASTEX macros, includes 11 postscript figures. To
  appear in ApJ 478, March 1997",,"10.1086/303774",,"astro-ph",,"  We present a study of dense gas emission in the Milky Way in order to serve
as a basis for comparison with extragalactic results. This study combines new
observations of HCN, CS, and CO in individual GMCs and in the Milky Way plane
with published studies of emission from these molecules in the inner 500 pc of
the Milky Way. We find a strong trend in the fraction of emission from dense
gas tracers as a function of location in the Milky Way: in the bulge,
I_{HCN}/I_{CO} = 0.081 \pm 0.004, in the plane, I_{HCN}/I_{CO} = 0.026 \pm
0.008 on average, and over the full extent of nearby GMCs, I_{HCN}/I_{CO} =
0.014 \pm 0.020. Similar trends are seen in I_{CS}/I_{CO}. The low intensities
of the HCN and CS emission in the plane suggests that these lines are produced
by gas at moderate densities; they are thus not like the emission produced by
the dense, pc-scale star forming cores in nearby GMCs. The contrast between the
bulge and disk ratios in the Milky Way is likely to be caused by a combination
of higher kinetic temperatures as well as a higher dense gas fraction in the
bulge of the Milky Way.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 01:21:21 GMT""}]","2009-10-28"
"astro-ph/9610103","Tamara Helfer","Tamara T. Helfer (UMD/UCB) and Leo Blitz (UMD/UCB)","Synthesis Imaging of Dense Gas in Nearby Galaxies","26 pages LaTeX, AASTEX macros, includes 4 postscript figures. To
  appear in ApJ 478, March 1997",,"10.1086/303760",,"astro-ph",,"  We present BIMA observations of the HCN emission from five nearby spiral
galaxies. The HCN observations comprise the first high-resolution
(5--10\arcsec) survey of dense molecular gas from a sample of normal galaxies,
rather than galaxies with prolific starburst or nuclear activities. The images
show compact structure, demonstrating that the dense gas emission is largely
confined to the central kiloparsec of the sources. In one of the galaxies, NGC
6946, the ratio of HCN to CO integrated intensities ranges from 0.05--0.2
within the extent of the HCN emission (r = 150 pc), with an average value of
0.11 \pm 0.01 over the whole region; the range and average values of the ratios
in NGC 6946 are very similar to what is observed in the central r = 250 pc of
the Milky Way. In NGC 6946, NGC 1068 and the Milky Way, the ratio I{HCN}/I{CO}
is 5 to 10 times higher in the bulge regions than in their disks; this suggests
that the physical conditions in their bulges and disks are very different. In
NGC 4826 and M51, as in the Milky Way and NGC 1068, there is a linear offset of
\sim 100 pc between the dense gas distribution and the peak of the radio
continuum emission.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 01:25:50 GMT""}]","2009-10-28"
"astro-ph/9610104","Vincenzo Ripepi","V. Ripepi and E. Brocato","A photometric study of NGC 458","4 pages, 7 postscript figures; to appear in: Proceedings of the Elba
  Meeting ``Stellar Ecology'', ed. R.T. Rood",,,,"astro-ph",,"  We present a CCD investigation of the poorly known SMC young Globular Cluster
NGC 458. The NTT data, presented here, allowed us to study in detail the more
internal regions of the cluster which are less contaminated by the field. On
the basis of theoretical isochrones, a preliminary evaluation of the age is
also given.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 08:42:25 GMT""}]","2007-05-23"
"astro-ph/9610105","Joao Magueijo","Joao Magueijo (Imperial College-London) and M.P.Hobson
  (MRAO-Cambridge)","Ideal scales for weighing the Universe",,"Phys.Rev. D56 (1997) 1908-1923","10.1103/PhysRevD.56.1908",,"astro-ph",,"  We investigate the performance of a large class of cosmic microwave
background experiments with respect to their ability to measure various
cosmological parameters. We pay special attention to the measurement of the
total cosmological density, $\Omega$. We consider interferometer experiments,
all-sky single-dish experiments, and also single-dish experiments with a
deep-patch technique. Power spectrum estimates for these experiments are
studied, and their induced errors in cosmological parameter estimates
evaluated. Given this motivation we find various promising corners in the
experiment parameter space surveyed. Low noise all-sky satellite experiments
are the expensive option, but they are best suited for dealing with large sets
of cosmological parameters. At intermediate noises we find a useful corner in
high-resolution deep patch single-dish experiments. Interferometers are limited
by sample variance, but provide the best estimates based on the very small
angular scales. For all these experiments we present conservative, but still
promising estimates of the accuracy of the measurement of $\Omega$. In these
estimates we consider a variety of possible signals not necessarily in the
vicinity of standard cold dark matter.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 12:46:52 GMT""}]","2016-08-30"
