"alg-geom/9610017","Rodriguez Romo Suemi-FESC","V.K. Kharchenko, J. Keller, S. Rodriguez-Romo","Prime rings with PI rings of constants","20 pages, LaTex2e, to appear in Israel Journal of Mathematics, volume
  96, part B, 1996 (357-377)",,,,"alg-geom math.AG math.QA q-alg",,"  It is shown that if the ring of constants of a restricted differential Lie
algebra with a quasi-Frobenius inner part satisfies a polynomial identity (PI)
then the original prime ring has a generalized polynomial identitiy (GPI). If
additionally the ring of constants is semiprime then the original ring is PI.
The case of a non-quasi-Frobenius inner part is also considered.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:59:22 GMT""}]","2008-02-03"
"astro-ph/9610107","Smita Mathur","Smita Mathur, Belinda J. Wilkes and Thomas Aldcroft
  (Harvard-Smithsonian Center for Astrophysics)","The X-ray Warm Absorber in NGC3516","24 pages with 5 figures. To appear in the Ap.J. Requires AAS macros",,"10.1086/303761",,"astro-ph",,"  The Seyfert 1 galaxy, NGC3516 has been the subject of many absorption line
studies at both ultraviolet and X-ray wavelengths. In the UV, strong, broad,
variable associated metal line absorption with velocity width $\sim 2000$ \kms\
is thought to originate in gas with nh larger than about $10^{19}$ cm$^{-2}$
lying between 0.01 and 9 pc from the central active nucleus. The Ginga X-ray
data are consistent with several possibilities: a warm absorber and a cold
absorber combined either with partial covering or an unusually strong
reflection spectrum. We present ROSAT observations of NGC3516 which show a
strong detection of a warm absorber dominated by a blend of OVII/OVIII edges at
$\sim$ 0.8 keV with nh $\sim 7\times 10^{21}$ cm$^{-2}$ and U: 8--12. We argue
that NGC3516 contains an outflowing `XUV' absorber showing the presence of
X-ray absorption edges, that are consistent with the presence of broad
absorption lines in the old IUE spectra and their disappearance in the new UV
observations. Our dynamical model suggests that the OVII absorption edge will
continue to weaken compared to the OVIII edge, an easily testable prediction
with future missions like AXAF. Eventually the source would be transparent to
the X-rays unless a new absorption system is produced.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 16:25:02 GMT""}]","2016-08-30"
"astro-ph/9610108","Stefano Cristiani","S. Cristiani, S. Trentini, F. La Franca, P. Andreani","The optical variability of QSOs. II. The wavelength dependence","9 pages, 6 figures, A&A-Latex. Accepted for publication in Astronomy
  & Astrophysics",,,"PD-96-4","astro-ph",,"  The long-term variability of a sample of 149 optically selected QSOs in the
field of the Selected Area 94 has been studied in the R-band. The relations
between variability and luminosity and between variability and redshift have
been investigated by means of ``robust'' statistical estimators, allowing to
disentangle the effects of the measurement errors. The results are compared
with the corresponding properties of the variability in the B-band for the same
sample. An anti-correlation between the R-band variability and the intrinsic
luminosity is found, analogously to what is observed in the B-band. The
amplitude of the R-band variability turns out to be smaller (of a factor $1.13
\pm 0.05$) than the B-band variability. The implications in terms of the
black-hole, starburst and microlensing models are discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:08:02 GMT""}]","2007-05-23"
"astro-ph/9610109","Smita Mathur","Martin Elvis (1), Smita Mathur (1), Belinda J. Wilkes (1), Fabrizio
  Fiore (1,2), Paolo Giommi (2) and Paolo Padovani (2). ((1)
  Harvard-Smithsonian Center for Astrophysics, (2) SAX Data Center, Roma)","Associated Absorption at Low and High Redshift","4 pages, 1 figure. Uses aspconf.sty, included. To be published in the
  Proceedings of IAU Colloquium 159 on ""Emission Lines in Active Galaxies: New
  Methods and Techniques.""",,,,"astro-ph",,"  Combining information on absorbing material in AGN from X-ray and the UV
creates a powerful investigative tool. Here we give examples from both low and
high redshift.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 17:42:19 GMT""}]","2007-05-23"
"astro-ph/9610110","Phil Kaaret","E. Ford (1), P. Kaaret (1), M. Tavani (1), D. Barret (2), P. Bloser
  (2), J. Grindlay (2), B.A. Harmon (3), W.S. Paciesas (4 and 3), and S.N.
  Zhang (5 and 3) ((1) Columbia University, (2) Harvard Smithsonian Center for
  Astrophysics, (3) NASA/Marshall Space Flight Center, (4) University of
  Alabama, (5) University Space Research Association/MSFC)","Evidence from quasi-periodic oscillations for a millisecond pulsar in
  the low mass x-ray binary 4U 0614+091","9 pages, submitted to the Astrophysical Journal Letters",,"10.1086/310483",,"astro-ph",,"  We have detected quasi-periodic oscillations (QPOs) near 1 kHz from the low
mass X-ray binary 4U 0614+091 in observations with XTE. The observations span
several months and sample the source over a large range of X-ray luminosity. In
every interval QPOs are present above 400 Hz with fractional RMS amplitudes
from 3 to 12%. At high count rates, two high frequency QPOs are detected
simultaneously. The difference of their frequency centroids is consistent with
323 Hz in all observations. During one interval a third signal is detected at
328 +/- 2 Hz. This suggests the system has a stable `clock' which is most
likely the neutron star with spin period 3.1 msec. Thus, our observations and
those of another neutron star system by Strohmayer et al. (1996) provide the
first evidence for millisecond pulsars within low-mass X-ray binary systems and
reveal the `missing-link' between millisecond radiopulsars and the late stages
of binary evolution in low mass X-ray binaries (Alpar et al. 1982). We suggest
that the kinematics of the magnetospheric beat-frequency model (Alpar and
Shaham 1985) applies to these QPOs. In this interpretation the high frequency
signal is associated with the Keplerian frequency of the inner accretion disk
and the lower frequency `beat' signal arises from the differential rotation
frequency of the inner disk and the spinning neutron star. Assuming the high
frequency QPO is a Keplerian orbital frequency for the accretion disk, we find
a maximum mass of 1.9 solar masses and a maximum radius of 17 km for the
neutron star.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 18:02:08 GMT""}]","2009-10-28"
"astro-ph/9610111","Carl Grillmair","Carl J. Grillmair, S. M. Faber, Tod R. Lauer, J. J. Hester, C. R.
  Lynds, E. J. O'Neil, Jr., and P. A. Scowen","The Nuclear Region of M51 Imaged with the HST Planetary Camera","15 pages, 1 table, AASTeX, 4 postscript figures, 1 gif (original
  postscript available at ftp://bb3.jpl.nasa.gov/pub/m51 ). Accepted for
  publication in the Astronomical Journal",,"10.1086/118246",,"astro-ph",,"  We present high-resolution, broad- and narrow-band, pre-refurbishment images
of the central region of M51 taken with the Planetary Camera of the Hubble
Space Telescope. The V-band images show a rather chaotic distribution of dust
lanes, though some are oriented radially, roughly aligned with the major axis
of the bar, and may be transporting gas to the AGN in the nucleus. The dust
lane obscuring the nucleus of the galaxy, which was previously thought to be an
edge-on accretion disk feeding the AGN, is not centered on the nucleus. It is
unlikely that this is a stable configuration, suggesting that the material has
only recently entered the nuclear region. The nucleus is contained within a
cluster of stars having a total luminosity of order 5x10^7 L_0. Fitting a King
model to the least obscured portions of the cluster yields a maximum core
radius of 14 pc. The morphology apparent in the forbidden-line images of the
extra-nuclear cloud is consistent with a narrow jet striking and scattering off
the boundary of a relatively dense cocoon of gas in the disk of the galaxy. The
emission-line regions are concentrated along the inner borders of dust
filaments, supporting the view that the nuclear jet is ramming into and
stirring up the ISM of the disk.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 19:05:57 GMT""}]","2012-08-27"
"astro-ph/9610112","David Merritt","David Merritt (Rutgers) and Siang Peng Oh (Princeton)","The Stellar Dynamics of M87","16 Latex pages, 2 Postscript figures, uses aastex, epsf.sty.
  Submitted to The Astronomical Journal, October 1996",,"10.1086/118341","Rutgers Astrophysics Preprint Series No. 195","astro-ph",,"  We extract the shape of the stellar velocity ellipsoid as a function of
radius in M87 from van der Marel's (1994) velocity dispersion data. We include
the gravitational force of a central black hole with the mass quoted by Harms
et al. (1994). The kinematical data are corrected for the effects of seeing and
instrumental blurring using a nonparametric algorithm. We find that the stellar
motions in M87 are slightly radially anisotropic throughout the main body of
the galaxy. However the tangential velocity dispersion exceeds the radial
velocity dispersion within the inner 1''-2'' by a statistically significant
amount. A number of models for the formation of nuclear black holes predict a
tangential anisotropy in the stellar motions, and our results provide evidence
for such an effect in M87.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 20:01:38 GMT""}]","2009-10-28"
"astro-ph/9610113","Gary Steigman","Gary Steigman","Primordial Deuterium and Big Bang Nucleosynthesis: A Tale of Two
  Abundances","To appear in the Proceedings of the IAGUSP Workshop on Young Galaxies
  and QSO Absorbers (Santos, Brazil; April 8-11, 1996), eds. S. M. Viegas, R.
  Gruenwald & R. R. de Carvalho. Latex with six embedded postscript figures",,,"OSU-TA-23/96","astro-ph",,"  Recent confrontations of the predictions of standard big bang nucleosynthesis
(SBBN) with the primordial abundances of the light nuclides inferred from
observational data reveal a conflict. Simply put, compared to theoretical
expectations the inferred primordial abundances of either deuterium or helium-4
(or both) are ``too small"". Here I outline the ``tension"" between D and $^4$He
in the context of SBBN. The incipient crisis for SBBN may be resolved by
observations of deuterium in nearly pristine environments such as the
high-redshift, low-metallicity QSO absorbers. At present the big bang
abundances of deuterium inferred from such data fall into two, apparently
mutually exclusive, groups. I describe the deuterium dichotomy and its
implications for SBBN as well as for cosmology in general.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 19:14:44 GMT""}]","2007-05-23"
"astro-ph/9610114","David Merritt","David Merritt (Rutgers) and Siang Peng Oh (Princeton)","Searching for the Kinematical Signature of a Black Hole in M87","2 Tex pages, 1 Postscript figure, uses stromlo.tex, epsf.sty. To
  appear in ""The Nature of Elliptical Galaxies,"" Proceedings of the Second
  Stromlo Symposium, Eds. M. Arnaboldi, G. S. Da Costa & P. Saha",,,"Rutgers Astrophysics Preprint Series No. 196","astro-ph",,"  Many theories for the formation of massive black holes in galactic nuclei
predict that the stellar motions should be anisotropic within the radius of
influence of the black hole. We report tentative evidence for such an effect in
M87.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 20:45:57 GMT""}]","2007-05-23"
"astro-ph/9610115","Sanjay Reddy","Sanjay Reddy and Madappa Prakash","Neutrino Scattering in a Newly Born Neutron Star","51 pages, 13 figures, ApJ in press","Astrophys.J.478:689-700,1997","10.1086/303804","NTG-96-39","astro-ph",,"  We calculate neutrino cross sections from neutral current reactions in the
dense matter encountered in the evolution of a newly born neutron star. Effects
of composition and of strong interactions in the deleptonization and cooling
phases of the evolution are studied. The influence of the possible presence of
strangeness-rich hyperons on the neutrino scattering cross sections is
explored. Due to the large vector couplings of the Sigma-minus and
Cascade-minus, |C_V|~2, these particles, if present in protoneutron star
matter, give significant contributions to neutrino scattering. In the
deleptonization phase, the presence of strangeness leads to large neutrino
energies, which results in large enhancements in the cross sections compared to
those in matter with nucleons only. In the cooling phase, in which matter is
nearly neutrino free, the response of the Sigma-minus hyperons to thermal
neutrinos is the most significant. Neutrinos couple relatively weakly to the
Lambda hyperons and, hence, their contributions are significant only at high
density.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 22:58:06 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 1996 04:52:06 GMT""}]","2008-11-26"
"astro-ph/9610116","Riccardo Giovanelli","Riccardo Giovanelli (Cornell University)","The I-Band Tully-Fisher Relation and the Hubble Constant","18 pages, 5 tables, 5 figures embedded by psfig; uses AAS LaTex; to
  appear in proceedings of ""The Extragalactic Distance Scale"", a meeting held
  at STScI in May 1996; ed. by M. Livio, M. Donahue and N. Panagia, CUP",,,,"astro-ph",,"  The application of the I band Tully--Fisher relation towards determining the
Hubble constant is reviewed, with particular attention to the impact of scatter
and bias corrections in the relation. A template relation is derived from
galaxies in 24 clusters. A subset of 14 clusters with cz ~ 4000 to 9000 km/s is
used as an inertial frame to define the velocity zero point of the relation.
Twelve galaxies with Cepheid distances are used to establish the absolute
magnitude scale of the Tully--Fisher relation, and thus to determine a value of
H_not = 70\pm5 km/s/Mpc. Estimates of the peculiar velocities of the Virgo and
Fornax clusters are also given. Assuming that the distance to Fornax is 18.2
Mpc (N1365), H_not = 76\pm8 km/s/Mpc. Assuming that Virgo lies at 17.4 Mpc
(M100, N4496, N4639), H_not = 67\pm8 km/s/Mpc.
","[{""version"":""v1"",""created"":""Tue, 15 Oct 1996 21:02:28 GMT""}]","2007-05-23"
