"alg-geom/9610018","Bernd Sturmfels","Bernd Sturmfels","Equations Defining Toric Varieties","AMS-Tex, 13 pages",,,,"alg-geom math.AC math.AG",,"  This article will appear in the proceedings of the AMS Summer Institute in
Algebraic Geometry at Santa Cruz, July 1995. The topic is toric ideals, by
which I mean the defining ideals of subvarieties of affine or projective space
which are parametrized by monomials. Numerous open problems are given.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 14:17:39 GMT""}]","2008-02-03"
"astro-ph/9610202","Jeff Willick","Jeffrey A. Willick (Stanford University) Stephane Courteau (NOAO) S.M.
  Faber (UC Santa Cruz) David Burstein (Arizona State University) Avishai Dekel
  (Hebrew University) Michael A. Strauss (Princeton University)","Homogeneous Velocity-Distance Data for Peculiar Velocity Analysis. III.
  The Mark III Catalog of Galaxy Peculiar Velocities","47 pages, 4 encapsulated postscript figures; 7 tables, of which 4
  (Tables 2,4,5, and 7) are separate. Accepted for publication in ApJ
  Supplements. Data available at http://astro.stanford.edu/MarkIII","Astrophys.J.Suppl. 109 (1997) 333","10.1086/312983",,"astro-ph",,"  This is the third in a series of papers in which we assemble and analyze a
homogeneous catalog of peculiar velocity data. In Papers I and II, we described
the Tully-Fisher (TF) redshift-distance samples that constitute the bulk of the
catalog, and our methodology for obtaining mutually consistent TF calibrations
for these samples. In this paper, we supply further technical details of the
treatment of the data, and present a subset of the catalog in tabular form. The
full catalog, known as the Mark III Catalog of Galaxy Peculiar Velocities, is
available in accessible on-line databases, as described herein. The electronic
catalog incorporates not only the TF samples discussed in Papers I and II, but
also elliptical galaxy Dn-sigma samples originally presented elsewhere. The
relative zeropointing of the elliptical and spiral data sets is discussed here.
  The basic elements of the Mark III Catalog are the observables for each
object (redshift, magnitude, velocity width, etc.) and inferred distances
derived from the TF or Dn-sigma relations. Malmquist bias-corrected distances
are computed for each catalog object using density fields obtained from the
IRAS 1.2 Jy redshift survey. Distances for both individual objects and groups
are provided. A variety of auxiliary data, including distances and local
densities predicted from the IRAS redshift survey reconstruction method, are
tabulated as well. We study the distributions of TF residuals for three of our
samples and conclude that they are well-approximated as Gaussian. For the
Mathewson et al. sample we demonstrate a significant decrease in TF scatter
with increasing velocity width. We test for, but find no evidence of, a
correlation between TF residuals and galaxy morphology.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:27:35 GMT""}]","2009-10-28"
"astro-ph/9610207","Francois Hammer","F. Hammer, P. Teyssandier, E. J. Shaya, I. M. Gioia, G. A. Luppino and
  O. Le F\`evre","Detailed lensing properties of the MS2137-2353 core and reconstruction
  of sources","12 pages,Latex, available at ftp://gin.obspm.fr/depot/hammer ,
  Submitted to ApJ Letter",,,,"astro-ph",,"  A deep HST image of the MS 2137-2353 core has revealed detailed morphological
structures in two arc systems, which are modelled and well reproduced after a
complete analysis of the lensing properties of the dark matter component.
Latter could have a simple elliptical mass distribution with ellipticity and
angular orientation similar to those of the visible and X-ray light, which
suggests that the MS 2137-2353 is a relaxed cluster at z=0.313. The predicted
density profile ($\rho$ $\sim$ $r^{-1.56\pm0.1}$ with $r_{c}$ $\le$
22.5$h_{50}^{-1}$ kpc) within 150$h_{50}^{-1}$ kpc implies increasing M/L ratio
with the radius, and could be in agreement with predictions from standard CDM
simulations. At least two faint sources (unlensed magnitude, R=23.9 and 26,
respectively) are aligned with the cluster core and are responsible of the arc
systems. They have been reconstructed with details as small as 0"".02 (or
160$h_{50}^{-1}$ pc in the source assumed at z= 1), one could be a nearly
edge-on barred spiral galaxy, and the other has a more complex morphology,
which could be related to a close interacting pair and/or to dust. They show
strong signs of star formation indicated by compact HII regions well off their
center. The observation of giant luminous arcs by HST could even resolve the
size of giant HII regions at z$\sim$ 1.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 18:43:12 GMT""}]","2007-05-23"
"astro-ph/9610208","Liu Fu Kun","F. K. Liu (SISSA, Trieste, Italy), B.F. Liu, G.Z. Xie (Yunnan
  Observatory, China)","The long-term optical behavior of MRK421","Tex, 14 pages, 5 Postscript figures. Accepted for publication in A&A
  Supplement Series",,"10.1051/aas:1997173",,"astro-ph",,"  All data available in B band for the BL Lac object MRK421 from 22
publications are used to construct a historical light curve, dating back to
1900. It is found that the light curve is very complicated and consists of a
set of outbursts with very large duration. The brightness of MRK421 varies from
11.6 magnitude to more than 16 magnitude. Analyses with Jurkevich method of
computing period of cyclic phenomena reveal in the light curve two kinds of
behaviors. The first one is non-periodic with rapid, violent variations in
intensity on time scales of hours to days. The second one is periodic with a
possible period of $23.1\pm 1.1$ years. Another possible period of $15.3\pm
0.7$ years is not very significant. We have tested the robustness of the
Jurkevich method. The period of about one year found in the light curves of
MRK421 and of other objects is a spurious period due to the method and the
observing window. We try to explain the period of $23.1 \pm1.1$ years under the
thermal instability of a slim accretion disk around a massive black hole of
mass of $2 *10^6 M_\odot$.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 19:28:54 GMT""}]","2009-10-28"
"astro-ph/9610209","Hiroshi Nunokawa","H. Nunokawa, Y.-Z. Qian and G. M. Fuller","Resonant Neutrino Spin-Flavor Precession and Supernova Nucleosynthesis
  and Dynamics","Latex file, 33 pages including 11 figures, uses psfig.sty, minor
  changes about wording and clarification of the text, to be published in Phys.
  Rev. D","Phys.Rev. D55 (1997) 3265-3275","10.1103/PhysRevD.55.3265","FTUV/96-72, IFIC/96-81","astro-ph hep-ph",,"  We discuss the effects of resonant spin-flavor precession (RSFP) of Majorana
neutrinos on heavy element nucleosynthesis in neutrino-heated supernova ejecta
and the dynamics of supernovae. In assessing the effects of RSFP, we explicitly
include matter-enhanced (MSW) resonant neutrino flavor conversion effects where
appropriate. We point out that for plausible ranges of neutrino magnetic
moments and proto-neutron star magnetic fields, spin-flavor conversion of
$\nu_\tau$ (or $\nu_\mu$) with a cosmologically significant mass (1--100 eV)
into a light $\bar \nu_e$ could lead to an enhanced neutron excess in
neutrino-heated supernova ejecta. This could be beneficial for models of
$r$-process nucleosynthesis associated with late-time neutrino-heated ejecta
from supernovae. Similar spin-flavor conversion of neutrinos at earlier epochs
could lead to an increased shock reheating rate and, concomitantly, a larger
supernova explosion energy. We show, however, that such increased neutrino
heating likely will be accompanied by an enhanced neutron excess which could
exacerbate the problem of the overproduction of the neutron number $N = 50$
nuclei in the supernova ejecta from this stage. In all of these scenarios, the
average $\bar\nu_e$ energy will be increased over those predicted by supernova
models with no neutrino mixings. This may allow the SN1987a data to constrain
RSFP-based schemes.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 18:28:30 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 1997 12:16:42 GMT""}]","2009-10-28"
"astro-ph/9610210","Yadigaroglu I.-A.","I.-A. Yadigaroglu and Roger W. Romani (Stanford University)","Gamma-Ray Pulsars and Massive Stars in the Solar Neighborhood","9 pages, 5 figures, uses aassize.sty (included). To appear in Ap.J.
  See http://astrophys.stanford.edu/home/ion",,"10.1086/303601",,"astro-ph",,"  We revisit the association of unidentified Galactic plane EGRET sources with
tracers of recent massive star formation and death. Up-to-date catalogs of OB
associations, SNRs, young pulsars, HII regions and young open clusters were
used in finding counterparts for a recent list of EGRET sources. It has been
argued for some time that EGRET source positions are correlated with SNRs and
OB associations as a class; we extend such analyses by finding additional
counterparts and assessing the probability of individual source
identifications. Among the several scenarios relating EGRET sources to massive
stars, we focus on young neutron stars as the origin of the gamma-ray emission.
The characteristics of the candidate identifications are compared to the known
gamma-ray pulsar sample and to detailed Galactic population syntheses using our
outer gap pulsar model of gamma-ray emission. Both the spatial distribution and
luminosity function of the candidates are in good agreement with the model
predictions; we infer that young pulsars can account for the bulk of the excess
low latitude EGRET sources. We show that with this identification, the
gamma-ray point sources provide an important new window into the history of
recent massive star death in the solar neighborhood.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 18:52:24 GMT""}]","2009-10-28"
"astro-ph/9610211","Jerome A. Orosz","Jerome A. Orosz (The Pennsylvania State University) and Charles D.
  Bailyn (Yale)","Optical Observations of GRO J1655-40 in Quiescence I: A Precise Mass for
  the Black Hole Primary","30 pages, 12 figures, LaTeX (uses orosztwo.sty), to appear in ApJ,
  vol. 474 (March 10, 1997)","Astrophys.J. 477 (1997) 876","10.1086/303741",,"astro-ph",,"  We report photometric and spectroscopic observations of the black hole binary
GRO J1655-40 in complete quiescence. In contrast to the 1995 photometry, the
light curves from 1996 are almost completely dominated by ellipsoidal
modulations from the secondary star. Model fits to the light curves, which take
into account the temperature profile of the accretion disk and eclipse effects,
yield an inclination of i=69.50 +/- 0.08 degrees and a mass ratio of Q=2.99 +/-
0.08. The precision of our determinations of i and Q allow us to determine the
black hole mass to an accuracy of approximately 4% (7.02 +/- 0.22 solar
masses). The secondary star's mass is 2.34 +/- 0.12 solar masses. The position
of the secondary on the Hertzsprung-Russell diagram is consistent with that of
a 2.3 solar mass star which has evolved off the main sequence and is halfway to
the start of the giant branch. Using the new spectra we present an improved
value of the spectroscopic period (2.62157 +/- 0.00015 days), radial velocity
semiamplitude (228.2 +/- 2.2 km/sec), and mass function (3.24 +/- 0.09 solar
masses). Evolutionary models suggest an average mass transfer rate for such a
system of 3.4E-9 solar masses per year (2.16E+17 grams per second), which is
much larger than the average mass transfer rates implied in the other six
transient black hole systems, but still barely below the critical mass transfer
rate required for stability.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:10:30 GMT""}]","2009-10-28"
"astro-ph/9610212","Marco Tavani","M. Tavani (Columbia), A. Fruchter (STScI), S.N. Zhang (USRA-MSFC),
  B.A. Harmon (MSFC), R.N. Hjellming (NRAO), M.P. Rupen (NRAO), C. Bailyn
  (Yale), M. Livio (STScI)","Dual Nature of Hard X-Ray Outbursts from the Superluminal X-Ray
  Transient Source GRO J1655-40","11 pages, one figure included as postscript file. One additional
  figure available on request from tavani@meleas.phys.columbia.edu, to appear
  in Astrophysical Journal Letters",,"10.1086/310406","CAL-618","astro-ph",,"  We report the results of multiwavelength observations of the superluminal
X-ray transient GRO J1655-40 during and following the prominent hard X-ray
outburst of March-April 1995. GRO J1655-40 was continuously monitored by BATSE
on board CGRO, and repeatedly observed in the radio and optical bands from the
ground. About a month after the onset of the hard X-ray outburst, GRO J1655-40
was observed twice by HST on April 25 and 27 1995, with the aim of detecting
faint optical emission from ejected plasmoids. Despite the similarity of the
hard X-ray emission in April 1995 with previous events in 1994, no radio or
optical emission related to plasmoids was detected. We conclude that GRO
J1655-40 is subject to a complex behavior showing: radio-loud hard X-ray
outbursts with strong radio emission (of flux $f_r \goe 100$~mJy) both from a
`core' source and from propagating plasmoids (as those in 1994), and
radio-quiet hard X-ray outbursts with no detectable radio emission and plasmoid
activity ($f_r \loe 0.5$~mJy) (as those in 1995). Our results can constrain
models of particle acceleration and radiation of relativistic plasmoids.
","[{""version"":""v1"",""created"":""Fri, 25 Oct 1996 21:25:10 GMT""}]","2009-10-28"
"astro-ph/9610215","Andrew Liddle","Andrew R Liddle and Pedro T P Viana","Inflation, structure formation and dark matter","10 pages LaTeX file with eight figures incorporated using epsf. To
  appear, proceedings of `Aspects of dark matter in astro- and particle
  physics', Heidelberg, September 1996",,,"SUSSEX-AST 96/10-3","astro-ph hep-ph",,"  The formation of structure in the Universe offers some of the most powerful
evidence in favour of the existence of dark matter in the Universe. We
summarize recent work by ourselves and our collaborators, using linear and
quasi-linear theory to probe the allowed parameter space of structure formation
models with perturbations based on the inflationary cosmology. Observations
used include large and intermediate angle microwave background anisotropies,
galaxy clustering, the abundance of galaxy clusters and object abundances at
high redshift. The cosmologies studied include critical density models with
cold dark matter and with mixed dark matter, cold dark matter models with a
cosmological constant and open cold dark matter models. Where possible, we have
updated results from our journal papers.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 11:28:55 GMT""}]","2007-05-23"
"astro-ph/9610216","Erwin de Blok","W.J.G. de Blok (Kapteyn Institute, Groningen, Netherlands), Stacy
  McGaugh (Dept. of Terrestrial Magnetism, Washington DC)","Dark Matter in Low Surface Brightness Galaxies","8 pages, uses paspconf.sty. To be published in ``Dark and Visible
  Matter in Galaxies and Cosmological Implications'', Sesto Pusteria, Italy,
  2-5 July, 1996,PASP Conference Series, eds M.Persic and P.Salucci. Also
  available at http://www.astro.rug.nl/~blok/lsb.html",,,,"astro-ph",,"  Low Surface Brightness (LSB) galaxies form a large population of disc
galaxies that extend the Hubble sequence towards extreme late-types. They are
only slowly evolving, and still in an early evolutionary state. The
Tully-Fisher relation and rotation curves of LSB galaxies both show that LSB
galaxies are very dark-matter dominated with respect to ``normal'' high surface
brightness (HSB) galaxies. Mass models derived from the rotation curves of LSB
and HSB galaxies show that LSB galaxies inhabit less dense and more extended
halos. Mass density, which changes with surface brightness, is as important in
determining the evolution of a galaxy as total mass is.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 12:29:22 GMT""}]","2007-05-23"
"astro-ph/9610217","Sergio Gelato","Sergio Gelato, Fabio Governato","Bringing light to galaxy formation simulations","10 pages, LaTeX, 8 ps figures, uses aaspp4.sty. Slightly extended
  version of contribution to ""Dark and visible matter in galaxies"", eds M.
  Persic and P. Salucci, ASP Conference Series. PostScript also available at
  http://www-hpcc.astro.washington.edu/faculty/fabio/gel_gov.ps",,,,"astro-ph",,"  Models of galaxy formation ultimately aim at reproducing the _observed_
properties of galaxies. We report on work in progress to predict luminosities,
colours and morphologies of field objects of various masses through N-body +
Smoothed Particle Hydrodynamics simulations. We describe our method, illustrate
the effects of varying the star formation assumptions, show some preliminary
results, draw encouragement from their strengths as well as lessons about what
improvements are most needed.
","[{""version"":""v1"",""created"":""Sat, 26 Oct 1996 15:38:20 GMT""}]","2007-05-23"
