"adap-org/9611001","Shinya Watanabe","Shinya Watanabe (Niels Bohr Institute, CATS) and James W. Swift
  (Northern Arizona University)","Stability of periodic solutions in series arrays of Josephson junctions
  with internal Capacitance","41 pages, TeX file with 9 EPSI figures (need psfig to include)",,,,"adap-org nlin.AO",,"  A mystery surrounds the stability properties of the splay-phase periodic
solutions to a series array of N Josephson junction oscillators. Contrary to
what one would expect from dynamical systems theory, the splay state appears to
be neutrally stable for a wide range of system parameters. It has been
explained why the splay state must be neutrally stable when the
Stewart-McCumber parameter beta is zero. In this paper we complete the
explanation of the apparent neutral stability; we show that the splay state is
typically hyperbolic -- either asymptotically stable or unstable -- when beta >
0. We conclude that there is only a single unit Floquet multiplier, based on
accurate and systematic computations of the Floquet multipliers for beta
ranging from 0 to 10. However, N-2 multipliers are extremely close to 1 for
beta larger than about 1. In addition, two more Floquet multipliers approach 1
as beta becomes large. We visualize the global dynamics responsible for these
nearly degenerate multipliers, and then estimate them accurately by a multiple
time-scale analysis. For N=4 junctions the analysis also predicts that the
system converges toward either the in-phase state, the splay state, or two
clusters of two oscillators, depending on the parameters.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 18:41:39 GMT""}]","2015-06-30"
"alg-geom/9611002","Robert Gassler","Terence Gaffney, Robert Gassler","Segre Numbers and Hypersurface Singularities","32 pages, AMSTEX 2.1/AMSPPT",,,,"alg-geom math.AG",,"  We define the Segre numbers of an ideal as a generalization of the
multiplicity of an ideal of finite colength. We prove generalizations of
various theorems involving the multiplicity of an ideal such as a principle of
specialization of integral dependence, the Rees-B\""oger theorem, and the
formula for the multiplicity of the product of two ideals. These results are
applied to the study of various equisingularity conditions, such as Verdier's
condition W, and conditions $A_f$ and $W_f$.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 16:11:56 GMT""}]","2008-02-03"
"astro-ph/9611004","Ian Smail","Alan Dressler and Ian Smail","HST Observations of Distant Clusters: Implications for Galaxy Evolution","9 pages, Latex, 3 figures, hx37_latex.sty included. Invited review to
  appear in the proceedings of the 37th Herstmonceux conference ``HST and the
  High Redshift Universe''",,,,"astro-ph",,"  The ``MORPHS'' group has completed the cataloging, parameterization, and
morphological classification of ~2000 galaxies in 10 rich clusters from 0.36 <
z < 0.56. From a weak lensing analysis using these data, which compares the
X-ray properties (L_X) of the clusters with virial temperature estimates (T_v)
from the lensing shear strength, we find little evidence for evolution in the
L_X-T_v relation from that observed for local clusters. We discuss how this
observation constrains models for the X-ray evolution of clusters. The data
have also been used to study the color dispersion of bona-fide ellipticals in
high-z clusters: we find the spread to be very small, suggesting an early
formation epoch for the stellar populations of cluster ellipticals. This is
consistent with the evolution of the morphology-density relationship, in which
we find ellipticals to be as abundant at z=0.5 as in clusters today, and
already well ensconced in the dense regions. In contrast, S0's are less
plentiful and less well-concentrated compared to the present epoch, and spiral
galaxies everywhere more abundant. Combined with other spectroscopic and
morphological data, these observations suggest that most of these rapidly
evolving systems are not likely to become bright ellipticals, which were more
likely formed at early epochs. Cluster S0 galaxies, on the other hand, are
likely to have been produced in large numbers in the recent past.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 17:11:24 GMT""},{""version"":""v2"",""created"":""Mon, 25 Nov 1996 09:12:41 GMT""}]","2008-02-03"
"astro-ph/9611005","Pawan Kumar","Pawan Kumar (IAS, Princeton), Eliot J. Quataert (Harvard, Cambridge)","Differential rotation enhanced dissipation of tides in the PSR
  J0045-7319 Binary","8 pages, tex. Submitted to ApJ",,"10.1086/310573",,"astro-ph",,"  Recent observations of PSR J0045-7319, a radio pulsar in a close eccentric
orbit with a massive B-star companion, indicate that the system's orbital
period is decreasing on a timescale of $\approx 5 \times10^{5}$ years, which is
much shorter than the timescale of $\approx$ 10^9 years given by the standard
theory of tidal dissipation in radiative stars. Observations also provide
strong evidence that the B-star is rotating rapidly, perhaps at nearly its
break up speed. We show that the dissipation of the dynamical tide in a star
rotating in the same direction as the orbital motion of its companion (prograde
rotation) with a speed greater than the orbital angular speed of the star at
periastron results in an increase in the orbital period of the binary system
with time. Thus, since the observed time derivative of the orbital period is
large and negative, the B-star in the PSR J0045-7319 binary must have
retrograde rotation if tidal effects are to account for the orbital decay. We
also show that the time scale for the synchronization of the B-star's spin with
the orbital angular speed of the star at periastron is comparable to the
orbital evolution time. From the work of Goldreich and Nicholson (1989) we
therefore expect that the B-star should be rotating differentially, with the
outer layers rotating more slowly than the interior. We show that the
dissipation of the dynamical tide in such a differentially rotating B-star is
enhanced by almost three orders of magnitude leading to an orbital evolution
time for the PSR J0045-7319 Binary that is consistent with the observations.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 17:19:09 GMT""}]","2009-10-28"
"astro-ph/9611006","Pawan Kumar","Pawan Kumar (IAS, Princeton), Eliot J. Quataert (Harvard, Cambridge)","Angular momentum transport by gravity waves and its effect on the
  rotation of the solar interior","10 pages, tex, 3 figures. To appear in ApJ letter","Astrophys.J. 475 (1997) L143-L146","10.1086/310477",,"astro-ph",,"  We calculate the excitation of low frequency gravity waves by turbulent
convection in the sun and the effect of the angular momentum carried by these
waves on the rotation profile of the sun's radiative interior. We find that the
gravity waves generated by convection in the sun provide a very efficient means
of coupling the rotation in the radiative interior to that of the convection
zone. In a differentially rotating star, waves of different azimuthal number
have their frequencies in the local rest frame of the star Doppler shifted by
different amounts. This leads to a difference in their local dissipation rate
and hence a redistribution of angular momentum in the star. We find that the
time scale for establishing uniform rotation throughout much of the radiative
interior of the sun is $\sim 10^7$ years, which provides a possible explanation
for the helioseismic observations that the solar interior is rotating as a
solid body.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 18:28:08 GMT""}]","2009-10-28"
"astro-ph/9611007",,"M. L. Houdashelt, R. A. Bell","Near-Infrared Synthetic Spectra of Elliptical Galaxies","4 pages, Tex, 2 eps figures included, to appear in the conference
  proceedings of the Second Stromlo Symposium: The Nature of Elliptical
  Galaxies",,,,"astro-ph",,"  We present the first results from our population synthesis models of
elliptical galaxies. In this paper, we concentrate upon the near-infrared
region of the spectrum (0.7-3 um). We model elliptical galaxies as coeval,
single-metallicity stellar populations. Integrated spectra are constructed from
synthetic spectra of the stars which lie along 6, 10 and 16 Gyr isochrones
having [Fe/H]=+0.39, 0.00 and -0.47. The V-K and H-K colors and CO indices
measured from our synthetic, integrated spectra are found to agree well with
E/S0 galaxy photometry, but the J-K colors of the models are redder than the
galaxies at a given V-K. We attribute this discrepancy to the oscillator
strengths we employ for spectral lines in the phi system of TiO. We have
probably overestimated the strengths of these lines, causing our J-band
magnitudes to be too faint and our model J-K colors too red.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 21:35:27 GMT""}]","2007-05-23"
"astro-ph/9611008","Insu Yi","Insu Yi (IAS, Princeton) and Ramesh Narayan (IAS and CfA, Cambridge)","Lithium Production in Hot Advection-Dominated Accretion Flows in Soft
  X-Ray Transients","21 pages, AASLATEX, no figures, final, revised version, ApJ",,"10.1086/304492",,"astro-ph",,"  High Li abundances have been reported in the late type secondaries of five
soft X-ray transients (SXTs), V404 Cyg, A0620-00, GS2000+25, Nova Mus 1991, and
Cen X-4. Since Li is likely to be depleted in stars of this type, the origin of
the Li is puzzling. Li has not been seen in similar secondaries of cataclysmic
variables, which suggests that the high Li abundance is not due to an anomalous
suppression of Li depletion in close binaries. SXTs in the quiescent state have
hot advection-dominated accretion flows (ADAFs) in which the ions are
essentially at virial temperature. At such temperatures, Li production via
$\alpha-\alpha$ spallation is possible. We show that quiescent SXTs can produce
sufficient Li via spallation to explain the observations in V404 Cyg, A0620-00,
GS2000+25, and Nova Mus 1991. Depending on the Li depletion time scale in the
secondary, which may range between $10^7-10^9$ yr, the model requires $\sim
10^{-4}-10^{-6}$ of the accreted mass to be intercepted by the secondary after
undergoing Li production and being ejected. In the case of Cen X-4, we can
explain the observed Li only if the mass accretion rate is $\sim 10^{-3}$ times
the Eddington rate and if there is enhanced ejection due to a propeller effect.
We discuss possible observational tests of this proposal. Li production during
outbursts could be quite important and may even dominate over the production
during quiescence, but the estimate of the Li yield is uncertain. We calculate
the expected luminosity in gamma-ray lines due to the production of excited Li
and Be nuclei, but conclude that the line cannot be detected with current
instruments.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 21:42:33 GMT""},{""version"":""v2"",""created"":""Mon, 28 Apr 1997 14:44:53 GMT""}]","2009-10-28"
"astro-ph/9611009",,"R. A. Bell, M. L. Houdashelt","Optical Synthetic Spectra of Elliptical Galaxies","2 pages, Tex, 2 eps figures included, to appear in the conference
  proceedings of the Second Stromlo Symposium: The Nature of Elliptical
  Galaxies",,,,"astro-ph",,"  We present the first results from our population synthesis models of
elliptical galaxies. In this paper, we concentrate upon the optical region of
the spectrum (3000-7000 A). We model elliptical galaxies as coeval,
single-metallicity stellar populations. Integrated spectra are constructed from
synthetic spectra of the stars which lie along 6, 10 and 16 Gyr isochrones
having [Fe/H]=+0.39, 0.00 and -0.47. Our oldest, solar-metallicity spectrum is
found to be an excellent match to a spectrum of the E1/S0 galaxy NGC 4472. The
broad-band colors measured from our models infer that the reddest E/S0 galaxies
have [Fe/H]~+0.25, with bluer galaxies probably having lower metallicities
rather than younger ages. In addition, the Lick indices derived from our
synthetic spectra are compared to Worthey's (1994) models and the observed
indices in elliptical galaxies.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 21:55:05 GMT""}]","2007-05-23"
"astro-ph/9611010","Tom Barlow","Thomas A. Barlow and W. L. W. Sargent (Caltech)","Keck High Resolution Spectroscopy of PKS 0123+257: Intrinsic Absorption
  in a Radio Loud Quasar","16 pages with 5 figures, AAS LaTex v4.0. To appear in the
  Astronomical Journal, January 1997","Astron.J.113:136-143,1997","10.1086/118239",,"astro-ph",,"  We present results from Keck I high resolution spectroscopy of the radio loud
quasar PKS 0123+257 ($z_e$=2.364, V=17.5). In this object we detect Ly$\alpha$,
N V 1238,1242, Si IV 1393,1402, and C IV 1548,1550 in an absorption system at a
redshift of 2.369. The Ly$\alpha$ line has a square- bottomed profile
suggesting a high column density of gas, yet the line does not reach zero
intensity. The resolved C IV doublet ratio also clearly demonstrates that the
absorbing clouds at this redshift do not fully occult the background light
source along our line-of-sight.
  The absorption lines are positioned near the centers of the broad emission-
lines and the coverage fraction of the strongest absorption lines varies
inversely proportionally with the strength of the corresponding emission lines.
This implies that although the absorption-line region may obscure the continuum
source, it does not completely occult the broad emission-line region. This
effect suggests that the lines are formed close to the QSO central region. A
model is proposed in which the apparent coverage fraction derived for the
weaker absorption lines may vary with the column density of the lines.
  Broad absorption-lines (which are known to be intrinsic) are found nearly
exclusively in radio-quiet objects. Intrinsic narrow absorption lines have
previously been found in radio quiet QSOs; it is therefore significant that an
intrinsic absorption system has been verified in a radio loud quasar.
","[{""version"":""v1"",""created"":""Fri, 1 Nov 1996 23:21:49 GMT""}]","2014-10-13"
"astro-ph/9611011","Neil Trentham","Neil Trentham","A candidate supernova in the ultraluminous galaxy IRAS 12112+0305","3 pages, 2 figs, Postscript, A&A research note in press",,,"MS5573","astro-ph",,"  We report the discovery of a candidate supernova in the ultraluminous galaxy
IRAS 12112+0305 during April/May 1995. This would be the first supernova
discovered in an ultraluminous galaxy with L_IR > 10^12 L_sun, although
supernovae have been discovered in the slightly less extreme starburst galaxy
NGC 3690. If this is a supernova, our very limited observations suggest that it
is a Type II.
","[{""version"":""v1"",""created"":""Sat, 2 Nov 1996 06:14:35 GMT""}]","2007-05-23"
"astro-ph/9611012","Francis Bernardeau","F. Bernardeau (SPhT Saclay)","Weak Lensing Detection in CMB Maps","13 pages; revised version, in press in Astronomy and Astrophysics","Astron.Astrophys. 324 (1997) 15-26",,"Saclay SPhT T96/122","astro-ph",,"  The weak lensing effects are known to change only weakly the shape of the
power spectrum of the Cosmic Microwave Background (CMB) temperature
fluctuations. I show here that they nonetheless induce specific non-Gaussian
effects that can be detectable with the four-point correlation function of the
CMB anisotropies. The magnitude and geometrical dependences of this correlation
function are investigated in detail. It is thus found to scale as the square of
the derivative of the two-point correlation function and as the angular
correlation function of the gravitational displacement field. It also contains
specific dependences on the shape of the quadrangle formed by the four
directions.
  When averaged at a given scale, the four-point function, that identifies with
the connected part of the fourth moment of the probability distribution
function of the local filtered temperature, scales as the square of logarithmic
slope of its second moment, and as the variance of the gravitational
magnification at the same angular scale.
  All these effects have been computed for specific cosmological models. It is
worth noting that, as the amplitude of the gravitational lens effects has a
specific dependence on the cosmological parameters, the detection of the
four-point correlation function could provide precious complementary
constraints to those brought by the temperature power spectrum.
","[{""version"":""v1"",""created"":""Sat, 2 Nov 1996 11:14:04 GMT""},{""version"":""v2"",""created"":""Wed, 5 Mar 1997 15:55:13 GMT""}]","2016-08-30"
