"adap-org/9611003","David A. Head","D. A. Head and G. J. Rodgers","A model of macroevolution with a natural system size","Complete rewrite, small mistake in model corrected",,,,"adap-org cond-mat.stat-mech nlin.AO q-bio",,"  We describe a simple model of evolution which incorporates the branching and
extinction of species lines, and also includes abiotic influences. A first
principles approach is taken in which the probability for speciation and
extinction are defined purely in terms of the fitness landscapes of each
species. Numerical simulations show that the total diversity fluctuates around
a natural system size $N_{\rm nat}$ which only weakly depends upon the number
of connections per species. This is in agreement with known data for real
multispecies communities. The numerical results are confirmed by approximate
mean field analysis.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:35:19 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jul 1998 08:53:23 GMT""}]","2008-02-03"
"alg-geom/9611006","Harry Tamvakis","Harry Tamvakis","Arithmetic Intersection Theory on Flag Varieties","26 pages, LaTex",,,,"alg-geom math.AG",,"  Let F be the complete flag variety over Spec(Z) with the tautological
filtration 0 \subset E_1 \subset E_2 \subset ... \subset E_n=E of the trivial
bundle E over F. The trivial hermitian metric on E(\C) induces metrics on the
quotient line bundles L_i(\C). Let \hat{c}_1(L_i) be the first Chern class of
L_i in the arithmetic Chow ring \hat{CH}(F) and x_i = -\hat{c}_1(L_i). Let
h(X_1,...,X_n) be a polynomial with integral coefficients in the ideal
<e_1,...,e_n> generated by the elementary symmetric polynomials e_i. We give an
effective algorithm for computing the arithmetic intersection h(x_1,...,x_n) in
\hat{CH}(F), as the class of a SU(n)-invariant differential form on F(\C). In
particular we show that all the arithmetic Chern numbers one obtains are
rational numbers. The results are true for partial flag varieties and
generalize those of Maillot for grassmannians. An `arithmetic Schubert
calculus' is established for an `invariant arithmetic Chow ring' which
specializes to the Arakelov Chow ring in the grassmannian case.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 03:49:40 GMT""}]","2008-02-03"
"alg-geom/9611007","Jose-Ignacio Burgos Gil","Jose I. Burgos, Steve Wang","Higher Bott Chern forms and Beilinson's regulator","AMSTEX v 2.1, 37 pags. The main changes are in section 5 where an
  error has been corrected and some proofs have been clarified. Some
  typographical errors have been fixed throughout the paper. The introduction
  has been changed. To appear in Inv. Math",,,,"alg-geom math.AG",,"  Let X be a smooth complex algebraic variety. In this paper, we associate, to
each exact n-cube of hermitian vector bundles over X, a differential form,
called higher Bott Chern form, which generalizes the Bott Chern forms
associated to an exact sequence of hermitian vector bundles. With these forms
we construct characteristic classes for higher K-theory and prove that these
classes agree with Beilinson's regulator. Thus we obtain a description of
Beilinson's regulator map in terms of hermitian vector bundles.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 11:51:36 GMT""},{""version"":""v2"",""created"":""Wed, 5 Nov 1997 11:14:21 GMT""}]","2008-02-03"
"astro-ph/9611037","Alexei Kritsuk","Alexei G. Kritsuk (St. Petersburg University)","On the Fundamental Properties of Dynamically Hot Galaxies","9 pages, 7 PostScript figures, uses MNRaS LaTeX style file; accepted
  for publication in MNRaS (Aug 1996)",,"10.1093/mnras/284.2.327","Preprint MPA No. 893, Oct 1995","astro-ph",,"  A two-component isothermal equilibrium model is applied to reproduce basic
structural properties of dynamically hot stellar systems immersed in their
massive dark haloes. The origin of the fundamental plane relation for giant
ellipticals is naturally explained as a consequence of dynamical equilibrium in
the context of the model. The existence of two galactic families displaying
different behaviour in the luminosity--surface-brightness diagram is shown to
be a result of a smooth transition from dwarfs, dominated by dark matter near
the centre, to giants dominated by the luminous stellar component. The
comparison of empirical scaling relations with model predictions suggests that
probably a unique dissipative process was operating during the violent stage of
development of stellar systems in the dark haloes, and the depth of the
potential well controlled the observed luminosity of the resulting galaxies.
The interpretation also provides some restrictions on the properties of dark
haloes implied by the fundamental scaling laws.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 17:15:23 GMT""},{""version"":""v2"",""created"":""Fri, 22 Nov 1996 11:08:47 GMT""}]","2015-06-24"
"astro-ph/9611040","Hans-Walter Rix","H.-W. Rix (Steward Observatory, Tucson and MPA, Garching)","Where Does Dark Matter Become Important in Elliptical Galaxies?","Postscript file (6 pages including 3 figures). Contribution to the
  DM1996 Workshop, Sesto, Italy",,,,"astro-ph",,"  Recent results from gravitational lensing are combined with new modeling of
the stellar velocity distributions in nearby galaxies to probe the connection
between the luminous and the dark matter in elliptical galaxies. From analysing
a small number of luminous ellipticals the following picture appears to emerge:
(1) the best fitting total mass distribution (luminous and dark) leads to a
flat rotation curve (v2=RdPhi/dR) from 0.3 to >= 3 effective radii; (2) half
the total mass inside the effective radius (~3kpc) may already be dark, and (3)
ellipticals reside in much denser halos than spiral galaxies of the same
stellar mass.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 18:39:32 GMT""}]","2007-05-23"
"astro-ph/9611041","John Feldmeier","John Feldmeier (Penn State), Robin Ciardullo, (Penn State) and George
  Jacoby (NOAO)","Planetary Nebulae as standard candles XI. Application to Spiral Galaxies","38 pages, TeX, with tables included but not figures. Uses epsf.tex
  and kpnobasic.tex. To be published in the Astophysical Journal. Full paper is
  available at http://www.astro.psu.edu/users/johnf/Text/research.html",,"10.1086/512787",,"astro-ph",,"  We report the results of an [O III] lambda 5007 survey for planetary nebulae
(PN) in three spiral galaxies: M101 (NGC 5457), M51 (NGC 5194/5195) and M96
(NGC 3368). By comparing on-band/off-band [O III] lambda 5007 images with
images taken in H-alpha and broadband R, we identify 65, 64 and 74 PN
candidates in each galaxy, respectively. From these data, an adopted M31
distance of 770 kpc, and the empirical planetary nebula luminosity function
(PNLF), we derive distances to M101, M51, and M96 of 7.7 +/- 0.5, 8.4 +/- 0.6,
and 9.6 +/- 0.6 Mpc. These observations demonstrate that the PNLF technique can
be successfully applied to late-type galaxies, and provide an important overlap
between the Population I and Population II distance scales. We also discuss
some special problems associated with using the PNLF in spiral galaxies,
including the effects of dust and the possible presence of [O III] bright
supernova remnants.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 19:13:24 GMT""}]","2015-06-24"
"astro-ph/9611042","Ani Thakar","Aniruddha R. Thakar, Barbara S. Ryden (The Ohio State University),
  Katherine P. Jore, Adrick H. Broeils (Cornell University)","NGC 4138 - A Case Study in Counterrotating Disk Formation","To appear in ApJ, 21 pages, LaTeX (aaspp4) format, 17 figs (gzipped
  tar file) also available at ftp://bessel.mps.ohio-state.edu/pub/thakar/cr2/
  or at http://www-astronomy.mps.ohio-state.edu/~thakar/",,"10.1086/303915",,"astro-ph",,"  The Sa(r) galaxy NGC 4138 has been recently found to contain an extensive
counterrotating disk which appears to be still forming. Up to a third of the
stars in the disk system may be on retrograde orbits. A counterrotating ring of
H II regions, along with extended counterrotating H I gas, suggests that the
retrograde material has been recently acquired in the gas phase and is still
trickling in. Using numerical simulations, we have attempted to model the
process by which the counterrotating mass has been accreted by this galaxy. We
investigate two possibilities: continuous retrograde infall of gas, and a
retrograde merger with a gas-rich dwarf galaxy. Both processes are successful
in producing a counterrotating disk of the observed mass and dimensions without
heating up the primary significantly. Contrary to our experience with a
fiducial cold, thin primary disk, the gas-rich merger works well for the
massive, compact primary disk of NGC 4138 even though the mass of the dwarf
galaxy is a significant fraction of the mass of the primary disk. Although we
have restricted ourselves mainly to coplanar infall and mergers, we report on
one inclined infall simulation as well. We also explore the possibility that
the H-alpha ring seen in the inner half of the disk is a consequence of
counterrotating gas clouds colliding with corotating gas already present in the
disk and forming stars in the process.
","[{""version"":""v1"",""created"":""Tue, 5 Nov 1996 20:58:04 GMT""}]","2009-10-28"
"astro-ph/9611043","Piercarlo Bonifacio","Piercarlo Bonifacio and Paolo Molaro","The primordial lithium abundance","Tex, uses MN.tex, 18 .ps figures; accepted MNRAS","Mon.Not.Roy.Astron.Soc. 285 (1997) 847-861","10.1093/mnras/285.4.847",,"astro-ph",,"  Lithium abundances in a selected sample of halo stars have been revised by
using the new accurate IRFM effective temperatures by Alonso, Arribas &
Martinez-Roger (1996a). From 41 plateau stars (Teff > 5700 and [Fe/H] <= -1.5)
we found no evidence for intrinsic dispersion, a tiny trend with Teff and no
trend with [Fe/H]. The trend with the Teff is fully consistent with the
standard Li isochrones of Deliyannis, Demarque & Kawaler (1990) implying a
primordial value for Li of A(Li) = 2.238 +/- 0.012 {1 sigma} +/- 0.05{sys}. The
present results argue against any kind of depletion predicted by diffusion,
rotational mixing or stellar winds. Therefore the Li observed in Pop II stars
provides a direct and reliable estimate of the baryonic density that can rival
other baryonic indicators such as the deuterium in high redshift systems. The
present upwards revision of primordial Li in the framework of SBBN gives at 1
sigma two solutions for the baryonic density: Omega_{B}h^2 = 0.0062
{+0.0018,-0.0011} or Omega_{B}h^2 = 0.0146 {+0.0029,-0.0033} .
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 10:44:01 GMT""}]","2015-06-24"
"astro-ph/9611044","Henric Krawczynski","H. Krawczynski, B. Funk, the HEGRA collaboration, S. Barthelmy, P.
  Butterworth, T. Cline, N. Gehrels, C. Kouveliotou, J. Fishman, C. Meegan","Search for TeV Counterparts of Gamma-Ray Bursts with the HEGRA
  Experiment","Latex file, 6 pages, 4 figures. Macros needed: epsf, sprocl. To
  appear in proceedings of the ""International School Of Cosmic-ray
  Astrophysics"", Erice, 16-23 June 1996, (World Scientific)",,,,"astro-ph",,"  The HEGRA experiment is an air shower detector system for the study of
neutral and charged cosmic rays in the energy range between 500 GeV to 10 PeV.
Here we give an overview of how the HEGRA detector is used to search for TeV
gamma-radiation associated with Gamma-Ray Bursts (GRBs) registered with the
Burst And Transient Source Experiment (BATSE) on board the Compton Gamma-Ray
Observatory. Furthermore, results of an archival search for GRB radiation above
15 TeV carried out with the HEGRA air shower arrays are shown. We conclude with
a summary of the search activities planned for the future.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 11:20:27 GMT""}]","2007-05-23"
"astro-ph/9611045","Erik Kuulkers","Erik Kuulkers, Michiel van der Klis and Arvind N. Parmar","Evidence for an anomalous state in the black-hole candidate 4U 1630-47","7 pages. LaTeX. 1 figure. Accepted for ApJ Letters",,"10.1086/310413",,"astro-ph",,"  We have re-analyzed two EXOSAT Medium Energy observations during part of the
1984 X-ray outburst of the black-hole candidate transient system 4U 1630-47.
One observation (May 10) shows fast timing properties (on timescales shorter
than ~250 s) typical of those of other black hole candidates in their high
states. The power-spectrum shows a power law with index 0.7 and fractional rms
amplitude (0.001-1 Hz) of 2%. Another observation, obtained one month earlier
(April 11), shows different fast timing behavior. The power spectrum of this
observation can be described by a power law with index 1.5 and fractional rms
amplitude (0.001-1 Hz) of 7%. This is inconsistent with the behavior during
low, high or very high states known to occur in most of the black hole
candidates. Instead, the timing properties resemble those recently reported
from ASCA observations of the superluminal black-hole candidates GRS 1915+105
and GRO J1655-40 (X-ray Nova Sco 1994). This timing behavior may represent a
new state of black hole candidates. In addition, the X-ray spectra of the three
sources show similar properties. Since GRS 1915+105 and GRO J1655-40 exhibit
superluminal jets, we propose that 4U 1630-47 is also a relativistic jet
source.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 13:40:54 GMT""}]","2009-10-28"
"astro-ph/9611046","Wolfgang Brandner","Wolfgang Brandner (AI Wuerzburg), Eva K. Grebel (AI Wuerzburg, UI at
  Urbana-Champaign), You-Hua Chu (UI Urbana-Champaign), Kerstin Weis (UI at
  Urbana-Champaign, ITA Heidelberg)","Ring Nebula and Bipolar Outflows Associated with the B1.5 Supergiant
  Sher #25 in NGC 3603","Figure 5 (plate 1) is available from the author upon request; gzipped
  postscript file also available at
  ftp://alkor.astro.uni-wuerzburg.de/pub/preprints/sher25_preprint.ps.gz or at
  http://www.astro.uni-wuerzburg.de/~brandner/pub.html ; to be published in ApJ
  Letters","ApJ 475 (1997) L45","10.1086/310460",,"astro-ph",,"  We have identified a ring-shaped emission-line nebula and a possible bipolar
outflow centered on the B1.5 supergiant Sher #25 in the Galactic giant HII
region NGC 3603 (distance 6 kpc). The clumpy ring around Sher #25 appears to be
tilted by 64 deg against the plane of the sky. Its semi-major axis (position
angle approx. 165 deg) is 6.9"" long, which corresponds to a ring diameter of
0.4 pc. The bipolar outflow filaments, presumably located above and below the
ring plane on either side of Sher #25, show a separation of approx. 0.5 pc from
the central star.
  High-resolution spectra show that the ring has a systemic velocity of V_LSR =
+19 km/s and a de-projected expansion velocity of 20 km/s, and that one of the
bipolar filaments has an outflow speed of approx. 83 km/s. The spectra also
show high [NII]/Halpha ratio, suggestive of strong N enrichment. Sher #25 must
be an evolved blue supergiant (BSG) past the red supergiant (RSG) stage. We
find that the ratio of equatorial to polar mass-loss rate during the red
supergiant phase was approx 16. We discuss the results in the framework of
RSG-BSG wind evolutionary models.
  We compare Sher #25 to the progenitor of SN 1987A, which it resembles in many
aspects.
","[{""version"":""v1"",""created"":""Wed, 6 Nov 1996 15:03:32 GMT""}]","2009-10-28"
