"alg-geom/9611012","Lothar Goettsche","Lothar G\""ottsche and Rahul Pandharipande","The quantum cohomology of blow-ups of P^2 and enumerative geometry","AMS-LaTeX, 26 pages",,,,"alg-geom math.AG",,"  We compute the Gromov-Witten invariants of the projective plane blown up in r
general points. These are determined by associativity from r+1 intial values.
Applications are given to the enumeration of rational plane curves with
prescribed multiplicities at fixed general points. We show that the numbers are
enumerative if at least one of the prescribed multiplicities is 1 or 2. In
particular, all the invariants for r<=8 (the Del Pezzo case) are enumerative.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:39:30 GMT""}]","2008-02-03"
"astro-ph/9611071",,"Sandip K. Chakrabarti, D. Ryu, D. Molteni, H. Sponholz, G. Lanzafame,
  G. Eggum","Numerical Simulations Of Advective Flows Around Black Holes","3 latex pages and 3 figures. paspconf.sty and psfig.tex included. To
  appear in the Proceedings of IAU-163: `Accretion Phenomena and Related
  Outflows', Eds. D. Wickramsinghe, L. Ferrario & G. Bicknell",,,,"astro-ph",,"  We present fully time-dependent solutions of accretion processes on black
holes and compare them with analytical solutions. We use Smoothed Particle
Hydrodynamics and Total Variation Diminishing mathods as the numerical
tenchniques. Apart from steady state solutions, we also obtain time dependent
results where the shock oscillates with the characteristic period of
quasi-periodic oscillations (QPOs) observed in galactic and extragalactic black
hole candidates. This oscillation produces 10-15% variation in the hard X-rays
in galactic candidates and in soft X-rays in Extragalactic candidates.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 18:03:36 GMT""}]","2007-05-23"
"astro-ph/9611072",,"Sandip K. Chakrabarti","Unified Accretion Disk Models Around Black Holes and Neutron Stars and
  Their Spectral Properties","11 latex pages including figures. paspconf.sty and psfig.tex
  included. Invited review lecture. To appear in the Proceedings of IAU-163:
  `Accretion Phenomena and Related Outflows', Eds. D. Wickramsinghe, L.
  Ferrario & G. Bicknell",,,,"astro-ph",,"  We review the current understanding of accretion flows around compact objects
with a special emphasis on advective disks. We discuss the influence of the
centrifugal pressure supported high density region around compact objects
(where shocks may also form) on the emitted spectra. We show that the
stationary and non-stationary spectral properties (such as, low and high
states, transition of states, quasi-periodic oscillations, quiescent and rising
phases of X-ray novae, etc.) of both low mass and supermassive black hole
candidates could be satisfactorily explained within the framework of the
analytical solution of the advective disks without invoking any ad hoc
components such as Compton clouds or magnetic corona.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 17:46:49 GMT""}]","2007-05-23"
"astro-ph/9611073",,"Sandip K. Chakrabarti","Aspects of Accretion Processes On a Rotating Black Hole","11 latex pages and 10 figures. Plenary talk lecture. Appearing in the
  Proceedings of XVIIIth Conference of the Indian Association for General
  Relativity and Gravitation, Eds. G. Date & B. Iyer",,,"IMSc/117","astro-ph",,"  We describe the most general nature of accretion and wind flows around a
compact object and emphasize on the properties which are special to black hole
accretion. The angular momentum distribution in the most general solution is
far from Keplerian, and the non-Keplerian disks can include standing shock
waves. We also present fully time dependent numerical simulation results to
show that they agree with these analytical solutions. We describe the spectral
properties of these accretion disks and show that the soft and hard states of
the black hole candidates could be explained by the change of the accretion
rate of the disk. We present fits of the observational data to demonstrate the
presence of sub-Keplerian flows around black holes.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 17:51:51 GMT""}]","2007-05-23"
"astro-ph/9611074",,"Sandip K. Chakrabarti","Spectral Properties of Galactic and Extragalactic Black Hole Candidates","5 latex pages including figures. jkas.sty and psfig.tex included.
  Invited review lecture. To appear in the Proceedings of 6th Asia-Pacific
  Conference (Journal of Korean Astronomical Society) August, 1996, Eds. H.M.
  Lee and S. Kim",,,,"astro-ph",,"  We review current theoretical understanding of the spectral properties (low
and high states, transition of states, quasi-periodic oscillations etc.) of the
low mass as well as supermassive black hole candidates.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 17:56:40 GMT""}]","2007-05-23"
"astro-ph/9611075",,"Sandip K. Chakrabarti","New Twists In The Study Of Gravity Wave Emission In Systems With Massive
  Black Holes","3 latex pages including figures. jkas.sty and psfig.tex included. To
  appear in the Proceedings of 6th Asia-Pacific Conference (Journal of Korean
  Astronomical Society) August, 1996, Eds. H.M. Lee and S. Kim",,,,"astro-ph",,"  Traditionlly, gravitational wave emission from a coalescing binary system is
computed using point mass approximations without considering any accretion
disk. However, it is believed that in many of the galactic nuclei, there are
supermassive central black holes surrounded by accretion disks. These accretion
disks must be necessarily supersonic on and outside the horizon simply because
the radial velocity (in the corotating frame) has to be the velocity of light
on the horizon while the sound speed must be smaller. However, supersonic flows
are typically sub-Keplerian. Thus, smaller black holes and neutron stars (which
are on instantaneously Keplerian orbit and lose energy and angular momentum
through gravitational radiation) on their way to coalesce with the central
black hole must accrete negative angular momentum from the disk. We study here
the way these disks affect the gravitational wave emission.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 18:23:09 GMT""}]","2007-05-23"
"astro-ph/9611078","Giuseppe Tormen","Giuseppe Tormen","The Rise and Fall of Satellites in Galaxy Clusters","Revised to match the published version","MNRAS 290, 411-421 (1997)","10.1093/mnras/290.3.411",,"astro-ph",,"  We use N-body simulations to study the infall of dark matter haloes onto rich
clusters of galaxies. After identification of all cluster progenitors in the
simulations, we select those haloes which accrete directly onto the main
cluster progenitor. We construct the mass function of these merging satellites,
and calculate the main orbital parameters for the accreted lumps. The average
circularity of the orbits is epsilon = 0.5, while either radial or almost
circular orbits are equally avoided. More massive satellites move along
slightly more eccentric orbits, with lower specific angular momentum and a
smaller pericentre. We find that the infall of satellites onto the main cluster
progenitor has a very anisotropic distribution. This anisotropy is to a large
extent responsible for the shape and orientation of the final cluster and of
its velocity ellipsoid. At the end of the simulations, the major axis of the
cluster is aligned both with that of its velocity ellipsoid, and with the major
axis of the ellipsoid defined by the satellite infall pattern, to 30 degrees on
average. We also find that, in lower mass clusters, a higher fraction of the
final virial mass is provided by small, dense satellites. These sink to the
centre of the parent cluster and so enhance its central density. This mechanism
is found to be partially responsible for the correlation between halo masses
and characteristic overdensities, recently highlighted by Navarro, Frenk &
White (1996).
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 15:11:34 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 1998 12:27:56 GMT""}]","2015-06-24"
"astro-ph/9611079","Dr D. J. Raine","I Cassidy, D.J.Raine (Department of Physics & Astronomy, University of
  Leicester, UK)","NGC 4151 - A unified active galactic nucleus","37 pages LaTeX, (accepted for Astronomy and Astrophysics)",,,,"astro-ph",,"  We present a unified picture of active galactic nuclei which we construct
from a detailed model of line emission in the active source in NGC 4151. In
this scheme NGC 4151 can be regarded as a typical active nucleus, special only
in its orientation. This alleviates a number of problems with a unified picture
based on a dusty molecular torus with a fixed structure (to which NGC 4151
appears as an anomaly)
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 13:21:07 GMT""},{""version"":""v2"",""created"":""Tue, 12 Nov 1996 10:59:38 GMT""}]","2008-02-03"
"astro-ph/9611081","Jon Bell","J. F. Bell (Jodrell Bank), M. Bailes (University of Melbourne), R. N.
  Manchester (ATNF), A. G. Lyne (Jodrell Bank), F. Camilo (Jodrell Bank) and J.
  S. Sandhu (CalTech)","Timing Measurements and Their Implications for Four Binary Millisecond
  Pulsars","8 pages, Latex, etc, requires mn.sty epsf.sty, Accepted for
  publication in MNRAS, 6 postscript figures included",,"10.1093/mnras/286.2.463",,"astro-ph",,"  We present timing observations of four millisecond pulsars, using data
obtained over three years at the ATNF Parkes and NRAL Jodrell Bank radio
telescopes. Astrometric, spin, and binary parameters are updated, and
substantially improved for three pulsars, PSRs J0613-0200, J1045-4509 and
J1643-1224. We have measured the time variation of the projected semi-major
axis of the PSR J0437-4715 orbit due to its proper motion, and use it to
constrain the inclination of the orbit and the mass of the companion. Some
evidence is found for changes in the dispersion measures of PSRs J1045-4509 and
J1643-1224. Limits are placed on the existence of planetary mass companions,
ruling out companions with masses and orbits similar to the terrestrial planets
of the solar system for eight pulsars.
","[{""version"":""v1"",""created"":""Mon, 11 Nov 1996 12:01:45 GMT""}]","2015-06-24"
"cond-mat/9611071",,"Nic Shannon, Yanmin Li and Nicholas d'Ambrumenil (Warwick Univ.)","Spin-Charge Separation, Anomalous Scaling and the Coherence of Hopping
  in exactly solved Two Chain Models","Two postscript figures","Phys. Rev. B 55, pp12963-12970 (1997)","10.1103/PhysRevB.55.12963",,"cond-mat.stat-mech",,"  The coherence of transport between two one-dimensional interacting Fermi
liquids, coupled by single particle hopping and interchain interaction, is
examined in the context of two exactly soluble models. It is found that the
coherence of the inter-chain hopping depends on the interplay between
inter-chain hopping and inter-chain interaction terms, and not simply on the
ground state spectral properties of an isolated chain. Specifically, the
splitting of levels in associated with interchain hopping in a $g_4$ soluble
model is found to be enhanced by the introduction of interchain interaction. It
is also shown that, for an exactly solvable model with both $g_2$ and $g_4$
interactions, coherent interchain hopping coexists with anomalous scaling and
non-Fermi liquid behavior in the chain direction.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 16:17:42 GMT""}]","2009-10-28"
"cond-mat/9611072","Dr N. Mavromatos","K. Farakos and N.E. Mavromatos","Hidden Non-Abelian Gauge Symmetries in Doped Planar Antiferromagnets","32 pages LATEX, one figure. (More details given in the passage from
  the Hubbard model to the long wavelength lattice gauge theory; one figure
  added; no changes in the conclusions.)","Phys.Rev.B57:3017-3030,1998","10.1103/PhysRevB.57.3017","OUTP-96-65P,NTUA-57/96","cond-mat hep-lat hep-th",,"  We investigate the possibility of hidden non-Abelian Local Phase symmetries
in large-U doped planar Hubbard antiferromagnets, believed to simulate the
physics of two-dimensional (magnetic) superconductors. We present a spin-charge
separation ansatz, appropriate to incorporate holon spin flip, which allows for
such a hidden local gauge symmetry to emerge in the effective action. The group
is of the form $SU(2)\otimes U_S(1) \otimes U_E(1)$, where SU(2) is a local
non-Abelian group associated with the spin degrees of freedom, U_E(1) is that
of ordinary electromagnetism, associated with the electric charge of the holes,
and U_S(1) is a `statistical' Abelian gauge group pertaining to the fractional
statistics of holes on the spatial plane. In a certain regime of the parameters
of the model, namely strong U_S(1) and weak SU(2), there is the possibility of
dynamical formation of a holon condensate. This leads to a dynamical breaking
of $SU(2) \to U(1)$. The resulting Abelian effective theory is closely related
to an earlier model proposed as the continuum limit of large-spin planar doped
antiferromagnets, which lead to an unconventional scenario for two-dimensional
parity-invariant superconductivity.
","[{""version"":""v1"",""created"":""Sun, 10 Nov 1996 18:40:59 GMT""},{""version"":""v2"",""created"":""Wed, 9 Jul 1997 12:46:31 GMT""}]","2008-11-26"
