"alg-geom/9611014","Klaus Altmann","Klaus Altmann and Arne B. Sletsjoe","Andre-Quillen cohomology of monoid algebras","LaTeX 2.09, uses pb-diagram.sty, 8 pages",,,,"alg-geom math.AC math.AG",,"  We compute the Andre-Quillen cohomology of an affine toric variety. The best
results are obtained either in the general case for the first three cohomology
groups, or in the case of isolated singularities for all cohomology groups,
respectively.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:13:18 GMT""}]","2008-02-03"
"alg-geom/9611015","Misha S. Verbitsky","Misha Verbitsky","Desingularization of singular hyperkaehler varieties I","13 pages, LaTeX 2e LaTeX 2e","Math. Res. Lett. 4 (1997), no. 2-3, 259--271.",,,"alg-geom math.AG",,"  Let $M$ be a singular hyperkaehler variety, obtained as a moduli space of
stable holomorphic bundles on a compact hyperkaehler manifold
(alg-geom/9307008). Consider $M$ as a complex variety in one of the complex
structures induced by the hyperkaehler structure. We show that normalization of
$M$ is smooth, hyperkaehler and does not depend on the choice of induced
complex structure.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:31:27 GMT""}]","2008-02-03"
"astro-ph/9611085","Blanchard Alain","J. Oukbir, A. Blanchard, (Observatoire astronomique de Strasbourg)","X--ray clusters: towards a new determination of the density parameter of
  the universe","32 pages, postscript, A&A, in press","(1997), A&A, 317, 10",,,"astro-ph",,"  We use a self-consistent modeling of x-ray cluster properties to constrain
cosmological scenarios of structure formation in the case of open cosmological
models. We first show that an unbiased open model can reproduce present day
observations, provided that the density parameter is in the range 0.15-0.4.
Although this estimate is derived in a rather different way, it is very close
to dynamical measurements. We also obtain constraints on the shape of the
initial fluctuation power spectrum: we find that the local spectral index n
falls in the range -1.1 < n < -1.6 on scales between 10 and 30h^{-1}Mpc. We
focus on differences between open models and the Einstein--de Sitter model, and
we exhibit a test which depends only on the cosmological parameter and is
insensitive to the shape of the initial fluctuations power spectrum: we show
that, contrary to what is generally admitted, the redshift distribution of
X-ray clusters selected on the basis of their apparent temperature is almost
independent of the power spectrum and that it is only sensitive to the value of
density of the universe. Since the relation between the virial mass and the
X-ray temperature seems rather robust, we expect very little theoretical
uncertainty in the modeling. This allows us to show that the combined knowledge
of the redshift distribution of X-ray flux selected clusters and that of the
luminosity-temperature correlation at high redshifts offers a new and efficient
way to measure the mean density of the universe. This appears to be a clean
test not suffering of the problems attached to local density estimators. We
have tentatively applied our test to the redshift distribution of clusters
detected within the Einstein medium sensitivity X-ray survey.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:10:19 GMT""}]","2019-08-15"
"astro-ph/9611086","Simon Goodwin","Simon P Goodwin (University of Sussex)","The initial conditions of young globular clusters in the LMC","12 pages LaTeX file with 8 figures incorporated. Also available by
  e-mailing spg, or by ftp from
  ftp://star-www.maps.susx.ac.uk/pub/papers/spg/lmc.ps.Z",,"10.1093/mnras/286.3.669",,"astro-ph",,"  N-body simulations are used to model the early evolution of globular
clusters. These simulations include residual gas which was not turned into
stars which is expelled from the globular cluster by the actions of massive
stars. The results of these simulations are compared to observations of 8 LMC
globular clusters less than 100 Myr old. These observations are used to
constrain the initial conditions that may have produced these clusters. It is
found that the entire variety of young LMC globular clusters may be explained
in a model where they form from a fairly uniform population of roughly
spherical, relaxed proto-cluster clouds very similar to Giant Molecular Clouds
in the Galaxy, with star formation efficiencies between 25% and 60%. This paper
has been accepted for publication in MNRAS.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:20:22 GMT""}]","2015-06-24"
"astro-ph/9611087",,"Tomaso Belloni (1), Luca Zampieri (2), Sergio Campana (3), ((1)
  Astronomical Institute, University of Amsterdam, Amsterdam, The Netherlands,
  (2) S.I.S.S.A., Trieste, Italy, (3) Osservatorio Astronomico di Brera,
  Merate, Italy)","Search for Old Neutron Stars in molecular clouds: Cygnus Rift and Cygnus
  OB7","11 pages, LaTeX, L-AA v. 3.0 Springer-Verlag style file, to appear in
  A&A",,,"Milano Preprint Series in Astrophysics N. 177 (September 1996)","astro-ph",,"  We present the results of a systematic search for old isolated neutron stars
(ONSs) in the direction of two giant molecular clouds in Cygnus (Rift and OB7).
From theoretical calculations, we expect the detection of a large number of
ONSs with the PSPC on board ROSAT. By analyzing the PSPC pointings in the
direction of the clouds, we find four sources characterized by count rates
($\sim 10^{-3}$ c s$^{-1}$) and spectral properties consistent with the
hypothesis that the X--ray radiation is produced by ONSs and also characterized
by the absence of any measurable optical counterpart within their error circle
in the digitized red plates of the Palomar All Sky Survey. The importance of
follow--up deep observations in the direction of these ONS candidates is
discussed. The observational and theoretical approach presented here could be
fruitfully applied also to the systematic search for ONSs in other regions of
the Galaxy.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:23:20 GMT""}]","2007-05-23"
"astro-ph/9611088","Antonello Ortolan","S. Vitale, M. Cerdonio, E. Coccia and A. Ortolan","Gravitational-Wave Stochastic Background Detection with Resonant-Mass
  Detectors","32 pages, postscript file, also available at
  http://axln01.lnl.infn.it/reports/stoch.html","Phys.Rev.D55:1741-1751,1997","10.1103/PhysRevD.55.1741",,"astro-ph",,"  In this paper we discuss how the standard optimal Wiener filter theory can be
applied, within a linear approximation, to the detection of an isotropic
stochastic gravitational-wave background with two or more detectors. We apply
then the method to the AURIGA-NAUTILUS pair of ultra low temperature bar
detectors, near to operate in coincidence in Italy, obtaining an estimate for
the sensitivity to the background spectral density of $\simeq 10^{-49}\
Hz^{-1}$, that converts to an energy density per unit logarithmic frequency of
$\simeq 8\times10^{-5}\times\rho_c$ with $\rho_c\simeq1.9 \times 10^{-26}\
kg/m^3$ the closure density of the Universe. We also show that by adding the
VIRGO interferometric detector under construction in Italy to the array, and by
properly re- orienting the detectors, one can reach a sensitivity of $\simeq 6
\times10^{-5}\times\rho_c$. We then calculate that the pair formed by VIRGO and
one large mass spherical detector properly located in one of the nearby
available sites in Italy can reah a sensitivity of $\simeq 2\times10^{-5}\times
\rho_c$ while a pair of such spherical detectors at the same sites of AURIGA
and NAUTILUS can achieve sensitivities of $\simeq 2 \times10^{-6}\rho_c$.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 16:39:21 GMT""}]","2009-12-30"
"astro-ph/9611089","Blanchard Alain","J. Oukbir, J.G. Bartlett, A. Blanchard (Observatoire astronomique de
  Strasbourg)","X-Ray galaxy clusters: constraints on models of galaxy formation","32 pages, A&A, in press","(1997) A&A, 320, 365",,,"astro-ph",,"  We present a self-consistent approach to the modeling of X-ray clusters of
galaxies in a flat universe. Employing the Press and Schechter (1974) formalism
to derive the mass function and relating the observable properties of clusters
to their virial mass allows us to study the cluster X-ray distribution
functions and their evolution with redshift. This approach differs from some
results based on the X-ray luminosity function, which we argue is subject to
modeling uncertainties. We obtain stringent constraints on the power spectrum
of the initial density perturbations assumed to seed galaxy formation by
comparing the theoretical temperature function with available data: the
amplitude $\sigma_8$ is found to be $0.57 \pm 0.05$, while the local spectral
index $n$ is falling in the range $-2.4 \leq n \leq -1.5$ on scales between 5
and 15 $h^{-1}$ Mpc: the standard CDM model is clearly ruled out, independently
of the normalization. We further examine the evolutionary properties of X-ray
clusters. Our approach greatly clarifies the situation: contrary to some
previous claims, we find that flat models are in reasonable agreement with the
observed number of clusters at high redshif ts. We also examine the
contribution of clusters to the X-ray counts and to the soft X-ray background
and compare the expected values in the case of the $\Omega_0=1$ and
$\Omega_0=0.2$ universes. The number counts are in agreement with the
observations, further confirming the relevance of our modeling. We conclude
that although clusters are not the primary source of the soft X-ray background,
their contribution is nevertheless non-negligible. This is particularly
important for they could escape the constraints imposed on possible point
sources contributing to the background. Finally, we briefly
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 18:49:03 GMT""}]","2016-08-30"
"astro-ph/9611090","Karl D. Gordon","K. D. Gordon and C. L. Mulliss","Zeta^2 Coronae Borealis, a Spectroscopic Triple System Including an
  Asynchronous Close Binary","12 pages (3 figures & 1 table, included), to be published in the PASP",,"10.1086/133877",,"astro-ph",,"  Using the 1-m telescope at Ritter Observatory, we took 36 observations of
zeta^2 Coronae Borealis with a fiber-fed echelle spectrograph. From these
observations, zeta^2 CrB was found to be a triple system and a new
spectroscopic orbit was calculated. This orbit has two periods, a 1.72357 day
period for the inner binary composed of zeta^2 CrB A & B and a 251 day period
for the outer binary composed of zeta^2 CrB AB & C. The inner binary is a
double-lined spectroscopic binary composed of two B7 V stars. The inner
binary's center of mass (zeta^2 CrB AB) describes a long-period single-lined
variation identified with the outer binary. The inner binary period is
significantly shorter than the 12.5842 day period previously calculated by
Abhyankar & Sarma (1966). The inner binary possesses an essentially circular
orbit (e = 0.01) while the outer binary has an eccentric orbit (e = 0.48). From
the widths of their Si II 6371 A lines, the vsini's were calculated to be 46
+/- 7 km s^-1 for zeta^2 CrB A and 7.5 +/- 2 km s^-1 for zeta^2 CrB B. As
zeta^2 CrB A & B have similar masses, their different rotational velocities
make this system a sensitive test of synchronization theories.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 19:11:22 GMT""}]","2009-10-28"
"astro-ph/9611091","Ofer Lahav","Ofer Lahav","Summary Talk: Multi-Wavelength Sky Surveys (IAU179)","Invited talk in IAU179, to appear in IAU Symposium series (Kluwer,
  eds. Mclean et al.) 7 pages, no figures, available from
  ftp://cass41.ast.cam.ac.uk/pub/lahav/iau179/iau179.tex and crckapb.sty (or
  iau179.ps)",,,"IOA-96-IAU179","astro-ph",,"  The summary talk of IAU179 'New Horizons from Multi-Wavelengths Sky Surveys',
held in Baltimore in August 1996. First I summarize the highlights in different
wavelengths as described in the oral presentations. Then I discuss the need for
statistical techniques, some key astrophysical questions which should be
addressed by multi-wavelength approaches, and the changing sociology of the
field.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 20:22:01 GMT""}]","2007-05-23"
"astro-ph/9611092","Chris Aikman","Stephane Courteau","The Bulge/Disk Connection in Late-type Spirals","16 pages, including 5 figures. To appear in ""Morphology and Dust
  Content in Spiral Galaxies"", eds. D. Block & M. Greenberg (Kluwer:Dordrecht)
  Also available at http://www.hia.nrc.ca/DAO/SCIENCE/science.html",,"10.1007/978-94-009-0335-7_31","DAO-9632","astro-ph",,"  Recent ground-based photometric investigations suggest that central regions
of late-type spirals are closely coupled to the inner disk and probably formed
via secular evolution. Evidence presented in support of this model includes the
predominance of exponential bulges, the correlation of bulge and disk scale
lengths, blueness of the bulge and small differences between bulge and central
disk colors, detection of spiral structure into the core, and rapid rotation.
Recent HST observations show that our own bulge and that of M31, M32, and M33
probably harbor both an old and intermediate-age populations in agreement with
models of early collapse of the spheroid plus gas transfer from the disk.
Secular evolution provides a mechanism to build-up central regions in late-type
spirals; mergers or accretion of small satellites could explain the brighter,
kinematically distinct bulges of Sa's and SO's.
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:05:00 GMT""}]","2016-01-27"
"astro-ph/9611093","Ofer Lahav","Ofer Lahav","Probing Density Fluctuations at Low and High Redshift","Invited talk at at Journe'es Relativistes 96, Ascona, Switzerland, to
  appear in Helvetica Physica Acta, 12 pages, 2 figures, available from
  ftp://cass41.ast.cam.ac.uk/pub/lahav/ascona/lahav_ascona.ps",,,"IOA-96-JR96","astro-ph",,"  We discuss cosmological inference from galaxy surveys at low and high
redshifts. Studies of optical and IRAS redshift surveys with median redshift
${\bar z} \sim 0.02$ yield measurements of the density parameter $\Omega$ and
the power-spectrum of density fluctuations, but both cannot easily be related
to the properties of the underlying mass distribution due to the uncertainty in
the way galaxies are biased relative to the mass distribution. Moreover,
currently little is known about fluctuations on scales intermediate between
local galaxy surveys ($\sim 100 h^{-1}$ Mpc) and the scales probed by COBE
($\sim 1000 h^{-1}$ Mpc). We focus here on several issues, as examples of
clustering on different scales: the extent of the Supergalactic Plane, an
optimal reconstruction method of the density and velocity fields, the effect of
biasing on determination of $\Omega$ from redshift distortion, the future big
surveys SDSS and 2dF (with median redshift ${\bar z} \sim 0.1$) and radio
sources and the X-Ray Background as useful probes of the density fluctuations
at higher redshift (${\bar z} \sim 1$).
","[{""version"":""v1"",""created"":""Tue, 12 Nov 1996 21:48:37 GMT""}]","2007-05-23"
