"adap-org/9611005","Henri Waelbroeck","C. R. Stephens and H. Waelbroeck","Analysis of the Effective Degrees of Freedom in Genetic Algorithms","31 pages, TeX source, please email the authors for a hard copy
  including figures",,,,"adap-org cond-mat nlin.AO",,"  An evolution equation for a population of strings evolving under the genetic
operators: selection, mutation and crossover is derived. The corresponding
equation describing the evolution of schematas is found by performing an exact
coarse graining of this equation. In particular exact expressions for schemata
reconstruction are derived which allows for a critical appraisal of the
``building-block hypothesis'' of genetic algorithms. A further coarse-graining
is made by considering the contribution of all length-l schematas to the
evolution of population observables such as fitness growth. As a test function
for investigating the emergence of structure in the evolution the increase per
generation of the in-schemata fitness averaged over all schematas of length l,
$\Delta_l$, is introduced. In finding solutions of the evolution equations we
concentrate more on the effects of crossover, in particular we consider
crossover in the context of Kauffman Nk models with k=0,2. For k=0, with a
random initial population, in the first step of evolution the contribution from
schemata reconstruction is equal to that of schemata destruction leading to a
scale invariant situation where the contribution to fitness of schematas of
size l is independent of l. This balance is broken in the next step of
evolution leading to a situation where schematas that are either much larger or
much smaller than half the string size dominate over those with $l \approx
N/2$. The balance between block destruction and reconstruction is also broken
in a k>0 landscape. It is conjectured that the effective degrees of freedom for
such landscapes are landscape connective trees that break down into effectively
fit smaller blocks, and not the blocks themselves. Numerical simulations
confirm this ``connective tree hypothesis'' by showing that correlations drop
off with connective distance and not with intrachromosomal distance.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 19:06:22 GMT""}]","2008-02-03"
"alg-geom/9611016","Boris Shapiro","M.E. Kazarian and B. Shapiro","Giambelli-type formula for subbundles of the tangent bundle","18 pages, no figures, final version",,,,"alg-geom math.AG",,"  Let us consider a generic n-dimensional subbundle V of the tangent bundle TM
on some given manifold M. Given V one can define different degeneracy loci
S_r(CV), r=(r_1<= r_2<= r_3<=...<=r_k) on M consisting of all points x in M for
which the dimension of the subspace V^j(x) in TM(x) spanned by all length <= j
commutators of vector fields tangent to V at x is less than or equal to r_j. We
calculate 'explicitly' the cohomology classes dual to S_r(V) using
determinantal formulas due to W.Fulton and the expression for the Chern classes
of the associated bundle of free Lie algebras in terms of the Chern classes of
V itself.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 16:06:31 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 15:00:14 GMT""}]","2009-09-25"
"alg-geom/9611017","Marco Andreatta","Marco Andreatta, Jaroslaw A. Wi\'sniewski","A view on contractions of higher dimensional varieties","AMS-TeX (pspum), 31 pages",,,,"alg-geom math.AG",,"  In this paper we discuss some recent results about extremal contractions of
complex algebraic varieties. These are proper surjective maps, $\phi:
X\longrightarrow Z$, of normal varieties with connected fibers such that $X$
has mild singularities (in particular $X$ is $Q$-Gorenstein) and the
anticanonical divisor of $X$ is $\phi$ ample. It will appear on the Proceedings
of AMS-SRI on Algebraic Geometry, Santa Cruz 1995.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 12:58:32 GMT""}]","2008-02-03"
"astro-ph/9611103","Sebastiano Ghigna","S. Ghigna (1,3), S. Borgani (2), M. Tucci (3), S.A. Bonometto (3), A.
  Klypin (4) and J.P. Primack (5) ((1) Durham University, (2) INFN di Perugia,
  (3) Universita` Statale and INFN di Milano, (4) New Mexico State University,
  Las Cruces, (5) University of California, Santa Cruz)","Statistical Tests for CHDM and \LambdaCDM Cosmologies","12 pages, 10 figures, LaTeX (aaspp4 macro), in press on ApJ, Vol.
  479, April 1997","Astrophys.J. 479 (1997) 580-591","10.1086/303912",,"astro-ph",,"  We apply several statistical estimators to high-resolution N-body simulations
of two currently viable cosmological models: a mixed dark matter model, having
$\Omega_\nu=0.2$ contributed by two massive neutrinos (C+2\nuDM), and a Cold
Dark Matter model with Cosmological Constant (\LambdaCDM) with $\Omega_0=0.3$
and h=0.7. Our aim is to compare simulated galaxy samples with the
Perseus-Pisces redshift survey (PPS). We consider the n-point correlation
functions (n=2-4), the N-count probability functions P_N, including the void
probability function P_0, and the underdensity probability function U_\epsilon
(where \epsilon fixes the underdensity threshold in percentage of the average).
We find that P_0 (for which PPS and CfA2 data agree) and P_1 distinguish
efficiently between the models, while U_\epsilon is only marginally
discriminatory. On the contrary, the reduced skewness and kurtosis are,
respectively, S_3\simeq 2.2 and S_4\simeq 6-7 in all cases, quite independent
of the scale, in agreement with hierarchical scaling predictions and estimates
based on redshift surveys. Among our results, we emphasize the remarkable
agreement between PPS data and C+2\nuDM in all the tests performed. In
contrast, the above \LambdaCDM model has serious difficulties in reproducing
observational data if galaxies and matter overdensities are related in a simple
way.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 18:03:23 GMT""}]","2009-10-28"
"astro-ph/9611104","Roelof de Jong","Roelof S. de Jong and Roger L. Davies (University of Durham)","The Shapes and Ages of Elliptical Galaxies","5 pages LaTeX, uses included mninp.tex and bib.sty and 4 PostScript
  figures. Accepted for MNRAS Letters. Also available at
  http://star-www.dur.ac.uk/~rdejong/papers.html",,"10.1093/mnras/285.1.L1",,"astro-ph",,"  In this paper we investigate the relation between the detailed isophotal
shape of elliptical galaxies and the strength of the H beta absorption in their
spectra. We find that disky galaxies have higher H beta indices. Stellar
population synthesis models show that the H beta line is a good age indicator,
hence disky galaxies tend to have younger mean ages than boxy galaxies. We show
that the observed trend can be brought about by a contaminating young
population, which we associate with the disky component. This population need
only account for a small fraction of the total mass, for example if a
contaminating population of age of 2 Gyrs is superimposed on an old (12 Gyr)
elliptical galaxy, then the observed trend can be explained if it contributes
only 10% to the total mass. The size of this effect is consistent with the
estimates of disk-to-total light ratios from surface photometry.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 18:56:41 GMT""}]","2016-01-13"
"astro-ph/9611105","Myungshin Im","Myungshin Im (1), Richard E. Griffiths (2), and Kavan U. Ratnatunga
  (2) ((1) Space Telescope Science Institute, (2) Carnegie Mellon University)","A Measurement of the Cosmological Constant Using Elliptical Galaxies as
  Strong Gravitational Lenses","To be published in ApJ Feb 1997 issue. AAS Latex, 12 pages with 2
  figures and 1 table",,"10.1086/303583",,"astro-ph",,"  We have identified seven (field) elliptical galaxies acting as strong
gravitational lenses and have used them to measure cosmological parameters. To
find the most likely value for Omega_m (= Omega_matter) and Lambda, we have
used the combined probabilities of these lens systems having the observed
critical radii (or image deflection) for the measured or estimated values of
lens redshifts, source redshifts, and lens magnitudes. Our measurement gives
Lambda=0.64 (+0.15 -0.26) if Omega_m + Lambda = 1, and the Omega_m = 1 model is
excluded at the 97 % confidence level. We also find, at the 68 % (Omega = 0) --
82 % (Omega = 0.3) confidence level, that an open universe is less likely than
a flat universe with non-zero Lambda. Except for the possibility of strong
perturbations due to cluster potentials and the systematic overestimate of the
lens magnitudes, other possible systematic errors do not seem to influence our
results strongly: correction of possible systematic errors seems to increase
the significance of the result in favor of a non-zero Lambda model.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 22:31:52 GMT""}]","2009-10-28"
"astro-ph/9611106","James Bullock","James S. Bullock and Joel R. Primack (University of California, Santa
  Cruz)","Non-Gaussian Fluctuations and Primordial Black Holes from Inflation","21 pages, RevTex. 12 figures","Phys. Rev. D 55, 7423 (1997)","10.1103/PhysRevD.55.7423",,"astro-ph gr-qc hep-ph",,"  We explore the role of non-Gaussian fluctuations in primordial black hole
(PBH) formation and show that the standard Gaussian assumption, used in all PBH
formation papers to date, is not justified. Since large spikes in power are
usually associated with flat regions of the inflaton potential, quantum
fluctuations become more important in the field dynamics, leading to mode-mode
coupling and non-Gaussian statistics. Moreover, PBH production requires several
sigma (rare) fluctuations in order to prevent premature matter dominance of the
universe, so we are necessarily concerned with distribution tails, where any
intrinsic skewness will be especially important. We quantify this argument by
using the stochastic slow-roll equation and a relatively simple analytic method
to obtain the final distribution of fluctuations. We work out several examples
with toy models that produce PBH's, and show that the naive Gaussian assumption
can result in errors of many orders of magnitude. For models with spikes in
power, our calculations give sharp cut-offs in the probability of large
positive fluctuations, meaning that Gaussian distributions would vastly
over-produce PBH's. The standard results that link inflation-produced power
spectra and PBH number densities must then be reconsidered, since they rely
quite heavily on the Gaussian assumption. We point out that since the
probability distributions depend on the nature of the potential, it is
impossible to obtain results for general models. However, calculating the
distribution of fluctuations for any specific model seems to be relatively
straightforward, at least in the single inflaton case.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 22:37:59 GMT""}]","2016-08-24"
"astro-ph/9611107","Julio Navarro","Julio F. Navarro (Steward Observatory, University of Arizona), Carlos
  S. Frenk (University of Durham), and Simon D.M. White (MPI fur Astrophysik)","A Universal Density Profile from Hierarchical Clustering","typos in eqs A5 and A14 corrected. In press in the ApJ, Dec 1, 1997.
  Full PS file with figures can be obtained from
  http://penedes.as.arizona.edu/~jfn/preprints/dprof.ps.gz","Astrophys.J.490:493-508,1997","10.1086/304888",,"astro-ph",,"  We use high-resolution N-body simulations to study the equilibrium density
profiles of dark matter halos in hierarchically clustering universes. We find
that all such profiles have the same shape, independent of halo mass, of
initial density fluctuation spectrum, and of the values of the cosmological
parameters. Spherically averaged equilibrium profiles are well fit over two
decades in radius by a simple formula originally proposed to describe the
structure of galaxy clusters in a cold dark matter universe. In any particular
cosmology the two scale parameters of the fit, the halo mass and its
characteristic density, are strongly correlated. Low-mass halos are
significantly denser than more massive systems, a correlation which reflects
the higher collapse redshift of small halos. The characteristic density of an
equilibrium halo is proportional to the density of the universe at the time it
was assembled. A suitable definition of this assembly time allows the same
proportionality constant to be used for all the cosmologies that we have
tested. We compare our results to previous work on halo density profiles and
show that there is good agreement. We also provide a step-by-step analytic
procedure, based on the Press-Schechter formalism, which allows accurate
equilibrium profiles to be calculated as a function of mass in any hierarchical
model.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 22:59:55 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 1996 15:13:42 GMT""},{""version"":""v3"",""created"":""Mon, 14 Jul 1997 23:32:35 GMT""},{""version"":""v4"",""created"":""Tue, 21 Oct 1997 23:14:37 GMT""}]","2008-11-26"
"astro-ph/9611108","Avishai Dekel","Avishai Dekel (Hebrew U Jerusalem), David Burstein (Arizona State U),
  Simon D.M. White (Max Planck Institut fuer Astrophysik)","Measuring Omega","18 pages, 1 figure, LaTex (fullpage.sty included), to be published in
  Critical Dialogues in Cosmology (proceedings of the Princeton 250th
  Anniversary conference, June 1996), ed. N. Turok (World Scientific)",,,"CfPA-96-th-24","astro-ph",,"  We were asked to debate the value of the cosmological mass-density parameter
Omega. Is Omega_m=1 in accordance with the simplest model? Is Omega_m much
smaller as indicated by some observations? There is conflicting evidence. We
lay out the various methods for measuring Omega_m, mention new developments and
current estimates, and focus on prospects versus the associated difficulties.
We try to shed light on the uncertainties that are responsible for the span of
estimates for Omega_m.
  We divide the methods into the following four classes:
  a. Global measures of the properties of space-time that constrain
combinations of Omega_m and the other cosmological parameters (Lambda, Ho, to).
  b. Virialized Systems. Nonlinear dynamics within galaxies and clusters on
comoving scales 1-10 Mpc/h.
  c. Large-scale structure. Mildly-nonlinear gravitational dynamics of
fluctuations on scales 10-100 Mpc/h, in particular cosmic flows.
  d. Growth rate of fluctuations from the last scattering of the CMB or from
high redshift galaxies to the present.
  Methods (b) typically yield low values of Omega_m=0.2-0.3. Methods (a) and
(c) typically indicate higher values of Omega_m=0.4-1.
","[{""version"":""v1"",""created"":""Wed, 13 Nov 1996 23:15:51 GMT""}]","2007-05-23"
"astro-ph/9611109","Michael Gregg","Michael D. Gregg and Dante Minniti (Institute for Geophysics and
  Planetary Physics, Lawrence Livermore National Laboratory)","Imaging With STIS: Astronomy at V = 30","10 pages AASTeX, 1 table, 5 postscript figures. Submitted to PASP",,,,"astro-ph",,"  In February, 1997, the second Space Shuttle servicing mission to the Hubble
Observatory will install the Space Telescope Imaging Spectrograph (STIS). This
new instrument will greatly enhance the spectroscopic capabilities of the
Hubble Space Telescope by providing a longslit format and CCD detector
technology. STIS can also be used as an imager, providing an alternative to the
Wide Field Planetary Camera 2. The filter set of STIS is limited and does not
contain standard bandpasses, but we show here that this does not preclude
useful broad band photometry. In fact, the STIS photometric system may be
preferable to that of WFPC2 for certain applications where a faint limiting
magnitude and fine spatial resolution are overriding considerations. The two
optical wide-band choices on STIS are a clear aperture and a longpass ($\lambda
> 5500$\AA) filter. We define an effective shortpass filter from the difference
of these, making two-color photometry possible with STIS. We present
preliminary transformations between the STIS system and Cousins BVRI
bandpasses, showing that these transformations are very well-behaved over
almost all temperatures, luminosities, and abundances for normal stars. In an
8-orbit cycle, STIS will be able to reach signal-to-noise of $\sim 5-10$ at V =
30.0 in its clear and longpass imaging modes, a significant increase in the
power of HST to address a number of fundamental issues out of reach of current
instrumentation capabilities on the ground or in space.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 00:01:59 GMT""}]","2007-05-23"
"astro-ph/9611110","Hideki Asada","Hideki Asada (Osaka U.)","Critical Lines in Gravitational Lenses and the Determination of
  Cosmological Parameters","16 pages, LaTeX(aaspp4), 11 postscript figures included; submitted to
  The Astrophysical Journal",,"10.1086/304452","OU-TAP-49","astro-ph",,"  We investigate the cosmological test recently proposed by B. Fort, Y. Mellier
and M. Dantel-Fort (FMD), where the observed location of the critical line in
gravitational lensing is used to determine the cosmological parameters,
$\Omega$ and $\lambda$. Applying this method to the cluster of galaxies
Cl0024+1654, FMD obtained a constraint on the cosmological constant, $\lambda >
0.6$, assuming the spatially flat universe. It plays a crucial role in this
method that the angular diameter distance-redshift relation depends on the
cosmological models through the cosmological parameters. First, using the
angular diameter distance in the Friedmann-Lemaitre- Robertson-Walker universe,
we show that one can hardly determine $\Omega$ by this method without the
assumption of the spatially flat universe. We also investigate the effect of
inhomogeneities of the universe by using the Dyer-Roeder angular diameter
distance. It is shown that the effect of inhomogeneities can become too large
to be ignored, particularly for a high density universe. As a result, this
method cannot be taken as a clear cosmological test to determine $\Omega$ and
$\lambda$, though it may provide a bound on $\Omega$ and $\lambda$. Moreover,
we mention the uncertainty of the determination of the velocity dispersion,
which is regarded as one of the most serious problems in this test.
","[{""version"":""v1"",""created"":""Thu, 14 Nov 1996 02:44:33 GMT""}]","2009-10-28"
