"adap-org/9611006","Luca Peliti","R.Donato, L. Peliti, M. Serva","The selection of altruistic behaviour","11 pages, 5figs, LaTeX, REVTeX",,,"NA/MS/LP/96/12","adap-org nlin.AO q-bio.PE",,"  Altruistic behaviour is disadvantageous for the individual while is
advantageous for its group. If the target of the selection is the individual,
one would expect the selection process to lead to populations formed by wholly
homogeneous groups, made up of either altruistic or egoistic individuals, where
the winning choice depends on the balance beetwen group advantage and
individual disadvantage. We show in a simple model that populations formed by
inhomogeneous groups can be stabilized in some circumstances. We argue that
this condition is realized when there is a relative advantage conferred by the
presence of a few altruists to all the members of the group.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 08:20:19 GMT""}]","2008-02-03"
"astro-ph/9611130","Max Tegmark","Max Tegmark","How to make maps from CMB data without losing information","Minor revisions to match published version. 12 pages, with 1 figure
  included. Color figure and links at
  http://www.sns.ias.edu/~max/mapmaking.html (faster from the US), from
  http://www.mpa-garching.mpg.de/~max/mapmaking.html (faster from Europe) or
  from max@ias.edu","Astrophys.J.480:L87-L90,1997","10.1086/310631",,"astro-ph",,"  The next generation of CMB experiments can measure cosmological parameters
with unprecedented accuracy - in principle. To achieve this in practice when
faced with such gigantic data sets, elaborate data analysis methods are needed
to make it computationally feasible. An important step in the data pipeline is
to make a map, which typically reduces the size of the data set my orders of
magnitude. We compare ten map-making methods, and find that for the Gaussian
case, both the method used by the COBE DMR team and various variants of Wiener
filtering are optimal in the sense that the map retains all cosmological
information that was present in the time-ordered data (TOD). Specifically, one
obtains just as small error bars on cosmological parameters when estimating
them from the map as one could have obtained by estimating them directly from
the TOD. The method of simply averaging the observations of each pixel (for
total-power detectors), on the contrary, is found to generally destroy
information, as does the maximum entropy method and most other non-linear
map-making techniques.
  Since it is also numerically feasible, the COBE method is the natural choice
for large data sets. Other lossless (e.g. Wiener-filtered) maps can then be
computed directly from the COBE method map.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 05:31:07 GMT""},{""version"":""v2"",""created"":""Mon, 17 Mar 1997 18:34:18 GMT""}]","2009-10-28"
"astro-ph/9611131","Suzanne Talon du Dasgal","Suzanne Talon, Jean-Paul Zahn, Andre Maeder and Georges Meynet","Rotational mixing in early-type stars: the main-sequence evolution of a
  9 Mo star","10 pages latex file using l-aa.sty, 11 postscript figures, accepted
  by A&A",,,,"astro-ph",,"  We describe the main-sequence evolution of a rotating 9 $M_\odot$ star. Its
interior rotation profile is determined by the redistribution of angular
momentum through the meridian circulation and through the shear turbulence
generated by the differential rotation; the possible effect of internal waves
is neglected. We examine the mixing of chemicals produced by the same internal
motions. Our modelization is based on the set of equations established by Zahn
(1992) and completed in Matias, Talon & Zahn (1996). Our calculations show that
the amount of mixing associated with a typical rotation velocity of $\sim 100
km/s$ yields stellar models whose global parameters are very similar to those
obtained with the moderate overshooting ($d/H_P \simeq 0.2$) which has been
invoked until now to fit the observations. Fast rotation ($\sim 300 km/s$)
leads to significant changes of the C/N and O/N surface ratios, but the
abundance of He is barely increased. The modifications of the internal
composition profile due to such rotational mixing will certainly affect the
post--main-sequence evolution.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 10:33:44 GMT""}]","2007-05-23"
"astro-ph/9611132","Mario Gambera","M. Gambera and A. Pagliaro (Istituto di Astronomia dell'Universit\`a
  di Catania, Citt\`a Universitaria, Catania, Italy)","Small scale substructure, collapse time and dynamical friction","8 pages and 4 figures,(Latex), To appear in ""Dark and visible matter
  in galaxies and cosmological implications"" eds. M. Persic and P.Salucci
  A.S.P. conference series",,,,"astro-ph",,"  We solve numerically the equations of motion for the collapse of a shell of
baryonic matter, made of galaxies and substructure of $ 10^{6} M_{\odot} \div
10^{9} M_{\odot}$, taking into account the dynamical friction and the
parameters on which it depends: the peaks' height $\nu_{c}$, the number of
peaks inside a protocluster $N_{tot}$ multiplied by the correlation function
$\xi (r)$ evaluated at r=0, the filtering radius $R_{f}$ and the core radius of
the cluster of galaxies, r_0. We show how the collapse time of a shell of
baryonic matter depends on those parameters.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 11:04:29 GMT""}]","2007-05-23"
"astro-ph/9611133","Wolfgang Steffen","W. Steffen","Signatures of helical jets","Contribution to the proceedings of a workshop on 'Relativistic Jets
  in X-ray binaries"" held in Jodrell Bank, UK, 1996; to be published in 'Vistas
  in Astronomy'",,"10.1016/S0083-6656(96)00065-7",,"astro-ph",,"  Observational signatures of helical jets can be found in some X-ray binaries
(XRB), planetary nebulae, Herbig-Haro objects and in jets of active galactic
nuclei (AGN). For the prototypical XRB SS433 a kinematic model of precessing
jets has been applied very successfully and yielded a determination of its
distance which is independent of conventional methods. In galactic jets
precession appears to be the predominant mechanism for the production of
observed helical signatures. In extragalactic jets other mechanisms seem to be
similarly frequent. As a result of their strong dependence on the direction of
motion with respect to the observer, special relativistic effects can be
pronounced in helical jets. These have to be taken into account in AGN-jets and
the newly discovered galactic sources which show apparent superluminal motion.
Since the galactic superluminal jets are located in a binary system, jet
precession is very likely in these sources. In this paper I review the main
structural and kinematic signatures of helical jets and briefly mention the
physical mechanisms behind them. I will present kinematic simulations of
relativistic jets which are helically bent or have an internal helical flow
field.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 11:34:45 GMT""}]","2009-10-28"
"astro-ph/9611134","Joachim Wambsganss","Joachim Wambsganss (Astrophysikalisches Institut Potsdam)","Discovering Galactic Planets by Gravitational Microlensing:
  Magnification Patterns and Light Curves","8 pages Latex plus 10 Figures (partly in GIF/JPEG format due to size
  constraints). High quality Postscript figures can be obtained electronically
  at the URL: http://www.aip.de:8080/~jkw/planet_figures.html . Hardcopies of
  figures can be obtained on request. To appear in MNRAS (Jan.1, 1997, Volume
  284, pp.172-188)",,"10.1093/mnras/284.1.172","AIP-Preprint Series 96-13","astro-ph",,"  The current searches for microlensing events towards the galactic bulge can
be used to detect planets around the lensing stars. Their effect is a
short-term modulation on the smooth lightcurve produced by the main lensing
star. Current and planned experiments should be sensitive enough to discover
planets ranging from Jupiter mass down to Earth mass. For a successful
detection of planets, it is necessary to accurately and frequently monitor a
microlensing event photometrically, once it has been ""triggered"".
  We present a large variety of two-dimensional magnification distributions for
systems consisting of an ordinary star and a planetary companion. We cover
planet/star mass ratios from $m_{pl}/M_* = 10^{-5}$ to $ 10^{-3}$. These limits
correspond roughly to $M_{Earth}$ and $M_{Jup}$, for a typical lens mass of
$M_* = 0.3 M_{\odot}$. We explore a range of star-planet distances, with
particular emphasis on the case of ""resonant lensing"", a situation in which the
planet is located at or very near the Einstein ring of the lensing star.
  We show a wide selection of light curves - one dimensional cuts through the
magnification patterns - to illustrate the broad range of possible light curve
perturbations caused by planets. The strongest effects are to be expected for
caustic crossings. But even tracks passing outside the caustics can have
considerable effects on the light curves. The easiest detectable (projected)
distance range for the planets is between about 0.6 and 1.6 Einstein radii.
Planets in this distance range produce caustics inside the Einstein ring of the
star. For a lensing star with a mass of about $0.3 M_{\odot}$ at a distance of
6 kpc and a source at 8 kpc, this corresponds to physical distances between
star and planet of about 1 to 3 AU.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 12:42:49 GMT""}]","2015-06-24"
"astro-ph/9611135","Tsevi Mazeh","Tsevi Mazeh, Yuval Krymolowski and Gady Rosenfeld (School of Physics
  and Astronomy, Tel Aviv University)","The High Eccentricity of the Planet Around 16 Cyg B","2 Figures, Latex, submitted for publication to ApJL",,"10.1086/310536",,"astro-ph",,"  We consider the high eccentricity, 0.66, of the newly discovered planet
around 16 Cyg B, using the fact that the parent star is part of a wide binary.
We show that the high eccentricity of the planet could be the result of tidal
forces exerted on 16 Cyg B and its planet by 16 Cyg A, the distant companion in
the system. By following stellar triple systems with parameters similar to
those of 16 Cyg, we have established that the orbital eccentricity of the
planet could have gone through strong modulation, with an amplitude of 0.8 or
even larger, with typical timescale of tens of millions years. The amplitude of
the planet eccentricity strongly depends on the relative inclination between
the plane of motion of the planet and that of the wide binary 16 Cyg AB. To
account for the present eccentricity of the planet we have to assume that the
angle between the two planes of motion is large, at least 60 deg. We argue that
this assumption is reasonable for wide binaries like 16 Cyg AB.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 13:34:28 GMT""}]","2009-10-28"
"astro-ph/9611136","Andrew P. Gould","Andrew Gould","Microlensing: Prospects for the Future","from Sheffield workshop on Identification of Dark Matter, 12 p",,,"OSU-TA-30/96","astro-ph",,"  Four ongoing microlensing experiments have produced important new results but
also big puzzles, the major one being that the expected classes of lenses
cannot account for the observed distribution of time scales. I discuss future
experiments that could resolve these puzzles. By far the most important would
be to launch a parallax satellite into solar orbit. I also discuss a number of
non-dark-matter applications of microlensing, including searching for planets,
measuring the rotation speeds of giant stars, and imaging a black hole at the
center of a quasar.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 15:07:35 GMT""}]","2007-05-23"
"chao-dyn/9611008","essor Dr. Marko","Marko Robnik (CAMTP, University of Maribor, Maribor, Slovenia)","Supersymmetric quantum mechanics based on higher excited states","15 pages LaTeX file, no figures, submitted to J. Phys. A: accepted
  for publication;",,"10.1088/0305-4470/30/4/028","CAMTP/96-8","chao-dyn nlin.CD",,"  We generalize the formalism and the techniques of the supersymmetric (susy)
quantum mechanics to the cases where the superpotential is generated/defined by
higher excited eigenstates. The generalization is technically almost
straightforward but physically quite nontrivial since it yields an infinity of
new classes of susy-partner potentials, whose spectra are exactly identical
except for the lowest m+1 states, if the superpotential is defined in terms of
the (m+1)-st eigenfunction, with m=0 reserved for the ground state. It is shown
that in case of the infinite 1-dim potential well nothing new emerges (the
partner potential is still of P\""oschl-Teller type I, for all m), whilst in
case of the 1-dim harmonic oscillator we get a new class of infinitely many
partner potentials: for each m the partner potential is expressed as the sum of
the quadratic harmonic potential plus rational function, defined as the
derivative of the ratio of two consecutive Hermite polynomials. These partner
potentials of course have m singularities exactly at the locations of the nodes
of the generating (m+1)-st wavefunction. The susy formalism applies everywhere
between the singularities. A systematic application of the formalism to other
potentials with known spectra would yield an infinitely rich class of
""solvable"" potentials, in terms of their partner potentials. If the potentials
are shape invariant they can be solved at least partially and new types of
analytically obtainable spectra are expected.
  PACS numbers: 03.65.-w, 03.65.Ge, 03.65.Sq
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 15:06:53 GMT""}]","2016-08-31"
"cmp-lg/9611005","Geunbae Lee","Geunbae Lee, Jong-Hyeok Lee, Sangeok Kim (Department of Computer
  Science and Engineering, Pohang University of Science and Technology)","Integrating HMM-Based Speech Recognition With Direct Manipulation In A
  Multimodal Korean Natural Language Interface","6 pages, ps file, presented at icmi96 (Bejing)",,,,"cmp-lg cs.CL",,"  This paper presents a HMM-based speech recognition engine and its integration
into direct manipulation interfaces for Korean document editor. Speech
recognition can reduce typical tedious and repetitive actions which are
inevitable in standard GUIs (graphic user interfaces). Our system consists of
general speech recognition engine called ABrain {Auditory Brain} and speech
commandable document editor called SHE {Simple Hearing Editor}. ABrain is a
phoneme-based speech recognition engine which shows up to 97% of discrete
command recognition rate. SHE is a EuroBridge widget-based document editor that
supports speech commands as well as direct manipulation interfaces.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 13:03:20 GMT""}]","2016-08-31"
"cond-mat/9611130","Bernardo Lopez","B. Lopez and W. Kinzel","Learning by dilution in a Neural Network","LaTeX, 15 pages incl. figures",,"10.1088/0305-4470/30/22/014","WUE-ITP-96-028","cond-mat.dis-nn",,"  A perceptron with N random weights can store of the order of N patterns by
removing a fraction of the weights without changing their strengths. The
critical storage capacity as a function of the concentration of the remaining
bonds for random outputs and for outputs given by a teacher perceptron is
calculated. A simple Hebb-like dilution algorithm is presented which in the
teacher case reaches the optimal generalization ability.
","[{""version"":""v1"",""created"":""Mon, 18 Nov 1996 11:54:30 GMT""}]","2016-08-31"
