"alg-geom/9611025","Bozidar Ilic","Bo Ilic and J.M. Landsberg","On symmetric degeneracy loci, spaces of symmetric matrices of constant
  rank and dual varieties","AMS-TeX, 15 pages",,,,"alg-geom dg-ga math.AG math.DG",,"  Let X be a nonsingular simply connected projective variety of dimension m, E
a rank n vector bundle on X, and L a line bundle on X. Suppose that $S^2(E^{*})
\otimes L$ is an ample vector bundle and that there is a constant even rank $r
\ge 2$ symmetric bundle map $E \to E^{*} \otimes L$. We prove that $m \le n-r$.
We use this result to solve the constant rank problem for symmetric matrices,
proving that the maximal dimension of a linear subspace of the space of
$m\times m$ symmetric matrices such that each nonzero element has even rank $r
\ge 2$ is $m-r+1$. We explain how this result relates to the study of dual
varieties in projective geometry and give some applications and examples.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:56:57 GMT""}]","2008-02-03"
"astro-ph/9611160","Stefano Covino","G. Tagliaferri, S. Covino, T.A. Fleming, M. Gagn\`e, R. Pallavicini,
  F. Haardt, Y. Uchida","Coronal X-Ray Emission of HD35850: the ASCA view","10 pages, 5 tables and 3 figures. In press on A&A",,,"183, Nov. 1996","astro-ph",,"  We present the analysis of the X-ray data of the young active star HD35850
obtained with ASCA and ROSAT. Our main goal was to see if there is a difference
in the elemental abundances of active stars between young and more evolved
objects. A two temperature plasma with subsolar abundances, of the order of Z =
0.15 - 0.3, is required to fit the SIS spectra. Similar results are obtained
from a ROSAT PSPC observation. Metal abundances of 0.2 - 0.4 the solar value
are required to fit both the ASCA and ROSAT data together. From a simultaneous
SIS0+SIS1 spectral fit, with 2T plasma models and abundances free to vary in
non-solar proportions, we find that, besides N, O and Ne for which we find very
low values, all other elements have values relative to solar abundances around
0.2-0.3. These subsolar abundances are in line with those typically observed in
more evolved, active stars like RS CVn and Algol-type binaries. The two
temperature values required to fit the ASCA SIS spectra are about 0.5 and 1.0
keV. These temperatures, especially the higher one, are lower with respect to
the values found for the RS CVn and Algol binaries or for the young star AB
Dor, but higher than other single G/K stars. All our data show that this
single, late F-type star is actually a very active source, indirectly
confirming that this fast rotating star is probably a young object. In the
simultaneous fit of the ASCA+ROSAT data, a third temperature is required.
However this is not just an addition of a softer component, but is more a
redistribution of the dominant temperatures. Indeed, the range spanned by the
three temperatures, from 5 to 15 million degrees, is not very large.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:38:30 GMT""}]","2007-05-23"
"astro-ph/9611161","Dr N. Evans","Wyn Evans (Theoretical Physics, Oxford)","Microlensing, or Galactic Twinkling","13 pages, 7 postscript figures, invited review to appear in
  Proceedings of the Heidelberg Conference on 'Aspects of Dark Matter in Astro
  and Particle Physics', eds H.V. Klapdor-Kleingrothaus, Y. Ramachers (World
  Scientific, Singapore)",,,,"astro-ph",,"  Microlensing has established itself as a powerful new method for the
detection of baryonic dark matter in the Galaxy. The theory of microlensing is
sketched and its similarity with the optical effect of twinkling is explained.
The bulk of the article presents a new analysis of the data-set on microlensing
towards the Large Magellanic Cloud. The extent, flattening and velocity
anisotropy of the Galactic halo are unknown. So, it is vital to analyse the
microlensing data-set with families of models that span the viable ranges of
these structural parameters. Also crucial is proper modelling of the dark
matter halo of the Large Magellanic Cloud. Despite all the unknowns, a robust
conclusion is that the Galactic and LMC haloes cannot be primarily built from
objects in the mass range 10^{-7} - 0.1 solar masses. The baryonic fraction of
the Galactic halo probably lies in the range 0.4 - 0.5. The mass of the
deflectors probably lies between 0.05 - 1.0 solar masses. Stronger claims
concerning the masses of the dark objects are unwarranted because the estimates
are sensitive to the uncertain velocity anisotropy.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 16:47:59 GMT""}]","2007-05-23"
"astro-ph/9611162","Dr N. Evans","N.W. Evans (Oxford), R.M. H\""afner (Oxford), P.T. de Zeeuw (Leiden)","Simple Three-Integral Scale-Free Galaxy Models","14 pages, 7 postscript figures, to appear in Monthly Notices",,"10.1093/mnras/286.2.315",,"astro-ph",,"  The Jeans equations give the second moments or stresses required to support a
stellar population against the gravity field. A general solution of the Jeans
equations for arbitrary axisymmetric scale-free densities in flattened
scale-free potentials is given. A two-parameter subset of the solution for the
second moments for the self-consistent density of the power-law models, which
have exactly spheroidal equipotentials, is examined in detail. In the spherical
limit, the potential of these models reduces to that of the singular power-law
spheres. We build the physical three-integral distribution functions that
correspond to the flattened stellar components. Next, we attack the problem of
finding distribution functions associated with the Jeans solutions in flattened
scale-free potentials. The third or partial integral introduced by de Zeeuw,
Evans and Schwarzschild for Binney's model is generalised to thin and near-thin
orbits moving in arbitrary axisymmetric scale-free potentials. The partial
integral is a modification of the total angular momentum. For the
self-consistent power-law models, we show how this enables the construction of
simple three-integral distribution functions. The connexion between these
approximate distribution functions and the Jeans solutions is discussed in some
detail.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:12:59 GMT""}]","2015-06-24"
"astro-ph/9611163","John N. Bahcall","John N. Bahcall, Sofia Kirhakos, David H. Saxe, and Donald P.
  Schneider","Hubble Space Telescope Images of a Sample of Twenty Nearby Luminous
  Quasars","LaTeX file, 47 pages + 8 figures. Accepted for publication in The
  Astrophysical Journal. Revised references","Astrophys.J.479:642-658,1997","10.1086/303926",,"astro-ph",,"  Observations with the Wide-Field Camera of the Hubble Space Telescope are
presented for a representative sample of 20 intrinsically luminous quasars with
redshifts smaller than 0.30. These observations show that luminous quasars
occur in diverse environments that include ellipticals as bright as the
brightest cluster galaxies (2), apparently normal ellipticals (10), apparently
normal spirals with H II regions (3), complex systems of gravitationally
interacting components (3), and faint surrounding nebulosity (2). The quasar
host galaxies are centered on the quasar to the accuracy of our measurements,
0.4 kpc. There are more radio quiet quasars in galaxies that appear to be
ellipticals (7) than in spiral hosts (3), contrary to expectations. The average
luminosity of the hosts is 2.2 magnitudes brighter than expected for a field
galaxy luminosity function. We detect eight companion galaxies within projected
distances of 10 kpc from quasar nuclei. Best figs. at
http://www.sns.ias.edu/~jnb/Html/preprints.html
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:22:31 GMT""},{""version"":""v2"",""created"":""Fri, 20 Dec 1996 21:35:11 GMT""}]","2011-07-18"
"astro-ph/9611164","Wayne G. Roberge","S. J. Desch (Dept. of Physics, Univ. of Illinois), W. G. Roberge
  (Rensselaer Polytechnic Institute)","Ambipolar Diffusion and Far-Infrared Polarization from the Galactic
  Circumnuclear Disk","14 pages (LaTeX+2 eps figs); accepted by ApJ Letters 11/19/96",,"10.1086/310476",,"astro-ph",,"  We describe an implicit prediction of the accretion disk models constructed
by Wardle and Konigl (1990) for the circumnuclear disk (CND) of gas and dust
near the Galactic center: supersonic ambipolar diffusion, an essential
dynamical ingredient of the Wardle-Konigl disks, will cause the alignment of
dust grains due to a process described by Roberge, Hanany, & Messinger (1995).
We calculate synthetic maps of the polarized thermal emission which would be
caused by ambipolar alignment in the preferred Wardle-Konigl model. Our maps
are in reasonable agreement with 100 micron polarimetry of the CND if we assume
that the grains have shapes similar to those of grains in nearby molecular
clouds and that the CND contains a disordered magnetic field in energy
equipartition with its ordered field.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 17:51:16 GMT""}]","2009-10-28"
"astro-ph/9611165","Nick Gnedin","Nickolay Y. Gnedin","Incorporating Radiative Cooling into a Cosmological Hydrodynamic Code","submitted to MNRAS",,"10.1093/mnras/289.4.927",,"astro-ph",,"  A possible inconsistency arising when a radiative cooling term is
incorporated in a finite resolution self-gravitating hydrodynamic code is
discussed. The inconsistency appears when the heating-cooling balance within
the cooling and collapsing gas cloud is broken near the resolution limit of a
numerical code. As the result, the cooling time of a fluid element increases
enormously leading to the unphysical conclusion that the fluid element does not
cool and is therefore stable against the collapse. A special cooling
consistency condition is introduced which approximately restores the
heating-cooling balance and leads to a numerical solution that closely mimics
the exact (infinite resolution) solution.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 19:27:16 GMT""},{""version"":""v2"",""created"":""Mon, 24 Feb 1997 22:49:14 GMT""}]","2015-06-24"
"astro-ph/9611166",,"Keith A. Olive, Evan Skillman, and Gary Steigman","The Primordial Abundance of He4: An Update","26 pages, latex, 6 ps figures","Astrophys.J.483:788,1997","10.1086/304281","UMN-TH-1514/96, OSU-TA-24/96","astro-ph",,"  We include new data in an updated analysis of helium in low metallicity
extragalactic HII regions with the goal of deriving the primordial abundance of
He4 (Y_P). We show that the new observations of Izotov et al (ITL) are
consistent with previous data. However they should not be taken in isolation to
determine (Y_P) due to the lack of sufficiently low metallicity points. We use
the extant data in a semi-empirical approach to bounding the size of possible
systematic uncertainties in the determination of (Y_P). Our best estimate for
the primordial abundance of He4 assuming a linear relation between He4 and O/H
is Y_P = 0.230 \pm 0.003 (stat) based on the subset of HII regions with the
lowest metallicity; for our full data set we find Y_P = 0.234 \pm 0.002 (stat).
Both values are entirely consistent with our previous results. We discuss the
implications of these values for standard big bang nucleosynthesis (SBBN),
particularly in the context of recent measurements of deuterium in high
redshift, low metallicity QSO absorption-line systems.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 19:28:50 GMT""}]","2009-09-15"
"astro-ph/9611167",,"J.E.Horvath (IAG-USP, Sao Paulo U.) and J.A.de Freitas Pacheco (OCA,
  Nice)","Equilibrium configurations for quark-diquark stars and the problem of
  Her X-1 mass","15 pp., PlainTex file + 3 figures available upon request at
  foton@andromeda.iagusp.usp.br. Submitted to Int. Jour. Mod. Phys.D","Int.J.Mod.Phys. D7 (1998) 19-28","10.1142/S0218271898000036","IAG-117/96","astro-ph nucl-th",,"  We report new calculations of the physical properties of a quark-diquark
plasma. A vacuum contribution is taken into account and is responsible for the
appearance of a stable state at zero pressure and at a baryon density of about
2.2 times the nuclear matter density in this model. The resulting equation of
state was used to integrate numerically the Tolman-Oppenheimer-Volkoff
equations. The mass-radius relationship has been derived from a series of
equilibrium configurations constituted by a mixture of quarks and diquarks.
These stellar models, which are representative of a whole class, may be helpful
to understand the possible compactness of the X-ray source Her X-1 and related
objects.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 21:09:32 GMT""}]","2009-10-28"
"astro-ph/9611168",,"Zacharias A.M. Protogeros, Adrian L. Melott and Robert J. Scherrer
  (Ohio State University, University of Kansas)","Testing Tree-Level Perturbation Theory for Large-Scale Structure with
  the Local Lagrangian Approximation","10 pages, latex, 2 figures","Mon.Not.Roy.Astron.Soc. 290 (1997) 367-370","10.1093/mnras/290.2.367","OSU-TA-28/96","astro-ph",,"  We test tree-level perturbation theory for Gaussian initial conditions with
power spectra $P(k)\propto k^n$ by comparing the probability distribution
function (PDF) for the density predicted by the Local Lagrangian Approximation
(LLA) with the results of numerical gravitational clustering simulations. Our
results indicate that our approximation correctly reproduces the evolved
density PDF for $-3 \leq n \leq-1$ power spectra up to the weakly nonlinear
regime, while it shows marginal agreement for power indices n=0 and +1 in the
linear regime and poor agreement beyond this point. This suggests that
tree-level perturbation theory (as realized in the Local Lagrangian
Approximation) can accurately predict the density distribution function for $-3
\leq n \leq -1$ but fails for $n \ge 0$.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 20:50:00 GMT""}]","2015-06-24"
"astro-ph/9611169","Henrique R. Schmitt","H. R. Schmitt(IF-UFRGS - Brazil), A. L. Kinney(STScI), T.
  Storchi-Bergmann (IF-UFRGS - Brazil), R. Antonucci(UCSB)","A Comparison of Radio Axis with Host Galaxy Plane Axis in Seyfert
  Galaxies","9 pages of text, 10 figures and 1 table. Accepted for publication in
  the ApJ",,"10.1086/303744",,"astro-ph",,"  We use the radio axis as an indicator of the orientation of the obscuring
torus in Seyfert galaxies, and analyze the difference between the position
angles of extended radio structures and host galaxy major axis of Seyfert 1 and
Seyfert 2 galaxies. We find that Seyfert 1's are less likely to have extended
radio structures along the host galaxy major axis, while Seyfert 2's have these
structures distributed in most directions. We also find a zone of avoidance in
the distribution of position angles; both Seyfert 1's and Seyfert 2's seem to
avoid close alignment between the radio axis and the host galaxy plane axis.
These results are analyzed from the point of view of a model in which Seyfert
1's have their obscuring torus axis aligned preferentially along the host
galaxy disk axis, and Seyfert 2's have their torus axis laying at an
intermediate angle between the galaxy disk and its axis.
","[{""version"":""v1"",""created"":""Wed, 20 Nov 1996 23:47:01 GMT""}]","2009-10-28"
