"adap-org/9611007","Boon Tiong Melvin Leok","Boon Tiong Melvin Leok (California Institute of Technology)","Dynamical Equilibrium of Interacting Ant Societies","5 pages, 2 figures",,,,"adap-org nlin.AO q-bio.PE",,"  The sustainable biodiversity associated with a specific ecological niche as a
function of land area is analysed computationally by considering the
interaction of ant societies over a collection of islands. A power law
relationship between sustainable species and land area is observed. We will
further consider the effect a perturbative inflow of ants has upon the model.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 00:58:08 GMT""}]","2008-06-25"
"adap-org/9611008","Boon Tiong Melvin Leok","Boon Tiong Melvin Leok (California Institute of Technology)","Coevolution of Symbiotic Species","14 pages, 2 figures",,,,"adap-org nlin.AO q-bio",,"  This paper will consider the coevolution of species which are symbiotic in
their interaction. In particular, we shall analyse the interaction of squirrels
and oak trees, and develop a mathematical framework for determining the
coevolutionary equilibrium for consumption and production patterns.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 01:28:53 GMT""}]","2008-02-03"
"alg-geom/9611031","Takao Fujita","Takao Fujita","On Kodaira energy and adjoint reduction of polarized threefolds","15 pages, source amstex file and/or hard copy is available on request",,,,"alg-geom math.AG",,"  Here we study and classify polarized threefolds whose Kodaira energies are
less than -1/2. The Kodaira energy of a polarized manifold (M, L), a pair
consisting of a smooth complex algebraic variety M and an ample line bundle L
on it, is defined to be $-\Inf{t\in Q\vert \kappa(K+tL)\ge0}$, where K is the
canonical bundle of M and $\kappa$ denotes the Iitaka dimension of a Q-bundle.
The method is a variant of those in my paper; manuscripta math. 76(1992).
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 08:47:19 GMT""},{""version"":""v2"",""created"":""Wed, 27 Nov 1996 05:58:49 GMT""}]","2008-02-03"
"alg-geom/9611032","Wolfgang Eholzer","Y. Choie, W. Eholzer","Rankin-Cohen Operators for Jacobi and Siegel Forms","15 pages LaTeX2e using amssym.def",,,"DAMTP-96-106","alg-geom math.AG",,"  For any non-negative integer v we construct explicitly [v/2]+1 independent
covariant bilinear differential operators from J_{k,m} x J_{k',m'} to
J_{k+k'+v,m+m'}. As an application we construct a covariant bilinear
differential operator mapping S_k^{(2)} x S^{(2)}_{k'} to S^{(2)}_{k+k'+v}.
Here J_{k,m} denotes the space of Jacobi forms of weight k and index m and
S^{(2)}_k the space of Siegel modular forms of degree 2 and weight k. The
covariant bilinear differential operators constructed are analogous to
operators already studied in the elliptic case by R. Rankin and H. Cohen and we
call them Rankin-Cohen operators.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 12:00:17 GMT""}]","2008-02-03"
"alg-geom/9611033","Olivier Debarre","O. Debarre and L. Manivel","Sch\'emas de Fano","PlainTeX v 1.2, 22 pages, in French. Run it twice to get
  cross-references right",,,,"alg-geom math.AG",,"  Let X be a subvariety of $P^n$ defined by equations of degrees $ d
=(d_1,...,d_s)$, over an algebraically closed field k of any characteristic. We
study properties of the Fano scheme $F_r(X)$ that parametrizes linear subspaces
of dimension r contained in X. We prove that $F_r(X)$ is connected and smooth
of the expected dimension for n big enough (this was previously known in
characteristic 0 or for r=1). Using Bott's theorem, we prove a vanishing
theorem for certain bundles on the Grassmannian and use it to calculate the
cohomology groups of $F_r(X)$ in degree $\le \dim X-2r$, and to prove that
$F_r(X)$ is projectively normal in the Grassmannian. Finally, we prove that for
n big enough, the rational Chow group $A_1(F_r(X))$ is of rank 1, and $F_r(X)$
is unirational. All bounds on n are effective.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 15:51:54 GMT""}]","2008-02-03"
"alg-geom/9611034","Andrzej Weber","Andrzej Weber (University of Warsaw)","Residue in intersection homology for quasihomogeneous singularities","8 pages, AMS-tex",,,,"alg-geom math.AG",,"  Suppose M is a complex manifold of dimension $n+1$ and K is a hypersurface in
M. By Poincar\'e duality we define a residue morphism $res:H^{k+1}(M\setminus
K)\longrightarrow H_{2n-k}(K)$ which generalizes the classical Leray residue
morphism to cohomology for smooth K. We assume that K has isolated
quasihomogeneous singularities. Suppose $\omega$ is a holomorphic form of the
type $(n+1,0)$ with the first order pole on K. The purpose of this note is to
give a short, self contained proof of a criterion which tells us when the
residue of $\omega$ lifts to the intersection homology of K.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 15:56:37 GMT""}]","2008-02-03"
"astro-ph/9611205",,"Roy Maartens and Vicenc Mendez","Nonlinear bulk viscosity and inflation","8 pages Revtex","Phys.Rev. D55 (1997) 1937-1942","10.1103/PhysRevD.55.1937",,"astro-ph",,"  We develop a nonlinear generalisation of the causal linear thermodynamics of
bulk viscosity, incorporating positivity of the entropy production rate and the
effective specific entropy. The theory is applied to viscous fluid inflation
(which is necessarily far from equilibrium), and we find thermodynamically
consistent inflationary solutions, both exponential and power-law.
","[{""version"":""v1"",""created"":""Mon, 25 Nov 1996 19:16:31 GMT""}]","2009-10-28"
"astro-ph/9611206","Douglas Tucker","D.L. Tucker (FNAL/AIP), A. Oemler, Jr. (OCIW/Yale), R.P. Kirshner
  (CFA), H. Lin (Toronto), S.A. Shectman (OCIW), S.D. Landy (OCIW), P.L.
  Schechter (MIT), V. Mueller (AIP), S. Gottloeber (AIP), and J. Einasto
  (Tartu)","The Las Campanas Redshift Survey Galaxy-Galaxy Autocorrelation Function","5 pages, LaTeX, 8 postscript figures, and plotting.sty included. Text
  and figures are also available at
  http://manaslu.astro.utoronto.ca:80/~lin/JournalPapers/JournalPapers.html and
  at http://www.aip.de:8080/~tucker/JournalPapers/JournalPapers.html Accepted
  for publication by MNRAS",,"10.1093/mnras/285.1.L5",,"astro-ph",,"  Presented are measurements of the observed redshift-space galaxy-galaxy
autocorrelation function, xi(s), for the Las Campanas Redshift Survey (LCRS).
For separations 2.0/h Mpc < s < 16.4/h Mpc, xi(s) can be approximated by a
power law with slope of -1.52 +/- 0.03 and a correlation length of s_0 = (6.28
+\- 0.27)/h Mpc. A zero-crossing occurs on scales of roughly 30 - 40/h Mpc. On
larger scales, xi(s) fluctuates closely about zero, indicating a high level of
uniformity in the galaxy distribution on these scales. In addition, two aspects
of the LCRS selection criteria - a variable field-to-field galaxy sampling rate
and a 55 arcsec galaxy pair separation limit - are tested and found to have
little impact on the measurement of xi(s). Finally, the LCRS xi(s) is compared
with those from numerical simulations; it is concluded that, although the LCRS
xi(s) does not discriminate sharply among modern cosmological models,
redshift-space distortions in the LCRS xi(s) will likely provide a strong test
of theory.
","[{""version"":""v1"",""created"":""Mon, 25 Nov 1996 21:44:25 GMT""}]","2016-01-13"
"astro-ph/9611207","Dennis Zaritsky","Dennis Zaritsky (UCO/Lick Obs.), Rodney Smith (Univ. of Wales), Carlos
  S. Frenk (Univ. of Durham) and Simon D.M. White (MPA)","Anisotropies in the Distribution of Satellite Galaxies","15 pages, submitted to ApJL","Astrophys.J.478:L53-L56,1997","10.1086/310557",,"astro-ph",,"  We find that satellites of isolated disk galaxies at projected radii between
300 and 500 kpc are distributed asymmetrically about the parent galaxy and
aligned preferentially with the disk minor axis. The dynamical timescale at
these radii is sufficiently long that the shape of this distribution must
reflect the formation history of the outer halo rather than its internal
evolution. We also find that the orbital angular momenta of satellites at
projected major axis distances of $\ltsim$ 200 kpc tend to align with that of
the central disk. These results demonstrate that satellites are dynamically
related to their primary galaxy. Satellites drawn from current simulations of
hierarchical galaxy formation exhibit neither the systematic alignment nor the
net rotation with the central disk that we find in the data.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 00:05:07 GMT""}]","2009-07-28"
"astro-ph/9611208","Emil Mottola","I. Antoniadis, P. O. Mazur, and E. Mottola","Conformal Invariance and Cosmic Background Radiation","4 pages, Revtex file, uuencoded with one figure","Phys.Rev.Lett.79:14-17,1997","10.1103/PhysRevLett.79.14","CPTH--S474.1096, LA-UR-96-4026","astro-ph gr-qc hep-th",,"  The spectrum and statistics of the cosmic microwave background radiation
(CMBR) are investigated under the hypothesis that scale invariance of the
primordial density fluctuations should be promoted to full conformal
invariance. As in the theory of critical phenomena, this hypothesis leads in
general to deviations from naive scaling. The spectral index of the two-point
function of density fluctuations is given in terms of the quantum trace anomaly
and is greater than one, leading to less power at large distance scales than a
strict Harrison-Zel'dovich spectrum. Conformal invariance also implies
non-gaussian statistics for the higher point correlations and in particular, it
completely determines the large angular dependence of the three-point
correlations of the CMBR.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 00:47:03 GMT""}]","2008-11-26"
"astro-ph/9611209","Burkhardt Fuchs","B. Fuchs, H. Jahreiss (Astronomisches Rechen-Institut Heidelberg,
  Germany)","MACHOs in the solar neighbourhood","latex, 10 pages, 3 eps-figures and lsproc.sty included, contributed
  paper to appear in the proceedings of the 'International Workshop on Aspects
  of Dark Matter in Astro- and Particle Physics', Heidelberg, Sept. 16 - 20
  1996",,,"Astronomisches Rechen-Institut Heidelberg Preprint Series No. 66","astro-ph",,"  We rediscuss the question of what fraction of the population of MACHOs in the
halo of the Milky Way might be in the form of halo dwarfs, because recent
determinations indicate masses of the MACHOs, which are typical for such stars.
For this purpose we have analyzed the Third Catalogue of Nearby Stars and
identified the subdwarfs and a high velocity white dwarf in the solar
neighbourhood. The local mass density of these stars is 1.5*10^{-4} M_sun/pc^3,
which is only 3% of the current estimate of the local mass density of the MACHO
population. We compare the local density of subdwarfs with constraints set by
HST observations of distant red dwarfs. Using models of the stellar halo with
density laws that fall off like r^{-alpha}, alpha = 3.5 to 4, we find that the
HST constraints can only be matched, if we assume that the stellar halo is
flattened with an axial ratio of about 0.6. The non-detection of the analogs of
MACHOs in the solar neighbourhood allows to set an upper limit to the
luminosity of MACHOs of M_B > 21 magnitudes.
","[{""version"":""v1"",""created"":""Tue, 26 Nov 1996 11:53:39 GMT""}]","2007-05-23"
