"alg-geom/9612001","Alexander Givental","Alexander Givental (UC Berkeley)","Stationary Phase Integrals, Quantum Toda Lattices, Flag Manifolds and
  the Mirror Conjecture","17 pages, LaTeX",,,,"alg-geom math.AG",,"  A generalization of the mirror conjecture is proven for the manifolds of
complete flags in C^n.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 01:34:32 GMT""}]","2008-02-03"
"astro-ph/9612011",,"H. J. Haubold (UN, Austria) and A. M. Mathai (McGill University,
  Canada)","On Thermonuclear Reaction Rates","13 Pages, Plain TeX, to appear in Journal of Mathematical Physics","Astrophys.Space Sci.258:185-199,1998","10.1023/A:1001791425156",,"astro-ph",,"  Nuclear reactions govern major aspects of the chemical evolution od galaxies
and stars. Analytic study of the reaction rates and reaction probability
integrals is attempted here. Exact expressions for the reaction rates and
reaction probability integrals for nuclear reactions in the case of
nonresonant, modified nonresonant, screened nonresonant and resonant cases are
given. These are expressed in terms of H-functions, G-functions and in
computable series forms. Computational aspects are also discussed.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 00:32:51 GMT""}]","2011-04-15"
"astro-ph/9612012","Robert Malaney","Robert A. Malaney","Evolution of the Cosmic Gas and the Relic Supernova Neutrino Background","minor clarifications added to text. 27 pages, latex, 6 figures, also
  available at ftp://ftp.cita.utoronto.ca/ftp/cita/malaney Accepted for
  publication in Astroparticle Physics","Astropart.Phys.7:125-136,1997","10.1016/S0927-6505(97)00012-1","CITA-96-19","astro-ph",,"  Using the redshift evolution of the cosmic gas, as inferred from QSO
absorption line studies, we calculate the past supernova rate and the relic
supernova neutrino background. Using this new technique we find the predicted
relic neutrino flux at low energies to be at least an order of magnitude below
previous estimates. We argue that the evolution of the cosmic gas is consistent
with a large decrease in the number of early-type galaxies at redshifts $\sim
3$, and that this evolution is the source of the reduction in the predicted
neutrino flux. Additional observational constraints from recent redshift
surveys lead us to propose a modified model for the evolution of the cosmic gas
in which significant infall at low redshift occurs. We discuss the possible
relevance of our calculations to the X-ray emitting metal-enriched gas observed
in the intergalactic medium.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 1996 20:57:34 GMT""},{""version"":""v2"",""created"":""Thu, 20 Feb 1997 19:48:16 GMT""}]","2011-05-23"
"astro-ph/9612013",,"S. Pellegrini, E.V. Held and L. Ciotti","X-ray emission and internal kinematics in early-type galaxies. I.
  Observations","10 pages, plain tex, plus 7 .ps figures and tex-macro mn.tex --
  accepted by MNRAS (main journal)",,"10.1093/mnras/288.1.1","BAP 11-1996-041-DDA","astro-ph",,"  Long slit spectroscopic data for 7 early-type galaxies with X-ray emission
have been analyzed to derive velocity dispersion and radial velocity profiles.
Major axis rotation curves out to $R\sim R_e$ are presented. Adding these new
data to those available in the literature, we have built a sample of early-type
galaxies with detected X-ray emission and known kinematics (central velocity
dispersion $\sigma_0$ and maximum rotational velocity $v_r$). Using this sample
we investigate from an observational point of view the role of rotation and
flattening on the X-ray emission, particularly with regard to the X-ray
underluminosity of flat systems. The trend between the X-ray to optical ratio
$L_X/L_B$, a measure of the hot gas content of the galaxies, and $v_r/\sigma_0$
is L-shaped, with the X-ray brightest objects confined at $v_r/\sigma_0 <0.4$,
both for Es and S0s. Neither for low or intermediate, nor for high $L_X/L_B$,
there is any clear correlation between X-ray emission and rotational
properties. The trend between $L_X/L_B$ and the ellipticity $\epsilon$ is also
L-shaped: there are no high $L_X/L_B$ objects with high $\epsilon$. The
existence of a relation between $v_r/\sigma_0$ and $\epsilon$ makes it
difficult to assess whether rotation or flattening is at the basis of the
trends found. Our observational findings are finally discussed in connection
with the effects that rotation and flattening are predicted to have in the
cooling flow and in the wind/outflow/inflow scenarios.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 07:40:06 GMT""}]","2015-06-24"
"astro-ph/9612014","Michiyasu Nagasawa","Michiyasu Nagasawa and Jun'ichi Yokoyama (YITP, Kyoto University)","On the Jeans Instability During the QCD Phase Transition","9 pages (LaTeX), no figure, revised version of Progress of
  Theoretical Physics 97 (Letters), 173 (1997)","Prog.Theor.Phys. 97 (1997) 173-178","10.1143/PTP.97.173","YITP-96-58","astro-ph",,"  The Jeans scale is estimated during the coexistence epoch of quark-gluon and
hadron phases in the first-order QCD phase transition. It is shown that,
contrary to the previous claims, reduction of the sound speed is so little that
the phase transition does not affect evolution of cosmological density
fluctuations appreciably.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 08:40:55 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 1997 03:47:24 GMT""}]","2009-10-28"
"astro-ph/9612015","Albrecht","Andreas Albrecht","Coherence and Sakharov Oscillations in the Microwave Sky","13 pages including 4 figures. To appear in proceedings of the XXXIst
  Rencontre de Moriond, `Microwave Background Anisotropies'",,,"Imperial/TP/96-97/8","astro-ph",,"  I discuss the origin of the ``Sakharov oscillations'' (or ``secondary Doppler
peaks'') in standard angular power spectra of the Cosmic Microwave Background
anisotropies calculated for inflationary models. I contrast this with the
production of CMB anisotropies in `active' models and argue that the presence
or absence of Sakharov oscillations will reveal fundamental properties of the
primordial perturbations.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 15:01:32 GMT""}]","2007-05-23"
"astro-ph/9612016","Michael E. Jones","Stephen Hancock and Graca Rocha (MRAO Cambridge UK)","A first determination of the position of the `Doppler' peak","10 pages LaTeX including 4 PS figures. To appear in proceedings of
  the XXXIst Rencontre de Moriond, 'Microwave Background Anisotropies'",,,,"astro-ph",,"  Cosmological theories for the origin and evolution of structure in the
Universe are highly predictive of the form of the angular power spectrum of
cosmic microwave background fluctuations. We present new results from a
comprehensive study of CMB observations which provide the first measurements of
the power spectrum all the way down to angular scales of ~10 arcminutes. On
large scales a joint likelihood analysis of the COBE and Tenerife data fixes
the power spectrum normalisation to be Q_rms = 21.0 +/- 1.6 uK for an initially
scale invariant spectrum of fluctuations. The combined data are consistent with
this hypothesis, placing a limit of n=1.3 +/- 0.3 on the spectral slope. On
intermediate scales we find clear evidence for a `Doppler' peak in the power
spectrum localised in both angular scale and amplitude. This first estimate of
the angular position of the peak is used to place a new direct limit on the
curvature of the Universe, corresponding to a density of
Omega=0.7^{+1.0}_{-0.4}. Very low density open Universe models are inconsistent
with this limit unless there is a significant contribution from a cosmological
constant.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:25:00 GMT""}]","2007-05-23"
"chao-dyn/9612003","Dr. M. P. Joy","M. P. Joy (M R C, Indian Institute of Science, Bangalore)","On the Integrability and Chaotic behaviour of an ecological model","11 Pages LaTeX file, 3 Figures (PS files); To appear in Int. J. Bif.
  & Chaos, February, 1997","Int. J. Bifur. & Chaos 7 (1997) 463-468.",,,"chao-dyn nlin.CD q-bio",,"  A three species food chain model is studied analytically as well as
numerically. Integrability of the model is studied using Painleve analysis
while chaotic behaviour is studied using numerical techniques, such as
calculation of Lyapunov exponents, plotting the bifurcation diagram and phase
plots. We correct and critically comment on the wrong results reported recently
on this ecological model, in a paper by Rai ([1995] ``Modelling ecological
systems'', Int. J. Bifurcation and Chaos 5, 537-543).
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 14:16:29 GMT""}]","2008-02-03"
"cond-mat/9612013",,"Andreas Fledderjohann (Dortmund) and Claudius Gros (Dortmund)","Spin dynamics of dimerized Heisenberg chains","submitted to EPL","Europhys. Lett. Vol. 37, p189 (1997)","10.1209/epl/i1997-00102-1",,"cond-mat.str-el",,"  We study numerically the dimerized Heisenberg model with frustration
appropriate for the quasi-1D spin-Peierls compound CuGeO$_3$. We present
evidence for a bound state in the dynamical structure factor for any finite
dimerization $\delta$ and estimate the respective spectral weight. For the
homogeneous case ($\delta=0$) we show that the spin-wave velocity $v_s$ is
renormalized by the n.n.n. frustration term $\alpha$ as $v_s=\pi/2
J(1-b\alpha)$ with $b\approx1.12$
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 08:56:14 GMT""}]","2016-08-31"
"cond-mat/9612014","Alexei Tsvelik","A. A. Nersesyan (ICTP, Trieste) and A. M. Tsvelik (Oxford)","One-dimensional spin-liquid without magnon excitations","9 pages, LaTex, to be published in Phys. Rev. Lett., vol. 78, May
  1997",,"10.1103/PhysRevLett.78.3939",,"cond-mat",,"  It is shown that a sufficiently strong four-spin interaction in the spin-1/2
spin ladder can cause dimerization. Such interaction can be generated either by
phonons or (in the doped state) by the conventional Coulomb repulsion between
the holes. The dimerized phases are thermodynamically undistinguishable from
the Haldane phase, but have dramatically different correlation functions: the
dynamical magnetic susceptibility, instead of displaying a sharp single magnon
peak near $q = \pi$, shows only a two-particle threshold separated from the
ground state by a gap.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:11:23 GMT""},{""version"":""v2"",""created"":""Mon, 14 Apr 1997 15:32:36 GMT""}]","2016-08-31"
"cond-mat/9612015","Michael Jost","M. Jost and K.D. Usadel","Domain wall roughening in disordered media: From local spin dynamics to
  a continuum description of the interface","7 pages",,,,"cond-mat.dis-nn",,"  We study the kinetic roughening of a driven domain wall between spin-up and
spin-down domains for a model with non-conserved order parameter and quenched
disorder. To understand the scaling behavior of this interface we construct an
equation of motion and study it theoretically.
","[{""version"":""v1"",""created"":""Mon, 2 Dec 1996 09:23:45 GMT""}]","2008-02-03"
