"alg-geom/9612012","Rolf Schimmrigk","Rolf Schimmrigk","Scaling Behavior on the Space of Calabi-Yau Manifolds","11 pages, 4 eps figs Latex",,,"BONN-TH-96-13","alg-geom hep-th math.AG",,"  Recent work is reviewed which suggests that certain universal quantities,
defined for all Calabi-Yau manifolds, exhibit a specific behavior which is not
present for general K\""ahler manifolds. The variables in question, natural from
a mathematical perspective, are of physical importance because they determine
aspects of the low-energy string physics in four dimensions, such as Yukawa
couplings and threshold corrections. It is shown that these quantities,
evaluated on the complete class of Calabi-Yau hypersurfaces in weighted
projective 4-space, exhibit scaling behavior with respect to a new scaling
variable. (To appear in Mirror Symmetry II.)
","[{""version"":""v1"",""created"":""Thu, 12 Dec 1996 16:46:01 GMT""},{""version"":""v2"",""created"":""Fri, 13 Dec 1996 19:18:59 GMT""}]","2008-02-03"
"astro-ph/9612123","Xingming Chen","Xingming Chen, Ronald E. Taam, Marek A. Abramowicz, and Igor V.
  Igumenshchev","On the morphology of accretion flows with small non-zero specific
  angular momentum","MNRAS accepted",,"10.1093/mnras/285.2.439","chen-96-009","astro-ph",,"  The morphology of adiabatic accretion flows with small non-zero specific
angular momentum has been investigated in the axisymmetric and nonviscous
limit. For an initial state characterized by a Bondi flow with the specific
angular momentum distributed with respect to polar angle, a travelling shock
wave forms which propagates more rapidly in the equatorial plane than in the
plane perpendicular to it resulting in the formation of a hot torus. In cases
where the incoming flow is restricted to lie near the equatorial plane, a
strong wind forms directed away from this plane with the tendency for the
formation of a nonsteady shock structure. As the height of the incoming flow is
increased it is found that the resultant wind weakens. The parameter regime
which delineates accretion flows characterized by a travelling shock and a
nearly standing shock structure is presented.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 00:36:02 GMT""}]","2015-06-24"
"astro-ph/9612127","Nick Gnedin","Nickolay Y. Gnedin and Jeremiah P. Ostriker","Reionization of the Universe and the Early Production of Metals","submitted to ApJ","Astrophys.J. 486 (1997) 581","10.1086/304548",,"astro-ph",,"  We simulate a plausible cosmological model in considerable physical and
numerical detail through the successive phases of reheating (at 10<z<20),
formation of Pop III stars at z=15 (due to molecular hydrogen cooling), with
subsequent reionization at z=7. We assume an efficiency of high mass star
formation appropriate to leave the universe, after it becomes transparent, with
an ionizing background J_21=0.4 (at z=4), near (and perhaps slightly below) the
observed value. Since the same stars produce the ionizing radiation and the
first generation of heavy elements, a mean metallicity of Z/Z_\sun=1/200 is
produced in this early phase, but there is a large variation about this mean,
with the high density regions having Z/Z_\sun=1/30 and low density regions
essentially no metals.
  Reionization, when it occurs, is very rapid, which will leave a signature
which may be detectable by very large area meter-wavelength radio instruments.
Also, the background UV radiation field will show a sharp drop from 1Ryd to
4Ryd due to absorption edges.
  The simulated volume is too small to form L_* galaxies, but the smaller
objects which are found in the simulation obey the Faber-Jackson relation.
  In order to explore theoretically this domain of ""the end of the dark ages""
quantitatively, numerical simulations must have a mass resolution of the order
of 10^{4.5} M_\sun} in baryons, high spatial resolution (1 kpc) to resolve
strong clumping, and allow for detailed and accurate treatment of both the
radiation field and atomic/molecular physics.
","[{""version"":""v1"",""created"":""Thu, 12 Dec 1996 23:34:54 GMT""},{""version"":""v2"",""created"":""Tue, 17 Dec 1996 01:45:55 GMT""}]","2009-10-28"
"astro-ph/9612128","Xingming Chen","Xingming Chen, Jean H. Swank, and Ronald E. Taam","The Pattern of Correlated X-ray Timing and Spectral Behavior in GRS
  1915+105","ApJ Lett accepted",,"10.1086/310515","chen-96-010","astro-ph",,"  From data obtained from the PCA in the 2-11 keV and 11-30.5 keV energy range,
GRS 1915+105 is seen during RXTE observations between 1996 May and October on
two separate branches in a hardness intensity diagram. On the hard branch, GRS
1915+105 exhibits narrow quasi-periodic oscillations ranging from 0.5 to 6 Hz
with ${\Delta \nu \over \nu} \sim 0.2$. The QPOs are observed over intensities
ranging from about 6,000 to 20,000 counts s$^{-1}$ in the 2 - 12.5 keV energy
band, indicating a strong dependence on source intensity. Strong harmonics are
seen, especially, at lower frequencies. As the QPO frequency increases, the
harmonic feature weakens and disappears. On the soft branch, narrow QPOs are
absent and the low frequency component of the power density spectrum is
approximated by a power-law, with index $\sim -1.25$ for low count rates and
$\sim -1.5$ for high count rates ($\gta 18000$ cts/s). Occasionally, a broad
peaked feature in the 1-6 Hz frequency range is also observed on this branch.
The source was probably in the very high state similar to those of other black
hole candidates. Thermal-viscous instabilities in accretion disk models do not
predict the correlation of the narrow QPO frequency and luminosity unless the
fraction of luminosity from the disk decreases with the total luminosity.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 00:36:19 GMT""}]","2009-10-28"
"astro-ph/9612129","Yadigaroglu I.-A.","I.-A. Yadigaroglu (Stanford University)","Sensitivity of Gamma-Ray Detectors to Polarization","17 pages, 3 figures","Exper.Astron. 7 (1997) 221-237",,,"astro-ph",,"  Previous studies have shown that the largest gamma-ray detector to date,
EGRET, does not have useful polarization sensitivity. We have explored here
some improved approaches to analyzing gamma-ray pair production events, leading
to important gains in sensitivity to polarization. The performance of the next
generation gamma-ray instrument GLAST is investigated using a detailed Monte
Carlo simulation of the complete detector.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 00:53:06 GMT""}]","2007-05-23"
"astro-ph/9612130","James Schombert","James Schombert (UOregon), Rachel Pildis (Harvard-Smithsonian Center
  for Astrophysics) and Jo Ann Eder (Arecibo Observatory)","Gas Rich Dwarfs from the PSS-II I. Catalog and Characteristics","17 pages, AASTeX v4.0, 6 figures, to be published in ApJ Suppl,
  images, tables and referee report can be found at
  http://zebu.uoregon.edu/~js/dwarf.html",,"10.1086/313016",,"astro-ph",,"  This project is a visual search for field dwarf galaxies using Second Palomar
Sky Survey photographic plates. A morphologically selected sample of 310
objects yielded 145 detections of true dwarfs within a redshift search window
of 0 to 10,000 km sec^-1. We confirm the low mass, dwarf nature of the same by
comparison of luminosity, isophotal size, HI mass and HI profile width
distribution of other dwarf samples. The goal of this project is to use these
newly discovered dwarf galaxies to map large scale structure as a test of
biased galaxy formation. Initial indicators are that the large scale
distribution of dwarf galaxies is identical to bright, high mass galaxies, in
contradiction to theory using biasing. The full analysis of the sample will be
reported in the final paper of our series.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 00:58:01 GMT""}]","2009-10-28"
"astro-ph/9612131","Brad Gibson","Brad K. Gibson (MSSSO), Francesca Matteucci (SISSA)","The Enrichment of the Intracluster Medium","2 pages, TeX, also available at
  http://msowww.anu.edu.au/~gibson/publications.html, to appear in the
  Proceedings of the Second Stromlo Symposium",,,,"astro-ph",,"  The enrichment of the intracluster medium (ICM) of galaxy clusters, within
the framework of the supernovae-driven wind model for elliptical galaxies, has
been considered under two extreme assumptions regarding the binding
energy-mass-radius relations. Unless the binding energy at the time of wind
commencement, for a given galactic mass, was a factor of approximately five
lower than that predicted by the present-day relation, at most 20% of the ICM
gas could have originated within the cluster ellipticals themselves, the
remainder being of primordial origin.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 07:27:39 GMT""}]","2007-05-23"
"astro-ph/9612132","Brad Gibson","Brad K. Gibson (MSSSO), Francesca Matteucci (SISSA)","On Dwarf Galaxies as the Source of Intracluster Gas","43 pages, 8 figures, LaTeX, also available at
  http://msowww.anu.edu.au/~gibson/publications.html, to appear in ApJ, Vol
  473, 1997, in press","Astrophys.J. 475 (1997) 47","10.1086/303513",,"astro-ph",,"  Recent observational evidence for steep dwarf galaxy luminosity functions in
several rich clusters has led to speculation that their precursors may be the
source of the majority of gas and metals inferred from intracluster medium
(ICM) x-ray observations. Their deposition into the ICM is presumed to occur
through early supernovae-driven winds, the resultant systems reflecting the
photometric and chemical properties of the low luminosity dwarf spheroidals and
ellipticals we observe locally. We consider this scenario, utilising a
self-consistent model for spheroidal photo-chemical evolution and gas ejection
via galactic superwinds. Insisting that post-wind dwarfs obey the observed
colour-luminosity-metallicity relations, we conclude that the bulk of the ICM
gas and metals does not originate within their precursors.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 07:44:18 GMT""}]","2009-10-28"
"astro-ph/9612133","Brad Gibson","Brad K. Gibson (MSSSO), Jeremy R. Mould (MSSSO)","The Chemical Residue of a White Dwarf-Dominated Galactic Halo","9 pages, 5 figures, LaTeX, also available at
  http://msowww.anu.edu.au/~gibson/publications.html, to appear in ApJ, Part I,
  1997, in press",,"10.1086/304140",,"astro-ph",,"  Halo initial mass functions (IMFs), heavily-biased toward white dwarf (WD)
precursors (i.e. 1->8 M_sun), have been suggested as a suitable mechanism for
explaining microlensing statistics along the line of sight to the LMC. Such
IMFs can apparently be invoked without violating the observed present-day WD
luminosity function. By employing a simple chemical evolution argument, we
demonstrate that reconciling the observed halo Population II dwarf abundances
(i.e. [C,N/O]=-0.5), with that expected from the postulated ``WD-heavy'' IMF
(i.e. [C,N/O]=+0.5), is difficult.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 07:56:41 GMT""}]","2009-10-28"
"astro-ph/9612134",,"A. Fuente and J. Martin-Pintado (OAN, Spain)","Detection of CO+ toward the reflection nebula NGC 7023","14 pages, 1 Postscript figure, uses aasms4.sty. to appear in
  Astrophysical Journal Letters",,"10.1086/310532",,"astro-ph",,"  We have detected CO+ toward the photon-dominated region (PDR) associated with
the reflection nebula NGC 7023. This is the first detection of CO+ in the
vicinity of a Be star. A CO+ column density of ~ 3E11 cm-2 has been derived
toward the PDR peak. We have, however, not detected CO+ in a well shielded
clump of the adjacent molecular cloud, where the CO+/HCO+ abundance ratio is at
least 100 times lower than in the PDR. Our results show, for the first time,
that CO^+ column densities as large as ~ 3E11 cm-2 can be produced in regions
with incident UV fields of just a few 1E3 (in units of Habing field) and
densities of ~ 1E5 cm-3. Furthermore, since the ionization potential of CO is
larger than 13.6 eV, our data rule out the direct photoionization of CO as a
significant CO+ formation mechanism.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 08:53:43 GMT""}]","2009-10-28"
"astro-ph/9612135","Graham Vincent","Graham R. Vincent (1), Mark Hindmarsh (1) and Mairi Sakellariadou (2)
  ((1) Sussex University, (2) Universite de Geneve)","Scaling and Small Scale Structure in Cosmic String Networks","22pp Plain LaTeX, 12 EPS figures","Phys.Rev.D56:637-646,1997","10.1103/PhysRevD.56.637","SUSX-TH-96-020","astro-ph hep-ph",,"  We examine the scaling properties of an evolving network of strings in
Minkowski spacetime and study the evolution of length scales in terms of a
3-scale model proposed by Austin, Copeland and Kibble (ACK). We find good
qualitative and some quantitative agreement between the model and our
simulations. We also investigate small-scale structure by altering the minimum
allowed size for loop production E_c. Certain quantities depend significantly
on this parameter: for example the scaling density can vary by a factor of two
or more with increasing E_c. Small-scale structure as defined by ACK disappears
if no restrictions are placed on loop production, and the fractal dimension of
the string changes smoothly from 2 to 1 as the resolution scale is decreased.
Loops are nearly all produced at the lattice cut-off. We suggest that the
lattice cut-off should be interpreted as corresponding to the string width, and
that in a real network loops are actually produced with this size. This leads
to a radically different string scenario, with particle production rather than
gravitational radiation being the dominant mode of energy dissipation. At the
very least, a better understanding of the discretisation effects in all
simulations of cosmic strings is called for.
","[{""version"":""v1"",""created"":""Fri, 13 Dec 1996 10:29:56 GMT""}]","2008-11-26"
