"alg-geom/9612018","Takeshi Kawachi","Takeshi Kawachi","Effective base point freeness on a normal surface","AmS-TeX 2.1, 15pages + 1 PostScript graphic page",,,,"alg-geom math.AG",,"  This treats the base-point-freeness of the adjoint bundles on normal surfaces
with a boundary. This is an extension of the non-relative version of the
theorem of Ein-Lazarsfeld-Masek and the theorem of Kawachi-Masek.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 07:50:32 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 1997 06:05:45 GMT""}]","2008-02-03"
"astro-ph/9612196","Brian McNamara","Brian R. McNamara","Optical Properties of Cooling Flow Central Cluster Ellipticals","12 pages, Latex, to appear in Galactic and Cluster Cooling Flows, ed.
  by N. Soker, (San Francisco: Publ. Astr. Soc. Pacific), in press",,,,"astro-ph",,"  Central cluster galaxies in cooling flows show the signatures of gaseous
accretion and ongoing star formation at rates ranging between 1-100 solar
masses per year. Their blue morphologies usually reflect the low net angular
momentum content of the less than 10,000 K gas from which the accretion
population formed, and the effects of interactions between the cool gas and
their FR I radio sources. For example, there is strong evidence that star
formation is being triggered, in part, by interactions between the 10,000 K gas
and the radio sources in some objects. Disk star formation on kiloparsec scales
is rare in cooling flows. The optically determined star formation rates,
assuming the Local initial mass function (IMF), are typically factors of 10-100
smaller than the cooling rates determined from X-ray observations, and
signatures of the remaining material have not been identified outside of the
X-ray band. The IMF is poorly understood in cooling flows; most of the cooling
material may be deposited in low-mass stars or some other form of dark matter.
Continued study of the interactions between radio sources and the intercluster
medium will further our understanding of how elliptical galaxies, particularly
radio ellipticals in the early universe, evolve.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 18:03:52 GMT""}]","2007-05-23"
"astro-ph/9612197","Ken Nollett","Kenneth M. Nollett, Martin Lemoine, and David N. Schramm","Nuclear Reaction Rates and Primordial $^6$Li","10 pages, REVTeX, 5 PostScript figures with psfig. Submitted to
  Physical Review C","Phys.Rev.C56:1144-1151,1997","10.1103/PhysRevC.56.1144",,"astro-ph nucl-th",,"  We examine the possibility that Big Bang Nucleosynthesis (BBN) may produce
non-trivial amounts of $^6$Li. If a primordial component of this isotope could
be observed, it would provide a new fundamental test of Big-Bang cosmology, as
well as new constraints on the baryon density of the universe. At present,
however, theoretical predictions of the primordial $^6$Li abundance are
extremely uncertain due to difficulties in both theoretical estimates and
experimental determinations of the deuterium-plus-alpha radiative capture
reaction cross-section. We also argue that present observational capabilities
do not yet allow the detection of primeval $^6$Li in very metal-poor stars of
the galactic halo. However, if the critical cross section is towards the upper
end of its plausible range, then improvements in $^6$Li detection capabilities
may allow the establishment of $^6$Li as another product of BBN. It is also
noted that a primordial $^6$Li detection could help resolve current concerns
about the extragalactic D/H determination.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 19:02:33 GMT""}]","2008-11-26"
"astro-ph/9612198","John Hughes","Kenneth R. Banas, John P. Hughes, L. Bronfman, and L.-A. Nyman","Supernova Remnants Associated with Molecular Clouds in the Large
  Magellanic Cloud","26 pages, including 9 postscript figs, LaTeX (includes aaspp.sty),
  accepted by Ap.J. for vol 480, May 10, 1997","Astrophys.J.480:607-617,1997","10.1086/303989","Rutgers Astrophysics Preprint Series No. 197","astro-ph",,"  We used the Swedish-ESO Submillimeter Telescope (SEST) to search for CO
emission associated with three supernova remnants (SNRs) in the Large
Magellanic Cloud: N49, N132D, and N23. Observations were carried out in the
J=2-1 rotational transition of CO (230.5 GHz) where the half power beamwidth of
the SEST is 23"". Molecular clouds were discovered near N49 and N132D; no CO
emission was discovered in the region we mapped near N23. The N49 cloud has a
peak line temperature of 0.75 K, spatial scale of ~7 pc and virial mass of
~30,000 solar masses. The N132D cloud is brighter with a peak temperature of 5
K; it is also larger ~22 pc and considerably more massive 200,000 solar masses.
The velocities derived for the clouds near N49 and N132D, +286.0 km/s and
+264.0 km/s, agree well with the previously known velocities of the associated
SNRs: +286 km/s and +268 km/s, respectively. ROSAT X-ray images show that the
ambient density into which the remnants are expanding appears to be
significantly increased in the direction of the clouds. Taken together these
observations indicate a physical association between the remnants and their
respective, presumably natal, molecular clouds. The association of N49 and
N132D with dense regions of molecular material means that both were likely
products of short-lived progenitors that exploded as core-collapse supernovae.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 19:34:56 GMT""}]","2009-10-26"
"astro-ph/9612199","Alex Lazarian","A. Lazarian and B.T. Draine","Disorientation of Suprathermally Rotating Grains and Grain Alignment
  Problem","24 pages, 2 figures, submitted to ApJ, see also
  http://www.astro.princeton.edu/~library/prep.html","Astrophys.J. 487 (1997) 248","10.1086/304587","Princeton Observatory Preprint POP697","astro-ph",,"  We discuss the dynamics of dust grains subjected to uncompensated torques
arising from H_2 formation. In particular, we discuss grain dynamics when a
grain spins down and goes through a ``crossover''. As first pointed out by
Spitzer & McGlynn (1979), the grain angular momentum before and after a
crossover event are correlated, and the degree of this correlation affects the
alignment of dust grains by paramagnetic dissipation. We calculate the
correlation including the important effects of thermal fluctuations within the
grain material. These fluctuations limit the degree to which the grain angular
momentum J is coupled with the grain principal axis a_1 of maximal inertia. We
show that this imperfect coupling of a_1 with J plays a critical role during
crossovers and can substantially increase the efficiency of paramagnetic
alignment for grains larger than 10^{-5} cm. As a result, we show that for
reasonable choices of parameters, the observed alignment of $a\gtrsim 10^{-5}$
cm grains could be produced by paramagnetic dissipation in suprathermally
rotating grains, if radiative torques due to starlight were not present. We
also show that the efficiency of mechanical alignment in the limit of long
alignment times is not altered by the thermal fluctuations in the grain
material.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 21:08:18 GMT""}]","2009-10-28"
"astro-ph/9612200","Xinmin Hua","Demos Kazanas, Xin-Min Hua and Lev Titarchuk (LHEA, GSFC/NASA,
  Greenbelt, Maryland USA)","Temporal and Spectral Properties of Comptonized Radiation","18 pages, Latex, using AAS macro, to be published in Astrophysical
  Journal. A condensed version to appear in the Proceedings of Integral
  meeting.",,,,"astro-ph",,"  We have found relations between the temporal and spectral properties of
radiation Comptonized in an extended atmosphere associated with compact
accreting sources. We demonstrate that the fluctuation power spectrum density
(PSD) imposes constraints on the atmosphere scale and profile. Furthermore, we
indicate that the slope and low frequency break of the PSD are related to the
Thomson depth tau_0 of the atmosphere and the radius of its physical size
respectively. Since the energy spectrum of the escaping radiation depends also
on tau_0 (and the electron temperature kT_e), the relation between spectral and
temporal properties follows. This relation allows for the first time an
estimate of the accreting matter Thomson depth tau_0 independent of arguments
involving Comptonization. We present figures for the light curves and PSD of
different energy bands, the photon energy spectra and the phase lags as
functions of the variability frequency. The temporal properties of the high
(soft) and low (hard) state of black hole sources are discussed in this
context.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 21:53:26 GMT""}]","2007-05-23"
"astro-ph/9612201","Salman Hameed","Salman Hameed(NMSU) and Nick Devereux(NMSU)","The Evidence for Massive Star Formation in Early-Type Spiral Galaxies","4 pages including two postscript figures. Contribution to the
  Conference proceedings of the 7th Annual Astrophysics Conference in Maryland,
  STAR FORMATION, NEAR AND FAR, eds. Stephen S. Holt and Lee G. Mundy",,"10.1063/1.52760",,"astro-ph",,"  A recent analysis of the IRAS database indicates that the massive star
formation rates in early-type (Sa-Sab) spirals are comparable to the massive
star formation rates in late-type spirals. $H\alpha$ imaging of some of the
infrared luminous early-type spirals reveals two types of galaxies. One type
shows clear signs of interaction, whereas the other type appears to host a
nuclear starburst. The occurence of nuclear starbursts in early-type spirals
may be related to the propensity for such galaxies to also host Seyfert nuclei.
The evidence for interactions suggests that early-type spirals are evolving in
the current epoch.
","[{""version"":""v1"",""created"":""Thu, 19 Dec 1996 22:01:34 GMT""}]","2009-10-28"
"astro-ph/9612202",,"Martin Kunz and Ruth Durrer","Microwave Background Anisotropies Induced by Global Scalar Fields: The
  Large N Limit","11 pages Latex, 5 postscript figures included","Phys.Rev.D55:4516-4520,1997","10.1103/PhysRevD.55.R4516",,"astro-ph",,"  We present an analysis of CMB anisotropies induced by global scalar fields in
the large N limit. In this limit, the CMB anisotropy spectrum can be determined
without cumbersome 3D simulations. We determine the source functions and their
unequal time correlation functions and show that they are quite similar to the
corresponding functions in the texture model. This leads us to the conclusion
that the large N limit provides a 'cheap approximation' to the texture model of
structure formation.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 09:45:35 GMT""}]","2016-08-30"
"astro-ph/9612203",,"Carlotta Gruppioni, Gianni Zamorani, Hans R. de Ruiter, Paola Parma,
  Marco Mignoli e Carlo Lari","Radio Observations of the Marano Field and the Faint Radio Galaxy
  Population","7 pages LaTeX file (mn style) + 4 Tables + .ps file with figures.
  Accepted for publication in MNRAS",,"10.1093/mnras/286.2.470","BAP 12-1996-046-OAB","astro-ph",,"  Radio surveys with the Australia Telescope Compact Array have been carried
out at 1.4 and 2.4 GHz with a limiting flux of 0.2 mJy at each frequency in the
Marano Field, in which deep optical and X-ray (ROSAT) data are also available.
In this paper we present the two radio samples, complete at the 5 sigma local
level, consisting of 63 and 48 sources respectively at 1.4 and 2.4 GHz. The 1.4
GHz normalized differential source counts show a flattening below about one
mJy, in agreement with the results from previous surveys. The 2.4 GHz counts,
which are the deepest at this or similar frequencies (e.g. 2.7 GHz), agree well
with the 2.7 GHz counts at higher fluxes and with the extrapolations down to 2
mJy based on fluctuation analyses. The 2.4-1.4 GHz spectral index distributions
are presented for both the complete samples in two flux density intervals. The
median spectral index for the 1.4 GHz sample remains constant at about 0.8,
down to the lowest fluxes (S(1.4)=0.2 mJy), while for the higher frequency
sample the spectral index distribution flattens in the lower flux density
interval (S(2.4) < 0.8 mJy). A significant number of sources with inverted
spectrum (< 0) does appear in both samples, at low flux level (< 2 mJy). These
sources, which are about 25% of the complete sample at 2.4 GHz, are probably
the ``bright'' counterpart of the inverted spectrum sources which appear to be
almost 50% of the sources in the even deeper radio surveys (at about 20-40
microJy).
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 11:41:35 GMT""}]","2015-06-24"
"astro-ph/9612204","Renee Kraan Korteweg","P. Felenbok, J. Gu\'erin, A. Fernandez, V. Cayatte, C. Balkowski and
  R.C. Kraan-Korteweg (Observatoire de Paris-Meudon, France)","The Performance of MEFOS, the ESO Multi-Object Fibre Spectrograph","21 pages, including 9 encapsulated postscript figures, LaTex using
  kluwer.sty and psfig.sty, accepted for publication in Experimental Astronomy.
  Versions with original figures 1-4 and 9 available upon request from
  cayatte@gin.obspm.fr","Exper.Astron. 7 (1997) 65-85",,,"astro-ph",,"  We are describing a new multi-fibre positioner, MEFOS, that was in general
use at the La Silla Observatory, and implemented at the prime focus of the ESO
3.6 m telescope. It is an arm positioner using 29 arms in a one degree field.
Each arm is equipped with an individual viewing system for accurate setting and
carries two spectroscopic fibres, one for the astronomical object and the other
one for the sky recording needed for sky subtraction. The spectral fibres
intercept 2.5 arcsec on the sky and run from the prime focus to the Cassegrain,
where the B&C spectrograph is located. After describing the observational
procedure, we present the first scientific results.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 10:47:10 GMT""}]","2009-09-25"
"astro-ph/9612205","Jochen Peitz","Jochen Peitz (1) and Stefan Appl (2) ((1) LSW Heidelberg, (2)
  Observatoire Strasbourg)","Viscous accretion discs around rotating black holes","15 pages LateX, requires mn.sty, accepted for publication in the
  MNRAS, figures available at http://www.lsw.uni-heidelberg.de/~jpeitz/PVD","MNRAS, 286 (1997) 681","10.1093/mnras/286.3.681",,"astro-ph",,"  The stationary hydrodynamic equations for transonic viscous accretion discs
in Kerr geometry are derived. The consistent formulation is given for the
viscous angular momentum transport and the boundary conditions on the horizon
of a central black hole. An expression for the thickness of the disc is
obtained from the vertical Euler equation for general accretion flows with
vanishing vertical velocity. Different solution topologies are identified,
characterized by a sonic transition close to or far from the marginally stable
orbit. A numerical method is presented that allows to integrate the structure
equations of transonic accretion flows. Global polytropic solutions for the
disc structure are calculated, covering each topology and a wide range of
physical conditions. These solutions generally possess a sub-Keplerian angular
momentum distribution and have maximum temperatures in the range
$10^{11}-10^{12}$ K. Accretion discs around rotating black holes are hotter and
deposit less angular momentum on the central object than accretion discs around
Schwarzschild black holes.
","[{""version"":""v1"",""created"":""Fri, 20 Dec 1996 15:31:33 GMT""}]","2015-06-24"
